MNEMONIC,MNEM DESC,Cur Chg
90200,CCC/GEN SNF BEDHOLD,$575.00
09003,CCC/CERT DISTINCT PART,"$1,405.00"
90102,CCC/CDP BEDHOLD,"$1,405.00"
25201,ER\CPR,"$1,768.45"
25700,ER\BRIEF ER VISIT,$436.42
25701,ER\LIMITED ER VISIT,$728.64
25702,ER\INTERMEDIATE ER VISIT,"$1,239.07"
25703,ER\EXTENDED ER VISIT,"$2,229.56"
25704,ER\COMPREHENSIVE ER VISIT,"$3,320.61"
25705,CRITICAL CARE 30-74MIN.,"$5,956.24"
25706,CRIT CARE EA ADD'L 30MINS,"$3,195.38"
25707,ED\HYDRATE IV INFUSION 31-1 HR,$576.84
25709,ED\HYDRATE IV INF EA ADDL >1HR,$214.43
25802,ER\TEMP TRANSCUTANEOUS PACING,"$4,806.35"
25803,"ER\THROMBOLYSIS,IV","$4,806.35"
25804,ER\CARDIOVERSION,"$2,618.55"
25805,ER\EKG 12-LEAD,$664.12
25902,ER\MINOR PROCEDURE,"$1,068.29"
25903,ER\INTERMEDIATE PROCEDURE,"$1,781.75"
25904,ER\MAJOR PROCEDURE,"$2,373.78"
25906,ER\BLOOD TRANFUSION SERVICE,"$1,662.21"
26003,ER\IMMUNIZATION EACH ADD'L,$66.42
26004,ED INTRAVENOUS PUSH,$419.35
30329,ED\I.M. INJECTION INITIAL,$178.37
30330,ED INTRAV PUSH NEW DRUG,$419.35
30331,ED INTRAVENOUS PUSH EACH ADD'L,$419.35
30333,ED\LWBS,$0.00
30334,INTRAV INFUSION UP TO 1HR,$576.84
30335,INTRAV INF EA ADDT'L HR,$157.49
30336,ADDTL SEQUENT NEW IV INF DRUG,$157.49
30337,TETANUS ADM,$178.37
30338,EA CONCURRENT INFUSION,$157.49
21002,"ORTHO\NEW PATIENT, 20 MIN",$284.62
21003,"ORTHO\NEW PATIENT, 30 MIN",$332.08
21004,"ORTHO\NEW PATIENT, 45 MIN",$436.42
21012,"ORTHO\EST PATIENT, 10 MIN",$256.18
21013,"ORTHO\EST PATIENT, 15 MIN",$256.18
21014,"ORTHO\EST PATIENT, 25 MIN",$332.08
21024,ORTHO\POST-OP F\U,$0.00
21027,ORTHO\SHORT LEG CASTING,$664.12
21028,ORTHO\LONG ARM CASTING,$664.12
21029,ORTHO\SHORT ARM CASTING,$664.12
21033,ORTHO\TEND SHEATH/LIG GANG CYS,$474.37
21034,ORTHO\SML JOINT/BRSA/GANG,$474.37
21035,ORTHO\INT JT/BRSA/GANG,$474.37
21036,ORTHO\LG JT/BRSA/GANG INJ/ASP,$474.37
21037,ORTHO\MAJOR JOINT ASP/INJ,$474.37
21044,ORTHO\ Depo Medrol 40mg,$22.76
21046,ORTHO\ LIDOCAINE 1% 50ML,$28.47
21048,ORTHO\PRODEDURE,"$1,068.29"
02299,AW\OR/CASE,$0.00
02300,AW\ANESTHESIA 15 MIN,$299.80
02301,AW\ANESTHESIA\CASE,$0.00
02308,AW\OR RECOVERY 15 MIN,$284.62
02315,AW\OR LOCAL ANES SET UP,$182.16
02321,AW\OR BOVIE CAUTERY FINE TIP,$83.49
02324,AW\OR BOVIE OPTEMP CAUTERY,$235.29
02331,AW\OR SHEETS GLIDE,$11.39
02340,AW\OR 15 MIN,"$1,423.12"
02416,AW/OR LASER EQUIPMENT,$481.97
02454,AW\OR DONOR CORNEA PROCESSING,"$7,483.71"
02648,AWOR\PAIN MANAGEMENT CLINIC,$759.00
02649,AW\CS EPIDURAL SINGLE DOSE TRY,$100.57
01303,OBSERVATION 1ST HOUR,$349.15
01304,OBSERVATION 2ND HOUR,$349.15
01306,OBSERVATION EACH ADD. HOUR,$151.80
01308,ICU OBSERVATION 2ND HOUR,$406.06
01309,ICU OBSERVATION EACH ADD. HOUR,$62.63
01310,OB OBSERVATION 1ST HOUR,$349.15
01311,OB OBSERVATION EACH ADD. HOUR,$151.80
01313,OBSERVATION DIRECT 1ST HOUR,$385.20
01314,OBSERVATION DIRECT EACH ADD HR,$166.98
26005,ED OBSERVATION 1ST HOUR,$349.15
26006,ED OBSERVATION 2ND HOUR,$349.15
26007,ED OBSERVATION EACH ADD'L HOUR,$151.80
4230000000,ICU OBSERVATION 1ST HOUR,$406.06
4230000001,OB OBSERVATION 2ND HOUR,$349.15
BH001,GROUP PSCHOTHERAPY,$387.09
BH002,EDUCATION AND TRAINING,$387.09
BH060,INDIVPSYCHOTHERAPY 20-30MIN,$258.05
BH061,INDIVPSYCHOTHERAPY 45-50MINS,$506.63
BH062,"PSYCHOTHERAPY,60 MINS",$696.40
PHP001,PSYCH. DIAG.EVALUATION,$0.00
PHP002,MED CHECK,$0.00
02000,OR\CASE,$0.00
02249,OR\PAIN MANAGEMENT CLINIC,$759.00
02641,OR\15 MIN,"$1,423.12"
02642,OR\RECOVERY 15 MIN,$284.62
04000,ANESTHESIA/CASE,$0.00
04001,ANESTHESIOLOGY 15 MINUTES,$299.80
02351,AW\CS BREATHING CIRCUIT STANDD,$56.92
02379,AW\CS VACUUM PUNCH,$433.95
02392,AW\CS TREPHINE,$535.09
02457,AW\CS PREP SCRUB TRAY,$74.01
02526,AW\CS UNI PACK,$941.16
02527,AW\CS VITRECTOMY PACK,$459.20
02528,AW\CS SPECIALTY PACK,"$2,299.76"
02560,IOL POSTERIOR CHAMBER,$837.15
02623,AW\CS TISSEEL SEALANT,$696.40
02643,AW/CS PTERYGIUM DIAMOND BURR,$518.03
02653,AW\CS RESURE SEALANT,$360.04
05000,CS\BAG BILE,$62.63
05007,CS\TRAPESE VENA CAVA FILTER,"$4,768.42"
05010,CS\ANTI-REFLUX VALVE,$55.05
05018,CS\J-CATH JEJUNOSTOMY KIT,$573.04
05023,CS\GASTRIC LAVAGE,$157.49
05028,CS\MARLEX MESH 10 X 14,"$1,398.45"
05030,CS\PERITONEAL LAVAGE KIT,$305.50
05032,CS\BALLARD SUCTION CATH,$184.06
05033,CS\AUTO SUTURE TA-30 INSERT,$563.56
05035,CS\AUTO SUTURE TA-55 INSERTS,$635.68
05036,CS\MARLEX MESH PLUG,"$1,043.62"
05038,CS\AUTO SUTURE GIA-50P INSERT,$749.51
05040,CS\AUTO SUTURE M20,$580.63
05041,CS\PNEUMOTHORAX SET,$637.55
05043,CS\VAMP PRESSURE MONITER KI,$328.28
05064,CS\STOMACH EVACUATOR TUBE,$203.04
05071,CS\WOUND GEL,$127.15
05072,CS\WOUND CLEANSER,$149.91
05073,CS\ABDUCTION PILLOW,$259.97
05076,CS\TRUMPET VALVE,$667.92
05077,CS\GROSHONG CATH,"$2,694.45"
05097,CS\MARLEX MESH 2X4,$743.82
05124,CS\MARLEX MESH 1X4,$851.98
05134,CS\SURGICEL 4X8,$176.47
05135,CS\EASY CAP,$220.11
05160,CS\TRAY LUMBAR PUNCTURE PEDI,$134.73
05169,CS\ENDO CLIP ML,"$1,683.09"
05173,CS\JACKSON PRATT BULB & DRAN M,$277.03
05174,CS\JACKSON PRATT BULB & DRAN M,$277.03
05184,CS\PREMIUM PASTE,$83.49
05190,CS\NEEDLE HUBER WITH TUBING,$62.63
05194,CS\VAN SEMNENBERG SUMP WITHJ P,"$1,629.96"
05219,CS\CATH REDDICK CYSTIC DUCT,$531.30
05226,CS\22G X 15CM CHIBA-TYPE NEDL,$91.07
05230,CS\VINYL CONNECTING TUBE,$110.06
05233,CS\EVERSHEARS BIPOLAR SCISSR,"$1,005.68"
05235,CS\ENDO CATCH,$982.89
05236,CS\SPLINT SHOULDER IMMOBILIERE,$252.38
05239,CS\VANSONNENBERG BIOPSY NEELEE,$394.67
05244,CS\BREAST BIOPSY SYSTEM (US),$396.59
05245,CS\BLUNT NEEDLE,$246.68
05253,CS\CATH EMBOLECTOMY,$502.83
05254,CS\CATH FOLEY NOT CLOSED 5C,$341.55
05255,CS\ENDO DISSECTOR,$994.28
05267,CS\CATH IRR 2+3 WAY BARD+ACI,$136.62
05268,CS\CATH COUDE,$176.47
05275,CS\CATH 16FR FOLEY W URINE ET,$180.27
05276,CS\CATH 18FR FOLEY W URINE ET,$180.27
05277,CS\TRAY MULTI LUMEN CV CATH,$637.55
05283,CS\INSUFFALTOR SET,$282.74
05286,CS\ER CRICOTHYROTOMY CATH ST,$358.64
05292,"CS\BLANKET CARE QUILT 72"" X45",$195.46
05301,CS\NEEDLE BIOPSY PUNCH,$134.73
05304,CS\NEEDLE SPINAL,$32.26
05306,CS\IV INDWELLING CATHETER,$39.85
05308,CS\NEEDLE ANGIOCATH 14G 1 14IN,$100.57
05313,CS\NEEDLE LONGDWELL IV 22G,$32.26
05330,CS\TRAY BASIC BIOPSY-DISP,$220.11
05362,CS\NEURO-PULSE NERVESTIMULATOR,$366.22
05375,CS\HSG TRAY WITH HUI MINI-FLEI,$322.58
05379,CS\LAPAROSCOPIC CHOLANGIOGRAP,$269.44
05384,CS\TUBE FLUID WARM & HEAT EXCN,$144.21
05406,CS\ORTHO PLAIN OR STEIMAN PIN,$74.01
05407,CS\ORTHO THREADED KIRCHNER WI,$77.81
05414,CS\QUICK-CORE BIOPSY NEEDLE DP,$292.20
05427,CS\ORTHO CORTEX SCREWS ALLSIZE,$104.37
05459,CS\SPLINT KNEE UNIV. CANVAS,$328.28
05480,CS\BURETROL SET,$56.92
05484,CS\J-LOOP IV CATH EXT SET,$32.26
05485,CS\NITRO SET,$91.07
05496,CS\Y-TYPE TUR/BLADDER IRRIGSET,$62.63
05501,CS\TUBE ANESTHESIA BREATHING,$77.81
05505,CS\TUBE CHEST TROCATH,$149.91
05516,CS\DCT TRACH TUBE,$385.20
05524,CS\TUBE DOBBHOFF FEED & STYLE,$248.59
05528,CS\RESUSCITATOR ADULT DISP,$259.97
05531,CS\AMBU BAG DISP,$222.02
05532,CS\SKIN SCRUB PREP,$30.35
05539,CS\ORTHO MISC,$0.00
05540,"CS\BAG, FECAL INCONTINENCE",$68.31
05541,CS\BIOPTY-CUT BIOPSY NEEDLE,$189.76
05553,CS\NEEDLE CATHETERYUEHCENTESIS,$172.68
05556,CS\LMA MASK,$366.22
05565,CS\CAST FIBERGLASS ARM SHORT,$242.88
05568,CS\SPLT FIBERGL ARM FULL 11+,$151.80
05569,CS\SPLT FIBERGL ARM SHORT 11+,$111.96
05570,CS\SPLT FIBERGL LONG LEG 11+,$426.94
05571,CS\SPLT FIBERGL LEG SHORT 11+,$235.29
05578,CS\ORTHO CARBON FIBERROD11.0mm,"$1,089.16"
05586,CS\TOURN CUFF 18 INCH STD ARM,$206.84
05587,CS\TOURN CUFF 24 INCH STD LEG,$222.02
05588,CS\TOURN CUFF 34 INCH,$290.33
05589,CS\TOURN CUFF 44 IN X-LONG LEG,$328.28
05590,CS\TOURN CUFF 26IN DUALBLADDER,$375.70
05591,CS\TOURN CUFF 12 INCH,$193.54
05610,CS\DISP PRESSURE INFUSOR,$208.72
05629,CS\SIGNET SKIN STAPLER 35W,$187.87
05650,"CS\TRAY ADD A FOLEY, DISPOSAB",$89.20
05653,CS\ARTERIAL LINE DISPOSABLE,$222.02
05655,CS\JURGAN PIN BALL ALL SIZES,$51.24
05658,CS\TRAY CATHETER FOLEY-CLOSED,$119.55
05663,CS\TRAY ART LINE SET UP,$208.72
05669,CS\TRAY HEMODIALYSIS,$368.11
05670,CS\TRAY EPIDURAL ANESTHESIA,$286.53
05671,CS\INTRAVENOUS START KITS,$26.56
05672,CS\HEMODI/APHERESIS CATH13.5FR,"$1,645.13"
05674,CS\TUBE SUCTION INRPLS HP 10',$425.05
05675,CS\TRAY GENERAL PUNCTURE,$149.91
05676,CS\TRAY NASAL,$62.63
05680,CS\TRAY PELVIC,$62.63
05681,CS\BONE CLEANING TIP,$185.96
05687,CS\TRAY EYE,$62.63
05690,CS\TRAY SUTURE SET MEDIUM,$134.73
05695,CS\TRAY THORACENTESIS,$252.38
05708,CS\FOLEY CATH LATEX SAFE,$85.40
05713,CS\BANANNO SUPRAPUBIC CATH,$191.66
05726,CS\TUBE GASTROSTOMY TUBE REPLM,$481.97
05737,CS\GRAFT VASCULAR 4.7MM X 40CM,"$2,375.66"
05742,CS\HIP DRAPE W/POUCH,$292.20
05750,CS\ABDOMINAL BINDER,$151.80
05773,CS\HADECO VASCULAR PROBEDOPLER,$647.05
05778,CS\THORACENTESIS/PARACEN KIT,$256.18
05782,CS\SCROTAL SUPPORT,$72.10
05791,CS\PACEMAKER TRANSMITTER,"$18,221.69"
05798,CS\POSEY VEST,$184.06
05801,CS\HEEL PROTECTORS (1 PAIR),$151.80
05824,CS\ENDOPATH LINEAR CUTTER VASC,"$1,092.95"
05828,CS\TUBE HOLDER E.T.,$79.70
05835,CS\TED'S THIGH HIGH STOCKINGS,$102.47
05838,CS\URINE METER,$110.06
05840,"CS\VEIN STRIPPER, DISPOSABL",$115.75
05845,CS\THORA-KLEX CHEST DRAINAGE,$628.08
05849,CS\LONG MEDIUM BLADE,$330.16
05859,CS\HYPOTHERMIA BLANKET,$214.43
05860,CS\HYPOTHERMIA RECTAL PROBE,$111.96
05864,CS\DERMABOND SKIN ADHESIVE,$246.68
05867,CS\TRAY SPINAL,$286.53
05874,CS\SURGICLIP L-13.0,$442.13
05882,CS\ORTHO VOLAR DISTAL RADIUS,"$1,669.79"
05888,CS\TRAY FOLEY CATH CLOSED 1FR,$130.94
05899,CS\MISC,$0.00
05911,CS\TRACTION BUCKS,$151.80
05964,CS\VISCERA RETAINER,$204.93
05974,CS\AGRESSIVE PLUS CUTTER 4.0,$468.70
05975,CS\PEDI END TIDAL CO2 EASY CAP,$94.88
05983,CS\SEPRAFILM ADHESION BARRIER,"$1,043.62"
18006,CS\ANCHOR MICRO QUICK,"$1,607.20"
18008,CS\SILVASORB,$157.49
18015,CS\TENDERWET ACTIVE,$72.10
18030,CS\TOURN-COTS,$22.76
18035,CS\SAG BLADE NARR/MED,$284.62
19003,CS\WARMER DRAPE,$248.59
19005,CS\18G PERCUTANEOUS NEEDLE,$36.06
19010,CS\SAGITTAL SAW BLADE MEDIUM,$263.77
19011,CS\BLUNT DISSECTOR 5MM,$138.53
19015,CS\ENDO SHEARS,$474.37
19016,CS\HEEL PROTECTOR,$415.56
19018,CS\BLAKE HUBLESS DRAIN,$252.38
19019,CS\BLACK HUBLESS DRAIN 10FR,$231.50
19020,CS\PADDLE ENDO RETRACT 12MM,"$1,859.55"
19022,CS\RESERVOIR J-VAC BULB,$166.98
19023,CS\MINI SUCTION TUBE,$256.18
19026,CS\MULTIPLE CLIP APPLIER SMALL,$394.67
19029,CS\ENDOLOOP 0 PDS,$115.75
19030,CS\FORMULA ANGLED AGRES PLUS 4,$417.46
19031,CS\ANGLED AGGRESSIVE 4.0,$658.44
19041,CS\ENDO BABCOCK,"$1,421.24"
19046,"CS\TROCAR,OPTICAL 5MM",$237.19
19047,"CS\TROCAR,SMOOTH 11MM X 100MM",$309.29
19048,"CS\TROCAR,SMOOTH 8MM",$140.41
19049,"CS\TROCAR,OPTICAL 12MM",$309.29
19050,"CS\TROCAR,BLUNT TIP 12MM",$239.09
19077,CS\CENTRAL LINE DRESSIING KIT,$83.49
19081,CS\STRAIGHT SPATULA ELECTRODE,$265.65
19094,CS\BPU CPD IDT BLOOD UNIT,$75.90
19104,CS\NEEDLE STIMUPLEX 22GA,$72.10
19105,CS\ZUMI UTERINE MANIPULATOR,$208.72
19110,CS\MICRO BIO SUTURE INSTR SET,$552.18
19117,AW\CS MALYUGIN RING 7.0,$394.67
19118,CS\EPIDURAL ADMIN TUBING,$53.14
19119,CS\CIRCUMCISION TRAY,$125.23
19122,CS\BIOPATCH,$49.34
19123,CS\CHLORAPREP 26ML,$56.92
19127,CS\NEEDLE GUIDE & PROBE 21G,$92.98
19131,CS\MICROINTRODUCER 5FR,$307.40
19132,CS\BARRIER KIT,$185.96
19133,CS\RECTAL CATH FLEXI-SEAL,"$1,590.10"
19134,CS\FLEXI-SEAL BAG,$55.05
19137,CS\GOMCO,$180.27
19139,CS\FIBER OPTIC LARYNGOSCOPE BL,$347.25
19142,CS\MICRO INTRODUCER KIT 6 FR,$335.86
19144,CS\STERIQUICK DRAPE,$64.51
19145,CS\PICC PLUS STAT LOCK,$100.57
19146,CS\CHLORAPREP INFUSION CLINIC,$18.97
19149,CS\FINGER MITTS,$102.47
19151,CS\O2 MASK INFANT RESP,$20.89
19153,CS\ZOLL PACING/DEFIB ELECTRODE,$444.01
19154,CS\ZOLL ADULT STAT-PADS,$214.43
19155,CS\ZOLL PEDIATRIC ELEC PADS,$366.22
19156,CS\CUTTER RELOAD TSW35/TSB35,$605.30
19157,CS\OPTICAL 12 X 150 MM TROCAR,$244.78
19160,CS\RAPID RHINO NASL TAMPON 5.5,$208.72
19161,CS\RAPID RHINO NASL TAMPON 7.5,$222.02
19172,CS\SORBAFIX,"$1,571.12"
19173,CS\LMA SOLUS,$55.05
19174,CS\SUPRAGLOTTIC AIRWAY,$110.06
19175,CS\DUAL CUT SAGITTAL BLADE,$144.21
19176,CS\TOURNIQUET 30 X 4,$146.12
19177,CS\DVT COMP SLEEVE CALF,$92.98
19178,CS\CRE BALLON DILATOR,$865.25
19179,CS\ULTRA-VAC PENCIL,$178.37
19183,CS\FLOSEAL HEMOSTSIC MATRX 5ML,"$1,055.00"
19191,CS\HARMONIC SCALPEL LONG,"$1,747.60"
19192,CS\HARMONIC SCALPEL SHORT,"$1,607.20"
19197,CS\KUMAR CHOLANGIO CATH,$220.11
19199,CS\ARTHRO PUMP TUBING,$314.99
19200,CS/AQUACEL 3.5 X 9.75,$267.55
19201,CS\AQUACEL 3.5 X 3.75,$185.96
19202,CS\AQUACEL 3.5 X 6.0,$214.43
19203,CS\AQUACEL 3.5 X 13.75,$294.12
19205,CS\LAPAROTOMY PACK,"$1,096.75"
19206,CS\HIP PACK,"$1,783.65"
19207,CS\LOWER EXTREMITY PACK,"$1,574.91"
19208,CS\PELVIC LAPAROSCOPY PACK,"$1,227.70"
19209,CS\HAND PACK,"$1,043.62"
19210,CS\ARTHROSCOPY PACK,"$1,485.75"
19211,CS\LAP CHOLE PACK,"$1,705.86"
19212,CS\IMHS HIP PACK,"$1,726.72"
19213,CS\SHOULDER PACK,"$1,684.97"
19215,CS\MICRO INTRODUCER KIT 4.5,$434.54
19216,CS\TEMP SENSOR URINEMETER 16FR,$307.40
19221,CS\I-FLOW EXPANSION KIT 2.5,$314.99
19222,"CS\I-FLOW EXPANSION KIT 5""",$371.91
19230,CS\CELERO-12,"$1,191.63"
19231,CS\BIOPSY SITE MARKER,$453.51
19232,CS\CELERO BIOPSY DEVICE,$125.23
19236,CS\VENTRIO SMALL OVAL,"$2,356.70"
19237,CS\VENTRIO MED OVAL,"$3,453.45"
19238,CS\VENTRIO LG OVAL,"$4,394.59"
19239,CS\VENTRIO SM CIRCLE,"$1,916.47"
19240,CS\WARMING GOWN,$117.65
19243,CS\SUTURE ANCHOR MINI 2-0,"$1,147.99"
19246,CS\TROCAR 11MMX150MM,$191.66
19248,CS\18GX15CM TEMNO BIOPSY NEEDL,$296.01
19249,CS\18GX20CM TEMNO BIOPSY NEEDL,$284.62
19250,CS\BAIR PAW PEDIATRIC GOWN,$72.10
19251,CS\LITHOTOMY CUSTOM PACK,$163.19
19252,CS\STRYKER SERFAS CAUTERY,$428.84
19253,CS\EPIDURAL SINGLE DOSE TRAY,$100.57
19254,CS\ZOLL ADAPTER PEDI/ADULT,$75.90
19255,CS\LUMBAR SUPPORT BACK BRACE,$136.62
19256,CS\BASIC PACK,$261.85
19257,CS\STIFNECK COLLAR ADJUSTABLE,$92.98
19258,CS\MYOSURE XL TISSUE REMOVAL,"$3,320.61"
19259,CS\MYOSURE LITE TISSUE REMOVAL,"$2,087.25"
19260,CS\MYOSURE SCOPE SEAL,$66.42
19261,CS\NOVASURE KIT,"$3,168.81"
19262,CS\AQUILEX INFLOW\OUTFLOW TUBG,$652.74
19263,CS\WECK EFX ENDO CLOSURE SYSTE,$764.69
19271,CS\STRYKER CEMENT,$944.96
19274,CS\PRECISION CARTRIDGE,$960.13
19275,CS\ALEXIS WOUND PROTECTOR SMAL,$259.97
19276,CS\MORGAN LENS,$159.38
19281,CS\CARTER THOMASON CLOSURE,$603.39
19300,CS\DIRECT DRIVE CLIP APPLIER,$652.74
31204,CS\PEAR BUR,$466.78
31205,CS\EGG BUR,$466.78
31206,CS\ROUND FAST CUTTING BUR 4.0,$415.56
31207,CS\SYNEVAC COLLECTION SET,$47.44
31211,CS\FALOPE-RING BANDS,$246.68
31217,CS\CLAMP UNBILICAL CORD,$13.30
31223,CS\MASK OXYGEN W/ADAPTER ADULT,$0.00
31224,CS\MEDIUM VAGINAL SPECULUM,$51.24
31225,CS\MITYVAC DISPOSABLE KIT,$182.16
31226,CS\AMNIHOOK,$17.09
31234,CS\OXI-SENSOR-INFANT,$130.94
31236,CS\QWIK CONNECT SPIRAL,$26.56
31237,CS\VITAL VUE TUBING,$819.72
31239,CS\PRECIP PACK,$115.75
31240,CS\PREMI-PROBE 3,$153.71
31243,CS\VAGINAL DELIVERY PACK,$434.54
31244,CS\MULTIBOOT,$430.74
31247,CS\HYPER INFLATION SYSTEM,$117.65
31257,CS\CATH INTRAUTERINE,$373.81
31264,CS\OB DELIVERY PACK,$394.67
31266,CS\TRAY AMIOCENTESIS,$98.66
31269,CS\NELLCO OXISENSOR II,$98.66
31275,CS\PACK C-SECTION,$366.22
31293,CS\CATH VESSEL UMBILICAL 2.5,$123.33
31297,CS\KATZ EXTRACTOR,$394.67
31320,CS\BREAST PUMP HARMONY,$250.47
31323,CS\BIPAP MASK SM/MED/LG,$258.05
31324,CS\NEBULIZER W/HEAT ADAPT,$24.67
31328,CS\MINIHEART HIGH FLOW NEB,$72.10
31331,CS\RESMED DISP CIRCUIT,$74.01
31332,CS\PTFE COATED GUIDE WIRE,$117.65
31334,CS\CUTTER LINEAR 75MM,"$1,130.91"
31341,CS\UROJET,$68.31
31345,CS\UNNA BOOT 3 INCH,$49.34
31355,CS\CUTTER RELOAD 55MM TCR55,$406.06
31356,CS\CUTTER RELOAD 75MM TCR75,$601.52
31363,CS\FIBER IWRE SUTURE 2-0,$140.41
31364,CS\FIBER WIRE SUTURE 4-0,$132.82
31365,CS\PEAK FLOWMETER PEDI/ADULT,$142.32
31370,CS\EQUALIZER SHORT LEG WALKER,$394.67
31371,CS\EQUALIZER AIR WALKER,$578.74
31379,CS\BILICOMBI DISP,$127.15
31380,CS\PUMP LACTINA SYMPHONY DBL,$248.59
31381,CS\JONES DRESSING ROLL,$106.26
31384,CS\SMART MIX TOWER,"$1,028.44"
31391,CS\COMPOSIX E/X MESH 8X10,"$3,648.88"
31393,CS\HEWSON SUTURE RETRIEVER,$396.59
31396,CS\DISP BIOPSY FORCEPS 220K,$368.11
31408,CS\TROCAR LONG 150M,$132.82
31409,CS\DERMABOND PRINEO (ORTHO),$293.93
31410,CS\POWERGLIDE BASIC KIT 18 GA,$296.01
31411,CS\POWERGLIDE FULL KIT,$489.56
31414,CS\PICC LINE SHERLOCK 3CG,"$1,565.44"
31419,CS\CROSSCUT SM TEAR RASP,$573.99
31422,CS\VERRES NEEDLE,$162.34
31426,ORTHO WEDGE SHOE MEDIUM,$158.06
31427,ORTHO WEDGE SHOE LARGE,$158.06
31428,ORTHO WEDGE SHOE XL,$158.06
31431,HEALING SHOE MEDIUM,$175.31
31432,HEALING SHOE LARGE,$175.31
31434,THUNDERBOLT 5MM 35CM,"$1,612.87"
31435,VACUUM KIWI W/PALM PUMP,$196.40
31437,MEPILEX 7X9 DRESSING,$70.78
31438,MEPILEX 4X10 DRESSING,$164.91
31439,MEPILEX 4X12 DRESSING,$192.60
31440,MEPILEX 9X9 DRESSING,$94.98
31441,"20G 1.25"" COILED GUIDEWIRE",$146.12
31442,"22G 1.25"" COILED GUIDEWIRE",$146.12
31443,"20G 2.25"" COILED GUIDEWIRE",$259.00
31444,"22G 2.25"" COILED GUIDEWIRE",$259.00
31446,GRAFT VASCULAR PROPATEN,"$9,025.91"
31447,MESH VENTRALEX CIRCLE SMALL,"$2,380.25"
31448,MESH VENTRALEX CIRCLE MED,"$2,843.93"
31449,GRAFT VASC ARTEGRAFT 6X30,"$7,041.83"
31451,STAPLER RLD VASC WHITE TR45W,$511.53
31452,STAPLER RELOAD STD BLUE 6R45B,$511.53
31453,GRAFT EPIFIX 14MM DISC,"$1,938.20"
31454,GRAFT EPIFIX 18MM DISC,"$4,602.86"
31458,MESH PHYSIOMESH OPEN 10X10,"$2,192.71"
31459,IOL ASTIGMATISM CORRECT FUNCTN,"$2,781.15"
31460,TRAY THORACENTESIS,$249.68
31461,CANISTER SUCT OMNI JUG 16000CC,$126.86
