MS DRG,North Baldwin MS DRG DESC2, Average of TOTAL CHARGES2 
152,OTITIS MEDIA  URI W MCC," $14,599.68 "
153,OTITIS MEDIA  URI W/O MCC," $5,289.28 "
155,OTHER EAR- NOSE- MOUTH  THROAT DIAGNOSES W CC," $8,870.57 "
163,MAJOR CHEST PROCEDURES W MCC," $20,306.15 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC," $48,944.27 "
175,PULMONARY EMBOLISM W MCC," $13,421.90 "
176,PULMONARY EMBOLISM W/O MCC," $11,914.21 "
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC," $20,237.80 "
178,RESPIRATORY INFECTIONS  INFLAMMATIONS W CC," $12,866.34 "
180,RESPIRATORY NEOPLASMS W MCC," $14,458.58 "
183,MAJOR CHEST TRAUMA W MCC," $10,217.05 "
184,MAJOR CHEST TRAUMA W CC," $22,477.59 "
186,PLEURAL EFFUSION W MCC," $43,697.90 "
187,PLEURAL EFFUSION W CC," $8,301.80 "
188,PLEURAL EFFUSION W/O CC/MCC," $9,093.52 "
189,PULMONARY EDEMA  RESPIRATORY FAILURE," $18,169.98 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC," $13,612.38 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC," $11,660.34 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC," $8,926.24 "
193,SIMPLE PNEUMONIA  PLEURISY W MCC," $16,744.79 "
194,SIMPLE PNEUMONIA  PLEURISY W CC," $11,024.67 "
195,SIMPLE PNEUMONIA  PLEURISY W/O CC/MCC," $7,431.47 "
200,PNEUMOTHORAX W CC," $2,891.57 "
201,PNEUMOTHORAX W/O CC/MCC," $9,108.95 "
202,BRONCHITIS  ASTHMA W CC/MCC," $10,519.60 "
203,BRONCHITIS  ASTHMA W/O CC/MCC," $7,630.31 "
204,RESPIRATORY SIGNS  SYMPTOMS," $7,542.90 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC," $4,666.34 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC," $7,670.70 "
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS ," $44,610.74 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS," $24,899.76 "
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB  TOE W CC," $28,785.27 "
254,OTHER VASCULAR PROCEDURES W/O CC/MCC," $24,667.54 "
256,UPPER LIMB  TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC," $17,209.78 "
280,ACUTE MYOCARDIAL INFARCTION- DISCHARGED ALIVE W MCC," $39,786.92 "
281,ACUTE MYOCARDIAL INFARCTION- DISCHARGED ALIVE W CC," $6,982.75 "
282,ACUTE MYOCARDIAL INFARCTION- DISCHARGED ALIVE W/O CC/MCC," $6,470.22 "
291,HEART FAILURE SHOCK W MCC," $13,601.38 "
292,HEART FAILURE  SHOCK W CC," $10,549.79 "
293,HEART FAILURE  SHOCK W/O CC/MCC," $10,063.02 "
299,PERIPHERAL VASCULAR DISORDERS W MCC," $17,239.90 "
300,PERIPHERAL VASCULAR DISORDERS W CC," $8,423.17 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC," $14,113.21 "
302,ATHEROSCLEROSIS W MCC," $7,434.47 "
303,ATHEROSCLEROSIS W/O MCC," $7,910.20 "
305,HYPERTENSION W/O MCC," $6,828.63 "
308,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC," $15,641.72 "
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC," $9,028.78 "
310,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/MCC," $8,141.40 "
312,SYNCOPE  COLLAPSE," $10,330.10 "
313,CHEST PAIN," $6,402.79 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC," $22,944.16 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC," $11,842.70 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC," $11,709.61 "
327,STOMACH- ESOPHAGEAL  DUODENAL PROC W CC," $26,221.77 "
328,STOMACH- ESOPHAGEAL  DUODENAL PROC W/O CC/MCC," $14,669.70 "
329,MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC," $45,146.35 "
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC," $31,651.99 "
331,MAJOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC," $28,191.41 "
335,PERITONEAL ADHESIOLYSIS W MCC," $40,470.52 "
336,PERITONEAL ADHESIOLYSIS W CC," $29,706.29 "
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC," $17,884.71 "
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC," $13,853.93 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC," $18,743.51 "
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC," $16,218.28 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC," $14,221.87 "
351,INGUINAL  FEMORAL HERNIA PROCEDURES W CC," $12,325.04 "
352,INGUINAL  FEMORAL HERNIA PROCEDURES W/O CC/MCC," $11,202.60 "
354,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W CC," $18,467.95 "
355,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W/O CC/MCC," $14,509.78 "
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC," $42,736.13 "
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC," $12,024.89 "
368,MAJOR ESOPHAGEAL DISORDERS W MCC," $26,576.66 "
372,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W CC," $14,616.48 "
373,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W/O CC/MCC," $12,080.62 "
374,DIGESTIVE MALIGNANCY W MCC," $18,209.51 "
375,DIGESTIVE MALIGNANCY W CC," $9,646.30 "
376,DIGESTIVE MALIGNANCY W/O CC/MCC, $600.00 
377,G.I. HEMORRHAGE W MCC," $22,586.22 "
378,G.I. HEMORRHAGE W CC," $11,649.66 "
379,G.I. HEMORRHAGE W/O CC/MCC," $9,964.45 "
382,COMPLICATED PEPTIC ULCER W/O CC/MCC," $20,527.66 "
384,UNCOMPLICATED PEPTIC ULCER W/O MCC," $9,321.10 "
385,INFLAMMATORY BOWEL DISEASE W MCC," $12,825.41 "
386,INFLAMMATORY BOWEL DISEASE W CC," $9,519.04 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC," $10,487.46 "
388,G.I. OBSTRUCTION W MCC," $11,858.17 "
389,G.I. OBSTRUCTION W CC," $7,944.14 "
390,G.I. OBSTRUCTION W/O CC/MCC," $7,603.82 "
391,ESOPHAGITIS- GASTROENT  MISC DIGEST DISORDERS W MCC," $9,236.82 "
392,ESOPHAGITIS- GASTROENT  MISC DIGEST DISORDERS W/O MCC," $9,467.09 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC," $11,090.13 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC," $6,916.86 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC," $10,874.65 "
409,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC," $27,229.78 "
412,CHOLECYSTECTOMY W C.D.E. W CC," $27,810.24 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC," $31,369.42 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC," $19,183.44 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC," $15,919.94 "
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC," $17,736.45 "
432,CIRRHOSIS  ALCOHOLIC HEPATITIS W MCC," $20,036.65 "
433,CIRRHOSIS  ALCOHOLIC HEPATITIS W CC," $8,379.50 "
434,CIRRHOSIS  ALCOHOLIC HEPATITIS W/O CC/MCC," $6,645.56 "
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC," $8,418.80 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC," $18,639.47 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC," $10,191.19 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC," $9,909.72 "
441,DISORDERS OF LIVER EXCEPT MALIG-CIRR-ALC HEPA W MCC," $13,386.96 "
442,DISORDERS OF LIVER EXCEPT MALIG-CIRR-ALC HEPA W CC," $12,634.10 "
443,DISORDERS OF LIVER EXCEPT MALIG-CIRR-ALC HEPA W/O CC/MCC," $5,608.64 "
444,DISORDERS OF THE BILIARY TRACT W MCC," $8,614.29 "
445,DISORDERS OF THE BILIARY TRACT W CC," $11,425.40 "
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC," $23,484.10 "
464,WND DEBRID  SKN GRFT EXC HAND- FOR MUSCULO-CONN TISS DIS W CC," $21,432.63 "
465,WND DEBRID  SKN GRFT EXC HAND- FOR MUSCULO-CONN TISS DIS W/O CC/MCC," $20,597.38 "
467,REVISION OF HIP OR KNEE REPLACEMENT W CC," $48,959.82 "
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC," $24,259.84 "
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT," $42,996.65 "
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC," $18,747.88 "
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC," $5,238.74 "
480,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC," $23,515.80 "
481,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC," $22,038.14 "
482,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC," $16,378.86 "
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES," $24,920.80 "
486,KNEE PROCEDURES W PDX OF INFECTION W CC," $16,289.85 "
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC," $16,779.53 "
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC," $19,968.28 "
493,LOWER EXTREM  HUMER PROC EXCEPT HIP-FOOT-FEMUR W CC," $18,039.68 "
494,LOWER EXTREM  HUMER PROC EXCEPT HIP-FOOT-FEMUR W/O CC/MCC," $16,447.40 "
501,SOFT TISSUE PROCEDURES W CC," $31,394.64 "
505,FOOT PROCEDURES W/O CC/MCC," $5,160.48 "
511,SHOULDER-ELBOW OR FOREARM PROC-EXC MAJOR JOINT PROC W CC," $16,704.22 "
512,SHOULDER-ELBOW OR FOREARM PROC-EXC MAJOR JOINT PROC W/O CC/MCC," $10,518.41 "
517,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W/O CC/MCC," $9,373.52 "
535,FRACTURES OF HIP  PELVIS W MCC," $15,876.44 "
536,FRACTURES OF HIP  PELVIS W/O MCC," $7,274.74 "
537,SPRAINS- STRAINS-  DISLOCATIONS OF HIP- PELVIS  THIGH W CC/MCC," $10,982.58 "
540,OSTEOMYELITIS W CC," $9,007.72 "
546,CONNECTIVE TISSUE DISORDERS W CC," $19,581.32 "
549,SEPTIC ARTHRITIS W CC," $11,988.80 "
551,MEDICAL BACK PROBLEMS W MCC," $17,490.20 "
552,MEDICAL BACK PROBLEMS W/O MCC," $12,547.91 "
554,BONE DISEASES  ARTHROPATHIES W/O MCC," $12,149.39 "
556,SIGNS  SYMPTOMS OF MUSCULOSKELETAL SYSTEM  CONN TISSUE W/O MCC," $7,787.48 "
558,TENDONITIS- MYOSITIS  BURSITIS W/O MCC," $7,832.55 "
562,FX- SPRN- STRN  DISL EXCEPT FEMUR- HIP- PELVIS  THIGH W MCC," $9,905.43 "
563,FX- SPRN- STRN  DISL EXCEPT FEMUR- HIP- PELVIS  THIGH W/O MCC," $6,466.99 "
570,SKIN DEBRIDEMENT W MCC," $10,114.17 "
571,SKIN DEBRIDEMENT W CC," $10,763.38 "
572,SKIN DEBRIDEMENT W/O CC/MCC," $7,863.51 "
580,OTHER SKIN- SUBCUT TISS  BREAST PROC W CC," $10,473.48 "
581,OTHER SKIN- SUBCUT TISS  BREAST PROC W/O CC/MCC," $15,761.90 "
584,BREAST BIOPSY- LOCAL EXCISION  OTHER BREAST PROCEDURES W CC/MCC," $44,188.64 "
599,MALIGNANT BREAST DISORDERS W/O CC/MCC," $1,375.00 "
600,NON-MALIGNANT BREAST DISORDERS W CC/MCC," $7,492.78 "
602,CELLULITIS W MCC," $16,436.02 "
603,CELLULITIS W/O MCC," $8,062.94 "
604,TRAUMA TO THE SKIN- SUBCUT TISS  BREAST W MCC," $16,233.32 "
605,TRAUMA TO THE SKIN- SUBCUT TISS  BREAST W/O MCC," $8,180.49 "
607,MINOR SKIN DISORDERS W/O MCC," $4,865.12 "
617,AMPUTAT OF LOWER LIMB FOR ENDOCRINE-NUTRIT- METABOL DIS W CC," $16,519.59 "
623,SKIN GRAFTS  WOUND DEBRID FOR ENDOC- NUTRIT  METAB DIS W CC," $10,924.50 "
627,THYROID- PARATHYROID  THYROGLOSSAL PROCEDURES W/O CC/MCC," $8,517.27 "
629,OTHER ENDOCRINE- NUTRIT  METAB O.R. PROC W CC," $10,627.70 "
637,DIABETES W MCC," $36,437.38 "
638,DIABETES W CC," $11,219.05 "
639,DIABETES W/O CC/MCC," $8,395.26 "
640,MISC DISORDERS OF NUTRITION-METABOLISM-FLUIDS/ELECTROLYTES W MCC," $23,967.84 "
641,MISC DISORDERS OF NUTRITION-METABOLISM-FLUIDS/ELECTROLYTES W/O MCC," $7,139.75 "
642,INBORN AND OTHER DISORDERS OF METABOLISM," $1,120.57 "
643,ENDOCRINE DISORDERS W MCC," $23,739.53 "
645,ENDOCRINE DISORDERS W/O CC/MCC," $21,291.87 "
673,OTHER KIDNEY  URINARY TRACT PROCEDURES W MCC," $60,409.26 "
675,OTHER KIDNEY  URINARY TRACT PROCEDURES W/O CC/MCC," $18,256.87 "
682,RENAL FAILURE W MCC," $13,324.97 "
683,RENAL FAILURE W CC," $10,724.39 "
684,RENAL FAILURE W/O CC/MCC," $6,705.86 "
689,KIDNEY  URINARY TRACT INFECTIONS W MCC," $20,116.43 "
690,KIDNEY  URINARY TRACT INFECTIONS W/O MCC," $9,777.88 "
693,URINARY STONES W/O ESW LITHOTRIPSY W MCC," $6,379.32 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC," $5,868.28 "
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC," $15,347.23 "
699,OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC," $12,447.52 "
727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC," $28,649.77 "
742,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC," $14,220.09 "
743,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC," $9,548.43 "
746,VAGINA- CERVIX  VULVA PROCEDURES W CC/MCC," $14,342.43 "
747,VAGINA- CERVIX  VULVA PROCEDURES W/O CC/MCC," $9,074.09 "
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES," $15,013.95 "
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC," $9,483.62 "
759,INFECTIONS- FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC," $11,950.44 "
761,MENSTRUAL  OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC," $6,073.91 "
765,CESAREAN SECTION W CC/MCC," $9,574.03 "
766,CESAREAN SECTION W/O CC/MCC," $9,293.51 "
767,VAGINAL DELIVERY W STERILIZATION /OR DC," $12,060.27 "
768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL /OR DC," $6,679.91 "
769,POSTPARTUM  POST ABORTION DIAGNOSES W O.R. PROCEDURE," $14,813.65 "
770,ABORTION W DC- ASPIRATION CURETTAGE OR HYSTEROTOMY," $5,578.88 "
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES," $7,938.83 "
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES," $6,969.51 "
776,POSTPARTUM  POST ABORTION DIAGNOSES W/O O.R. PROCEDURE," $7,231.46 "
778,THREATENED ABORTION," $6,523.61 "
780,FALSE LABOR," $1,924.21 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS," $5,567.52 "
782,OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS," $3,464.15 "
784,CESAREAN SECTION W STERILIZATION W CC," $9,736.04 "
785,CESAREAN SECTION W STERILIZATION W/O CC/MCC," $13,824.69 "
786,CESAREAN SECTION W/O STERILIZATION W MCC," $17,060.69 "
787,CESAREAN SECTION W/O STERILIZATION W CC," $11,602.55 "
788,CESAREAN SECTION W/O STERILIZATION W/O CC/MCC," $10,857.91 "
789,NEONATES- DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY," $2,101.91 "
792,PREMATURITY W/O MAJOR PROBLEMS," $1,637.45 "
793,FULL TERM NEONATE W MAJOR PROBLEMS," $5,813.60 "
794,NEONATE W OTHER SIGNIFICANT PROBLEMS," $1,312.46 "
795,NORMAL NEWBORN, $770.29 
800,SPLENECTOMY W CC," $24,573.85 "
805,VAGINAL DELIVERY W/O STERILIZATION/DC W MCC," $7,001.93 "
806,VAGINAL DELIVERY W/O STERILIZATION/DC W CC," $6,509.69 "
807,VAGINAL DELIVERY W/O STERILIZATION/DC W/O CC/MCC," $7,149.56 "
811,RED BLOOD CELL DISORDERS W MCC," $18,482.09 "
812,RED BLOOD CELL DISORDERS W/O MCC," $8,526.70 "
813,COAGULATION DISORDERS," $17,194.59 "
815,RETICULOENDOTHELIAL  IMMUNITY DISORDERS W CC," $10,011.27 "
818,OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W CC," $13,814.92 "
833,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W/O CC/MCC," $1,793.96 "
835,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC," $4,576.40 "
841,LYMPHOMA  NON-ACUTE LEUKEMIA W CC," $9,723.90 "
842,LYMPHOMA  NON-ACUTE LEUKEMIA W/O CC/MCC," $9,063.56 "
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC," $46,804.95 "
854,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W CC," $59,830.70 "
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC," $25,502.98 "
863,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC," $7,340.60 "
864,FEVER," $9,481.29 "
866,VIRAL ILLNESS W/O MCC," $8,265.98 "
870,SEPTICEMIA OR SEVERE SEPSIS W MV>96 HOURS," $46,168.32 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC," $20,252.46 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC," $13,162.25 "
880,ACUTE ADJUSTMENT REACTION  PSYCHOSOCIAL DYSFUNCTION," $7,142.34 "
881,DEPRESSIVE NEUROSES," $15,065.40 "
882,NEUROSES EXCEPT DEPRESSIVE," $12,388.68 "
883,DISORDERS OF PERSONALITY  IMPULSE CONTROL," $11,744.85 "
884,ORGANIC DISTURBANCES  INTELLECTUAL DISABILITY," $14,902.17 "
885,PSYCHOSES," $14,064.45 "
894,ALCOHOL/DRUG ABUSE OR DEPENDENCE- LEFT AMA," $1,903.11 "
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC," $6,790.51 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC," $5,237.74 "
908,OTHER O.R. PROCEDURES FOR INJURIES W CC," $18,536.46 "
909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC," $17,996.59 "
917,POISONING  TOXIC EFFECTS OF DRUGS W MCC," $15,963.90 "
918,POISONING  TOXIC EFFECTS OF DRUGS W/O MCC," $14,244.47 "
920,COMPLICATIONS OF TREATMENT W CC," $6,982.36 "
923,OTHER INJURY- POISONING  TOXIC EFFECT DIAG W/O MCC," $3,868.12 "
934,FULL THICKNESS BURN W/O SKIN GRFT OR INHAL INJ," $4,761.23 "
935,NON-EXTENSIVE BURNS," $14,568.54 "
948,SIGNS  SYMPTOMS W/O MCC," $9,462.13 "
964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC," $6,265.44 "
974,HIV W MAJOR RELATED CONDITION W MCC," $19,905.49 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC," $25,612.92 "
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC," $17,281.05 "
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC," $23,791.54 "
989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," $10,488.81 "
