Charge Code,Charge Desc,Charge Amt
4052605,ANEMIA CLINIC IVF ADD'L HR,125
4052606,"CHG SOLUMEDROL IVF, 1ST HR",671
4052607,"CHG SOLUMEDROL IVF, ADD'L HR",125
4057400,"CHG REMICADE IVF, 1ST HOUR",899
4057401,"CHG REMICADE IVF, EACH ADD'L HOUR",163
4057402,CHG PAIN PUMP ANALYSIS ONLY,1179
4057403,CHG PAIN PUMP REPROGRAM,1179
4057404,CHG PAIN PUMP REFILL,1179
4057405,CHG PAIN PUMP MD REFILL,1179
4057406,IMMUNIZATION ADMINISTRATION  (OPT),220
4057408,2E OPT PROGRESSIVE CARE,2200
4057409,"CHG PROVENGE IVF, 1ST HOUR",985
4057410,"CHG PROVENGE IVF, EACH ADD'L HOUR",185
4057412,ESOPHAGEAL MANOMETRY TEST,1830
4057414,UNSUCCESSFUL ESOPHAGEAL MANOMETRY TEST,915
4082021,EXCHANGE TRANSFUSION BLOOD; NEWBORN,1440
4082022,UMBIL CATH NB FOR DX OR TX,300
4082023,I & D VAGINAL HEMATOMA PP,5175
4082025,INSERT  CERVICAL DILATOR,1030
4082026,IMMUNIZATION ADMINISTRATION (4N),220
4082030,FETAL CONTRACTION STRESS TEST,520
4082035,FETAL NON STRESS TEST,624
4082036,FETAL NST EA ADD'L FETUS,624
4082040,EFM LABOR CHECK,315
4082041,EFM LABOR CHECK EA ADD'L FETUS,315
4082170,VAGINAL DELIVERY,1440
4082175,HIGH RISK DELIVERY,1910
4084780,LACTATION KIT,201
4120001,TETRACAINE HCL 0.5% DROP 15ML,$60.40 
4120003,CEFAZOLIN IN DEXTROSE 1GM/50ML PGBK,$174.65 
4120004,MISOPROSTOL TAB 50MCG,$36.50 
4120005,MISOPROSTOL TAB 25MCG,$37.00 
4120006,ROTIGOTINE PATCH 3MG/2HR PT24,$54.25 
4120007,TRACE METALS INJ 5ML,$174.20 
4120008,ACETAMINOPHEN TAB 650MG,$5.20 
4120009,ACETAMINOPHEN SUPP 325MG,$5.20 
4120010,ACETAMINOPHEN SUPP 650MG,$5.20 
4120011,"BOTULISM TOXIN A, 100 UNIT","$2,602.05 "
4120013,PROVIGIL TABLET 200MG,$48.10 
4120014,TACROLIMUS SOLN 5MG/ML 1 ML,$863.30 
4120015,HOMATROPINE 2% OPH DROPS 5ML,$97.30 
4120016,MYCOPHENOLATE MOFETIL HCL SOLR 500MG,"$8,211.35 "
4120017,INSULIN ASPART INJ 100UNIT/ML-3ML,$89.95 
4120018,VANCOMYCIN BULK SOLN 1GM,$174.75 
4120019,ABILIFY TAB 10 MG,$41.30 
4120020,BROMPHENIRAMINE-PSEUDO-DM SYRP 5ML,$36.95 
4120021,D5RL 1L W/OXYTOCIN 20 UNITS,$182.60 
4120024,METFORMIN SR TAB 750MG,$36.05 
4120025,ACTIFED (GENERIC) TAB,$35.90 
4120026,ACTIFED SYRUP 5ML,$36.85 
4120027,ETODOLAC CAP 300MG,$40.00 
4120028,PHENYLEPHRINE 2.5% DROP 1ML,$75.80 
4120029,CYCLOPENTOLATE 1% DROP 1ML,$62.45 
4120030,LR 500 ML W/OXYTOCIN 30 UNITS,$188.80 
4120031,AMMONIUM LACTATE 5% LIQD,$71.10 
4120033,TROPICAMIDE 1% DROP 1ML,$60.00 
4120034,KETOROLAC 0.4% DROP 5ML,$78.00 
4120035,GATIFLOXACIN 0.5% DROP 2.5ML,$488.60 
4120036,MAGNESIUM SULFATE 6GM/100D5W,$177.05 
4120038,DOXORUBICIN INJ 50MG,$191.10 
4120040,VECURONIUM BROMIDE SOLR 20MG/1ML,$171.45 
4120041,DILTIAZEM TAB 60MG UD,$36.00 
4120042,VECURONIUM BROMIDE SOLR 20MG/10ML,$182.15 
4120043,AFRIN 0.05% NOSE SPRAY 15ML,$60.85 
4120044,OXYMETAZOLINE 0.5% SPRAY 30ML,$60.05 
4120045,ASPIRIN SUPPOSITORY 300MG,$5.20 
4120046,ASPIRIN SUPPOSITORY 600MG,$5.20 
4120047,"VITAMIN A PALMITATE SOLN 50,000 U/ML 2ML","$5,009.15 "
4120048,VANCOMYCIN 100MG/ML BULK 10GM,$174.50 
4120049,EURAX 10% LOTION 60ML,$73.20 
4120050,DILTIAZEM CD 360MG CAP CP24,$36.35 
4120051,CIPRODEX OTIC SUSP SOLN 7.5ML,$854.40 
4120052,ALDACTAZIDE TAB,$39.15 
4120053,SPIRONOLACTONE TAB 25MG,$35.95 
4120054,SPIRONOLACTONE LIQ 5MG/ML,$36.80 
4120055,MAG SO4 2GM - 1/2 NS 50ML,$172.60 
4120056,METHYLDOPA TAB 250MG,$36.05 
4120057,METHYLDOPA TAB 500MG,$36.10 
4120059,ALDORIL-15 TAB UD *NF*,$39.45 
4120060,ALDORIL-25 TAB UD *NF*,$39.50 
4120061,LEVONORGESTREL 1.5MG TAB,$67.15 
4120062,ETOMIDATE INJ 20MG/10ML,$174.10 
4120063,CLOTRIMAZOLE TROCHE 10MG,$36.85 
4120064,BUPRENORPHINE/NALOXONE 2 - 0.5MG SUBL,$39.60 
4120065,MELPHALAN TAB 2MG,$55.35 
4120066,BUPRENORPHINE 2MG SUBL,$37.25 
4120067,TYLENOL W COD LIQ 12.5ML,$178.70 
4120068,TELMISARTAN TAB 20MG,$40.45 
4120069,TYLENOL 2 COD LIQ 5ML,$40.35 
4120070,VALSARTAN TAB 40MG,$41.70 
4120071,ALUPENT TAB 10MG,$39.40 
4120072,ALUPENT TAB 20MG,$39.55 
4120073,LABESARTAN TAB 300MG,$41.00 
4120074,HYDROCODONE-APAP SOLN 2.5-108MG/5ML,$45.45 
4120075,REGADENOSON SYRG 0.4MG/5ML (LEXISCAN),$215.20 
4120076,TRACE ELEMENTS NEONATAL 2ML SOLN,$176.15 
4120078,LACOSAMIDE 150MG IN 100ML NS SOLR,$226.40 
4120081,AMICAR TAB 500MG,$41.20 
4120082,AMINOCAPROIC ACID INJ 5G,$175.70 
4120083,CLINDAMYCIN 900MG/D5W 100ML,$174.60 
4120084,AMIKIN INJ 500MG/2ML *NF*,$81.15 
4120085,CLINDAMYCIN 600MG/100ML,$174.90 
4120090,LACOSAMIDE 50MG IN 10ML NS SOLR,$170.35 
4120094,AMMONIA INHALER 0.3ML EA.,$36.25 
4120095,AMOXICILLIN CAP 250MG,$35.95 
4120096,AMOXICILLIN CAP 500MG,$35.95 
4120097,DOXYLAMINE-PYRIDOXIME ER TAB 10MG/10MG,$42.30 
4120098,AMBISOME INJ 50MG,$945.50 
4120099,AMPHOTERICIN B INJ 50MG,$204.05 
4120100,AMPICILLIN CAP 250MG,$36.00 
4120101,AMPICILLIN CAP 500MG,$36.05 
4120104,AMPICILLIN PED. INJ 25MG/ML,$170.60 
4120108,TOBRADEX OPH OINT 3.5GM,$851.55 
4120109,SODIUM BICARBONATE INJ 7.5%,$178.50 
4120110,LEVETIRACETAM 500MG/D5W 100ML,$170.90 
4120112,SODIUM BICARB 4.2% INJ 5ML,$172.45 
4120114,CEFEPIME 1GM IN NS 50ML,$176.10 
4120115,CEFEPIME 2GM IN NS 100ML,$178.10 
4120118,ERYTHROMYCIN ESS SUSP 400MG/5ML,$49.55 
4120119,"UROKINASE INJ 250,000 UN","$1,762.55 "
4120120,AUGMENTIN TAB 250MG,$40.10 
4120121,AUGMENTIN TAB 500MG,$37.50 
4120122,AUGMENTIN TAB 125MG,$37.50 
4120123,LENALIDOMIDE CAP 5MG,"$1,585.05 "
4120126,ZEGERID PWD 20 MG,$41.80 
4120127,ANTIVENIN BLACK WIDOW INJ,$200.15 
4120128,MECLIZINE TAB 12.5MG UD,$36.30 
4120129,MECLIZINE TAB 25MG UD,$36.10 
4120130,PRAMOXINE 1% OINT 30GM,$63.30 
4120131,ANUSOL HC SUPP,$44.45 
4120133,ANUSOL HC 2.5% CREAM 30G,$107.65 
4120134,APRESOZIDE 25 CAP,$39.00 
4120135,APRESOZIDE 50 CAP,$39.05 
4120136,HYDRALAZINE TAB 10MG UD,$36.00 
4120137,HYDRALAZINE TAB 25MG UD,$36.00 
4120138,HYDRALAZINE TAB 50MG UD,$35.95 
4120140,AMIODARONE (PMX),$188.55 
4120142,HUMAN PROTHROMBIN COMPLEX 500 UNITS KIT,"$3,530.25 "
4120143,HUMAN PROTHROMBIN COMPLEX 1000 UNITS KIT,"$6,890.25 "
4120145,"VITAMIN A CAP 10,000 UNITS",$36.20 
4120147,"EPOETIN 10,000 UNITS/ML NON-ESRD","$1,393.85 "
4120150,ARSENIC TRIOXIDE SOLN 10MG/10ML INJ,"$2,783.40 "
4120151,PROMETHAZINE 25MG IN NS 50ML SOLN,$171.00 
4120152,ULTRACET TAB,$36.10 
4120153,TRICOR TAB 160MG,$41.85 
4120154,TRIAMCINOLO OINT 0.1% 15G,$62.85 
4120155,NEOSTIGMINE METHYLSULFATE 5MG/5ML,$175.65 
4120156,PERAMPANEL TAB 8MG,$60.70 
4120158,MIRALAX AKA POWDER 238 GM,$59.85 
4120159,TRIAMCINOLO 0.1% CR 15GM,$61.95 
4120160,SUCCINYLCHOLINE CHLORIDE 5ML SYRG,$176.70 
4120161,MINOCYCLINE CAP 50MG,$36.45 
4120162,MULTIVITAMIN EYE TAB,$36.35 
4120163,CALCIUM GLUGONATE 1000MG IN NS 100ML,$80.35 
4120164,TRIHEXYPHENIDYL LIQ 2MG,$36.90 
4120165,CEFAZOLIN 2GM IN NS,$170.30 
4120166,IDARUCIZUMAB SOLN 2.5GM/5ML,"$7,887.75 "
4120167,ASCORBIC ACID LIQ 500MG,$36.95 
4120168,ASCORBIC ACID TAB 500MG,$35.85 
4120169,ASCORBIC ACID INJ 500MG,$174.55 
4120170,ASCORBIC ACID TAB 250MG,$36.20 
4120172,DROXIDOPA CAP 100MG,$56.30 
4120174,HYDROXYZINE TAB 10MG UD,$36.00 
4120175,ATARAX TAB 25MG,$36.05 
4120176,ATARAX TAB 50MG,$39.25 
4120177,ASPIRIN TAB 325MG,$5.20 
4120178,HYDROXYZINE SYR 10MG/5ML,$37.05 
4120179,PREVIN 3 STEP KIT,$49.30 
4120180,LORAZEPAM TAB 1MG UD,$45.05 
4120181,LORAZEPAM TAB 2MG UD,$45.05 
4120182,PHYTONADIONE ORAL LIQUID 5MG/0.5ML,$68.60 
4120183,DIMETHYL SULFOXIDE 50% SOLN 50ML,"$2,558.20 "
4120186,ATROPINE 1% OPHTH OINT 3.5G,$69.80 
4120187,ALLERGEN OTIC SOL 15ML,$65.45 
4120188,AMINOCAPROIC ACID SOLN 5GM IN D5W 250ML,"$7,039.66 "
4120189,MOMETASONE-FORMOTEROL INH 200-5MGC HFAA,$814.30 
4120190,MOMETASONE-FORMOTEROL INH 100-5MGC HFAA,$814.30 
4120191,CEFEPIME (PED) SOLR 100MG/ML 1ML SYRINGE,$174.55 
4120196,PERINDOPRIL TAB 2MG,$40.15 
4120198,TRANDOLAPRIL TAB 1MG,$39.95 
4120199,TRANDOLAPRIL TAB 4MG,$39.95 
4120200,LEVOFLOXACIN DROP 5ML,$47.05 
4120201,MOXIFLOXACIN DROP 3ML,$111.45 
4120202,NOREPINEPHRINE 8MG IN D5W 250ML INJS,$234.10 
4120203,SULFASALAZINE TAB 500MG,$36.60 
4120204,SWEET-EASE NATURAL 15ML CUP,$36.25 
4120205,B&O SUPPOSITORY 30MG,$68.85 
4120206,B&O SUPPOSITORY 60MG,$69.70 
4120208,CALCIUM ACETATE ORAL SOLN 667mg/5ml,$37.30 
4120209,"BACITRACTIN INJ 50,000 UNITS",$175.30 
4120210,BACITRACIN OINT 15G,$61.10 
4120211,CEFOXITIN PED INJ 100MG/ML 1ML SYR,$174.55 
4120212,COTRIMOXAZOLE TAB,$35.95 
4120213,COTRIMOXAZOLE DS TAB,$36.00 
4120214,COTRIMOXAZOLE SUSP 20ML,$38.00 
4120215,SACUBITRIL/VALSARTAN TAB 24MG/26MG,$42.65 
4120216,SACUBITRIL/VALSARTAN TAB 49MG/51MG,$42.65 
4120217,SACUBITRIL/VALSARTAN TAB 97MG/103MG,$42.65 
4120218,CIPROFLOXACIN XR TAB 500MG,$46.20 
4120219,LOVASTATIN TAB 10MG,$38.90 
4120220,FLUVASTATIN CAP 40MG,$39.40 
4120221,FLUVASTATIN TAB 80MG,$39.45 
4120222,AZOPT 1% OPH SUSP 5ML,"$1,085.40 "
4120223,DOLUTEGRAVIR (TIVICAY) 50MG TABLET,$88.45 
4120224,BELLERGAL S TAB,$39.05 
4120225,CEFEPIME HCI 500MG SOLR,$170.30 
4120226,HYPSCYAMINE ELIXIR 5ML,$36.40 
4120229,DIPHENHDRAMINE ELX 12.5M/5,$36.80 
4120231,PROBENECID TAB 500MG,$36.70 
4120232,PREGABALIN CAP 100MG,$50.90 
4120233,METFORMIN XR TABLET 500MG,$36.35 
4120234,NEXIUM SR CAPSULE 20MG,$42.95 
4120235,NEXIUM SR CAP 40MG,$47.60 
4120236,DICYCLOMINE CAP 10MG,$36.75 
4120237,DICYCLOMINE TAB 20MG,$36.75 
4120239,LINACLOTIDE (LINZESS) CAP 145MCG,$47.00 
4120240,DARUNAVIR/COBICISTAT 800/150MG TAB,$89.90 
4120241,FAT EMULSION 20% 500ml EMUL,$170.45 
4120242,GLUCOSE CHEW TABLET 4GM,$36.30 
4120243,ICOSAPENT ETYL CAP 1 GRAM,$40.95 
4120244,POVIDONE IOD OINT 1GM,$35.90 
4120245,POVIDONE IOD OINT 30GM,$61.25 
4120246,COAGULATION FACTOR VIIA RECOMB SOLR 1MG,"$7,604.25 "
4120247,SODIUM CHLORIDE 3% NEBU 4ML,$37.40 
4120248,ARFORMOTEROL INH 15MCG/2ML NEBU,$41.25 
4120251,PENCILLIN G PROC/BENZ900/300,$197.30 
4120252,"BICILLIN CR INJ  600,000 UNITS",$183.50 
4120253,"BICILLIN CR INJ 1,200,000 UNIT",$201.75 
4120254,"BICILLIN CR INJ 2,400,000 UNIT",$232.10 
4120260,AMIODARONE INJ 450MG SOLN,$220.50 
4120261,ALTEPLASE INJ 10MG SOLN,"$3,614.25 "
4120262,ALTEPLASE INJ 20MG SOLN,"$7,058.25 "
4120263,METHYLPREDNISOLONE SOD SUCC SOLN 125MG,$170.95 
4120264,BISACODYL SUPPOSITORY 10MG,$35.90 
4120266,BLEOMYCIN INJ 15 UNITS,$195.75 
4120267,BLEPHAMIDE OPTH SUSP 5ML,$162.55 
4120268,BLEPHAMIDE OP OINT 3.5GM,$527.40 
4120269,HYDROXYUREA CAP 200MG,$37.00 
4120270,OXYMORPHONE TAB 5MG,$45.30 
4120271,OXYMORPHONE SR TAB 10MG,$48.10 
4120272,BLISTEX OINT 10G TUBE,$36.05 
4120273,OXYMORPHONE SR TAB 20MG,$50.60 
4120274,DEXTROAMPHETAMINE-AMPHETAMINE TAB 10MG,$45.65 
4120275,TERBUTALINE TAB 2.5MG UD,$36.25 
4120276,TERBUTALINE TAB 5MG UD,$36.35 
4120277,MEMANTINE XR CAP 7 MG,$48.05 
4120278,MEMANTINE XR CAP 14 MG,$48.05 
4120279,BRIMONIDINE 0.2% OPHTH DROP 5ML,$62.35 
4120280,"DALTEPARIN 12,500 UNITS/0.5ML SYRG",$193.40 
4120282,TICAGRELOR TAB 60MG,$41.20 
4120283,DOPAMINE IN D5W 800MG/250ML SOLN,$667.90 
4120284,TOBRAMYCIN FORTIFIED EYE DROP 14MG/ML,$92.25 
4120285,PIMOZIDE TAB 1MG,$40.50 
4120286,TACROLIMUS CAP 5MG,$43.10 
4120287,OMEPRAZOLE SUDR 10MG PACK,$42.90 
4120289,SODIUM TETRADECYL SOLN 3% 60MG/2ML,$264.75 
4120290,FERRIC CITRATE (AURYXIA) 210 MG TAB,$41.45 
4120291,FLUTICASONE-VILANTEROL 200-25MCG DSDV,$502.75 
4120292,UMECLIDIUM-VILANTER 62.5-25MCG DSDV,$79.00 
4120293,COLCHICINE-PROBENECID TAB 0.5-500MG,$36.75 
4120294,HEPARIN 5000 UNITS IN NS 500M SOLN,$189.95 
4120295,ASPIRIN BUFFERED TAB 325MG,$5.20 
4120296,POTASSIUM CHLORIDE PACKET 20MEQ,$43.15 
4120297,ALTEPLASE SOLN 1MG/ML,$253.95 
4120298,VASHE WOUND CLEANSER SOLN 1000ml,$59.90 
4120299,IMATINIB MESYLATE TAB 400MG,$891.55 
4120300,METHOTREXATE INJ SOLN 1GM,"$10,054.45 "
4120301,BUTABARBITAL TAB 30MG,$46.35 
4120302,BUDESONIDE INH SUSP 1MG/2ML NBSP,$56.55 
4120303,BUTABARBITAL TAB 50MG,$46.95 
4120304,CLONIDINE TAB 0.1MG UD,$35.90 
4120305,EPINEPHRINE 4MG IN D5W 250ML SOLN,$179.55 
4120306,CALCIUM GLUCONATE TAB 500MG,$39.00 
4120307,CALCIUM CL 10% INJ13.6MEQ/10ML,$171.70 
4120308,CALCIUM CL 10% INJ 1ML,$170.40 
4120309,CAFFEINE NA BENZOATE INJ 500MG,$184.85 
4120310,CALCIUM CL INJ 1G SYRINGE,$178.20 
4120314,CALCIUM GLUC ORAL LIQ 100MG,$39.95 
4120315,PATIROMER CALCIUM SORBITEX PWPK 8.4GM,$68.00 
4120316,"MULTIVITAMIN, MINERALS+IRON LIQD 15ML",$36.40 
4120318,CAFFEINE CITRATE INJ 60MG/3ML,$178.25 
4120319,CITRATED CAFFEINE SOLN 20MG,$48.85 
4120320,OMALIZUMAB 150MG/1.2ML SOLR,"$5,125.35 "
4120321,MEPIVICAINE 1% INJ 30ML,$174.65 
4120333,CLONIDINE TAB 0.2MG UD,$35.90 
4120342,BETAMETHASONE SOLUS INJ 12MG,$182.80 
