 Procedure  Code,Chargemaster Description, Standard Chargemaster Price 
1315019,AGENT NOS ASSAY W-OP,404
1413003,AICD DUAL CHAMBER L1,"99,999"
1413004,AICD OHR THN SGL/DU1,"99,999"
1413005,AICD SINGLE CHAMBER1,"99,999"
1413006,AICD SINGLE CHAMBER2,"99,999"
1212931,AL200-MG200-SIM20/5M,5
1314132,ALA DELTA           ,577
1210822,ALBUMIN 25% 50ML IV ,506
7212085,ALBUMIN 25% 50ML IV ,506
7212083,ALBUMIN 5% 250ML IV ,611
1314106,ALBUMIN FLUID       ,51
1314105,ALBUMIN SERUM       ,175
7210024,ALBUTEROL 0.083% NEB,7
7210092,ALBUTEROL 1.25/3ML  ,26
1216962,ALBUTEROL 2MG/5ML 5M,5
1216960,ALBUTEROL 4MG TAB   ,21
1210892,ALBUTEROL 90MCG 8GM ,24
7210251,ALBUTEROL2.5MG/.5NEB,12
1213488,ALCLOMETASO.05% 60GM,403
1217735,ALCOHOL ABS 98% 1ML ,205
7210786,ALCOHOLIC BEV 1 SRV ,4
1316611,ALCOHOLS MS         ,232
1314120,ALDOLASE            ,337
1314121,ALDOSTERONE         ,"1,426"
1219752,ALENDRONATE 35 MGTAB,84
1216964,ALENDRONATE 70MG TAB,384
7211074,ALENDRONATE+VIT D TB,171
7210079,ALFUZOSIN 10MG SR TB,60
7211556,ALISKIREN 150MG TAB ,31
1314122,ALKALOIDS NOS MS    ,141
1314562,ALLERGEN IGE QUANT  ,705
1314563,"ALLERGEN IGE,QUALMUL",155
1216966,ALLOPURINOL 100MG TB,3
1314124,ALPHA 1-ANTITRYP PHE,474
1314123,ALPHA 1-ANTITRYP TOT,474
1216969,ALPRAZOLAM 0.25MG TB,7
1216971,ALPRAZOLAM 0.5MG TAB,7
7210675,ALPRAZOLAM 1MG SR TB,6
1216970,ALPRAZOLAM 1MG TAB  ,7
1211663,ALPRAZOLAM ODT 0.5MG,7
7212162,ALPROSTAD 1.25MCGINJ,3
1210027,ALTEPLASE RECOM 1MG ,655
1210148,ALTEPLASE RECOM 1MG ,799
1216972,ALUM HYDROX OIN 113G,41
1314127,ALUMINUM            ,577
1218922,ALUMINUM PASTE      ,733
1216973,AMANTADINE 100MG CAP,7
1020046,AMB EEG MONITORING  ,"5,476"
1315863,AMIKACIN            ,561
1221074,AMINO ACID 10% 500ML,131
1314134,AMINO ACID QUAN 6+  ,590
1314131,AMINO ACID SING QUAN,624
1211215,AMINOPHYLL 250MG INJ,48
7210031,AMIODARONE 200MG TAB,3
1210342,AMIODARONE 30MG INJ ,6
7212124,AMIODARONE 30MG INJ ,33
1216981,AMITRIPTYLINE 10MG T,4
1216980,AMITRIPTYLINE 25MGTB,4
7212202,AMKCN SULF INJ 100MG,25
1217736,AMLODIPINE 2.5MG TAB,6
1216983,AMLODIPINE 5MG TAB  ,3
1216986,AMMON LAC12%LOT 225G,109
1213259,AMMON LAC12%LOT 400G,160
1314135,AMMONIA             ,330
1216984,AMMONIA AROMATIC INH,19
1214518,AMNIOFILL 1MG INJ   ,15
1213718,AMNIOFIX SQ CM      ,582
1412790,AMNIOTIC MEMBRANE   ,"1,751"
1218461,AMOX 250MG/5ML 100ML,107
1212839,AMOX250/CLAV62.5 75M,298
7210113,AMOX400-CLAV57 100ML,58
1216990,AMOX500-KCLAV125MGTB,16
7210684,AMOX600/CLAV42.9 75M,57
1216991,AMOX875-CLAV125MG TB,21
1216993,AMOXICILLIN 250MG CP,5
1217737,AMOXICILLIN 500MG CP,6
1219749,AMOXICILLIN 875MGTAB,5
1212454,AMPHETAMIN 15MG SRCP,19
7211386,AMPHETAMINE 10MG TAB,5
1316673,AMPHETAMINES MS 1-2 ,546
1316674,AMPHETAMINES MS 3-4 ,601
1316675,AMPHETAMINES MS 5 PL,721
7211094,AMPICILL 250/5 100ML,72
1216932,AMPICILLIN 500MG CAP,3
1210236,AMPICILLIN 500MG INJ,105
1210237,AMPICILLIN 500MG INJ,31
1211180,AMPICILLIN 500MG INJ,86
7212109,AMPICILLIN 500MG INJ,105
1210188,AMPICILLIN/SUB 1.5GM,107
7211971,AMPICILLIN/SUB 1.5GM,107
1314138,AMYLASE             ,227
1211697,AMY-LIP-PROT 30-6-19,4
1314567,ANA                 ,420
1316676,ANABOLC STRD MS 1-2 ,25
1316678,ANALGS NON OP MS 1-2,656
1216997,ANASTROZOLE 1MG TAB ,202
1414001,ANCHOR/SCRW LEVEL 1 ,180
1414010,ANCHOR/SCRW LEVEL 10,"7,332"
1414011,ANCHOR/SCRW LEVEL 11,"16,282"
1414012,ANCHOR/SCRW LEVEL 12,"21,999"
1414013,ANCHOR/SCRW LEVEL 13,"30,797"
1414014,ANCHOR/SCRW LEVEL 14,"34,537"
1414015,ANCHOR/SCRW LEVEL 15,"61,598"
1414016,ANCHOR/SCRW LEVEL 16,"79,196"
1414017,ANCHOR/SCRW LEVEL 17,"100,000"
1414018,ANCHOR/SCRW LEVEL 18,"99,999"
1414019,ANCHOR/SCRW LEVEL 19,"100,000"
1414002,ANCHOR/SCRW LEVEL 2 ,750
1414020,ANCHOR/SCRW LEVEL 20,"100,000"
1414003,ANCHOR/SCRW LEVEL 3 ,657
1414004,ANCHOR/SCRW LEVEL 4 ,"1,011"
1414005,ANCHOR/SCRW LEVEL 5 ,"1,517"
1414006,ANCHOR/SCRW LEVEL 6 ,"2,024"
1414007,ANCHOR/SCRW LEVEL 7 ,"3,035"
1414008,ANCHOR/SCRW LEVEL 8 ,"6,600"
1414009,ANCHOR/SCRW LEVEL 9 ,"5,309"
1314139,ANDROSTANEDIOL GLUC ,"1,070"
1314140,ANDROSTENEDIONE     ,664
1131121,ANES LV 1 EA ADD MIN,26
1131111,ANES LV 1 INI 15 MIN,"1,287"
1131122,ANES LV 2 EA ADD MIN,40
1131112,ANES LV 2 INI 15 MIN,"1,937"
1131123,ANES LV 3 EA ADD MIN,48
1131113,ANES LV 3 INI 15 MIN,"2,581"
1131124,ANES LV 4 EA ADD MIN,63
1131114,ANES LV 4 INI 15 MIN,"3,226"
1314143,ANGIOTENSIN CONV ENZ,511
1314533,"ANTIBODY ELUTION,RBC",345
1314534,"ANTIBODY ID,EA PANEL",618
1314532,"ANTIBODY SCREEN, RBC",386
1316684,ANTIDPRS TRIC MS 1-2,536
1314595,ANTI-ENA            ,637
1316687,ANTIEPILP NOS MS 1-3,103
1316688,ANTIEPILP NOS MS 4-6,114
1316689,ANTIEPILP NOS MS 7PL,136
1217753,ANTIP/BENZ 54-14 10M,36
1216999,ANTIP/BENZ 54-14 15M,41
1314781,"ANTITHROMBIN III, AG",348
1314780,ANTITHROMBIN IIIACTI,268
1218497,"ANTIVENIN,LACTRODECT",244
1211075,APAP 325MG/10.15ML  ,3
1219175,APAP 650MG CR TAB   ,3
1211206,APAP/COD 120-12/5ML ,4
1872229,APHASIA ASSESS-HOUR ,384
1213038,APIXABAN 2.5MG TAB  ,18
1213039,APIXABAN 5MG TAB    ,17
1314144,APOLIPOPROTEIN EACH ,351
1812255,AQUA THRPY-15 MIN   ,165
1852255,AQUA THRPY-15 MIN   ,153
1211512,ARFORMOTL 15MCG/2ML ,48
1214405,ARGATROBAN 1MG NESRD,49
7210805,ARIPIPRAZOLE 2MG TAB,134
7210622,ARIPIPRAZOLE 5MG TAB,77
1212419,ARMODAFINIL 150MG TB,40
1315878,ARSENIC             ,665
1710903,ARTERIAL PUNCTURE   ,81
1211796,ARTIFIC TEAR OIN3.5G,26
1218807,ASA/CA CARB/MG 325MG,4
1217006,ASCORBIC AC 500MG TB,19
1217005,ASCORBIC AC 500MG/ML,838
1314146,ASCORBIC ACID       ,215
1211789,ASENAPINE 5MG SL TAB,41
1314569,"ASO,TITER           ",257
1219181,ASP250-APAP250-CAF65,4
1314650,ASPERGILLUS AB      ,404
1217012,ASPI25-DIPYR200 SRCP,14
1217008,ASPIRIN 300MG SUPP  ,17
1217007,ASPIRIN 325MG DR TAB,4
1217009,ASPIRIN 325MG TAB   ,4
1218923,ASPIRIN 600MG SUPP  ,17
1217010,ASPIRIN 81MG CHEW   ,4
1217011,ASPIRIN 81MG DR TAB ,4
1217013,ATENOLOL 25MG TAB   ,4
1217014,ATENOLOL 50MG TAB   ,5
1217016,ATORVASTATIN 10MG TB,16
1218392,ATORVASTATIN 20MG TB,5
1211643,ATROPINE 0.01MG INJ ,2
1211644,ATROPINE 0.01MG INJ ,3
1212585,ATROPINE 0.01MG INJ ,1
1217020,ATROPINE SUL1%OS 5ML,82
1761038,AU EVAL VOICE PROS D,511
1761004,AUDITORY EVP-EVR-CNS,673
282179,AUDITORY EVP-EVR-CNS,693
1314010,"AUTO COMPONENT,PROCS",750
1321011,AUTOPSY COMPL WO-CNS,"3,557"
1217023,AZELASTINE 137MCG/SP,314
1213687,AZITHROMY 300MG/15ML,99
1217025,AZITHROMY 600MG/15ML,480
7212247,AZITHROMYC 500MG IV ,217
1217026,AZITHROMYCIN 250MGTB,18
7210168,AZMACORT 20GM INH   ,735
1217028,AZTREONAM 1GM SOLR  ,274
1219874,AZTREONAM IV 2GM VL ,645
1314586,"B CELLS, TOTAL COUNT",212
1218754,BACIT/POLYM OIN 15GM,20
7210417,BACIT/POLYM OIN 30GM,78
1218993,BACITR 500U/GM 30GM ,35
1218982,BACITR/POLYB OO 3.5G,228
7211176,BACITR/POLYMY UD PKT,15
1218767,BACITRACI 1GM UD PKT,9
1217032,BACITRACIN 50000U IM,203
1217034,BACLOFEN 10MG TAB   ,4
1210820,BALS/PERU/CAST 113GM,47
1314148,BARBITURATES MS     ,370
1314652,BARTONELLA AB       ,215
1316342,BASIC METABO CA TOTA,375
1317002,BCR-ABL1 MAJOR QL-QN,"1,222"
1317003,BCR-ABL1 MINOR QL-QN,"1,222"
7210777,BECLOMETH 40MCG 7.3G,510
1212279,BECLOMETH 80MCG 8.7G,722
1872225,BEHAV QL ANAL VOICE ,657
1217039,BELLA/PHEN 16.2MG/5M,24
1217040,BELLAD/PHENOB 16.2TB,21
1218124,BELLADON/OPIUM SUPPO,92
1217749,BELLADONNA/OPIUM 15A,73
1217042,BENAZEPRIL 10MG TAB ,8
1211667,BENZ 20%DENT GEL 11G,25
7210178,BENZ 20%DENT GEL 30G,94
1212398,BENZ 20%DENT LIQ 60G,117
1217113,BENZ14-BUT2-TET2 60G,374
1217044,BENZ20-MENTH.5%SP56G,220
1218971,BENZ5-RESOR2%CR 30GM,16
1217045,BENZO CMPD TINC 60ML,57
1219884,BENZO/MENTH 6-10 LOZ,3
1316693,BENZODIAZ MS 1-12   ,711
1316694,BENZODIAZ MS 13PL   ,853
1217046,BENZONATATE 100MG CP,7
1217049,BENZTROPIN ME .5MGTB,5
7212116,BENZTROPN MES 1MGINJ,454
1314573,BETA-2 GLYCOPROT AB ,821
1314149,BETA-2 MICROGLOBULIN,366
7212241,BETAM ACE/SOD PHO3MG,76
1217056,BETAXOLOL .25%OS 10M,628
1217755,BETAXOLOL 10MG TAB  ,22
1217057,BETHANECHOL 25MG TAB,9
1217058,BICALUTAMIDE 50MG TB,6
1314151,BILE ACIDS CHOLYLGLY,894
1314153,BILIRUBIN DIRECT    ,176
1314152,BILIRUBIN TOTAL     ,176
1314155,BIOTINIDASE         ,590
1710935,BIPAP/CPAP          ,595
1217060,BISACODYL 10MG SUPP ,15
1217059,BISACODYL 5MG DR TAB,3
1217757,BISMUTH SU 262MG CHW,19
1210243,BISMUTH SUB 262MG/15,2
1213095,BISMUTH SUBG PWD 1GM,15
1217061,BISOPROLOL FUM 5MGTB,4
7211827,BIVALIRUDIN 1MG INJ ,20
1314653,BLASTOMYCES AB      ,417
1522132,BLD COLLECT VAD     ,189
1710948,BLD GAS W-O2 SAT DIR,357
1314158,BLD OCCULT FECES EIA,554
1314157,BLD OCCULT OTHER SRC,109
1316450,BLD TYPE DONOR EA AG,278
1314087,BLD TYPING OTHER AG ,87
1314746,BLEEDING TIME       ,157
1311073,BLOOD PRODUCT IRRAD ,290
1314748,BLOOD SMEAR SCAN    ,103
1522030,BLOOD TRANSF 0 2 HRS,"1,212"
282810,BLOOD TRANSF 0 2 HRS,"1,212"
7182540,BLOOD TRANSF 0 2 HRS,"1,212"
1522031,BLOOD TRANSF 2 4 HRS,"1,475"
282814,BLOOD TRANSF 2 4 HRS,"1,475"
7182541,BLOOD TRANSF 2 4 HRS,"1,475"
1522032,BLOOD TRANSF 4 6 HRS,"1,731"
282815,BLOOD TRANSF 4 6 HRS,"1,731"
7182542,BLOOD TRANSF 4 6 HRS,"1,731"
1522033,BLOOD TRANSF 6 8 HRS,"1,990"
282816,BLOOD TRANSF 6 8 HRS,"1,990"
7182543,BLOOD TRANSF 6 8 HRS,"1,990"
1522034,BLOOD TRANSF 8 10 HR,"2,250"
282817,BLOOD TRANSF 8 10 HR,"2,250"
7182544,BLOOD TRANSF 8 10 HR,"2,250"
1913246,BLOOD TRANSFUSION   ,"1,054"
1314083,BLOOD TYPING ABO    ,68
1314084,BLOOD TYPING RH D   ,110
1612259,BNE SRVY CMP METS CR,"1,231"
1612258,BNE SRVY LTD METS CR,"1,231"
1612256,BONE AGE STUDY CR   ,724
1414050,BONE CEMENT 1       ,548
1414051,BONE CEMENT 2       ,"2,704"
1612257,BONE LENGTH STUDY CR,724
1321004,BONE MARROW INTERPRE,256
1612260,BONE SRVY INFANT CR ,724
1314654,BORDETELLA AB       ,489
1314655,BORRELIA BURG.CONFIR,520
7211828,BOTULINUM TOXI A 1U ,50
1317011,BRCA1 GENE ANALY FV ,"1,126"
1317013,BRCA2 GENE ANALY FV ,"1,126"
1612365,BR-DIG MAMMO BI GG  ,"1,715"
1612334,BR-DIG MAMMO BILAT  ,"1,715"
1612333,BR-DIG MAMMO SCRN BI,"1,633"
1612366,BR-DIG MAMMO UNI GG ,"1,461"
1612335,BR-DIG MAMMO UNILAT ,"1,461"
1913221,BRIEF ED VISIT      ,382
7211515,BRIMONIDIN .1%OS 5ML,690
1211528,BRIMONIDIN.15%OS 5ML,53
1218539,BRIMONIDIN.2%OS 10ML,290
8210001,BRIVARACETAM 50MG TB,45
1710906,BRONCHO EVAL PRE/PST,456
1612416,BR-PLC LOC DVCE 1ST ,"1,509"
2811826,BR-PLC LOC DVCE ADD ,757
1314658,BRUCELLA AB         ,289
7212073,BUDESON INH .25MG/2M,47
1218829,BUDESONIDE 3MG SR CP,40
1218416,BUEDSON .5MG/2ML INH,84
1218963,BUMETANID 2.5MG/10ML,98
1217073,BUMETANIDE 1MG TAB  ,19
1217071,BUMETANIDE 1MG/4ML  ,145
1217080,BUPI-MPF.25%/EPI 10M,77
1219191,BUPI-MPF.25%/EPI 30M,132
1217081,BUPIV.5%/EPI PF 10ML,93
7210015,BUPIV.5%/EPI PF 30ML,124
1217079,BUPIV.75/DEX8.25% 2M,124
1217084,BUPIVAC .25% MPF 10M,124
7211080,BUPIVAC .25% MPF 30M,84
1217078,BUPIVACAIN .75% 30ML,124
1212556,BUPIVACAINE LIPO 1MG,10
1214521,BUPIVACAINE LIPO 1MG,12
1217077,BUPIVAC-MPF .5% 10ML,124
1210250,BUPIVAC-MPF .5% 30ML,86
1212705,BUPRE/NALOX 8-2MG FM,19
7211977,BUPRENORPH 0.1MG INJ,53
1210059,BUPRENORPH 8MG SLTB ,19
1217085,BUPROPION 100MG SRTB,26
1218777,BUPROPION 100MG TAB ,5
7210206,BUPROPION 150MG SRTB,5
7210226,BUPROPION 150MG SRTB,12
7210257,BUPROPION 300MG SRTB,128
1217087,BUPROPION 75MG TAB  ,7
1219733,BUSPIRONE 15MG TAB  ,22
1217742,BUT50-APAP325-CF40TB,26
1218580,BUTABARBITAL 30MG TB,27
7210834,BUTABARBITAL 50MG TB,11
1213119,BUTAL50-APAP650MG TB,7
1219197,BUTORPH10MG/MLNS2.5M,153
7212128,BUTORPHANOL 1MG INJ ,50
7212339,BUTORPHANOL 1MG INJ ,89
7210451,CA POLYCARB 625MG TB,3
1314160,CADMIUM             ,776
1217093,CAFF/NA BENZ 500 INJ,191
7211987,CAFFEINE CIT 5MG INJ,21
1210256,CALAMI PHEN LOT 180M,50
7211622,CALAMINE LOTN 180ML ,16
1217256,CALC CARB 500MG CHW ,3
1217094,CALCITO 200UN/AC 3.7,484
1314163,CALCITONIN          ,938
7211979,"CALCITONIN,SAL 400IU",398
1217095,CALCITRIOL .25MCG CP,5
1217096,CALCIUM ACE 667MG CP,5
1217260,CALCIUM CL 10% 10ML ,141
7211978,CALCIUM GLUC 10%10ML,121
1217263,CALCIUM GLUC 500MGTB,22
1314165,CALCIUM IONIZED     ,246
1314164,CALCIUM TOTAL       ,228
1314167,CALCIUM URI QN TIMED,131
1314169,CALCULUS ANAL QUANT ,275
1314170,CALCULUS INFRARED   ,449
1316335,CALPROTECTIN FECAL  ,702
1213476,CANAGLIFLOZ 300MG TB,32
1812131,CANALITH PER DAY    ,227
1314660,CANDIDA AB          ,388
1316695,CANNAB SYNTH MS 1-3 ,621
1316641,CANNABINDS NATUR MS ,621
1315089,CAPILLARY PUNCTURE  ,103
1219942,CAPSAICIN.075%CR60GM,238
1213291,CAPSIC OLE.025%CR60G,19
1217266,CAPTOPRIL 12.5MG TAB,7
1217267,CAPTOPRIL 25MG TAB  ,4
7210750,CAR25-LEV100-ENT200T,15
1218619,CARB25-LEVO100MGSRTB,21
7210184,CARBA PERO6.5%OTIC15,26
1211393,CARBAMAZE 100MG/5ML ,22
1217269,CARBAMAZEP 100MG CHW,19
1217270,CARBAMAZEPINE 200MGT,6
1314027,CARBAMAZEPINE FREE  ,249
1314026,CARBAMAZEPINE TOTAL ,510
1217770,CARBI25-LEVOD250MGTB,7
1217769,CARBID10-LEVO100MGTB,9
1210371,CARBID25-LEVO100MGTB,15
1314173,CARBON DIOXIDE CO2  ,123
1314174,CARBON MONOXIDE QUAN,434
1217275,CARBOPROST 250MCG/ML,559
1314176,CARCINOEMBRYONIC AG ,841
1314574,"CARDIOLIPIN AB,IGG  ",574
1214329,CARIPRAZINE 1.5MG CP,101
1217278,CARISOPRODOL 350MGTB,6
1314177,CARNITINE           ,601
1219115,CARTEOLOL 1% OS 5ML ,102
1217771,CARVEDILO 3.125MG TB,5
1218501,CARVEDILOL 12.5MG TB,7
1217280,CARVEDILOL 25MG TAB ,8
7211503,CARVEDILOL CR 10MG  ,36
1219204,CASTOR OIL 1ML      ,9
1314016,CATECHOL FRACTNTD   ,569
1314179,CATECHOLAMINES URINE,554
1414151,CATH ABLTN NOCRD ED2,"9,384"
1413038,CATH BAL DIL NONVAS1,"2,737"
1413039,CATH BAL DIL NONVAS2,"7,078"
1414175,CATH HEMODIAL LT 1  ,"2,024"
1414176,CATH HEMODIAL LT 2  ,"7,519"
1414177,CATH HEMODIAL ST 1  ,"1,760"
1414178,CATH HEMODIAL ST 2  ,"1,881"
1414200,CATH INTRAVAS ULTRA1,"23,502"
1413056,CATH PACNG TRANSESO1,"1,932"
1413057,CATH SUPRPUBC-CYSTO1,"1,405"
1414250,CATH THRMB/EMBOL 2  ,"3,939"
1414251,CATH THRMB/EMBOL 3  ,"7,582"
1414252,CATH THRMB/EMBOL 4  ,"22,173"
1414285,CATH TRNS ARTHR ROT1,"11,087"
1414286,CATH TRNS ARTHR ROT2,"33,262"
1414300,CATH TRNSLUM ANG LA1,"16,925"
1414301,CATH TRNSLUM ANG LA2,"50,770"
1413067,CATH URETERAL 1     ,180
1414325,CATH-ANGIO LEVEL 1  ,507
1414326,CATH-ANGIO LEVEL 2  ,"3,082"
1414327,CATH-ANGIO LEVEL 3  ,"5,722"
1414328,CATH-ANGIO LEVEL 4  ,"8,801"
1414329,CATH-ANGIO LEVEL 5  ,"7,080"
1410101,CATH-ANGIO NONLSR L1,"1,654"
1410102,CATH-ANGIO NONLSR L2,"1,654"
1410103,CATH-ANGIO NONLSR L3,"1,654"
1410104,CATH-ANGIO NONLSR L4,"1,654"
1410105,CATH-ANGIO NONLSR L5,"1,654"
1414350,CATH-DRAINAG LEVEL 1,440
1414351,CATH-DRAINAG LEVEL 2,"1,235"
1414352,CATH-DRAINAG LEVEL 3,"3,082"
1414353,CATH-DRAINAG LEVEL 4,"5,722"
1414354,CATH-DRAINAG LEVEL 5,"8,361"
1414355,CATH-DRAINAG LEVEL 6,"10,999"
1414358,CATH-DRAINAG LEVEL 9,"12,269"
1414375,CATHETER GUIDING 1  ,507
1414376,CATHETER GUIDING 2  ,"2,527"
1414377,CATHETER GUIDING 3  ,"10,154"
1414400,CATH-INFUS PERIF 1  ,128
1414409,CATH-INFUS PERIF 10 ,"6,568"
1414410,CATH-INFUS PERIF 11 ,"9,304"
1414411,CATH-INFUS PERIF 12 ,"16,417"
1414401,CATH-INFUS PERIF 2  ,706
1414402,CATH-INFUS PERIF 3  ,"1,318"
1414403,CATH-INFUS PERIF 4  ,"2,200"
1414404,CATH-INFUS PERIF 5  ,"1,771"
1414405,CATH-INFUS PERIF 6  ,"3,961"
1414406,CATH-INFUS PERIF 7  ,"4,839"
1414407,CATH-INFUS PERIF 8  ,"5,722"
1414408,CATH-INFUS PERIF 9  ,"7,479"
1414425,CATH-RETRIEVAL 1    ,"4,400"
1314754,CBC W-PLT           ,161
1314753,CBC W-PLT AUTO COMPD,345
1315079,CBC-PLT AUTORP CDM  ,149
1061504,CC-ANGIO CORON ONLY ,"16,164"
1061229,CC-ILIAC ANG W-CATH ,88
2850046,CC-INJ PULM ART HRTC,"1,854"
2850044,CC-INJ R VENT-ATRIAL,"1,561"
2850045,CC-INJ SUPRV AORTOGR,"1,854"
1061601,CC-INS DEFIB W ELECT,"99,999"
1061232,CC-INSERT IABP      ,"1,605"
1061235,CC-INTRACOR THROMBO ,"2,012"
1061508,CC-L HRT ARTERY-VENT,"17,744"
1061509,CC-L HRT ART-GRF ANG,"19,947"
1061502,CC-LHC VENT PUNC    ,"15,872"
1315133,CCP ANTIBODY        ,319
1061227,CC-PLACE CLOS DEV   ,"1,016"
1061507,CC-R HRT ART-GRF ANG,"32,706"
1061506,CC-R HRT CORONRY ART,"30,476"
1061233,CC-REMOVE IABP      ,234
1061501,CC-RHC              ,"14,310"
1061503,CC-R-L CATH LV PUNC ,"15,872"
1061511,CC-R-L HRT ART-ANGIO,"19,947"
1061510,CC-R-L HRT ART-VENT ,"17,727"
1061505,CC-S-I VNT ATR ANGIO,"18,394"
1219109,CEFADROXIL 500MG CAP,15
1219207,CEFADROXIL 500MG/5ML,219
1210194,CEFAZOLIN 500MG INJ ,87
7211982,CEFAZOLIN 500MG INJ ,87
7211742,CEFDIN 125MG/5ML 60M,523
1218143,CEFDINIR 300MG CAP  ,21
1210145,CEFEPIME 500MG INJ  ,54
1210796,CEFEPIME 500MG INJ  ,45
1212926,CEFEPIME 500MG INJ  ,81
1217290,CEFIXIME 100/5ML 50M,559
1210146,CEFOTAXIME NA 1GM   ,93
7212147,CEFOTAXIME NA 1GM   ,93
1218858,CEFOTETAN 1GM/50ML  ,220
1217292,CEFOTETAN 2GM SOLR  ,251
1210149,CEFOXITIN 1GM IJ    ,153
1218014,CEFOXITIN 1GM IJ    ,153
1217772,CEFPODOXIME 100MG   ,15
7211326,CEFPROZ 250/5 75ML  ,637
1218718,CEFPROZIL 500MG TAB ,32
7211985,CEFTAZIDIM 500MG INJ,84
1210195,CEFTRIAXONE 250MGINJ,38
1210196,CEFTRIAXONE 250MGINJ,38
1210197,CEFTRIAXONE 250MGINJ,91
7211983,CEFTRIAXONE 250MGINJ,38
1218787,CEFUROXIME 250/5 50M,179
1217294,CEFUROXIME 250MG TAB,19
1217295,CELECOXIB 100MG CAP ,12
1315037,CELL CTW-ODIF BODYFL,159
1321046,CELL MRK STDY CY-DNA,531
1218015,CEPASTAT LOZG       ,14
1217299,CEPHALEX 125/5 100ML,99
1210016,CEPHALEX 250/5 100ML,53
1219026,CEPHALEXIN 500MG CAP,6
1314183,CERULOPLASMIN       ,377
1217300,CETIRIZINE 10MG TAB ,5
1217301,CETIRIZINE 5MG/5ML  ,19
7210899,CEVIMELINE 30MG CAP ,29
1317014,CFTR GENE ANALY CV  ,"1,028"
1612200,CH-ABD SER PA CXR CR,"1,231"
1612197,CH-ABDOMEN 1 VIEW CR,724
1612198,CH-ABDOMEN 2 VWS CR ,724
1612199,CH-ABDOMEN 3VWS CR  ,724
1612255,CH-BABYGRAM FB CR   ,724
1612286,CH-CHEST 1V CR      ,912
1612288,CH-CHEST 2V CR      ,912
1612290,CH-CHEST 3V CR      ,912
1612292,CH-CHEST 4V CR      ,912
1523115,CHEMO EA AD IV PUSH ,797
1523113,CHEMO IV EA SEQ INF ,499
1523112,CHEMO IV IN EA AD HR,499
