Name,Std Price
AMMONIUM ALUM POWDER 340GM,78.16
AMNIOCENTESIS DIAGNOSTIC,859
AMNIOCENTESIS THERPEUTIC,430
AMNIOCENTESIS ULTRASOUND,238
AMNIOFILL 250MG,1670
AMNIOFILL 500MG,3127.5
AMNISURE,120.6
AMOXICILLIN 125/5 100 ML,8.74
AMOXICILLIN 125/5 1ML CHG,3.5
AMOXICILLIN 250/5 100 ML,13.57
AMOXICILLIN 250/5 1ML CHG,3.5
AMOXICILLIN 250MG CAP,3.5
AMOXICILLIN 500MG TAB,3.5
AMOXICILLIN 875MG TAB,3.5
AMP CYCLIC,73.6
AMP TOE INTERPHALANGEL JT,5022
AMP TOE METATRSPHLNGEL JT,5022
AMPICILLIN 125MG INJ,19.23
AMPICILLIN 1GM INJ,27.14
AMPICILLIN 250MG INJ,15.41
AMPICILLIN 2GM INJ,61.64
AMPICILLIN 500MG INJ,16.2
AMPLATZ RENAL DILATOR SHEATH,731.26
AMPLATZ RENAL SHEATH XLONG,137.66
AMPLIFIED PROBE,77.5
AMPLIFIED PROBE EA ORG,121.8
AMPUT FINGER W CLOSURE,2999
AMPUT FINGER W FLAP ADV,2999
AMPUTATE METATAR W/TOE SGL,5022
AMYLASE BLOOD,107.7
AMYLASE FLUID,67.2
AMYLASE ISOENZYME,48.2
AMYLASE URINE,119.3
AMYLASE URINE 2 HR,114
ANA,176.3
ANA (FATITER PATTERN),34.3
ANAFRANIL 25 MG U/D,31.05
ANALPRAM-HC CREAM 2.5%,451.99
ANALYSIS OF VOICE/RESONANCE 30,202
ANALYSIS OF VOICE/RESONANCE 45,302
ANALYSIS OF VOICE/RESONANCE 60,354
ANALYSIS OF VOICE/RESONANCE 75,430
ANALYSIS OF VOICE/RESONANCE 90,516
ANCA ANTIBODIES,34.1
ANCHOR 4.75 SWIVELOCK,1215
ANCHOR ARTHREX CORKSCREW,546
ANCHOR BIO-PUSHLOCK,1111
ANCHOR BIO-SUTURETAK 3.0MM,809.5
ANCHOR CATH STATLOCK PICC,13.93
ANCHOR CLIK PRECISION SCS,1053.8
ANCHOR CORKSCREW ORTHO,608
ANCHOR CORKSCREW SUTURE 5.0MM,608
ANCHOR FASTENRC 5MM ORTHOCORD,1033
ANCHOR FASTIN 5.0 MITEK,744.4
ANCHOR FASTIN-RC 5-6MM W/ORTHO,1631
ANCHOR HEALIX 5.5 AND 6.5MM,763
ANCHOR INJEX BI-WING,592.5
ANCHOR INJEX BUMPY,592.5
ANCHOR KNOTLESS MITEK,944.6
ANCHOR MENISCAL CINCH,916
ANCHOR MINI QKANCHOR PLUS W/DR,1306
ANCHOR PANALOK/W PANACRYL,1069.4
ANCHOR SPEEDBRIDGE,4514
ANCHOR SPIRALOK 6.5,797.1
ANCHOR SUTURE FIBERTAK,941.43
ANCHOR SUTURE NANO CORKSCREW,1280
ANCHOR SUTURETAK 3.0 KNOTLESS,1280
ANCOBON CAP 500MG,438.29
ANDROGEL (1.62%) 20.25 MG PKT,95.55
ANDROGEL 5 GM PACKET,57.46
ANDROSTENEDIONE,163.6
ANESTH CARE MONITORED/MIN,7
ANESTHESIA BLOCK PER MIN,11
ANESTHESIA EPIDURAL,345
ANESTHESIA GENERAL /MIN,15
ANESTHESIA SPINAL/MIN,12
ANGIO EA ADD VES SEL S&I,1318
ANGIO EXTREMITY BIL S&I,2679
ANGIO EXTREMITY LT S&I,1785
ANGIO EXTREMITY RT S&I,1785
ANGIO PELVIC SELECTIVE S&I,3650
ANGIO PULMON BIL SEL S&I,3841
ANGIO PULMON NONSEL S&I,1466
ANGIO PULMON UNI SEL S&I,3194
ANGIO RENAL 1ST ORDER BIL,8146
ANGIO RENAL 1ST ORDER LT,8146
ANGIO RENAL 1ST ORDER RT,8146
ANGIO RENAL 2ND ORDER BIL,8146
ANGIO RENAL 2ND ORDER LT,8146
ANGIO RENAL 2ND ORDER RT,8146
ANGIO VISCERAL SEL S&I,1785
ANGIOMAX 250MG VIAL,1610.5
ANGIO-SEAL 6 FRENCH,890
ANGIOTENSION II,158.3
ANKLE BIL 2 VIEWS EA SIDE,302
ANKLE BIL MIN 3 VIEWS EA SIDE,332
ANKLE DISTRACTOR STRAP,122.08
ANKLE LT 2 VIEWS,226
ANKLE LT MIN 3 VIEWS,256
ANKLE RT 2 VIEWS,226
ANKLE RT MIN 3 VIEWS,256
ANKLE/ARM INDICES,411
ANOSCOPY REMOVE FB,1552
ANTEGRADE INTRATHORACIC STENT,17167
ANTI BLASTOMYCES CF,116.6
ANTI COCCIDIOIDES CF,99.1
ANTI DIURETIC HORMONE ADH,308
ANTI DNA AB DS,285.1
ANTI GLOM B M,63.3
ANTI HISTOPLASMA CF,149.6
ANTI HU PROTEIN,508.2
ANTI JO ANTIBODY,201.5
ANTI MITOCHONDRIAL AB,201.5
ANTI- MPO OR PR3,40.1
ANTI PARIETAL CELL AB,201.5
ANTI PLATELET ANTIBODIES,248.4
ANTI PM1 AB (SCL70),36.9
ANTI RI BONUCLEAR PROTEIN,143.4
ANTI SKELETAL MUSCLE AB,119.3
ANTI SMOOTH MUSCLE AB,201.5
ANTI SSA SJOGRENS ANTIBOD,77.5
ANTI SSB SJOGRENS ANTIBOD,77.5
ANTI STREPTOLYSIN O TTR,154.7
ANTI THROMBIN III,75.5
ANTI THYRD AB(MICROSOMAL),179.9
ANTI THYRD AB(THYROGLBLN),150.9
ANTI -Xa,131.6
ANTIBODY ELUTION RBC,164.9
ANTIBODY FUNGUS,88
ANTIBODY ID COLD,241.1
ANTIBODY ID PEG,284.1
ANTIBODY ID PREWARM,284.4
ANTIBODY ID ROUTINE,284.1
ANTIBODY SCREEN COLD,144.5
ANTIBODY SCREEN PEG,183.8
ANTIBODY SCREEN PREWARM,183.8
ANTIBODY SCREEN ROUTINE,183.8
ANTIBODY TITER,123.1
ANTIBUSE 250MG,13.02
ANTICHROMATIN ABS,59.5
ANTI-MULLERIAN HORMONE,94.1
ANTI-PLATELET FACTOR 4,106.5
ANTIRIBOSOMAL P ANTIBODIES,88
ANTIVERT 25MG TAB,3.5
ANTIVERT TAB 12.5MG,3.5
ANTIZOL 1500 MG VIAL,2772.28
ANUSOL HC CRM 1OZ,290.08
ANUSOL-HC SUPP,53.09
AO ASCENDING W/HC,399
AORTA (AAA) SCREENING,514
AORTA ULTRASOUND,514
AORTA/IVC DUPLEX COMPLETE,857
AORTO-AORTIC TUBE,6093
AORTO-AORTIC TUBE RUPTURE,6093
AORTO-BIILIAC 2 PIECE,8070
AORTO-BIILIAC 3 PIECE,10047
AORTO-BIILIAC 4 PIECE,12023
AORTO-BIILIAC RUPTURE 2 PIECE,8070
AORTO-BIILIAC RUPTURE 3 PIECE,10047
AORTO-BIILIAC RUPTURE 4 PIECE,12023
AORTOGRAM ABD W/RNOFF S&I,1783
AORTOGRAM ABDOMEN S&I,1785
AORTOGRAM THORACIC S&I,1785
AORTO-UNIILIAC 2 PIECE,8070
AORTO-UNIILIAC 3 PIECE,10047
AORTO-UNIILIAC RUPTURE 2 PIECE,8070
AORTO-UNIILIAC RUPTURE 3 PIECE,10047
APC RESISTANCE,55.7
APEX DEPUY HIP,90
APIDRA SOLOSTAR PEN 3ML,378.47
APIDRA VIAL PYXIS CHARGE,130.64
APIXABAN 2.5MG TABLET,34.04
APIXABAN 5MG TABLET,34.04
APLIGRAFT SUPPLY PER SQ CM,105.95
APP MULTLY CMPR ARM/HND,308
APP MULTLY CMPR LWR LEG BL,675
APP MULTLY CMPR LWR LEG LT,299
APP MULTLY CMPR LWR LEG RT,299
APP TL CONTACT LEG CST BIL,616
APP TL CONTACT LEG CST LT,616
APP TL CONTACT LEG CST RT,616
APPLICATION HALO; CRANIAL,85
APPLICATON ON-BODY INJECTOR,52
APPLICATOR LAP TIPS EVICEL,154.73
APPLICATOR SPRAY TIP EVICEL,90.61
APPLICATOR TIPS PROGEL,72
APPLY SHT LEG WALK CAST,428
APRESOLINE 10 MG. TAB,3.5
APRESOLINE 20MG AMP,60.17
APRESOLINE 25 MG. TABS.,3.5
APRESOLINE 50 MG  TAB,3.5
APTIOM 200MG TABLET,148.45
APTIOM 400MG TABLET,148.45
APTIOM 800MG TABLET,148.45
AQUA MEPHYTON 10MG INJ,221.91
AQUAPHOR/HYDROPHOR 100GM TUBE,19.6
AQUASOL A 10000,3.5
AQUASOL A PAR VIAL 2ML,1810.32
AQUATIC THERAPY EA 15 MIN,73
ARANESP 100MCG VIAL-ESRD,2375.25
ARANESP 150MCG VIAL NON-ESRD,3004.09
ARANESP 200MCG NON-ESRD,4005.45
ARANESP 25 MCG VIAL-ESRD,667.58
ARANESP 300MCG NON-ESRD,6008.18
ARANESP 40 MCG VIAL-ESRD,1040.1
ARANESP 500MCG PFS NON-ESRD,10013.63
ARANESP 60MCG VIAL-ESRD,1485.15
ARC AB ID EACH,22
ARC AB ID EACH PANEL,264
ARC AG SCREEN RARE EACH,347.2
ARC AHG INDIRECT TITER EA,123.1
ARC ANTIBODY ELUTION,164.9
ARC ANTIBODY SCREEN,183.8
ARC AUTO ADSORPTION,138.1
ARC DAT AHG EACH,66
ARC MOLECULAR BLOOD TESTING,650
ARC PRETREAT RBC ENZYMES,160.8
ARC PRETREAT RCB CHEM/DRG,67.2
ARC RETIC SEPARATION,138.1
ARC RH PHENOTYPE,290.3
ARC SERUM ADSORPTION,138.1
AREDIA 30MG VIAL,124.2
AREDIA 60MG/10ML VIAL,128.99
AREDIA 90MG VIAL,164.91
ARGATROBAN 2.5MG /5 ML SYR,45.54
ARGATROBAN 250MG INJ,837.39
ARGATROBAN 50MG/50ML VIAL,683.1
ARIMIDEX 1 MG TAB,3.5
ARISTADA 1064 MG,8082.81
ARISTADA 441 MG,3350.12
ARISTADA 662 MG,5028.97
ARISTADA 882 MG,6700.23
ARISTADA INITIO 675MG,5127.73
ARIXTRA 5MG SYRINGE,451.51
ARM SLING LARGE - XLARGE,8.64
ARM SLING SMALL - MEDIUM,6.05
AROMASIN 25MG TABLET,49.96
ARROW  MENISCAL 1.1 X 13 MM,426.03
ARSENIC,73.6
ART LINE PERCEPTOR 48IN HEART,91.26
ART LTD STUDY UPPER EXT,682
ART PVR LTD STUDY LOWER EXT,682
ART SURF LT 10MM C-D 6-9 VE,3025
ART SURF LT 10MM E-F 10-11 VE,3025
ART SURF LT 10MM E-F 6-9 VE,3025
ART SURF LT 10MM G-H 10-12 VE,3025
ART SURF LT 10MM G-H 6-9 VE,3025
ART SURF LT 11MM C-D 6-9 VE,3025
ART SURF LT 11MM E-F 10-11 VE,3025
ART SURF LT 11MM E-F 6-9 VE,3025
ART SURF LT 12 MM E-F 10-11 VE,3025
ART SURF LT 12MM C-D 3-5 VE,3025
ART SURF LT 12MM C-D 6-9 VE,3025
ART SURF LT 12MM E-F 6-9 VE,3025
ART SURF LT 12MM G-H 10-12 VE,3025
ART SURF LT 13MM C-D 3-5 VE,3025
ART SURF LT 13MM C-D 6-9 VE,3025
ART SURF LT 13MM E-F 10-11 VE,3025
ART SURF LT 13MM E-F 6-9 VE,3025
ART SURF LT 14MM C-D 3-5 VE,3025
ART SURF LT 14MM C-D 6-9 VE,3025
ART SURF LT 14MM E-F 6-9 VE,3025
ART SURF LT 14MM G-H 10-12 VE,3025
ART SURF LT 16MM 10-11 E-F,3025
ART SURF LT 16MM C-D 6-9 VE,3025
ART SURF LT 16MM E-F 6-9 VE,3025
ART SURF LT 16MM G-H 10-12 VE,3025
ART SURF LT 18MM E-F 10-11 VE,3025
ART SURF LT 18MM E-F 6-9 VE,3025
ART SURF RT VIV-E KNEE,3025
ARTANE 2 MG. TAB,3.5
ARTANE 5MG TABS,3.5
ARTERIAL INFLOW DUPLEX,857
ARTERIAL LINE PLACEMENT,3305
ARTERIAL THROMBECTOMY,5795
ARTHROWND SUPER TURBO,697.9
ARTICULAR SURFACE PERSONA LT,1825
ARTICULAR SURFACE PERSONA RT,1825
ARTICULAR SURFACE PERSONA RT,4556.25
ARTICULAR SURFACE RIGHT,3025
ASCORBIC ACID 500MG/ML 50ML IJ,312.16
ASP/INJ GANGLION CYST,242
ASPER CREME,9.2
ASPERGILLUS AB,154.7
ASPIR ARTHRO INJ LG JOINT,579
ASPIR ARTHRO INJ MD JOINT,579
ASPIR ARTHRO INJ SM JOINT,579
ASPIRATION OF BREAST CYST,991
ASPIRIN   TAB 5GR,3.5
ASPIRIN 1 1/4 GR TAB,3.5
ASPIRIN 300MG SUPP,5.39
ASPIRIN 600MG SUPP,5.57
ASPIRIN 81 MG **ENTERIC**,3.5
ASSISTIVE TECH ASESS,106
ASTELIN NASAL SPRAY,200.1
ASTRAMORPH PF 2MG/2ML,41.73
ATACAND 16 MG TABLET,12.15
ATARAX SYRUP 10MG/5ML UD,3.5
ATENOLOL 100MG TABLET,3.5
ATENOLOL 25MG TAB,3.5
ATEZOLIMUMAB 1200,22978.4
ATEZOLIMUMAB 840MG/14ML VIAL,16084.89
ATORVASTATIN 80 MG TAB,3.5
ATOVAQUONE-PROGUANIL 250/100MG,26.87
ATRIPLA TAB,328.62
ATROPINE 0.4MG VIAL INJ,32.2
ATROPINE 0.4MG/ML 20ML INJ,8.1
ATROPINE 1MG BRISTOJECT,41.4
ATROPINE 1MG/1ML VIAL,50.6
ATROVENT 0.02% NEB 2.5ML,3.5
ATROVENT INHALER 14GM,1265.79
ATROVENT NASAL 0.03% SPRAY,165.6
ATROVENT NASAL 0.06% SPRAY,167.9
AUDITORY EVOKED POTENTIAL COMP,642
AUGMENTIN 250MG TAB,21.85
AUGMENTIN 400MG/5ML  1ML CHG,1.02
AUGMENTIN 500MG,3.5
AUGMENTIN 875 MG TAB,3.5
AUGMENTIN ES-600 1ML CHG,3.5
AUGMENTIN SOL 250MG/75ML,238.19
AUGMENTIN SOL 250MG/75ML1MLCHG,3.5
AUGMENTIN XR 1000MG TAB,25.67
AUTO COLL PROC & STOR,270.4
AVAPRO 150 MG TABLET,3.5
AVAPRO 300 MG,3.5
AVC VAG. CRM.,799.98
AVENTYL (NORTRIPTYLINE),186.7
AVENTYL 10MG CAPS,3.5
AVENTYL 25 MG. CAPS,3.5
AVODART 0.5 MG CAPSULE,3.5
AVONEX 30 MCG SYRINGE,4480.11
AVULSION NAIL PLATE,242
AVULSION NAIL PLATE ADD-ON,196
AVYCAZ 2.5 GM VIAL,1181.58
AXUMIN  PER MCI,1150
AZASITE OPTH DROPS 2.5ML,711.43
AZILECT 1MG TAB,68.27
AZOPT EYE DROPS,1036.6
AZTREONAM 1G INJECTION,151.57
AZTREONAM 2GM VIAL EACH,307.97
AZULFIDINE 500 MG TAB,3.5
B & O SUPP 16.2-60MG,123.1
B PERT/PARAPERTUSSIS IGG,39.4
B PERTUS/PARAPERT IGM,39.4
B PERTUSSIS/PARAPERT IGA,39.4
B. PERTUSSIS DFA,35.5
B.PERTUSSIS,85.5
B2 MICROGLOBULIN (SERUM),39.4
"BACITRACIN 50,000U VIAL",46
BACITRACIN OINT 0.9GM PAK,3.5
BACITRACIN OINT 15GM TUBE,7.82
BACTRIM 400-80MG TAB,3.5
BACTRIM DS TABS,3.5
BACTRIM IV   5ML,28.85
BACTRIM IV 10ML VIAL,57.69
BACTRIM SUSP 800-160/20ML,18.31
BACTROBAN OINT 22 GM,41.4
BAG COLLECTION CO2,45
BAG HERMETIC DRN INS8700,109.01
