"Description                             ","Price     "
"CATHETER FLEXIMA NEPHROSTOMY 25CM 10F M0","    327.80"
"BALLOON (C) FORTREX  4x40x135           ","    525.00"
"ANGIOPLASTY ILIAC                       ","  12800.00"
"REVASCULARIZATION ILIAC STENT           ","  25000.00"
"ANGIOPLASTY, ADDITIONAL ILIAC           ","  12800.00"
"STENT, ADDITIONAL ILIAC                 ","  25000.00"
"ANGIOPLASTY FEMORAL                     ","  12900.00"
"ATHERECTOMY FEMORAL                     ","  32000.00"
"STENT FEMORAL                           ","  25000.00"
"STENT AND ATHERECTOMY FEMORAL           ","  43600.00"
"ANGIOPLASTY TIBIAL-PERONEAL             ","  12900.00"
"BALLOON (C) FORTREX  5x20x80            ","    525.00"
"ATHERECTOMY TIBIAL-PERONEAL             ","  32000.00"
"STENT TIBIAL-PERONEAL                   ","  25000.00"
"STENT/ATHERECTOMY TIBIAL-PERONEAL       ","  43600.00"
"ANGIOPLASTY ADD TIBIAL-PERONEAL         ","  12900.00"
"ATHERECTOMY ADD TIBIAL-PERONEAL         ","  32000.00"
"STENT ADD TIBIAL PERONEAL               ","  25000.00"
"STENT/ATHEREC/ADD TIBIAL-PERONEAL       ","  43600.00"
"ATHERECTOMY RENAL ARTERY                ","  19000.00"
"ATHRCT VISCERAL ARTERY EA VESSEL        ","  19000.00"
"ATHERECTOMY ABDOMINAL AORTA             ","  19000.00"
"CATHETER FLEXIMA NEPHROSTOMY 25CM 12F M0","    327.80"
"CATHETER FLEXIMA NEPHROSTOMY 25CM 14F M0","    327.80"
"GUIDEWIRE AMPLATZ J-TIP .035x180 (5/BX) ","    122.72"
"STENT URETERAL FLEXIMA 24CM 6F M00127412","    484.23"
"BALLOON QUANTUM APEX 3.0x12 39124-1230  ","    780.00"
"INFLATOR ENCORE 26 DEVICE #04526-01     ","    103.84"
"GUIDEWIRE CHOICE PT .014x300            ","    308.00"
"SHEATH RAABE 7FR 55CM                   ","    286.00"
"SHEATH RAABE 7FR                        ","    330.00"
"SHEATH RAABE 6FR                        ","    330.00"
"SHEATH ANSEL 8F                         ","    328.68"
"SHEATH ANSEL 7F                         ","    330.00"
"GUIDE CATHETER 8FR   DISCONTINUED       ","    286.00"
"CATHETER 4FR AL II  538446              ","     46.26"
"GUIDEWIRE STORQ SOFT .035 X 300  503356X","    305.80"
"GUIDEWIRE STORQ SOFT .035 X 180  503356 ","    226.60"
"SHEATH 6FR 45CM  401645M                ","    118.00"
"CATHETER GUIDING IM 55cm 8F G880IMD  (OB","    538.65"
"CATHETER GUIDING IM 7F (DISCONTINUED WIT","    538.65"
"CATHETER ANGIOGRAPHY DIAGNOSTIC MULTIPAC","    137.40"
"GUIDE IM 6FR 55CM 1/BX  67019055        ","    286.00"
"CATHETER J GUIDE 6F 67021455            ","    286.00"
"CATHETER GUIDE RDC 1 6FR                ","    286.00"
"CATH DIAGNOSTIC  VER135 4F  452414H0    ","    235.76"
"CATHETER DIAGNOSTIC VER135 5F  452514H0 ","    235.76"
"GUIDE RDC 6FR 67021255                  ","    286.00"
"WIRE DIAG ANGLED AQUATRACK REG .035 X 18","    200.60"
"WIRE DIAG AQUATRACK STIFF ANGLED .035 X ","    219.48"
"WIRE DIAG AQUATRACK REG ANGLED .035 X 26","    214.76"
"WIRE DIAG AQUATRACK STIFF ANGLED .035 X ","    214.76"
"CATHETER DIAG 4FR AL1  538445           ","     46.26"
"SHEATH INTRODUCER 90CM 7F 401790M       ","    118.00"
"CATHETER 4FR  538453S                   ","     46.26"
"ATHRCT BRCHIOCPH TRUNK EA VESSEL        ","  19000.00"
"ATHERECTOMY ILIAC EA VESSEL             ","  19000.00"
"BALLOON (C) FORTREX 5x20x135            ","    525.00"
"BALLOON (C) FORTREX  5x40x80            ","    525.00"
"CATH (C) ANGIOSCULPT OTW 4.0X20X137 2076","   2418.00"
"CATH (C) ANGIOSCULPT OTW 4X40X137 2076-4","   2500.00"
"CORONARY PTA SINGLE VESSEL              ","   6356.00"
"CORONARY PTA ADDITIONAL VESSEL          ","   6356.00"
"THROMBOLYSIS ARTERIAL INIT DAY          ","   3000.00"
"THROMBOLYSIS INF VENOUS INIT DAY        ","   3000.00"
"ENDOVASC ILIAC REPAIR W/GRAFT           ","   5000.00"
"THROMB INF ADD DAY VENOUS/ART           ","   5000.00"
"THROMBOLYSIS INF LAST DY CATH REMOVAL   ","   5000.00"
"CORONARY ATHERECTOMY SGL VESSEL         ","  18838.00"
"CORONARY ATHERECTOMY ADD VESSEL         ","  18838.00"
"CORONARY STENT ADDITIONAL VESSEL        ","  19465.00"
"CORONARY STENT W/ATHERECT SGL VESSEL    ","  19465.00"
"CORONARY STENT A/ATHERECTOMY ADD VES    ","  19465.00"
"BYPASS GRAFT REVASC SINGLE VESSEL       ","  19465.00"
"BYPASS GRAFT REVASC ADD VESSEL          ","  19465.00"
"GUIDE JCV 7F 55CM  77821455             ","    286.00"
"GUIDE H-STICK 7F  77827855              ","    286.00"
"CATHETER GUIDING JR4 125CM 6F  534615T  ","     42.01"
"BALLOON SLEEK 4 X 220 X 150  4254022X   ","   1065.00"
"BALLOON SAVVY  LONG 6 X 220 X 120  43660","    945.00"
"BALLOON AVIATOR 6 X 30  4246030W        ","    855.00"
"DRAPE FISTULA                           ","     15.10"
"GUIDEWIRE .035 X 145  007042            ","     25.96"
"GUIDEWIRE EXCHANGE .035x260             ","     25.96"
"GUIDEWIRE .025x145                      ","     25.96"
"GUIDEWIRE STR .035 10/BX                ","     26.72"
"CATHETER QUICK CAT 6F                   ","   1350.00"
"CATHETER TURBO 2.5 OTW (REPL 425-011) 42","   6750.00"
"LASER 1.7 TURBO RX (SPECTRANETICS)      ","   6750.00"
"CATHETER PTCA QUICK CROSS .018          ","    600.00"
"DEVICE ROBO TURBO LASER RX .9           ","   6750.00"
"CATHETER QUICK CROSS .035x90            ","    600.00"
"CATHETER QUICK CROSS .035x150           ","    600.00"
"CANNULA CEMENT VERTEPORT 10G P.C.D 0306-","    304.57"
"SHEATH PINACLE W/MARKER 25 CM 6F  RSB603","    122.72"
"GLIDEWIRE ADVANTAGE .035x180            ","    480.00"
"GLIDEWIRE ADVANTAGE ANGLED .035x260     ","    540.00"
"WIRE RUNTHROUGH .014x300                ","    352.00"
"SHEATH DESTINATION                      ","    360.80"
"CATHETER OPTI                           ","    165.20"
"CATHETER GUIDE IKARI  IL 4.0 6F 1/BX 40-","    308.00"
"BAND TR DEVICE COMPRESSION RADIAL ARTERY","    155.76"
"SHEATH GLIDE ZKIT  20-1060 (REPLACE RMRF","    264.00"
"SHEATH RO II 10CM 6F                    ","    158.12"
"SHEATH RO II                            ","    158.12"
"CATHETER PTCA GUIDELINE  6F             ","   1314.00"
"CATHETER EAGLE EYE PLATNUIM 5F          ","   1825.00"
"CATHETER REVOLUTION 3.2F 135CM 3.2 F 135","   1700.00"
"REVASC DURING ACUTE MI                  ","  19465.00"
"PERC CARD REVASC CHRONIC OCCLU 1 VESSEL ","  19465.00"
"PERC CARD REVASC CHRONIC ADD'L VESSEL   ","  19465.00"
"CORONARY DES, ADDITIONAL VESSEL         ","  18997.00"
"BALLOON (C) FORTREX  5x40x135           ","    525.00"
"BALLOON (C) REEF  5x40x80               ","    525.00"
"BALLOON (C) REEF  5x40x120              ","    525.00"
"BALLOON (C) FORTREX 5x80x80             ","    525.00"
"BALLOON (C) FORTREX  5x80x135           ","    525.00"
"BALLOON (C) FORTREX 6x20x80             ","    525.00"
"BALLOON (C) FORTREX  6x20x135           ","    525.00"
"BALLOON (C) FORTREX  6x40x80            ","    525.00"
"BALLOON (C) FORTREX 6x40x135            ","    525.00"
"BALLOON (C) REEF  6x40x80               ","    525.00"
"BALLOON (C) REEF  6x40x120              ","    525.00"
"BALLOON (C) FORTREX 6x80x80             ","    525.00"
"BALLOON (C) FORTREX 6x80x135            ","    525.00"
"BALLOON (C) FORTREX 7x20x80             ","    525.00"
"BALLOON (C) FORTREX  7x20x135           ","    525.00"
"BALLOON (C) FORTREX  7x40x80            ","    525.00"
"WIRE DIAGNOSTIC  PRESTIGE .014x185 (DISC","   1625.00"
"CATHETER EYE EAGLE  5F (85900 REPL) 8590","   1687.50"
"DILATOR 7FR  JCD7.0-38-15  G00991 (DISCO","     84.96"
"DEVICE ROTO CATH JETSTREAM G3           ","   8225.00"
"CATH SWAN GANZ 7.5F                     ","    397.06"
"BALLOON (C) FORTREX  7x40x135           ","    525.00"
"BALLOON (C) REEF  7x40x80               ","    525.00"
"BALLOON (C) FORTREX  PTA 8 X 40x80      ","    525.00"
"BALLOON (C) REEF  PTA 8 X 30x80         ","    525.00"
"BALLOON (C) REEF  PTA 8 X 40x80         ","    525.00"
"BALLOON (C) PACIFA 4x150x130            ","    675.00"
"BALLOON (C) PACIFA 4x200x130            ","    675.00"
"BALLOON (C) PACIFA 4x300x130            ","    900.00"
"DEFIBRILLATOR BI-VENTRICULAR UNIFY W/SJ4","  60000.00"
"WIRE PTCA SPARTACORE  .014x300  1005203 ","    352.00"
"BALLOON Viatrac  5x15x135               ","    555.00"
"BALLOON Viatrac  5x20x135               ","    555.00"
"BALLOON Viatrac  5x30x135               ","    555.00"
"BALLOON Viatrac  5.5x15x135             ","    555.00"
"BALLOON  Viatrac  6x20x135              ","    555.00"
"WIRE DIAG Trek  2x8                     ","    435.60"
"BALLOON Trek  2x12                      ","    435.60"
"BALLOON  Trek  2x15                     ","    435.60"
"BALLOON Trek  2.5x12                    ","    435.60"
"BALLOOON Trek  2.5x15                   ","    435.60"
"BALLOON (C) PACIFA 5x200x130            ","    675.00"
"BALLOON (C) PACIFA 5x300x130            ","    900.00"
"BALLOON (C) PACIFIC  6 X 150x130        ","    675.00"
"BALLOON (C) PACIFIC  6 X 200x130        ","    675.00"
"BALLOON (C) PACIFIC  6 X 300x130        ","    900.00"
"BALLOON (C) PACIFIC  7 X 150x130        ","    675.00"
"BALLOON (C) PACIFIC  7 X 250x130        ","    900.00"
"BALLOON (C) PACIFIC  4 X 150x90         ","    675.00"
"BALLOON (C) PACIFIC  4 X 300x90         ","    900.00"
"CORONARY DES W/ATHERECTOMY, SINGLE VES  ","  18997.00"
"CORONARY DES W/ATHERECTOMY, ADD'L VESS  ","  18997.00"
"BYPASS GRAFT REVASCULRZATN, DES, SINGLE ","  18997.00"
"BYPASS GRAFT REVASCULRZATION, DES, ADD'L","  18997.00"
"STENT (C) OMNILINK ELITE 7.0 X 19 X 135 ","   2320.50"
"STENT (C) OMNILINK ELITE 7.0 X 29 X 135 ","   2320.50"
"STENT (C) OMNILINK ELITE 7.0 X 39 X 135 ","   2320.50"
"STENT (C) OMNILINK ELITE 7.0 X 59 X 135 ","   2320.50"
"STENT (C) OMNILINK ELITE 8.0 X 19 X 135 ","   2320.50"
"STENT (C) OMNILINK ELITE 8.0 X 29 X 135 ","   2320.50"
"STENT (C) OMNILINK ELITE 8.0 X 39 X 135 ","   2320.50"
"BALLOON Trek  2.5x20                    ","    435.60"
"BALLOON Trek  3x12                      ","    435.60"
"BALLOON Trek  3x15                      ","    435.60"
"BALLOON Fox Cross  6x20x80              ","    600.00"
"BALLOON Fox Cross  6x30x80              ","    600.00"
"BALLOON Fox Cross  7x20x80              ","    600.00"
"BALLOON Fox Cross  7x30x80              ","    600.00"
"BALLOON Fox Cross  8x40x80              ","    600.00"
"BALLOON Fox Cross  5x20x135             ","    600.00"
"BALLOON Fox Cross  5x40x135             ","    600.00"
"BALLOON Fox Cross  6x120x135            ","    600.00"
"WIRE PTCA Asahi Confianza 12  .014x300  ","    560.00"
"CATHETER ANGIOGRAPHY DIAGNOSTIC BERN NON","     84.96"
"CATH DIAG OmniFlush  5F                 ","     84.96"
"SHEATH SPLIT 25cm  7F 5/BX              ","    418.00"
"BALLOON Vascutrak  5.0x300x140          ","   1925.00"
"CATH DIAG MPA2 125cm  6F                ","     33.04"
"WIRE PTCA hoice PT  .014x182            ","    330.00"
"CLOSURE DEVICE boomerang cat 2          ","    600.00"
"CLOSURE DEVICE boomerang cat 3          ","    480.00"
"SHEATH ANSEL 45CM 6F                    ","    330.00"
"SHEATH 5.5CM 6F  401-605M               ","   1072.05"
"WIRE DIAG SV-5  .018 X 300  503558X     ","    330.00"
"DILATOR 4F  504404X                     ","     45.08"
"CATH DIAG JL3.5  533618                 ","     39.88"
"CATH DIAG  JL4  6F  533620              ","     39.88"
"ATH DIAG JR5  6F  533623                ","     39.88"
"CATH DIAG MPA2  6F 533642               ","     39.88"
"CATH DIAG AL1  6F  533645               ","     39.88"
"CATH DIAG  AL2  6F  533646              ","     39.88"
"CATH DIAG AL3  6F 533647                ","     39.88"
"CATH DIAG JR4  6F 533687                ","     39.88"
"CATH DIAG JL 3.5  5F  534518T           ","     42.01"
"STENT (C) OMNILINK ELITE 8.0 X 59 X 135 ","   2320.50"
"STENT (C) OMNILINK ELITE 7.0 X 19 X 80 C","   2320.50"
"STENT (C) OMNILINK ELITE 7.0 X 29 X 80 C","   2320.50"
"STENT (C) OMNILINK ELITE 7.0 X 39 X 80 C","   2320.50"
"STENT (C) OMNILINK ELITE 7.0 X 59 X 80 C","   2320.50"
"STENT OMNILINK ELITE 8x19x80            ","   2320.50"
"STENT OMNILINK ELITE 8x29x80            ","   2320.50"
"STENT OMNILINK ELITE 8x39x80            ","   2320.50"
"STENT OMNILINK ELITE 8x59x80            ","   2320.50"
"STENT (C) OMNILINK ELITE 9.0 X 19 X 80 C","   2320.50"
"BALLOON (C) PACIFIC  5 X 150x90         ","    675.00"
"BALLOON (C) PACIFIC  5 X 200x90         ","    675.00"
"BALLOON (C) PACIFIC  5 X 300x90         ","    900.00"
"BALLOON (C) PACIFIC 6 X 150x90          ","    675.00"
"SUTURE ETHICON  K833H SILK 2-0 SH       ","      7.32"
"SUTURE ETHICON J346H VICRYL SZ 0        ","      9.02"
"SUTURE ETHICON  J269H 2-0 VICRYL        ","      9.02"
"SUTURE ETHICON  J258H VICRYL 3-0        ","      8.50"
"SUTURE ETHICON  J416H VICRYL 3-0 SH     ","      8.50"
"SUTURE USS MONOSOF 2-0 30 BLACK FSLX C-1","     30.40"
"SUTURE ETHICON  J844G VICRYL 5-0 (12/BX)","     21.76"
"CATH DIAG  JL 5  5F  534522T            ","     42.01"
"CATH DIAG  AL I  5F  534545T            ","     42.01"
"CATH DIAG STRAIGHT PIGTAIL 5F  534550S  ","     42.01"
"CATH DIAG 3DRC  5F  534576T             ","     25.20"
"CATH DIAG  JL5  6F  534622T             ","     42.01"
"CATH DIAG STRAIGHT PIGTAIL  6F  534650S ","     42.01"
"CATHETER ANGIOGRAPHY DIAGNOSTIC AR MOD I","     46.26"
"CATH PTCA 3DRC GUIDE  6F  67013000      ","    226.56"
"GUIDE LAMAITRE STENT 1102-20 20/BX      ","    207.49"
"CATH DIAG Site Seer MPA2  6F            ","     35.40"
"CATH DIAG Site Seer MultiPack  6F       ","     35.40"
"CATH PTCA INTERVENTIONAL EBU3 GUIDE  6F ","    221.84"
"CATH PTCA INTERVENTIONAL JL4.5 GUIDE  6F","    221.84"
"CATH PTCA INTERVENTIONAL MB1 GUIDE 6F   ","    221.84"
"CATH (C) BALLOON PTCA  NC  SPRINTER  2.5","    480.00"
"BALLOON Sprinter Legend  2.5X6          ","    516.00"
"WIRE PTCA Thunder .014x300              ","    299.20"
"CATH PTCA INTERVENTIONAL JR4 GUIDE  7F  ","    221.84"
"CATH DIAG CRD Quad  5F                  ","    600.00"
"CATH DIAGJSN Quad  5F                   ","    462.00"
"CATH DIAG CRD-2 Quad  5F                ","    600.00"
"CATH DIAG CSL Dec  5F                   ","   1350.00"
"CATH ABLATION SAFIRE MC  4MM            ","   1812.50"
"CATH ABLATION SAFIRE LC  4MM            ","   1850.00"
"CLOSURE DEVICE Angioseal  8             ","    630.00"
"SHEATH  Pinnacle 10 cm  7F              ","     43.42"
"SHEATH PINNACLE 10CM  8F                ","     43.42"
"CATH DIAG 5f Straight Pig               ","     51.92"
"CATH DIAG 5f Angled Pig                 ","    108.56"
"CATH DIAG 5f JL3.5                      ","     51.92"
"CATH DIAG 5f JL 4.0                     ","     51.92"
"SUTURE ETHICON  Y333H  MONOCRYL 2-0     ","     10.81"
"SUTURE ETHICON J426H DEXON/VICRYL/POLYSO","     18.74"
"BALLOON (C) PACIFIC  6 X 200x90         ","    675.00"
"BALLOON (C) PACIFIC  6 X 300x90         ","    900.00"
"BALLOON (C) PACIFIC 7 X 150x90          ","    675.00"
"BALLOON (C) PACIFIC 7 X 200x90          ","    675.00"
"BALLOON (C) PACIFIC PLUS 5X20X90 PCP0500","    750.00"
"BALLOON (C) PACIFIC PLUS 5 X 20 X130 PCP","    750.00"
"BALLOON (C) PACIFIC PLUS 5 X 40 X 90 PCP","    750.00"
"BALLOON (C) PACIFIC PLUS 5 X 40 X 130 PC","    750.00"
"BALLOON (C) PACIFIC PLUS 5 X 60 X 90 PCP","    750.00"
"BALLOON (C) PACIFIC PLUS 5 X 60 X 130 PC","    750.00"
"BALLOON (C) PACIFIC PLUS 5 X 80 X 90 PCP","    750.00"
"BALLOON (C) PACIFIC PLUS 5 X 80 X 130 PC","    750.00"
"BALLOON (C) PACIFIC PLUS 5 X 120 X 90 PC","    750.00"
"BALLOON (C) PACIFIC PLUS 5 X 120 X 130 P","    750.00"
"BALLOON (C) PACIFIC PLUS 6X60X90 PCP0600","    750.00"
"BALLOON (C) PACIFIC PLUS 6 X 20 X 90 PCP","    750.00"
"BALLOON (C) PACIFIC PLUS 6 X 20 X 130 PC","    750.00"
"BALLOON (C) PACIFIC PLUS 6 X 40 X 90 PCP","    750.00"
"BALLOON (C) PACIFIC PLUS 6 X 40 X 130 PC","    750.00"
"BALLOON (C) PACIFIC PLUS 6 X 60 X 130 PC","    750.00"
"BALLOON (C) PACIFIC PLUS 6 X 120 X 130 P","    750.00"
"CATH DIAG  5f JL 5.0                    ","     51.92"
"CATH DIAG  5f JR3.5                     ","     51.92"
"CATH DIAG  5f JR 4.0                    ","     51.92"
"CATH DIAG 5f JR5.0                      ","     51.92"
"CATH DIAG 5f IM                         ","     51.92"
"CATH DIAG 5f AL1                        ","     51.92"
"CATH DIAG 5f  AL2                       ","     51.92"
"CATH DIAG  6f Straigth Pig              ","     51.92"
"CATH DIAG 6f Angled Pig                 ","     51.92"
"CATH DIAG  6f  JL 3.5                   ","     51.92"
"CATH DIAG  6f JL 4.0                    ","     51.92"
"CATH DIAG 6f JL 5.0                     ","     51.92"
"CATH DIAG  6f JR 3.5                    ","     51.92"
"CATH DIAG 6f  JR 4.0                    ","     51.92"
"CATH DIAG 6f JR 5.0                     ","     51.92"
"CATH DIAG  6f IM                        ","     51.92"
"CATH DIAG 6f AL 1                       ","     51.92"
"CATH DIAG 6f AL 2                       ","    108.56"
"Glidesheath .021  6F 5/BX 40-1060 (REPLA","    178.18"
"Glidesheath .035  6F 5/BX  35-1060 (REPL","    178.18"
"SHEATH Z Kit  5F 20-1050 (REPLACE #RMRF5","    226.56"
"SHEATH Pinnacle w/ Marker  25 cm  7F    ","    122.72"
"CLOSURE DEVICE TR band Medium TRB24-REG ","    155.76"
"SLEEVE STERI 481045  CAT# CON-006-02    ","     66.08"
"BALLOON (C) PACIFIC PLUS 7 X 20 X 90 PCP","    750.00"
"BALLOON (C) PACIFIC PLUS 7 X 20 X 130 PC","    750.00"
"GLIDEWIRE AMPLATZ SUPERSTIFF .35X260CM (","    122.72"
"GLIDEWIRE .035 260CM GR3509 5/BX        ","    209.57"
"SWITCH/STOPCOCK FLOW MEDI-TECH M00144201","     18.88"
"CATHETER GUIDING PTCA 6FR JR4 67008200  ","    226.56"
"FILTER WIRE 20100-190                   ","   3398.55"
"CATH ANGIOGRAPHIC DIAGNOSTIC IM 6FR ST 1","     39.88"
"CATHETER F4 JR4 DIAGNOSTIC INF 100CM  53","     46.26"
"ANGIOSEAL CLOSURE DEVICE 6FR   10EA/BX  ","    630.00"
"CATH (C) ANGIOSCULPT EX,US, PTCA 2.5X10 ","   2000.00"
"CATH (C) ANGIOSCULPT EX,US, PTCA 2.5X15 ","   2000.00"
"CATH ANGIOGRAPHIC  6F 3DRC 100CM  .038  ","     42.01"
"CATH DIAGNOSTIC  4F JL 5 100CM  .038  53","     46.26"
"GUIDEWIRE MIRACLE BROS 3  300CM .014 149","    560.00"
"CATHETER DIAGNOSTIC 4FR INF MP A-2 100CM","     46.26"
"CATH SAFIRE TX BI-DIR 7FR MEDIUM CURVE 4","   2375.00"
"CATHETER MPAC 6F STP JL4, JR4, PIG6     ","    118.47"
"CATHETER FR5 INFINITI MULTIPACK 534592T ","    124.75"
"CATHETER 6F INF PIG 145 110 CM 6 SH 5346","     42.01"
"BALLOON (C) PACIFIC PLUS 7 X 40 X 90 PCP","    750.00"
"BALLOON (C) PACIFIC PLUS 7 X 40 X 130 PC","    750.00"
"BALLOON (C) PACIFIC PLUS 7 X 80 X 130 PC","    750.00"
"BALLOON (C) NANOCROSS ELITE 2.0 X 120 X ","    825.00"
"BALLOON (C) NANOCROSS ELITE  2.5 X 120 X","    825.00"
"BALLOON (C) NANOCROSS ELITE  3.0 X 120 X","    825.00"
"STENT (C) OMNILINK ELITE 9.0 X 29 X 80 C","   2320.50"
"STENT (C) OMNILINK ELITE 9.0 X 39 X 80 C","   2320.50"
"STENT (C) OMNILINK ELITE 9.0 X 59 X 80 C","   2320.50"
"STENT (C) OMNILINK ELITE 10.0 X 19 X 80 ","   2320.50"
"STENT (C) OMNILINK ELITE 10.0 X 29 X 80 ","   2320.50"
"STENT (C) OMNILINK ELITE 10.0 X 39 X 80 ","   2320.50"
"KIT TUBING COOL FLOW IRRIGATION CFT001  ","    309.76"
"STENT (C) OMNILINK ELITE 10.0 X 59 X 80 ","   2320.50"
"IV OCT FOR PROC INIT VESSEL             ","    200.00"
"REVASCULARIZATION DURING ACUTE MI, DES  ","  18997.00"
"REVASCLRZATION CHRONIC TOTAL OCCL, DES  ","  18997.00"
"REVASCULARIZATION EACH ADD'L, DES       ","  18997.00"
"IV OCT FOR PROC ADD'L VESSEL            ","    200.00"
"PLACE CATH CAROTID W/EXTRACRANIAL ANGIO ","  12086.00"
"PLACE CATH CAROTID W/INTRACRANIAL ANGIO ","  13898.00"
"PLACE CATH EXTERNAL CAROTID ADD-ON      ","   9050.00"
"PLACE CATH INTERNAL CAROTID W/ANGIO     ","  13898.00"
"PLACE CATH INTRACRANIAL ART:ADD-ON ANGIO","   9050.00"
"PLACE CATH SUBCLAVIAN/INNOM ART W/ANGIO ","   7587.00"
"PLACE CATH THORACIC AORTA W/ANGIO       ","   6660.00"
"PLACE CATH VERTEBRAL W/ANGIO            ","  10891.00"
"INTRAVASCULAR US COR VESS INITIAL LM    ","   5187.10"
"BALLOON (C) NANOCROSS ELITE  4.0 X 40 X ","    825.00"
"BALLOON (C) NANOCROSS ELITE  4.0 X 80 X ","    825.00"
"BALLOON (C) NANOCROSS ELITE  2.0 X 150 X","    900.00"
"BALLOON (C) NANOCROSS ELITE  2.5 X 150 X","    900.00"
"BALLOON (C) NANOCROSS ELITE  3.0 X 150 X","    900.00"
"BALLOON (C) NANOCROSS ELITE  3.5 X 150 X","    900.00"
"BALLOON (C) NANOCROSS ELITE  4.0 X 150 X","    900.00"
"MORPHINE SO,   0.4MG/ML ORAL SYRINGE    ","      4.39"
"HYDROXYZINE HCL, 25MG/ML 1ML VIAL       ","     18.00"
"BALLOON (C) NANOCROSS ELITE  2.0-2.5 X 2","    900.00"
"BALLOON (C) NANOCROSS ELITE  2.5-3.0 X 2","    900.00"
"BALLOON (C) NANOCROSS ELITE  3.0-3.5 X 2","    900.00"
"BALLOON (C) NANOCROSS ELITE  3.5-4.0 X 2","    900.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 4MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    600.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    600.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 5MM ","    600.00"
"BALLOON (C) ADMIRAL PTA 5 X 250x80      ","    750.00"
"WIRE INTRODUCER GUIDANT                 ","     14.16"
"GUIDEWIRE PILOT 150 190CM 1010481-H     ","    404.80"
"STENT RX ACCUNET 7.5 X 190              ","   3875.00"
"STENT RX ACCUNET 5.5 X 190              ","   3875.00"
"STENT RX ACCUNET 6.5 X 190              ","   3875.00"
"GUIDEWIRE 6F GL 3.5 SH                  ","    220.00"
"GUIDEWIRE HI-TORQ CROSS-IT 300XT 1003315","    352.00"
"CATHETER GUIDING VERI 6FR RDC1 DISCONTIN","    286.00"
"GUIDE PERIPH VERIPATH LIMA 7FR 1005597-0","    330.00"
"GUIDEWIRE CROSS-IT 400XT                ","    308.00"
"WIRE SUPER 315CM 82001-01 DISCONTINUED  ","    560.00"
"GUIDEWIRE PILOT 50 190CM 1010480H       ","    404.80"
"CATHETER GUIDING VERI 7FR RDC1 DISCONTIN","    330.00"
"GUIDEWIRE CROSS-IT 100 300CM            ","    404.80"
"SHIELD EMBO NAV 6 SMALL 2.5-4.8  (487802","   4487.50"
"BAREWIRE WORKHORSE FILTER 315CM 22440-31","    540.00"
"BAREWIRE SUPPORTFILTER DEL. 190CM 22441-","    540.00"
"WIRE DISTAL ACCESS 190CM                ","    480.00"
"COVER PROBE W/GEL 25EA/CS               ","     19.35"
"LINE PICC MORPHENS 4FR                  ","    472.80"
"LINE PICC MORPHENS 5FR                  ","    496.50"
"CATHETER HOOK 2                         ","     83.31"
"CATHETER RENAL 10720002                 ","     83.31"
"CATHETER BALLOON WORKHORSE 6X2X50       ","    501.00"
"CATH INFUSION SYS 5FR 90CM 12401806     ","    525.00"
"CATHETER BALLOON WORKHORSE 8X2X50 DISCON","    500.00"
"WIRE .018 X 45CM 6507201                ","    112.29"
"CATHETER BALLOON WORKHORSE 6 X 4 DISCONT","    500.00"
"CATHETER STRAIGHT 5FR  10731501         ","     84.96"
"CATHETER HEADHUNTER 1 5FR               ","     84.96"
"BALLOON (C) ADMIRAL PTA 5 X 250x130     ","    750.00"
"BALLOON (C) ADMIRAL PTA 5 X 300x80      ","    750.00"
"BALLOON (C) ADMIRAL PTA 5 X 300x130     ","    750.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 6MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 6MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 6MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 6MM ","    560.00"
"BALLOON (C) EVERCROSS 0.035 OTW PTA 6MM ","    560.00"
"PACEMAKER ANTHEM RF  B.V PPM PM3210     ","  18500.00"
"INTRAVASCULAR US COR VESS INITIAL RI    ","   5187.10"
"INTRAVASCULAR US COR VESS ADD RI        ","   5187.10"
"INTRAVASCULAR US COR VESS ADD LM        ","   5187.10"
"ENDOVASC AAA REPR W/2-P PART            ","   5187.00"
"ENDOVASC REPAIR ABDOM AORTA  S&I        ","   3385.00"
"ENDOVASC EXTEND PROSTH INIT             ","   5187.00"
