"Ketchikan, AK",,
PeaceHealth:  Ketchikan Medical Center,,
Inpatient hospital average charge per Medicare's MSDRG Medical Condition coding,,
,,
,,
DRG,DRG Description,Average Inpatient Charge for Health Condition
443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","4,678"
445,DISORDERS OF THE BILIARY TRACT W CC,"41,636"
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"16,285"
464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","66,838"
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"91,227"
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"52,540"
480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"60,230"
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"56,511"
482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"41,168"
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"62,717"
487,KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,"55,849"
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"56,391"
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"39,718"
493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","38,645"
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","49,755"
496,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,"41,568"
501,SOFT TISSUE PROCEDURES W CC,"40,694"
502,SOFT TISSUE PROCEDURES W/O CC/MCC,"16,587"
504,FOOT PROCEDURES W CC,"39,906"
511,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC","25,348"
517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"25,180"
535,FRACTURES OF HIP & PELVIS W MCC,"55,197"
536,FRACTURES OF HIP & PELVIS W/O MCC,"12,489"
540,OSTEOMYELITIS W CC,"64,037"
542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,"63,243"
543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"4,690"
546,CONNECTIVE TISSUE DISORDERS W CC,"26,904"
550,SEPTIC ARTHRITIS W/O CC/MCC,"19,910"
552,MEDICAL BACK PROBLEMS W/O MCC,"25,395"
554,BONE DISEASES & ARTHROPATHIES W/O MCC,"18,738"
556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,"16,570"
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","20,032"
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC","12,421"
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC","7,564"
565,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,"30,535"
571,SKIN DEBRIDEMENT W CC,"26,161"
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","35,348"
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","36,343"
603,CELLULITIS W/O MCC,"18,691"
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","9,569"
607,MINOR SKIN DISORDERS W/O MCC,"8,229"
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","56,356"
637,DIABETES W MCC,"27,627"
638,DIABETES W CC,"18,936"
639,DIABETES W/O CC/MCC,"14,090"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","21,554"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","23,615"
644,ENDOCRINE DISORDERS W CC,"33,618"
669,TRANSURETHRAL PROCEDURES W CC,"27,298"
682,RENAL FAILURE W MCC,"15,352"
683,RENAL FAILURE W CC,"19,376"
684,RENAL FAILURE W/O CC/MCC,"4,073"
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"14,956"
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"14,330"
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"11,304"
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"14,871"
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"24,620"
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"12,295"
727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC,"21,569"
742,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"37,363"
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"31,833"
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC","28,582"
765,CESAREAN SECTION W CC/MCC,"32,093"
766,CESAREAN SECTION W/O CC/MCC,"33,575"
767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,"34,958"
768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C,"20,198"
770,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY","12,277"
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"14,920"
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"16,450"
776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"12,102"
778,THREATENED ABORTION,"5,264"
779,ABORTION W/O D&C,"16,618"
780,FALSE LABOR,"3,816"
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"4,602"
784,CESAREAN SECTION W STERILIZATION W CC,"32,657"
785,CESAREAN SECTION W STERILIZATION W/O CC/MCC,"30,174"
786,CESAREAN SECTION W/O STERILIZATION W MCC,"45,995"
787,CESAREAN SECTION W/O STERILIZATION W CC,"33,567"
788,CESAREAN SECTION W/O STERILIZATION W/O CC/MCC,"32,213"
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","6,172"
791,PREMATURITY W MAJOR PROBLEMS,"8,090"
792,PREMATURITY W/O MAJOR PROBLEMS,"10,140"
793,FULL TERM NEONATE W MAJOR PROBLEMS,"9,769"
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"7,641"
795,NORMAL NEWBORN,"6,340"
796,VAGINAL DELIVERY W STERILIZATION/D&C W MCC,"17,795"
797,VAGINAL DELIVERY W STERILIZATION/D&C W CC,"26,197"
798,VAGINAL DELIVERY W STERILIZATION/D&C WO CC/MCC,"25,564"
805,VAGINAL DELIVERY W/O STERILIZATION/D&C W MCC,"15,344"
806,VAGINAL DELIVERY W/O STERILIZATION/D&C W CC,"16,890"
807,VAGINAL DELIVERY W/O STERILIZATION/D&C W/O CC/MCC,"14,873"
811,RED BLOOD CELL DISORDERS W MCC,"27,902"
812,RED BLOOD CELL DISORDERS W/O MCC,"21,470"
813,COAGULATION DISORDERS,"30,313"
815,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,"6,774"
832,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W CC,"5,233"
833,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W/O CC/MCC,"5,926"
840,LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,"37,724"
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"89,318"
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"80,516"
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,"16,887"
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"13,060"
864,FEVER AND INFLAMMATORY CONDITIONS,"28,193"
866,VIRAL ILLNESS W/O MCC,"10,004"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"28,492"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"21,894"
876,O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,"10,844"
880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"10,996"
881,DEPRESSIVE NEUROSES,"8,625"
882,NEUROSES EXCEPT DEPRESSIVE,"6,067"
883,DISORDERS OF PERSONALITY & IMPULSE CONTROL,"19,959"
885,PSYCHOSES,"13,322"
886,BEHAVIORAL & DEVELOPMENTAL DISORDERS,"11,290"
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","24,269"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"13,902"
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,"46,216"
914,TRAUMATIC INJURY W/O MCC,"10,377"
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"32,846"
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"11,514"
922,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC","51,981"
947,SIGNS & SYMPTOMS W MCC,"8,516"
948,SIGNS & SYMPTOMS W/O MCC,"18,653"
949,AFTERCARE W CC/MCC,"8,849"
951,OTHER FACTORS INFLUENCING HEALTH STATUS,"15,155"
964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,"32,630"
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"35,230"
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"15,137"
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"22,667"
