Average Hospital Charges by standard diagnosis groupings (MSDRG) relevant to the CMS guidelines.,,,,
"Hospital Charges (Chargemaster Rates)  include hospital services, pharmaceuticals and supply items necessary to treat patients. ",,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital. Supply prices may vary based on manufacturer's cost to hospital.",,,,
"Hospital charges can help patients understand potential costs for certain health care services, but they don’t provide a full picture of what patients will pay. ",,,,
The patient's financial liability will depend on the full course of treatment and on the type of insurance coverage.  ,,,,
Patients and consumers are encouraged to speak to their providers and health plan to get a full picture of what they will pay.  ,,,,
"For our patients, we offer financial counseling for those experiencing hardship during any point throughout their care.",,,,
,,,,
Facility,MS DRG,Description,Number of Claims, Average Proposed Charge 
COVENANT MEDICAL CENTER,076,Viral Meningitis W/O Cc/Mcc,1," $51,705 "
COVENANT MEDICAL CENTER,077,Hypertensive Encephalopathy W Mcc,5," $97,454 "
COVENANT MEDICAL CENTER,078,Hypertensive Encephalopathy W Cc,3," $56,751 "
COVENANT MEDICAL CENTER,080,Nontraumatic Stupor & Coma W Mcc,3," $72,166 "
COVENANT MEDICAL CENTER,081,Nontraumatic Stupor & Coma W/O Mcc,1," $56,736 "
COVENANT MEDICAL CENTER,082,"Traumatic Stupor & Coma, Coma >1 Hr W Mcc",20," $160,690 "
COVENANT MEDICAL CENTER,083,"Traumatic Stupor & Coma, Coma >1 Hr W Cc",5," $80,353 "
COVENANT MEDICAL CENTER,084,"Traumatic Stupor & Coma, Coma >1 Hr W/O Cc/Mcc",7," $59,030 "
COVENANT MEDICAL CENTER,085,"Traumatic Stupor & Coma, Coma <1 Hr W Mcc",19," $129,484 "
COVENANT MEDICAL CENTER,086,"Traumatic Stupor & Coma, Coma <1 Hr W Cc",13," $90,277 "
COVENANT MEDICAL CENTER,087,"Traumatic Stupor & Coma, Coma <1 Hr W/O Cc/Mcc",11," $64,750 "
COVENANT MEDICAL CENTER,088,Concussion W Mcc,4," $111,561 "
COVENANT MEDICAL CENTER,091,Other Disorders Of Nervous System W Mcc,13," $201,402 "
COVENANT MEDICAL CENTER,092,Other Disorders Of Nervous System W Cc,19," $101,091 "
COVENANT MEDICAL CENTER,093,Other Disorders Of Nervous System W/O Cc/Mcc,5," $60,017 "
COVENANT MEDICAL CENTER,094,Bacterial & Tuberculous Infections Of Nervous System W Mcc,11," $318,252 "
COVENANT MEDICAL CENTER,095,Bacterial & Tuberculous Infections Of Nervous System W Cc,3," $348,373 "
COVENANT MEDICAL CENTER,096,Bacterial & Tuberculous Infections Of Nervous System W/O Cc/Mcc,3," $133,048 "
COVENANT MEDICAL CENTER,097,Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W Mcc,13," $319,758 "
COVENANT MEDICAL CENTER,098,Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W Cc,4," $86,174 "
COVENANT MEDICAL CENTER,099,Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W/O Cc/Mcc,1," $57,717 "
COVENANT MEDICAL CENTER,100,Seizures W Mcc,46," $166,000 "
COVENANT MEDICAL CENTER,101,Seizures W/O Mcc,147," $65,948 "
COVENANT MEDICAL CENTER,102,Headaches W Mcc,3," $120,113 "
COVENANT MEDICAL CENTER,103,Headaches W/O Mcc,19," $87,164 "
COVENANT MEDICAL CENTER,114,Orbital Procedures W/O Cc/Mcc,1," $221,346 "
COVENANT MEDICAL CENTER,116,Intraocular Procedures W Cc/Mcc,1," $175,495 "
COVENANT MEDICAL CENTER,123,Neurological Eye Disorders,3," $50,545 "
COVENANT MEDICAL CENTER,124,Other Disorders Of The Eye W Mcc,2," $79,778 "
COVENANT MEDICAL CENTER,125,Other Disorders Of The Eye W/O Mcc,5," $43,937 "
COVENANT MEDICAL CENTER,129,Major Head & Neck Procedures W Cc/Mcc Or Major Device,4," $110,869 "
COVENANT MEDICAL CENTER,130,Major Head & Neck Procedures W/O Cc/Mcc,5," $77,325 "
COVENANT MEDICAL CENTER,131,Cranial/Facial Procedures W Cc/Mcc,3," $60,298 "
COVENANT MEDICAL CENTER,132,Cranial/Facial Procedures W/O Cc/Mcc,1," $45,833 "
COVENANT MEDICAL CENTER,133,"Other Ear, Nose, Mouth & Throat O.R. Procedures W Cc/Mcc",8," $128,296 "
COVENANT MEDICAL CENTER,134,"Other Ear, Nose, Mouth & Throat O.R. Procedures W/O Cc/Mcc",2," $68,194 "
COVENANT MEDICAL CENTER,137,Mouth Procedures W Cc/Mcc,2," $141,607 "
COVENANT MEDICAL CENTER,138,Mouth Procedures W/O Cc/Mcc,1," $30,733 "
COVENANT MEDICAL CENTER,139,Salivary Gland Procedures,2," $130,337 "
COVENANT MEDICAL CENTER,146,"Ear, Nose, Mouth & Throat Malignancy W Mcc",3," $68,829 "
COVENANT MEDICAL CENTER,148,"Ear, Nose, Mouth & Throat Malignancy W/O Cc/Mcc",1," $43,753 "
COVENANT MEDICAL CENTER,149,Dysequilibrium,8," $42,247 "
COVENANT MEDICAL CENTER,151,Epistaxis W/O Mcc,1," $19,782 "
COVENANT MEDICAL CENTER,152,Otitis Media & Uri W Mcc,7," $59,886 "
COVENANT MEDICAL CENTER,153,Otitis Media & Uri W/O Mcc,17," $58,089 "
COVENANT MEDICAL CENTER,154,"Other Ear, Nose, Mouth & Throat Diagnoses W Mcc",3," $87,378 "
COVENANT MEDICAL CENTER,155,"Other Ear, Nose, Mouth & Throat Diagnoses W Cc",1," $122,019 "
COVENANT MEDICAL CENTER,156,"Other Ear, Nose, Mouth & Throat Diagnoses W/O Cc/Mcc",4," $71,207 "
COVENANT MEDICAL CENTER,157,Dental & Oral Diseases W Mcc,1," $39,450 "
COVENANT MEDICAL CENTER,158,Dental & Oral Diseases W Cc,7," $71,364 "
COVENANT MEDICAL CENTER,159,Dental & Oral Diseases W/O Cc/Mcc,2," $55,516 "
COVENANT MEDICAL CENTER,163,Major Chest Procedures W Mcc,42," $323,385 "
COVENANT MEDICAL CENTER,164,Major Chest Procedures W Cc,31," $214,195 "
COVENANT MEDICAL CENTER,165,Major Chest Procedures W/O Cc/Mcc,3," $175,798 "
COVENANT MEDICAL CENTER,166,Other Resp System O.R. Procedures W Mcc,70," $291,955 "
COVENANT MEDICAL CENTER,167,Other Resp System O.R. Procedures W Cc,12," $161,451 "
COVENANT MEDICAL CENTER,168,Other Resp System O.R. Procedures W/O Cc/Mcc,4," $134,044 "
COVENANT MEDICAL CENTER,175,Pulmonary Embolism W Mcc,52," $88,936 "
COVENANT MEDICAL CENTER,176,Pulmonary Embolism W/O Mcc,31," $57,074 "
COVENANT MEDICAL CENTER,177,Respiratory Infections & Inflammations W Mcc,190," $150,251 "
COVENANT MEDICAL CENTER,178,Respiratory Infections & Inflammations W Cc,34," $73,403 "
COVENANT MEDICAL CENTER,179,Respiratory Infections & Inflammations W/O Cc/Mcc,9," $87,621 "
COVENANT MEDICAL CENTER,180,Respiratory Neoplasms W Mcc,35," $140,451 "
COVENANT MEDICAL CENTER,181,Respiratory Neoplasms W Cc,13," $76,277 "
COVENANT MEDICAL CENTER,183,Major Chest Trauma W Mcc,9," $142,075 "
COVENANT MEDICAL CENTER,184,Major Chest Trauma W Cc,8," $74,877 "
COVENANT MEDICAL CENTER,185,Major Chest Trauma W/O Cc/Mcc,4," $56,027 "
COVENANT MEDICAL CENTER,186,Pleural Effusion W Mcc,20," $123,812 "
COVENANT MEDICAL CENTER,187,Pleural Effusion W Cc,6," $86,444 "
COVENANT MEDICAL CENTER,188,Pleural Effusion W/O Cc/Mcc,2," $53,528 "
COVENANT MEDICAL CENTER,189,Pulmonary Edema & Respiratory Failure,221," $112,462 "
COVENANT MEDICAL CENTER,190,Chronic Obstructive Pulmonary Disease W Mcc,80," $83,997 "
COVENANT MEDICAL CENTER,191,Chronic Obstructive Pulmonary Disease W Cc,20," $63,587 "
COVENANT MEDICAL CENTER,192,Chronic Obstructive Pulmonary Disease W/O Cc/Mcc,6," $74,317 "
COVENANT MEDICAL CENTER,193,Simple Pneumonia & Pleurisy W Mcc,197," $107,689 "
COVENANT MEDICAL CENTER,194,Simple Pneumonia & Pleurisy W Cc,58," $67,269 "
COVENANT MEDICAL CENTER,195,Simple Pneumonia & Pleurisy W/O Cc/Mcc,20," $53,322 "
COVENANT MEDICAL CENTER,196,Interstitial Lung Disease W Mcc,8," $108,390 "
COVENANT MEDICAL CENTER,197,Interstitial Lung Disease W Cc,1," $162,159 "
COVENANT MEDICAL CENTER,199,Pneumothorax W Mcc,11," $115,478 "
COVENANT MEDICAL CENTER,200,Pneumothorax W Cc,18," $103,865 "
COVENANT MEDICAL CENTER,201,Pneumothorax W/O Cc/Mcc,6," $43,139 "
COVENANT MEDICAL CENTER,202,Bronchitis & Asthma W Cc/Mcc,34," $72,093 "
COVENANT MEDICAL CENTER,203,Bronchitis & Asthma W/O Cc/Mcc,8," $54,026 "
COVENANT MEDICAL CENTER,204,Respiratory Signs & Symptoms,4," $55,616 "
COVENANT MEDICAL CENTER,205,Other Respiratory System Diagnoses W Mcc,12," $109,326 "
COVENANT MEDICAL CENTER,206,Other Respiratory System Diagnoses W/O Mcc,9," $59,439 "
COVENANT MEDICAL CENTER,207,Respiratory System Diagnosis W Ventilator Support >96 Hours Or Peripheral ECMO,61," $431,005 "
COVENANT MEDICAL CENTER,208,Respiratory System Diagnosis W Ventilator Support <=96 Hours,154," $184,777 "
COVENANT MEDICAL CENTER,216,Cardiac Valve & Oth Maj Cardiothoracic Proc W Card Cath W Mcc,13," $559,412 "
COVENANT MEDICAL CENTER,217,Cardiac Valve & Oth Maj Cardiothoracic Proc W Card Cath W Cc,7," $483,748 "
COVENANT MEDICAL CENTER,219,Cardiac Valve & Oth Maj Cardiothoracic Proc W/O Card Cath W Mcc,12," $604,781 "
COVENANT MEDICAL CENTER,220,Cardiac Valve & Oth Maj Cardiothoracic Proc W/O Card Cath W Cc,22," $408,736 "
COVENANT MEDICAL CENTER,221,Cardiac Valve & Oth Maj Cardiothoracic Proc W/O Card Cath W/O Cc/Mcc,1," $314,957 "
COVENANT MEDICAL CENTER,222,Cardiac Defib Implant W Cardiac Cath W Ami/Hf/Shock W Mcc,3," $436,033 "
COVENANT MEDICAL CENTER,223,Cardiac Defib Implant W Cardiac Cath W Ami/Hf/Shock W/O Mcc,1," $260,893 "
COVENANT MEDICAL CENTER,224,Cardiac Defib Implant W Cardiac Cath W/O Ami/Hf/Shock W Mcc,1," $790,414 "
COVENANT MEDICAL CENTER,225,Cardiac Defib Implant W Cardiac Cath W/O Ami/Hf/Shock W/O Mcc,4," $313,016 "
COVENANT MEDICAL CENTER,226,Cardiac Defibrillator Implant W/O Cardiac Cath W Mcc,4," $325,867 "
COVENANT MEDICAL CENTER,227,Cardiac Defibrillator Implant W/O Cardiac Cath W/O Mcc,5," $241,265 "
COVENANT MEDICAL CENTER,228,Other Cardiothoracic Procedures W Mcc,7," $518,895 "
COVENANT MEDICAL CENTER,229,Other Cardiothoracic Procedures W/O Mcc,14," $399,515 "
COVENANT MEDICAL CENTER,231,Coronary Bypass W Ptca W Mcc,7," $518,501 "
COVENANT MEDICAL CENTER,232,Coronary Bypass W Ptca W/O Mcc,1," $191,074 "
COVENANT MEDICAL CENTER,233,Coronary Bypass W Cardiac Cath W Mcc,33," $555,359 "
COVENANT MEDICAL CENTER,234,Coronary Bypass W Cardiac Cath W/O Mcc,62," $415,411 "
COVENANT MEDICAL CENTER,235,Coronary Bypass W/O Cardiac Cath W Mcc,17," $538,570 "
COVENANT MEDICAL CENTER,236,Coronary Bypass W/O Cardiac Cath W/O Mcc,53," $335,271 "
COVENANT MEDICAL CENTER,239,Amputation For Circ Sys Disorders Exc Upper Limb & Toe W Mcc,15," $354,226 "
COVENANT MEDICAL CENTER,240,Amputation For Circ Sys Disorders Exc Upper Limb & Toe W Cc,15," $287,584 "
COVENANT MEDICAL CENTER,241,Amputation For Circ Sys Disorders Exc Upper Limb & Toe W/O Cc/Mcc,1," $54,053 "
COVENANT MEDICAL CENTER,242,Permanent Cardiac Pacemaker Implant W Mcc,18," $190,518 "
COVENANT MEDICAL CENTER,243,Permanent Cardiac Pacemaker Implant W Cc,30," $153,903 "
COVENANT MEDICAL CENTER,244,Permanent Cardiac Pacemaker Implant W/O Cc/Mcc,24," $98,590 "
COVENANT MEDICAL CENTER,245,Aicd Generator Procedures,1," $223,049 "
COVENANT MEDICAL CENTER,246,Percutaneous Cardiovascular Procedures W Drug-Eluting Stent W Mcc Or 4+ Arteries Or Stents,179," $255,530 "
COVENANT MEDICAL CENTER,247,Perc Cardiovasc Proc W Drug-Eluting Stent W/O Mcc,265," $167,590 "
COVENANT MEDICAL CENTER,248,Percutaneous Cardiovascular Procedures W Non-Drug-Eluting Stent W Mcc Or 4+ Arteries Or Stents,3," $210,135 "
COVENANT MEDICAL CENTER,249,Perc Cardiovasc Proc W Non-Drug-Eluting Stent W/O Mcc,9," $136,139 "
COVENANT MEDICAL CENTER,250,Perc Cardiovasc Proc W/O Coronary Artery Stent W Mcc,13," $211,400 "
COVENANT MEDICAL CENTER,251,Perc Cardiovasc Proc W/O Coronary Artery Stent W/O Mcc,13," $147,500 "
COVENANT MEDICAL CENTER,252,Other Vascular Procedures W Mcc,51," $220,516 "
COVENANT MEDICAL CENTER,253,Other Vascular Procedures W Cc,31," $155,758 "
COVENANT MEDICAL CENTER,254,Other Vascular Procedures W/O Cc/Mcc,11," $115,263 "
COVENANT MEDICAL CENTER,255,Upper Limb & Toe Amputation For Circ System Disorders W Mcc,3," $213,438 "
COVENANT MEDICAL CENTER,256,Upper Limb & Toe Amputation For Circ System Disorders W Cc,2," $90,317 "
COVENANT MEDICAL CENTER,258,Cardiac Pacemaker Device Replacement W Mcc,1," $157,205 "
COVENANT MEDICAL CENTER,260,Cardiac Pacemaker Revision Except Device Replacement W Mcc,2," $296,544 "
COVENANT MEDICAL CENTER,261,Cardiac Pacemaker Revision Except Device Replacement W Cc,1," $95,510 "
COVENANT MEDICAL CENTER,262,Cardiac Pacemaker Revision Except Device Replacement W/O Cc/Mcc,2," $71,246 "
COVENANT MEDICAL CENTER,264,Other Circulatory System O.R. Procedures,20," $238,578 "
COVENANT MEDICAL CENTER,266,Endovascular Cardiac Valve Replacement W Mcc,7," $374,184 "
COVENANT MEDICAL CENTER,267,Endovascular Cardiac Valve Replacement W/O Mcc,44," $302,322 "
COVENANT MEDICAL CENTER,268,Aortic And Heart Assist Procedures Except Pulsation Balloon W Mcc,4," $289,689 "
COVENANT MEDICAL CENTER,269,Aortic And Heart Assist Procedures Except Pulsation Balloon W/O Mcc,13," $220,569 "
COVENANT MEDICAL CENTER,270,Other Major Cardiovascular Procedures W Mcc,46," $355,101 "
COVENANT MEDICAL CENTER,271,Other Major Cardiovascular Procedures W Cc,43," $237,167 "
COVENANT MEDICAL CENTER,272,Other Major Cardiovascular Procedures W/O Cc/Mcc,6," $186,893 "
COVENANT MEDICAL CENTER,273,Percutaneous Intracardiac Procedures W Mcc,20," $286,951 "
COVENANT MEDICAL CENTER,274,Percutaneous Intracardiac Procedures W/O Mcc,16," $197,533 "
COVENANT MEDICAL CENTER,280,"Acute Myocardial Infarction, Discharged Alive W Mcc",122," $144,792 "
COVENANT MEDICAL CENTER,281,"Acute Myocardial Infarction, Discharged Alive W Cc",69," $76,676 "
COVENANT MEDICAL CENTER,282,"Acute Myocardial Infarction, Discharged Alive W/O Cc/Mcc",33," $74,357 "
COVENANT MEDICAL CENTER,283,"Acute Myocardial Infarction, Expired W Mcc",22," $126,915 "
COVENANT MEDICAL CENTER,284,"Acute Myocardial Infarction, Expired W Cc",1," $28,827 "
COVENANT MEDICAL CENTER,286,"Circulatory Disorders Except Ami, W Card Cath W Mcc",109," $163,166 "
COVENANT MEDICAL CENTER,287,"Circulatory Disorders Except Ami, W Card Cath W/O Mcc",141," $89,474 "
COVENANT MEDICAL CENTER,288,Acute & Subacute Endocarditis W Mcc,3," $254,450 "
COVENANT MEDICAL CENTER,289,Acute & Subacute Endocarditis W Cc,1," $33,494 "
COVENANT MEDICAL CENTER,291,Heart Failure & Shock W Mcc Or Periph. Extracorporeal Membrane Oxygenation (Ecmo),490," $119,537 "
COVENANT MEDICAL CENTER,292,Heart Failure & Shock W Cc,75," $74,298 "
COVENANT MEDICAL CENTER,293,Heart Failure & Shock W/O Cc/Mcc,25," $52,653 "
COVENANT MEDICAL CENTER,296,"Cardiac Arrest, Unexplained W Mcc Or Periph. Extracorporeal Membrane Oxygenation (Ecmo)",6," $154,620 "
COVENANT MEDICAL CENTER,299,Peripheral Vascular Disorders W Mcc,37," $93,377 "
COVENANT MEDICAL CENTER,300,Peripheral Vascular Disorders W Cc,20," $63,018 "
COVENANT MEDICAL CENTER,301,Peripheral Vascular Disorders W/O Cc/Mcc,12," $51,279 "
COVENANT MEDICAL CENTER,302,Atherosclerosis W Mcc,7," $79,677 "
COVENANT MEDICAL CENTER,303,Atherosclerosis W/O Mcc,16," $58,299 "
COVENANT MEDICAL CENTER,304,Hypertension W Mcc,26," $80,388 "
COVENANT MEDICAL CENTER,305,Hypertension W/O Mcc,41," $70,484 "
COVENANT MEDICAL CENTER,306,Cardiac Congenital & Valvular Disorders W Mcc,1," $58,413 "
COVENANT MEDICAL CENTER,307,Cardiac Congenital & Valvular Disorders W/O Mcc,1," $114,453 "
COVENANT MEDICAL CENTER,308,Cardiac Arrhythmia & Conduction Disorders W Mcc,58," $105,324 "
COVENANT MEDICAL CENTER,309,Cardiac Arrhythmia & Conduction Disorders W Cc,80," $66,948 "
COVENANT MEDICAL CENTER,310,Cardiac Arrhythmia & Conduction Disorders W/O Cc/Mcc,57," $46,687 "
COVENANT MEDICAL CENTER,311,Angina Pectoris,5," $60,228 "
COVENANT MEDICAL CENTER,312,Syncope & Collapse,41," $71,129 "
COVENANT MEDICAL CENTER,313,Chest Pain,34," $60,955 "
COVENANT MEDICAL CENTER,314,Other Circulatory System Diagnoses W Mcc,50," $202,725 "
COVENANT MEDICAL CENTER,315,Other Circulatory System Diagnoses W Cc,17," $74,097 "
COVENANT MEDICAL CENTER,316,Other Circulatory System Diagnoses W/O Cc/Mcc,7," $67,856 "
COVENANT MEDICAL CENTER,326,"Stomach, Esophageal & Duodenal Proc W Mcc",25," $397,537 "
COVENANT MEDICAL CENTER,327,"Stomach, Esophageal & Duodenal Proc W Cc",18," $158,467 "
COVENANT MEDICAL CENTER,328,"Stomach, Esophageal & Duodenal Proc W/O Cc/Mcc",12," $121,974 "
COVENANT MEDICAL CENTER,329,Major Small & Large Bowel Procedures W Mcc,59," $333,306 "
COVENANT MEDICAL CENTER,330,Major Small & Large Bowel Procedures W Cc,107," $154,079 "
COVENANT MEDICAL CENTER,331,Major Small & Large Bowel Procedures W/O Cc/Mcc,70," $103,394 "
COVENANT MEDICAL CENTER,334,Rectal Resection W/O Cc/Mcc,1," $122,354 "
COVENANT MEDICAL CENTER,335,Peritoneal Adhesiolysis W Mcc,7," $226,862 "
COVENANT MEDICAL CENTER,336,Peritoneal Adhesiolysis W Cc,15," $159,482 "
COVENANT MEDICAL CENTER,337,Peritoneal Adhesiolysis W/O Cc/Mcc,7," $123,169 "
COVENANT MEDICAL CENTER,338,Appendectomy W Complicated Principal Diag W Mcc,1," $85,423 "
COVENANT MEDICAL CENTER,339,Appendectomy W Complicated Principal Diag W Cc,6," $125,614 "
COVENANT MEDICAL CENTER,340,Appendectomy W Complicated Principal Diag W/O Cc/Mcc,14," $107,204 "
COVENANT MEDICAL CENTER,341,Appendectomy W/O Complicated Principal Diag W Mcc,1," $80,432 "
COVENANT MEDICAL CENTER,342,Appendectomy W/O Complicated Principal Diag W Cc,2," $123,265 "
COVENANT MEDICAL CENTER,343,Appendectomy W/O Complicated Principal Diag W/O Cc/Mcc,2," $66,238 "
COVENANT MEDICAL CENTER,344,Minor Small & Large Bowel Procedures W Mcc,1," $101,231 "
COVENANT MEDICAL CENTER,345,Minor Small & Large Bowel Procedures W Cc,7," $74,047 "
COVENANT MEDICAL CENTER,346,Minor Small & Large Bowel Procedures W/O Cc/Mcc,7," $96,453 "
COVENANT MEDICAL CENTER,348,Anal & Stomal Procedures W Cc,3," $81,034 "
COVENANT MEDICAL CENTER,349,Anal & Stomal Procedures W/O Cc/Mcc,1," $75,550 "
COVENANT MEDICAL CENTER,350,Inguinal & Femoral Hernia Procedures W Mcc,4," $125,900 "
COVENANT MEDICAL CENTER,353,Hernia Procedures Except Inguinal & Femoral W Mcc,2," $141,321 "
COVENANT MEDICAL CENTER,354,Hernia Procedures Except Inguinal & Femoral W Cc,6," $129,999 "
COVENANT MEDICAL CENTER,355,Hernia Procedures Except Inguinal & Femoral W/O Cc/Mcc,6," $76,437 "
COVENANT MEDICAL CENTER,356,Other Digestive System O.R. Procedures W Mcc,18," $283,216 "
COVENANT MEDICAL CENTER,357,Other Digestive System O.R. Procedures W Cc,16," $160,022 "
COVENANT MEDICAL CENTER,358,Other Digestive System O.R. Procedures W/O Cc/Mcc,1," $86,228 "
COVENANT MEDICAL CENTER,368,Major Esophageal Disorders W Mcc,8," $147,875 "
COVENANT MEDICAL CENTER,369,Major Esophageal Disorders W Cc,16," $94,007 "
COVENANT MEDICAL CENTER,370,Major Esophageal Disorders W/O Cc/Mcc,1," $17,109 "
COVENANT MEDICAL CENTER,371,Major Gastrointestinal Disorders & Peritoneal Infections W Mcc,55," $135,937 "
COVENANT MEDICAL CENTER,372,Major Gastrointestinal Disorders & Peritoneal Infections W Cc,51," $90,355 "
