Sharp HealthCare Fiscal Year 2018 Average DRG Charges,,
,"In accordance with Centers for Medicare and Medicaid Fiscal Year 2019 Inpatient Prospective Payment System Final Rule, 83 Federal Reg. 41144 (Aug. 17, 2018). Sharp HealthCare publishes their standard charges for each diagnosis-related group (DRG) established under section 1886(d)(4) of the Social Security Act.  These charges were calculated from discharge data for Fiscal Year 2018 (October 1st, 2017 through September 30th, 2018).  Each calculation is the average charge for that DRG within the first standard deviation and are in order from highest occurrence to lowest.  Please be aware this is only an average calculation and that every visit is different.  Please note that standard charges are not always reflective of the price you will pay for the services provided. You can obtain a price estimate by calling our centralized price estimate line at 858-499-5901.",
287,"Circulatory disorders except AMI, w card cath w/o MCC"," $62,504.68 "
312,Syncope & collapse," $44,705.81 "
483,Major joint/limb reattachment procedure of upper extremities," $107,558.56 "
460,Spinal fusion except cervical w/o MCC," $194,762.21 "
389,G.I. obstruction w CC," $38,626.70 "
246,Percutaneous cardiovascular procedures w drug-eluting stent w MCC or 4+ arteries or stents," $178,133.15 "
698,Other kidney & urinary tract diagnoses w MCC," $59,799.39 "
621,O.R. procedures for obesity w/o CC/MCC," $70,363.33 "
191,Chronic obstructive pulmonary disease w CC," $41,925.86 "
897,Alcohol/drug abuse or dependence w/o rehabilitation therapy w/o MCC," $40,623.82 "
274,Percutaneous intracardiac procedures w/o MCC," $141,443.02 "
377,G.I. hemorrhage w MCC," $77,009.63 "
640,"Misc disorders of nutrition,metabolism,fluids/electrolytes w MCC"," $47,819.71 "
917,Poisoning & toxic effects of drugs w MCC," $59,136.53 "
552,Medical back problems w/o MCC," $57,090.26 "
69,Transient ischemia w/o thrombolytic," $44,265.65 "
177,Respiratory infections & inflammations w MCC," $80,913.89 "
778,Threatened abortion," $21,410.39 "
391,"Esophagitis, gastroent & misc digest disorders w MCC"," $51,777.53 "
101,Seizures w/o MCC," $41,721.84 "
310,Cardiac arrhythmia & conduction disorders w/o CC/MCC," $33,719.46 "
394,Other digestive system diagnoses w CC," $44,781.72 "
563,"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w/o MCC"," $52,505.08 "
790,"Extreme immaturity or respiratory distress syndrome, neonate"," $194,000.07 "
981,Extensive O.R. procedure unrelated to principal diagnosis w MCC," $175,025.60 "
390,G.I. obstruction w/o CC/MCC," $33,833.36 "
314,Other circulatory system diagnoses w MCC," $74,578.37 "
473,Cervical spinal fusion w/o CC/MCC," $108,507.81 "
791,Prematurity w major problems," $88,569.40 "
743,Uterine & adnexa proc for non-malignancy w/o CC/MCC," $61,712.12 "
637,Diabetes w MCC," $57,742.46 "
418,Laparoscopic cholecystectomy w/o c.d.e. w CC," $87,905.87 "
208,Respiratory system diagnosis w ventilator support <=96 hours," $116,496.01 "
286,"Circulatory disorders except AMI, w card cath w MCC"," $96,297.13 "
439,Disorders of pancreas except malignancy w CC," $44,025.12 "
166,Other resp system O.R. procedures w MCC," $161,586.76 "
419,Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC," $69,591.35 "
812,Red blood cell disorders w/o MCC," $40,974.34 "
280,"Acute myocardial infarction, discharged alive w MCC"," $78,340.49 "
66,Intracranial hemorrhage or cerebral infarction w/o CC/MCC," $44,147.07 "
305,Hypertension w/o MCC," $38,825.48 "
602,Cellulitis w MCC," $63,163.62 "
699,Other kidney & urinary tract diagnoses w CC," $43,566.62 "
329,Major small & large bowel procedures w MCC," $215,606.69 "
202,Bronchitis & asthma w CC/MCC," $49,121.05 "
432,Cirrhosis & alcoholic hepatitis w MCC," $78,329.45 "
433,Cirrhosis & alcoholic hepatitis w CC," $43,153.04 "
331,Major small & large bowel procedures w/o CC/MCC," $110,640.46 "
948,Signs & symptoms w/o MCC," $39,608.53 "
343,Appendectomy w/o complicated principal diag w/o CC/MCC," $58,329.88 "
776,Postpartum & post abortion diagnoses w/o O.R. procedure," $20,280.02 "
3,"ECMO or trach w MV >96 hrs or PDX exc face, mouth & neck w maj O.R."," $903,488.31 "
918,Poisoning & toxic effects of drugs w/o MCC," $41,277.71 "
517,Other musculoskelet sys & conn tiss O.R. proc w/o CC/MCC," $66,610.24 "
767,Vaginal delivery w sterilization &/or D&C," $36,465.46 "
789,"Neonates, died or transferred to another acute care facility"," $40,516.00 "
854,Infectious & parasitic diseases w O.R. procedure w CC," $106,265.66 "
300,Peripheral vascular disorders w CC," $50,064.22 "
782,Other antepartum diagnoses w/o medical complications," $22,943.04 "
175,Pulmonary embolism w MCC," $77,129.92 "
896,Alcohol/drug abuse or dependence w/o rehabilitation therapy w MCC," $58,323.87 "
252,Other vascular procedures w MCC," $146,138.64 "
393,Other digestive system diagnoses w MCC," $61,452.38 "
417,Laparoscopic cholecystectomy w/o c.d.e. w MCC," $101,995.48 "
195,Simple pneumonia & pleurisy w/o CC/MCC," $36,736.07 "
243,Permanent cardiac pacemaker implant w CC," $104,376.31 "
442,"Disorders of liver except malig,cirr,alc hepa w CC"," $41,794.26 "
516,Other musculoskelet sys & conn tiss O.R. proc w CC," $87,664.95 "
605,"Trauma to the skin, subcut tiss & breast w/o MCC"," $61,499.31 "
100,Seizures w MCC," $72,341.66 "
178,Respiratory infections & inflammations w CC," $57,612.61 "
149,Dysequilibrium," $37,642.94 "
57,Degenerative nervous system disorders w/o MCC," $50,671.03 "
440,Disorders of pancreas except malignancy w/o CC/MCC," $32,822.53 "
639,Diabetes w/o CC/MCC," $40,110.27 "
742,Uterine & adnexa proc for non-malignancy w CC/MCC," $76,096.24 "
299,Peripheral vascular disorders w MCC," $58,025.53 "
494,"Lower extrem & humer proc except hip,foot,femur w/o CC/MCC"," $91,860.65 "
441,"Disorders of liver except malig,cirr,alc hepa w MCC"," $66,069.74 "
281,"Acute myocardial infarction, discharged alive w CC"," $59,015.87 "
468,Revision of hip or knee replacement w/o CC/MCC," $117,190.30 "
482,Hip & femur procedures except major joint w/o CC/MCC," $100,685.63 "
870,Septicemia or severe sepsis w MV >96 hours," $297,803.54 "
25,Craniotomy & endovascular intracranial procedures w MCC," $229,009.33 "
266,Endovascular cardiac valve replacement w MCC," $318,097.14 "
472,Cervical spinal fusion w CC," $133,943.71 "
884,Organic disturbances & intellectual disability," $46,955.36 "
315,Other circulatory system diagnoses w CC," $48,052.07 "
372,Major gastrointestinal disorders & peritoneal infections w CC," $49,242.42 "
435,Malignancy of hepatobiliary system or pancreas w MCC," $81,889.21 "
480,Hip & femur procedures except major joint w MCC," $134,872.24 "
493,"Lower extrem & humer proc except hip,foot,femur w CC"," $109,249.36 "
469,Major hip and knee joint replacement or reattachment of lower extremity w MCC or total ankle replace," $149,834.75 "
694,Urinary stones w/o esw lithotripsy w/o MCC," $47,103.85 "
982,Extensive O.R. procedure unrelated to principal diagnosis w CC," $104,939.66 "
54,Nervous system neoplasms w MCC," $81,330.67 "
253,Other vascular procedures w CC," $138,305.11 "
192,Chronic obstructive pulmonary disease w/o CC/MCC," $39,129.80 "
388,G.I. obstruction w MCC," $62,627.16 "
520,Back & neck proc exc spinal fusion w/o CC/MCC," $73,954.49 "
813,Coagulation disorders," $60,098.88 "
919,Complications of treatment w MCC," $69,503.37 "
273,Percutaneous intracardiac procedures w MCC," $177,206.33 "
375,Digestive malignancy w CC," $54,609.35 "
103,Headaches w/o MCC," $43,732.12 "
270,Other major cardiovascular procedures w MCC," $207,370.14 "
811,Red blood cell disorders w MCC," $59,719.75 "
219,Cardiac valve & oth maj cardiothoracic proc w/o card cath w MCC," $435,942.46 "
180,Respiratory neoplasms w MCC," $80,106.44 "
200,Pneumothorax w CC," $82,138.60 "
580,"Other skin, subcut tiss & breast proc w CC"," $66,542.81 "
863,Postoperative & post-traumatic infections w/o MCC," $41,957.23 "
242,Permanent cardiac pacemaker implant w MCC," $158,023.73 "
264,Other circulatory system O.R. procedures," $141,905.53 "
293,Heart failure & shock w/o CC/MCC," $37,432.44 "
438,Disorders of pancreas except malignancy w MCC," $81,877.19 "
56,Degenerative nervous system disorders w MCC," $69,008.29 "
445,Disorders of the biliary tract w CC," $52,414.04 "
181,Respiratory neoplasms w CC," $61,963.67 "
244,Permanent cardiac pacemaker implant w/o CC/MCC," $96,062.06 "
374,Digestive malignancy w MCC," $77,171.72 "
862,Postoperative & post-traumatic infections w MCC," $64,745.75 "
83,"Traumatic stupor & coma, coma >1 hr w CC"," $86,118.83 "
92,Other disorders of nervous system w CC," $42,910.74 "
536,Fractures of hip & pelvis w/o MCC," $54,539.09 "
74,Cranial & peripheral nerve disorders w/o MCC," $49,001.41 "
163,Major chest procedures w MCC," $194,261.06 "
617,"Amputat of lower limb for endocrine,nutrit,& metabol dis w CC"," $82,556.29 "
920,Complications of treatment w CC," $42,917.56 "
176,Pulmonary embolism w/o MCC," $52,269.19 "
71,Nonspecific cerebrovascular disorders w CC," $46,195.60 "
519,Back & neck proc exc spinal fusion w CC," $99,988.54 "
684,Renal failure w/o CC/MCC," $31,681.96 "
987,Non-extensive O.R. proc unrelated to principal diagnosis w MCC," $156,672.40 "
91,Other disorders of nervous system w MCC," $61,353.25 "
220,Cardiac valve & oth maj cardiothoracic proc w/o card cath w CC," $345,147.47 "
379,G.I. hemorrhage w/o CC/MCC," $33,580.73 "
847,Chemotherapy w/o acute leukemia as secondary diagnosis w CC," $58,293.07 "
652,Kidney transplant," $405,029.29 "
70,Nonspecific cerebrovascular disorders w MCC," $76,323.98 "
233,Coronary bypass w cardiac cath w MCC," $435,123.60 "
304,Hypertension w MCC," $54,720.97 "
371,Major gastrointestinal disorders & peritoneal infections w MCC," $68,330.06 "
467,Revision of hip or knee replacement w CC," $137,665.95 "
444,Disorders of the biliary tract w MCC," $66,012.90 "
558,"Tendonitis, myositis & bursitis w/o MCC"," $39,332.73 "
792,Prematurity w/o major problems," $67,638.78 "
340,Appendectomy w complicated principal diag w/o CC/MCC," $67,305.78 "
543,Pathological fractures & musculoskelet & conn tiss malig w CC," $48,788.10 "
164,Major chest procedures w CC," $139,680.78 "
167,Other resp system O.R. procedures w CC," $81,909.08 "
229,Other cardiothoracic procedures w/o MCC," $175,289.60 "
395,Other digestive system diagnoses w/o CC/MCC," $32,081.93 "
643,Endocrine disorders w MCC," $60,863.36 "
4,"Trach w MV >96 hrs or PDX exc face, mouth & neck w/o maj O.R."," $578,098.79 "
23,Craniotomy w major device Implant or acute CNS PDX w MCC or chemotherapy implant or epilepsy w neuro," $276,783.85 "
41,Periph/cranial nerve & other nerv syst proc w CC or periph neurostim," $117,811.32 "
436,Malignancy of hepatobiliary system or pancreas w CC," $66,289.74 "
866,Viral illness w/o MCC," $41,055.96 "
203,Bronchitis & asthma w/o CC/MCC," $38,295.34 "
207,Respiratory system diagnosis w ventilator support >96 hours," $237,866.88 "
661,Kidney & ureter procedures for non-neoplasm w/o CC/MCC," $91,863.57 "
880,Acute adjustment reaction & psychosocial dysfunction," $40,870.49 "
381,Complicated peptic ulcer w CC," $47,935.32 "
669,Transurethral procedures w CC," $63,698.40 "
673,Other kidney & urinary tract procedures w MCC," $144,586.41 "
206,Other respiratory system diagnoses w/o MCC," $46,030.06 "
562,"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w MCC"," $66,469.58 "
840,Lymphoma & non-acute leukemia w MCC," $143,187.71 "
62,"Ischemic stroke,precerebral occlusion or transient ischemia w thrombolytic agent w CC"," $129,843.77 "
215,Other heart assist system implant," $365,156.77 "
446,Disorders of the biliary tract w/o CC/MCC," $38,094.45 "
86,"Traumatic stupor & coma, coma <1 hr w CC"," $96,864.70 "
132,Cranial/facial procedures w/o CC/MCC," $193,063.26 "
644,Endocrine disorders w CC," $50,122.22 "
184,Major chest trauma w CC," $83,193.20 "
708,Major male pelvic procedures w/o CC/MCC," $102,060.78 "
907,Other O.R. procedures for injuries w MCC," $162,036.60 "
234,Coronary bypass w cardiac cath w/o MCC," $378,596.60 "
271,Other major cardiovascular procedures w CC," $149,396.32 "
554,Bone diseases & arthropathies w/o MCC," $41,862.29 "
27,Craniotomy & endovascular intracranial procedures w/o CC/MCC," $118,735.66 "
216,Cardiac valve & oth maj cardiothoracic proc w card cath w MCC," $513,132.61 "
386,Inflammatory bowel disease w CC," $44,411.11 "
809,Major hematol/immun diag exc sickle cell crisis & coagul w CC," $55,413.58 "
964,Other multiple significant trauma w CC," $103,283.96 "
228,Other cardiothoracic procedures w MCC," $290,789.51 "
355,Hernia procedures except inguinal & femoral w/o CC/MCC," $78,684.87 "
988,Non-extensive O.R. proc unrelated to principal diagnosis w CC," $89,287.12 "
373,Major gastrointestinal disorders & peritoneal infections w/o CC/MCC," $38,203.35 "
546,Connective tissue disorders w CC," $53,208.32 "
551,Medical back problems w MCC," $84,215.87 "
856,Postoperative or post-traumatic infections w O.R. proc w MCC," $163,700.89 "
93,Other disorders of nervous system w/o CC/MCC," $34,174.57 "
267,Endovascular cardiac valve replacement w/o MCC," $299,447.98 "
326,"Stomach, esophageal & duodenal proc w MCC"," $220,246.35 "
841,Lymphoma & non-acute leukemia w CC," $69,067.60 "
658,Kidney & ureter procedures for neoplasm w/o CC/MCC," $90,963.04 "
380,Complicated peptic ulcer w MCC," $74,724.97 "
947,Signs & symptoms w MCC," $40,859.11 "
39,Extracranial procedures w/o CC/MCC," $77,400.91 "
153,Otitis media & URI w/o MCC," $36,944.92 "
660,Kidney & ureter procedures for non-neoplasm w CC," $86,155.68 "
713,Transurethral prostatectomy w CC/MCC," $66,305.68 "
857,Postoperative or post-traumatic infections w O.R. proc w CC," $81,209.26 "
956,"Limb reattachment, hip & femur proc for multiple significant trauma"," $271,469.41 "
205,Other respiratory system diagnoses w MCC," $55,582.61 "
455,Combined anterior/posterior spinal fusion w/o CC/MCC," $272,319.48 "
581,"Other skin, subcut tiss & breast proc w/o CC/MCC"," $78,651.89 "
645,Endocrine disorders w/o CC/MCC," $36,451.30 "
740,"Uterine,adnexa proc for non-ovarian/adnexal malig w CC"," $102,613.65 "
129,Major head & neck procedures w CC/MCC or major device," $148,165.45 "
165,Major chest procedures w/o CC/MCC," $115,117.62 "
454,Combined anterior/posterior spinal fusion w CC," $282,377.55 "
542,Pathological fractures & musculoskelet & conn tiss malig w MCC," $71,978.72 "
38,Extracranial procedures w CC," $95,127.05 "
327,"Stomach, esophageal & duodenal proc w CC"," $140,510.63 "
342,Appendectomy w/o complicated principal diag w CC," $66,113.92 "
515,Other musculoskelet sys & conn tiss O.R. proc w MCC," $117,740.28 "
535,Fractures of hip & pelvis w MCC," $58,419.88 "
916,Allergic reactions w/o MCC," $29,467.20 "
501,Soft tissue procedures w CC," $74,171.11 "
865,Viral illness w MCC," $54,272.44 "
303,Atherosclerosis w/o MCC," $37,148.34 "
339,Appendectomy w complicated principal diag w CC," $80,493.87 "
357,Other digestive system O.R. procedures w CC," $112,135.33 "
464,"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w CC"," $129,729.31 "
492,"Lower extrem & humer proc except hip,foot,femur w MCC"," $164,804.02 "
769,Postpartum & post abortion diagnoses w O.R. procedure," $55,978.72 "
40,Periph/cranial nerve & other nerv syst proc w MCC," $176,123.86 "
73,Cranial & peripheral nerve disorders w MCC," $63,233.45 "
204,Respiratory signs & symptoms," $37,662.21 "
269,Aortic and heart assist procedures except pulsation balloon w/o MCC," $185,145.73 "
336,Peritoneal adhesiolysis w CC," $110,651.82 "
513,"Hand or wrist proc, except major thumb or joint proc w CC/MCC"," $73,007.02 "
579,"Other skin, subcut tiss & breast proc w MCC"," $89,423.96 "
623,"Skin grafts & wound debrid for endoc, nutrit & metab dis w CC"," $72,093.43 "
707,Major male pelvic procedures w CC/MCC," $118,906.16 "
823,Lymphoma & non-acute leukemia w other proc w MCC," $176,269.42 "
26,Craniotomy & endovascular intracranial procedures w CC," $214,986.19 "
82,"Traumatic stupor & coma, coma >1 hr w MCC"," $113,839.83 "
158,Dental & Oral Diseases w CC," $45,441.43 "
226,Cardiac defibrillator implant w/o cardiac cath w MCC," $313,595.42 "
607,Minor skin disorders w/o MCC," $40,985.73 "
657,Kidney & ureter procedures for neoplasm w CC," $107,751.74 "
227,Cardiac defibrillator implant w/o cardiac cath w/o MCC," $282,999.11 "
384,Uncomplicated peptic ulcer w/o MCC," $40,266.00 "
770,"Abortion w D&C, aspiration curettage or hysterotomy"," $35,354.80 "
864,Fever," $44,123.56 "
923,"Other injury, poisoning & toxic effect diag w/o MCC"," $40,844.97 "
87,"Traumatic stupor & coma, coma <1 hr w/o CC/MCC"," $77,669.89 "
179,Respiratory infections & inflammations w/o CC/MCC," $37,899.23 "
196,Interstitial lung disease w MCC," $62,624.91 "
254,Other vascular procedures w/o CC/MCC," $95,717.68 "
282,"Acute myocardial infarction, discharged alive w/o CC/MCC"," $52,283.15 "
328,"Stomach, esophageal & duodenal proc w/o CC/MCC"," $96,161.36 "
815,Reticuloendothelial & immunity disorders w CC," $72,372.51 "
29,Spinal procedures w CC or spinal neurostimulators," $179,674.69 "
61,"Ischemic stroke,precerebral occlusion or transient ischemia w thrombolytic agent w MCC"," $158,195.24 "
125,Other disorders of the eye w/o MCC," $42,908.74 "
187,Pleural effusion w CC," $46,223.64 "
261,Cardiac pacemaker revision except device replacement w CC," $92,773.38 "
512,"Shoulder,elbow or forearm proc,exc major joint proc w/o CC/MCC"," $92,019.87 "
557,"Tendonitis, myositis & bursitis w MCC"," $57,833.91 "
674,Other kidney & urinary tract procedures w CC," $94,243.94 "
1,Heart transplant or implant of heart assist system w MCC," $1,527,601.37 "
84,"Traumatic stupor & coma, coma >1 hr w/o CC/MCC"," $94,530.58 "
239,Amputation for circ sys disorders exc upper limb & toe w MCC," $153,409.51 "
283,"Acute myocardial infarction, expired w MCC"," $74,042.68 "
316,Other circulatory system diagnoses w/o CC/MCC," $40,469.89 "
351,Inguinal & femoral hernia procedures w CC," $78,634.20 "
369,Major esophageal disorders w CC," $52,110.15 "
443,"Disorders of liver except malig,cirr,alc hepa w/o CC/MCC"," $35,801.65 "
471,Cervical spinal fusion w MCC," $274,719.99 "
478,Biopsies of musculoskeletal system & connective tissue w CC," $98,705.78 "
502,Soft tissue procedures w/o CC/MCC," $69,883.15 "
544,Pathological fractures & musculoskelet & conn tiss malig w/o CC/MCC," $56,310.29 "
628,"Other endocrine, nutrit & metab O.R. proc w MCC"," $130,981.39 "
777,Ectopic pregnancy," $46,469.24 "
894,"Alcohol/drug abuse or dependence, left ama"," $34,410.25 "
974,HIV w major related condition w MCC," $119,930.93 "
983,Extensive O.R. procedure unrelated to principal diagnosis w/o CC/MCC," $96,516.09 "
72,Nonspecific cerebrovascular disorders w/o CC/MCC," $36,307.09 "
85,"Traumatic stupor & coma, coma <1 hr w MCC"," $132,038.58 "
130,Major head & neck procedures w/o CC/MCC," $148,829.18 "
155,"Other ear, nose, mouth & throat diagnoses w CC"," $53,619.39 "
240,Amputation for circ sys disorders exc upper limb & toe w CC," $127,075.88 "
726,Benign prostatic hypertrophy w/o MCC," $31,925.31 "
728,Inflammation of the male reproductive system w/o MCC," $38,775.00 "
808,Major hematol/immun diag exc sickle cell crisis & coagul w MCC," $86,085.42 "
846,Chemotherapy w/o acute leukemia as secondary diagnosis w MCC," $77,827.18 "
55,Nervous system neoplasms w/o MCC," $59,973.22 "
152,Otitis media & URI w MCC," $49,795.22 "
183,Major chest trauma w MCC," $98,147.90 "
354,Hernia procedures except inguinal & femoral w CC," $103,638.52 "
779,Abortion w/o D&C," $20,894.39 "
89,Concussion w CC," $88,306.06 "
199,Pneumothorax w MCC," $143,477.77 "
235,Coronary bypass w/o cardiac cath w MCC," $349,504.41 "
296,"Cardiac arrest, unexplained w MCC"," $78,760.38 "
356,Other digestive system O.R. procedures w MCC," $175,939.23 "
560,"Aftercare, musculoskeletal system & connective tissue w CC"," $42,171.22 "
604,"Trauma to the skin, subcut tiss & breast w MCC"," $86,862.20 "
614,Adrenal & pituitary procedures w CC/MCC," $127,798.11 "
908,Other O.R. procedures for injuries w CC," $78,028.72 "
123,Neurological eye disorders," $42,017.95 "
201,Pneumothorax w/o CC/MCC," $23,631.58 "
405,"Pancreas, liver & shunt procedures w MCC"," $283,490.55 "
574,Skin graft for skin ulcer or cellulitis w CC," $98,038.82 "
714,Transurethral prostatectomy w/o CC/MCC," $48,898.15 "
24,Cranio w major dev impl/acute complex CNS PDX w/o MCC," $203,545.81 "
97,Non-bacterial infect of nervous sys exc viral meningitis w MCC," $162,981.26 "
301,Peripheral vascular disorders w/o CC/MCC," $38,989.68 "
302,Atherosclerosis w MCC," $43,455.40 "
337,Peritoneal adhesiolysis w/o CC/MCC," $90,514.40 "
349,Anal & stomal procedures w/o CC/MCC," $42,413.91 "
352,Inguinal & femoral hernia procedures w/o CC/MCC," $60,761.31 "
465,"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w/o CC/MCC"," $90,995.19 "
556,Signs & symptoms of musculoskeletal system & conn tissue w/o MCC," $43,819.76 "
565,Other musculoskeletal sys & connective tissue diagnoses w CC," $59,107.03 "
592,Skin ulcers w MCC," $47,301.13 "
593,Skin ulcers w CC," $37,250.58 "
615,Adrenal & pituitary procedures w/o CC/MCC," $111,672.92 "
834,Acute leukemia w/o major O.R. procedure w MCC," $195,061.74 "
885,Psychoses," $60,843.69 "
133,"Other ear, nose, mouth & throat O.R. procedures w CC/MCC"," $91,835.90 "
222,Cardiac defib implant w cardiac cath w AMI/HF/shock w MCC," $436,216.88 "
406,"Pancreas, liver & shunt procedures w CC"," $241,553.55 "
570,Skin debridement w MCC," $144,769.75 "
571,Skin debridement w CC," $94,403.36 "
620,O.R. procedures for obesity w CC," $88,306.50 "
629,"Other endocrine, nutrit & metab O.R. proc w CC"," $98,891.40 "
737,Uterine & adnexa proc for ovarian or adnexal malignancy w CC," $136,265.16 "
768,Vaginal delivery w O.R. proc except steril &/or D&C," $49,847.91 "
867,Other infectious & parasitic diseases diagnoses w MCC," $86,102.14 "
914,Traumatic injury w/o MCC," $73,837.78 "
921,Complications of treatment w/o CC/MCC," $27,903.90 "
31,Ventricular shunt procedures w MCC," $186,319.38 "
115,Extraocular procedures except orbit," $55,126.24 "
131,Cranial/facial procedures w CC/MCC," $193,521.92 "
345,Minor small & large bowel procedures w CC," $79,700.33 "
459,Spinal fusion except cervical w MCC," $264,909.36 "
462,Bilateral or multiple major joint procs of lower extremity w/o MCC," $162,328.23 "
518,Back & neck proc exc spinal fusion w MCC or disc device/neurostim," $148,201.13 "
545,Connective tissue disorders w MCC," $57,991.75 "
573,Skin graft for skin ulcer or cellulitis w MCC," $143,368.35 "
668,Transurethral procedures w MCC," $140,631.88 "
824,Lymphoma & non-acute leukemia w other proc w CC," $101,858.78 "
837,Chemo w acute leukemia as sdx or w high dose chemo agent w MCC," $283,250.77 "
909,Other O.R. procedures for injuries w/o CC/MCC," $73,221.71 "
951,Other factors influencing health status," $28,399.42 "
60,Multiple sclerosis & cerebellar ataxia w/o CC/MCC," $52,709.20 "
248,Percutaneous cardiovascular procedures w non-drug-eluting stent w MCC or 4+ arteries or stents," $162,222.75 "
250,Perc cardiovasc proc w/o coronary artery stent w MCC," $133,299.12 "
335,Peritoneal adhesiolysis w MCC," $193,264.62 "
488,Knee procedures w/o pdx of infection w CC/MCC," $83,295.65 "
500,Soft tissue procedures w MCC," $102,004.56 "
540,Osteomyelitis w CC," $45,163.54 "
553,Bone diseases & arthropathies w MCC," $54,205.26 "
566,Other musculoskeletal sys & connective tissue diagnoses w/o CC/MCC," $46,295.32 "
577,Skin graft exc for skin ulcer or cellulitis w CC," $103,119.89 "
626,"Thyroid, parathyroid & thyroglossal procedures w CC"," $106,897.74 "
748,Female reproductive system reconstructive procedures," $52,315.68 "
759,"Infections, female reproductive system w/o CC/MCC"," $31,793.59 "
915,Allergic reactions w MCC," $65,256.81 "
958,Other O.R. procedures for multiple significant trauma w CC," $285,614.92 "
989,Non-extensive O.R. proc unrelated to principal diagnosis w/o CC/MCC," $63,524.55 "
154,"Other ear, nose, mouth & throat diagnoses w MCC"," $66,930.47 "
185,Major chest trauma w/o CC/MCC," $78,929.17 "
186,Pleural effusion w MCC," $55,824.68 "
256,Upper limb & toe amputation for circ system disorders w CC," $77,238.14 "
385,Inflammatory bowel disease w MCC," $89,288.76 "
415,Cholecystectomy except by laparoscope w/o c.d.e. w CC," $113,647.06 "
453,Combined anterior/posterior spinal fusion w MCC," $523,859.19 "
642,Inborn and other disorders of metabolism," $62,687.13 "
696,Kidney & urinary tract signs & symptoms w/o MCC," $32,439.22 "
904,Skin grafts for injuries w CC/MCC," $132,974.02 "
963,Other multiple significant trauma w MCC," $174,944.79 "
30,Spinal procedures w/o CC/MCC," $118,167.56 "
32,Ventricular shunt procedures w CC," $119,042.21 "
37,Extracranial procedures w MCC," $177,405.52 "
98,Non-bacterial infect of nervous sys exc viral meningitis w CC," $93,336.94 "
217,Cardiac valve & oth maj cardiothoracic proc w card cath w CC," $389,627.23 "
224,Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC," $349,486.32 "
236,Coronary bypass w/o cardiac cath w/o MCC," $291,359.48 "
