Proc Code Description,Modifier,Price
AMP MTCRPL W/FINGER/THUMB W/WO INTEROSS TRANSFER,,"$10,365.00 "
AMPUTATION FOOT TRANSMETARSAL,,"$9,225.00 "
AMPUTATION METATARSAL W/TOE SINGLE,,"$9,225.00 "
AMPUTATION TOE INTERPHALANGEAL JOINT,,"$10,365.00 "
AMPUTATION TOE METATARSOPHALANGEAL JOINT,,"$10,365.00 "
ANDROSTANEDIOL GLUCURONIDE,,$546.00 
ANDROSTENEDIONE,,$553.50 
ANDROSTERONE,,$411.00 
ANGIOGRAPHY ADRENAL BILATERAL SLCTV RS&I,TC,"$12,042.00 "
ANGIOGRAPHY ADRENAL UNILATERAL SLCTV RS&I,TC,"$3,141.00 "
ANGIOGRAPHY EXTREMITY BILATERAL RS&I,TC,"$9,000.00 "
ANGIOGRAPHY EXTREMITY UNILATERAL RS&I,TC,"$6,000.00 "
ANGIOGRAPHY INTERNAL MAMMARY RS&I,TC,"$10,837.50 "
ANGIOGRAPHY PELVIC SLCTV/SUPRASLCTV RS&I,TC,"$9,000.00 "
ANGIOGRAPHY PULMONARY BILATERAL SLCTV RS&I,TC,"$9,000.00 "
ANGIOGRAPHY PULMONARY UNILATERAL SLCTV RS&I,TC,"$6,000.00 "
ANGIOGRAPHY SPINAL SELECTIVE RS&I,TC,"$18,016.50 "
ANGIOGRAPHY VISCERAL SLCTV/SUPRASLCTV RS&I,TC,"$9,000.00 "
ANGIOTENSIN I-CONVERTING ENZYME,,$282.00 
ANGIOTENSIN II,,$388.50 
ANGRPH CATH F-UP STD TCAT OTHER THAN THROMBYLSIS,TC,"$3,141.00 "
ANGRPH PULMONARY NONSLCTV CATH/VEN NJX RS&I,TC,"$3,490.50 "
ANGRPH SLCTV EA VSL STUDIED AFTER BASIC XM RS&I,TC,"$1,939.50 "
ANIMAL INOCULATION SMALL ANIMAL W/OBS&DSJ,,$277.50 
ANK FT ORTHOS MX-LIG ANK SUPT PREFB OFF SHELF,,"$1,132.50 "
ANKLE CONTROL ORTHOSIS STIRRUP STYL RIGID PREFAB,,$786.00 
ANORECTAL MANOMETRY,TC,$918.00 
ANOSC RMVL 1 TUM POLYP/OTH LES SNARE TQ,,"$2,526.00 "
ANOSC RMVL MULT TUMORS CAUTERY/SNARE,,"$8,200.50 "
ANOSCOPY ABLATION LESION,,"$8,200.50 "
ANOSCOPY CONTROL BLEEDING,,"$3,319.50 "
ANOSCOPY DX W/COLLJ SPEC BR/WA SPX WHEN PRFRMD,,$298.50 
ANOSCOPY W/BX SINGLE/MULTIPLE,,"$3,319.50 "
ANOSCOPY W/DILATION,,"$3,319.50 "
ANOSCOPY W/RMVL FOREIGN BODY,,"$2,526.00 "
ANOSCOPY W/RMVL LESION CAUTERY,,"$8,200.50 "
ANT SGM IMAGING W/MICROSCOPY ENDOTHELIAL ANALY,TC,$637.50 
ANTIBODY ACTINOMYCES,,$168.00 
ANTIBODY ADENOVIRUS,,$211.50 
ANTIBODY ASPERGILLUS,,$247.50 
ANTIBODY BACTERIUM NOT ELSEWHERE SPECIFIED,,$211.50 
ANTIBODY BARTONELLA,,$168.00 
ANTIBODY BLASTOMYCES,,$213.00 
ANTIBODY BORDETELLA,,$217.50 
ANTIBODY BORRELIA BURGDORFERI CONFIRMATORY TST,,$255.00 
ANTIBODY BORRELIA BURGDORFERI LYME DISEASE,,$280.50 
ANTIBODY BORRELIA RELAPSING FEVER,,$220.50 
ANTIBODY BRUCELLA,,$147.00 
ANTIBODY CAMPYLOBACTER,,$216.00 
ANTIBODY CANDIDA,,$198.00 
ANTIBODY CHLAMYDIA,,$195.00 
ANTIBODY CHLAMYDIA IGM,,$208.50 
ANTIBODY COCCIDIOIDES,,$229.50 
ANTIBODY COXIELLA BURNETII Q FEVER,,$199.50 
ANTIBODY CRYPTOCOCCUS,,$237.00 
ANTIBODY CYTOMEGALOVIRUS CMV,,$237.00 
ANTIBODY CYTOMEGALOVIRUS CMV IGM,,$277.50 
ANTIBODY DIPHTHERIA,,$250.50 
ANTIBODY EHRLICHIA,,$168.00 
ANTIBODY ELUTION RBC EACH ELUTION,,"$1,413.00 "
ANTIBODY ENCEPHALITIS CALIFORNIA LA CROSSE,,$217.50 
ANTIBODY ENCEPHALITIS EASTERN EQUINE,,$217.50 
ANTIBODY ENCEPHALITIS ST. LOUIS,,$217.50 
ANTIBODY ENCEPHALITIS WESTRN EQUINE,,$217.50 
ANTIBODY ENTEROVIRUS,,$214.50 
ANTIBODY EPSTEIN-BARR EB VIRUS EARLY ANTIGEN EA,,$216.00 
ANTIBODY EPSTEIN-BARR EB VIRUS NUCLEAR AG EBNA,,$252.00 
ANTIBODY EPSTEIN-BARR EB VIRUS VIRAL CAPSID VCA,,$298.50 
ANTIBODY FRANCISELLA TULARENSIS,,$171.00 
ANTIBODY FUNGUS NOT ELSEWHERE SPECIFIED,,$201.00 
ANTIBODY GIARDIA LAMBLIA,,$243.00 
ANTIBODY HAEMOPHILUS INFLUENZA,,$261.00 
ANTIBODY HELICOBACTER PYLORI,,$246.00 
ANTIBODY HELMINTH NOT ELSEWHERE SPECIFIED,,$159.00 
ANTIBODY HEP DELTA AGENT,,$282.00 
ANTIBODY HERPES SMPLX NON-SPECIFIC TYPE TEST,,$237.00 
ANTIBODY HERPES SMPLX TYPE 1,,$217.50 
ANTIBODY HERPES SMPLX TYPE 2,,$318.00 
ANTIBODY HISTOPLASMA,,$205.50 
ANTIBODY HIV-1,,$147.00 
ANTIBODY HIV-1&HIV-2 SINGLE RESULT,,$225.00 
ANTIBODY HIV-2,,$222.00 
ANTIBODY HLA CLASS I & CLASS II ANTIGENS QUAL,,$555.00 
ANTIBODY HLA CLASS I HIGH DEFINITION PANEL QUAL,,"$2,088.00 "
ANTIBODY HLA CLASS II HIGH DEFINITION PANEL QUAL,,"$1,899.00 "
ANTIBODY HTLV/HIV ANTIBODY CONFIRMATORY TEST,,$318.00 
ANTIBODY HTLV-I,,$138.00 
ANTIBODY HTLV-II,,$231.00 
ANTIBODY ID RBC ANTIBODIES EA PANEL EA SERUM TQ,,$781.50 
ANTIBODY IDENTIFICATION LEUKOCYTE ANTIBODIES,,$247.50 
ANTIBODY IDENTIFICATION PLATELET ANTIBODIES,,$303.00 
ANTIBODY IDENTIFICATION PLATELET IMMUNOGL ASSAY,,$205.50 
ANTIBODY INFLUENZA VIRUS,,$223.50 
ANTIBODY JOHN CUNNINGHAM VIRUS,,$237.00 
ANTIBODY LEGIONELLA,,$252.00 
ANTIBODY LEISHMANIA,,$201.00 
ANTIBODY LEPTOSPIRA,,$217.50 
ANTIBODY LISTERIA MONOCYTOGENES,,$217.50 
ANTIBODY LYMPHOCYTIC CHORIOMENINGITIS,,$211.50 
ANTIBODY MUCORMYCOSIS,,$217.50 
ANTIBODY MUMPS,,$241.50 
ANTIBODY MYCOPLSM,,$217.50 
ANTIBODY NEISSERIA MENINGITIDIS,,$217.50 
ANTIBODY NOCARDIA,,$217.50 
ANTIBODY PARVOVIRUS,,$247.50 
ANTIBODY PLASMODIUM MALARIA,,$217.50 
ANTIBODY PROTOZOA NES,,$204.00 
ANTIBODY RESPIRATORY SYNCTIAL VIRUS,,$211.50 
ANTIBODY RICKETTSIA,,$318.00 
ANTIBODY ROTAVIRUS,,$217.50 
ANTIBODY RUBELLA,,$250.50 
ANTIBODY RUBEOLA,,$220.50 
ANTIBODY SALMONELLA,,$217.50 
ANTIBODY SCREEN RBC EACH SERUM TECHNIQUE,,$90.00 
ANTIBODY SHIGELLA,,$217.50 
ANTIBODY TETANUS,,$243.00 
ANTIBODY TOXOPLASMA,,$237.00 
ANTIBODY TOXOPLASMA IGM,,$237.00 
ANTIBODY TREPONEMA PALLIDUM,,$217.50 
ANTIBODY TRICHINELLA,,$207.00 
ANTIBODY VARICELLA-ZOSTER,,$241.50 
ANTIBODY VIRUS NOT ELSEWHERE SPECIFIFED,,$211.50 
ANTIBODY WEST NILE VIRUS,,$237.00 
ANTIBODY WEST NILE VIRUS IGM,,$277.50 
ANTIBODY YERSINIA,,$217.50 
ANTIEPILEPTICS NOT OTHERWISE SPECIFIED 1-3,,"$1,879.50 "
ANTIHUMAN GLOBULIN DIRECT EACH ANTISERUM,,$133.50 
ANTIHUMAN GLOBULIN INDIR QUAL EA REAGENT CELL,,$468.00 
ANTIHUMAN GLOBULIN INDIRECT EACH ANTIBODY TITER,,$468.00 
"ANTI-MULLERIAN HORMONE, LEVEL, IMMUNOASSAY ANALYTE QUANTITATIVE NOS",,$300.00 
ANTINUCLEAR ANTIBODIES ANA,,$232.50 
ANTINUCLEAR ANTIBODIES ANA TITER,,$205.50 
ANTI-PHOSPHATIDYLSERINE ANTIBODY,,$324.00 
ANTISTREPTOLYSIN O SCREEN,,$94.50 
ANTISTREPTOLYSIN O TITER,,$120.00 
AORTOGRAPHY ABDL BI ILIOFEM LOW EXTREM CATH RS&I,TC,"$6,000.00 "
AORTOGRAPHY ABDOMINAL SERIALOGRAPHY RS&I,TC,"$6,000.00 "
AORTOGRAPHY THORACIC SERIALOGRAPHY RS&I,TC,"$9,000.00 "
AORTOGRAPHY THORACIC W/O SERIALOGRAPHY RS&I,TC,"$10,837.50 "
APOLIPOPROTEIN EACH,,$294.00 
APPL CRANIAL TONG/STRTCTC FRAME W/REMOVAL SPX,,"$5,175.00 "
APPL INTERDENTAL FIXATION DEVICE NON-FX/DISLC,,"$4,414.50 "
APPL MODALITY 1/> AREAS CONTRAST BATHS EA 15 MIN,,$148.50 
APPL MODALITY 1/> AREAS ELEC STIMJ EA 15 MIN,,$156.00 
APPL MODALITY 1/> AREAS ELEC STIMJ UNATTENDED,,$87.00 
APPL MODALITY 1/> AREAS HUBBARD TANK EA 15 MIN,,$276.00 
APPL MODALITY 1/> AREAS IONTOPHORESIS EA 15 MIN,,$180.00 
APPL MODALITY 1/> AREAS PARAFFIN BATH,,$93.00 
APPL MODALITY 1/> AREAS TRACTION MECHANICAL,,$169.50 
APPL MODALITY 1/> AREAS ULTRASOUND EA 15 MIN,,$124.50 
APPL MODALITY 1/> AREAS ULTRAVIOLET,,$60.00 
APPL MODALITY 1/> AREAS VASOPNEUMATIC DEVICES,,$162.00 
APPLICATION CAST ELBOW FINGER SHORT ARM,,$657.00 
APPLICATION CAST FIGURE-OF-8,,"$1,068.00 "
APPLICATION CAST HAND & LOWER FOREARM GAUNTLET,,$532.50 
APPLICATION CAST SHOULDER HAND LONG ARM,,$939.00 
APPLICATION FINGER SPLINT DYNAMIC,,$232.50 
APPLICATION FINGER SPLINT STATIC,,$232.50 
APPLICATION LONG ARM SPLINT SHOULDER HAND,,$648.00 
APPLICATION LONG LEG CAST THIGH-TOE,,$939.00 
APPLICATION LONG LEG SPLINT THIGH ANKLE/TOES,,$687.00 
APPLICATION MODALITY 1/> AREAS DIATHERMY,,$55.50 
APPLICATION MODALITY 1/> AREAS HOT/COLD PACKS,,$43.50 
APPLICATION MODALITY 1/> AREAS INFRARED,,$49.50 
APPLICATION MODALITY 1/> AREAS WHIRLPOOL,,$199.50 
APPLICATION SHORT ARM SPLINT DYNAMIC,,$424.50 
APPLICATION SHORT ARM SPLINT FOREARM-HAND STATIC,,$552.00 
APPLICATION SHORT LEG CAST BELOW KNEE-TOE,,$657.00 
APPLICATION SHORT LEG CAST WALKING/AMBULATORY,,"$1,068.00 "
APPLICATION SHORT LEG SPLINT CALF FOOT,,$693.00 
ARTERIAL PUNCTURE WITHDRAWAL BLOOD DX,,$349.50 
ARTERIOVENOUS ANASTOMOSIS OPEN DIRECT,,"$11,610.00 "
ARTHRD ANT MIN DISCECT INTERBODY CERV BELOW C2,,"$36,172.50 "
ARTHRD CRP/MTACRPL JT THMB W/WO INT FIXJ W/AGRFT,,"$22,195.50 "
ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/O US,,$688.50 
ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/US,,"$2,155.50 "
ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/O US,,$688.50 
ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/US,,"$1,278.00 "
ARTHROCENTESIS ASPIR&/INJ SMALL JT/BURSA W/O US,,$982.50 
ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US REC RPRT,,$688.50 
ARTHRODESIS ANKLE OPEN,,"$36,172.50 "
ARTHRODESIS GREAT TOE METATARSOPHALANGEAL JOINT,,"$22,195.50 "
ARTHRODESIS INTERPHALANGEAL JT W/WO INT FIXJ,,"$10,365.00 "
ARTHRODESIS MIDTARSOMETATARSAL SINGLE JOINT,,"$19,755.00 "
ARTHRODESIS SACROILIAC JOINT PERCUTANEOUS,,"$55,629.00 "
ARTHROSCOPY KNEE REMOVAL LOOSE/FOREIGN BODY,,"$9,225.00 "
ARTHROSCOPY KNEE SYNOVECTOMY LIMITED SPX,,"$9,225.00 "
ARTHROSCOPY KNEE W/MENISCUS RPR MEDIAL/LATERAL,,"$9,225.00 "
ARTHROSCOPY SHOULDER BICEPS TENODESIS,,"$19,755.00 "
ARTHROSCOPY SHOULDER ROTATOR CUFF REPAIR,,"$13,828.50 "
ARTHROSCOPY SHOULDER SURG DEBRIDEMENT EXTENSIVE,,"$6,700.50 "
ARTHROSCOPY SHOULDER SURG DEBRIDEMENT LIMITED,,"$9,225.00 "
ARTHROSCOPY SHOULDER SURGICAL CAPSULORRHAPHY,,"$19,755.00 "
ARTHROSCOPY WRIST DIAG W/WO SYNOVIAL BIOPSY SPX,,"$9,225.00 "
ARTHROTOMY BIOPSY INTERPHALANGEAL JOINT EACH,,"$5,175.00 "
ARTHRP INTERPOS INTERCARPAL/METACARPAL JOINTS,,"$9,225.00 "
ARTHRS AIDED ANT CRUCIATE LIGM RPR/AGMNTJ/RCNSTJ,,"$19,755.00 "
ARTHRS HIP DEBRIDEMENT/SHAVING ARTICULAR CRTLG,,"$19,755.00 "
ARTHRS KNE SURG W/MENISCECTOMY MED/LAT W/SHVG,,"$6,457.50 "
ARTHRS KNEE W/MENISCECTOMY MED&LAT W/SHAVING,,"$6,457.50 "
ARTHRT EXPL DRG/RMVL LOOSE/FB MTCARPHLNGL JT EA,,"$10,365.00 "
ARTHRT KNE W/EXPL DRG/RMVL FB,,"$10,365.00 "
ARTHRT W/EXPL DRG/RMVL LOOSE/FB MTTARPHLNGL JT,,"$9,225.00 "
ARTL CATHJ PROLNG NFS THER CHEMOTX CUTDOWN,,"$8,931.00 "
ARTL CATHJ/CANNULJ MNTR/TRANSFUSION SPX PRQ,,$205.50 
ARVEN ANAST OPN F/ARM VEIN TRPOS,,"$14,847.00 "
ARVEN ANAST OPN UPR ARM BASILIC VEIN TRPOS,,"$14,707.50 "
ARVEN ANAST OPN UPR ARM CEPHALIC VEIN TRPOS,,"$14,847.00 "
ASPIR &/NJX RENAL CYST/PELVIS NEEDLE PRQ,,"$2,292.00 "
ASPIRATION BLADDER INSERT SUPRAPUBIC CATHETER,,"$6,991.50 "
ASSAY OF ACETYLCHOLINESTERASE,,$184.50 
ASSAY OF ALCOHOL BREATH,,$228.00 
ASSAY OF ALDOLASE,,$190.50 
ASSAY OF ALDOSTERONE,,$823.50 
ASSAY OF ALUMINUM,,$297.00 
ASSAY OF AMMONIA,,$282.00 
ASSAY OF AMYLASE,,$151.50 
ASSAY OF ARSENIC,,$382.50 
ASSAY OF ASCORBIC ACID BLOOD,,$187.50 
ASSAY OF B-HEXOSAMINIDASE EACH ASSAY,,$319.50 
ASSAY OF BLOOD/URIC ACID,,$79.50 
ASSAY OF CALPROTECTIN FECAL,,$372.00 
ASSAY OF CHROMIUM,,$384.00 
ASSAY OF CITRATE,,$526.50 
ASSAY OF COPPER,,$235.50 
ASSAY OF C-PEPTIDE,,$394.50 
ASSAY OF CREATINE,,$88.50 
ASSAY OF CRYOFIBRN,,$162.00 
ASSAY OF CYANIDE,,$367.50 
ASSAY OF DIBUCAINE NUMBER,,$201.00 
ASSAY OF ERYTHROPOIETIN,,$355.50 
ASSAY OF ESTRADIOL,,$688.50 
ASSAY OF ESTRIOL,,$457.50 
ASSAY OF ESTROGENS FRACTIONATED,,$612.00 
ASSAY OF ESTROGENS TOTAL,,$411.00 
ASSAY OF ESTRONE,,$472.50 
ASSAY OF ETHYLENE GLYCOL,,$282.00 
ASSAY OF ETIOCHOLANOLONE,,$388.50 
ASSAY OF FERRITIN,,$180.00 
ASSAY OF FLUORIDE,,$351.00 
ASSAY OF FOLIC ACID RBC,,$328.50 
ASSAY OF FOLIC ACID SERUM,,$232.50 
ASSAY OF FREE THYROXINE,,$147.00 
ASSAY OF FRUCTOSE SEMEN,,$285.00 
ASSAY OF GALACTOKINASE RBC,,$354.00 
ASSAY OF GALACTOSE,,$184.50 
ASSAY OF GAMMAGLOBULIN IGA IGD IGG IGM EACH,,$186.00 
ASSAY OF GAMMAGLOBULIN IGE,,$259.50 
ASSAY OF GASTRIN,,$334.50 
ASSAY OF GLUCAGON,,$270.00 
ASSAY OF GLUCOSIDASE BETA,,$354.00 
ASSAY OF GLUTAMATE DEHYDROGENASE,,$127.50 
ASSAY OF GLUTAMYLTRASE GAMMA,,$144.00 
ASSAY OF GLUTATHIONE,,$270.00 
ASSAY OF GLUTATHIONE REDUCTASE RBC,,$114.00 
ASSAY OF GLYCATED PROTEIN,,$285.00 
ASSAY OF GROWTH HORMONE HUMAN,,$315.00 
ASSAY OF HAPTOGLOBIN PHENOTYPES,,$283.50 
ASSAY OF HAPTOGLOBIN QUANTITATIVE,,$274.50 
ASSAY OF HEMOGLOBIN PLASMA,,$138.00 
ASSAY OF HEMOGLOBIN URINE,,$64.50 
ASSAY OF HEMOSIDERIN QUALITATIVE,,$90.00 
ASSAY OF HISTAMINE,,$559.50 
ASSAY OF HOMOCYSTEINE,,$415.50 
ASSAY OF HOMOVANILLIC ACID,,$271.50 
ASSAY OF HYDROXYINDOLACETIC ACID 5-HIAA,,$244.50 
ASSAY OF HYDROXYPROGESTERONE 17-D,,$514.50 
ASSAY OF HYDROXYPROLINE FREE,,$373.50 
ASSAY OF HYDROXYPROLINE TOTAL,,$400.50 
ASSAY OF INSULIN FREE,,$244.50 
ASSAY OF INSULIN TOTAL,,$216.00 
ASSAY OF INTRINSIC FACTOR,,$262.50 
ASSAY OF IRON,,$102.00 
ASSAY OF KETOGENIC STEROIDS FRACTIONATION,,$234.00 
ASSAY OF KETOSTEROIDS 17- TOTAL,,$243.00 
ASSAY OF LACTATE,,$243.00 
ASSAY OF LEAD,,$244.50 
ASSAY OF LIPASE,,$168.00 
ASSAY OF MAGNESIUM,,$139.50 
ASSAY OF MALATE DEHYDROGENASE,,$121.50 
ASSAY OF MANGANESE,,$465.00 
ASSAY OF MERCURY QUANTITATIVE,,$330.00 
ASSAY OF NEPHELOMETRY EACH ANALYTE NES,,$300.00 
ASSAY OF NICKEL,,$463.50 
ASSAY OF NUCLEOTIDASE 5'-,,$211.50 
ASSAY OF OSMOLALITY BLOOD,,$154.50 
ASSAY OF OSMOLALITY URINE,,$144.00 
ASSAY OF OSTEOCALCIN,,$565.50 
ASSAY OF OXALATE,,$243.00 
ASSAY OF PARATHORMONE,,$703.50 
ASSAY OF PHENCYCLIDINE,,$279.00 
ASSAY OF PHENYLALANINE BLOOD,,$103.50 
ASSAY OF PHENYLKETONES QUALITATIVE,,$60.00 
ASSAY OF PHOSPHATASE ACID PROSTATIC,,$183.00 
ASSAY OF PHOSPHATASE ACID TOTAL,,$121.50 
ASSAY OF PHOSPHATASE ALKALINE,,$69.00 
ASSAY OF PHOSPHATASE ALKALINE HEAT STABLE,,$138.00 
ASSAY OF PHOSPHATASE ALKALINE ISOENZYMES,,$280.50 
ASSAY OF PHOSPHOHEXOSE ISOMERASE,,$195.00 
ASSAY OF PHOSPHORUS INORGANIC,,$93.00 
ASSAY OF PHOSPHORUS INORGANIC URINE,,$97.50 
ASSAY OF PORPHOBILINOGEN URINE QUANTITATIVE,,$160.50 
ASSAY OF PROGESTERONE,,$394.50 
ASSAY OF PROINSULIN,,$337.50 
ASSAY OF PROLACTIN,,$327.00 
ASSAY OF PROSTAGLNDIN EACH,,$472.50 
ASSAY OF PROSTATE SPECIFIC ANTIGEN COMPLEXED,,$348.00 
ASSAY OF PROSTATE SPECIFIC ANTIGEN FREE,,$309.00 
ASSAY OF PROSTATE SPECIFIC ANTIGEN TOTAL,,$294.00 
ASSAY OF PYRIDOXAL PHOSPHATE,,$459.00 
ASSAY OF PYRUVATE,,$205.50 
ASSAY OF PYRUVATE KINASE,,$178.50 
ASSAY OF QUININE,,$192.00 
ASSAY OF RECEPTOR ASSAY ESTROGEN,,"$1,060.50 "
ASSAY OF RECEPTOR ASSAY PROGESTERONE,,"$1,068.00 "
ASSAY OF RENIN,,$445.50 
ASSAY OF RIBOFLAVIN-VITAMIN B-2,,$361.50 
ASSAY OF SELENIUM,,$483.00 
ASSAY OF SEROTONIN,,$586.50 
ASSAY OF SEX HORMONE BINDING GLOBULIN,,$175.50 
ASSAY OF SIALIC ACID,,$255.00 
ASSAY OF SILICA,,$387.00 
ASSAY OF SODIUM OTHER SOURCE,,$91.50 
ASSAY OF SOMATOMEDIN,,$402.00 
ASSAY OF SOMATOSTATIN,,$346.50 
ASSAY OF SULFATE URINE,,$90.00 
ASSAY OF TESTOSTERONE FREE,,$516.00 
ASSAY OF TESTOSTERONE TOTAL,,$526.50 
ASSAY OF THIAMINE-VITAMIN B-1,,$333.00 
ASSAY OF THIOCYANATE,,$192.00 
ASSAY OF THYROGLOBULIN,,$396.00 
ASSAY OF THYROID STIMULATING HORMONE TSH,,$268.50 
ASSAY OF THYROXINE BINDING GLOBULIN,,$280.50 
ASSAY OF THYROXINE REQUIRING ELUTION,,$106.50 
ASSAY OF THYROXINE TOTAL,,$117.00 
ASSAY OF TOCOPHEROL ALPHA VITAMIN E,,$268.50 
ASSAY OF TRANSCORTIN CORTISOL BINDING GLOBULIN,,$340.50 
ASSAY OF TRANSFERRIN,,$169.50 
ASSAY OF TRIGLYCERIDES,,$141.00 
ASSAY OF TRIIODOTHYRONINE T3 FREE,,$282.00 
ASSAY OF TRIIODOTHYRONINE T3 TOTAL TT3,,$349.50 
ASSAY OF TROPONIN QUALITATIVE,,$145.50 
ASSAY OF TROPONIN QUANTITATIVE,,$187.50 
