Service Description,CPT/HCPCS Code,Charge
ANOSCOPY W/ABLAT TUMOR/POLYP/LESION NOT AMENABLE HT BIOP FRCPS/CAUT/SNR,46615,3850.00
ANOSCOPY W/HI-RES MAG/CHEMICAL ENHANCEMENT WITH BIOPSY SINGLE OR MULT,46607,4331.00
ANOSCOPY W/REM SINGLE TUMOR/POLYP/LESION BY SNARE TECHNIQUE,46611,1935.00
ANOSCOPY W/REMOVAL SINGLE TUMOR/POLYP/LESION HOT BIOPSY FRCPS/CAUTERY,46610,3159.00
ANOSCOPY WITH BIOPSY SINGLE OR MULTIPLE,46606,1040.00
ANOSCOPY WITH CONTROL OF BLEEDING,46614,1935.00
ANOSCOPY WITH SPECIMEN COLLECTION BY BRUSHING OR WASHING,46600,700.00
ANTERIOR SEG IMG W/INTERP & REP WITH FLUORESCEIN ANGIOGRAPHY,92287,381.00
ANTERIOR SEG IMG W/INTERP&REP W/SPECULR MICROSCPY/ENDOTHEL CELL ANALYSIS,92286,381.00
ANTI PHOSPHATIDYLSERINE ANTIBODY,86148,167.00
ANTIBODY ELUTION RBC,86860,276.00
ANTIBODY ID RBC PANEL,86870,323.00
ANTIBODY SCREEN RBC,86850,118.00
ANTIDEPRESSANTS NOS DEFINITIVE ASSAY,80338,259.00
ANTIDEPRESSANTS SEROTO =>6 DEFINITIVE ASSAY,80334,259.00
ANTIDEPRESSANTS SEROTO 1-2 DEFINITIVE ASSAY,80332,259.00
ANTIDEPRESSANTS SEROTO 3-5 DEFINITIVE ASSAY,80333,259.00
ANTIDEPRESSANTS TRICYCLIC =>6 DEFINITIVE ASSAY,80337,259.00
ANTIDEPRESSANTS TRICYCLIC 3-5 DEFINITIVE ASSAY,80336,259.00
ANTIEPILEPTIC =>7 DEFINITIVE ASSY,80341,259.00
ANTIEPILEPTIC 1-3 DEFINITIVE ASSY,80339,361.00
ANTIEPILEPTIC 4-6 DEFINITIVE ASSY,80340,259.00
ANTINUCLEAR ANTIBODY SCREEN,86038,290.00
ANTINUCLEAR ANTIBODY TITER,86039,179.00
ANTIPSYCHOTICS =>7 DEFINITIVE ASSY,80344,259.00
ANTIPSYCHOTICS 1-3 DEFINITIVE ASSY,80342,259.00
ANTIPSYCHOTICS 4-6 DEFINITIVE ASSY,80343,179.00
ANTISTREPTOLYSIN O SCREEN,86063,276.00
ANTITHROMBIN III ANTIGEN,85301,306.00
AORTOGRAPHY ABD +BILAT ILIOFEMORAL LWR EXTREM CATH BY SERIALOGRAPHY S&I,75630,2607.00
AORTOGRAPHY ABDOMINAL BY SERIALOGRAPHY RAD S&I,75625,2442.00
AORTOGRAPHY THORACIC BY SERIALOGRAPHY RAD S&I,75605,6023.00
AORTOGRAPHY THORACIC W/O SERIALOGRAPHY RAD S&I,75600,11416.00
APC (ADENOMATOUS POLYPOSIS COLI) GENE DUP/DELET VARIANTS,81203,906.00
APC (ADENOMATOUS POLYPOSIS COLI) GENE KNOWN FAM VARIANTS,81202,906.00
APC GENE FULL SEQUENCE,81201,906.00
APICOECTOMY ANTERIOR,D3410,713.00
APIXABAN 2.5 MG TABLET,,13.91
APOLIPOPROTEIN,82172,275.00
APPL LOW COST SKIN SUBST FACE SCALP EYELID NECK GENIT<=100CM 1ST 25 SQCM,C5275,1862.00
APPL LOW COST SKIN SUBST FACE SCALP EYELIDS NECK GENIT<=100CM AD 25 SQCM,C5276,1246.00
APPL LOW COST SKIN SUBST FACE SCALP EYELIDS NECK GENIT>100CM 1ST 100SQCM,C5277,2204.00
APPL LOW COST SKIN SUBST FACE SCALP EYELIDS NECK GENIT>100SQCM AD100SQCM,C5278,1246.00
APPL LOW COST SKIN SUBST TRUNK/ARMS/LEGS SURF AREA <100 SQCM 1ST 25 SQCM,C5271,1624.00
APPL LOW COST SKIN SUBST TRUNK/ARMS/LEGS SURF AREA <100 SQCM ADD 25 SQCM,C5272,1246.00
APPL LOW COST SKIN SUBST TRUNK/ARMS/LEGS SURF AREA>=100 SQCM AD 100SQCM,C5274,2379.00
APPL LOW COST SKIN SUBST TRUNK/ARMS/LEGS SURF AREA>=100SQCM 1ST 100SQCM,C5273,5437.00
APPL SKIN SUBST GRFT FACE SCALP EYELD MOUTH EAR <=100CM EA ADD 25 SQ CM,15276,381.00
APPL SKIN SUBST GRFT FACE SCALP EYELD MOUTH EAR >=100CM EA ADD 100 SQ CM,15278,903.00
APPL SKIN SUBST GRFT FACE SCALP EYELD MOUTH EAR HAND<=100CM 1ST 25 SQ CM,15275,2295.00
APPL SKIN SUBST GRFT TRNK ARM LEG TOTAL WOUND SURF >=100 SQ CM +100 SQCM,15274,959.00
APPL SKIN SUBST GRFT TRNK ARM LEG TOTL WND SURF >=100SQCM 1ST +25 SQ CM,15272,1006.00
APPL SKIN SUBST GRFT TRNK ARM LEG TOTL WND SURF >=100SQCM 1ST<=25 SQ CM,15271,3271.00
APPLICATION CAST FINGER,29086,372.00
APPLICATION CAST SHOULDER SPICA,29055,742.00
APPLICATION CLUBFOOT CAST WITH MOLDING/MANIPULATION LONG OR SHORT LEG,29450,372.00
APPLICATION CRANIAL TONGS CALIPER OR STEREOTACTIC FRAME INCL REMOVAL,20660,1566.00
APPLICATION INTERDENTAL FIXATION OTHER THAN FRACTURE/DISLOCATN INCL REM,21110,2388.00
APPLICATION MODALITY >= 1 AREAS ULTRAVIOLET,97028,27.00
APPLICATION MODALITY >=1 AREAS CONTRAST BATHS EACH 15 MINUTES,97034,91.00
APPLICATION MODALITY >=1 AREAS DIATHERMY,97024,24.00
APPLICATION MODALITY >=1 AREAS ELECTRICAL STIMULATION EACH 15 MINUTES,97032,150.00
APPLICATION MODALITY >=1 AREAS HOT OR COLD PACKS,97010,29.00
APPLICATION MODALITY >=1 AREAS HUBBARD TANK EACH 15 MINUTES,97036,123.00
APPLICATION MODALITY >=1 AREAS INFRARED,97026,136.00
APPLICATION MODALITY >=1 AREAS IONTOPHORESIS EA 15 MINUTES,97033,162.00
APPLICATION MODALITY >=1 AREAS PARAFFIN BATH,97018,121.00
APPLICATION MODALITY >=1 AREAS TRACTION MECHANICAL,97012,160.00
APPLICATION MODALITY >=1 AREAS ULTRASOUND EACH 15 MINUTES,97035,147.00
APPLICATION MODALITY >=1 AREAS VASOPNEUMATIC DEVICES,97016,93.00
APPLICATION MODALITY >=1 AREAS WHIRLPOOL,97022,230.00
APPLICATION MULTI-LAYER COMPRESSION SYSTEM LEG INCLUDING ANKLE AND FOOT,29581,368.00
APPLICATION MULTIPLANE UNILATERAL EXTERNAL FIXATION W/COMPUTER ADJ STRUT,20697,3212.00
APPLICATION OF BODY CAST SHOULDER TO HIPS,29035,742.00
APPLICATION OF BODY CAST SHOULDER TO HIPS INCLUDING 1 THIGH,29044,742.00
APPLICATION OF BODY CAST SHOULDER TO HIPS INCLUDING BOTH THIGHS,29046,742.00
APPLICATION OF CYLINDER CAST THIGH TO ANKLE,29365,553.00
APPLICATION OF HEADFRAME FOR STEREOTACTIC RADIOSURGERY 2ND - 5TH SESSION,61800,3740.00
APPLICATION OF HEADFRAME FOR STEREOTACTIC RADIOSURGERY FIRST SESSION,61800,3740.00
APPLICATION OF HIP SPICA CAST 1 AND ONE-HALF SPICA OR BOTH LEGS,29325,742.00
APPLICATION OF LONG LEG CAST BRACE,29358,568.00
APPLICATION OF LONG LEG CAST THIGH TO TOES,29345,587.00
APPLICATION OF LONG LEG CAST THIGH TO TOES WALKER OR AMBULATORY TYPE,29355,552.00
APPLICATION OF RIGID TOTAL CONTACT LEG CAST,29445,611.00
APPLICATION OF SHORT LEG CAST BELOW KNEE TO TOES,29405,325.00
APPLICATION OF SHORT LEG CAST BELOW KNEE TO TOES WALKING OR AMBULATORY,29425,475.00
APPLICATION OF SURFACE NEUROSTIMULATOR,64550,555.00
APPLICATION ON-BODY INJECTOR FOR TIMED SUBCUTANEOUS INJECTION,96377,181.00
APPLICATION TOPICAL FLUORIDE MD/QHP,99188,86.00
ARGATROBAN 100 MG/ML INTRAVENOUS SOLUTION,J0883,2448.72
ARTERIAL CATHETERIZATION /CANNULATION MONITORING/TRANSFUSION SEP PROC,36620,1437.00
ARTERIAL CATHETERIZATION/CANNULATION SAMPLING MONITOR/TRANSFUSN CUTDOWN,36625,2815.00
ARTERIAL PUNCTURE WITHDRAWL OF BLOOD FOR DIAGNOSIS,36600,117.00
ARTHROCENTESIS ASPIRATION OR INJECTION MAJOR JOINT OR BURSA,20610,585.00
ARTHROCENTESIS ASPIRATION/INJECTION INTERM JOINT OR BURSA W/O ULTRASOUND,20605,378.00
ARTHROCENTESIS ASPIRATION/INJECTION INTERMEDIATE JOINT/BURSA W/US GUIDE,20606,1106.00
ARTHROCENTESIS ASPIRATION/INJECTION MAJOR JOINT OR BURSA W/ULTRASOUND,20611,785.00
ARTHROCENTESIS ASPIRATION/INJECTION SMALL JOINT OR BURSA W/O ULTRASOUND,20600,812.00
ARTHROCENTESIS ASPIRATION/INJECTION SMALL JOINT OR BURSA W/ULTRASOUND,20604,1106.00
ARTHROTOMY INTERPHALANGEAL JOINT EACH,26080,3185.00
ARTHROTOMY INTERPHALANGEAL JOINT WITH EXPLORATION DRAINAGE,28024,3179.00
ARTHROTOMY METACARPOPHALANGEAL JOINT EACH,26075,5667.00
ARTIFICIAL INSEMINATION INTRA-UTERINE,58322,919.00
ARUP 5-HIAA,83497,169.00
ARUP ACE ANGIO CONVERTING ENZYME,82164,173.00
ARUP ACETYLCHOLINE BINDING AB,83519,365.00
ARUP ACETYLCHOLINE BLOCK AB,83516,198.00
ARUP ACETYLCHOLINE MODULATING AB,83516,198.00
ARUP ACTH LEVEL,82024,334.00
ARUP ACTIVATED PROTEIN C RESISTANCE ASSAY,85307,280.00
ARUP ADENOVIRUS ANTIGEN IMMUNOFLUORESCENT,87260,136.00
"ARUP AG DETECT LEGIONELLA EIA, URINE",87449,274.00
ARUP ALBUMIN OTHER SOURCE QUANTITATIVE EACH,82042,95.00
ARUP ALBUMIN SERUM PLASMA WHOLE BLD,82040,67.00
"ARUP ALBUMIN, CSF",82042,94.00
ARUP ALDOLASE,82085,165.00
ARUP ALDOSTERONE,82088,465.00
ARUP ALKALINE PHOSPHATASE,84075,101.00
ARUP ALKALINE PHOSPHATASE ISOENZYME,84080,222.00
ARUP ALLERGEN IGE QUANT OR SEMI,86003,67.00
"ARUP ALLERGENS, EA (RAST)",86003,65.00
ARUP ALPHA-1 ANTITRYPSIN,82103,187.00
ARUP ALUMINUM,82108,141.00
ARUP AMINO ACIDS QUANTITATIVE SINGLE,82131,145.00
ARUP AMYLASE BODY FLUID,82150,152.00
ARUP AMYLASE ISOENZYMES,82150,152.00
ARUP ANDROSTENEDIONE,82157,93.00
"ARUP ANGIO COVETING ENZYME,CSF",82164,172.00
ARUP ANTIDEPRESSANTS TRICYCLIC 1-2 DEFINITIVE ASSAY,80335,121.00
ARUP ANTIDIURETIC HRMONE (VASOPRES),84588,232.00
ARUP ANTI-JO1 AB,86235,221.00
ARUP ANTISTREPTOLYSIN O TITER,86060,175.00
ARUP ANTITHROMBIN III ACTIVITY,85300,283.00
ARUP AQUAPORIN-4 RECEPTOR ANTIBODY,83516,226.00
ARUP ARSENIC,82175,258.00
ARUP ASPERGILLUS ANTIBODY,86606,165.00
ARUP AST/SGOT,84450,121.00
ARUP B2 GLYCOPROTEIN AB IGA,86146,184.00
ARUP B2 GLYCOPROTEIN I AB IGG,86146,184.00
ARUP B2 GLYCOPROTEIN I AB IGM,86146,184.00
"ARUP BARTONELLA AB, IGG",86611,125.00
"ARUP BARTONELLA AB, IGM",86611,125.00
ARUP BETA-2 MICROGLOBULIN,82232,197.00
ARUP BRUCELLA ANTIBODY,86622,63.00
"ARUP BUPRENORPHINE QUANT,URINE",80348,295.00
ARUP C BLOOD ACID FAST,87116,230.00
ARUP C1-ESTERASE INHIB FUNCT,86161,253.00
ARUP CA 27-29,86300,229.00
ARUP CALCITONIN,82308,236.00
ARUP CALPROTECTIN FECAL,83993,519.00
"ARUP CANCER ANTIGEN, 15-3",86300,198.00
ARUP CANDIDA NUCLEIC ACID PROBE DIRECT,87480,127.00
ARUP CARDIOLIPIN ANTIBODY IGA,86147,269.00
ARUP CARDIOLIPIN ANTIBODY IGG,86147,269.00
ARUP CARDIOLIPIN ANTIBODY IGM,86147,269.00
ARUP CARINITINE-CARINITINE,82379,417.00
ARUP CATECHOLAMINES-PLASMA,82384,344.00
ARUP CATECHOLAMINES-URINE,82384,344.00
ARUP CD4 COUNT Lymphocyte Subset Panel 2,86361,284.00
ARUP CEA CARCINOEMBRYONIC ANTIG,82378,279.00
ARUP CELIAC DIS REFLEX PANEL,82784,202.00
ARUP CELIAC DIS SCREEN,83516,198.00
"ARUP CENTROMERE AB,IGG",83516,198.00
ARUP CERULOPLASMIN,82390,175.00
ARUP CHLAMYDIA AMPLIFIED DETECTION,87491,223.00
ARUP CHLAMYDIA ANTIBODY,86631,139.00
ARUP CHLAMYDIA ANTIBODY IGM,86632,124.00
ARUP CHOLESTEROL LDL DIRECT,83721,124.00
"ARUP CHROMATOGRAPHY(HGB,EVAL)",83021,181.00
ARUP CHROMOGRANIN A,86316,294.00
ARUP CITRATE (RANDOM URINE),82507,194.00
"ARUP CITRATE, 24HR",82507,222.00
ARUP CLOZAPINE (CLOZARIL) THERAPUTIC DRUG ANALYSIS,80159,240.00
"ARUP CMV AB,IGM",86645,219.00
ARUP COAGULATION/FIBRINOLYSIS EA ANALYTE,85397,176.00
ARUP COLD AGGLUTININ TITER,86157,151.00
ARUP COMPLEMENT 4,86160,260.00
ARUP COMPLEMENT C-3,86160,260.00
ARUP COMPLEMENT C-5,86160,259.00
ARUP COMPLEMENT TOTAL (CH50),86162,281.00
ARUP COMPLEX SPEC STAIN O/P TRIC,87209,154.00
ARUP COMPLEX SPEC STAIN OP TRIC,87209,154.00
ARUP COPPER-COPPER,82525,212.00
ARUP COPPER-URINE,82525,212.00
"ARUP CORTISOL FREE, URINE",82530,250.00
ARUP C-PEPTIDE,84681,139.00
ARUP CRYOGLOBULIN,82595,158.00
"ARUP CRYPTOCOCCUS ANTIG, CSF",87327,244.00
"ARUP CSF, MYELIN BASIC PROTEIN",83873,244.00
ARUP CYCLOSPORINE THERAPUTIC DRUG ANALYSIS,80158,354.00
"ARUP CYTOMEGALOVIRUS AB,IGG",86644,197.00
ARUP CYTOMEGALOVIRUS NUCLEIC ACID PROBE AMPLIFIED,87496,410.00
ARUP DHEA-SULFATE DHEA,82627,303.00
"ARUP DIPHTHERIA ANTIBODY, IGG",86317,190.00
ARUP DSDNA AB IGG,86225,126.00
ARUP EA ORG AG IMMUNOFLUORESCENT,87299,194.00
ARUP EBV CAP IGG,86665,147.00
ARUP EBV CAP IGM,86665,129.00
ARUP EBV NUC AG,86664,146.00
ARUP EBV-EARLY ANTIGEN,86663,175.00
"ARUP ENCEPHALITIS AB, WEST NILE IGM",86788,184.00
ARUP ENTEROVIRUS DNA AMP PROBE,87498,525.00
ARUP ERY-OSMOT-FRAGIL,85555,220.00
ARUP ERYTHROPOIETIN,82668,230.00
ARUP ESTRIOL,82677,147.00
ARUP ESTROGEN FRACTIONATED,82671,443.00
ARUP ETHYLENE GLYCOL,82693,210.00
"ARUP EXTRACTABLE NUC ANTIGENS, SMITH-IGG",86235,221.00
"ARUP F2 (PROTHROMBIN, COAGULATION FACTOR II) GENE 20210G>A VARIANT",81240,461.00
ARUP F5 (COAGULATION FACTOR V) GENE LEIDEN VARIANT,81241,461.00
ARUP F-ACTIN SM MUSCLE AB IGG,83516,226.00
ARUP FACTOR VIII AHG,85240,382.00
