IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT,
2022763,HC TYMPANOMETRY & REFL THR,Audiology: Diagnostic,$186.05,
2022765,HC VRA,Audiology: Diagnostic,$362.25,
2022434,HC BLOOD SPLIT UNIT,Blood Storage/Processing,"$1,510.51",
2022435,HC CRYOPRECIPITATE EACH UNIT,Blood Storage/Processing,$606.92,
2022445,HC CRYOPRECIPITATEREDUCEDPLASMA,Blood Storage/Processing,$724.35,
2022448,"HC PLASMA, FRZ BETWEEN 8-24HOUR",Blood Storage/Processing,$846.93,
2022442,HC PLATE PHERES LEUKOREDU IRRAD,Blood Storage/Processing,"$7,409.49",
2022441,HC PLATELET PHERES LEUKOREDUCED,Blood Storage/Processing,"$5,721.92",
2022447,"HC PLATELETS, HLA-M, L/R, UNIT",Blood Storage/Processing,"$8,448.01",
2022440,"HC PLATELETS, PHERESIS",Blood Storage/Processing,"$4,716.48",
2022443,HC RBC DEGLYCEROLIZED,Blood Storage/Processing,"$4,390.07",
2022436,HC RBC LEUKOCYTES REDUCED,Blood Storage/Processing,"$2,126.70",
2022438,HC RED BLOOD CELLS UNIT,Blood Storage/Processing,"$1,629.31",
2022439,HC WASHED RED BLOOD CELLS UNIT,Blood Storage/Processing,"$3,941.31",
2022433,HC WHOLE BLOOD FOR TRANSFUSION,Blood Storage/Processing,"$1,779.80",
2020472,HC BLOOD TRANSFUSION SERVICE,Blood:  Administration (e.g. Transfusion),"$3,003.05",
2024338,HC ABLATE ARRHYTHMIA ADD ON,Cardiology,"$21,922.16",
2025051,HC ABP MONITORING 24+ HRS; RECORDING,Cardiology,$301.94,
2025052,HC ABP MONITORING 24+ HRS; SCANNING ANALYSIS,Cardiology,$301.94,
2022079,HC CARDIAC OUTPUT MEASUREMENT,Cardiology,$70.37,
2022005,"HC CATH/EP CARDIOVERSION ELECTRIC, EXT",Cardiology,"$6,894.83",
2022093,HC CATH/EP COMPRE ELECTROPHYSIOLOGIC W/ ARRHYT HMIA INDUCT,Cardiology,"$48,453.35",
2022089,"HC CATH/EP ELECTROPHYS MAP 3D, ADD-ON",Cardiology,"$31,415.53",
2022090,HC CATH/EP ESOPHGL REC ATR EGRM +-VENTR EGRM,Cardiology,"$1,137.47",
2022091,HC CATH/EP ESOPHGL REC ATR EGRM +-VENTR EGRM W/PACG,Cardiology,"$1,327.04",
2022080,HC CATH/EP HEART FLOW RESERVE MEASURE,Cardiology,"$6,297.11",
2022092,HC CATH/EP HEART RHYTHM PACING,Cardiology,"$3,407.60",
2022102,HC CATH/EP ICAR CATHETER ABLATION ATRIOVENTR NODE FUNCTION,Cardiology,"$15,972.81",
2022038,HC CATH/EP ILR DEVICE EVAL PROGR,Cardiology,"$1,925.96",
2022044,HC CATH/EP ILR DEVICE INTERROGATE,Cardiology,"$1,925.96",
2023066,HC CATH/EP INTERROGATION VAD IN PERSON,Cardiology,$379.16,
2022106,HC CATH/EP INTRACARDIAC ECG (ICE),Cardiology,"$7,281.23",
2022041,HC CATH/EP PM DEVICE EVAL IN PERSON,Cardiology,"$1,925.96",
2022033,"HC CATH/EP PM DEVICE PROGR EVAL,  DUAL",Cardiology,$569.94,
2022039,HC CATH/EP PRE-OP PM DEVICE EVAL,Cardiology,"$1,925.96",
2022096,"HC CATH/EP STIMULATION, PACING HEART",Cardiology,"$11,674.11",
2022105,HC CATH/EP TILT TABLE EVALUATION,Cardiology,"$8,442.84",
2022051,"HC DOPPLER ECHO EXAM, HEART",Cardiology,"$1,522.66",
2022101,HC ELECTROPHYSIOLOGY EVALUATION,Cardiology,"$13,642.34",
2024336,HC EP & ABLATE SUPRAVENT ARRHYT,Cardiology,"$22,361.69",
2024337,HC EP & ABLATE VENTRIC TACHY,Cardiology,"$58,300.52",
2022042,HC INTERROG DEVICE EVAL HEART,Cardiology,"$1,925.96",
2025986,HC PAD REHAB PER SESSION,Cardiology,$192.48,
2022040,HC PERI-PX DEVICE EVAL & PRGR,Cardiology,"$1,925.96",
2024982,HC PERQ TRANSCATH CLOSURE PDA,Cardiology,"$19,257.21",
2022771,HC PPM PROGRAM EVAL DUAL,Cardiology,$569.94,
2022035,HC PRGRMG EVAL IMPLANTABLE DFB 1 SNGL,Cardiology,"$1,376.19",
2022036,HC PRGRMG EVAL IMPLANTABLE DFB 1DUAL,Cardiology,"$1,581.83",
2022037,HC PRGRMG EVAL IMPLANTABLE DFB MULT,Cardiology,"$1,787.47",
2024339,HC TX ATRIAL FIB PULM VEIN ISOL,Cardiology,"$59,249.61",
2024340,HC TX L/R ATRIAL FIB ADDL,Cardiology,"$22,515.05",
2024812,HC VASCULAR EMBOLIZATION OR OCCLUSION ARTERIAL RS&I,Cardiology,"$31,440.77",
2024814,HC VASCULAR EMBOLIZATION OR OCCLUSION HEMORRHAGE,Cardiology,"$31,440.77",
2024811,HC VASCULAR EMBOLIZATION OR OCCLUSION VENOUS RS&I,Cardiology,"$31,440.77",
2022056,HC CATH/EP BIOPSY OF HEART LINING,Cardiology: Cardiac catheter lab,"$4,605.41",
2022064,HC CATH/EP CMBN R HRT & RETROGRADE L HRT CATHJ CGEN ANOMALY,Cardiology: Cardiac catheter lab,"$31,526.62",
2022065,HC CATH/EP CMBN R HRT T-SEPTAL L HRT CATHJ NTC SEPTUM CGEN,Cardiology: Cardiac catheter lab,"$37,517.03",
2022066,HC CATH/EP CMBN R HRT T-SEPTAL L HRT CATHJ SEPTAL OPNG CGEN,Cardiology: Cardiac catheter lab,"$27,876.35",
2022852,HC CATH/EP CORO ART/GRFT ANGIO S&I,Cardiology: Cardiac catheter lab,"$22,874.17",
2022851,HC CATH/EP CORONARY ART ANGIO S&I,Cardiology: Cardiac catheter lab,"$19,636.85",
2020400,HC CATH/EP DRAINAGE OF HEART SAC,Cardiology: Cardiac catheter lab,"$2,644.43",
2022860,HC CATH/EP DRUG ADMN&HEMODYMIC MEAS,Cardiology: Cardiac catheter lab,"$4,006.49",
2020424,HC CATH/EP ELTRD/INSERT PACE-DEFIB,Cardiology: Cardiac catheter lab,"$48,407.47",
2022837,HC CATH/EP FEM/POPL REVAS W/ATHER,Cardiology: Cardiac catheter lab,"$16,663.50",
2022836,HC CATH/EP FEM/POPL REVAS W/TLA,Cardiology: Cardiac catheter lab,"$12,394.99",
2022838,HC CATH/EP FEM/POPL REVASC W/STENT,Cardiology: Cardiac catheter lab,"$13,771.54",
2022832,HC CATH/EP ILIAC REVASC,Cardiology: Cardiac catheter lab,"$11,261.15",
2022835,HC CATH/EP ILIAC REVASC STENT ADDON,Cardiology: Cardiac catheter lab,"$19,924.96",
2022833,HC CATH/EP ILIAC REVASC W/STENT,Cardiology: Cardiac catheter lab,"$13,734.11",
2020425,HC CATH/EP IMPLANT PAT-ACTIVE HT RECORD,Cardiology: Cardiac catheter lab,"$10,733.47",
2022864,HC CATH/EP INJ L VENT/ATRIAL ANG,Cardiology: Cardiac catheter lab,"$6,752.34",
2022867,HC CATH/EP INJ PULM ART HRT CATH,Cardiology: Cardiac catheter lab,"$6,905.69",
2022865,HC CATH/EP INJ R VENT/ATRIAL ANG,Cardiology: Cardiac catheter lab,"$6,752.34",
2022866,HC CATH/EP INJ SUPRVLV AORTGRAPY,Cardiology: Cardiac catheter lab,"$7,672.46",
2020441,HC CATH/EP INJECTION EXT VENOGRAPHY,Cardiology: Cardiac catheter lab,"$12,280.28",
2020427,HC CATH/EP INSERT IA PERCUT DEVICE,Cardiology: Cardiac catheter lab,"$2,315.99",
2022055,HC CATH/EP INSERT/PLACE HEART CATHETER,Cardiology: Cardiac catheter lab,"$6,557.93",
2020410,HC CATH/EP INSJ ELTRD 1CHMBR 1 ELTRD PRM PM/1CHMBR CVDFB,Cardiology: Cardiac catheter lab,"$6,931.47",
2020484,HC CATH/EP INSJ NON-TUN CTR CVC AGE 5 YR/>,Cardiology: Cardiac catheter lab,"$3,098.45",
2020482,HC CATH/EP INSJ NON-TUN CTR CVC UNDER 5 YR,Cardiology: Cardiac catheter lab,"$3,656.31",
2020401,HC CATH/EP INSJ/RPLCMT PRM PM W/TRANSVNS ELTRD ATR,Cardiology: Cardiac catheter lab,"$14,273.86",
2020403,HC CATH/EP INSJ/RPLCMT PRM PM W/TRANSVNS ELTRD ATR&VENTR,Cardiology: Cardiac catheter lab,"$16,406.30",
2020402,HC CATH/EP INSJ/RPLCMT PRM PM W/TRANSVNS ELTRD VENTR,Cardiology: Cardiac catheter lab,"$15,093.75",
2020404,HC CATH/EP INSJ/RPLCMT TEMP TRANSVNS 1CHMBR ELTRD/PM CATH,Cardiology: Cardiac catheter lab,"$6,931.47",
2022009,"HC CATH/EP INTRAVASC US, HEART ADD-ON",Cardiology: Cardiac catheter lab,"$5,753.74",
2023033,HC CATH/EP IV DOPPLER; EA ADDTL VESSEL,Cardiology: Cardiac catheter lab,"$5,037.69",
2023027,HC CATH/EP IVUS ADDITIONAL VESSEL,Cardiology: Cardiac catheter lab,"$4,602.99",
2022856,HC CATH/EP L HRT ART/GRFT ANGIO,Cardiology: Cardiac catheter lab,"$27,093.89",
2022855,HC CATH/EP L HRT ART/VENTRCLE ANGIO,Cardiology: Cardiac catheter lab,"$24,630.59",
2022859,HC CATH/EP L HRT CATH TRNSPTL PUNC,Cardiology: Cardiac catheter lab,"$8,524.95",
2022849,HC CATH/EP L HRT CATH W/VENTGRPHY,Cardiology: Cardiac catheter lab,"$27,093.89",
2020416,HC CATH/EP L VENTRIC PACING LEAD ADD-ON,Cardiology: Cardiac catheter lab,"$15,186.73",
2022862,HC CATH/EP P INJ CONG CARD CATH,Cardiology: Cardiac catheter lab,"$8,592.57",
2022007,HC CATH/EP PERCUT CORONARY THROMBECTOMY,Cardiology: Cardiac catheter lab,"$6,804.26",
2024311,HC CATH/EP PLACE CATH CAROTID/INOM ART,Cardiology: Cardiac catheter lab,"$8,649.32",
2024312,HC CATH/EP PLACE CATH CAROTID/INOM ART,Cardiology: Cardiac catheter lab,"$9,428.16",
2024314,HC CATH/EP PLACE CATH SUBCLAVIAN ART,Cardiology: Cardiac catheter lab,"$9,428.16",
2024310,HC CATH/EP PLACE CATH THORACIC AORTA,Cardiology: Cardiac catheter lab,"$6,314.02",
2020445,HC CATH/EP PLACE CATHETER IN VEIN,Cardiology: Cardiac catheter lab,"$1,584.24",
2020444,HC CATH/EP PLACE CATHETER IN VEIN,Cardiology: Cardiac catheter lab,"$3,499.34",
2022910,HC CATH/EP PRIM ART MECH THROMBCTMY,Cardiology: Cardiac catheter lab,"$14,075.83",
2022021,HC CATH/EP PRQ TRLUML P-ART BALO ANGIOP 1 VSL,Cardiology: Cardiac catheter lab,"$19,924.96",
2022022,HC CATH/EP PRQ TRLUML P-ART BALO ANGIOP EA VSL,Cardiology: Cardiac catheter lab,"$19,924.96",
2022854,HC CATH/EP R HRT ART/GRFT ANGIO,Cardiology: Cardiac catheter lab,"$29,064.53",
2022853,HC CATH/EP R HRT CORONARY ART ANGIO,Cardiology: Cardiac catheter lab,"$25,615.91",
2022857,HC CATH/EP R&L HRT ART/VENT ANGIO,Cardiology: Cardiac catheter lab,"$29,064.53",
2022858,HC CATH/EP R&L HRT ART/VENT ANGIO,Cardiology: Cardiac catheter lab,"$33,004.60",
2022850,HC CATH/EP R&L HRT CATH W/VENTGRPHY,Cardiology: Cardiac catheter lab,"$35,467.90",
2020420,HC CATH/EP REMOVAL PACEMAKER ELECTRODE,Cardiology: Cardiac catheter lab,"$14,312.50",
2020418,HC CATH/EP REMOVAL PERMANENT PACEMAKER PULSE GENERATOR,Cardiology: Cardiac catheter lab,"$9,541.67",
2020423,"HC CATH/EP REMOVE ELTRD, TRANSVEN",Cardiology: Cardiac catheter lab,"$9,480.08",
2020426,HC CATH/EP REMOVE PAT-ACTIVE HT RECORD,Cardiology: Cardiac catheter lab,"$2,957.96",
2020422,HC CATH/EP REMOVE PULSE GENERATOR,Cardiology: Cardiac catheter lab,"$5,396.32",
2020409,HC CATH/EP REPOSITION PACING-DEFIB LEAD,Cardiology: Cardiac catheter lab,"$3,215.01",
2020413,"HC CATH/EP REVISE POCKET, PACEMAKER",Cardiology: Cardiac catheter lab,"$3,234.89",
2020414,"HC CATH/EP REVISE POCKET, PACING-DEFIB",Cardiology: Cardiac catheter lab,"$3,881.87",
2022014,HC CATH/EP REVISION OF AORTIC VALVE,Cardiology: Cardiac catheter lab,"$11,263.56",
2022017,HC CATH/EP REVISION OF HEART CHAMBER,Cardiology: Cardiac catheter lab,"$7,728.00",
2022016,HC CATH/EP REVISION OF PULMONARY VALVE,Cardiology: Cardiac catheter lab,"$13,664.07",
2022845,HC CATH/EP REVSC OPNPRQ TIBPER STNT,Cardiology: Cardiac catheter lab,"$19,924.96",
2022848,HC CATH/EP RIGHT HEART CATH,Cardiology: Cardiac catheter lab,"$24,630.59",
2020419,HC CATH/EP RMVL TRANSVNS PM ELTRD 1 LEAD SYS ATR/VENTR,Cardiology: Cardiac catheter lab,"$11,449.52",
2022063,"HC CATH/EP RT HEART CATH, CONGENITAL",Cardiology: Cardiac catheter lab,"$6,798.23",
2022573,HC CATH/EP SECONDY PERC THROMBECT,Cardiology: Cardiac catheter lab,"$5,198.29",
2020456,HC CATH/EP SLCTV CATHJ 1ST 2ND ORD THRC/BRCH/CPHLC BRNCH,Cardiology: Cardiac catheter lab,"$2,719.29",
2020464,HC CATH/EP SLCTV CATHJ 2ND ORDER ABDL PEL/LXTR ART BRNCH,Cardiology: Cardiac catheter lab,"$8,881.16",
2020466,HC CATH/EP SLCTV CATHJ 3RD+ ORD SLCTV ABDL PEL/LXTR BRNCH,Cardiology: Cardiac catheter lab,"$10,568.04",
2020462,HC CATH/EP SLCTV CATHJ EA 1ST ORD ABDL PEL/LXTR ART BRNCH,Cardiology: Cardiac catheter lab,"$5,300.93",
2022843,HC CATH/EP TIB/PER REVASC ADD-ON,Cardiology: Cardiac catheter lab,"$6,642.46",
2022840,HC CATH/EP TIB/PER REVASC W/ATHER,Cardiology: Cardiac catheter lab,"$13,734.11",
2022841,HC CATH/EP TIB/PER REVASC W/STENT,Cardiology: Cardiac catheter lab,"$13,734.11",
2022839,HC CATH/EP TIB/PER REVASC W/TLA,Cardiology: Cardiac catheter lab,"$15,024.92",
2022842,HC CATH/EP TIB/PER REVSC STNT&ATHER,Cardiology: Cardiac catheter lab,"$70,067.60",
2022081,HC CATH/EP TRANSCATH CLOSURE OF ASD,Cardiology: Cardiac catheter lab,"$30,654.80",
2022082,HC CATH/EP TRANSCATH CLOSURE OF VSD,Cardiology: Cardiac catheter lab,"$57,769.46",
2020508,"HC CATH/EP TRANSCATH STENT, CCA W/EPS",Cardiology: Cardiac catheter lab,"$10,367.60",
2020408,HC CATH/EP UPGRADE OF PACEMAKER SYSTEM,Cardiology: Cardiac catheter lab,"$15,946.07",
2025078,HC ECMO/ECLS DAILY MGMT ARTERY,Cardiology: Cardiac catheter lab,"$10,205.45",
2025077,HC ECMO/ECLS DAILY MGMT-VENOUS,Cardiology: Cardiac catheter lab,"$10,205.45",
2025076,HC ECMO/ECLS INITIATION ARTERY,Cardiology: Cardiac catheter lab,"$10,005.35",
2025075,HC ECMO/ECLS INITIATION VENOUS,Cardiology: Cardiac catheter lab,"$10,005.35",
2025079,HC ECMO/ECLS INSJ PRPH CANNULA PERCUTANEOUS BIRTH - 5 YRS OLD,Cardiology: Cardiac catheter lab,"$4,012.52",
2025082,HC ECMO/ECLS INSJ PRPH CANNULA; OPEN 6 YRS & OLDER,Cardiology: Cardiac catheter lab,"$4,012.52",
2025081,HC ECMO/ECLS INSJ PRPH CANNULA; OPEN BIRTH - 5 YRS OLD,Cardiology: Cardiac catheter lab,"$4,012.52",
2025080,HC ECMO/ECLS INSJ PRPH CANNULA; PERCUTANEOUS 6 YRS & OLDER,Cardiology: Cardiac catheter lab,"$4,012.52",
2025084,HC ECMO/ECLS INSJ PRPH CANNULA; STERNOTOMY OR THORACOTOMY 6 YRS & OLDER,Cardiology: Cardiac catheter lab,"$4,012.52",
2025158,HC ECMO/ECLS REPOS PERPH CNULA >6 YRS,Cardiology: Cardiac catheter lab,"$4,012.52",
2025160,HC ECMO/ECLS REPOS PERPH CNULA OPEN >6 YRS,Cardiology: Cardiac catheter lab,"$4,012.52",
2025162,HC ECMO/ECLS REPOS PERPH CNULA THORACOTOMY > 6YRS,Cardiology: Cardiac catheter lab,"$4,012.52",
2025185,HC ECMO/ECLS RMVL CTR CANNULA >6 YRS,Cardiology: Cardiac catheter lab,"$4,012.52",
2025164,HC ECMO/ECLS RMVL PERPH CANNULA > 6YRS,Cardiology: Cardiac catheter lab,"$4,012.52",
2025183,HC ECMO/ECLS RMVL PERPH CANNULA >6 YRS,Cardiology: Cardiac catheter lab,"$4,012.52",
2025163,HC ECMO/ECLS RMVL PERPH CANNULA BIRTH - 5YRS,Cardiology: Cardiac catheter lab,"$4,012.52",
2025182,HC ECMO/ECLS RMVL PERPH CANNULA BIRTH - 5YRS,Cardiology: Cardiac catheter lab,"$4,012.52",
2022699,HC FEM/POPL REVSC STNT&ATHR,Cardiology: Cardiac catheter lab,"$23,356.67",
2025165,HC IMPL PRESSURE SENSOR W/ANGIO,Cardiology: Cardiac catheter lab,"$32,530.05",
2025020,HC IMPLANTING LARIAT,Cardiology: Cardiac catheter lab,"$27,148.22",
2023097,HC INS CATH REN ART 1ST BILAT,Cardiology: Cardiac catheter lab,"$16,743.20",
2024836,HC INS/REP SUBQ DEFIBRILLATOR,Cardiology: Cardiac catheter lab,"$138,068.44",
2025255,HC INSERT VAD ARTERY ACCESS,Cardiology: Cardiac catheter lab,"$24,283.07",
2025135,HC LEADLESS C PM INS/RPL VENTR,Cardiology: Cardiac catheter lab,"$65,250.45",
2024807,HC OPEN/PERQ PLACE STENT 1ST,Cardiology: Cardiac catheter lab,"$36,479.78",
2024808,HC OPEN/PERQ PLACE STENT EA ADD,Cardiology: Cardiac catheter lab,"$17,509.96",
2024809,HC OPEN/PERQ PLACEMENT INTRAVASCULAR STENT SAME 1ST,Cardiology: Cardiac catheter lab,"$32,425.90",
2024360,HC PERC D-E COR REVASC CHRO SIN,Cardiology: Cardiac catheter lab,"$25,497.57",
2024358,HC PERC D-E COR REVASC T CABG B,Cardiology: Cardiac catheter lab,"$25,497.57",
2024357,HC PERC D-E COR REVASC T CABG S,Cardiology: Cardiac catheter lab,"$25,497.57",
2024359,HC PERC D-E COR REVASC W AMI S,Cardiology: Cardiac catheter lab,"$25,497.57",
2024356,HC PERC D-E COR STENT ATHER BR,Cardiology: Cardiac catheter lab,"$25,497.57",
2024355,HC PERC D-E COR STENT ATHER S,Cardiology: Cardiac catheter lab,"$25,497.57",
2024354,HC PERC DRUG-EL COR STENT BRAN,Cardiology: Cardiac catheter lab,"$25,497.57",
2024353,HC PERC DRUG-EL COR STENT SING,Cardiology: Cardiac catheter lab,"$25,497.57",
2024623,HC PERQ CLSR TCAT L ATR APNDGE,Cardiology: Cardiac catheter lab,"$27,148.22",
2024333,HC PRQ CARD ANGIO/ATHRECT 1 ART,Cardiology: Cardiac catheter lab,"$29,290.33",
2024327,HC PRQ CARD REVASC CHRONIC 1VSL,Cardiology: Cardiac catheter lab,"$21,072.08",
2024331,HC PRQ CARD REVASC CHRONIC ADDL,Cardiology: Cardiac catheter lab,"$21,072.08",
2024326,HC PRQ CARD REVASC MI 1 VSL,Cardiology: Cardiac catheter lab,"$21,072.08",
2024323,HC PRQ CARD STENT W/ANGIO 1 VSL,Cardiology: Cardiac catheter lab,"$21,072.08",
2024328,HC PRQ CARD STENT W/ANGIO ADDL,Cardiology: Cardiac catheter lab,"$21,072.08",
2024334,HC PRQ CARDIAC ANGIO ADDL ART,Cardiology: Cardiac catheter lab,"$14,539.51",
2024332,HC PRQ CARDIAC ANGIOPLAST 1 ART,Cardiology: Cardiac catheter lab,"$14,539.51",
2024325,HC PRQ REVASC BYP GRAFT 1 VSL,Cardiology: Cardiac catheter lab,"$21,072.08",
2024330,HC PRQ REVASC BYP GRAFT ADDL,Cardiology: Cardiac catheter lab,"$21,072.08",
2023589,HC REM IAB ASSIST DEVICE PERCUTANEOUS,Cardiology: Cardiac catheter lab,$271.69,
2025256,HC REMOVE VAD DIFFERENT SESSION,Cardiology: Cardiac catheter lab,"$24,283.07",
2023420,HC REMOVE&REPLACE PM GEN SINGL,Cardiology: Cardiac catheter lab,"$17,482.19",
2023410,HC REMV&REPLC PM GEN DUAL LEAD,Cardiology: Cardiac catheter lab,"$18,210.31",
2023421,HC REMV&REPLC PM GEN MULT LEADS,Cardiology: Cardiac catheter lab,"$19,120.76",
2024842,HC REPOS PREV IMPLTBL SUBQ DFB,Cardiology: Cardiac catheter lab,"$10,015.02",
2023424,HC RMVL & RPLCMT DFB GEN 2 LEAD,Cardiology: Cardiac catheter lab,"$19,125.59",
2023425,HC RMVL & RPLCMT DFB GEN MLT LD,Cardiology: Cardiac catheter lab,"$20,820.92",
2024841,HC RMVL OF SUBQ DEFIBRILLATOR,Cardiology: Cardiac catheter lab,"$10,015.02",
2023411,HC RMVL& REPLC PULSE GEN 1 LEAD,Cardiology: Cardiac catheter lab,"$18,896.17",
2023084,HC TRANSCATH OCCLUSION CNS,Cardiology: Cardiac catheter lab,"$9,206.04",
2024847,HC TRANSCATH RENAL SYMP DENERV BILAT,Cardiology: Cardiac catheter lab,"$9,311.27",
2026017,HC TUBE PERICARDIOSTOMY,Cardiology: Cardiac catheter lab,"$3,855.49",
2022888,HC 2D TTE FUP OR LMTD STD,Cardiology: Echocardiology,$859.74,
2022048,"HC CATH/EP TTE, F-UP OR LMTD",Cardiology: Echocardiology,$859.74,
2022732,HC COMP FETAL DOPPLER ECHO,Cardiology: Echocardiology,$703.97,
2022052,HC DOPPLER COLOR FLOW ADD-ON,Cardiology: Echocardiology,$730.54,
2022776,HC DOPPLER ECHO;LMITED F/UP,Cardiology: Echocardiology,$761.93,
2025133,HC ECHO TRANSESOPHAGEAL (TEE),Cardiology: Echocardiology,"$2,474.17",
2022733,HC FETAL DOPPLER ECHO F/UP,Cardiology: Echocardiology,$492.66,
2022731,HC FETAL ECHOCARD 2-D F/UP,Cardiology: Echocardiology,"$1,677.22",
2022053,HC STRESS TTE ONLY,Cardiology: Echocardiology,"$2,528.51",
2022049,HC TEE R-T IMG 2D W/PRB IMG ACQUISJ I&R,Cardiology: Echocardiology,"$3,981.13",
2022773,HC TRANSTHORAC ECH CONG,Cardiology: Echocardiology,"$2,515.22",
2022774,HC TRANSTHORAC ECH CONG FUP,Cardiology: Echocardiology,"$1,785.89",
2022775,HC TTE LIMITED,Cardiology: Echocardiology,$859.74,
2022409,"HC TTE W OR WO FOL WCON,DOPPLER",Cardiology: Echocardiology,"$3,122.60",
2022046,"HC TTE W/DOPPLER, COMPLETE",Cardiology: Echocardiology,"$3,122.60",
2022026,HC CARDIOVASCULAR STRESS TEST,Cardiology: Stress test,"$1,621.67",
2025441,HC  VISUAL FIELD EXAMINATION(S),Clinic,$177.50,
2025859,HC ADVNCD CARE PLAN 30 MIN,Clinic,$629.31,
2025860,HC ADVNCD CARE PLAN ADDL 30 MIN,Clinic,$590.75,
2025871,HC AUDIT/DAST 15-30 MIN,Clinic,$93.46,
2020015,"HC DEBRIDE SKIN, FULL",Clinic,"$3,003.05",
2020014,"HC DEBRIDE SKIN, PARTIAL",Clinic,"$1,441.46",
2025475,HC DETERMINE REFRACTION,Clinic,$126.79,
2025446,HC EYE EXAM & TREATMENT 1+VISITS,Clinic,$265.65,
2025444,HC EYE EXAM NEW PATIENT 1+ VISITS,Clinic,$332.06,
2025658,HC FQHC HIV COUNSELING AND TESTING VISIT,Clinic,$265.65,
2025657,HC FQHC HIV COUNSELING VISIT (NO TESTING),Clinic,$265.65,
2025655,HC FQHC INITIAL COMP HIV MEDICAL EVALUATION VISIT,Clinic,$265.65,
2025656,HC FQHC MONITORING VST - ASYMPTOMATIC HIV DISEASE,Clinic,$265.65,
2025659,HC FQHC POST-TEST HIV COUNSELING VISIT - POSITIVE RESULTS,Clinic,$265.65,
2025907,HC FUNDUS PHOTOGRAPHY,Clinic,$370.57,
2023133,HC GENETIC COUNSEL EST PATIENT 30MIN,Clinic,$733.64,
2023134,HC GENETIC COUNSEL NEW PATIENT 60MIN,Clinic,"$1,236.50",
2026240,HC HOME VISIT EST PATIENT 25,Clinic,$286.92,
2026241,HC HOME VISIT EST PATIENT 40,Clinic,$439.17,
2026242,HC HOME VISIT EST PATIENT 60,Clinic,$610.29,
2026180,HC INIT PM E/M NEW PAT 1-4 YRS 25,Clinic,$183.39,
2026185,HC INIT PM E/M NEW PAT 65+ YRS 25,Clinic,$183.39,
2026179,HC INIT PM E/M NEW PAT INF <1 YR 25,Clinic,$183.39,
2022788,HC INIT PM E/M NEW PT 1-4YR,Clinic,$183.39,
2022787,"HC INIT PM E/M, NEW PT INF",Clinic,$183.39,
2025445,HC INTERM EYE EXAM EST PT,Clinic,$265.65,
2025443,HC INTERM EYE EXAM NEW PT,Clinic,$332.00,
2025448,HC LIMITED VISUAL FIELD EXAM,Clinic,$131.11,
