PROCEDURE,DESCRIPTION,CPT CODE, CHARGE ,REV CODE
CSV004721,"BANDAGE-ELAST-6""x15YD-VELC STR",,37.8,250
CSV005372,"STRIPS-PackingGauz1.5""5ydBiogu",,54,250
CSV004519,CONTRAST-ISOVUE 100ml 370VIAL,,95,255
CSV004520,CONTRAST-ISOVUE-125ML 370VL,,228.9,255
CSV000509,IV-SODIUM CHLORIDE .09% 250ML,, -   ,258
CSV000496,D5 IV 100ML,,11.5,258
CSV001377,IV-LACTATED RINGERS-500ML,,11.5,258
CSV002300,IV SOLUTION-DEXTROSE 5% 100ML,,11.5,258
CSV004281,IV SOLUTION-NS 9% 1000ML VISIV,,11.5,258
CSV004980,IV-N.S.9%-250ML SOLUTION,,11.5,258
CSV4980,IV-N.S.9% 250ML SOLUTION,,11.5,258
EMD7004,IV HYDRATION-INITIAL UP TO 1hr,96360,276,260
PCC4401,IV-Hydration-IVinfusionInitHR,96360,276,260
EMD7005,IV HYDRATION-EA ADD HR,96361,93,260
PCC4402,HydrationIVinfusionEAaddt'liHR,96361,93,260
PCC4416,HydrationIVinfusionPrePostAdm,96361,93,260
ECF1001,IV.Infusion.InitalUpTo1hr.ECF,96365,330,260
EMD7000,IV Infusion-InitialUpTo1Hr-EMD,96365,330,260
PCC4403,IV Infusion-InitialUpTo1Hr-PCC,96365,330,260
PCC4431,IVinfusionInitialUpTo1hrPCCxe,96365,365.68,260
PCC4328,IV Infusion-Initial1Hr-2ndSite,96365,389,260
ECF96366,IVinfusion-EAaddt'l-HR-ECF,96366,99,260
EMD7001,IV INFUSION-EA ADD HR-EMGER,96366,99,260
PCC4404,IVinfusion-EAaddt'l-HR-PCC,96366,99,260
EMD7003,IV INFUSION-ADDL SEQ UP TO 1hr,96367,124,260
PCC4406,IV Infusion-SeqDrugUpTo1hr,96367,124,260
EMD7002,IV INFUSION-ConcurrentInfusion,96368,95,260
PCC4407,IVinfusion-Concurrent Infusion,96368,95,260
PCC4408,INJ-SUBQ or IM-SepPreparation,96372,86,260
PCC4418,Inj-INTRA-ARTERIAL,96373,157,260
CSE7009,INJ-IV PUSH-CONSCIOUS SEDATION,96374,156,260
EMD7009,INJECTION-IV PUSH-EMERG DEPT,96374,156,260
PAC7009,INJECTION-IV PUSH-PACU,96374,156,260
PCC4409,Inj-IV Push-Initial Drug-PCC,96374,156,260
CSE7010,INJ-IV PUSH-EA ADDTL-CONS SED,96375,120,260
EMD7010,INJECTION-IV PUSH EA ADD-ER,96375,120,260
PAC7010,INJECTION-IV PUSH-EA ADDTL-PAC,96375,120,260
PCC4010,Inj-IVpush-SeqDrugNewAddOn-PCC,96375,120,260
EMD7013,INJ-IVpushAddt'lSameSub/Drug,96376,105,260
PCC4417,"Inj-IVpush-SameDrug>30""SepPrep",96376,105,260
EMD7012,INJECTION-IV PUSH-ED-2ND INT,,52,260
ANEF106,ANESTH-SUPPLIES.NON.ROUTINE,99070, VARIED ,270
CSV000991,"SPLINT-CONFORMABLE-3x12""castin",Q4022,29.5,270
CSV000248,DRESSING-TEGADERM-2 3/8x2 3/4,, -   ,270
CSV000488,PRIMARY IV SET OPTION,, -   ,270
CSV000631,NEEDLE-AUTOGUARD-18,, -   ,270
CSV000632,IV CATH-AUTOGUARD-20ga,, -   ,270
CSV000674,KIT-SPLINT-SAMPLE,, -   ,270
CSV000677,KIT-DRUG OF ABUSE - 5 PANEL,, -   ,270
CSV001157,INDEX TABX  GUMMED,, -   ,270
CSV003275,EXTENSION SET-NON DEPH BIFUSE,, -   ,270
CSV004014,KIT-IV START-HUB & LINE GUARD,, -   ,270
CSV003957,DIETARY SUPPLEMENT-ENSURE,,0.8,270
LAU7000,LAUNDRY-PER POUND,,1.05,270
CSV003961,DIETARY SUPPLEMENT-MIGHT SHAKE,,1.1,270
CSV000041,BANDAID-EXTRA LARGE,,1.5,270
CSV000646,"NEEDLE  30 X 1/2""",,1.5,270
CSV000647,"NEEDLE  18 X 1 1/2""",,1.5,270
CSV000650,"NEEDLE  20 X 1 1/2""",,1.5,270
CSV000651,NEEDLE  22 X 1 1/2,,1.5,270
CSV000652,"NEEDLE-22 X 1""",,1.5,270
CSV000653,"NEEDLE 23 X 1""",,1.5,270
CSV000656,NEEDLE  25 X 5/8,,1.5,270
CSV000657,"NEEDLE  27 X 1 1/4""",,1.5,270
CSV000658,"NEEDLE 27 X 1/2""",,1.5,270
CSV000659,"NEEDLE-30 X 1""",,1.5,270
CSV001147,SYRINGE-LEUR LOK-60cc,,1.5,270
CSV001414,"MOLESKIN STRIPS 5/8""EVERY8""/OT",,1.5,270
CSV001421,NEEDLE-25 X 1-1/4,,1.5,270
CSV001505,"GAUZE-TUBE-1 1/8"" WIDTH-PER FT",,1.5,270
CSV002274,ELECTRODE-BIO TAC ULTRA FOAM,,1.5,270
CSV003958,DIETARY SUPPLEMENT-GLUCERNA,,1.8,270
CSV000644,NEEDLE-FILTER-19 GA,,2,270
CSV000660,NEEDLE-CANNUAL-BLUNT,,2,270
CSV001149,SYRINGE-INSULIN,,2,270
CSV001463,NEEDLE-BLUNT,,2,270
CSV003962,DIETARY SUPPLEMENT-BENECALORIE,,2.15,270
CSV003960,DIETARY SUPP-BREEZE NON-DAIRY,,2.25,270
CSV000082,BRIEF-LARGE-EXTRA,,2.5,270
CSV000204,TUBING-OXYGEN SUPPLY,,2.5,270
CSV000878,RAZOR-DISP,,2.5,270
CSV001029,SOFTWICK SPONGE STERILE 4X4,,2.5,270
CSV001064,"STOCKINETTE-SYNTHETIC 6""",,2.5,270
CSV004326,BLADE-SCALPEL#11-STERILE,,2.8,270
CSV000431,HOLLISTER POUCH  1 3/4,,2.85,270
CSV004263,SPLINT-PLASTER 5x30 SPEC XTRA,,2.85,270
CSV004027,SOLUTION-PVP SKIN PREP 4oz,,2.95,270
CSV004028,SOLUTION-PVP SCRUB-4oz BOTTLE,,2.95,270
CSV000083,BRIEF-PULL UP-LARGE,,3,270
CSV000108,PLUG-CATHETER,,3,270
CSV000168,TUBING-CORRAFLEX,,3,270
CSV000180,EZ WRAPS FOR EAR,,3,270
CSV000247,DRESSING-POLYSKIN II,,3,270
CSV000250,DRESSING-TELFA 2 X 3,,3,270
CSV000251,DRESSING-TELFA-NONADHESIVE 2x3,,3,270
CSV000252,DRESSING-TELFA- 3x4,,3,270
CSV000253,DRESSING-TELFA 3 X 8,,3,270
CSV000793,"DRAIN-PENROSE 1/4 X 12""",,3,270
CSV001004,SPLINT-FINGER-ALUMIN-3/4-perIN,,3,270
CSV001005,"SPLINT-FINGER-ALUMIN1""wd-perIN",,3,270
CSV001024,SPONGE-3 X 3- 2PACK,,3,270
CSV001025,EYE PAD  SPONGE,,3,270
CSV001027,SPONGE-STERILE-2x2,,3,270
CSV001058,"STOCKINETTE-COTTON-2""-PER YARD",,3,270
CSV001059,"STOCKINETTE-SYNTHETIC-2""",,3,270
CSV001060,"STOCKINETTE-SYNTHETIC-3""",,3,270
CSV001061,"STOCKINETTE-COTTON-3""",,3,270
CSV001062,"STOCKINETTE-SYNTHETIC-4""",,3,270
CSV001063,"STOCKINETTE-COTTON-4""",,3,270
CSV001065,"STOCKINETTE-COTTON-5""",,3,270
CSV001139,SWABSTICK-GLYCERINE-LEMON,,3,270
CSV001140,SWABSTICK-TINCTURE OF BENZOIN,,3,270
CSV001141,SWABSTICKS-BETADINE,,3,270
CSV001146,SYRINGE-CATH-TIP-60cc,,3,270
CSV001221,"GUAZE-TUBE-5/8"" WIDTH-PER FOOT",,3,270
CSV001227,"GAUZE-TUBE 5/8""- PER FT",,3,270
CSV001228,"GAUZE-TUBE-7/8""-PER FOOT",,3,270
CSV001229,"TUBE-GUAZE  7/8"" PER FOOT",,3,270
CSV001238,UNDERGARMENT  KENDALL,,3,270
CSV001239,UNDERGARMENT  W/O ELASTIC,,3,270
CSV001264,WIPES-SALINE-STERILE,,3,270
CSV001382,PAD-ATTENDS-MEDIUM-DISPOABLE,,3,270
CSV001459,"STOCKINETTE-COTTON-6""PER YARD",,3,270
CSV001464,DIAPER-LARGE,,3,270
CSV001465,DIAPER-EXTRA LARGE,,3,270
CSV001466,DIAPER-SMALL,,3,270
CSV001467,DIAPER-NEWBORN,,3,270
CSV001495,DRESSING-MEFIX-PER INCH,,3,270
CSV001504,TUBE-GAUZE-ELASTIC-NET 3perFT,,3,270
CSV001563,NOSEPADS-GLASSES,,3,270
CSV001805,BRUSH-HAIR-ADULT,,3,270
CSV001870,"DRESSING-XEROFORM 1"" X 8""",,3,270
CSV002012,TAMPONS,,3,270
CSV002018,BRIEF-SMALL,,3,270
CSV002054,BLADE-KNIFE #10,,3,270
CSV002055,BLADE-KNIFE #11,,3,270
CSV002057,BLADE-KNIFE #20,,3,270
CSV002126,"TUBING-SUCTION-24""-CANNISTERS",,3,270
CSV002235,PAD-BLADDER PRESENCE,,3,270
CSV002310,PAD-PERI MAXI REGULAR,,3,270
CSV002454,PAD-PERI LONG SUPPER PKG 16,,3,270
CSV002455,PAD-PERI REGULAR MAXI,,3,270
CSV002643,DIAPER-LARGE 16-28LBS,,3,270
CSV002703,CATHETER-SUCTION 18 FR,,3,270
CSV002704,CATHETER-SUCTION 12 FR,,3,270
CSV002952,RINGS-LATEX FOR HEMMORRIOIDS,,3,270
CSV002975,DIAPER-PAMPERS-SMALL-SIZE 1,,3,270
CSV003066,BRIEF-ADULT-LARGE-PLUS,,3,270
CSV003268,PAD-MAXI REGULAR,,3,270
CSV003784,SPECULUM-VAGINAL-LARGE,,3,270
CSV004020,SUCTION TIP-BULB-YANKAUER-,,3,270
CSV004057,PAD-ADHESIVE REMOVER,,3,270
CSV004253,DRESSING-OPSITE 4x4-3/4,,3,270
CSV004507,BRIEFS,,3,270
CSV004651,CLIP-NOSE-DISP,,3,270
CSV004777,TUBING-CONNECTION-UNIV-7FT-C/P,,3,270
CSV004806,LOTION-REMOVER-DURAPREP,,3,270
CSV004959,SPEAR SPONGE EYE,,3,270
CSV004991,"TUBEGUAZE 1.5"" WHT SZ3 PERYARD",,3,270
CSV2274,ELECTRODE-BIO TAC FOAM PKG 3,,3,270
CSV003959,DIETARY SUPPLEMENT-ARGINAID,,3.3,270
CSV004954,BENZOIN TINCT LF STERILE,,3.45,270
CSV005020,HOLLISTER WAFER BARRIER 2.25W,,3.45,270
CSV000032,"BANDAGE-ACE-2""",,3.5,270
CSV000037,"KLING-STERILE 2""",,3.5,270
CSV000081,BRIEF-MEDIUM,,3.5,270
CSV000192,MASK-VENT-MULTI-ADULT,,3.5,270
CSV000193,MASK-AEROSOL-ELONG W/O TUBING,,3.5,270
CSV000198,MASK-OXYGEN-SIMPLE-ADULT,,3.5,270
CSV000202,NEB-U-MIST  SMALL VOLUME,,3.5,270
CSV000233,DRAPE-FENESTRATED,,3.5,270
CSV000234,DRAPE-STERILE FIELD,,3.5,270
CSV000238,DRESSING-ADAPTIC 3x3,,3.5,270
CSV000254,DRESSING-TENDERSORB ABD 5 X 9,,3.5,270
CSV000366,FLUFFS LARGE,,3.5,270
CSV000711,"CAST.PADDING.SYNTHETIC.3""",,3.5,270
CSV000978,BETASPETIC SOAP-PER OZ,,3.5,270
CSV001240,UNDERGARMENT WITH BUTTONS BU75,,3.5,270
CSV001285,CANNULA-7 FOOT (RT),,3.5,270
CSV001452,"TOPIGEL SHEET 2x1""(Silicone)OT",,3.5,270
CSV001460,"STOCKINETTE-COTTON-5""PER YARD",,3.5,270
CSV001863,"TETRAGRIP-SIZE D OR 3""PER FOOT",,3.5,270
CSV002127,BRUSH-SCRUB-wPCMX DETERG,,3.5,270
CSV002598,"FIELD-STERILE 18""x26""",,3.5,270
CSV002735,BRIEF-PULL UP-EXTRA LARGE,,3.5,270
CSV002978,FLUFF,,3.5,270
CSV003000,"DRAIN-PENROSE-18""-STERILE",,3.5,270
CSV003078,BRIEF-/W WINGS-ADULT-EX LG,,3.5,270
CSV003668,DRAPE-UTILITY 26x15 w TAB,,3.5,270
CSV003783,KIT-BLOOD GAS,,3.5,270
CSV003988,TUBE-LEVIN 10F - NG,,3.5,270
CSV004280,NET ELASTIC #5 PER FOOT,,3.5,270
CSV004370,WIPE-BARRIER- NO STING CAVILON,,3.5,270
CSV004591,DIETARY SUPPLEMENT-JEVITY 8oz,,3.5,270
CSV004983,Isolation gown xl,,3.5,270
CSV005016,KERLIX BNDG 2.25X3YD,,3.5,270
CSV005085,"APPLICATOR GYN 8"" LG TIP",,3.5,270
CSV005137,BRIEF.PULLUP.HEAVY.ABSORB,,3.5,270
CSV00978,SOAP-BETASEPTIC PER OZ.,,3.5,270
CSV004918,KIT-BLOOD GAS-LLSYRINGE,,3.55,270
CSV005022,CATHETER 16F RED,,3.55,270
CSV005066,"COBAN ASSTED COLORS 3""X5",,3.69,270
CSV004952,DRESSING-XERFORM 2x2PET GUAZE,,3.7,270
CSV004471,VESSEL LOOP-LF XRAY DETECT,,3.75,270
CSV004972,BARRIER-FILM-NO STING,,3.75,270
CSV000036,"KLING-STERILE 1""",,4,270
CSV000038,"KLING-3""-STERILE",,4,270
CSV000080,BRIEF-LARGE,,4,270
CSV000257,DRESSING-XEROFORM 5 X 9,,4,270
CSV000516,ENEMA KIT,,4,270
CSV000712,"PADDING-CAST-SYNTHETIC 4""",,4,270
CSV000792,"DRAIN-PENROSE 3/8 X 12""",,4,270
CSV001007,SPLINT-FINGER-SMALL-W/FOAM,,4,270
CSV001008,SPLINT-FINGER-W/FORAM-LARGE,,4,270
CSV001218,SLING-BANDAGE-TRIANGULAR,,4,270
CSV001224,TUBE-STOMACH-#12,,4,270
CSV001267,"WRAP-COBAN-SELF ADH 2""",,4,270
CSV001409,"CUSHION STRAP 2""-PER FT (OT)",,4,270
CSV001455,CATH SUCTION-10 FRENCH,,4,270
CSV001470,DRESSING VASELINE 1 X 8,,4,270
CSV001732,BRIEF-ADULT-PULL UP-EX LARGE,,4,270
CSV001994,"NEEDLE-SPINAL-18ga X 3-1/2""",,4,270
CSV002056,BLADE-KNIFE #15,,4,270
CSV002797,SYRINGE-BULB-STERILE 2 oz,,4,270
CSV002804,STRAP-CATHETER-FORAM BLUE,,4,270
CSV002812,PACK-PERI SAGE LG-PERSONAL,,4,270
CSV002999,BRIEF-ATTENDS-EX LG,,4,270
CSV003347,"SPONGE-LAP-STERILE 18""x18""",,4,270
CSV003490,FLUFF-GAUZE 36x36 STERILE,,4,270
CSV003941,PACK-DISP-HOT/COLD 5x11 GEL,,4,270
CSV004032,"PADDING-WEBRIL STERILE 4""",,4,270
CSV004483,AIRWAY-GUEDEL-WRAP-INDIV-SZ 3,,4,270
CSV004484,AIRWAY-GUEDEL-WRAP-MED-SZ 4,,4,270
CSV004485,AIRWAY-GUEDEL-DISP-LG LF,,4,270
CSV004673,BRIEF-RESTORE-EX LG,,4,270
CSV004851,DRESSING-BIOCLUSIVE 2x3 LF STR,,4,270
CSV004904,"NEEDLE-SPINAL 22 ga X 5"" LONG",,4,270
CSV004958,BLADE BIOPSY,,4,270
CSV005071,DressingTrnsparentSrste2.4x2.8,,4,270
CSV005109,"PAD.GUAZE.STERILE.4""x4""",,4,270
CSV005113,"CAST.PADDING.STERILE.4""",,4,270
CSV005136,"DRAPE.MEDIUM.FAN.FOLD.40""x70""",,4,270
CSV005145,SCRUB.SURGICAL.DYNA.HEX.4%,,4,270
CSV005152,TIP-YANKAUER-NARROW.FLANGE,,4,270
CSV005153,"SPONGES.NEURO.1/2""x1.2""",,4,270
CSV000033,"BANDAGE-ACE 3""",,4.5,270
CSV000084,BRIEF-PULL UP-MEDIUM,,4.5,270
CSV000092,SUCTION CANNISTER 1200 ML,,4.5,270
CSV000109,CATH SECURE HOLDER,,4.5,270
CSV000196,MASK-AEROSOL-PEDIATRIC-w/oTUBI,,4.5,270
CSV000258,DRESSING-VASELINE-3x9,,4.5,270
CSV000710,"CAST.PADDING.SYNTHETIC.2""",,4.5,270
CSV000801,BOTTLE-PERI-8oz-DISP,,4.5,270
CSV000925,BLADE-SCALPEL-SAFETY #15,,4.5,270
CSV000976,SEPTISOFT SOAP GALLON,,4.5,270
CSV000990,SPLASH SHIELD,,4.5,270
CSV001266,"COBAN WRAP-SELF ADH-1""",,4.5,270
CSV001269,"WRAP-COBAN-SELF ADH-4""",,4.5,270
CSV001458,STOPCOCK - 3 WAY,,4.5,270
CSV001865,"DRESSING-VASELINE GAUZE 6""x36""",,4.5,270
CSV002283,UNDERWEAR-PULL UP-LARGE,,4.5,270
CSV002378,SYRINGE-CATH-STANDARD-60CC-KND,,4.5,270
CSV002736,DRESSING-ALLDRESS 6 x 6,,4.5,270
CSV003045,DRESSING-SORBAVIEW SV30XT,,4.5,270
CSV003886,"SUTURE-ETHIBOND 2-0 4""",,4.5,270
CSV003951,CANNISTER-SUCTION-2000ML,,4.5,270
CSV00636,NEEDLE-BUTTERFLY-19 GA,,4.5,270
CSV003070,HOLDER-TUBE-NASO.GAST,,4.55,270
CSV004753,DRAPE-1000 17x11 LF,,4.55,270
CSV000107,CATH AND GLOVE 14 FR,,5,270
CSV000636,NEEDLE-BUTTERFLY-19ga,,5,270
CSV000637,NEEDLE-BUTTERFLY-21ga,,5,270
CSV000638,NEEDLE-BUTTERFLY 25,,5,270
CSV000963,SLIPPERS ADULT BLUE,,5,270
CSV001023,PLASTER CAST SPLINT  5X30 XFAS,,5,270
CSV001028,SPONGE-STERILE-4x4,,5,270
CSV001050,STERI STRIPS 1/8',,5,270
CSV001148,SYRINGE-EAR-2oz,,5,270
CSV001429,EYE SHIELD-DISP-ALUMINUM,,5,270
CSV001453,CATH SUCTION-05 FRENCH,,5,270
CSV001454,CATH SUCTIN-08 FRENCH,,5,270
CSV001456,CATH SUCITON-14 FRENCH,,5,270
CSV001457,CATH SUCTION-18 FRENCH,,5,270
CSV001914,SET-IV EXTENSION V5403,,5,270
CSV002112,GLOVES-SURGEON-STERILE-SIZE8,,5,270
CSV002123,DRESSING-XEROFORM 2x2,,5,270
CSV002289,BRIEF-PULL UP-LARGE,,5,270
CSV002593,KIT-CATHETER-SUCTION 10 FR,,5,270
CSV002970,BRIEF-PULL UP-SMALL,,5,270
CSV003646,GLOVE-SURGEON-SIZE 5 1/2,,5,270
CSV003749,KIT-ABG BLOOD GAS,,5,270
CSV003946,SWABSTICK-CHLORAPREP-APPLICATO,,5,270
CSV004052,GLOVE-SURGICAL-8.5-LtxFree-Est,,5,270
CSV004513,CUP-NO SPILL-PEDIATRIC,,5,270
CSV000195,MASK-PEDIATRIC-MED CONCENTRATE,,5.5,270
CSV000643,NEEDLE-BUTTERFLY-23 X 3/4,,5.5,270
CSV001152,IRRIGATION SYRINGE 2-PIECE,,5.5,270
CSV001965,DRESSING-GAUZE-VASELINE 1x36,,5.5,270
CSV003966,TUBE-LEVIN-12 FRENCH,,5.5,270
CSV003980,CRUSHER-PILL PERSONAL,,5.5,270
CSV004828,BRUSH-HAIR,,5.5,270
CSV004914,KIT-BEDSIDE-ENDOZIME,,5.5,270
PCC4435,NEBUILZER-SMALL VOLUME,,5.65,270
CSV000034,"BANDAGE-ACE 4""",,6,270
CSV000039,"KLING-STERILE-4""",,6,270
CSV000416,GUAIAC HEMOCULT II SLIDES,,6,270
CSV001223,FEEDING TUBE-INFANT-5FR,,6,270
CSV002665,ZIPPER PULL-(OT),,6,270
CSV000169,DRAINAGE-AEROSOL-WITH WYE (RT),,6.5,270
CSV000173,KIT-BLOOD GAS-ART (RT),,6.5,270
CSV000239,DRESSING-CLEARSITE 7.5 X 2,,6.5,270
CSV000261,CURRETTE-EAR-INFANT SCOOP,,6.5,270
CSV000262,CURRETTE-EAR-FLEXLOOP,,6.5,270
CSV000263,CURRETTES-EAR-DISPOSABLE,,6.5,270
CSV001247,URINE STRAINER,,6.5,270
CSV001375,SPLINT-FINGER-W/O FOAM-MED,,6.5,270
CSV001528,SPLINT-FINGER-W/O FOAM-LARGE,,6.5,270
CSV002124,DRESSING-MEDIPORE-5-7/8x5-7/8,,6.5,270
CSV003071,SET-BLOOD COLLECTION-21x3/4x12,,6.5,270
CSV003411,REMOVER-STAPLE-SKIN,,6.5,270
CSV5776,LIQUID NITROGEN (DR.Offices),,6.5,270
CSV000040,"KLING-STERLE-6""",,7,270
CSV000201,NEBULIZER-NEB-U-MIST (complete,,7,270
CSV000844,BABY POWDER,,7,270
CSV000964,LARGE ADULT SLIPPERS COMF TRED,,7,270
CSV001210,TRAY-PREP-SHAVE,,7,270
CSV001477,ENEMA-FLEETS PHOSPHATE,,7,270
CSV001515,ANOSCOPE-SINGLE USE (kleenspec,,7,270
CSV002173,SPLINT-NASAL ALUMAFOAM,,7,270
CSV00273,SPLINT-ALUMAFOAM-NASAL,,7,270
CSV000249,DRESSING-TEGADERM-4 X 4 3/4,,7.5,270
CSV000548,EXTERNAL MALE CATHETER,,7.5,270
CSV000966,SLIPPERS-EXTRA LARGE-2 SIDE,,7.5,270
CSV001575,EAR-SCOOP-INFANT-CURRETTES,,7.5,270
CSV002179,KIT-IV START-MEDLINE,,7.5,270
CSV002770,KIT-IV START (Actasept),,7.5,270
CSV004222,NEEDLE-CATH-AUTOGRD WINGED22x1,,7.5,270
CSV004472,BAG-BAND-30x36 LF COVER C-ARM,,7.63,270
PCC4445,KIT-ENEMA,,7.65,270
CSV004819,MASK-02-MEDw7FOOT TUBE,,7.85,270
CSV000035,"BANDAGE-ACE-6""",,8,270
CSV000174,CANNULA-14 FOOT (RT),,8,270
CSV000495,KIT-IV START,,8,270
CSV000994,SPLINT-FINGER-LARGE WITH FOAM,,8,270
CSV001052,"STERI STRIPS  1/4""",,8,270
CSV001092,SUCTION TIP-YANKAUER,,8,270
CSV001374,SPLINT-FINGER-4 PRONG,,8,270
CSV001445,COVER-MAYO,,8,270
CSV001488,"DRESSING VASELINE- 1 X 36 """,,8,270
CSV001494,TUBE-STOMACH-18 FRENCH,,8,270
CSV002009,"GAUZE-VASELINE 1/2"" X 72""",,8,270
CSV002201,DRESSING-COVERSITE PLUS 4x4,,8,270
CSV003505,NEEDLE-MAGNETIC-COUNTER,,8,270
CSV003797,PEDIALYTE-ELECTROLYTE SOLUTION,,8,270
CSV004628,"TAPE-COTTON-UMBILICAL-1/8x1/8""",,8.28,270
CSV004325,DRESSING-TEGADERM 4x4.75 LF,,8.45,270
CSV004053,DRESSING-POLYSKIN 4x8 TRANSP,,8.5,270
CSV000235,DRESSING-MITRA-COMBIDERM 4X4,,9,270
CSV000965,LARGE ADULT 2-SIDE SLIPPER,,9,270
CSV000967,LARGE NAVY DIAMOND SLIPPERS,,9,270
CSV000968,UNIVERSAL GRAY SLIPPERS,,9,270
CSV001009,SPLINT-FINGER-W/FOAM-MEDIUM,,9,270
CSV001051,"STERI STRIPS 1/2""",,9,270
CSV001217,TRAY-IRRIGATION,,9,270
CSV001478,ENEMA-OIL RETENITON,,9,270
CSV001993,"NEEDLE-SPINAL-20 GA x 3-1/2""",,9,270
CSV001995,"NEEDLE-SPINAL-25ga X 3-1/2""",,9,270
CSV001996,"NEEDLE-SPINAL-22ga X 1-1/2""",,9,270
CSV004632,SUCTION-CANISTER 1200CC NOVA+,,9,270
CSV005302,SUTURE-VICRYL-0-TAPER POINT,,9,270
MED4130,LAMP-HEAT-DAILY CHARGE,,9.2,270
CSV000112,"TUBING-CATHETER 18"" EXT",,9.5,270
CSV000194,MASK-PEDICATRIC-HI CONENTRATE,,9.5,270
CSV000307,FACE SHIELD,,9.5,270
CSV000784,PEN-SKINMARKER/RULER,,9.5,270
CSV001019,"SPLINT-CARDBOARD-ARM-PAD-12""",,9.5,270
CSV001026,"SPONGE-KERLIX-STERILE-4""",,9.5,270
CSV001225,TUBE-STOMACH-#14,,9.5,270
CSV001226,TUBE-STOMACH-#16,,9.5,270
CSV001235,SUCTION TUBING  CONNECTION,,9.5,270
CSV001444,BAG-FLATUS EVAC SACK,,9.5,270
CSV001860,SPONGE-BATH-CONTOURED-BENDABLE,,9.5,270
CSV001905,ICE PACKS-PERSONAL,,9.5,270
CSV001955,DRESSING-ALLDRESS WOUND 4x4,,9.5,270
CSV003216,PEN-SURICAL MARKING,,9.5,270
CSV004224,TRAP-SPECIMENw/oSTIFFINER(SUR),,9.55,270
CSV000189,HUMIDIFIER-DRY DISP 500ML,,10,270
CSV001844,DRESSING-MITRAFLEX 2x2,,10,270
CSV002705,CATHETER-SUCTION-DELEE 6.5,,10,270
CSV004000,SUTURE-2-0 POLYSORB GLS-323,,10,270
CSV004561,MASK-OXYGEN-PEDIATRIC,,10,270
CSV0150,INSTRUMENT-STERILE-EA,,10,270
CSV2324,FILTER-IVEX,,10,270
CSV004357,NEEDLE-SPINAL-18ga X 3.5LF,,10.05,270
MED3050,PUMP-GOMCO-DAILY CHG-MEDICAL,,10.2,270
CSV000221,CURAFOAM 4 X 4,,10.5,270
CSV000506,IV SET  S.A.I.F.,,10.5,270
CSV000635,PAD-NEEDLE-MAGNETIC,,10.5,270
CSV001032,SPONGE-VISTEC-STERILE 8 X 4,,10.5,270
CSV001390,VENTI COMP (RT),,10.5,270
CSV001678,FILTER-TRIMED-IV ADD ON,,10.5,270
