Russellville Hospital,,
Standard Charges,,
,,
SVCCD,LONGDESC,Price
103535,SWING BED SEMIPRIVATE RM,"$1,562.00 "
103540,INFUSION ADDITIONAL HR,$37.00 
103541,ECHO W/SPEC/COLOR FLOW,"$3,046.50 "
103542,ADMIN VACCINE HEP B,$34.50 
103543,ADMIN VACCINE INFLUENZA,$90.50 
103544,ADMIN VAC PNEUMOCOCCAL,$90.50 
103551,OBSERVATION DIRECT ADMIT,$538.50 
103555,INFUSION THERAP\DIAG 1ST,$166.00 
103556,INFUSION THERAP\DIAG ADD,$37.00 
103557,INFUSION SEQUENTIAL,$37.00 
103558,INFUSION CONCURRENT,$37.00 
103559,IV PUSH NEW DRUG,$73.00 
103562,ADDL SEQ IV PUSH,$73.00 
103569,APPLY UNNA BOOT,$415.68 
104131,DOCOSONAL 10% 2G 0.7OZ,$20.00 
104146,TRAUMA ACTIVATION LEVEL IV,"$2,766.44 "
104148,POLYTUSSIN 5ML OL,$3.00 
104240,TREATMENT ROOM,$178.06 
104308,SEMI PRIVATE ROOM ADJUST,$647.00 
104317,OBSERVATION DIRECT ADMIT,$110.00 
104318,IV HYDRATION 1ST HR,$166.00 
104321,IV HYDRATION ADDITIONAL HOUR,$37.00 
104328,INFUSION THERAPY DIAGNOSIS ADDED,$37.00 
104329,INFUSTION SEQUENTIAL,$37.00 
104331,IV PUSH NEW DRUG,$73.00 
104532,MAMOGRAMM SCR DIAG DIGIT BILATERAL,$427.24 
104802,ICU,"$2,603.00 "
104803,ICU ADJUST,"$2,603.00 "
104806,ICU OBS CARE INITIAL HR,$430.00 
104807,ICU OBS CARE HOURLY,$90.00 
104810,IM/SQ INJECTION,$17.50 
104811,INJECTION ADMIN - IV,$73.00 
104821,OBS MED/SURG HOURLY,$55.00 
104822,ADMIN VACCINE INFLUENZA,$141.96 
104825,ADMIN VACCINE PNEUMONIA,$141.96 
104826,ADMIN VACCINE HEPATITIS B,$141.96 
104827,INFUSION FIRST HOUR,$166.00 
104853,INFUSION >8 HOURS PUMP,$940.48 
104854,IV HYDRATION ADDITIONAL HOUR,$37.00 
105293,LEVETIRACET 500MG/5ML OL,$4.50 
105434,ATROPRINE .01MG(5) INJECTION,$41.00 
105520,OBS CARE HOURLY,$90.00 
105543,CLOSED TX KNEE W/O ANES,$226.50 
105599,LEVETIRACET XR 500MG T,$23.00 
105852,OBS CARE HOURLY,$75.00 
105854,OB PRIVATE ROOM,$565.50 
105860,OB SEMI PRIVATE ROOM,$565.50 
105862,OB SEMI PRIV ROOM ADJUST,$565.50 
105881,OB/GYN PRIVATE RM ADJUST,$565.50 
106001,BOARDER BABY,$622.50 
106003,NURSERY ROOM,$622.50 
106004,NURSERY ROOM ADJUST,$622.50 
106005,CIRCUMCISION,$424.50 
106008,NEWBORN HEARING TST COMP,$106.50 
106027,IMMUNIZATION ADMIN,$34.50 
106028,NEWBORN HEARING TEST OAE,$106.50 
107003,OR LEVEL I INITIAL 30,"$2,303.00 "
107006,OR LEVEL I SUBSQ 15 MIN,$742.00 
107007,OR LEVEL II INITIAL 30,"$2,622.50 "
107009,OR LEVEL II SUBSQ 15 MIN,$838.00 
107011,OR LEVEL III INTIAL 30,"$3,076.50 "
107012,OR LEVEL III SUBSQ 15,"$1,029.00 "
107013,OR LEVEL IV INITIAL 30,"$3,383.50 "
107014,OR LEVEL IV SUBSQ 15 MIN,"$1,505.00 "
107032,MINOR PROCEDURE 15 MIN,$424.50 
107183,PERICARDIOCENTESIS SNGL,$795.00 
107401,RECOVERY INITIAL 30 MIN,$592.50 
107402,RECOVERY SUBSQ 15 MIN,$175.50 
107502,AMNIOCENTESIS,"$1,206.00 "
107503,CONTRACTION STRESS TEST,$539.50 
107504,FETAL NON-STRESS TEST,$366.00 
107515,INJECTION IM/SUBQ,$37.00 
107516,INJECTION ADMIN - IV,$73.00 
107517,INJ ADMIN - ANTIBIOTIC,$34.00 
107518,INFUSION FIRST HOUR,$166.00 
107519,LABOR LEVEL II,"$3,558.50 "
107521,LABOR LEVEL I,"$1,462.00 "
107522,DELIVERY,"$3,214.50 "
107523,L&D OUTPT LEVEL I HOURLY,$124.50 
107525,L&D OUTPT LEVEL II HRLY,$168.50 
107526,L&D OUTPT LEVEL III HRLY,$293.00 
107527,L&D OBSERVATION HOURLY,$80.00 
107538,ANESTHESIA REGIONAL,$344.00 
107545,L&D OBSERVATION,$80.00 
107546,OBSERVATION INITIAL HR,$283.00 
107551,INFUSION ADDITIONAL HR,$37.00 
107561,OBSERVATION DIRECT ADMIT,$283.00 
107563,INFUSION THERAP\DIAG 1ST,$166.00 
107565,INFUSION THERAP\DIAG ADD,$37.00 
107566,INFUSION SEQUENTIAL,$37.00 
107568,IV PUSH NEW DRUG,$73.00 
107727,ANTIGEN TYPING RBC,$82.50 
107766,,$12.50 
107811,GADOLINIUM/ML,$17.00 
107814,CARBIDOPA 25MG T,$13.00 
107818,LACOSAMIDE 50MG T,$22.50 
107901,PAIN PROCEDURE INITL 30,"$1,143.00 "
107902,PAIN PROCEDURE SUBSQ 15,$563.00 
107945,HYDROMORPH4MG(125)  50ML PCA,$134.00 
107946,MAMMOGRAM SCR DIAG DIGIT UNI RT,$333.32 
107947,MAMMOGRAM SCR DIAG DIGIT UNI LEFT,$333.32 
109859,VANCOMYCIN 750 MG FTV,$155.50 
109904,ANTIBODY SCREEN REFRENCE,$63.00 
109906,DIRECT COOMBS AHG REFRNC,$39.50 
109907,ABO TYPE REFERENCE,$31.50 
109909,RH TYPE REFERENCE,$31.50 
110126,APAP 325MG T,$0.50 
110129,APAP 320/10ML OL,$1.00 
110130,MOVANTIK 25MG TAB,$36.28 
110133,ACETAM 500/15 240ML OL,$10.50 
110134,ACETAM 500MG T OL,$0.50 
110137,APAP 120MG RS,$0.50 
110139,APAP 325MG RS,$1.00 
110141,ACETAM RS 650 MG RS,$1.00 
110143,APAP COD 3 T,$14.50 
110147,ALLOPUR 100 MG T,$4.50 
110151,ALLOPUR 300 MG T,$5.50 
110156,ASA 325MG T,$0.50 
110157,ASA BABY 81MG T,$0.50 
110158,ASA 325MG ECT,$0.50 
110162,ASA 300MG RS,$7.00 
110168,BENZO 20% SPR,$21.00 
110173,,$23.00 
110174,BUT APAP CAFF T,$12.00 
110178,CARISOP 350MG T,$17.50 
110181,COCAINE TX 4% APP,$117.50 
110184,COLCHICINE 0.6MG T,$5.50 
110187,CYCLOBENZ 10MG T,$17.50 
110188,DANTROLEME 25MG C,$16.00 
110191,DIBUCAINE O 30GM,$29.00 
110192,DIBUC HC CR 30GM,$5.50 
110199,HYDROMORPH 2MG T,$13.00 
110203,PRAMOX HC 15 TS 10G,$390.50 
110204,LIDOCAINE HCL 2% GEL,$34.50 
110206,LIDOCAINE 5% 35GM OI,$69.50 
110208,LIDOCAINE TS 4% 50ML,$90.00 
110209,LIDOCAINE 2% VISC 20ML,$24.50 
110211,MEPERIDINE 50MG T,$16.50 
110219,METHOCAR 500MG T,$17.50 
110224,METHOCAR 750MG T,$17.50 
110227,QUININE 260MG T,$13.00 
110231,MORPHINE 10MG/5ML   L,$11.00 
110239,PENTAX NAL 50/0.5 T,$5.50 
110243,PHENAZOP 100MG T,$12.00 
110247,PROBENECID 500MG T,$5.50 
110254,PROPAR 0.5% 15ML OS,$71.00 
110257,TETRAC 0.5% 2ML OS,$34.00 
110268,LIDOCAINE URO 2% 15ML,$49.00 
110279,ISOFLURANE PER HR,$76.00 
110283,HCOD APAP 7.5\500 T,$12.00 
110288,PONTOCAINE TOPICAL 2% APP,$106.50 
110289,MORPHINE 30MG SRT,$18.00 
110292,CHLORZOX 500MG T,$5.50 
110298,MORPHINE 15MG SRT,$12.00 
110301,KETOC SH 2% 120ML,$36.00 
110302,FENTANYL TD 25MCG\HR,$70.00 
110303,FENTANYL TD 50MCG\HR,$103.00 
110304,FENTANYL TD 75MCG\HR,$132.50 
110306,KETOROL TR 10MG T,$5.50 
110311,LIDOCAINE PRIL 2.5% 5GM,$7.50 
110316,ALPRAZOL 0.25MG T,$21.00 
110317,ALPRAZOL 0.5MG T,$21.00 
110318,AMITRIPT 10MG T,$12.00 
110319,AMITRIPT 25MG,$12.00 
110323,AMITRIPT 50MG T,$12.00 
110327,BENZTROPINE 1MG T,$5.50 
110337,CARB LEVO 10/100 T,$12.00 
110338,CARB LEVO 25\100 T,$5.50 
110339,CARB LEVO 25\250 T,$5.50 
110342,CHLOR HYD 500\5ML OL,$8.50 
110347,LIBRIUM (CHLORDIAZEPOXIDE) 10MG CAPSULE,$14.00 
110349,CHLORDIAZ 25MG C,$21.00 
110351,CHLORDIAZ 5MG C,$14.50 
110356,BACLOFEN 10MG T,$16.00 
110357,CHLORPROMAZINE 100MG T,$5.50 
110358,CHLORPROMAZINE 10MG T,$4.50 
110359,CHLORPROMAZINE 25MG T,$5.50 
110367,CLONAZEPAM 0.5MG T,$5.50 
110368,CLONAZEPAM 1MG T,$5.50 
110371,DESIPRAMINE 25MG T,$12.00 
110373,DIAZEPAM 2MG T,$15.00 
110374,DIAZEPAM 5MG T,$15.00 
110377,DOXEPIN 10MG C,$5.50 
110378,DOXEPIN 25MG C,$5.50 
110379,DOXEPIN 50MG CAP (SINEQUAN),$6.00 
110383,FLUPHENAZINE 5MG T,$8.50 
110386,HALOPERIODOL 0.5MG T,$5.50 
110388,HALOPERIODOL 1MG T,$10.00 
110389,HALOPERIDOL 2MG T,$5.50 
110391,HALOPERIDOL 5MG T,$11.00 
110394,HYDROXYZINE 25MG C,$17.50 
110406,IMIPRAMINE 10MG T,$4.50 
110408,IMIPRAMINE 25MG T,$5.50 
110419,LORAZEPAM 0.5MG T,$16.00 
110422,LORAZEPAM 1MG T,$16.00 
110428,LOXAP SUC 25MG C,$7.50 
110437,METHYLPHEN 5MG T,$7.50 
110442,NORTRIPT 10MG C,$4.50 
110443,NORTRIP 25MG C,$12.00 
110447,OXAZEPAM 15MG C,$7.00 
110457,CARBAMAZ 200MG T,$5.50 
110458,PERPHEN 4MG T,$8.50 
110459,PERPHEN AMITR 2\10 T,$12.00 
110461,PERPHEN AMITR 2\25 T,$12.00 
110463,PERPHEN AMITR 4\25 T,$12.00 
110464,PHENOBARB 100MG T,$12.00 
110468,PHENOBARB 20\5 5ML,$12.00 
110469,PHENOBARB 30MG T,$12.00 
110471,PHENYTOIN 100MG C,$4.50 
110472,PHENYTOIN 125\5 5ML,$4.50 
110473,PHENYTOIN 50MG T,$4.50 
110474,PRIMIDONE 250MG T,$11.00 
110477,PRIMIDONE 50MG T,$10.00 
110482,TEMAZEPAM 15MG C,$12.00 
110483,THIORIDAZ 10MG T,$4.50 
110486,THIORIDAZ 25MG T,$4.50 
110493,THIOTHIXENE 5MG C,$2.00 
110494,TRAZODONE 50MG T,$4.50 
110498,TRIFLUOPER 5MG T,$4.50 
110508,DIVALPROEX 250 ECT,$12.00 
110513,BUPROPION 75MG T,$5.50 
110516,BUSPIRONE 5MG T,$4.50 
110517,FLUOXETINE 20MG C,$15.00 
110518,FLUOXETINE 10MG C,$5.50 
110523,,$5.50 
110526,SELEGILINE 5MG T,$9.00 
110533,DIVALPR 125MG ECT,$4.00 
110539,SERTRALINE 50MG T,$5.50 
110541,LITH CARB 450 SRT,$4.50 
110543,LITH CARB 150MG C,$4.50 
110544,PAROXETINE 20MG T,$14.50 
110548,TEMAZEPAM 7.5MG C,$26.50 
110549,ZOLPIDEM TAR 5MG T,$12.00 
110553,RISPERIDONE 1MG T,$10.00 
110554,VENLAFAX 37.5MG T,$7.50 
110557,GABAPENTIN 100MG C,$7.50 
110561,GABAPENTIN 400MG C,$7.50 
110563,GABAPENTIN 300MG C,$17.50 
110564,NEFAZOD 100MG T,$7.50 
110567,,$4.50 
110574,ACETYL 20% 30ML,$74.50 
110582,ALBUTEROL 4MG T,$4.50 
110584,AMILOR HCTZ 5/50 T,$5.50 
110588,ATENOLOL 25MG T,$9.50 
110593,BUMETANIDE 1MG T,$4.50 
110596,CAPTOPRIL 25MG T,$12.00 
110597,CAPTOPRIL 50MG T,$12.00 
110599,ISTRADIPINE 5MG C,$4.50 
110602,INDAPAMIDE 2.5MG T,$4.50 
110606,,$17.50 
110607,RAMIPRIL 2.5MG C,$4.50 
110608,RAMIPRIL 5MG C,$4.50 
110617,NTG SL 0.4MG 25'S,$3.00 
110622,AMMONIA AR EA INH,$14.50 
110626,CHLORTHALIDONE 25MG T,$4.50 
110628,CLONIDINE 0.1MG T,$5.50 
110637,BENAZEPRIL 10MG T,$5.50 
110642,FOSINOPRIL 10MG T,$12.00 
110646,DIGOXIN 0.125MG T,$4.50 
110647,DIGOXIN 0.25MG T,$4.50 
110652,DIGOXIN 0.25\5 5ML,$14.00 
110654,DILTIAZEM 30MG T,$5.50 
110656,DILTIAZEM 60MG T,$5.50 
110657,FELODIPINE 5MG 5,$5.50 
110662,DIPYRIDAM 25MG T,$5.50 
110668,DYPHYLL 160\15 15ML,$8.50 
110669,QUINAPRIL 10MG T,$5.50 
110673,DYPHYL GG 200 MG T,$4.50 
110679,FUROSEMIDE 40MG/5ML,$20.00 
110682,FUROSEMIDE 20MG T LA,$4.50 
110684,FUROSEMIDE 40MG T LA,$4.50 
110686,ISMN 20MG SRT,$12.00 
110687,PROMETH 6.25MG\5ML,$7.50 
110689,HYDRALAZ 10MG T,$4.50 
110691,HYDRALAZ 25MG T,$4.50 
110704,SOTALOL HCL 80MG T,$7.50 
110711,ISDN 10MG T,$12.00 
110713,ISDN 20MG T,$12.00 
110723,LORATADINE 10/10 10ML,$8.50 
110726,,$3.00 
110744,ISDN 60MG SRT,$12.00 
110746,METHYLDOP 250MG T,$7.50 
110749,,$10.00 
110751,ZAROXOLYN 5MG T,$4.50 
110753,METOPROL 100MG T,$5.50 
110754,METOPROL 50MG T,$5.50 
110756,MINOXIDIL 10MG T,$12.00 
110757,MINOXIDIL 2.5MG T,$10.50 
110758,NADOLOL 40MG T,$7.00 
110759,NIFEDIPINE 10MG C,$7.50 
110761,NTG 0.4MG\HR TDP,$11.00 
110767,NTG 0.2MG\HR TDP,$11.00 
110769,NTG 2% 1GM OI,$17.50 
110777,,$11.50 
110778,PAPAV 150MG TRC,$3.00 
110779,THEOPH 200MG SRT,$5.50 
110781,FLUTIC PROP INH 16GM,$55.00 
110783,,$0.50 
110784,GUAIFENESIN 4OZ BTL,$4.00 
110786,GUAIFENESIN AC 5ML OL,$5.50 
110787,,$4.00 
110792,PINDOLOL 5MG T,$4.50 
110797,PRAZOSIN 1MG C,$4.50 
110803,SIMVASTATIN 10MG T,$14.50 
110808,THEOPH 300MG SRT,$5.50 
110816,PROPRAN 10MG T,$7.50 
110817,PROPRAN 20MG T,$7.50 
110819,PROPRAN 80MG T,$4.50 
110822,PROPRAN 80MG SRC,$5.50 
110827,PSEUDOFED 30MG T,$0.50 
110831,TUSSIONEX 5ML,$20.00 
110837,QUINIDINE 324 SRT,$3.00 
110849,SPIRONOLAC 25MG T,$4.50 
110852,TERBUTALINE 2.5MG T,$4.50 
110861,THEOPH 80MG\15ML 15MG,$5.50 
110867,TRIPR PSE 2.5\60 T,$21.00 
110868,,$5.50 
110871,VERAP 80MG T,$4.50 
110873,THEOPH 400MG SRT,$7.50 
110882,AMANTAD 100MG C,$5.50 
110891,AMOX 250/5 5 ML,$4.50 
110892,AMOX 250MG C,$4.50 
110893,AMOX 500MG C,$4.50 
110899,AMPICIL 125/5 5ML,$3.00 
110902,AMPICIL 250/5 5ML,$3.50 
110904,AMPICIL 250MG C,$3.00 
110909,BACITRAC OINT 15GM,$3.50 
110916,BAC POLY OINT 15G,$8.50 
110921,CEFACLOR 125\5 75ML,$11.00 
110933,CIPROFLOX OS 0.3% 5ML,$59.00 
110937,CEPHALEX 250MG C,$3.50 
110939,CEPHALEX 500M C,$31.00 
110949,CLINDAMY 150MG C,$14.50 
110952,CLOTRIM CR 1% 15G,$7.00 
110969,DOXYCYCLINE 100MG C,$10.00 
110976,ERYTHR BASE 250MG T,$7.50 
110996,GENTAMIC 15GM CR,$11.00 
110997,GENTAMIC 15GM OI,$29.00 
110998,GENTAMIC OO 3.5GM,$45.00 
110999,ACYCLOVIR 800MG T,$10.00 
111006,HEXACHLOR 3% 150ML,$25.50 
111016,CLARITHRO 500MG T,$12.00 
111017,ISONIAZID 300MG T,$12.50 
111027,METHEN MANDELATE 1GM T,$7.00 
111028,METH MAND 0.5GM T,$4.50 
111031,URISED T,$7.00 
111032,METRONID 250MG T,$17.50 
111033,MICONAZO CR 15GM,$4.50 
111034,MICONAZO V CR 45GM,$15.00 
111038,MICONAZO V SUP 100,$11.50 
111042,CEFPROZIL 125\5ML 50ML,$12.00 
111043,NEOMYCIN 500MG T,$7.50 
111044,AZITHROMY 250MG C,$15.00 
111047,,$5.50 
111051,NEO PMX GM 1ML OS,$23.00 
111054,NYSTAT TRIAM 15GM CR,$25.50 
111057,NEO PMX GU 1ML,$73.00 
111064,NITROFUR 100MG C,$10.00 
111066,NITROFUR 50MG C,$12.00 
111072,NYSTATIN 5ML,$17.50 
111074,NYSTATIN 15GM CR,$25.50 
111076,NYSTATIN 15GM PWD,$12.00 
111079,ITRACON 100MG C,$35.50 
111083,PEN VK 250\5 100ML,$10.50 
111087,TOBRAMY OO 3.5GM,$107.50 
111088,NEO BAC P HC 3.5 OO,$193.50 
111091,NEO PMX HC OS 7.5ML,$193.50 
111094,POVIDO IOD 10% 30GM,$20.00 
111099,POVIDO IOD SWAB,$1.00 
111103,KETOROL 0.5% OS,$56.00 
111108,RIFAMPIN 300MG C,$21.00 
111113,SILVER SD 400GM CR,$203.00 
111119,SULFAC OS 10% 15ML,$29.00 
111121,RIMANTADINE 100MG T,$11.00 
111126,SULFASALA 500MG T,$5.50 
111134,TOBRAMY .3% 5ML OS,$97.50 
111142,TRIMETHOPR 100MG T,$3.50 
111143,SMX\TMP 400\80 T,$4.50 
111146,SMX\TMP 800\160 T,$9.00 
111147,AMPICILLIN 500MG C,$3.00 
111149,NEO PMX DEX OS 15ML,$53.50 
111164,"AMOX, KCLAV 250 T",$11.00 
111166,"AMOX, KCLAV 500T",$14.50 
111167,CLOTRIM BETA CR 15G,$50.00 
111168,"AMOX, KCLAV 200/5 50M",$10.50 
111172,MICONAZ 200MG VSUP,$11.50 
111174,ACYCLOVIR 200MG C,$10.00 
111177,SULFAC PRED OO 3.5GM,$53.50 
111178,KETOCON CR 2% 15GM,$21.50 
111183,CLARITHRO 250MG T,$8.50 
111189,FAMCICLOVIR 500MG T,$10.50 
111191,CIPROFLOX 250 MG T,$21.00 
111192,CIPROFLOX 500MG T,$21.00 
111196,CEFUROX AX 250T,$21.00 
111197,MUPIRO 2% 15GM OI,$53.50 
111226,ANUSOL HC CR 30GM,$34.00 
111227,ANUSOL HC RS,$11.00 
111228,ANUSOL OINT 30GM,$12.50 
111229,ANUSOL RS,$0.50 
111234,BISACODYL 5MG T,$0.50 
111236,BISACODYL 10MG RS,$1.50 
111238,BISMUTH SUBS 30ML,$0.50 
111249,PREPARATION H OI,$8.50 
111252,CHLORD CLID C,$12.00 
111257,CIMETIDINE 300MG T,$4.50 
111258,CIMETID 300MG\5ML 5ML OL,$12.00 
111259,DICYCLOMINE 10 MG C,$5.50 
111262,DICYCLOM 10\5 5ML,$20.00 
111267,PREPARATION H RS,$1.00 
111268,DIPHEN STR 2.5\0.025,$5.50 
111269,DIPHEN STR 5ML LIQ,$5.50 
111273,DOCUSATE 100MG C,$1.50 
111274,DOCUS CA 240MG C,$0.50 
111281,PETROLAT 30GM OI,$2.00 
111282,GLYCERIN RS ADULT,$0.50 
111283,GLYCERIN RS CHILD,$0.50 
111287,GO-LYTELY 4000ML,$25.50 
111289,HYOSCY 0.125MG SLT,$4.50 
111291,HYOSCY 0.375MG SRC,$4.50 
111293,ANASPAZ 0.125MG,$10.50 
111294,HYOSCY GTTS 15ML,$66.00 
111296,IPECAC 30ML,$4.50 
111299,KAOLIN PECTIN 30ML K,$0.50 
111304,LACTOB BULK PKT,$8.50 
111307,LACTULOSE 30ML OL,$14.00 
111308,LOPERAMIDE 2MG C,$1.00 
111309,MAG CITRATE 300ML,$4.50 
111313,MAG OXIDE 400MG T,$0.50 
111317,MECLIZINE 12.5MG T,$4.50 
111318,MECLIZINE 25MG T,$11.50 
111319,METOCLOPR 10MG T,$12.00 
111321,MILK OF MAG 30ML OL,$0.50 
111326,MINERAL OIL 30ML,$4.50 
111327,MINERAL OIL ST 10ML,$53.50 
111329,OXYBUTYNIN 5MG T,$12.00 
111334,PAREGORIC 5ML,$5.50 
111338,PROCHLORP 10MG T,$12.00 
111347,PROMETH RS 12.5MG,$21.00 
111348,PROMETH 25MG RS,$21.00 
111357,SIMETHICONE 80MG T,$0.50 
111358,SIMETH 40\0.6 30ML,$9.50 
111359,SOD BICARB 650MG T,$5.50 
111362,PROCHLORP RS 25MG,$21.00 
111363,SOD PHOS ENEMA AD,$2.00 
111364,SUCRALFATE 1GM T,$17.50 
111379,PHOSPHOSODA 30ML,$11.00 
111396,"MAG,ALD, SIM 30ML OL",$1.00 
111406,METOCLOPR 10MG\10ML OL,$4.50 
111407,CHARC\SORB 50GM,$71.00 
111409,METHYLCEL PKT EA,$3.00 
111414,FAMOTIDINE 20MG T,$12.00 
111421,OMEPRAZOL 20MG C,$3.50 
111429,SUCRAL 1GM\10ML OL,$17.50 
111432,HYDROXYUR 500MG C,$10.00 
111438,MTX 2.5MG T,$11.00 
111441,TAMOXIFEN 10MG T,$7.50 
111447,AZATHIOPRIN 50MG T,$12.00 
111452,FLUOROURACIL CR 5%,$545.50 
111463,PILOCAR OS 4% GEL 4ML,$109.00 
111464,BETAXO OS 0.5% 5ML,$147.50 
111471,LEVOBUNO OS 0.5% 5ML,$61.50 
111477,MOISTUREL LOT 8OZ,$20.00 
111481,CAPSAICIN 0.025% CR 45G,$24.50 
111488,ROWASA 4GM\60ML EN,$64.50 
111489,URSODIOL 300MG C,$16.00 
111496,PERMETH 5% 60GM CR,$168.50 
111506,MESALAMINE 400MG T,$7.00 
111516,BETAM DIP LOT 60ML,$58.50 
111518,BETAM VAL 0.1% CR 15,$44.00 
111531,DESONIDE CR 0.05% 15GM,$20.50 
111534,DESOXIMET 0.25% CR 15GM,$41.00 
111539,DEXAMETH .75MG T,$4.50 
111541,,$4.50 
111542,DEXAMETH 1MG (20) J,$2.25 
111543,DECADRON PF 10MG/ML VIAL,$95.00 
111552,FLUDROCOR 0.1MG T,$5.50 
111554,FLUOCIN 0.025 CR\O 15 GM,$28.00 
111558,FLUOCIN 0.05 CR 15GM,$34.00 
111577,IBUPROFEN 400MG T,$7.00 
111578,IBUPROFEN 600MG T,$1.50 
111579,INDOMETH 25MG C,$17.50 
111588,METHYLPRED 4MG T,$12.00 
111589,NAPROXEN 250MG T,$12.00 
111594,NAPROXEN 500NG T,$12.00 
111601,PREDNISOL 1% 5ML OS,$9.50 
111609,PREDNISONE5MG(2) T,$2.00 
111611,PREDNISONE 5MG(4) T,$3.00 
111614,PREDNISONE 5MG T,$3.00 
111619,SULINDAC 150MG T,$5.50 
111621,SULINDAC 200MG T,$7.50 
111624,TRIAMCIN 0.5 15 CR\O,$20.00 
111626,TRIAMCIN 0.025 15 CR,$20.00 
111629,TRIAMCIN DENTAL 5GM,$202.00 
111633,IBUPROFEN 200MG T,$0.50 
111636,AURANOFIN 3MG CAP,$11.50 
111637,IBUPROFEN 800MG T,$11.50 
111641,CLOBET 0.05% 45GM OI,$59.50 
111642,KETOPROFEN 50MG C,$10.00 
111644,PREDNISONE 5MG(2) OL,$5.50 
111646,FLURBIPR 0.3% OS 2.5ML,$18.50 
111649,PREDNISOL 5MG(3) OL,$11.00 
111656,DICLOFEN SOD 50MG T,$12.00 
111657,DICLOFEN SOD 75MG T,$12.00 
111663,IBUPROFEN 20ML 5ML OL,$1.00 
111668,NABUMETONE 500MG T,$14.50 
111677,OXAPROZIN 600MG T,$5.50 
111681,ASC AC 500MG T,$0.50 
111683,GLYBURIDE 3MG T,$5.50 
111689,FINASTERIDE 5MG T,$10.00 
111702,MIACALCIN NS,$202.00 
111704,CALCITRIOL 0.25MCG C,$11.50 
111713,PERATIVE 240ML,$5.50 
111718,GLIPIZIDE XL 5MG SRT,$7.00 
111721,ENSURE 240ML,$2.00 
111724,ESTRADIOL 1MG T,$5.50 
111726,ESTR CONJ 0.3MG T,$12.00 
111727,ESTR CONJ 0.62MG T,$12.00 
111728,ESTR CONJ 1.25MG T,$12.00 
111737,ESTR EST MTT 1.25\2.,$10.00 
