Hospital Name: Glendale Memorial Hospital and Health Center,,,,,,,,
OSHPD Facility No: 106190522,,,,,,,,
"Effective Date of Charges: May 1, 2018",,,,,,,,
CDM ,BILL DESCRIPTION,PRICE,0 Price Indicator,REV_CODE,AU,,,
0100020,ARTIFICIAL INSEMINATION,788,,361,707500,,,
0100021,REMOVE UTERINE DEVICE INT,347,,361,707500,,,
0100022,INSERT CERVICAL DILATOR,355,,361,707500,,,
0100023,CONIZ CERVIX LEEP,3690,,361,707500,,,
0100024,MC POSTPARTUM FU VISIT,452,,514,707500,,,
0100025,MARSUP BARTH GLAND CYST,4503,,361,707500,,,
0100026,REMOVAL OF CONTRACEPTIVE CAP,1225,,361,707500,,,
0100027,ANES PARACERVICAL NRV INJ,845,,361,707500,,,
0100028,INS INTRAVAG SUPRT DEVICE,261,,361,707500,,,
0100029,HYSTEROSCOPY BIOPSY,5027,,361,707500,,,
0100030,BREAST CYST PUNC ASPIRATE,779,,361,707500,,,
0100031,BREAST CYST ASP EA ADDL,390,,361,707500,,,
0100032,MC ANTEPARTUM FU VISIT,452,,514,707500,,,
0100033,REMOVE SKIN TAGS <=15,326,,361,707500,,,
0100034,SPERM WASHING,788,,361,707500,,,
0100035,DILATION OF URETHRA,242,,361,707500,,,
0100036,COMP PREV REEVL 12-17 EST,110,,510,707500,,,
0100037,COMP PREV REEVL 18-39 EST,110,,510,707500,,,
0100038,COMP PREV REEVL 40-64 EST,110,,510,707500,,,
0100039,COMP PREV REEVAL >64 EST,110,,510,707500,,,
0100040,MC ANTEPARTUM 10TH VISIT,477,,514,707500,,,
0100041,PELVIC/BREAST SCREEN EXAM,105,,510,707500,,,
0100042,BIOPSY VULVA/PERI ADD LES,362,,361,707500,,,
0100043,BX VAGINAL MUCOSA EXTENS,2848,,361,707500,,,
0100044,BIOPSY ENDOMETRIAL WO DIL,452,,361,707500,,,
0100045,OFFICE CONSULT LVL 1,61,,510,707500,,,
0100046,OFFICE CONSULT LVL 2,94,,510,707500,,,
0100047,OFFICE CONSULT LVL 3,120,,510,707500,,,
0100048,OFFICE CONSULT LVL 4,163,,510,707500,,,
0100049,COMP PREV EVL12-17 INI NW,132,,510,707500,,,
0100050,COMP PREV EVL18-39 INI NW,132,,510,707500,,,
0100051,COMP PREV EVL40-64 INI NW,132,,510,707500,,,
0100052,COMP PREV EVL >64 INI NEW,132,,510,707500,,,
0100053,RHO(D) IMMUNE GLOB 300MCG,280,,636,707500,,,
0100054,INJ TX/DX/PROPH SUBQ/IM,417,,510,707500,,,
0100057,MC COMPHREHENS CARE PLAN,668,,510,707500,,,
0100058,MC EWC TAR CASE MGMT EA15,251,,510,707500,,,
0100065,MC INIT NUTR ASSESS 1ST30,84,,514,707500,,,
0100067,I&D ABSCESS SIMPLE,496,,361,707500,,,
0100068,DRN ABSC/CYST SKENE GLAND,3512.92,,514,707500,,,
0100070,PNEUMOCOC VACC 23 VALENT,111,,636,707500,,,
0100073,MC NUTR ASSMT INIT ADD 15,39,,514,707500,,,
0100081,MC ANTEPART F/U NUTR 15,41,,514,707500,,,
0100082,INST/SUPP STERL 195X-254,1184,,272,740000,,,
0100099,MC ANTEPA F/U NUTR GRP 15,8,,514,707500,,,
0100107,MC POSTPART NUTRIT INDIV,41,,514,707500,,,
0100108,PF VISIT POSTOP PSTPRT FU,110,,510,707500,,,
0100109,US PREG NUCAL TRANSLU 1ST,177,,402,707500,,,
0100110,US PREG NUCAL TRANSL ADD,116,,402,707500,,,
0100111,COLPOSCOPY VAGINA W BX,1594,,361,707500,,,
0100115,PRENATAL VIT/MINERAL,78,,637,707500,,,
0100123,MC INI PSY ASSESS 1ST 30,84,,510,707500,,,
0100131,MC PSYCH INIT EA ADD 15MN,39,,514,707500,,,
0100132,US PELVIS NON OB COMP,1945,,402,707500,,,
0100149,MC PSYCH F/U ASSESS EA15,41,,514,707500,,,
0100156,MC PSYCH F/U GRP EA 15MN,6,,514,707500,,,
0100164,MC PSYCH POSTPT EA 15 MIN,41,,514,707500,,,
0100165,INS NONBIO DRUG DELIV IMP,100,,361,707500,,,
0100172,MC HLTH ED ORIENT EA 15,41,,514,707500,,,
0100180,MC HLTH ED INIT 1ST 30MIN,84,,514,707500,,,
0100198,MC HLTH ED INIT EA ADD15M,80,,514,707500,,,
0100206,MC HLTH ED F/U INDIV EA15,39,,514,707500,,,
0100214,HEALTH ED F/U GROUP EA 15,8,,514,707500,,,
0100222,MC PERINATAL ED IND EA15,41,,510,707500,,,
0100230,MC PERINATAL ED GRP EA15,8,,514,707500,,,
0100248,MC POSTPART HEALTHED EA15,39,,510,707500,,,
0100255,FETAL NON STRESS TEST,398,,510,707500,,,
0100263,CONTRACTION STRESS TEST,310,,514,747410,,,
0100271,US FETAL BIOPH PROF W NST,1208,,402,707500,,,
0100289,SMEAR WET MOUNT INFEC POC,79,,306,707500,,,
0100297,SKIN TEST TB INTRADRM POC,30,,302,707500,,,
0100298,COLPOSCOPY CERVIX W BX,561,,361,707500,,,
0100299,COLPOSCOPY CERVIX W CURET,520,,361,707500,,,
0100300,BX ENDOM COLPOSCPY ADD ON,208,,361,707500,,,
0100301,ADMIN OTHER IMMUN VAC ONE,119,,771,707500,,,
0100302,ASP ABSC/HEMA/CYST/BULLA,219,,361,707500,,,
0100396,INIT. FAM. PLANNING METHO,31,,514,707500,,,
0100552,DEPO-PROVERA 50MG,69,,636,707500,,,
0100560,VISIT LEVEL 1 NEW W PROC,175,,510,707500,,,
0100578,VISIT LEVEL 2 NEW PT,240,,510,707500,,,
0100586,VISIT LEVEL 3 NEW PT,305,,510,707500,,,
0100594,VISIT LEVEL 4 NEW PT,440,,510,707500,,,
0100602,VISIT LEVEL 1 EST PT,125,,510,707500,,,
0100610,VISIT LEVEL 2 EST PT,171,,510,707500,,,
0100628,VISIT LEVEL 3 EST PT,217,,510,707500,,,
0100636,VISIT LEVEL 4 EST PT,315,,510,707500,,,
0100644,FAMILY PLANNING GROUP EDU,9,,514,707500,,,
0100651,EDUC PATIENT NONPHYS/SESS,49,,942,707500,,,
0100669,PREVENTVE COUNSELING 15MN,66,,510,707500,,,
0100677,FAMILY PLANNING COUNSELIN,106,,514,707500,,,
0100685,FAMILY PLANNING COUNSELIN,150,,514,707500,,,
0100693,VENIPUNCTURE NON LAB,33,,300,707500,,,
0100701,VENIPUNCTURE NON LAB,31,,300,707500,,,
0100719,PREG URINE VISUAL POC,84,,307,707500,,,
0100727,INSERT UTERINE DEVICE INT,209,,361,707500,,,
0100735,DESTR VULVA LES SIMPLE,4814,,361,707500,,,
0100743,DIAPHRAGM/CERVIC CAP FIT,47,,510,707500,,,
0100744,US PREG TRANSVAGINAL,887,,402,707500,,,
0100745,OBTAIN SCRN PAP SMEAR POC,23,,311,707500,,,
0100746,OCC BLD FEC QL 3 SPEC POC,10,,301,707500,,,
0100750,REMOVE UTERINE DEVICE INT,49,,514,707500,,,
0100768,SMEAR WET MOUNT,28,,306,747410,,,
0100776,COPPER T 380A 313.4MG IUD,2143,,636,707500,,,
0100784,INSERT UTERINE DEVICE INT,253,,361,707500,,,
0100792,REMOVE UTERINE DEVICE INT,347,,361,707500,,,
0100793,EXC BEN LES T/A/L 1.1-2CM,740,,361,707500,,,
0100794,COURTESY PROFESSIONAL,,1,99,707500,,,
0100818,MEDROXYPROG 150MG/ML 1ML,104,,636,707500,,,
0100826,TREATMENT ROOM,185,,232,638000,,,
0100834,HRI NUTRITION EVLUATION 3,81,,510,707550,,,
0100842,EVAL/INT SOC WK1/2HR HRIF,100,,510,707550,,,
0100859,ALLIED TEL CNSLT15MN HRIF,26,,510,707550,,,
0100867,VISIT LEVEL 2 EST PT,171,,510,707550,,,
0100875,VISIT LEVEL 1 NEW PT,175,,510,707550,,,
0100876,SPECIAL SERVICE/PROC/REPT,430,,940,707500,,,
0100883,VISIT LEVEL 2 NEW PT,240,,510,707550,,,
0100891,HRI CLINIC COORDINATOR,160,,510,707550,,,
0100917,SYNAGIS 100MG,7500,,636,707550,,,
0100925,SYNAGIS 50MG,7500,,636,707550,,,
0100926,AMNIOINFUS TRANSAB WWO US,365,,361,740000,,,
0100927,AMNIOCENTESIS,796,,361,740000,,,
0100928,CERCLAGE PLACEMENT,4550,,720,740000,,,
0100929,CERCLAGE REMOVAL,4550,,720,740000,,,
0100930,LABOR ROUTINE PER HR,3593,,721,740000,,,
0100931,LABOR HIGH RISK PER HR,4671,,721,740000,,,
0100932,DELIVERY VAGINAL ROUTINE,5479,,722,740000,,,
0100933,DELIVERY ROOM,4981,,720,740000,,,
0100934,DELIVERY VAGINAL HIGH RSK,7123,,722,740000,,,
0100935,DELIVERY C-SECT L&D NC,,1,99,740000,,,
0100936,DELIVERY C-SECT IN OR NC,,1,99,740000,,,
0100937,OB VISIT/FETAL MONITR NEW,175,,720,740000,,,
0100938,OB VISIT/FETAL MONITR EST,125,,720,740000,,,
0100939,EXTERNAL VERSION,4550,,720,740000,,,
0100940,DELIVERY OF PLACENTA,4550,,720,740000,,,
0100941,LABOR ROOM,3266,,720,740000,,,
0100942,CIRCUMCISION,5170,,723,740000,,,
0100943,DELIVERY VAG EA ADD BABY,7123,,722,740000,,,
0100944,OUTPATIENT PROCEDURE NC,,1,99,740000,,,
0100945,C-SECT L&D CT EA ADD BABY,,1,99,740000,,,
0100946,FETAL DEMISE <23WK NEW PT,440,,720,740000,,,
0100947,FETAL DEMISE <23WK EST PT,315,,720,740000,,,
0100948,FETAL DEM <23 NEW W PROC,440,,720,740000,,,
0100949,FETAL DEM <23 EST W PROC,315,,720,740000,,,
0100950,PACU STANDARD 1ST 30MIN,727,,710,740000,,,
0100951,PACU STANDARD ADDL 15MIN,255,,710,740000,,,
0100952,INSERT CATH BLADDER,514,,361,740000,,,
0100953,LR SMPL TRNK/NECK 2.6-7.5,986,,361,740000,,,
0100954,CURETTAGE POSTPARTUM,4766,,361,740000,,,
0100955,INPATIENT SURG L&D OR NC,,1,99,740000,,,
0100956,FETAL NS TEST ADDL FETUS,398,,720,740000,,,
0100957,FETAL DEMISE >=23 WEEKS,5479,,722,740000,,,
0100958,DELIVERY SERVICE - EXCE,383,,720,740000,,,
0100959,LOCAL ANESTHESIA,601,,370,740000,,,
0100960,ANESTH MAC/REG 1ST 30MIN,393,,370,740000,,,
0100961,ANESTH MAC/REG ADDL 15MIN,139,,370,740000,,,
0100962,SURGERY LEVEL 1 1ST 30MIN,3710,,360,740000,,,
0100963,SURGERY LEVEL 1 ADD 15MIN,1300,,360,740000,,,
0100964,SURGERY LEVEL 2 1ST 30MIN,4825,,360,740000,,,
0100965,SURGERY LEVEL 2 ADD 15MIN,1690,,360,740000,,,
0100966,SALINE INJECTION,1340,,720,740000,,,
0100967,SURGERY LEVEL 3 1ST 30MIN,6275,,360,740000,,,
0100968,SURGERY LEVEL 3 ADD 15MIN,2197,,360,740000,,,
0100969,SURGERY LEVEL 4 1ST 30MIN,8157,,360,740000,,,
0100970,SURGERY LEVEL 4 ADD 15MIN,2856,,360,740000,,,
0100971,SURGERY LEVEL 5 1ST 30MIN,10605,,360,740000,,,
0100972,SURGERY LEVEL 5 ADD 15MIN,3710,,360,740000,,,
0100974,POSTANESTHESIA-15 MINUTES,184,,710,740000,,,
0100982,ANESTHESIA GASES,21,,370,740000,,,
0100990,FETAL NON STRESS TEST,398,,720,740000,,,
0101014,FETAL CONTRAC STRESS TEST,434,,720,740000,,,
0101022,M/S/G OBSERV ON OB PER HR,161,,762,740000,,,
0101030,MATERNITY PLAN-ADMINIST,246,,720,740000,,,
0101048,ULTRASOUND-PREGNANCY EXTE,1317,,402,740000,,,
0101063,C SECTION - OB MAJOR,117,,360,740000,,,
0101071,US PREG 1 OR >FETUSES LTD,789,,402,740000,,,
0101089,TRANSFUS BLD/BLD COMP,959,,391,740000,,,
0101097,CASEMANAGEMENT/PCP ONLY,90,,510,707500,,,
0101098,KIT PESSARY SIL DISP,277,,278,707500,,,
0101105,TREATMENT ROOM,90,,510,707500,,,
0101106,EPIDURAL PLACE VAG DELIV,1662,,361,740000,,,
0101113,EVAL REPRT CMPLX/CMP HRIF,100,,510,707550,,,
0101121,OT SCREENING DEVLOPMENTAL,834,,430,779000,,,
0101147,LEVONOR (MIRENA) 52MG IUD,476,,636,707500,,,
0101154,VISIT LEVEL 4 EST PT,315,,510,707500,,,
0101162,VISIT LEVEL 3 NEW PT,305,,510,707500,,,
0101170,VISIT LEVEL 4 NEW PT,440,,510,707500,,,
0101188,BLOOD SPLIT UNIT,460,,390,754000,,,
0101196,BLOOD SPLIT UNIT,460,,390,754000,,,
0101204,COLPOSCOPY CERVIX,343,,361,707500,,,
0101212,COLPOSCPY CERVX BX CURET,504,,361,707500,,,
0101220,CAUTERY CERVIX CRYO,431,,361,707500,,,
0101238,DESTR VAG LES SIMPLE,4766,,514,707500,,,
0101246,BIOPSY CERVIX,1151,,361,707500,,,
0101253,COLPOSCOPY CERVIX,204,,361,707500,,,
0101261,COLPOSCPY CERVX BX CURET,370,,361,707500,,,
0101295,BIOPSY CERVIX,794,,361,707500,,,
0101303,UA NONAUTO W/MICRO,30,,307,747410,,,
0101311,SMEAR BDY FLD PRIM POC,93,,306,707500,,,
0101329,PH BODY FLUID NOT BLD,33,,301,747410,,,
0101337,NURSE ASSESSMNT EA30 HRIF,100,,510,707550,,,
0101345,VISIT LEVEL 1 EST PT,125,,510,707550,,,
0101352,EVAL REPRT CMPLX/CMP HRIF,474,,761,777040,,,
0101353,VISIT LEVEL 1 NEW PT,175,,510,707500,,,
0101354,VISIT LEVEL 1 NEW W PROC,175,,510,707500,,,
0101355,VISIT LEVEL 2 NEW PT,240,,510,707500,,,
0101356,VISIT LEVEL 2 NEW W PROC,240,,510,707500,,,
0101357,VISIT LEVEL 3 NEW PT,305,,510,707500,,,
0101358,VISIT LEVEL 3 NEW W PROC,305,,510,707500,,,
0101359,VISIT LEVEL 4 NEW PT,440,,510,707500,,,
0101360,VISIT LEVEL 4 NEW W PROC,440,,510,707500,,,
0101361,VISIT LEVEL 5 NEW PT,810,,510,707500,,,
0101362,VISIT LEVEL 5 NEW W PROC,810,,510,707500,,,
0101363,VISIT LEVEL 1 EST PT,125,,510,707500,,,
0101364,VISIT LEVEL 1 EST W PROC,125,,510,707500,,,
0101365,VISIT LEVEL 2 EST PT,171,,510,707500,,,
0101366,VISIT LEVEL 2 EST W PROC,171,,510,707500,,,
0101367,VISIT LEVEL 3 EST PT,217,,510,707500,,,
0101368,VISIT LEVEL 3 EST W PROC,217,,510,707500,,,
0101369,VISIT LEVEL 4 EST PT,315,,510,707500,,,
0101370,VISIT LEVEL 4 EST W PROC,315,,510,707500,,,
0101371,VISIT LEVEL 5 EST PT,578,,510,707500,,,
0101372,VISIT LEVEL 5 EST W PROC,578,,510,707500,,,
0101373,US PELVIS NON OB LTD F/U,1303,,402,707500,,,
0101374,US PREG=>14WK SNG 1ST GES,1008,,402,707500,,,
0101375,US PREG=>14WKS EA ADD GES,670,,402,707500,,,
0101376,US PREG 1 OR >FETUSES LTD,789,,402,707500,,,
0101377,US PREG FOLLOWUP/EA GST59,1020,,402,707500,,,
0101378,AMNIOCENTESIS,796,,361,707500,,,
0101379,ANOSCOPY DIAG,380,,361,707500,,,
0101380,BX BRST NDL CORE WO GUIDE,998,,361,707500,,,
0101381,BIOPSY CERVIX,1146,,361,707500,,,
0101382,BIOPSY ENDOMETRIAL WO DIL,378,,361,707500,,,
0101383,BX OVARY UNILAT/BILAT,4503,,361,707500,,,
0101384,BIOPSY VULVA/PERIN 1 LES,738,,361,707500,,,
0101385,BX VAGINAL MUCOSA SIMPLE,1430,,361,707500,,,
0101386,INSERT CATH BLADDER,338,,361,707500,,,
0101387,INSERT CATH BLADDER SMPL,700,,361,707500,,,
0101388,CIRCUMCISION,3622,,361,707500,,,
0101389,COLPOCENTESIS,1430,,361,707500,,,
0101390,COLPOSCOPY CERVIX,365,,361,707500,,,
0101391,COLP CERV VAG LEEP W BX,4395,,361,707500,,,
0101392,COLPOSCPY CERVX BX CURET,537,,361,707500,,,
0101393,CONIZ CERVIX COLD KNIFE,4133,,361,707500,,,
0101394,CAUTERY CERVIX CRYO,431,,361,707500,,,
0101395,DEST VULVA LES EXTENSIVE,4748,,361,707500,,,
0101396,CYSTOMETROGRAM COMPLEX,700,,361,707500,,,
0101397,CAUTERY CERVIX CRYO,1620,,361,707500,,,
0101398,DILATION AND CURETTAGE,4503,,361,707500,,,
0101399,TX INCOMPLETE MISCARRIAG,4503,,361,707500,,,
0101400,DESTR VULVA LES SIMPLE,4814,,361,707500,,,
0101401,DIAPHRAGM/CERVIC CAP FIT,47,,361,707500,,,
0101402,CERVICAL CANAL DILATION,4503,,361,707500,,,
0101403,ENDOCERVICAL CURETTAGE,1430,,361,707500,,,
0101404,REMOVE VAGINA GLAND LESION,4503,,361,707500,,,
0101405,US PREG<14WK SNGL1ST GEST,869,,402,707500,,,
0101406,US PREG<14WKS EA ADD GEST,460,,402,707500,,,
0101407,US TRANSVAGINAL,1139,,402,707500,,,
0101408,REMOVE SKIN TAGS <=15,326,,361,740000,,,
0101409,COURTESY ULTRASOUND,,1,99,707500,,,
0101410,US PREG+DETL SNGL1ST GEST,472,,402,707500,,,
0101411,US FETAL ECHO UMBIL ART,221,,402,707500,,,
0101412,OB VST/FTL MON NEW W/PROC,175,,720,740000,,,
0101413,OB VST/FTL MON EST W/PROC,125,,720,740000,,,
0101414,NON OBV GYN OIB HR NC,,1,99,740000,,,
0101415,EXC BEN LES S/N/HF <=0.5,1938,,361,707500,,,
0101416,EXC BEN LES S/N/HF 1.1-2,1653,,361,707500,,,
0101417,BIOPSY SKIN SINGLE LESION,480,,361,707500,,,
0101418,BIOPSY SKIN LESION EA ADD,282,,361,707500,,,
0101419,OB OBSERV PER HOUR,161,,762,740000,,,
0101420,CAR SEAT/BED TEST 60MIN,117,,460,607000,,,
0101421,CAR SEAT/BED TEST ADD 30,31,,460,607000,,,
0101422,DILAT&CURRETTAGE NON OB,4989,,510,707500,,,
0101423,PACU COMPLEX 1ST 30MIN,992,,710,740000,,,
0101424,PACU COMPLEX ADDL 15MIN,347,,710,740000,,,
0101425,PREG URINE VISUAL POC,90,,307,707500,,,
0101426,CIRCUMCISION,4908,,723,607000,,,
0101427,CIRCUMCISION,4908,,723,740000,,,
0101428,OB DIRECT ADMISSN FOR OBS,596,,721,740000,,,
0101429,US FETAL ECHO UMBIL ART,220,,402,707500,,,
0101939,AVAILABLE,0,2,720,740000,,,
0200000,SPACEMAKER PLUS DISSECTOR 10-1,2579.78,,272,747000,,,
0200001,ABSORBABLE TACK 5mm,2124.11,,272,747000,,,
0200002,BIO-CORK 3.5X14MM ANCHOR,1808.51,,272,747000,,,
0200003,TURBO VAC 90 W/INTEGRATED CAB,1111.7,,272,747000,,,
0200004,LIGASURE IMPLANT,2412.97,,272,747000,,,
0200005,ENDOGIA UNIVERSAL HANDLE,1329.78,,272,747000,,,
0200006,SURGERY-GENERAL(MAJOR),138,,360,742100,,,
0200007,EGIAU 30-2.0 RELOADS,1480.85,,272,747410,,,
0200008,EGIAU 30-2.5 RELOAD,1424.94,,272,747410,,,
0200009,EGIAU45-2.5 RELOAD,1450.05,,272,747410,,,
0200010,EGIAU45-3.5 RELOAD,1450.05,,272,747410,,,
0200011,EGIAU45-4.8 RELOAD,1522.6,,272,747410,,,
0200012,EGIAU60-3.5 RELOAD,1625.21,,272,747410,,,
0200013,EGIAU60-4.8RELOAD,1706.43,,272,747410,,,
0200014,SURGERY-GENERAL (MAJOR),138,,360,742100,,,
0200015,COBALT HV BONE CEMENT,579.78,,272,747000,,,
0200016,STIMU-QUICK 90 NERVE BLOCK NE,83.82,,272,747000,,,
0200017,STIMU-QUICK 50 NERVE BLOCK NE,83.82,,272,747000,,,
0200018,CHLORAPREP,36.96,,272,747000,,,
0200019,PRONEVIEW MOLDED SPINAL PACK,372.34,,272,747410,,,
0200020,3.0MM PRECISION NEURO DRILL,588.29,,272,747000,,,
0200021,JACKSON MICROSCOPE DRAPE,202.12,,272,747410,,,
0200022,VITASURE HEMOSTAT,1170.21,,272,747410,,,
0200023,ENDO STITCH,222.5,,270,747410,,,
0200024,ENDO STITCH HANDLE,1155.31,,270,747410,,,
0200025,LEICA DRAPE,180.85,,270,747410,,,
0200026,RADIATION GLOVES,175.48,,270,747410,,,
0200027,ALVARADO KNEE HOLDER,128.42,,270,747000,,,
