CDMCHRG#,CDMDSC,NEWPRICE,STAT
1002948,ADHESION BARR LVL 7,1741,
1002955,OB VISIT LEV 1 EST W PROC,505,
1002963,SUT ADHES LIQ LVL 1,100,
1002971,OB VISIT LEVEL 1 NEW W PROC,505,
1002989,OB/GYN PROCEDURE LEVEL 2,2610,
1002997,OB VISIT LEVEL 1 EST PT,505,
1003003,INST/SUPP STERL LVL 6,1244,
1003011,OB VISIT LEVEL 1 NEW PT,505,
1003029,LUMBAR PUNCTURE DIAGNOSTC,1208,
1003037,OB VISIT LEVEL 2 EST W PROC,849,
1003052,OB VISIT LEVEL 2 NEW W PROC,849,
1003078,OB VISIT LEVEL 2 EST PT,849,
1003086,THORACENTESIS W IMAGING,1563,
1003094,OB VISIT LEVEL 2 NEW PT,849,
1003110,OB VISIT LEVEL 3 EST W PROC,1304,
1003136,OB VISIT LEVEL 3 NEW W PROC,1304,
1003151,OB VISIT LEVEL 3 EST PT,1304,
1003177,OB VISIT LEVEL 3 NEW PT,1304,
1003193,OB VISIT LEVEL 4 EST W PROC,2553,
1003219,OB VISIT LEVEL 4 NEW W PROC,2553,
1003235,OB VISIT LEVEL 4 EST PT,2553,
1003250,OB VISIT LEVEL 4 NEW PT,2553,
1003276,OB VISIT LEVEL 5 EST W PROC,4120,
1003292,OB VISIT LEVEL 5 NEW W PROC,4120,
1003318,OB VISIT LEVEL 5 EST PT,4120,
1003334,OB VISIT LEVEL 5 NEW PT,4120,
1003357,OB VISIT/FETAL MONITR EST W/PR,401,
1003375,OB VISIT/FETAL MONITR NEW W/PR,401,
1003391,OB/GYN PROCEDURE LEVEL 1,530,
1003417,OB/GYN PROCEDURE LEVEL 3,4144,
1003433,INCIS/DRAIN/ASP LEVEL 1,877,
1003458,REM FB/SKN LES IMP LVL 1,298,
1100023,ECHO TRANSESOPHOGEAL,5597,
1100049,HEART EVENT MONITOR,1137,
1100080,TILT TABLE EXAM,4538,
1100130,ECHO 2D COMP WO CONTRAST,2606,
1100171,ECG RHYTHM STRIP TRACING,714,
1100197,PERFLUTREN MICROSP/ML INJ,880,
1100205,CARDIOVAS STR TEST W RX,2447,
1100221,ECHO 2D LTD WO CON,2286,
1100239,TTE W/DOPPLER COMPLETE,5758,
1100254,ECHO 2D COMP W CON,2606,
1100262,TTE COMP W SPEC/CF W CON,5758,
1100296,ECHO STR TEST COMP W ECG,4201,
1100320,ECHO STR TST COMP ECG CON,4201,
1100346,ECHO STR TEST COMP W CON,4201,
1100353,HOLTER RECRD ONLY <= 48HR,1762,
1100379,HOLTER SCN & RPRT <= 48HR,2591,
1100387,ADMIN INFLUENZA VACCINE,145,
1100403,ADMIN PNEUMO VACCINE,145,
1100437,ADMIN HEP B VACCINE,145,
1100692,ECG  12-LEAD,930,
1100700,DOPPLER ECHOCARDIOGRAPHY COMPLETE,1573,
1100718,ECHO DOPPLER LIMITED,928,
1100759,CARDIACVASCULAR STRESS,2447,
1100908,ECHO 2-DW/M-MODE COMP,2606,
1105774,ECHO DOPPLER COLOR FLOW,865,
1105808,ECHO REST & STRESS,4201,
1300094,CEREBRAL DEATH,1193,
1300276,AUDITORY EVOKED POTENTIAL EEG,896,
1300334,EPICANTHAL ELECTRODES,915,
1300367,EEG AWAKE W/HV  PS,1782,
1300391,EEG ASLEEP W/HV  PS,1960,
1300458,VIS EVOK POT CNS CHECKBD/FLSH,990,
1300516,SOMATOSENSORY MULT NERVE,1302,
1800093,ABG ANALYSIS,445,
1800168,INTUBATION ET EMERGENCY,687,
1800499,ASSESSMENT - COMPLETE,0,1
1800754,TRANSCUT MONITOR INITIAL,199,
1800788,VITAL CAP,221,
1800846,VENTILATOR MGMT CONTINUED ADULT,6746,
1800887,VENT MGMT; INITIAL DAY (ADULT),7084,
1800929,INH TX INIT  W VENT/DAY,385,
1800945,INH TX EA SUBSEQ TX/DAY,356,
1800978,SMOKE/TOBACCO COUNSL 3-10,56,
1801018,AIRWAY MANAGEMENT,0,1
1801042,CPAP/BIPAP SUBQ 12 HRS,0,1
1801075,NEO-LOW RISK DEL,0,1
1801091,VENT MGMT INIT 12HR,0,1
1801133,TRACH TUBE CHG NO FISTULA,494,
1801166,BLAND AERO TX INIT EA DAY,282,
1801190,INH TX SUBSQ W VENT,356,
1801224,DEMO/EVAL INHALATION TX,459,
1801257,SMOKE/TOBACCO COUNSEL >10,116,
1801281,CLINICAL ROUNDS,0,1
1801315,NEO-HIGH RISK DEL,0,1
1801349,PEAK FLOW MEASUREMENT,0,1
1801372,VENT MGMT SUB 12,0,1
1801489,BLAND AERO TX SUBS,282,
1801513,INH TX INITIAL EA DAY,385,
1801554,CO2 EXPIRED GAS INFRARED,344,
1801562,CPAP  DAY,2610,
1801570,ASSESSMENT - LIMITED,0,1
1801653,PULSE OXIMETRY-O2 EVAL-REST & EX,944,
1801679,ART LINE DRAW STATISTIC,0,1
1801695,SEC MOBIL PEP INITIAL,330,
1801703,AEROSOL INH PENTAM FOR PCP,436,
1801794,NITRC OX EXP GAS DETERMN,318,
1801802,VENT INITIAL HFV 12HR NC,0,1
1801810,CALCIUM IONIZED,69,
1801836,VENT SUBSEQ HFV 12HR NC,0,1
1801851,VENT INITIAL DAY HFV,7084,
1801877,VENT SUBSEQUENT DAY HFV,6746,
1801885,CPR/TRAUMA RESPONSE,0,1
1801893,FLUTTER NC,0,1
1801919,ACAPELLA NC,0,1
1801927,PH MEASUREMENT(BLOOD) (BLOOD GAS),891,
1801943,SEC MOBIL- PEP SUB,294,
1801968,CPAP/BIPAP VENT INIT/DAY,7053,
1801976,INTRAPUL SURFACTANT ADMIN NC,0,1
1801992,CPAP/BIPAP VNT SUB 12H NC,0,1
1802008,INH TX CONTINOUS 1ST HR,363,
1802016,PLETHYSMOGRAPHY LUNG VOLUMES,732,
1802032,INH TX CONT EA ADD HR,223,
1802057,GAS DILUTION LUNG VOLUME,586,
1802073,AIRWY RESIST PULSE OSCILLOMTRY,542,
1802099,DIFFUSING CAPACITY,796,
1802107,PULSE OXIMETRY - OVERNIGHT STUDY,4682,
1802115,HEMOGLOBIN  QN  TRANSCUT  PER DAY,69,
1802131,LACTATE/LACTIC ACID BLOOD,665,
1802156,MECHANIC CHEST WALL OSCIL/SESS,231,
1802164,VIBRATORY PEP DEVICE NC,0,1
1802172,MIP/MEP ASSESS,199,
1802180,ARTERIAL PUNCTURE,480,
1802198,ECMO/ECLS VENOUS INIT,9155,
1802214,ECMO/ECLS ARTERIAL INIT,9155,
1802230,ECMO VENOUS MANAGE EA DAY,5114,
1802248,ARTERIAL CATH/CANN PERC,396,
1802255,ECMO ART MANAGE EA DAY,5114,
1802271,HIGH ALTITUDE SIMULATION,400,
1802297,HAST W O2 TITRATION,460,
1802313,SLEEP UNATTEN W RESP EFFT,1500,
1900026,PERITONEL DIALYSIS,1300,
1900042,HEMODIALYSIS: ROUTINE,2340,
1900067,HEMODIALYSIS: EMERGENT,2397,
1900075,CONTINUOUS RENAL REPLACEMENT THER,1944,
1900158,APHERESIS PLASM THERAPEUT,5898,
2000891,ANESTH GENERAL 1ST 30MIN,2510,
2000917,ANESTH MAC/REG ADDL 15MIN,397,
2000925,PACU STANDARD 1ST 30MIN,2052,
2000941,SURGERY LEVEL 1 ADD 15MIN,1291,
2000958,PACU STANDARD ADDL 15MIN,718,
2000974,SURGERY LEVEL 3 1ST 30MIN,9455,
2000982,PACU COMPLEX 1ST 30MIN,2663,
2001006,SURGERY LEVEL 4 1ST 30MIN,12296,
2001030,SURGERY LEVEL 5 1ST 30MIN,16593,
2001048,PACU COMPLEX ADDL 15MIN,932,
2001063,STATISTICAL SURG PER MIN,0,1
2001071,PACU PT COUNT STATISTICAL,0,1
2001154,ANESTH GENERAL ADDL 15MIN,580,
2001188,LOCAL ANESTHESIA,712,
2001212,SURGERY LEVEL 2 1ST 30MIN,7273,
2001253,SURGERY LEVEL 3 ADD 15MIN,2182,
2001287,SURGERY LEVEL 4 ADD 15MIN,2837,
2001303,SURGERY LEVEL 5 ADD 15MIN,3829,
2001428,ANESTH MAC/REG 1ST 30MIN,1708,
2001451,SURGERY LEVEL 1 1ST 30MIN,5594,
2001485,SURGERY LEVEL 2 ADD 15MIN,1677,
2001519,ESOPHAGEAL MOTILITY,3759,
2001725,GI TRAC CAPSLE ENDO ILEUM,5271,
2001782,GSTRESPH RFLX TST W ELEC,3475,
2001824,ANESTH GENERAL 1ST 30MIN,1931,
2001857,ANESTH GENERAL ADDL 15MIN,580,
2001881,ANESTH MAC/REG 1ST 30MIN,1312,
2001915,ANESTH MAC/REG ADDL 15MIN,397,
2001949,LOCAL ANESTHESIA,712,
2002004,MODERATE SEDAT ADD 15MIN,324.05,
2002038,MODERATE SEDAT ADD 15MIN,324.05,
2002053,ANORECTAL MANOMETRY,1253,
2002061,TRANSFUSION BLOOD/BLOOD COMP,6412,
2002152,CARDIOPULM BYPASS EA HR,1766,
2002186,ADMIN INFLUENZA VACCINE,145,
2002210,ADMIN PNEUMO VACCINE,145,
2002236,ADMIN HEP B VACCINE,145,
2002244,TRANSFUSION BLOOD/BLOOD COMP,700,
2002269,TRANSFUSION BLOOD/BLOOD COMP,706,
2002335,MOD SEDAT ENDO =>5YRS 1ST 15M,350,
2002368,MOD SEDAT =>5YRS 1ST 15M,350,
2002392,MOD SEDAT =>5YRS 1ST 15M,350,
2002426,TST ESOPH FUNC IMPED <1HR,860,
2002459,ESOPH IMPED FUNC TST >1HR,1538,
2002483,ENDO PROC EACH ADDL 10 MIN,530,
2002665,ENDO PROC UP TO 20 MIN,4554,
2002681,BRONCH/OTHER PROC UP TO 20 MIN,6036,
2002699,CARDIOVERSION ELECTIVE EXTRNAL,2159,
2002723,BRONCH/OTHER PROC ADDL 10 MIN,688,
2002756,INSTILLAT FECAL NG TUBE/ENEMA,2590,
2002780,ENDO SMALL INTESTINE DIAGNOST,4943,
2002814,SIGMOIDOSCOPY FLEX DIAGNOSTIC,2473,
2002848,COLONOSCOPY DIAGNOSTIC,2473,
2002871,OTHR PERIPH NRV/BRNCH INJ,1878,
2002905,EPIDURAL BLOOD PATCH,1463,
2002921,REM/REPLACE GTUBE/CHANGE TRACH,1137,
2007722,OUTPATIENT LABOR EXAMINATION NEW PT,413,
2300697,PHLEBOTOMY,1038,
2300986,CHEMOTHERAPY VIA INTRATHECAL,1283,
2301018,CHEMOTHERAPY VIA PERITONEAL,1214,
2301448,LEVEL 1 NURSING ASSESSMENT,1194,
2301463,VACCINE  INJECTION,145,
2301471,CHEMO SUBQ/IM INJECTION,643,
2301489,VACCINE EA ADD INJECTION,91,
2301521,CHEMO IV INFUS INITIAL 1HR,948,
2301539,LEVEL 2 NURSING ASSESSMENT,1593,
2301547,CHEMO IVP INITIAL,1494,
2301562,CHEMO SQ/IM HORMONAL,643,
2301588,IRRIGATION IMPLANTED VAD,942,
2301604,IV HYDRATION EA ADD HR,824,
2301612,SKIN TEST TB INTRADERMAL,66,
2301620,IV INFUSION EA ADD HR,824,
2301646,IV INFUSION CONCURRENT IVPB,942,
2301687,INJECTION IV INITIAL,1575,
2301703,CHEMO IV INFUS EA ADD HR,851,
2301729,CHEMO IVP EA ADD,643,
2301745,CHEMO IV 8+ HOURS PUMP,1494,
2301760,IV HYDRATION INITIAL 1HR,942,
2301786,IV INFUSION INITIAL 1 HR,942,
2301802,IV INFUSION SEQUENTIAL 1 HR,942,
2301844,INJECTION IM/SUBQ,375,
2301885,CHEMO IV INFUS SEQUENT 1HR,851,
2301943,VISIT LEVEL 1 NEW PT,1194,
2302008,VISIT LEVEL 1 EST W PROC,1194,
2302024,VISIT LEVEL 4 EST W PROC,2486,
2302065,VASC ACCES THROMBL DECLOT,835,
2302123,VISIT LEVEL 1 NEW W PROC,1194,
2302149,VISIT LEVEL 3 NEW W PROC,1990,
2302180,VISIT LEVEL 2 EST W PROC,1593,
2302206,VISIT LEVEL 5 EST W PROC,3109,
2302248,BLOOD COLLECTION VAD,207,
2302255,TRANSFUS BLOOD/COMP 3HR,4524,
2302271,TRANSFUS BLOOD/COMP 4HR,6412,
2302297,TRANSFUS BLOOD/COMP 5HR,7847,
2302313,TRANSFUS BLOOD/COMP 6HR,9282,
2302339,TRANSFUS BLOOD/COMP 7HR,10716,
2302354,TRANSFUS BLOOD/COMP 8HR,12150,
2302362,VISIT LEVEL 3 EST W PROC,1990,
2302396,TRANSFUS BLOOD/COMP 1HR,2111,
2302412,TRANSFUS BLOOD/COMP 2HR,3544,
2302420,GLUCOSE BLOOD BY DEVICE,57,
2302438,INJ IM/SUBQ W/TRANS/INF/CHEMO,375,
2302453,INJ IV INITIAL W/TRANS/INF/CHEMO,1575,
2302479,INJ IV SEQUENTIAL W/TRANS/INF/CHEMO,616,
2302487,VISIT LEVEL 2 NEW W PROC,1593,
2302495,INJ TX/PRO/DX IVPUSH SAME DRUG W/,616,
2302503,INS PICC WO PORT/PUMP>5YR,2559,
2302511,BLOOD COLLECTION PICC,372,
2302527,ADMIN PNEUMO VACCINE,145,
2302529,ADMIN INFLUENZA VACCINE,145,
2302537,PUMP IMPLANTD REFIL/MAINT,718,
2302545,ASPIRATION(S) BONE MARROW,2150,
2302552,ADMIN HEP B VACCINE,145,
2302560,BIOPSY(IES)BONE MARROW DX,3898,
2302578,VISIT LEVEL 3 EST PT,1990,
2302586,APPL ONBODY TIMED INJECT SUBQ,357,
2302594,PARACENTESIS ABD WO IMAGING,2720,
2302602,LUMBAR PUNCTURE DIAGNOSTIC,1208,
2302610,PUMP PORTABL REFILL/MAINT,520,
2703038,ORTHO L3921,415,
2800027,ADMIN INFLUENZA VACCINE,145,
2800035,ADMIN OTHER IMMUN VAC ONE,145,
2800043,ADMIN PNEUMO VACCINE,145,
2800050,TRANSFUSION BLOOD/BLOOD COMP,706,
2800068,ADMIN HEP B VACCINE,145,
2800076,LUMBAR PUNCTURE DIAGNOSTC,1208,
2800084,THORACENTESIS W IMAGING,1563,
3000064,ER LEVEL 1,561,
3000098,ER LEVEL 2,944,
3000122,ER LEVEL 3 W/PROCEDURE,1450,
3000155,ER LEVEL 4 W/PROCEDURE,2839,
3000189,ER LEVEL 5 W/PROCEDURE,4580,
3000213,ER CRITICAL CARE W/PROC,11346,
3000247,LEGAL BLOOD ALCOHOL,185,
3012143,ED CPR,786,
3012176,ED CARDIOVERSION,2310,
3012291,APPLY EXTERNAL PACER,713,
3012671,LUMBAR/SHUNT PUNCTURE,1214,
3012804,ER CRITIC CARE ADD 30MIN,5673,
3013281,ADMIN OTHER IMMUN VAC ONE,145,
3013315,ADMIN OTHER IMMUN VAC ADD,78,
3014305,PERICARDIOCENTES INITIAL,257,
3015054,URINE DIPSTICK,46,
3015070,GLUCOSE BLOOD BY DEVICE,66,
3015146,ER CRITICAL CARE 30-74MIN,11346,
3015179,APPLICATION OF SPLINT,320,
3015203,DEBRID OPEN FX W/FB REMOV,1189,
3015237,INCIS/DRAIN/ASP SIMPLE,948,
3015252,LAC RPR COMPLEX,8097,
3015286,REMOVE FB COMPLEX,5605,
3015310,THORACENTESIS/THORACOSTOM,948,
3015344,TX FX COMPLEX/DISLOCAT,8097,
3015385,THROMBOLYSIS  CORONARY IV,2681,
3015468,DEBRID SKIN/SUBQ/MUS/BONE,1668,
3015492,INJ NERVE/OTHR ASP/INJ JT,623,
3015526,LAC RPR CPLX ADD<5CM,1172,
3015559,REMOVE FB INTERMEDIATE,1762,
3015583,TRACHEOSTOMY EMERGENCY,1858,
3015641,DEBR NON-SELECTIV SESSION,402,
3015658,INF IV HYDRAT 31-60 MIN,944,
3015674,ANOSCOPY DIAGNOSTIC,479,
3015682,INF IV HYDRAT EA ADD HR,457,
3015708,CYSTOSTOMY PROC COMPLEX,6325,
3015716,INF TX/DX/PRO INIT 1ST HR,944,
3015732,DRESS/DEBRIDE BURN,379,
3015740,INS PERITL CATH/CANN TEMP,7898,
3015765,INSERT CATH BLADDER,276,
3015773,IV INFUS THER ADD HR MAX8,457,
3015799,LAC RPR INTERMEDATE,1432,
3015807,IV INFUS SEQUENTIAL 1HR,944,
3015823,REM FB SIMPLE/SKIN LESION,322,
3015831,INF TX/DX CONCURRENT,504,
3015864,INJ TX/DX/PROPH SUBQ/IM,260,
3015880,VENIPUNCTURE VENOUS,44,
3015898,IV INJECTION INITIAL,285,
3015914,ER LEVEL 1 W/PROCEDURE,561,
3015922,INJ TX/DX/PRO IV PUSH SEQ,260,
3015948,ADMIN INFLUENZA VACCINE,145,
3015971,CHANGE TUBE SIMPLE,1214,
3016003,EPIDURAL BLOOD PATCH,1552,
3016011,PLACE NEEDLE INTRAOSSEO INFUS,608,
3016037,INS/REPL/DECL NONTUN/PICC,2925,
3016045,MODERATE SEDAT ADD 15MIN,324.05,
3016060,LAC RPR SIMPLE,912,
3016128,OB/GYN PROCEDURE LEVEL 3,4480,
3016185,ER LEVEL 2 W/PROCEDURE,944,
3016193,INJ TX/PRO/DX IVPUSH SAME DRUG,260,
3016219,ADMIN PNEUMO VACCINE,145,
3016227,REMOVE RECTL OBSTRUCTION,3229,
3016243,CLOSE/PK WND DEHISCEN SMP,1172,
3016276,EXCISE/REPR NAIL INGROWN,732,
3016284,DECLOT THROMBOLYSIS,885,
3016300,INS/REM TUN CVC/PERIPH CVAD,6160,
3016334,PLACE NASO/OROGAS TUBE PHY SKL,623,
3016367,REMOV/BIVALV/RPR CAST,642,
3016391,TREAT VAG HEMORR NON OB,1624,
3016458,ER LEVEL 3,1450,
3016482,SKIN TEST TB INTRADRM,36,
3016516,CONTRL NOSEBLED/CHEM CAUTRY,397,
3016573,INTUBATION ENDOTRACHEAL,769,
3016664,TX FX/DISLOC SIMPLE,542,
3016698,PARACENTESIS/PERIT LAVAGE,948,
3016722,ER LEVEL 4,2839,
3016813,HEMORRHOID EXC/INC SIMPLE,1231,
3016821,NASOPHARYNGOSCOPY W ENDO,633,
3016847,IRRIG/LAV/INSTL BLAD/OTHR,764,
3016854,GASTR INTB/ASP/LAV PHY SK,469,
3016870,REMOVE CERUMEN IMPACTED,223,
3016888,TX FX/DISLOC ORBIT WO MAN,2024,
