Description, Price ,HCPCS Code,,,,,,,,,
BIOPSY PUNCH 6MM,$10.00 ,,,,,,,,,,
RAPID RHINO NASAL TAMPON,$10.00 ,,,,,,,,,,
NG TUBE #22,$10.00 ,,,,,,,,,,
SCALPEL #15,$10.00 ,,,,,,,,,,
NG TUBE # 12,$10.00 ,,,,,,,,,,
NG TUBE # 14,$10.00 ,,,,,,,,,,
NG TUBE #16,$10.00 ,,,,,,,,,,
NG TUBE # 18,$10.00 ,,,,,,,,,,
SCALPEL #11,$10.00 ,,,,,,,,,,
TROCAR CATH SIZE 28,$10.00 ,,,,,,,,,,
LACERATION TRAY DISPOSABLE,$10.00 ,,,,,,,,,,
NG TUBE # 16,$10.00 ,,,,,,,,,,
NG TUBE #22,$10.00 ,,,,,,,,,,
ET STYLET ADULT LARGE,$10.75 ,,,,,,,,,,
SUTURE 5-0 SILK-SOFTSILK,$12.50 ,,,,,,,,,,
LOPEZ VALVE 3,$13.50 ,,,,,,,,,,
ET TUBE HOLDER PEDIATRIC,$15.00 ,,,,,,,,,,
ET STYLETTE INFANT 6 FRENCH,$15.00 ,,,,,,,,,,
ET STYLETTE CHILD FRENCH 14,$15.00 ,,,,,,,,,,
NASOPHARYNGEAL AIRWAY 28,$15.00 ,,,,,,,,,,
NASOPHARYNGEAL AIRWAY 30,$15.00 ,,,,,,,,,,
NASOPHARYNGEAL AIRWAY 32,$15.00 ,,,,,,,,,,
NASOPHARYNGEAL AIRWAY 26,$15.00 ,,,,,,,,,,
NASOPHARYNGEAL AIRWAY KIT SZ 1-6,$15.00 ,,,,,,,,,,
ET TUBE HOLDER ADULT,$15.00 ,,,,,,,,,,
COMPRESSION BOOT TUBING,$15.00 ,,,,,,,,,,
ET TUBE #10,$17.00 ,,,,,,,,,,
ET TUBE 2.5,$17.00 ,,,,,,,,,,
ET TUBE # 3.0,$17.00 ,,,,,,,,,,
ET TUBE #3.5,$17.00 ,,,,,,,,,,
ET TUBE #4.0,$17.00 ,,,,,,,,,,
ET TUBE # 4.5,$17.00 ,,,,,,,,,,
ET TUBE # 5.0,$17.00 ,,,,,,,,,,
ET TUBE # 5.5,$17.00 ,,,,,,,,,,
ET TUBE # 6.0,$17.00 ,,,,,,,,,,
ET TUBE # 6.5,$17.00 ,,,,,,,,,,
ET TUBE # 7.0,$17.00 ,,,,,,,,,,
ET TUBE # 7.5,$17.00 ,,,,,,,,,,
ET TUBE # 8.0,$17.00 ,,,,,,,,,,
ET TUBE # 8.5,$17.00 ,,,,,,,,,,
ET TUBE # 9.0,$17.00 ,,,,,,,,,,
ET TUBE # 9.5,$17.00 ,,,,,,,,,,
CATHETER INSERTION TRAY 30CC,$25.00 ,,,,,,,,,,
COUDE CATH 14,$25.00 ,,,,,,,,,,
COUDE CATH 18,$25.00 ,,,,,,,,,,
FOLEY CATH 16 FRENCH 30CC,$25.00 ,,,,,,,,,,
FOLEY CATH 18 FRENCH 30CC,$25.00 ,,,,,,,,,,
FOLEY CATH 20 FENCH 30CC,$25.00 ,,,,,,,,,,
FOLEY CATH 24 FRENCH 30CC,$25.00 ,,,,,,,,,,
FOLEY CATH 26 FRENCH 30CC,$25.00 ,,,,,,,,,,
FOLEY CATH 30 FRENCH 30CC,$25.00 ,,,,,,,,,,
FOLEY ANCHOR,$25.00 ,,,,,,,,,,
FOLEY CATH SILICONE 16 FRENCH 5CC,$25.00 ,,,,,,,,,,
FOLEY CATH SILICONE 18 FRENCH 30CC,$25.00 ,,,,,,,,,,
FOLEY CATH TRAY # 14,$25.00 ,,,,,,,,,,
FOLEY CATH 22 FRENCH 30CC,$25.00 ,,,,,,,,,,
FOLEY CATH 100 SILICONE 22 FRENCH 30CC,$25.00 ,,,,,,,,,,
HUBER NEEDLE 22G3/4,$25.00 ,,,,,,,,,,
FOLEY 3 WAY CATH 16FR 30CC,$25.00 ,,,,,,,,,,
FOLEY 3WAY CATH 18FR 30CC,$25.00 ,,,,,,,,,,
COUDE CATH 20,$25.00 ,,,,,,,,,,
FOLEY CATH 26FR 10CC,$25.00 ,,,,,,,,,,
FOLEY CATH 100 SILICONE 24 FRENCH 10CC,$25.00 ,,,,,,,,,,
FOLEY CATH 16 FRENCH 5CC,$25.00 ,,,,,,,,,,
FOLEY CATH 18 FRENCH 5CC,$25.00 ,,,,,,,,,,
FOLEY CATH 20 FRENCH 5CC,$25.00 ,,,,,,,,,,
FOLEY CATH 22 FRENCH 5CC,$25.00 ,,,,,,,,,,
FOLEY CATH 24 FRENCH 5CC,$25.00 ,,,,,,,,,,
COUDE CATH 16,$25.00 ,,,,,,,,,,
OXYLATOR EXTENSION,$25.00 ,,,,,,,,,,
LAVAGE 18 FRENCH,$25.00 ,,,,,,,,,,
LAVAGE 22 FRENCH,$25.00 ,,,,,,,,,,
LAVAGE 32 FRENCH,$25.00 ,,,,,,,,,,
LAVAGE KIT ADULT/PEDIVAC,$25.00 ,,,,,,,,,,
LAVAGE KIT PEDIATRIC ETHOX,$25.00 ,,,,,,,,,,
CATHETER INSERTION TRAY,$25.00 ,,,,,,,,,,
FOLEY CATH TRAY # 16,$25.00 ,,,,,,,,,,
FOLEY CATH TRAY # 18,$25.00 ,,,,,,,,,,
FOLEY CATH 12 FRENCH 5CC,$25.00 ,,,,,,,,,,
FOLEY CATH 14 FRENCH 5CC,$25.00 ,,,,,,,,,,
SKIN STAPLER PRECISE,$33.00 ,,,,,,,,,,
DEXTROSE/0.45NS (D51/2NS) 1000ML IV,$40.00 ,,,,,,,,,,
DEXTROSE/0.45NS (D51/2NS) 500ML IV,$40.00 ,,,,,,,,,,
D5NS (D5NS) 1000ML IVF,$40.00 ,,,,,,,,,,
NORMAL SALINE (NS ADV) ADV 100ML,$40.00 ,,,,,,,,,,
NORMAL SALINE (NS ADV) ADV 250ML,$40.00 ,,,,,,,,,,
SALINE LOCK FLUSH (NS FLUSH) 10ML,$40.00 ,,,,,,,,,,
DEX/0.45NS/20KCL (D51/2NS/KCL20) 1000ML,$40.00 ,,,,,,,,,,
LMA 4 ADULT UNIQUE WITH BULB,$41.40 ,,,,,,,,,,
UMBILICAL VES CATH,$48.50 ,,,,,,,,,,
SUTURE 4-0 VICRYL-POLYSORB,$50.00 ,,,,,,,,,,
CHEST DRAINAGE UNIT,$53.50 ,,,,,,,,,,
G-TUBE 16 FRENCH,$60.00 ,,,,,,,,,,
CHEST TUBE,$66.00 ,,,,,,,,,,
TRIPLE LUMAN CATH KIT,$78.00 ,,,,,,,,,,
PACER PADS ADULT MEDTRONIC/CONMED,$82.50 ,,,,,,,,,,
STERI STRIP 1/2,$100.00 ,,,,,,,,,,
STERI-STRIP 1/8,$100.00 ,,,,,,,,,,
COMPRESSION BOOTS,$112.25 ,,,,,,,,,,
G-TUBE 18 FRENCH,$115.00 ,,,,,,,,,,
G-TUBE 20 FRENCH,$115.00 ,,,,,,,,,,
G-TUBE 22 FRENCH,$115.00 ,,,,,,,,,,
G-TUBE 24 FRENCH,$115.00 ,,,,,,,,,,
G-TUBE 26 FRENCH,$115.00 ,,,,,,,,,,
AMBU PED. BVM,$115.50 ,,,,,,,,,,
AMBU NEONATAL BVM,$115.50 ,,,,,,,,,,
AMBU ADULT BVM,$115.50 ,,,,,,,,,,
KING AIRWAY SIZE 2,$120.00 ,,,,,,,,,,
KING AIRWAY SIZE 2.5 PED,$120.00 ,,,,,,,,,,
KING AIRWAY SIZE 3 ADULT,$120.00 ,,,,,,,,,,
KING AIRWAY SIZE 4 ADULT,$120.00 ,,,,,,,,,,
KING AIRWAY SIZE 5 ADULT,$120.00 ,,,,,,,,,,
CENTRAL LINE KIT,$150.00 ,,,,,,,,,,
THORACENTESIS / PARACENTESIS TRAY,$150.00 ,,,,,,,,,,
LUMBAR TRAY PEDIATRIC,$441.00 ,,,,,,,,,,
LUMBAR PUNCTURE KIT- ADULT/PEDI,$441.00 ,,,,,,,,,,
SUTURE 6-0 SILK-SOFTSILK,$500.00 ,,,,,,,,,,
SUTURE 3-0 PROLENE-SURGIPRO,$500.00 ,,,,,,,,,,
SUTURE 2-0 ETHILON-NYLON-MONO,$500.00 ,,,,,,,,,,
SUTURE 4-0 PROLENE-SURGIPRO,$500.00 ,,,,,,,,,,
SUTURE 6-0 PROLENE-SURGIPRO,$500.00 ,,,,,,,,,,
SUTURE 2-0 PROLENE- SURGIPRO,$500.00 ,,,,,,,,,,
SUTURE 4-0 CHROMIC,$500.00 ,,,,,,,,,,
SUTURE CHROMIC 5-0,$500.00 ,,,,,,,,,,
SUTURE 3-0 VICRYL- POLYSORB,$500.00 ,,,,,,,,,,
SUTURE 3-0 EHTILON-NYLON-MONO,$500.00 ,,,,,,,,,,
SUTURE 3-0 SILK-SOFTSILK,$500.00 ,,,,,,,,,,
SUTURE 4-0 ETHILON- NYLON- MONOSOFT,$500.00 ,,,,,,,,,,
SUTURE 5-0 VICRYL-POLYSORB,$500.00 ,,,,,,,,,,
SUTURE 5-0 ETHILON-NYLON- MONO,$500.00 ,,,,,,,,,,
SUTURE 5-0 PROLENE-SURGIPRO,$500.00 ,,,,,,,,,,
SUTURE 6-0 VICRYL- POLYSORB,$500.00 ,,,,,,,,,,
SUTURE 6-0 ETHILON-NYLON-MONOSOFT,$500.00 ,,,,,,,,,,
DERMA BOND TOPICAL SKIN ADHESIVE,$530.00 ,,,,,,,,,,
ER PROF FEE I & D,$140.00 ,10060,,,,,,,,,
ER PROF FORIEGN BODY REMOVAL SUB Q TISSU,$192.00 ,10120,,,,,,,,,
ER PROF FEE LAC >2.5 CM,$214.00 ,12001,,,,,,,,,
"ER PROF FEE LAC 2.5 CM OR LESS FAC, EARS",$214.00 ,12001,,,,,,,,,
ER PROF FEE LAC 2.6CM TO 7.5CM,$228.00 ,12002,,,,,,,,,
PROF FEE LACERATION 2.6CM TO 7.5CM,$230.28 ,12002,,,,,,,,,
ER PROF FEE LAC 7.6 CM - 12.5 CM,$266.00 ,12004,,,,,,,,,
ER PROF FEE LAC 12.6 TO 20.0,$332.00 ,12005,,,,,,,,,
PROF FEE LACERATION 12.6CM TO 20.0CM,$335.32 ,12005,,,,,,,,,
ER PROF FEE LAC > 30.0 CM,$468.00 ,12007,,,,,,,,,
"ER PROF FEE LAC 2.5 CM OR LESS FACE,EAR",$226.00 ,12011,,,,,,,,,
ER PROF FEE LAC 2.6-5.0 CM,$248.00 ,12013,,,,,,,,,
ER PROF FEE LAC 5.1 CM - 7.5 CM FACE,$294.00 ,12014,,,,,,,,,
ER PROF FEE LAC 2.6 CM TO 7.5 CM NECK HA,$344.00 ,12042,,,,,,,,,
ER PROF FEE COMPLEX LAC 2.5CM TO 7.5CM,$528.00 ,13121,,,,,,,,,
ER PROF FEE REMOVAL FB MUSCLE,$274.00 ,20520,,,,,,,,,
ER PROF FEE JOINT INJ,$100.00 ,20605,,,,,,,,,
ER PROF FEE CLOSED TX SHOULDER DISLOCATI,$524.00 ,23655,,,,,,,,,
ER PROF FEE CLOSED TX CARPOMETACARPAL DI,$494.00 ,26641,,,,,,,,,
ER PROF FEE REMOVAL FB FOOT SUBCUTANEOUS,$306.00 ,28190,,,,,,,,,
ER PROF FEE REMOVAL FB INTRANASAL,$213.97 ,30300,,,,,,,,,
ER PROF FEE PERICARDIOCENTESIS,$184.00 ,33010,,,,,,,,,
ER PROF FEE REMOVAL FB EAR,$174.00 ,69200,,,,,,,,,
ER PROF FEE EKG INTERPRETATION,$25.00 ,93010,,,,,,,,,
ER PROF TELEMETRY INTERPRETATION,$25.00 ,93042,,,,,,,,,
ER PROF FEE BREIF,$62.62 ,99212,,,,,,,,,
ER PROF FEE EXPANDED,$84.84 ,99213,,,,,,,,,
ER PROF FEE OBS CARE- DISCHARGE,$103.42 ,99217,,,,,,,,,
ER PROF FEE INIT OBS CARE- LOW,$97.34 ,99218,,,,,,,,,
ER PROF FEE INIT OBS CARE- MED,$164.26 ,99219,,,,,,,,,
ER PROF FEE INIT OBS CARE- HIGH,$229.15 ,99220,,,,,,,,,
ER PROF INITIAL CARE - LOW,$99.36 ,99221,,,,,,,,,
ER PROF FEE INIT CARE- MOD,$164.26 ,99222,,,,,,,,,
ER PROF FEE INIT CARE- HIGH,$229.15 ,99223,,,,,,,,,
ER PROF FEE SUB CARE- LOW,$48.67 ,99231,,,,,,,,,
ER PROF FEE SUB CARE- MOD,$81.08 ,99232,,,,,,,,,
ER PROF FEE SUB CARE- HIGH,$115.14 ,99233,,,,,,,,,
ER PROF FEE ADMIT & DISCH SAME - LOW,$196.62 ,99234,,,,,,,,,
ER PROF FEE ADMIT & DISCH SAME - MOD,$259.46 ,99235,,,,,,,,,
ER PROF FEE ADMIT & DISCH SAME -HIGH,$324.32 ,99236,,,,,,,,,
ER PROF FEE DISCH DAY MGMT < 30 MIN,$103.20 ,99238,,,,,,,,,
ER PROF FEE DISCH DAY MGMT > 30 MIN,$139.38 ,99239,,,,,,,,,
ER PROF FEE ER LOW,$40.00 ,99281,,,,,,,,,
ER PROF FEE EXPANDED LOW MED,$60.00 ,99282,,,,,,,,,
ER PROF FEE EXPANDED MOD MED,$90.00 ,99283,,,,,,,,,
ER PROF FEE ER DETAILED,$145.00 ,99284,,,,,,,,,
ER PROF FEE ER COMPREHENSIVE,$207.00 ,99285,,,,,,,,,
ER PROF FEE ER CRITICAL,$250.00 ,99291,,,,,,,,,
ER PROF FEE ER CRITICAL ECH 30 MIN,$127.26 ,99292,,,,,,,,,
HOSPITALIST EKG INTERPRETATION,$25.00 ,93010,,,,,,,,,
HOSPITALIST TLELMETRY INTERPETATION,$25.00 ,93042,,,,,,,,,
HOSPITALIST BREIF,$62.62 ,99212,,,,,,,,,
HOSPITALIST EXPANDED,$84.84 ,99213,,,,,,,,,
HOSPITALIST DETAILED,$135.34 ,99214,,,,,,,,,
HOSPITALIST OBS CARE- DISCHARGE,$103.42 ,99217,,,,,,,,,
HOSPITALIST OBS INITIAL CARE-LOW,$97.34 ,99218,,,,,,,,,
HOSPITALIST OBS INITIAL CARE-MOD,$164.26 ,99219,,,,,,,,,
HOSPITALIST OBS INITIAL CARE-HIGH,$229.15 ,99220,,,,,,,,,
HOSPITALIST INITIAL CARE-LOW,$99.36 ,99221,,,,,,,,,
HOSPITALIST INITIAL CARE-MOD,$164.26 ,99222,,,,,,,,,
HOSPITALIST INITIAL CARE-HIGH,$229.15 ,99223,,,,,,,,,
HOSPITALIST OBS SUBSEQUENT CARE- LOW,$45.00 ,99224,,,,,,,,,
HOSPITALIST OBS SUBSEQUENT CARE MOD,$71.67 ,99225,,,,,,,,,
HOSPITALIST OBS SUBSEQUENT CARE HIGH,$107.18 ,99226,,,,,,,,,
HOSPITALIST SUBSEQUENT CARE-LOW,$48.67 ,99231,,,,,,,,,
HOSPITALIST SUBSEQUENT CARE-MOD,$81.08 ,99232,,,,,,,,,
HOSPITALIST SUBSEQUENT CARE-HIGH,$115.14 ,99233,,,,,,,,,
HOSPITALIST ADMIT & DISCHARGE SAME -LOW,$196.62 ,99234,,,,,,,,,
HOSPITALIST ADMIT & DISCHARGE SAME - MOD,$259.46 ,99235,,,,,,,,,
HOSPITALIST ADMIT & DISCHARGE SAME -HIGH,$324.32 ,99236,,,,,,,,,
HOSPITALIST DISCHARGE DAY MGMT -30 MIN,$103.20 ,99238,,,,,,,,,
HOSPITALIST DISCHARGE DAY MGMT > 30 MIN,$139.38 ,99239,,,,,,,,,
HOSPITALIST LOW,$40.00 ,99281,,,,,,,,,
HOSPITALIST EXPANDED LOW MED,$60.00 ,99282,,,,,,,,,
HOSPITALIST EXPANDED MOD MED,$90.00 ,99283,,,,,,,,,
HOSPITALIST ER DETAILED,$145.00 ,99284,,,,,,,,,
HOSPITALIST COMPREHNSIVE,$207.00 ,99285,,,,,,,,,
HOSPITALIST CRITICAL,$250.00 ,99291,,,,,,,,,
HOSPITALIST CRITICAL ECH 30 MIN,$125.00 ,99292,,,,,,,,,
CARBAMAZEPONE(TEGRETOL) SERUM NH,$20.65 ,80156,,,,,,,,,
ANCILLARY URINALYSIS,$24.25 ,81003,,,,,,,,,
ANCILLARY PREGNANCY TEST (URINE),$35.75 ,81025,,,,,,,,,
"ANCILLARY BLOOD, OCCULT FECES",$25.80 ,82272,,,,,,,,,
ANCILLARY GLUCOSE GLUCOMETER,$22.00 ,82962,,,,,,,,,
ANCILLARYHELICOBACTER PYLORI BREATH TEST,$140.00 ,83013,,,,,,,,,
ANCILLARY HELICOBACTER PYLORI DRUG ADMIN,$25.00 ,83014,,,,,,,,,
ANCILLARY HEMOGLOBIN(HGB),$25.63 ,85018,,,,,,,,,
TB SKIN TEST,$22.00 ,86580,,,,,,,,,
ANCILLARY INFLUENZA DIRECT IMMUNOASSAY,$176.00 ,87804,,,,,,,,,
ANCILLARY STREP A SCREEN,$47.29 ,87880,,,,,,,,,
.BLOOD COLLECTION FEE NH,$3.00 ,36415,,,,,,,,,
BLOOD COLLECTION FEE,$11.97 ,36415,,,,,,,,,
BB ADMINSTRATION OF BLOOD PRODUCT,$516.43 ,36430,,,,,,,,,
ADMINSTRATION OF BLOOD PRODUCT,$676.31 ,36430,,,,,,,,,
.ARTERIAL PUNCTURE NH,$29.56 ,36600,,,,,,,,,
.ARTERIAL PUNCTURE,$84.75 ,36600,,,,,,,,,
.BASIC METABOLIC PAN NH,$11.89 ,80048,,,,,,,,,
BASIC METABOLIC PAN ISTAT,$115.59 ,80048,,,,,,,,,
BASIC METABOLIC PAN,$115.59 ,80048,,,,,,,,,
GEN HEALTH PANEL,$242.00 ,80050,,,,,,,,,
ELECTROLYTE PANEL,$73.75 ,80051,,,,,,,,,
.COMP METABOLIC PAN NH,$14.85 ,80053,,,,,,,,,
COMP METABOLIC PAN,$160.87 ,80053,,,,,,,,,
.LIPID PANEL NH,$16.22 ,80061,,,,,,,,,
LIPID PANEL,$94.85 ,80061,,,,,,,,,
.RENAL PANEL NH,$12.22 ,80069,,,,,,,,,
RENAL PANEL,$117.75 ,80069,,,,,,,,,
.HEPATITIS ABC PANEL NH,$62.79 ,80074,,,,,,,,,
HEPATITIS ABC PANEL,$67.92 ,80074,,,,,,,,,
.HEPATIC FUNCTION PANEL NH,$11.48 ,80076,,,,,,,,,
HEPATIC FUNCTION PANEL,$111.94 ,80076,,,,,,,,,
AMPHETAMINE,$50.49 ,80100,,,,,,,,,
THC,$200.00 ,80100,,,,,,,,,
COCAINE,$200.00 ,80100,,,,,,,,,
BARBITURATE,$200.00 ,80100,,,,,,,,,
OPIATE,$200.00 ,80100,,,,,,,,,
PCP,$200.00 ,80100,,,,,,,,,
BARBITIURATE CONFIRMATION,$50.49 ,80102,,,,,,,,,
OPIATE CONFIRMATION,$50.49 ,80102,,,,,,,,,
PCP CONFIRMATION,$50.49 ,80102,,,,,,,,,
COCAINE CONFIRMATION,$50.49 ,80102,,,,,,,,,
"THC CONFIRMATION, URINE",$90.25 ,80102,,,,,,,,,
AMPHETAMINE CONFIRMATION,$200.00 ,80102,,,,,,,,,
AMIKACIN PEAK,$36.15 ,80150,,,,,,,,,
AMIKACIN TROUGH,$36.15 ,80150,,,,,,,,,
AMITRIPTYLINE,$75.50 ,80152,,,,,,,,,
ALPRAZOLAM,$124.00 ,80154,,,,,,,,,
CARBAMAZEPINE(TEGRETOL) SERUM.LC,$34.70 ,80156,,,,,,,,,
.TEGRETOL/CARBAMAZEPINE,$37.50 ,80156,,,,,,,,,
CYCLOSPORINE LC,$64.83 ,80158,,,,,,,,,
DIGOXIN NH,$18.82 ,80162,,,,,,,,,
DIGOXIN RANDOM SERUM LAB CORP,$35.33 ,80162,,,,,,,,,
DIGOXIN,$35.33 ,80162,,,,,,,,,
DIGOXIN SERUM LAB CORP,$81.22 ,80162,,,,,,,,,
.VALPROIC ACID NH,$19.34 ,80164,,,,,,,,,
.VALPROIC ACID LC,$20.37 ,80164,,,,,,,,,
VALPROIC ACID,$71.54 ,80164,,,,,,,,,
ZARONTIN,$60.25 ,80168,,,,,,,,,
.GENTAMICIN PEAK NH,$23.41 ,80170,,,,,,,,,
GENTAMICIN PEAK LC,$42.06 ,80170,,,,,,,,,
GENTAMICIN TROUGH LC,$42.06 ,80170,,,,,,,,,
GENTAMICIN RANDOM,$81.68 ,80170,,,,,,,,,
GENTAMICIN PEAK,$81.68 ,80170,,,,,,,,,
GENTAMICIN TROUGH,$81.68 ,80170,,,,,,,,,
"LAMOTRIGINE, SERUM LC",$90.00 ,80175,,,,,,,,,
LITHIUM LEVEL,$59.17 ,80178,,,,,,,,,
NORTRIPTYLINE,$99.00 ,80182,,,,,,,,,
PHENOBARBITAL LC NH,$16.23 ,80184,,,,,,,,,
PHENOBARBITAL LC,$29.31 ,80184,,,,,,,,,
.PHENOBARBITAL,$73.50 ,80184,,,,,,,,,
.DILANTIN (PHENYTOIN) NH,$18.93 ,80185,,,,,,,,,
PHENYTOIN LC,$28.27 ,80185,,,,,,,,,
DILANTIN (PHENYTOIN),$45.35 ,80185,,,,,,,,,
PRIMIDONE,$68.00 ,80188,,,,,,,,,
PROCAINAMIDE,$68.75 ,80190,,,,,,,,,
PROCANINAMIDE+NAPA,$68.75 ,80192,,,,,,,,,
PROCANINAMIDE+NAPA,$68.75 ,80192,,,,,,,,,
QUINIDINE,$66.00 ,80194,,,,,,,,,
TACROLIMUS (711034) IMMUNOASSAY LC,$164.80 ,80197,,,,,,,,,
TACROLIMUS/PROGRAF LC,$164.90 ,80197,,,,,,,,,
THEOPHYLLINE (AMINOP,$44.31 ,80198,,,,,,,,,
TOBRAMYCIN,$74.75 ,80200,,,,,,,,,
TOPIRAMATE,$139.00 ,80201,,,,,,,,,
.VANCOMYCIN TROUGH NH,$19.20 ,80202,,,,,,,,,
.VANCOMYCIN PEAK NH,$19.20 ,80202,,,,,,,,,
VANCOMYCIN RANDOM,$81.00 ,80202,,,,,,,,,
VANCOMYCIN TROUGH,$81.00 ,80202,,,,,,,,,
VANCOMYCIN PEAK,$81.00 ,80202,,,,,,,,,
AMIODARONE NH,$37.50 ,80299,,,,,,,,,
AMIODARONE,$61.07 ,80299,,,,,,,,,
OXCARBAZEPINE,$114.19 ,80299,,,,,,,,,
NEURONTIN,$165.00 ,80299,,,,,,,,,
CLONIDINE LEVEL,$166.25 ,80299,,,,,,,,,
.ONE STEP URINE DRUG SCREEN E911,$25.00 ,80305,,,,,,,,,
ONE STEP URINE DRUG SCREEN,$170.50 ,80305,,,,,,,,,
.MEDICAL DRUG SCREEN NH,$25.00 ,80306,,,,,,,,,
MEDICAL DRUG SCREEN,$170.50 ,80306,,,,,,,,,
PARR'S DRUG SCREEN 5 PANEL,$30.00 ,80307,,,,,,,,,
EMPLOYEE COC DRUG SCREEN,$36.50 ,80307,,,,,,,,,
SALICYLATE,$71.50 ,80307,,,,,,,,,
DRUG SCREEN 7 PANEL,$84.75 ,80307,,,,,,,,,
DRUG SCREEN 5 PANEL,$84.75 ,80307,,,,,,,,,
ACETAMINOPHEN,$99.27 ,80307,,,,,,,,,
.DRUG SCREEN 5 PANEL E911,$100.00 ,80307,,,,,,,,,
ALCOHOL,$103.90 ,80307,,,,,,,,,
"ETHANOL, WHOLE BLOOD LC",$34.20 ,80320,,,,,,,,,
".NICOTINE & METABOLITE, QNT,PLASMA,WHOL",$80.00 ,80323,,,,,,,,,
"NICOTINE & METABOLITE, QUANT, LC",$80.00 ,80323,,,,,,,,,
LACOSAMIDE NH,$178.00 ,80339,,,,,,,,,
LACOSAMIDE,$286.64 ,80339,,,,,,,,,
BENZODIAZEPINE CONFIRMATION,$50.49 ,80346,,,,,,,,,
DEXAMETHASONE,$76.00 ,80375,,,,,,,,,
.URINALYSIS WITH MICROSCOPY ROUTINE NH,$4.45 ,81001,,,,,,,,,
"URINALYSIS WITH MICROSCOPY, ROUTINE",$30.25 ,81001,,,,,,,,,
URINALYSIS W/O MICRO,$24.25 ,81003,,,,,,,,,
SINGLE COMP URINE,$20.00 ,81005,,,,,,,,,
URINALYSIS MICROSCOPIC ONLY,$15.50 ,81015,,,,,,,,,
PREGNANCY TEST (URINE),$35.75 ,81025,,,,,,,,,
URINE VOLUME MEAS,$11.00 ,81050,,,,,,,,,
"BRCA2 TARGETED ANALYSIS, LC",$417.00 ,81217,,,,,,,,,
HEREDITARY HEMOCHROMATOSIS DNA,$255.00 ,81256,,,,,,,,,
HLA B27,$48.60 ,81374,,,,,,,,,
ACETONE/KETONE SERUM,$28.97 ,82009,,,,,,,,,
ACTH,$195.00 ,82024,,,,,,,,,
.ALBUMIN NH,$7.02 ,82040,,,,,,,,,
ALBUMIN,$52.21 ,82040,,,,,,,,,
MICROALBUMIN,$78.00 ,82043,,,,,,,,,
.ETHANOL BLOOD LABCORP,$103.90 ,82055,,,,,,,,,
ALDOLASE,$29.71 ,82085,,,,,,,,,
"ALDOSTERONE,SERUM,LCMS",$185.25 ,82088,,,,,,,,,
ALPHA ANTITRYPSIN LEVEL,$87.00 ,82103,,,,,,,,,
AFP SERUM TUMOR MARKER SERIAL,$108.00 ,82105,,,,,,,,,
AFP SERUM TUMOR MARKER,$185.90 ,82105,,,,,,,,,
AMINOLEVULINIC ACID DELTA 24 HOUR URINE,$185.90 ,82135,,,,,,,,,
"AMINO ACID PROFILE, QUANT, PLASMA",$421.01 ,82139,,,,,,,,,
AMMONIA LEVEL NH,$19.99 ,82140,,,,,,,,,
AMMONIA LEVEL,$69.25 ,82140,,,,,,,,,
"AMYLASE,BODY FLUID",$16.29 ,82150,,,,,,,,,
AMYLASE SERUM LC,$66.18 ,82150,,,,,,,,,
AMYLASE,$66.18 ,82150,,,,,,,,,
"ANDROSTENEDION, LCMS",$184.00 ,82157,,,,,,,,,
