Hospital Name:  St Elizabeth Community Hospital,,,,,,,
OSHPD Facility No: 106521041,,,,,,,
"Effective Date of Charges: June 1, 2018",,,,,,,
,,,,,,,
"CDM
Number",Billing Description (25 char), 999 Price  (Default) ,Zero Price Indicator,,,,
0061200,ROOM ICU GENERAL         ," 9,010.00 ",,,,,
0061408,ROOM ICU GENERAL         ," 9,010.00 ",,,,,
0062802,ROOM ICU PEDIATRIC       ," 5,244.00 ",,,,,
0069005,ROOM ICU GENERAL         ," 9,010.00 ",,,,,
0071001,ROOM INTER ICU/TELE      ," 5,244.00 ",,,,,
0071118,ROOM INTER ICU/TELE      ," 5,244.00 ",,,,,
0071126,ROOM INTER ICU/TELE      ," 5,244.00 ",,,,,
0071209,ROOM INTER ICU/TELE      ," 5,244.00 ",,,,,
0071407,ROOM INTER ICU/TELE      ," 5,244.00 ",,,,,
0071506,ROOM INTER ICU/TELE      ," 5,244.00 ",,,,,
0071605,ROOM INTER ICU/TELE      ," 5,244.00 ",,,,,
0071803,ROOM INTER CCU/TELE      ," 5,244.00 ",,,,,
0072801,ROOM INTER ICU/TELE      ," 5,244.00 ",,,,,
0079004,ROOM INTER ICU/TELE      ," 5,244.00 ",,,,,
0082800,ROOM SEMI OB OFF UNIT    ," 3,437.00 ",,,,,
0084004,ROOM SEMI PVT OB         ," 3,437.00 ",,,,,
0091116,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0091504,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0091603,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0091801,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0091900,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0091918,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0092007,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0092205,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0092403,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0092601,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0092809,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0094003,ROOM SEMI OB HI RSK      ," 3,437.00 ",,,,,
0099002,ROOM ACUTE ADMINISTRATIVE," 3,437.00 ",,,,,
0100040,CARDIOVERSION ELCTIVE EXT, 0.09 ,,,,,
0100470,OBSERVATION PER HOUR     , 0.09 ,,,,,
0100490,CATH DIALYSIS ST 115X-150, 464.00 ,,,,,
0100500,CATH INFUSION 195X-254   , 786.00 ,,,,,
0100510,CATH OTHER 17X-23        , 70.00 ,,,,,
0100520,CLOSURE IMPLNT 30X-39    , 121.00 ,,,,,
0100530,GUIDEWIRE 331X-431       ," 1,334.00 ",,,,,
0100540,INST/SUPP NONST 51X-67   , 207.00 ,,,,,
0100550,INST/SUPP STERL 13X-17   , 53.00 ,,,,,
0100560,INST/SUPP STERL 17X-23   , 70.00 ,,,,,
0100570,INST/SUPP STERL 23X-30   , 93.00 ,,,,,
0100580,INST/SUPP STERL 30X-39   , 121.00 ,,,,,
0100600,TRANSFUS BLD/BLD COMP    , 0.09 ,,,,,
0100640,INF IV HYDRA INIT 31-60MN, 0.09 ,,,,,
0100650,INF IV HYDRAT EA ADD HR  , 0.09 ,,,,,
0100670,DIRECT ADMISSION FOR OBSV, 0.09 ,,,,,
0100727,DIRECT ADMISSION FOR OBSV, 688.00 ,,,,,
0100735,OBSERVATION PER HOUR     , 157.00 ,,,,,
0100743,TRANSFUS BLD/BLD COMP    , 861.00 ,,,,,
0100818,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,,,
0100826,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,,,
0100834,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,,,
0100842,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,,,
0100859,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,,,
0100867,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,,,
0100875,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,,,
0100883,INS/REPL/DECL NONTUN/PIC , 0.09 ,,,,,
0100891,INTRO SHTH OTH 30X-39    , 0.09 ,,,,,
0100909,CATH INFUSION 150X-195   , 0.09 ,,,,,
0100910,APHERESIS PLASM THERAPEUT, 0.09 ,,,,,
0100911,BLOOD COLLECTION PICC    , 0.09 ,,,,,
0100914,CHEMO SQ/IM NONHORMONAL  , 0.09 ,,,,,
0100915,CHEMO SQ/IM HORMONAL     , 0.09 ,,,,,
0100916,CHEMO INF INIT 1ST HR    , 0.09 ,,,,,
0100917,CHEMO INF EA ADD HR      , 0.09 ,,,,,
0100918,PUMP PORTABL REFILL/MAINT, 0.09 ,,,,,
0100919,PUMP IMPLANTD REFIL/MAINT, 0.09 ,,,,,
0100920,IRRIG IMPLANTED VEN ACCES, 0.09 ,,,,,
0100921,INF TX/DX CONCURRENT     , 0.09 ,,,,,
0100922,BLOOD COLLECTION VAD     , 0.09 ,,,,,
0100923,INSERT CATH BLADDER      , 0.09 ,,,,,
0100924,INF IV TX/DX PUMP PROLONG, 0.09 ,,,,,
0100925,CATH FOR SPECIMEN COLLECT, 0.09 ,,,,,
0109992,D10%W 500ML INJ          , 54.00 ,,,,,
0109993,D5% 0.2 NACL 1000ML INJ  , 54.00 ,,,,,
0109994,D5% 0.45 NACL 1000ML INJ , 54.00 ,,,,,
0109995,D5% 0.45 NACL 500ML INJ  , 54.00 ,,,,,
0109996,D5% 0.9 NACL 1000ML INJ  , 54.00 ,,,,,
0109997,D5% 1000ML INJ           , 54.00 ,,,,,
0109998,D5% 250ML INJ            , 54.00 ,,,,,
0109999,D5% LR 1000ML INJ        , 54.00 ,,,,,
0110000,LACTATED RINGERS 1L INJ  , 54.00 ,,,,,
0110001,NACL 0.45% 1000ML INJ    , 54.00 ,,,,,
0110002,NACL 0.9% 1000ML INJ     , 54.00 ,,,,,
0110003,NACL 0.9% 250ML INJ      , 54.00 ,,,,,
0110004,NACL 0.9% 500ML INJ      , 54.00 ,,,,,
0110005,INTRO NDL/INTRACATH VEIN , 0.09 ,,,,,
0200030,SPECIFIC GRAVITY UR POC  , 25.00 ,,,,,
0200070,TRANSFUS BLD/BLD COMP    , 941.00 ,,,,,
0200090,CATH INFUSION 23X-30     , 93.00 ,,,,,
0200100,CATH OTHER 10-13         , 40.00 ,,,,,
0200110,INST/SUPP STERL 10-13    , 40.00 ,,,,,
0200120,INST/SUPP STERL 39X-51   , 158.00 ,,,,,
0200130,KIT/PACK DISP 88X-115    , 355.00 ,,,,,
0200163,CAR SEAT/BED TEST 60MIN  , 90.00 ,,,,,
0200164,CAR SEAT/BED TEST ADD 30 , 45.00 ,,,,,
0200165,D10%W 250ML INJ          , 54.00 ,,,,,
0200166,D5% 250ML INJ            , 54.00 ,,,,,
0200167,NACL 0.9% 250ML INJ      , 54.00 ,,,,,
0300030,OBSERVATION PER HOUR     , 157.00 ,,,,,
0300080,TRANSFUS BLD/BLD COMP    , 861.00 ,,,,,
0300090,DIRECT ADMISSION FOR OBSV, 688.00 ,,,,,
0300172,NON OBV OIB HR NC        , -   ,1,,,,
0362398,D10%W 500ML INJ          , 54.00 ,,,,,
0362399,D5% 0.2 NACL 1000ML INJ  , 54.00 ,,,,,
0362400,D5% 0.45 NACL 1000ML INJ , 54.00 ,,,,,
0362401,D5% 0.9 NACL 1000ML INJ  , 54.00 ,,,,,
0362402,D5% 0.9 NACL 500ML INJ   , 54.00 ,,,,,
0362403,D5% 1000ML INJ           , 54.00 ,,,,,
0362404,D5% LR 1000ML INJ        , 54.00 ,,,,,
0362405,LACTATED RINGERS 1L INJ  , 54.00 ,,,,,
0362406,NACL 0.45% 1000ML INJ    , 54.00 ,,,,,
0362407,NACL 0.9% 1000ML INJ     , 54.00 ,,,,,
0362408,NACL 0.9% 250ML INJ      , 54.00 ,,,,,
0362409,NACL 0.9% 500ML INJ      , 54.00 ,,,,,
0362410,DIRECT ADMISSION FOR OBSV, 652.00 ,,,,,
0362411,NON OBV OIB HR NC        , -   ,1,,,,
0362412,PHLEBOTOMY THERAPEUT     , 341.00 ,,,,,
0362413,TRANSFUS BLD/BLD COMP    , 861.00 ,,,,,
0362414,VENIPUNCTURE NON LAB     , 22.00 ,,,,,
0362415,CATH FOR SPECIMEN COLLECT, 125.00 ,,,,,
0362416,INF IV HYDRA INIT 31-60MN," 2,170.00 ",,,,,
0362417,INF IV HYDRAT EA ADD HR  , 570.00 ,,,,,
0362418,INF IV TX/DX PUMP PROLONG, 401.00 ,,,,,
0362419,INF TX/DX CONCURRENT     ," 1,547.00 ",,,,,
0362420,INF TX/DX/PRO EA ADD HR  , 705.00 ,,,,,
0362421,INF TX/DX/PRO INIT 1ST HR," 2,577.00 ",,,,,
0362422,INF TX/DX/PRO SEQ 1HR    ," 1,112.00 ",,,,,
0362423,INJ TX/DX/PRO INTRA-ARTER, 382.00 ,,,,,
0362424,INJ TX/DX/PRO IV PUSH SEQ, 382.00 ,,,,,
0362425,INJ TX/DX/PRO IVPUSH INIT, 382.00 ,,,,,
0362426,INJ TX/DX/PROPH SUBQ/IM  , 382.00 ,,,,,
0362427,INJ TX/PRO/DX IVP SME DRG, 382.00 ,,,,,
0362428,INS/REPL/DECL NONTUN/PIC ," 2,035.00 ",,,,,
0362429,INSERT CATH BLADDER      , 319.00 ,,,,,
0362430,IRRIG IMPLANTED VEN ACCES, 323.00 ,,,,,
0362431,OBSERVATION PER HOUR     , 143.00 ,,,,,
0400080,INJ TX/DX/PROPH SUBQ/IM  , 407.00 ,,,,,
0400100,OBSERVATION PER HOUR     , 157.00 ,,,,,
0400110,OBSERVATION PER HOUR     , 157.00 ,,,,,
0400120,OBSERVATION PER HOUR     , 157.00 ,,,,,
0400140,OBSERVATION PER HOUR     , 157.00 ,,,,,
0400160,TRANSFUS BLD/BLD COMP    , 861.00 ,,,,,
0400170,TRANSFUS BLD/BLD COMP    , 595.00 ,,,,,
0400180,TRANSFUS BLD/BLD COMP    , 861.00 ,,,,,
0400200,CIRCUMCISION             , 812.00 ,,,,,
0400210,INF IV HYDRA INIT 31-60MN," 2,311.00 ",,,,,
0400220,INF IV HYDRAT EA ADD HR  , 607.00 ,,,,,
0400230,INF TX/DX/PRO INIT 1ST HR," 2,745.00 ",,,,,
0400240,INF TX/DX/PRO EA ADD HR  , 751.00 ,,,,,
0400250,INJ TX/DX/PRO IVPUSH INIT, 407.00 ,,,,,
0400260,INJ TX/DX/PRO IV PUSH SEQ, 407.00 ,,,,,
0400270,CHEMO IV PUSH INITIAL    ," 1,230.00 ",,,,,
0400280,CHEMO IV PUSH EA ADD     , 687.00 ,,,,,
0400290,CHEMO INF INIT 1ST HR    ," 2,196.00 ",,,,,
0400300,CHEMO INF EA ADD HR      , 461.00 ,,,,,
0400320,BLOOD COLLECTION VAD     , 339.00 ,,,,,
0400330,IRRIG IMPLANTED VEN ACCES, 323.00 ,,,,,
0400350,VENIPUNCTURE NON LAB     , 23.00 ,,,,,
0400450,DIRECT ADMISSION FOR OBSV, 688.00 ,,,,,
0400460,DIRECT ADMISSION FOR OBSV, 688.00 ,,,,,
0400480,DIRECT ADMISSION FOR OBSV, 688.00 ,,,,,
0400490,DIRECT ADMISSION FOR OBSV, 688.00 ,,,,,
0400500,INS/REPL/DECL NONTUN/PIC ," 2,035.00 ",,,,,
0400580,INF IV HYDRA INIT 31-60MN," 2,311.00 ",,,,,
0400590,INF TX/DX/PRO INIT 1ST HR," 2,745.00 ",,,,,
0400600,INF TX/DX/PRO SEQ 1HR    ," 1,184.00 ",,,,,
0400610,INF IV HYDRAT EA ADD HR  , 607.00 ,,,,,
0400620,INF TX/DX/PRO EA ADD HR  , 751.00 ,,,,,
0400630,INJ TX/DX/PROPH SUBQ/IM  , 407.00 ,,,,,
0400640,INJ TX/DX/PRO IVPUSH INIT, 407.00 ,,,,,
0400650,INJ TX/DX/PRO IV PUSH SEQ, 407.00 ,,,,,
0400660,CARDIOVERSION ELCTIVE EXT," 2,491.00 ",,,,,
0400670,GLUCOSE BLD BY DEVICE POC, 18.00 ,,,,,
0400680,VENIPUNCTURE NON LAB     , 23.00 ,,,,,
0400690,CATH FOR SPECIMEN COLLECT, 131.00 ,,,,,
0400700,INSERT CATH BLADDER      , 319.00 ,,,,,
0400710,INJ TX/PRO/DX IVP SME DRG, 407.00 ,,,,,
0400730,LUMBAR PUNCTURE DIAGNOSTC," 1,677.00 ",,,,,
0400780,TRANSFUS BLD/BLD COMP    , 595.00 ,,,,,
0400900,CATH FOR SPECIMEN COLLECT, 398.00 ,,,,,
0400910,CHEMO INF EA ADD HR      , 461.00 ,,,,,
0400920,CHEMO INF EA SEQ 1ST HR  ," 2,196.00 ",,,,,
0400930,CHEMO INF INIT 1ST HR    ," 2,196.00 ",,,,,
0400940,CHEMO SQ/IM HORMONAL     , 431.00 ,,,,,
0400950,CHEMO SQ/IM NONHORMONAL  , 998.00 ,,,,,
0400960,GLUCOSE BLD BY DEVICE POC, 18.00 ,,,,,
0400970,INF IV HYDRA INIT 31-60MN," 2,311.00 ",,,,,
0400980,INF IV HYDRAT EA ADD HR  , 607.00 ,,,,,
0400990,INF IV TX/DX PUMP PROLONG, 401.00 ,,,,,
0401000,INF TX/DX CONCURRENT     ," 1,702.00 ",,,,,
0401010,INF TX/DX/PRO EA ADD HR  , 751.00 ,,,,,
0401020,INF TX/DX/PRO INIT 1ST HR," 2,745.00 ",,,,,
0401030,INF TX/DX/PRO SEQ 1HR    ," 1,184.00 ",,,,,
0401040,INJ TX/DX/PRO INTRA-ARTER, 407.00 ,,,,,
0401050,INJ TX/DX/PRO IV PUSH SEQ, 407.00 ,,,,,
0401060,INJ TX/DX/PRO IVPUSH INIT, 407.00 ,,,,,
0401070,INJ TX/DX/PROPH SUBQ/IM  , 407.00 ,,,,,
0401080,INJ TX/PRO/DX IVP SME DRG, 407.00 ,,,,,
0401090,INS/REPL/DECL NONTUN/PIC ," 2,035.00 ",,,,,
0401100,INSERT CATH BLADDER      , 319.00 ,,,,,
0401110,IRRIG IMPLANTED VEN ACCES, 323.00 ,,,,,
0401130,OBSERVATION PER HOUR     , 157.00 ,,,,,
0401140,DIRECT ADMISSION FOR OBSV, 688.00 ,,,,,
0401150,PACU COMPLEX 1ST 30MIN   ," 1,028.00 ",,,,,
0401160,PACU COMPLEX ADDL 15MIN  , 359.00 ,,,,,
0401170,PACU STANDARD 1ST 30MIN  , 791.00 ,,,,,
0401180,PACU STANDARD ADDL 15MIN , 277.00 ,,,,,
0401190,PHLEBOTOMY THERAPEUT     , 393.00 ,,,,,
0401200,PUMP IMPLANTD REFIL/MAINT, 544.00 ,,,,,
0401210,PUMP PORTABL REFILL/MAINT, 544.00 ,,,,,
0401211,BLOOD COLLECTION PICC    , 376.00 ,,,,,
0401212,BLOOD COLLECTION PICC    , 376.00 ,,,,,
0401220,TRANSFUS BLD/BLD COMP    , 861.00 ,,,,,
0412305,INF IV TX/DX PUMP PROLONG, 401.00 ,,,,,
0412306,APHERESIS PLASM THERAPEUT," 3,054.00 ",,,,,
0412307,CHEMO INF EA SEQ 1ST HR  ," 2,196.00 ",,,,,
0412312,INTRO SHTH OTH 30X-39    , 121.00 ,,,,,
0412320,CATH INFUSION 150X-195   , 604.00 ,,,,,
0412326,CATH FOR SPECIMEN COLLECT, 0.09 ,,,,,
0412327,CHEMO INF EA ADD HR      , 0.09 ,,,,,
0412328,CHEMO INF EA SEQ 1ST HR  , 0.09 ,,,,,
0412329,CHEMO INF INIT 1ST HR    , 0.09 ,,,,,
0412330,CHEMO SQ/IM HORMONAL     , 0.09 ,,,,,
0412331,CHEMO SQ/IM NONHORMONAL  , 0.09 ,,,,,
0412332,DIRECT ADMISSION FOR OBSV, 0.09 ,,,,,
0412333,GLUCOSE BLD BY DEVICE POC, 0.09 ,,,,,
0412334,INF IV HYDRA INIT 31-60MN, 0.09 ,,,,,
0412335,INF IV HYDRAT EA ADD HR  , 0.09 ,,,,,
0412336,INF IV TX/DX PUMP PROLONG, 0.09 ,,,,,
0412337,INF TX/DX CONCURRENT     , 0.09 ,,,,,
0412338,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,,,
0412339,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,,,
0412340,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,,,
0412341,INJ TX/DX/PRO INTRA-ARTER, 0.09 ,,,,,
0412342,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,,,
0412343,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,,,
0412344,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,,,
0412345,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,,,
0412346,INS/REPL/DECL NONTUN/PIC , 0.09 ,,,,,
0412347,INSERT CATH BLADDER      , 0.09 ,,,,,
0412348,IRRIG IMPLANTED VEN ACCES, 0.09 ,,,,,
0412350,NON OBV OIB HR NC        , 0.09 ,,,,,
0412351,OBSERVATION PER HOUR     , 0.09 ,,,,,
0412352,OUTPT IN A BED NC        , 0.09 ,,,,,
0412353,PACU COMPLEX 1ST 30MIN   , 0.09 ,,,,,
0412354,PACU COMPLEX ADDL 15MIN  , 0.09 ,,,,,
0412355,PACU STANDARD 1ST 30MIN  , 0.09 ,,,,,
0412356,PACU STANDARD ADDL 15MIN , 0.09 ,,,,,
0412357,PHLEBOTOMY THERAPEUT     , 0.09 ,,,,,
0412358,PUMP IMPLANTD REFIL/MAINT, 0.09 ,,,,,
0412359,PUMP PORTABL REFILL/MAINT, 0.09 ,,,,,
0412360,TRANSFUS BLD/BLD COMP    , 0.09 ,,,,,
0412361,VENIPUNCTURE NON LAB     , 0.09 ,,,,,
0412364,CHEMO SQ/IM NONHORMONAL  , 998.00 ,,,,,
0412365,CHEMO SQ/IM HORMONAL     , 431.00 ,,,,,
0412366,CHEMO INF INIT 1ST HR    ," 2,196.00 ",,,,,
0412367,CHEMO INF EA ADD HR      , 461.00 ,,,,,
0412368,PUMP PORTABL REFILL/MAINT, 544.00 ,,,,,
0412369,PUMP IMPLANTD REFIL/MAINT, 544.00 ,,,,,
0412370,IRRIG IMPLANTED VEN ACCES, 323.00 ,,,,,
0412371,INF TX/DX CONCURRENT     ," 1,702.00 ",,,,,
0412372,BLOOD COLLECTION VAD     , 339.00 ,,,,,
0412373,INS/REPL/DECL NONTUN/PIC ," 2,035.00 ",,,,,
0412374,NON OBV OIB HR NC        , -   ,1,,,,
0412375,NON OBV OIB HR NC        , -   ,1,,,,
0412378,NON OBV OIB HR NC        , -   ,1,,,,
0412381,NON OBV OIB HR NC        , -   ,1,,,,
0412384,NON OBV OIB HR NC        , -   ,1,,,,
0412385,NACL 0.9% 1000ML INJ     , 0.09 ,,,,,
0412386,NACL 0.9% 500ML INJ      , 0.09 ,,,,,
0412387,LACTATED RINGERS 1L INJ  , 0.09 ,,,,,
0412388,CAR SEAT/BED TEST 60MIN  , 90.00 ,,,,,
0412389,CAR SEAT/BED TEST ADD 30 , 45.00 ,,,,,
0412390,D10%W 500ML INJ          , 54.00 ,,,,,
0412391,D5% 0.45 NACL 1000ML INJ , 54.00 ,,,,,
0412392,D5% 0.9 NACL 1000ML INJ  , 54.00 ,,,,,
0412393,D5% 0.9 NACL 500ML INJ   , 54.00 ,,,,,
0412394,D5% 1000ML INJ           , 54.00 ,,,,,
0412395,D5% 250ML INJ            , 54.00 ,,,,,
0412396,D5% LR 1000ML INJ        , 54.00 ,,,,,
0412397,LACTATED RINGERS 1L INJ  , 54.00 ,,,,,
0412398,NACL 0.45% 1000ML INJ    , 54.00 ,,,,,
0412399,NACL 0.9% 1000ML INJ     , 54.00 ,,,,,
0412400,NACL 0.9% 250ML INJ      , 54.00 ,,,,,
0412401,NACL 0.9% 500ML INJ      , 54.00 ,,,,,
0412402,D5% 0.2 NACL 1000ML INJ  , 54.00 ,,,,,
0412403,D5% 0.45 NACL 1000ML INJ , 54.00 ,,,,,
0412404,D5% 0.9 NACL 1000ML INJ  , 54.00 ,,,,,
0412405,D5% 1000ML INJ           , 54.00 ,,,,,
0412406,D5% LR 1000ML INJ        , 54.00 ,,,,,
0412407,LACTATED RINGERS 1L INJ  , 54.00 ,,,,,
0412408,NACL 0.45% 1000ML INJ    , 54.00 ,,,,,
0412409,NACL 0.9% 1000ML INJ     , 54.00 ,,,,,
0412410,NACL 0.9% 250ML INJ      , 54.00 ,,,,,
0412411,NACL 0.9% 500ML INJ      , 54.00 ,,,,,
0412412,D5% 0.2 NACL 1000ML INJ  , 54.00 ,,,,,
0412413,D5% 0.45 NACL 1000ML INJ , 54.00 ,,,,,
0412414,D5% 0.45 NACL 500ML INJ  , 54.00 ,,,,,
0412415,D5% 0.9 NACL 1000ML INJ  , 54.00 ,,,,,
0412416,D5% 0.9 NACL 500ML INJ   , 54.00 ,,,,,
0412417,D5% 1000ML INJ           , 54.00 ,,,,,
0412418,D5% LR 1000ML INJ        , 54.00 ,,,,,
0412419,LACTATED RINGERS 1L INJ  , 54.00 ,,,,,
0412420,NACL 0.45% 1000ML INJ    , 54.00 ,,,,,
0412421,NACL 0.9% 1000ML INJ     , 54.00 ,,,,,
0412422,NACL 0.9% 250ML INJ      , 54.00 ,,,,,
0412423,NACL 0.9% 500ML INJ      , 54.00 ,,,,,
0412424,D5% 0.2 NACL 1000ML INJ  , 54.00 ,,,,,
0412425,D5% 0.45 NACL 1000ML INJ , 54.00 ,,,,,
0412426,D5% 0.9 NACL 1000ML INJ  , 54.00 ,,,,,
0412427,LACTATED RINGERS 1L INJ  , 54.00 ,,,,,
0412428,NACL 0.45% 1000ML INJ    , 54.00 ,,,,,
0412429,NACL 0.9% 1000ML INJ     , 54.00 ,,,,,
0412430,NACL 0.9% 250ML INJ      , 54.00 ,,,,,
0412431,NACL 0.9% 500ML INJ      , 54.00 ,,,,,
0412432,D10%W 250ML INJ          , 54.00 ,,,,,
0412433,D5% 0.45 NACL 1000ML INJ , 54.00 ,,,,,
0412434,D5% 0.45 NACL 500ML INJ  , 54.00 ,,,,,
0412435,D5% 0.9 NACL 500ML INJ   , 54.00 ,,,,,
0412436,D5% 250ML INJ            , 54.00 ,,,,,
0412437,D5% LR 1000ML INJ        , 54.00 ,,,,,
0412438,LACTATED RINGERS 1L INJ  , 54.00 ,,,,,
0412439,NACL 0.9% 1000ML INJ     , 54.00 ,,,,,
0412440,NACL 0.9% 250ML INJ      , 54.00 ,,,,,
0412441,NACL 0.9% 500ML INJ      , 54.00 ,,,,,
0412442,INTRO NDL/INTRACATH VEIN ," 1,900.00 ",,,,,
0600000,C-SECT L&D CT EA ADD BABY, -   ,2,,,,
0600001,DELIVERY C-SECT L&D NC   , -   ,1,,,,
0600002,OUTPATIENT PROCEDURE NC  , -   ,1,,,,
0600003,DELIVERY C-SECT IN OR NC , -   ,1,,,,
0600004,C-SECT OR CT EA ADD BABY , -   ,2,,,,
0600005,INPATIENT SURG L&D OR NC , -   ,1,,,,
0600006,INJ TX/DX/PROPH SUBQ/IM  , 407.00 ,,,,,
0600007,INF IV HYDRA INIT 31-60MN," 2,311.00 ",,,,,
0600008,INF IV HYDRAT EA ADD HR  , 607.00 ,,,,,
0600009,INF TX/DX/PRO INIT 1ST HR," 2,745.00 ",,,,,
0600010,INF TX/DX/PRO EA ADD HR  , 751.00 ,,,,,
0600011,INJ TX/DX/PRO IVPUSH INIT, 407.00 ,,,,,
0600012,INJ TX/DX/PRO IV PUSH SEQ, 407.00 ,,,,,
0600013,INF TX/DX CONCURRENT     ," 1,702.00 ",,,,,
0600014,INJ TX/PRO/DX IVP SME DRG, 407.00 ,,,,,
0600015,CATH FOR SPECIMEN COLLECT, 398.00 ,,,,,
0600016,VENIPUNCTURE NON LAB     , 23.00 ,,,,,
0600017,BILIRUBIN TOT TRANSCUT   , 41.00 ,,,,,
0600018,GLUCOSE BLD BY DEVICE POC, 18.00 ,,,,,
0600019,SURGERY LEVEL 1 1ST 30MIN," 3,975.00 ",,,,,
0600020,SURGERY LEVEL 1 ADD 15MIN," 1,385.00 ",,,,,
0600021,SURGERY LEVEL 2 1ST 30MIN," 4,818.00 ",,,,,
0600022,SURGERY LEVEL 2 ADD 15MIN," 1,679.00 ",,,,,
0600023,SURGERY LEVEL 3 1ST 30MIN," 5,839.00 ",,,,,
0600024,SURGERY LEVEL 3 ADD 15MIN," 2,034.00 ",,,,,
0600025,EPIDURAL PLACE VAG DELIV ," 1,446.00 ",,,,,
