83894,$67.00 
88187 FLOW CYTOMETRY 2-8MKS,$151.00 
88189 FLOW CYTO-16MKS CHRG ONLY,$752.00 
88199 CYTOPATH PROCED-CHRG ONLY,$63.00 
88230 TISSUE CULT-CHRG ONLY,$628.00 
88230-TISSUE CULTURE-CHRG ONLY,$628.00 
88233 SOLID TISSUE BI-CHRG ONLY,$300.00 
88237 T.CULT-BONE MAR-CHRG ONLY,$300.00 
88239 SOLID TUMOR-CHRG ONLY,$775.00 
88262-COUNT 15-20CELLS-CHRG ONLY,"$1,338.00 "
88264 ANALYZE 20-25-CHRG ONLY,$309.00 
88269 CHROMO ANALY-CHRG ONLY,$872.00 
88271 FISH MOLEC.CYTO-CHRG ONLY,$145.00 
88274 INTERPHASE IN SITU-CHRG ONL,$236.00 
88275 INTERPH.100-300-CHRG ONLY,$210.00 
88280 ADDTL KARYO-CHRG ONLY,$293.00 
88291 FISH MDS-ESOTER-CHRG ONLY,$300.00 
88291 MOLEC. CYTO-CHRG ONLY,$300.00 
88291-CYTOGENETICS-CHRG ONLY,$300.00 
88300 SURGICAL GROSS-CHRG ONLY,$63.00 
88302 TISSUE EXAM PAT-CHRG ONLY,$101.00 
88304 TISSUE EXAM PAT-CHRG ONLY,$131.00 
88305 TISSUE EXAM PAT. CHG ONLY,$145.00 
88305-TISSUE EXAM PAT-CHRG ONLY,$145.00 
88307 TISSUE EXAM PAT-CHRG ONLY,$193.00 
88309 TISSUE EXAM PAT-CHRG ONLY,$268.00 
88311 DECALCIFY TISSU-CHRG ONLY,$63.00 
88312 SPECIAL STAINS-CHRG ONLY,$107.00 
88313 SPECIAL STAINS CHG ONLY,$107.00 
88313 SPECIAL STAINS-CHRG ONLY,$107.00 
88313-GROUP II STAINS (FOR 6875),$107.00 
88314 HISTOCHEM STAIN CHG ONLY,$67.00 
88314 HISTOCHEM STAIN-CHRG ONLY,$67.00 
88319 ENZYME HIST CHE-CHRG ONLY,$666.00 
88319 ENZYME HISTOCHEM CHG ONLY,$666.00 
88319-HISTO OR CYTO ID (FOR 6875),$666.00 
88321 MICROSLIDE CONS-CHRG ONLY,$166.00 
88323 MICROSLIDE CONS-CHRG ONLY,$666.00 
88323-CONSULT & REPORT (FOR 6875),$666.00 
88329 PATHOLOGY CONSULT IN SURGER,$63.00 
88331 PATH CONSULT-SU CHRG ONLY,$147.00 
88332 PATH CONSULT SU-CHRG ONLY,$87.00 
88342 IMMUNOCYTOCHEMISTRY,$331.00 
88346 DIRECT IMMUNO. STUDY,$377.00 
88348 ELECTRON MICROSCOPY,$782.00 
88360 TUMOR IMMU,$79.00 
88361-USING COMPUTER-ASSTD TECHNO,$630.00 
88367-MORPHOMETRIC ANALYSIS,$790.00 
8TH UNIT CROSSMATCH AUTO WB,$82.00 
8TH UNIT CROSSMATCH DIRECTED RBC,$82.00 
8TH UNIT CROSSMATCH DIRECTED SDPL, $-   
8TH UNIT CROSSMATCH LR-PLTS, $-   
9TH UNIT CROSSMATCH AUTO WB,$82.00 
9TH UNIT CROSSMATCH DIRECTED RBC,$82.00 
9TH UNIT CROSSMATCH DIRECTED SDPL, $-   
9TH UNIT CROSSMATCH LR-PLTS, $-   
A MANTLE CREAM 120GM, $-   
AA-ANTIPYIN-BCAINE OTIC GTT 14ML, $-   
AAOC/LOC, $-   
AAT-PHENOTYPE (FOR 6494),$99.00 
AAT-TOTAL (FOR 6494),$113.00 
AB PANEL ZZAP - CHRG ONLY,$56.00 
ABATACEPT 250MG VIAL, $-   
ABC ANTIBIOTIC AMPICILLILN 1GM, $-   
ABC ANTIBIOTIC ANCEF 1GM, $-   
ABC ANTIBIOTIC ANCEF 2GM, $-   
ABC ANTIBIOTIC CLINDAMYCIN 600MG, $-   
ABC ANTIBIOTIC CLINDAMYCIN 900MG, $-   
ABC ANTIBIOTIC FLAGYL 500MG IV, $-   
ABC ANTIBIOTIC GENTAMYCIN 80MG, $-   
ABC ANTIBIOTIC LEVAQUIN 500MG IV, $-   
ABC ANTIBIOTIC ROCEPHIN 1GM, $-   
ABC ANTIBIOTIC UNASYN 1.5GM, $-   
ABC ANTIBIOTIC UNASYN 3GM, $-   
ABC ANTIBIOTIC VANCOMYCIN 1GM, $-   
ABC ANTIBIOTIC ZINACEF 1.5GM, $-   
ABC ANTIBIOTIC ZINACEF 750MG, $-   
ABC ANTIFUNGAL DIFLUCAN 200MG IV, $-   
ABC BAG1, $-   
ABC BAG2, $-   
ABC BAG3, $-   
ABC CEFEPIME 1GM, $-   
ABC LR 1000ML, $-   
ABC LR 500ML, $-   
ABC NS 1000ML, $-   
ABC NS 500ML, $-   
ABDOMINAL PARACENTESIS W/IMAGING,"$1,380.00 "
ABDOMINAL PARACENTESIS W/O IMAGIN,"$1,289.00 "
"ABDOMINAL PARACENTESIS, INITIAL","$1,353.00 "
"ABDOMINAL PARACENTESIS, INITIAL","$1,353.00 "
"ABDOMINAL PARACENTESIS, INITIAL","$1,353.00 "
"ABDOMINAL PARACENTESIS, SUBSEQUEN",$979.00 
"ABDOMINAL PARACENTESIS, SUBSEQUEN",$979.00 
ABG FOR CHARGE PANEL ONLY,$268.00 
ABG ONLY (NO LYTES)-POC,$268.00 
ABG'S NEO UMBILICAL CATH DRAW,$268.00 
ABG'S-LAB CORP,$268.00 
ABILIFY 10MG TABLET, $-   
ABLATION SFT TISS INF TURB INTRAM,"$4,885.00 "
ABLATION SFT TISS INF TURB SUPER,"$2,231.00 "
ABO AND RH(CORD BLOOD), $-   
ABO GROUP,$54.00 
ABO GROUP,$54.00 
ABO GROUPING AND RH, $-   
ABO GROUPING(CORD BLOOD),$54.00 
ACAMPROSATE CALCIUM 333MG, $-   
ACARBOSE 25MG TABLET, $-   
ACARBOSE 50MG TAB, $-   
ACCU-CHEK STRIP, $-   
ACEON 2MG, $-   
ACET/BUTALBITAL 650-50 CAP, $-   
ACET/PSEUDOEPHEDRINE 325/30 TAB, $-   
ACETABUTOLOL 200 MG CAP, $-   
ACETAMIN/COD 120-12MG/5ML 12.5ML, $-   
ACETAMIN/OXYCODONE 325/5 TAB, $-   
ACETAMIN/OXYCODONE 500-325MG TAB, $-   
ACETAMINOOPHEN 325MG 10.15ML, $-   
ACETAMINOPHEN,$110.00 
ACETAMINOPHEN 1000MG/100ML INJ, $-   
ACETAMINOPHEN 100MG/ML DROPS 15ML, $-   
ACETAMINOPHEN 100MG/ML GTT 1ML, $-   
ACETAMINOPHEN 160MG/5ML 5ML, $-   
ACETAMINOPHEN 160MG/5ML 5ML/UD, $-   
ACETAMINOPHEN 160MG/5ML SUSP120ML, $-   
ACETAMINOPHEN 325MG TAB, $-   
ACETAMINOPHEN 500MG TAB, $-   
ACETAMINOPHEN 500MG TABLET, $-   
ACETAMINOPHEN 650MG TBSR, $-   
ACETAMINOPHEN 80MG TAB, $-   
ACETAMINOPHEN DROPS 100MG/ML 15ML, $-   
ACETAMINOPHEN DRPS 80MG/0.8ML30ML, $-   
ACETAMINOPHEN LIQ500MG/15ML 15ML, $-   
ACETAMINOPHEN SUPP 120MG, $-   
ACETAMINOPHEN SUPP 325MG, $-   
ACETAMINOPHEN SUPP 325MG, $-   
ACETAMINOPHEN SUPP 650MG, $-   
ACETAMINOPHEN W/COD 300/15 TAB, $-   
ACETAMINOPHEN W/COD 300/30 TAB, $-   
ACETAMINOPHEN W/COD 300/60 TAB, $-   
ACETAMINOPHEN W/COD ELIXIR 5ML, $-   
ACETAMINOPHEN/COD 120-12MG/5ML, $-   
ACETAMINOPHEN-BUTAL. 650-50MG CAP, $-   
ACETAMINOPHEN-COD PHOS SUSP 5ML, $-   
ACETAZOLAMIDE 125MG TAB, $-   
ACETAZOLAMIDE 250MG TAB, $-   
ACETAZOLAMIDE 500MG INJ., $-   
ACETAZOLAMIDE CR 500MG CAP, $-   
ACETIC ACID IRRIGATION 0.25% 1L, $-   
ACETIC ACID OTIC SOLN 2% 15ML, $-   
ACETIC ACID W/HC OTIC SOLN 10ML, $-   
ACETIC ACID/AL ACET. 2% SOLN 60ML, $-   
ACETOHEXAMIDE 250MG TAB, $-   
ACETYLCHOL RECP AB REFLEX,$284.00 
ACETYLCHOLINE OPTH DROPS 2ML, $-   
ACETYLCHOLINE RECEPTOR,$284.00 
"ACETYLCHOLINE RECEPTOR AB,ALL", $-   
ACETYLCYSEINE 400MG/2ML SYRG(RT), $-   
ACETYLCYSTEINE 10% 4ML, $-   
ACETYLCYSTEINE 10% SOLN 30ML, $-   
ACETYLCYSTEINE 20% 10ML, $-   
ACETYLCYSTEINE 20% 1ML-ACETADOTE, $-   
ACETYLCYSTEINE 20% 30ML-ACETADOTE, $-   
ACETYLCYSTEINE 20% SOLN 30ML, $-   
ACETYLCYSTEINE 20% SOLUTION 10ML, $-   
ACETYLCYSTEINE 600MG CAPSULE, $-   
ACETYLCYSTEINE 800 MG/4ML ORAL SO, $-   
ACETYLCYSTEINE ORAL SYR 600MG/4ML, $-   
ACHR GANGLIONIC NEURONAL AB,$246.96 
ACID FAST STAIN,$107.00 
ACID MANTLE CR 30GM, $-   
ACIDOPHILLUS PECTIN, $-   
ACIDOPHILUS TABLET, $-   
ACIDOPHILUS-LB-BB-S.THERMOPHL 1 B, $-   
ACITRETIN 10MG, $-   
ACLIDINIUM BR 400MCG/ACTUATION, $-   
ACLOMETASONE 0.05% CR. 15GM, $-   
ACLOVATE DIPROPIONATE 0.05% CR, $-   
ACT. CHARCOAL W/SORB. SUSP 120ML, $-   
ACT. CHARCOAL W/SORBITOL 240ML, $-   
ACTH,$228.00 
ACTIN,$331.00 
ACTIVATED CHARCOAL 120ML, $-   
ACTIVATED CHARCOAL 30GM PD, $-   
ACTIVATED CHARCOAL SUSP 240ML, $-   
ACTIVATED CLOTTING TIME,$150.00 
ACTIVATED CLOTTING TIME(PLUS),$150.00 
ACTIVATED PROTEIN C RESISTANCE,$299.00 
ACTONEL 35MG TABLET, $-   
ACTONEL 5MG TABLET, $-   
ACUTE HEPATITIS PANEL,$205.00 
ACYCLOVIR 200MG CAP, $-   
ACYCLOVIR 200MG/5ML SUSP 30ML, $-   
ACYCLOVIR 400MG TABLET, $-   
ACYCLOVIR 400MG TABLET, $-   
ACYCLOVIR 5% OINT 5GM, $-   
ACYCLOVIR 5% OINT. 15GM, $-   
ACYCLOVIR 500MG INJ., $-   
ACYCLOVIR 50MG/ML 10ML INJ, $-   
ACYCLOVIR 50MG/ML INJ 20ML, $-   
ACYCLOVIR 800MG TAB, $-   
ACYCLOVIR 800MG TAB, $-   
ACYCLOVIR CR 5% 5GM, $-   
ACYCLOVIR CREAM 2GM, $-   
ACYCLOVIR OINT 5% 30GM, $-   
ACYLCARNITINES,$240.00 
ACYLGLYCINE (URINE),$317.00 
ADALAT CC 60MG TABLET, $-   
ADALIMUMAB AB, $-   
ADALIMUMAB QUANT,$275.63 
ADAMS13 ACTIVITY,$435.00 
ADAMTS13,$435.00 
ADAPTER FEEDING 24FR Y-PORT,$36.00 
ADD WALKER TO PREV APPL CAST,$316.00 
ADDITIONAL CHARGES, $-   
ADDITIONAL6358, $-   
ADD'L. DEF. ID METHOD-CHRG ONLY,$81.00 
ADENO TEST,$81.00 
ADENOSINE 3MG/ML 20ML[DIAGNOSTIC], $-   
ADENOSINE 6MG/2ML INJ. 2ML, $-   
ADENOSINE 90 MG/30 ML INJ., $-   
ADENOSINE DEAMINASE,$148.00 
ADENOVIRUS DFA,$171.99 
ADENOVIRUS EIA,$35.00 
ADENOVIRUS GROUP ANTIBODIES,$252.47 
ADHESIVE DERMABOND HIGH VISCOSITY,$141.41 
ADHESIVE DERMABOND PROPEN,$170.02 
ADHESIVE SKIN DERMA FLEX QS,$66.78 
ADHESIVE SKIN DERMABOND HIGH VISC,$138.92 
ADHESIVE TISSUE EXOFIN,$51.61 
ADIPONECTIN,$232.63 
ADJ TISS TRANS/REA 10.1-30.0SQ EY,"$5,902.00 "
ADJ TISS TRANS/REA 10.1-30.0SQ FH,"$5,902.00 "
ADJ TISS TRANS/REA 10.1-30.0SQ TR,"$5,902.00 "
ADJ TISS TRANS/REA 10SQ EY NS EA,"$4,849.00 "
ADJ TISS TRANS/REA 10SQ FH CK CH,"$4,849.00 "
"ADJ TISSUE TX/REARRANGE SCALP,ARM","$4,849.00 "
ADJUSTMENT CENTS,$0.01 
ADJUSTMENT DOLLAR,$1.00 
ADMIN EA ADDL VACCINE ORAL/NASAL,$41.00 
ADMIN FLU VACCINE,$139.00 
ADMIN FLU VACCINE,$139.00 
ADMIN HEP B VACCINE,$139.00 
ADMIN PNEUMONIA VACCINE,$139.00 
ADMIN PNEUMONIA VACCINE,$139.00 
ADMIN SINGLE VACCINE ORAL/NASAL,$139.00 
ADMIN VACCINE,$139.00 
ADSORBTION - CHARG ONLY,$113.00 
ADULT MULTIVITAMIN LIQ 5ML, $-   
ADVAIR DISKHALER 100/50MCG, $-   
ADVAIR DISKHALER 100/50MCG PD, $-   
ADVAIR DISKHALER 250/50MCG PD, $-   
ADVAIR DISKHALER 500/50MCG, $-   
AEROBID-M 250MCG AEROSOL, $-   
AEROCHAMBER, $-   
AEROCHAMBER KIT, $-   
AEROSOL TREAT BRONCH/SPUT DEMO,$138.00 
AFB BLOOD CULTURE, $-   
AFB CULTURE BY DNA PROBE - MSDH, $-   
AFB ID - CHRG ONLY,$57.00 
AFB SMEAR,$57.00 
AFB SMEAR,$57.00 
AFB-SMEAR,$57.00 
AFP TETRA PROFILE, $-   
"AFST FLUCO, FLUCYT, & ITRACON",$91.00 
"AGGLUTININ, FEBRILE(86000)",$53.00 
AGRYLIN 0.5MG CAPSULE, $-   
AIRWAY GUEDEL 110MM TRANSLUCENT,$5.25 
AIRWAY GUEDEL 80MM TRANSLUCENT,$35.78 
AIRWAY GUEDEL 90MM TRANSLUCENT,$5.25 
AIRWAY NASOPHARYNGEAL 6.0MM,$13.41 
AIRWAY NASOPHARYNGEAL 7.0MM,$13.41 
AIRWAY NASOPHARYNGEAL 8.0MM,$13.41 
AIRWAY NASOPHARYNGEAL 9.0MM,$13.41 
AL ACETATE-CA ALUM ACET EFF TAB, $-   
AL CARBONATE TAB, $-   
AL CARB-SIMETHICONE SUSP 30ML, $-   
AL HYDROXIDE 960MG/15ML 30ML BTL, $-   
AL HYDROXIDE 960MG/15ML 30ML CUP, $-   
AL HYDROXIDE MAG CARB SUSP 15ML, $-   
AL HYDROXIDE MAG CARB SUSP 30ML, $-   
AL HYDROXIDE SUSP 400MG/5ML 30ML, $-   
ALATROFLOXACIN 200MG INJ., $-   
ALATROFLOXACIN 300MG INJ., $-   
ALBIGLUTIDE PEN INJ 30MG/0.5ML, $-   
ALBUMIN,$33.00 
ALBUMIN 25% INJ 100ML, $-   
ALBUMIN 25% INJ. 50ML, $-   
ALBUMIN 5% 500ML, $-   
ALBUMIN 5% INJ. 250ML, $-   
ALBUMIN 5% INJ. 50ML, $-   
"ALBUMIN, CSF",$89.00 
"ALBUMIN,BODY FLUID",$89.00 
ALBUTEROL 2MG TAB, $-   
ALBUTEROL 2MG/5ML SYRUP 30ML, $-   
ALBUTEROL 2MG/5ML SYRUP 5ML, $-   
ALBUTEROL 4MG TAB, $-   
ALBUTEROL 5MG/ML 1ML, $-   
ALBUTEROL CR 4MG TAB, $-   
ALBUTEROL CR 4MG TAB, $-   
ALBUTEROL CR 8MG TAB, $-   
ALBUTEROL FOR CONT NEB 2.5MG/0.5M, $-   
ALBUTEROL HFA 90MCG AEROSOL 6.7GM, $-   
ALBUTEROL HFA INHALER, $-   
ALBUTEROL INH 0.63MG/3ML SOLN., $-   
ALBUTEROL INH 1.25MG/3ML SOLN, $-   
ALBUTEROL INH 1.25MG/3ML SOLN, $-   
ALBUTEROL INH 2.5MG/0.5ML, $-   
ALBUTEROL INHAL. 0.5% 20ML BOTTLE, $-   
ALBUTEROL INHALATION(BEDSIDE)8GM, $-   
ALBUTEROL INHALER AT BEDSIDE, $-   
ALBUTEROL INHL 0.083% SOLN 3ML, $-   
ALBUTEROL INHL 0.083% SOLN 3ML, $-   
ALBUTEROL INHL 0.083% SOLN. 3ML, $-   
ALBUTEROL SULF INHL 5MG/ML 0.5ML, $-   
ALBUTEROL SULFATE 90MCG/ACT 8GM, $-   
ALBUTEROL SULFATE HFA INHALER 8GM, $-   
ALBUTEROL SYRP 2MG/5ML 5ML, $-   
ALC-1,$108.00 
ALCIAN BLUE PAS,$107.00 
ALCIAN BLUE STAIN,$107.00 
ALCIAN YELLOW STAIN,$107.00 
ALCOHOL,$20.00 
ALCOHOL (DEHYDRATED) 100% INJ 1ML, $-   
ALCOHOL (DEHYDRATED) 5ML, $-   
"ALCOHOL,URINE",$169.00 
"ALDER,TAG (ON 6791)",$33.00 
ALDESLEUKIN 22MU INJ., $-   
ALDOLASE,$71.00 
"ALDOSTERONE, SERUM",$245.00 
"ALDOSTERONE, URINE",$245.00 
ALEMTUZUMAB 30MG/ML 1ML VIAL, $-   
ALENDRONATE 10MG TAB, $-   
ALENDRONATE SOD 35MG, $-   
ALFENTANIL 1000MCG/2ML INJ., $-   
ALFENTANIL 500MCG/ML 2ML AMP, $-   
ALFUZOSIN HCL 10MG TABLET CR 24HR, $-   
ALISKIREN 300MG TABLET, $-   
ALISKIREN HEMIFUMARATE 150MG TAB, $-   
"ALK PHOS,FRACTIONATED", $-   
ALK PHOSPHATASE,$33.00 
ALK PHOSPHATASE (HEAT STABLE),$87.00 
ALK PHOSPHATASE ISOENZYMES,$87.00 
ALK. PHOS. ISOENZYMES,$87.00 
ALK. PHOSPHATASE,$33.00 
ALKA SELTZER PACKET EACH, $-   
ALLBEE W/C TABLET, $-   
ALLEGRA 180MG TABLET, $-   
ALLENT CR CAP, $-   
"ALLERGAN PROFILE,FOOD-MILK", $-   
ALLERGEN CRAB,$33.00 
ALLERGEN CRAYFISH,$33.00 
ALLERGEN EGG WHITE,$33.00 
ALLERGEN EGG WHITE,$33.00 
ALLERGEN LOBSTER,$33.00 
ALLERGEN OAT,$33.00 
ALLERGEN PEDIATRIC, $-   
ALLERGEN PROFILE (SPRING-TREE), $-   
"ALLERGEN PROFILE, FALL-WEED", $-   
"ALLERGEN PROFILE, MOLD", $-   
"ALLERGEN PROFILE, PERENNIAL", $-   
"ALLERGEN PROFILE,FOOD-BASIC",$50.00 
"ALLERGEN PROFILE,FOOD-FISH", $-   
"ALLERGEN PROFILE,FOOD-MEAT", $-   
"ALLERGEN PROFILE,FOOD-VEG. II", $-   
"ALLERGEN PROFILE,FOOD-VEGETABLE I", $-   
"ALLERGEN PROFILE,MINI-RAST", $-   
"ALLERGEN PROFILE,ZONE 6", $-   
ALLERGEN PROFILE-SUMMER GRASS, $-   
ALLERGEN RICE,$33.00 
ALLERGEN SHRIMP,$33.00 
ALLERGEN SPECIFIC(86003),$50.00 
ALLERGEN ZONE SEVEN, $-   
"ALLERGEN, QUALITATIVE(86005)",$42.00 
"ALLERGENS, ZONE 8", $-   
"ALLERGENS,MULTIPLE INHALANT TEST",$42.00 
ALLOPURINOL 100MG TAB, $-   
ALLOPURINOL 300MG TAB, $-   
ALOCRIL 2% OPTH SOLN, $-   
ALOE VERA GEL LOTION 96ML, $-   
ALOE VESTA PERINEAL 236ML, $-   
ALOGLIPTIN 12.5MG TABLET, $-   
ALOSETRON 1MG TAB, $-   
ALPHA D GALACTOSIDASE, $-   
ALPHA D GALCTOSIDASE LIQ 7.5ML, $-   
ALPHA FETOPROTEIN,$139.00 
ALPHA GALACTOSIDASE A DEF,$175.00 
"ALPHA SUBUNIT,FREE",$268.00 
ALPHA THALASSEMIA PANEL,$489.00 
ALPHA-1-ANTITRYPSIN,$113.00 
ALPHA-ANTITRYPSIN PHENOTYPING, $-   
ALPHA-FETOPROTEIN,$139.00 
ALPHA-GAL PANEL, $-   
ALPHAGAN P EYE DROPS 0.15%, $-   
ALPRAZOLAM 0.25MG TAB, $-   
ALPRAZOLAM 0.5MG OD TABLET, $-   
ALPRAZOLAM 0.5MG TAB, $-   
ALPRAZOLAM 1MG TAB, $-   
ALPRAZOLAM XR 0.5MG, $-   
ALPROSTADIL 500MCG/ML PED INJ 1ML, $-   
ALT,$46.00 
ALT (SGPT),$46.00 
ALTEPLASE 100MG INJ., $-   
ALTEPLASE CATHFLO [FOR DRIP]2MG, $-   
ALTEPLASE SOLR 50MG, $-   
ALTERNARIA TEN.(ON6716&6754&6761),$33.00 
ALUMINUM HYDROXIDE GEL 5ML, $-   
"ALUMINUM,PLASMA OR SERUM",$174.00 
"ALUMINUM,URINE", $-   
"ALUMINUM,URINE",$174.00 
ALUMINUM/MAGNESIUM SUSP 30ML, $-   
ALUMINUM/MAGNESIUM SUSP 5OZ, $-   
ALUMINUM/MAGNESIUM W/SIMETH 30ML, $-   
ALUMINUM/MAGNESIUM W/SIMETH 5OZ., $-   
ALUM-MAG HYDROXIDE-SIMETH 30ML, $-   
ALVIMOPAN 12MG CAPSULE, $-   
AMANTADINE 100MG CAP, $-   
AMANTADINE 50MG/5ML LIQ. 30ML, $-   
AMANTADINE 50MG/5ML SYR 5ML, $-   
AMANTADINE HCL 100MG TABLET, $-   
AMANTIDINE 50MG/5ML SYRUP 30ML, $-   
AMBIEN,$194.00 
AMERICAN ELM (ON 6791),$33.00 
AMERICAN SYCAMORE (ON 6791),$33.00 
AMIFOSTINE 500MG INJ., $-   
AMIKACIN 1 GRAM/4 ML, $-   
AMIKACIN 500MG/2ML INJ., $-   
AMIKACIN 500MG/2ML INJECTION, $-   
"AMIKACIN,PEAK",$107.00 
"AMIKACIN,PEAK & TROUGH", $-   
"AMIKACIN,RANDOM",$107.00 
"AMIKACIN,TROUGH",$107.00 
AMILORIDE 5MG TAB, $-   
AMILORIDE W/HCTZ 5-50 TAB, $-   
AMILORIDE W/HCTZ 5-50 TAB, $-   
AMINO ACID 10% INJ. 1000ML, $-   
AMINO ACID 7% INJ 500ML, $-   
AMINO ACID 7%/ ELECTROLYTES 500ML, $-   
AMINO ACID II 10% INJ 500ML, $-   
AMINO ACID PROFILE,$805.00 
AMINO ACID PROFILE QUAN PLASMA,$805.00 
AMINO ACID W/LYTES 8.5% INJ 500ML, $-   
AMINO ACID-ELECTROLYTE INJ 1000ML, $-   
AMINO ACIDS (HEPATIC) 8% 500ML, $-   
AMINO ACIDS 10% INJ 500ML, $-   
AMINO ACIDS 3.5% SOLUTION 1000ML, $-   
AMINO ACIDS 3.5% W/ELECT 1000ML, $-   
AMINO ACIDS 4.25%/D10W 1000ML, $-   
AMINO ACIDS 8.5% 1000ML INJ, $-   
AMINO ACIDS 8.5% INJ 500ML, $-   
AMINO ACIDS 8.5% W/ELECT 1000ML, $-   
AMINO ACIDS PROTEIN HYDROLYS 30ML, $-   
AMINO ACIDS/DEXTROSE INJ. 1000 ML, $-   
AMINO ACID-URINE,$805.00 
AMINOCAPROIC ACID 500MG TAB, $-   
AMINOCAPROIC ACID 5GM/20ML INJ., $-   
AMINOLEVULIC ACID DELTA(24HR),$181.00 
"AMINOLEVULIC ACID,RANDOM URINE",$181.00 
AMINOPHYLLINE 250MG/10ML INJ, $-   
AMINOPHYLLINE 2MG/1ML LIQ. 5ML, $-   
AMINOPHYLLINE 315MG/15ML LIQ 30ML, $-   
AMINOPHYLLINE 500MG/20ML INJ., $-   
AMINOPHYLLINE NICU 500MG 20ML, $-   
AMINORONE 5MG/ML INJ 20ML, $-   
AMIODARONE 150MG 3ML VIAL, $-   
AMIODARONE 150MG/3ML INJ 3ML, $-   
AMIODARONE 200MG TAB, $-   
