Charge Code,Description,Dept,Revenue Code,Proc Code,Modifier 1,Modifier 2,Rate,Zero Charge Explanation
4711520,ACYCLOVIR 200MG CAP,PHAR,250,,,,5.00,
4711730,GEODON 20MG,PHAR,636,,,,100.00,
4711820,AMOXICILLIN 875 MG,PHAR,250,,,,4.30,
4711830,CEPHALEXIN 250 MG,PHAR,250,,,,4.30,
4711840,DIVALPROEX SODIUM,PHAR,250,,,,4.30,
4711850,ENALAPRIL,PHAR,250,,,,5.00,
4711860,FLUOXETINE,PHAR,250,,,,5.00,
4711870,LEVOFLOXACIN 500 MG,PHAR,636,,,,357.40,
4711880,AMPICILLIN/SULBACTAM 1.5 GM,PHAR,636,,,,36.00,
4711900,BUMETANIDE 2.5 MG,PHAR,636,,,,20.00,
4711920,CEFTRIAXONE 2 GM,PHAR,636,,,,25.00,
4711930,DOBUTAMINE 250 MG,PHAR,636,,,,40.70,
4711940,FLUMAZENIL .5 MG,PHAR,636,,,,13.50,
4711950,ENALAPRILAT 1.25 MG,PHAR,636,,,,25.70,
4711970,HEAPRIN FLUSH,PHAR,636,,,,26.80,
4711980,SOLU-CORTEF 250 MG,PHAR,636,,,,74.90,
4712100,SOLU-MEDROL 1 GRAM,PHAR,636,,,,30.00,
4712110,SOLU-MEDROL 500 MG,PHAR,636,,,,25.00,
4712120,PROMETHAZINE 25MG,PHAR,250,,,,15.00,
4712130,ACETAMINOPHEN SUPP 650 MG,PHAR,250,,,,7.50,
4712135,AMOXICILLIN POT CLAV 400 MG,PHAR,250,,,,22.50,
4712145,FENTANYL CITRATE 50 MCG,PHAR,250,,,,42.80,
4712150,KETORLAC 30 MG/ML,PHAR,636,,,,16.00,
4712155,EMLA 2.5% CREAM,PHAR,250,,,,16.10,
4712160,ENEMA,PHAR,250,,,,11.80,
4712165,ENEMA MINERAL OIL,PHAR,250,,,,11.80,
4712170,ESTROGEN/PREMARIN,PHAR,636,,,,116.70,
4712175,eye wash,PHAR,250,,,,15.00,
4712180,FENTANYL 250 MCG,PHAR,636,,,,42.80,
4712185,HPV VACCINE,PHAR,636,,,,246.10,
4712190,DTAP,PHAR,636,,,,100.00,
4712260,DICLOXACILLIN 250MG,PHAR,250,,,,4.00,
4714080,LUPRON 7.5 MG INJ,PHAR,636,,,,"3,045.30",
4714107,CLOPIDOGRE/PLAIV 75MG TAB,PHAR,250,,,,19.30,
4714117,BENZOCAINE SPRAY,PHAR,259,,,,83.00,
4714119,HYDROXYZIN HCL CAP 25MG,PHAR,250,,,,4.10,
4714120,LANSOPRAZOL/PREVACD 30MG,PHAR,259,,,,10.00,
4714128,AUGMENTIN 875MG TAB,PHAR,250,,,,9.00,
4714136,AZITHROMYCIN 250MG Z-PAC,PHAR,250,,,,31.00,
4714154,LIDOCAINE LOCAL 1-2CC INJ,PHAR,636,,,,29.89,
4715000,TH CLINDAMYCIN 6 PK,PHAR,250,,,,12.90,
4715020,Daptomycin 750 MG,PHAR,636,,,,"1,040.00",
4716080,VANCOMYCIN INJ 750 MG,PHAR,636,,,,308.20,
4716090,CATHFLO ACTIVASE,PHAR,636,,,,280.40,
4716780,DTAP-IPV,PHAR,636,,,,165.00,
4717010,TRUVADA,PHAR,250,,,,101.70,
4717020,ROCURONIUM 10 MG,PHAR,250,,,,6.50,
4717140,FERRLECIT 12.5 MG,PHAR,636,,,,22.00,
4717180,DIHYDROERGOTAMINE 1 MG INJ,PHAR,636,,,,304.00,
4717190,PRIMAXIN 500MG,PHAR,636,,,,51.00,
4717200,NITROGLYCERIN SPRAY,PHAR,250,,,,16.00,
4717220,Acetylcysteine INJ 6g/30ml,PHAR,636,,,,240.00,
4717230,WARFARIN 5MG,PHAR,250,,,,4.00,
4717240,SILVADENE CREAM,PHAR,250,,,,102.50,
4717250,OMEPRAZOLE 20MG CAP,PHAR,250,,,,5.00,
4717260,MULTI-VIT,PHAR,250,,,,3.50,
4717270,RANITIDINE 150MG TAB,PHAR,250,,,,4.00,
4717290,ACETYLCYSTEINE INH SOL,PHAR,636,,,,31.95,
4717300,CALMOSEPTINE OINTMENT,PHAR,250,,,,27.60,
4717310,DOCUSATE SODIUM 250MG,PHAR,250,,,,4.00,
4717320,PROCAINAMIDE 100MG/ML INJ,PHAR,636,,,,113.00,
4717330,SODIUM BICARBINATE 8.4%,PHAR,636,,,,96.30,
4717340,VERAPAMIL 2.5MG INJ,PHAR,636,,,,122.00,
4717350,GENTAMYCIN 0.3% OINT,PHAR,250,,,,38.00,
4717360,HCTZ 25MG,PHAR,250,,,,6.00,
4717370,HYDROMORPHONE 2MG TAB,PHAR,250,,,,5.00,
4717380,HEPARIN 5000U INJ,PHAR,636,,,,17.00,
4717430,Neo/Poly/HC Suspension,PHAR,250,,,,128.00,
4717440,Neo/Poly/Bac Ointment,PHAR,250,,,,49.00,
4717450,PITOCIN 10UN/ML,PHAR,636,,,,20.00,
4717470,INSULIN LANTUS PER 5 UNITS,PHAR,636,,,,50.00,
4717480,FLUCONAZOLE 150MG,PHAR,250,,,,19.00,
4717490,FLUORESCEIN SODIUM STRIP,PHAR,250,,,,5.00,
4717500,ARISTADA 1064MG,PHAR,636,,,,"4,194.33",
4717510,Paroxetine 20mg,PHAR,250,,,,5.00,
4717520,Oseltamivir 75mg,PHAR,250,,,,80.00,
4717530,PHENYTOIN SUSP 125MG,PHAR,250,,,,75.00,
4717540,AMIODARONE 150MG/3ML,PHAR,636,,,,26.00,
4717550,NALOXONE 0.4MG,PHAR,636,,,,80.00,
4717560,Ceftaroline 600mg vial,PHAR,636,,,,270.00,
4717570,LEVOFLOXACIN 500MG TAB,PHAR,250,,,,5.00,
4717580,POTASSIUM 20MEQ/15ML,PHAR,250,,,,62.00,
4717590,STERILE WATER,PHAR,250,,,,66.00,
4717610,CYCLOPENTOLATE HCL OPTH SOL 2%,PHAR,250,,,,65.00,
4717620,Ertapenem 1GM,PHAR,263,,,,249.12,
4717630,KINRIX- VFC,PHAR,636,,,,0.00,Vaccine For Children Program 
4717640,VFC- ACTHIB- HAEMOPHILUS B (HIB),PHAR,636,,,,0.00,Vaccine For Children Program 
4717650,VFC- INFLUENZA VAC,PHAR,636,,,,0.00,Vaccine For Children Program 
4717660,VFC- ROTAVIRUS,PHAR,636,,,,0.00,Vaccine For Children Program 
4717670,DECAVAC INJ,PHAR,636,,,,125.00,
4718817,AZITROMYCIN SUS 200MG/5ML,PHAR,250,,,,147.70,
4010103,I&D ABSCESS SIMPLE/SINGLE,ED,450,10060,,,366.35,
4020103,I&D ABSCESS SIMPLE/SINGLE,EDMD,981,10060,,,257.45,
4080131,I&D ABSCESS SIMPLE/SINGLE,CLMD,983,10060,,,247.20,
4870070,I&D ABSCESS SIMPLE/SINGLE,OPPR,761,10060,,,343.90,
4010104,I&D ABSCESS/CYST COMPLEX,ED,450,10061,,,459.60,
4020104,I&D ABSCESS/CYST COMPLEX,EDMD,981,10061,,,515.80,
40100820,I&D PILONIDAL CYST SIMPLE,ED,450,10080,,,682.25,
4010820,I&D PILONIDAL CYST SIMPLE,ED,450,10080,,,682.25,
4020820,I&D PILONIDAL CYST SIMPLE PRO FEE,EDMD,981,10080,,,393.60,
4010108,INC/REM FB SUBCUT SIMPLE,ED,450,10120,,,476.40,
4020108,INC/REM FB SUBCUT SIMPLE,EDMD,981,10120,,,363.00,
4080132,INC/REM FB SUBCUT TISSUE,CLMD,983,10120,,,343.90,
4010109,INC/REM FB SUBCUT COMPLEX,ED,450,10121,,,"1,724.65",
4020109,INC/REM FB SUBCUT COMPLEX,EDMD,981,10121,,,786.55,
4010241,I&D HEMAT/SEROMA/FLD,ED,450,10140,,,"1,468.45",
4020241,I&D HEMAT/SEROMA/FLD,EDMD,981,10140,,,424.75,
4019281,PUNCT/ASP ABCS/HEM/BUL/CY,ED,450,10160,,,180.95,
4029281,PUNCT/ASP ABCS/HEM/BUL/CY,EDMD,981,10160,,,311.25,
4089281,PUNCT/ASP ABCS/HEM/BUL/CY,CLMD,983,10160,,,277.20,
4010229,DEBR ECZEM/INFCT SKN 10%,ED,450,11000,,,460.65,
4020229,DEBR ECZEM/INFCT SKN 10%,EDMD,981,11000,,,104.60,
4010603,DEBR/REM FB SKIN/SQ/MUS/BONE,ED,450,11012,,,"2,344.85",
4020603,DEBR/REM FB SKIN/SQ/MUS/BONE,EDMD,981,11012,,,"1,419.10",
4010601,DEBR SKN & SUBQ TISSUE,ED,450,11042,,,760.65,
4020601,DEBR SKN & SUBQ TISSUE,EDMD,981,11042,,,209.15,
4080025,DEBRIDE SKIN,CLMD,983,11042,,,153.95,
4080027,DEBRIDE SKIN/SUB TISSUE,CLMD,983,11042,,,209.15,
4080690,DEBR SKIN,CLMD,983,11042,,,101.15,
4080175,PARING/CUT BEN LESION SGL,CLMD,983,11055,,,60.70,
4010604,BX SKIN SUBQ MUC MEMB 1 LESION,ED,450,11100,,,592.10,
4020202,BX SKN/SQ/MUC MEMB SINGLE,EDMD,981,11100,,,215.80,
4080008,BX SKN/SQ/MUC MEMB SINGLE,CLMD,983,11100,,,169.70,
4080007,BX SKN/SQ/MUC MEMB ADL10%,CLMD,983,11101,,,85.50,
4010185,REMOVAL OF SKIN TAGS <W/15,ED,450,11200,,,308.70,
4020185,REMOVAL OF SKIN TAGS <W/15,EDMD,981,11200,,,196.45,
4080185,REM SKN TGS MULT FIBR 15<,CLMD,983,11200,,,159.60,
4010391,SHV EP/DM LS/TR/AR/LG<0.5,ED,450,11300,,,306.60,
4020391,SHV EP/DM LS/TR/AR/LG<0.5 PRO FEE,EDMD,981,11300,,,94.50,
4080210,SHV EP/DM LS/TR/AR/LG<0.5,CLMD,983,11300,,,168.00,
4080123,EX BN LS/TRK/ARM/LG <0.5C,CLMD,983,11400,,,247.20,
4080095,EX BN LS/TRK/ARM/LEG .6-1,CLMD,983,11401,,,343.90,
4010182,EXC TR EXT B9+MARG 1.1-2 CM,ED,450,11402,,,"1,078.00",
4020182,EXC TR EXT B9+MARG 1.1-2 CM PRO FEE,EDMD,981,11402,,,422.00,
4080097,EX BN LS/TRK/ARM/LG 1.1-2,CLMD,983,11402,,,349.45,
4080098,EX BN LS/TRK/ARM/LG 2.1-3,CLMD,983,11403,,,448.45,
4080099,EX BN LS/TRK/ARM/LG 3.1-4,CLMD,983,11404,,,495.50,
4080096,EX BN LS/TRK/ARM/LEG >4.0,CLMD,983,11406,,,593.35,
4010180,EXC BEN LES INC MAR HEAD/FT/GENIT <.5CM,ED,450,11420,,,840.00,
4020180,EXC BEN LES HEAD/FT/GENIT <.5CM PRO FEE,EDMD,981,11420,,,214.20,
4070094,EX BEN SCP/NK/HD/FT <.5CM,CL,521,11420,,,217.45,
4080087,EX BEN SCP/NK/HD/FT0.6-1.,CLMD,983,11421,,,360.70,
4080093,EX BN LS FCE/MUC MEM <0.5,CLMD,983,11440,,,336.00,
4080112,EX ML TRK/ARM/LG 1.1-2C,CLMD,983,11602,,,477.55,
4080127,EXC MLG LES FACE 2.1-3CM,CLMD,983,11643,,,741.55,
4080375,TRIM NONDYSTROPHIC NAILS,CLMD,983,11719,,,55.15,
4080029,DEBRIDEMENT OF NAIL 1 - 5,CLMD,983,11720,,,48.41,
4080023,DEBRIDEMNT NAIL 6 OR MORE,CLMD,983,11721,,,119.81,
4010201,AVUL NAIL PRTL/COMPLT SING,ED,450,11730,,,309.85,
4020201,AVUL NAIL PRTL/CMPLT SING,EDMD,981,11730,,,176.40,
4080005,AVULS NAILPLT PART/COMP S,CLMD,983,11730,,,176.40,
4010582,EVAC SUBUNGUAL HEMATOMA,ED,450,11740,,,163.00,
4020582,EVAC SUBUNGUAL HEMATOMA,EDMD,981,11740,,,81.05,
4080006,EVAC SUBUNGUAL HEMATOMA,CLMD,983,11740,,,81.05,
4010124,REMOVAL OF NAIL BED,ED,450,11750,,,640.40,
4020124,REMOVAL OF NAIL BED PRO FEE,EDMD,981,11750,,,449.40,
4010376,REPAIR NAIL BED EA,ED,450,11760,,,"1,125.60",
4020376,REPAIR NAIL BED EA,EDMD,981,11760,,,327.00,
4080232,WEDGE EXCISION SKN/NAL FO,CLMD,983,11765,,,160.85,
4010114,REP LAC SCP/NK/TNK <2.5CM,ED,450,12001,,,829.20,
4020114,REP LAC SCP/NK/TNK <2.5CM,EDMD,981,12001,,,389.90,
4080195,REP SC/TRK/AX/NK/EX <2.5,CLMD,983,12001,,,389.90,
4010115,REP LAC SCP/NK/TNK2.5-7.5,ED,450,12002,,,919.10,
4020115,REP LAC SCP/NK/TNK2.5-7.5,EDMD,981,12002,,,470.85,
4010117,REP LAC SCP/NK 7.6-12.5CM,ED,450,12004,,,500.05,
4020117,REP LAC SCP/NK 7.6-12.5CM,EDMD,981,12004,,,583.20,
4010119,REP LAC SIMPLE 12.6-20 CM,ED,450,12005,,,842.65,
4020119,REP LAC SIMPLE 12.6-20 CM,EDMD,981,12005,,,615.75,
4010313,REP LAC SIMPLE 20.1-30 CM,ED,450,12006,,,756.00,
4020313,REP LAC SIMPLE 20.1-30 CM PRO FEE,EDMD,981,12006,,,642.60,
4010120,REP LAC FAC/MUC <2.5CM,ED,450,12011,,,593.35,
4020120,REP LAC FAC/MUC <2.5CM,EDMD,981,12011,,,470.85,
4080069,REP WND FCE/MUC 2.5<,CLMD,983,12011,,,391.05,
4010121,REPAIR SIMPLE F/E/E/N/L 2.6-5CM,ED,450,12013,,,337.15,
4020121,REP LAC FAC/MUC 2.6-5.0CM,EDMD,981,12013,,,551.70,
4080200,REP WND FCE/MU 2.6-5.0 CM,CLMD,983,12013,,,436.00,
4010122,REP LAC FAC/MUC 5.1-7.5CM,ED,450,12014,,,328.15,
4020122,REP LAC FAC/MUC 5.1-7.5CM,EDMD,981,12014,,,512.40,
4010123,REP LAC FAC/MUC 7.6-12.5C,ED,450,12015,,,500.05,
4020123,REP LAC FAC/MUC 7.6-12.5C PRO FEE,EDMD,981,12015,,,713.50,
4010126,LAY CLS TK/EXT <2.5 CM,ED,450,12031,,,588.75,
4020126,LAY CLS TK/EXT <2.5 CM,EDMD,981,12031,,,425.90,
4010127,LAY CLS TK/EXT 2.6-7.5 CM,ED,450,12032,,,588.75,
4020127,LAY CLS TK/EXT 2.6-7.5 CM,EDMD,981,12032,,,548.35,
4010129,LAY CLS TK/EXT 7.6-12.5CM,ED,450,12034,,,587.70,
4020129,LAY CLS TK/EXT 7.6-12.5CM,EDMD,981,12034,,,617.95,
4010130,LAY CLS TK/EXT 12.6-20 CM,ED,450,12035,,,550.20,
4020130,LAY CLS TK/EXT 12.6-20 CM PRO FEE,EDMD,981,12035,,,782.35,
4010131,LAY CLS NK/HND/FT<2.5CM,ED,450,12041,,,500.05,
4020131,LAY CLS NK/HND/FT<2.5 CM,EDMD,981,12041,,,471.90,
4010133,LAY CLS NK/HND/FT2.6-7.5CM,ED,450,12042,,,577.20,
4020132,LAY CLS NK/HND/FT2.6-7.5C,EDMD,981,12042,,,560.70,
4020133,LAY CLS NK/HND/FT7.6-12.5,EDMD,981,12044,,,624.85,
4010135,LAY CLS FC/MUC<2.5CM,ED,450,12051,,,500.05,
4020135,LAY CLS FC/MUC<2.5 CM,EDMD,981,12051,,,560.70,
4010136,LAY CLS FC/MUC2.6-5.0CM,ED,450,12052,,,500.05,
4020136,LAY CLS FC/MUC2.6-5.0 CM,EDMD,981,12052,,,525.85,
4010132,LAY CLS FC/MUC5.1-7.5 CM,ED,450,12053,,,603.85,
4020137,LAY CLS FC/MUC5.1-7.5 CM PRO FEE,EDMD,981,12053,,,619.10,
4010300,LAY CLS FC/MUC 736-12.5 CM,ED,450,12054,,,385.55,
4020300,LAY CLS FC/MUC 7.6-12.5 CM,EDMD,981,12054,,,987.65,
4010302,LAY CLS FC/MUC20.1-30 CM,ED,450,12056,,,500.05,
4010292,REPAIR COMPLEX TRUNK 2.6-7.5 CM,ED,450,13101,,,"1,220.50",
4020292,REPAIR COMPLEX TRUNK 2.6-7.5 CM PRO FEE,EDMD,981,13101,,,657.00,
4010296,REPAIR COMPX SCALP/ARM/LEG 2.6-7.5CM,ED,450,13121,,,879.80,
4020296,REP CMLX SCLP/LIMB2.6-7.5,EDMD,981,13121,,,861.75,
4012296,"RPR WOUND, LESION EA ADDL <5CM",ED,450,13122,,,863.10,
4022296,"RPR WOUND, LESION EA ADDL <5CM PRO FEE",EDMD,981,13122,,,383.15,
4010290,REP CMLX FC/HND/GN1.1-2.5,ED,450,13131,,,621.00,
4020290,REP CMLX FC/HND/GN1.1-2.5 PRO FEE,EDMD,981,13131,,,656.15,
4010291,REP CMLX FC/HND/GN2.6-7.5,ED,450,13132,,,565.00,
4020291,REP CMLX FC/HND/GN2.6-7.5 PRO FEE,EDMD,981,13132,,,"1,018.00",
4012291,REP CMLX FC/HND/GN AD<5CM,ED,450,13133,,,565.00,
