Wheeling ,,
Item Description,CPT/HCPC ,Price
IV THER PROPH DX SEQL DRU,96367,$124.68 
IV THER PROPH DX CONCURRT,96368,$49.74 
IV PUSH ADDL SAME DRUG,96376,$89.93 
COLLECT BLOOD FROM PICC(O,36592,$104.95 
PNEUMOVAX ADMIN,G0009,$35.29 
FLU VACCINE ADMIN,G0008,$35.02 
IMMUN ADMIN,90471,$40.00 
IMMUN ADMIN EA ADDL,90472,$40.00 
COLLECT BLOOD IMPL DEVICE,36591,$85.95 
5E INITIAL OBSERV UNIT, ,$231.15 
5E OBSERV UNIT ADDL HRS,G0378,$38.46 
5E OBSERVATION UNIT ADDL HRS,G0378,$35.94 
5E OBSERV UNIT ADDL HRS,G0378,$35.94 
ONCOLOGY INITIAL OBSERV., ,$231.15 
ONCOLOGY OBSERV. ADDL HRS,G0378,$38.46 
ONCOLOGY OBSERV ADDL HRS,G0378,$38.46 
0-4 HRS ONC.SPECIAL PROC., ,$188.50 
4-8 HRS ONC.SPECIAL PROC., ,$237.25 
8-12 HRS ONC.SPECIAL PROC, ,$283.25 
12-16 HRS ONC.SPECIAL PRO, ,$330.75 
16-24 HRS ONC.SPECIAL PRO, ,$359.25 
GLUCOMETER-ONCOLOGY,82962,$19.92 
"MOUTH WASH, BIOTENE 2 OZ.", ,$5.75 
"TOOTHPASTE, BIOTENE DRY M", ,$4.00 
"MOUTH MOISTURE,ORAL BALAN", ,$4.00 
"TOOTHBRUSH,BIOTENE S.SOFT", ,$17.50 
LIP MOISTURE, ,$6.75 
IRRIGATION GUN-MOUTHCARE, ,$11.00 
IV PUMP ONCOLOGY, ,$40.50 
BRIEF MEDICAL CARE, ,$44.00 
INTERMEDIATE MEDICAL CARE, ,$55.00 
NEUTROGENA RAIN BATH SOAP, ,$1.50 
CHG G TUBE NO IMAGE- OP,43760,$377.00 
AVULSION OF NAIL PLATE,11730,$179.66 
PVR SCAN,51798,$157.14 
CHEMO ADMIN/INPATIENT, ,$466.87 
COLLECT BLOOD IMPL DEVICE,36591,$85.95 
COLLECT BLOOD FROM PICC,36592,$104.95 
LARYNGOSCOPY,31575,$343.55 
IM OR S/Q INJECTION,96372,$94.55 
"IV PUSH SINGLE, INITIAL",96374,$208.01 
IV PUSH ADD SEQ DIF DRUG,96375,$103.42 
HYDRATION IV FIRST HOUR,96360,$264.07 
HYDRAT IV EACH ADD HOUR,96361,$118.94 
IV THER PROPHYL DX 1ST HR,96365,$301.81 
IV THER PROPH DX EA ADD H,96366,$100.51 
IV THER PROPH DX SEQL DRU,96367,$124.68 
IV THER PROPH DX CONCURRT,96368,$49.74 
IV PUSH ADDL SAME DRUG,96376,$89.93 
CHEMO IV 1ST HOUR ONLY,96413,$502.92 
CHEMO IV EA EXTRA HOUR,96415,$204.29 
CHEMO PERITONEAL CAVITY,96446,$226.04 
CHEMO PUSH ONLY,96409,$233.77 
CHEMO IVP EA ADD DRUG,96411,$167.67 
CHEMO IV SEQUENTIAL BAG,96417,$119.09 
PRECHEMO IV HYDRAT 1ST HR,96360,$181.85 
PRECHEMO IV HYDRAT ADD HR,96361,$68.01 
CHEMO IM/SQ HORMONAL,96402,$173.25 
CHEMO IM/SQ NONHORMONAL,96401,$167.90 
CHEMO PORT FLUSH,96523,$12.65 
BLADDER CHEMO ADM OUTPT,51720,$513.90 
PNEUMOVAX ADMIN,G0009,$26.69 
FLU VACCINE ADMIN,G0008,$30.45 
IMMUN ADMIN,90471,$40.00 
IMMUN ADMIN EA ADDL,90472,$40.00 
NEURO OBSERVATION ADDL HR,G0378,$35.94 
NEURO INITIAL OBSERVATION, ,$231.15 
NEURO OBSERVATION ADDL HR,G0378,$38.46 
GLUCOMETER-4 NORTH NEURO,82962,$22.14 
DRAINAGE OF SEROMA,10140,"$2,001.35 "
SPINAL PUNCTURE (O/P),62270,$679.50 
"BLOOD, OCCULT FECES (O/P)",82272,$15.00 
ABD PARACENTESIS (O/P),49082,$899.95 
THORACENTESIS (O/P),32554,$893.29 
COLLECT BLOOD FRM PICC(OP,36592,$104.95 
ASP/INJECT SM JOINT (O/P),20600,$315.15 
ASP/INJECT INTER JOINT(OP,20605,$511.58 
SITTER, ,$27.69 
ASP/INJECT MAJOR JT (O/P),20610,$637.71 
WOUND DEBRIDEMENT (O/P),97602,$186.90 
THORACOSTOMY TUBE (O/P),32551,$172.54 
EAR FB REMOVAL,69200,$64.75 
BONE MARROW BIOPSY O/P,38221,$585.73 
PVR SCAN NEURO,51798,$157.14 
VAC ADMIN,90471,$40.00 
CONTROL NASAL HEMOR- OP,30901,$140.42 
DRAINAGE EXTL EAR ABSCESS,69000,$277.43 
PERITONEAL DIALYSIS-INPT, ,$442.41 
PERITONEAL DIALYSIS - OP,90945,$222.77 
IM OR S/Q INJECTION,96372,$94.55 
"IV PUSH SINGLE, INITIAL",96374,$208.01 
IV PUSH ADD SEQ DIFF DRUG,96375,$103.42 
HYDRATION IV FIRST HOUR,96360,$266.23 
"HYDRAT IV EACH ADD, HOUR",96361,$118.94 
IV THER PROPHYL DX 1ST HR,96365,$301.81 
IV THER PROPH DX EA ADD H,96366,$100.51 
IV THER PROPH DX SEQL DRU,96367,$124.68 
IV THER PROPH DX CONCURRT,96368,$49.74 
IV PUSH ADDL SAME DRUG,96376,$89.93 
PNEUMOVAX ADMIN,G0009,$35.29 
FLU VACCINE ADMIN,G0008,$35.02 
IMMUN ADMIN,90471,$62.00 
IMMUN ADMIN EA ADDL,90472,$40.00 
COLLECT BLOOD IMPL DEVICE,36591,$85.95 
INCISION AND DRAINAGE OF ABSCESS,10060,$131.00 
ORTHO INITIAL OBSERVATION, ,$188.69 
ORTHO OBSERVATION ADDL HR, ,$31.39 
ORTHO OBSERVATION ADDL HR,G0378,$31.39 
GLUCOMETER-ORTHO,82962,$19.92 
SITTER, ,$15.25 
PVR SCAN ORTHO,51798,$141.57 
PERITONEAL DIALYSIS-INPT., ,$229.16 
PERITONEAL DIALYSIS - O/P,90945,$308.09 
PNEUMOVAX ADMIN,G0009,$16.25 
FLU VACCINE ADMIN,G0008,$17.00 
EKG,93005,$174.93 
SPECIMEN COLLECTION,36415,$20.00 
STREP SCREEN,87430,$25.00 
NEW PT VISIT LVL 1,99201,$27.00 
HOSP OUTPT VISIT G0463,G0463,$97.36 
NEW PT VISIT LVL 1 MOD 25,99201,$27.00 
HOSP O/P VISIT W/PROC,G0463,$97.36 
NEW PT VISIT LVL 2,99202,$44.00 
NEW PT VISIT LVL 2 MOD 25,99202,$44.00 
NEW PT VISIT LVL 3,99203,$70.00 
NEW PT VISIT LVL 3 MOD 25,99203,$70.00 
NEW PT VISIT LVL 4,99204,$89.00 
NEW PT VISIT LVL 4 MOD 25,99204,$89.00 
NEW PT VISIT LVL 5,99205,$102.00 
NEW PT VISIT LVL 5 MOD 25,99205,$102.00 
ESP PT VISIT LVL 1,99211,$25.00 
EST PT VISIT LVL 1 MOD 25,99211,$25.00 
EST PT VISIT LVL 2,99212,$35.00 
EST PT VISIT LVL 2 MOD 25,99212,$35.00 
EST PT VISIT LVL 3,99213,$49.00 
EST PT VISIT LVL 3 MOD 25,99213,$49.00 
EST PT VISIT LVL 4,99214,$59.00 
EST PT VISIT LVL 4 MOD 25,99214,$59.00 
EST PT VISIT LVL 5,99215,$76.00 
EST PT VISIT LVL 5 MOD 25,99215,$76.00 
EAR IRRIGATION,69210,$57.00 
PAIRING/CUTTING 1 LESION,11055,$48.00 
PAIRING/CUTTING 2-4 LES.,11056,$57.00 
PAIRING/CUTTING 5+ LESION,11057,$66.00 
I+D CYST/ABSCESS,10060,$131.00 
ANTHROCENTESIS SM,20600,$61.00 
EXC SKIN TAGS UP TO 15,11200,$107.00 
TOE NAIL TRIM,11719,$22.00 
DESTRUCTION 1 LESION,17000,$94.00 
DESTRUCTION 2-14 LESIONS,17003,$21.00 
DESTRUCTION 15+ LESIONS,17004,$245.00 
OCCULT BLOOD,82270,$15.00 
NEBULIZER TX,94640,$42.00 
PULSE OX,94760,$2.00 
FLU SPLIT VIRUS,90658,$20.00 
PNEUMOVAX,90732,$71.00 
HEP B ADULT,90746,$95.50 
ALLERGY INJ,95115,$21.00 
ALLERGY INJ 2,95117,$28.00 
KENALOG 10 MG,J3301,$2.75 
VITAMIN B12,J3420,$1.75 
PHENERGAN PER 50 MG,J2550,$6.25 
DEPOMEDROL 40,J1030,$9.25 
TRIGGER POINT,20550,$85.00 
TORADOL 15 MG,J1885,$8.00 
ARISTOSPAN 5MG,J3303,$4.50 
ROCEPHIN 250MG,J0696,$22.50 
INJECTION ADMIN,96372,$40.00 
IMMUN ADMIN,90471,$40.00 
IMMUN ADMIN EA ADDITIONAL,90472,$25.00 
CATHERIZATION,51701,$84.00 
HEP A,90632,$85.25 
HEP A 2 DOSE,90633,$44.50 
HEPATITIS ADMINISTRATION,G0010,$40.00 
PAP SMEAR,Q0091,$37.07 
PELVIC EXAM,G0101,$34.16 
STRAIGHT CATH,A4351,$8.30 
SURGICAL TRAY,A4550,$10.50 
EXC NAIL,11750,$172.00 
THER INJ CARPAL TUNNEL,20526,$72.00 
INJECT TRIGGER POINT 1-2,20552,$72.00 
EXCISION BENIGN LES .5CM,11400,$146.00 
REMOVAL OF NAIL PLATE,11730,$81.00 
DIPTHERIA/TETANUS ADULT,90714,$15.25 
PNEUMOVAX ADMIN,G0009,$45.93 
INJ DEXAMETHASONE 1MG,J1100,$1.00 
FLU VAC ADMIN,G0008,$46.00 
EXC BENIGN LES .6-1.0 CM,11401,$166.00 
EXC BENIGN LESION 1.1-2.0,11402,$220.00 
EXCISION BENIGN LESION<.5,11420,$137.00 
INITIAL PREVENTATIVE EXAM,G0402,$50.00 
BLOOD OCCULT DIGITAL EXAM,82272,$15.00 
TDAP 7YRS OR OLDER,90715,$45.00 
EX MAL LESION TRUNK 1.1-2,11602,$213.00 
ARTHROCENTESIS MAJOR JT,20610,$115.00 
CELESTONE PER 4MG,J0702,$36.00 
PREV VISIT 5-11 NEW,99383,$88.00 
PREV VISIT 5-11 EST,99393,$66.00 
PREV VISIT 18-39 NEW,99385,$99.00 
PREV VISIT 18-39 EST,99395,$76.00 
PREV VISIT 1-4 NEW,99382,$92.00 
PREV VISIT 1-4 EST,99392,$68.00 
PREV VISIT 12-17 NEW,99384,$94.00 
PREV VISIT 12-17 EST,99394,$72.00 
PREV VISIT <1 NEW,99381,$90.00 
PREV VISIT <1 EST,99391,$64.00 
BIOPSY OF SKIN SINGLE LES,11100,$128.00 
ZOSTER VACCINE,90736,$190.00 
SHAVE EXCISION,11310,$97.00 
AFLURIA ADMIN,Q2035,$25.00 
FLULAVAL ADMIN,Q2036,$25.00 
FLUVIRON ADMIN,Q2037,$25.00 
FLUZONE ADMIN,Q2038,$25.00 
NOSVLU ADMIN,Q2039,$25.00 
SMOKING CESSATION,99406,$26.00 
TRANSIT CARE WITHIN 14DAY,99495,$126.00 
TRANSIT CARE WITH 7 DAY,99496,$185.00 
SHAVE EXCISION,11301,$96.00 
SHAVE EXCISION,11305,$68.00 
SHAVE EXCISION,11306,$91.00 
PREVNAR 13,90670,$225.00 
DEPOMEDROL 80,J1040,$17.00 
SHAVE SKIN LESION TRUNK,11302,$105.00 
URINALYSIS,81002,$25.00 
FLU HIGH DOSE,90662,$60.00 
FLU QUADRAVALENT,90686,$20.00 
PREV VISIT 40-64 EST,99396,$37.00 
POLYSOMNOGRAPHY,95810,"$3,848.89 "
PSG AND CPAP,95811,"$3,401.19 "
MAINT OF WAKEFULNESS,95805,"$2,972.63 "
MSLT,95805,"$5,200.46 "
DAYTIME CPAP MONITORING,95807,"$1,292.79 "
PSG <6 YEARS,95782,"$10,408.05 "
PSG W/PAP <6 YEARS,95783,"$5,310.00 "
HOME SLEEP TST W/TYPE III,95806,$460.28 
EST PT VISIT LVL 1,99211,$74.33 
EST PT LVL 1 W/PROC,99211,$67.72 
NEW PT LEVEL 1,99201,$48.50 
NEW PT LEVEL 2,99202,$50.00 
NEW PT LEVEL 3,99203,$75.50 
NEW PT LEVEL 4,99204,$84.30 
NEW PT LEVEL 5,99205,$100.25 
NEW PT LEVEL 1 W/PROC,99201,$48.50 
NEW PT LEVEL 2 W/PROC,99202,$50.00 
NEW PT LEVEL 3 W/PROC,99203,$75.50 
NEW PT LEVEL 4 W/PROC,99204,$84.30 
NEW PT LEVEL 5 W/PROC,99205,$100.25 
NEW LEVEL 1,99201,$27.00 
NEW LEVEL 1,99201,$27.00 
NEW LEVEL 2,99202,$44.00 
NEW LEVEL 2,99202,$44.00 
NEW LEVEL 3,99203,$70.00 
NEW LEVEL 3,99203,$70.00 
NEW LEVEL 4,99204,$89.00 
NEW LEVEL 4,99204,$89.00 
NEW LEVEL 5,99205,$102.00 
NEW LEVEL 5,99205,$102.00 
EKG TRACING,93005,$79.06 
RYTHM STRIP TRAC,93041,$10.00 
"PACER REP INTERR., SINGLE",93279,$55.66 
"PACER REP INTERR., DUAL",93280,$66.48 
PACER EVAL PHONE,93293,$126.76 
PACER EVAL OFFICE,93288,$47.44 
PACER REP INTERR MULTI,93281,$44.00 
AICD REP INTERR SINGLE,93282,$40.00 
AICD EVAL OFFICE,93289,$35.00 
AICD REP INTERR DUAL,93283,$68.20 
"AICD REP INTERR, MULTI",93284,$59.80 
TRANSIT CARE WITHIN 7 DAY,99496,$185.00 
NEW LEVEL 1,99201,$27.00 
NEW LEVEL 1 + PROC,99201,$27.00 
NEW LEVEL 2,99202,$44.00 
NEW LEVEL 2 + PROC,99202,$44.00 
NEW LEVEL 3,99203,$70.00 
NEW LEVEL 3 + PROC,99203,$70.00 
NEW LEVEL 4,99204,$89.00 
NEW LEVEL 4 + PROC,99204,$89.00 
NEW LEVEL 5,99205,$102.00 
NEW LEVEL 5 + PROC,99205,$102.00 
EKG TRACING,93005,$90.92 
NEW LEVEL 1,99201,$27.00 
NEW LEVLE 1 + PROC,99201,$27.00 
NEW LEVEL 2,99202,$44.00 
NEW LEVEL 2 + PROC,99202,$44.00 
NEW LEVEL 3,99203,$70.00 
NEW LEVEL 3 + PROC,99203,$70.00 
NEW LEVEL 4,99204,$89.00 
NEW LEVEL 4 + PROC,99204,$89.00 
NEW LEVEL 5,99205,$102.00 
NEW LEVEL 5 + PROC,99205,$102.00 
EKG TRACING,93005,$68.75 
NEW LEVEL 1,99201,$27.00 
NEW LEVEL 1 + PROC,99201,$27.00 
NEW LEVEL 2,99202,$44.00 
NEW LEVEL 2 + PROC,99202,$44.00 
NEW LEVEL 3,99203,$70.00 
NEW LEVEL 3 + PROC,99203,$70.00 
NEW LEVEL 4,99204,$89.00 
NEW LEVEL 4 + PROC,99204,$89.00 
NEW LEVEL 5,99205,$102.00 
NEW LEVEL 5 + PROC,99205,$102.00 
EKG TRACING,93005,$68.75 
NEW LEVEL 1,99201,$27.00 
NEW LEVEL 1 + PROC,99201,$27.00 
NEW LEVEL 2,99202,$44.00 
NEW LEVEL 2 + PROC,99202,$44.00 
NEW LEVEL 3,99203,$70.00 
NEW LEVEL 3 + PROC,99203,$70.00 
NEW LEVEL 4,99204,$89.00 
NEW LEVEL 4 + PROC,99204,$89.00 
NEW LEVEL 5,99205,$102.00 
NEW LEVEL 5 + PROC,99205,$102.00 
EKG TRACING,93005,$68.75 
NEW LEVEL 1,99201,$27.00 
NEW LEVEL 1 + PROC,99201,$27.00 
NEW LEVEL 2,99202,$44.00 
NEW LEVEL 2 + PROC,99202,$44.00 
NEW LEVEL 3,99203,$70.00 
NEW LEVEL 3 + PROC,99203,$70.00 
NEW LEVEL 4,99204,$89.00 
NEW LEVEL 4 + PROC,99204,$89.00 
NEW LEVEL 5,99205,$102.00 
NEW LEVEL 5 + PROC,99205,$102.00 
EKG TRACING,93005,$90.92 
AICD REP INTERR DUAL,93283,$73.35 
AICD REP INTERR-MULTI,93284,$52.00 
PACER REP INTERR SINGLE,93279,$41.02 
PACER REP INTERR-DUAL,93280,$71.01 
AICD REP INTERR-SINGLE,93282,$40.00 
PACER REP INTERR MULTI,93281,$48.40 
LIMITED BILAT PHYSIO STDY,93922,$339.42 
COMP BILAT NONINVAS PHYS,93923,$728.93 
NONINVAS PHYS STDY LW EXT,93924,$322.62 
LIPID PANEL,80061,$25.00 
COLLECTION CAPILARY SPECI,36416,$27.31 
SMOKING CESSATION 3-10 MIN,99406,$26.00 
NEW PT LVL 1,99201,$27.00 
NEW PT LVL 1 + PROC,99201,$27.00 
NEW PT LVL 2,99202,$44.00 
NEW PT LVL 2 + PROC,99202,$44.00 
NEW PT LVL 3,99203,$70.00 
NEW PT LVL 3 + PROC,99203,$70.00 
NEW PT LVL 4,99204,$89.00 
NEW PT LVL 4 + PROC,99204,$89.00 
NEW PT LVL 5,99205,$102.00 
NEW PT LVL 5 + PROC,99205,$102.00 
EKG TRACING,93005,$79.06 
NEW PT VISIT LVL 1,99201,$27.00 
NEW PT VISIT LVL 1 MOD 25,99201,$27.00 
NEW PT VISIT LVL 2,99202,$44.00 
NEW PT VISIT LVL MOD 25,99202,$44.00 
NEW PT VISIT LVL 3,99203,$70.00 
NEW PT VISIT LVL 3 MOD 25,99203,$70.00 
NEW PT VISIT LVL 4,99204,$89.00 
NEW PT VISIT LVL 4 MOD 25,99204,$89.00 
NEW PT VISIT LVL 5,99205,$102.00 
NEW PT VISIT LVL 5 MOD 25,99205,$102.00 
AUDIO SCREEN TEST,92551,$25.00 
EAR IRRIGATION,69210,$57.00 
IMMUNIZ ADMIN ORAL 1 VACCINE ,90473,$59.26 
FLEXIBLE SIGMOIDOSCOPY,45330,$160.00 
SHINGRIX ,90750,$202.00 
PAIRING/CUTTING 1 LESION,11055,$48.00 
PAIRING/CUTTING 2-4 LES.,11056,$57.00 
PAIRING/CUTTING 5+ LESION,11057,$66.00 
COLPOSCOPY W/BX,57454,$182.00 
COLPOSCOPY,57452,$147.00 
ENDOCERVICAL CURRETTAGE,57505,$147.00 
I+D CYST/ABSCESS,10060,$131.00 
ANTHROCENTESIS SM,20600,$61.00 
EKG,93005,$79.06 
EXC SKIN TAGS UP TO 15,11200,$107.00 
EXC MALIG LESION 0.5CM<,11600,$190.00 
ENDOMETRIAL BIOPSY,58100,$158.00 
TOE NAIL TRIM,11719,$22.00 
DESTRUCTION 1 LESION,17000,$94.00 
DESTRUCTION 2-14 LESIONS,17003,$21.00 
DESTRUCTION 15+ LESIONS,17004,$245.00 
GLUCOSE TESTING,82962,$19.84 
UCG,81025,$25.00 
UA COMP,81000,$20.00 
OCCULT BLOOD,82270,$15.00 
TISSUE EXAM KOH SLIDE,87220,$10.00 
STREP SCREEN,87430,$25.00 
NEBULIZER TX,94640,$42.00 
AEROSOL DEMO & EVAL,94664,$42.75 
PULSE OX,94760,$2.00 
"FLU SHOT, SPLIT 3 YR +",90658,$20.00 
PNEUMOVAX,90732,$71.00 
HEP B ADULT,90746,$95.50 
ALLERGY INJ,95115,$21.00 
ALLERGY INJ 2,95117,$28.00 
KENALOG 10 MG,J3301,$2.75 
VITAMIN B12,J3420,$1.75 
VITAMIN K PER 1 MG,J3430,$4.37 
DEMEROL PER 100 MG,J2175,$12.50 
PNEUMOCOCCAL 13 VALENT,90670,$225.00 
PHENERGAN PER 50MG,J2550,$6.25 
DEPOMEDROL 40,J1030,$9.25 
MENINGOCOCAL GRP B,90620,$47.20 
TRIGGER POINT,20550,$85.00 
REM IMPCT CERUMEN IRRIG,69209,$87.00 
TORADOL 15MG,J1885,$8.00 
ARISTOSPAN 5MG,J3303,$4.50 
NUBAIN 10MG,J2300,$2.25 
ROCEPHIN 250MG,J0696,$22.50 
IMITREX 6MG,J3030,$80.00 
"EXC MALIG LESION TNK,ARM",11603,$406.00 
BLOOD DRAW,36415,$20.00 
IMMUN ADMIN,90471,$40.00 
IMMUN ADMIN EA ADDITIONAL,90472,$27.50 
PEAK FLOW,A4614,$31.50 
EXC BX CERVICAL LESION,57500,$190.00 
CRYO OF CERVIX,57511,$233.00 
HEP A,90632,$85.25 
HEP A 2 DOSE,90633,$44.50 
HEPATITIS ADMINISTRATION,G0010,$46.00 
PAP SMEAR,Q0091,$71.57 
PELVIC EXAM,G0101,$65.51 
FOLEY CATH W/BAG,A4344,$32.00 
STRAIGHT CATH,A4351,$8.30 
EXC BEN LES TR A/L .5CM,11400,$146.00 
EXC BEN LES TR A/L .6-1CM,11401,$166.00 
EXC BEN LES TR A/L 1.1-2C,11402,$220.00 
EXC BEN LES TR A/L 2.1-3C,11403,$243.00 
EXC BEN LES TR A/L 3.1-4C,11404,$223.00 
EXC BEN LES TR A/L >4CM,11406,$286.00 
EXC BEN LES SCA FT NEC HA,11420,$137.00 
EXC BEN LES SCA FT NEC HA,11421,$171.00 
EXC BEN LES SCA FT NEC HA,11422,$221.00 
EXC BEN LES SCA FT NE HA,11423,$220.00 
EXC BEN LES SCA FT NEC HA,11424,$270.00 
EXC BEN LES SCA FT NEC HA,11426,$336.00 
EXC BEN LES FA EAR LIP NO,11440,$193.00 
EXC BEN LES FA EAR LIP EY,11441,$218.00 
EXC BEN LES FA EAR LIP NO,11442,$240.00 
EXC BEN LES FA EAR LIP NO,11443,$273.00 
EXC BEN LES FA EAR LIP NO,11444,$325.00 
EXC BEN LES FA EAR LIP EY,11446,$373.00 
EXC NAIL,11750,$172.00 
UNNA BOOT,29580,$50.00 
REMOVAL BOOT,29700,$69.00 
OMT 1-2 REGIONS,98925,$15.00 
OMT 3-4 REGIONS,98926,$40.00 
PNEUMOVAX ADMIN,G0009,$40.00 
FLU VAC ADMIN,G0008,$46.00 
DEXAMETHASONE 1MG,J1100,$1.00 
INJECTION MAJOR JOINT,20610,$115.00 
ANOSCOPY,46600,$72.00 
SHAVING LESION SCALP NECK,11305,$68.00 
SHAVE LESION FACE.6-1.0CM,11311,$108.00 
DESTRUCTION MALIG LESION,17281,$279.00 
PREV VIS < 1 NEW,99381,$90.00 
PREV VIS 1-4 NEW,99382,$92.00 
PREV VIS 5-11 NEW,99383,$88.00 
PREV VIS 12-17 NEW,99384,$94.00 
PREV VIS 18-39 NEW,99385,$99.00 
PREV VIS 40-64 NEW,99386,$52.00 
PREV VIS 65+ NEW,99387,$59.00 
PREV VIS <1 EST,99391,$64.00 
PREV VIS 1-4 EST,99392,$68.00 
PREV VIS 5-11 EST,99393,$66.00 
PREV VIS 12-17 EST,99394,$72.00 
PREV VIS 18-39 EST,99395,$76.00 
PREV VIS 40-64 EST,99396,$37.00 
PREV VIS 65+ EST,99397,$42.00 
BX SKIN,11100,$128.00 
BX SKIN EACH ADD+1,11101,$61.00 
WEDGE EXC ING TOENAIL,11765,$92.00 
EACH ADDT'L 10 LESIONS,11201,$46.00 
TD OVER 7YRS,90714,$15.25 
ANTHROCENTESIS ASP INJ,20605,$85.00 
TRIGGER POINT INJ,20552,$72.00 
EXC TUMOR LEG SUBCTANEO.,27618,$485.00 
IV THER PROPHY DX TO 1 HR,96365,$140.80 
SPIROMETRY,94010,$47.00 
FLEX SIG W BX SINGLE,45331,$195.00 
"ANTIBODY,INFLUENZA VIRUS",87804,$25.00 
ASP/INJ GANGLION CYST(S),20612,$61.00 
INJ INTRALESIONAL UP TO 7,11900,$65.00 
INSERT OF FOLEY CATH,51702,$157.00 
SHAVE LES TAL .5CM OR LES,11300,$86.00 
SHAV LES TAL .6 TP 1.0 CM,11301,$96.00 
SHAVE LES 1.1 TO 2.0 CM,11302,$105.00 
SHAVE LESION OVER 2.0 CM,11303,$121.00 
SHAVE LES(SNHFG) .6-1.0CM,11306,$91.00 
SHAVE LES (SNHFG)1.1-2.CM,11307,$103.00 
SHAVE LES(SNH)OVER 2.0 CM,11308,$118.00 
SHAVE LES FACE.5CM OR LES,11310,$97.00 
SHAVE LES FACE  1.1-2.0CM,11312,$116.00 
SHAVE LES FACE OVER 2.0CM,11313,$146.00 
THER PROPHY DX EA ADD HR,96366,$43.45 
DEPO MEDROL 80 MG,J1040,$17.00 
EXC MAL 1.1 TO 2.0 NECK,11622,$229.00 
REM FOREIGHN BODY EAR EXT,69200,$109.00 
EXC MAL .6 TO 1.0 CM SCAL,11641,$225.00 
EXC MAL 1.1 TO 2CM TRUNK,11602,$213.00 
EXC MAL LES TRUNK 0.6-1.0,11601,$199.00 
LAYER CLOSURE 2.5CM FACE,12051,$266.00 
OCCULT BLOOD DIGITAL EXAM,82272,$15.00 
"IV-HEPLOCK,INTR OF NEEDLE",36000,$45.00 
TDAP 7 YRS AND OLDER,90715,$45.00 
LAY CLOSE(SATE) 2.5 CM/<,12031,$204.00 
EXC TUMOR THIGH KNEE SQ,27327,$538.00 
