NANTUCKET COTTAGE HOSPITAL STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
98301178,HCPR DRAINAGE EXTERNAL EAR ABSCESS/HEMATOMA SIMPLE,$139.00
98301176,HCPR BLEPHAROTOMY DRAINAGE ABSCESS EYELID,$380.00
98301172,HCPR INJECTION ANESTHETIC AGENT FACIAL NERVE,$170.00
98301170,HCPR TX MISSED ABORTION FIRST TRIMESTER SURGICAL,"$1,352.00"
98301166,HCPR OB ANTEPARTUM CARE CESAREAN DLVR & POSTPARTUM,"$8,833.00"
98301163,HCPR EXTERNAL CEPHALIC VERSION W/WO TOCOLYSIS,$675.00
98301159,HCPR LAPS TX ECTOPIC PREG W/SALPING&/OOPHORECTOMY,"$3,493.00"
98301158,HCPR FETAL NONSTRESS TEST,$110.00
98301138,HCPR SUPRACERVICAL ABDL HYSTER W/WO RMVL TUBE OVARY,"$3,619.00"
98301132,HCPR PRTL HYMENECTOMY/REVJ HYMENAL RING,$724.00
98301126,HCPR LAPS RPR RECURRENT INCAL HRNA NCRC8/STRANGULATED,"$4,483.00"
98301125,HCPR LAPS RPR RECURRENT INCISIONAL HERNIA REDUCIBLE,"$3,126.00"
98301124,HCPR LAPS RPR INCISIONAL HERNIA NCRC8/STRANGULATED,"$3,748.00"
98301123,HCPR LAPAROSCOPY REPAIR INCISIONAL HERNIA REDUCIBLE,"$3,115.00"
98301122,HCPR LAP RPR HRNA XCPT INCAL/INGUN NCRC8/STRANGULATED,"$3,401.00"
98301120,HCPR LAPS SURG RPR RECURRENT INGUINAL HERNIA,"$2,020.00"
98301119,HCPR LAPAROSCOPY SURG RPR INITIAL INGUINAL HERNIA,"$1,475.00"
98301118,HCPR RPR UMBILICAL HERNIA AGE 5 YRS/> INCARCERATED,"$1,805.00"
98301117,HCPR RPR UMBILICAL HRNA 5 YRS/> REDUCIBLE,"$1,531.00"
98301114,HCPR IMPLANT MESH OPN HERNIA RPR/DEBRIDEMENT CLOSURE,$966.00
98301112,HCPR RPR 1ST INCAL/VNT HERNIA INCARCERATED,"$3,207.00"
98301106,HCPR RPR 1ST INGUN HRNA AGE 5 YRS/> REDUCIBLE,"$1,986.00"
98301100,HCPR LAPS ABD PRTM&OMENTUM DX W/WO SPEC BR/WA SPX,"$1,295.00"
98301094,HCPR CHOLECYSTECTOMY,"$3,977.00"
98301093,HCPR LAPAROSCOPY SURG CHOLECYSTECTOMY,"$2,577.00"
98301090,HCPR HRHC NTRNL LIG OTH THAN RBBR BAND 2/> COL/GRP,$792.00
98301089,HCPR DESTRUCTION INTERNAL HEMORRHOID THERMAL ENERGY,$581.00
98301088,HCPR DSTRJ LESION ANUS SIMPLE SURG EXCISION,$634.00
98301081,HCPR EXCISION SINGLE EXTERNAL PAPILLA OR TAG ANUS,$437.00
98301078,HCPR I&D ISCHIORECTAL&/PERIRECTAL ABSCESS SPX,$323.00
98301076,HCPR COLSC FLX W/RMVL OF TUMOR POLYP LESION SNARE TQ,"$1,135.00"
98301073,HCPR COLONOSCOPY W/BIOPSY SINGLE/MULTIPLE,"$1,879.00"
98301072,HCPR COLONOSCOPY FLX DX W/COLLJ SPEC WHEN PFRMD,$967.00
98301070,HCPR SIGMOIDOSCOPY FLX W/BIOPSY SINGLE/MULTIPLE,$672.00
98301068,HCPR LAPAROSCOPIC APPENDECTOMY,"$2,067.00"
98301048,HCPR EGD TRANSORAL BIOPSY SINGLE/MULTIPLE,"$1,346.00"
98301047,HCPR ESOPHAGOGASTRODUODENOSCOPY TRANSORAL DIAGNOSTIC,"$1,218.00"
98301043,HCPR DRG ABSC CST HMTMA FROM DENTOALVEOLAR STRUXS,$468.00
98301037,HCPR INSJ PRPH CTR VAD W/SUBQ PORT AGE 5 YR/>,"$1,787.00"
98301036,HCPR INSJ PRPH CVC W/O SUBQ PORT/PMP AGE 5 YR/>,"$1,120.00"
98301034,HCPR INSJ TUNNELED CTR VAD W/SUBQ PORT AGE 5 YR/>,"$4,294.00"
98301032,HCPR INSJ NON-TUNNELED CENTRAL VENOUS CATH AGE 5 YR/>,$274.00
98301026,HCPR THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING,$499.00
98301024,HCPR TUBE THORACOSTOMY INCLUDES WATER SEAL,$632.00
98301000,HCPR STRAPPING KNEE,$79.00
98300990,HCPR TX OPEN TENDON FLEXOR TOE 1 TENDON SPX,$933.00
98300983,HCPR CLTX TRIMALLEOLAR ANKLE FX W/MANIPULATION,"$1,525.00"
98300981,HCPR CLOSED TX BIMALLEOLAR ANKLE FRACTURE W/MANJ,$773.00
98300954,HCPR CLTX POST HIP ARTHRP DISLC W/O ANES,"$1,540.00"
98300944,HCPR CLTX ARTCLR FX INVG MTCARPHLNGL/IPHAL JT W/MANJ,"$1,142.00"
98300922,HCPR CLTX HUMERAL SHFT FX W/MANJ W/WO SKELETAL TRACJ,$856.00
98300912,HCPR CLSD TX SHOULDER DISLC W/MANIPULATION REQ ANES,$631.00
98300901,HCPR CLTX VRT FX&/DISLC CSTING/BRACING MANJ/TRCJ,$957.00
98300881,HCPR EXC CYST/ABERRANT BREAST TISSUE OPEN 1/> LESION,"$1,492.00"
98300874,HCPR REPAIR COMPLEX EYELID/NOSE/EAR/LIP 2.6-7.5 CM,$716.00
98300873,HCPR REPAIR COMPLEX EYELID/NOSE/EAR/LIP 1.1-2.5 CM,$525.00
98300870,HCPR REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 1.1-2.5 CM,"$1,033.00"
98300869,HCPR REPAIR COMPLEX SCALP/ARM/LEG EA ADDL 5 CM/<,$324.00
98300868,HCPR REPAIR COMPLEX SCALP/ARM/LEG 2.6-7.5 CM,"$1,232.00"
98300864,HCPR REPAIR INTERMEDIATE F/E/E/N/L&/MUC 20.1-30.0CM,"$1,257.00"
98300863,HCPR REPAIR INTERMEDIATE F/E/E/N/L&/MUC 7.6-12.5 CM,$356.00
98300858,HCPR DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,$176.00
98300857,HCPR DBRDMT FX&/DISLC SUBQ T/M/F BONE,$112.00
98300853,HCPR INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,$727.00
98300848,HCPR DESTRUCTION MAL LESION F/E/E/N/L/M 3.1-4.0CM,$820.00
98300847,"HCPR INJ DX/THER AGNT PARAVT FACET JNT,IMG GUIDE,LUMBAR/SAC,1ST LEVEL",$409.00
98300838,HCPR CLOSURE LACERATION VESTIBULE MOUTH 2.5 CM/<,$300.00
98300835,HCPR DRG ABSC CST HMTMA VESTIBULE MOUTH SMPL,$462.00
98300817,HCPR SUBSEQUENT HOSPITAL CARE HIGH,$364.00
98300816,HCPR HOSPITAL DISCHARGE DAY 30 MIN OR LESS,$253.00
98300815,HCPR SUBSEQUENT HOSPITAL CARE MOD,$254.00
98300814,HCPR SUBSEQUENT HOSPITAL CARE LOW,$78.00
98300813,HCPR INITIAL HOSPITAL CARE HIGH,$698.00
98300812,HCPR INITIAL HOSPITAL CARE MOD,$475.00
98300811,HCPR INITIAL HOSPITAL CARE LOW,$349.00
98300810,HCPR CLTX PHLNGL FX PROX/MIDDLE PX/F/T W/MANJ EA,$231.00
98300796,HCPR ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/US,$238.00
98300795,HCPR ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/O US,$214.00
98300793,HCPR ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/O US,$186.00
98300791,HCPR ARTHROCENTESIS ASPIR&/INJ SMALL JT/BURSA W/O US,$164.00
98300641,HCPR CLSD TX DIST RAD FX W/MANIP,"$2,119.00"
98300639,HCPR CONSULT - LEVEL 5 VISIT,$683.00
98300638,HCPR CONSULT - LEVEL 4 VISIT,$551.00
98300637,HCPR CONSULT - LEVEL 3 VISIT,$347.00
98300636,HCPR CONSULT - LEVEL 2 VISIT,$249.00
98300635,HCPR CONSULT - LEVEL 1 VISIT,$119.00
98300634,HCPR CHEMODENERV MUSC NECK DYSTON,$468.00
98300591,HCPR OBTAINING SCREEN PAP SMEAR,$161.00
98300588,HCPR TRIM NAIL(S),$30.00
98300586,HCPR CA SCREEN;PELVIC/BREAST EXAM,$138.00
98300576,HCPR CHEMODERVATE FACIAL/TRIGEM/CERV MUSC MIGRAINE,$593.00
98300573,HCPR THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,$322.00
98300571,HCPR INJECT SI JOINT ARTHRGRPHY&/ANES/STEROID W/IMA,$413.00
98300568,HCPR ARTHROCENTESIS ASPIR&/INJECTION MAJOR JT/BURSA,$214.00
98300566,HCPR DESTRUCTION BENIGN LESIONS UP TO 14,$272.00
98300544,HCPR PERIODIC PREVENTIVE MED EST PATIENT 65YRS& OLDER,$297.00
98300543,HCPR PERIODIC PREVENTIVE MED EST PATIENT 40-64YRS,$265.00
98300542,HCPR PERIODIC PREVENTIVE MED EST PATIENT 18-39 YRS,$236.00
98300537,HCPR INITIAL PREVENTIVE MEDICINE NEW PATIENT 40-64YRS,$326.00
98300536,HCPR INITIAL PREVENTIVE MEDICINE NEW PT AGE 18-39YRS,$349.00
98300531,HC PROLNG E&M/PSYCTX SVC OFFICE O/P DIR CON ADDL 30,$371.00
98300530,HCPR PROLNG SVC OFFICE O/P DIR CONTACT 1ST HR,$408.00
98300529,HCPR CONSULT - NEW PT - LEVEL 5 VISIT,$734.00
98300528,HCPR CONSULT - NEW PT - LEVEL 4 VISIT,$578.00
98300527,HCPR OFFICE CONSULTATION NEW PATIENT 40 MIN,$363.00
98300526,HCPR CONSULT - NEW PT - LEVEL 2 VISIT,$260.00
98300525,HCPR CONSULT - NEW PT - LEVEL 1 VISIT,$124.00
98300524,HCPR ESTAB PT- LEVEL 5 VISIT,$365.00
98300523,HCPR ESTAB PT- LEVEL 4 VISIT,$258.00
98300522,HCPR ESTAB PT- LEVEL 3 VISIT,$168.00
98300521,HCPR ESTAB PT- LEVEL 2 VISIT,$86.00
98300520,HCPR OFFICE OUTPATIENT EST LEVEL 1,$32.00
98300519,HCPR NEW PT - LEVEL 5 VISIT,$552.00
98300518,HCPR NEW PT - LEVEL 4 VISIT,$429.00
98300517,HCPR NEW PT - LEVEL 3 VISIT,$254.00
98300516,HCPR OFFICE OUTPATIENT NEW 20 MINUTES,$167.00
98300515,HCPR OFFICE OUTPATIENT NEW 10 MINUTES,$88.00
98300510,HCPR DEBRIDEMENT OPEN WOUND EACH ADDITIONAL 20 SQ CM,$154.00
98300509,HCPR DEBRIDEMENT OPEN WOUND 20 SQ CM/<,$142.00
98300497,HCPR BRNCDILAT RSPSE SPMTRY PRE&POST-BRNCDILAT ADMN,$54.00
98300496,HCPR SPMTRY W/VC EXPIRATORY FLO W/WO MXML VOL VNTJ,$32.00
98300494,HCPR CARDIOPULMONARY RESUSCITATION,$398.00
98300491,HCPR FLUORO NEEDLE/CATH SPINE/PARASPINAL DX/THER (26),$112.00
98300490,HCPR FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT (26),$108.00
98300485,HCPR RMVL IMPACTED CERUMEN SPX UNILATERAL,$72.00
98300484,HCPR RMVL FB XTRNL AUDITORY CANAL W/O ANES,$139.00
98300482,HCPR BIOPSY EXTERNAL EAR,$189.00
98300480,HCPR RMVL FB XTRNL EYE CORNEAL W/SLIT LAMP,$111.00
98300479,HCPR RMVL FB XTRNL EYE CORNEAL W/O SLIT LAMP,$85.00
98300478,HCPR REMOVAL FB EYE CONJUNCTIVAL SUPERFICIAL,$63.00
98300474,HCPR DSTRJ NEUROLYTIC AGENT OTHER PERIPHERAL NERVE,$695.00
98300473,HCPR DSTR NROLYTC AGNT PARVERTEB FCT ADDL LMBR/SACRAL,$271.00
98300472,HCPR DSTR NROLYTC AGNT PARVERTEB FCT SNGL LMBR/SACRAL,"$1,020.00"
98300471,HCPR DSTR NROLYTC AGNT PARVERTEB FCT ADDL CRVCL/THORA,$296.00
98300470,HCPR DSTR NROLYTC AGNT PARVERTEB FCT SNGL CRVCL/THORA,$989.00
98300462,HCPR INJECTION ANES LMBR/THRC PARAVERTBRL SYMPATHETIC,$406.00
98300458,HCPR NJX DX/THER AGT PVRT FACET JT LMBR/SAC 3+ LEVEL,$233.00
98300457,HCPR NJX DX/THER AGT PVRT FACET JT LMBR/SAC 2ND LEVEL,$229.00
98300455,HCPR NJX DX/THER AGT PVRT FACET JT CRV/THRC 3+ LEVEL,$274.00
98300454,HCPR NJX DX/THER AGT PVRT FACET JT CRV/THRC 2ND LEVEL,$269.00
98300453,HCPR NJX DX/THER AGT PVRT FACET JT CRV/THRC 1 LEVEL,$484.00
98300452,HCPR NJX ANES&/STRD W/IMG TFRML EDRL LMBR/SAC EA LV,$285.00
98300451,HCPR NJX ANES&/STRD W/IMG TFRML EDRL LMBR/SAC 1 LVL,"$1,146.00"
98300450,HCPR NJX ANES&/STRD W/IMG TFRML EDRL CRV/THRC EA LV,$249.00
98300449,HCPR NJX ANES&/STRD W/IMG TFRML EDRL CRV/THRC 1 LVL,"$1,329.00"
98300448,HCPR NJX ANES&/STEROID PLANTAR COMMON DIGITAL NERVE,$159.00
98300447,HCPR INJECTION ANES OTHER PERIPHERAL NERVE/BRANCH,$282.00
98300434,HCPR NJX ANES TRIGEMINAL NRV ANY DIV/BRANCH,$388.00
98300420,HCPR INJECTION PX DISCOGRPHY EA LVL CERVICAL/THORACIC,$658.00
98300419,HCPR INJECTION PX DISCOGRAPHY EACH LEVEL LUMBAR,"$1,047.00"
98300415,HCPR SPINAL PUNCTURE LUMBAR DIAGNOSTIC,$145.00
98300407,HCPR HYSTEROSCOPY BX ENDOMETRIUM&/POLYPC W/WO D&C,"$1,598.00"
98300406,HCPR HYSTEROSCOPY DIAGNOSTIC SEPARATE PROCEDURE,$895.00
98300405,HCPR REMOVAL INTRAUTERINE DEVICE IUD,$258.00
98300404,HCPR INSERTION INTRAUTERINE DEVICE IUD,$197.00
98300403,HCPR DILATION & CURETTAGE DX&/THER NONOBSTETRIC,$913.00
98300402,HCPR ENDOMETRIAL BX W/WO ENDOCERVIX BX W/O DILAT SPX,$328.00
98300396,HCPR BIOPSY CERVIX SINGLE/MULT/EXCISION OF LESION SPX,$524.00
98300393,HCPR COLPOSCOPY CERVIX ENDOCERVICAL CURETTAGE,$396.00
98300392,HCPR COLPOSCOPY CERVIX UPPR/ADJCNT VAGINA W/CERVIX BX,$413.00
98300391,HCPR COLPOSCOPY CERVIX BX CERVIX & ENDOCRV CURRETAGE,$523.00
98300390,HCPR COLPOSCOPY CERVIX UPPER/ADJACENT VAGINA,$354.00
98300385,HCPR FIT&INSJ PESSARY/OTH INTRAVAGINAL SUPPORT DEVI,$175.00
98300380,HCPR DESTRUCTION VAGINAL LESIONS SIMPLE,$404.00
98300375,HCPR BIOPSY VULVA/PERINEUM 1 LESION SPX,$288.00
98300371,HCPR I&D OF BARTHOLINS GLAND ABSCESS,$192.00
98300370,HCPR I&D VULVA/PERINEAL ABSCESS,$196.00
98300368,HCPR PNXR ASPIR HYDROCELE TUNICA VAGIS W/WO NJX MED,$330.00
98300357,HCPR CHANGE CYSTOSTOMY TUBE SIMPLE,$97.00
98300355,HCPR INSJ TEMP NDWELLG BLADDER CATHETER SIMPLE,$354.00
98300354,HCPR INSJ NON-NDWELLG BLADDER CATHETER,$275.00
98300353,HCPR BLDR IRRIGATION SMPL LAVAGE &/INSTLJ,$172.00
98300342,HCPR ANOSCOPY DX W/WO COLLJ SPEC BR/WA SPX,$76.00
98300340,HCPR INCISION THROMBOSED HEMORRHOID EXTERNAL,$489.00
98300339,HCPR SIGMOIDOSCOPY FLX DX W/WO COLLJ SPECIMENS,$521.00
98300334,HCPR REMOVAL FOREIGN BODY PHARYNX,$251.00
98300322,HCPR BIOPSY OF LIP,$284.00
98300308,HCPR RMVL TUN CTR VAD W/SUBQ PORT/PMP CTR/PRPH INSJ,"$1,011.00"
98300307,HCPR RMVL TUN CVC W/O SUBQ PORT/PMP,$533.00
98300296,HCPR INTUBATION ENDOTRACHEAL EMERGENCY PROCEDURE,$240.00
98300290,HCPR CONTROL NASAL HEMORRHAGE ANTERIOR SIMPLE,$131.00
98300289,HCPR REMOVAL FOREIGN BODY INTRANASAL OFFICE PROCEDURE,$97.00
98300285,HCPR APPL MLTLAYR COMPRES LEG BELOW KNEE W/ANKLE FOOT,$118.00
98300284,HCPR STRAPPING UNNA BOOT,$138.00
98300282,HCPR STRAPPING ANKLE &/FOOT,$91.00
98300281,HCPR APPLICATION SHORT LEG SPLINT CALF FOOT,$107.00
98300280,HCPR APPLICATION LONG LEG SPLINT THIGH ANKLE/TOES,$98.00
98300275,HCPR APPLICATION FINGER SPLINT STATIC,$58.00
98300273,HCPR APPLICATION SHORT ARM SPLINT FOREARM-HAND STATIC,$90.00
98300272,HCPR APPLICATION LONG ARM SPLINT SHOULDER HAND,$124.00
98300270,HCPR APPLICATION CAST ELBOW FINGER SHORT ARM,$101.00
98300268,HCPR CLTX INTERPHALANGEAL JOINT DISLOCATION W/O ANES,$344.00
98300263,HCPR CLTX FX PHLX/PHLG OTH/THN GRT TOE W/MANJ,$498.00
98300239,HCPR CLOSED TX PATELLAR DISLOCATION W/O ANESTHESIA,"$1,197.00"
98300215,HCPR CLTX IPHAL JT DISLC W/MANJ W/O ANES,$409.00
98300212,HCPR CLTX METACARPOPHALANGEAL DISLC W/MANJ W/O ANES,$469.00
98300208,HCPR DRAINAGE FINGER ABSCESS SIMPLE,$110.00
98300204,HCPR CLTX DSTL RADIAL FX/EPIPHYSL SEP W/O MANJ,$231.00
98300198,HCPR CLOSED TX ULNAR FRACTURE PROXIMAL END W/O MANJ,$974.00
98300196,HCPR CLTX RDL HEAD SUBLXTJ CHLD NURSEMAID ELBW W/MANJ,$219.00
98300195,HCPR TREATMENT CLOSED ELBOW DISLOCATION W/O ANES,$663.00
98300188,HCPR INCISION&DRAINAGE UPPER ARM/ELBOW BURSA,$557.00
98300186,HCPR CLSD TX SHOULDER DISLC W/MANIPULATION W/O ANES,$535.00
98300171,HCPR EXCISION TUMOR SOFT TIS BACK/FLANK SUBQ 3 CM/>,"$1,791.00"
98300166,HCPR EXC TUMOR SOFT TIS NECK/ANT THORAX SUBQ 3 CM/>,"$1,721.00"
98300164,HCPR CLOSED TX NASAL FRACTURE W/O STABILIZATION,$599.00
98300154,HCPR ASPIRATION&/INJECTION GANGLION CYST ANY LOCATJ,$159.00
98300151,HCPR INJECTION SINGLE/MLT TRIGGER POINT 3/> MUSCLES,$165.00
98300150,HCPR INJECTION SINGLE/MLT TRIGGER POINT 1/2 MUSCLES,$148.00
98300149,HCPR INJECTION SINGLE TENDON ORIGIN/INSERTION,$163.00
98300148,HCPR INJECTION 1 TENDON SHEATH/LIGAMENT APONEUROSIS,$188.00
98300147,HCPR INJECTION THERAPEUTIC CARPAL TUNNEL,$215.00
98300133,HCPR PUNCTURE ASPIRATION CYST BREAST,$163.00
98300132,HCPR DESTRUCTION MAL LESION F/E/E/N/L/M 2.1-3.0CM,$694.00
98300131,HCPR DESTRUCTION MAL LESION F/E/E/N/L/M 1.1-2.0CM,$559.00
98300130,HCPR DESTRUCTION MAL LESION F/E/E/N/L/M 0.6-1.0CM,$485.00
98300129,HCPR DESTRUCTION MALIGNANT LESION F/E/E/N/L/M 0.5CM/<,$353.00
98300128,HCPR DESTRUCTION MALIGNANT LESION S/N/H/F/G 2.1-3.0CM,$559.00
98300127,HCPR DESTRUCTION MALIGNANT LESION S/N/H/F/G 1.1-2.0CM,$496.00
98300126,HCPR DESTRUCTION MALIGNANT LESION S/N/H/F/G 0.6-1.0CM,$432.00
98300125,HCPR DESTRUCTION MALIGNANT LESION S/N/H/F/G 0.5 CM/>,$385.00
98300124,HCPR DESTRUCTION MAL LESION TRUNK/ARM/LEG 2.1-3.0CM,$499.00
98300123,HCPR DESTRUCTION MAL LESION TRUNK/ARM/LEG 1.1-2.0CM,$452.00
98300122,HCPR DESTRUCTION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM,$357.00
98300121,HCPR DESTRUCTION MALIGNANT LESION T/A/L 0.5 CM/<,$261.00
98300120,HCPR CHEMICAL CAUTERIZATION GRANULATION TISSUE,$146.00
98300119,HCPR DESTRUCTION BENIGN LESIONS 15/>,$334.00
98300118,HCPR DESTRUCTION BENIGN LESIONS UP TO 14,$272.00
98300117,HCPR DESTRUCTION PREMALIGNANT LESION 15/>,$516.00
98300116,HCPR DESTRUCTION PREMALIGNANT LESION 2-14 EA,$30.00
98300115,HCPR DESTRUCTION PREMALIGNANT LESION 1ST,$217.00
98300114,HCPR DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ LARGE,$549.00
98300113,HCPR DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ MEDIUM,$175.00
98300112,HCPR DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ SMALL,$124.00
98300111,HCPR INITIAL TX 1ST DEGREE BURN LOCAL TX,$80.00
98300108,HCPR REPAIR INTERMEDIATE F/E/E/N/L&/MUC 5.1-7.5 CM,$325.00
98300107,HCPR REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.6-5.0 CM,$357.00
98300106,HCPR REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.5 CM/<,$336.00
98300105,HCPR REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.6-7.5 CM,$288.00
98300104,HCPR REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.5CM/<,$302.00
98300103,HCPR REPAIR INTERMEDIATE S/A/T/E 12.6-20.0CM,$357.00
98300102,HCPR REPAIR INTERMEDIATE S/A/T/E 7.6-12.5 CM,$303.00
98300101,HCPR REPAIR INTERMEDIATE S/A/T/E 2.6-7.5 CM,$370.00
98300100,HCPR REPAIR INTERMEDIATE S/A/T/E 2.5 CM/<,$268.00
