Hospital Name:  AHMC WHITTIER HOSPITAL MEDICAL CENTER,,,
OSHPD Facility No: 106190883,,,
"Effective Date of Charges: June 1, 2018",,,
1322122,OR MAJOR 1ST HR,$10005.00,
1322123,OR LITHO 1ST HR,$10005.00,
1322128,OR MINOR 1ST HR,$2090.00,
1420331,INJ EPIDURAL THERAPEUTIC:SP,$1929.00,
1520001,ANES GEN 1ST HR,$1671.00,
1520010,ANES MONITORED CARE 1ST H,$546.00,
1520012,ANES MONITORED CARE 30MIN,$151.00,
1520025,ANES SP/RG 1ST HR,$817.00,
1520027,ANES SP/RG ADDL 0.5 HR,$173.00,
1520043,ANES TOPICAL,$1187.00,
1520045,ANES REGIONAL BLOCK,$1483.00,
1520047,ANES LOCAL NERVE BLOCK,$1285.00,
1520055,ANES GAS ANALYSIS,$1285.00,
1520065,ANES GEN ADDL 0.5 HR,$164.00,
1520067,ANES GAS,$642.00,
1521950,ANESTHESIA OB EPIDURAL,$0.00,
1620002,ENDO DISSECT ROTICULATOR,$1215.00,
1620004,RETRACTOR ENDO,$931.00,
1620010,ENDOCOAGULATOR,$330.00,
1620011,TROCAR THORACOPORT,$182.00,
1620014,ENDO GIA 60 RELOAD,$1034.00,
1620016,ENDO GIA 60,$2123.00,
1620017,ENDO KNOT,$354.00,
1620021,NDL MICRO TIP,$239.00,
1620025,BIOPATCH KIT,$33.00,
1620027,KATZ EXTRACTOR,$234.00,
1620038,DRAIN BLAKE,$191.00,
1620040,PIN ORTHOSORB,$848.00,
1620041,KIT SHOULDER SUSPENSION,$188.00,
1620043,FLOW SWITCH HP 44-201,$545.00,
1620046,ENDO GRASPERS/CLINCH,$1034.00,
1620050,FILTER BLOOD LEUKOCYTE,$238.00,
1620057,VALVE HEIMLEICH,$223.00,
1620059,CO-SET,$173.00,
1620060,BOOT SLIM LINE WALKER,$982.00,
1620061,SHEET LAP CHOLE,$229.00,
1620062,BOOT ULTRA 3 FIXED,$672.00,
1620063,SHEATH PERITONEAL INTRODU,$146.00,
1620064,ELECTRODE TENS 9000,$104.00,
1620065,SHEET LITHOTOMY,$363.00,
1620066,PACK PELVISCOPY CUSTOM,$2120.00,
1620067,SET BASIN MAJOR,$349.00,
1620068,WIRE GI BILIARY,$940.00,
1620069,ASSEMBLY CSF SNAP,$102.00,
1620072,SLING DISP PATIENT LIFT,$102.00,
1620074,BRACE WRIST,$97.00,
1620079,GEL PREP,$137.00,
1620081,CANNULA ANTERIOR CHAMBER,$95.00,
1620092,KIT EYE,$54.00,
1620097,ENDO STITCH,$929.00,
1620107,GEL WOUND,$234.00,
1620112,BLUNTPORT 11.5MM,$908.00,
1620116,SLING ARM CRADLE,$270.00,
1620124,SLING SHOULDER DON JOY,$226.00,
1620127,BANDAGE SURGIGRIP,$159.00,
1620130,ENDO HERNIA RELOAD UNIT,$496.00,
1620132,ENDO HERNIA STAPLER,$1320.00,
1620135,ENDOCLIP ML,$418.00,
1620136,ARTHRO WAND,$877.00,
1620139,ENDO GIA 30 2.5,$2123.00,
1620142,ENDO MINI RETRACT,$376.00,
1620145,ENDO GIA 30 2.5 RELOAD UN,$1034.00,
1620153,BAG ENDO CATCH,$725.00,
1620155,PT LUMBAR ROLL,$0.00,
1620159,SET IRR NEZHAT DORSEY,$403.00,
1620166,DISP B/P CUFF,$57.00,
1620175,ENDO SHEARS,$1034.00,
1620191,KIT ENDO CARPAL TUNNEL,$1239.00,
1620192,DALL MILES GRIPS,$1122.00,
1620194,DALL MILES CABLE,$797.00,
1620246,INTERCEED,$1304.00,
1620264,SPECIMEN SPUTUM CONT,$10.00,
1620280,CANNULA TRI-FLO SUCTION,$34.00,
1620290,CATH LEONARD,$1048.00,
1620291,NDL BIOPSY ASAP - 18,$392.00,
1620292,GRFT MESH SKIN,$6095.00,
1620293,INTRO PERM CATH,$735.00,
1620294,TUBING NORTECH OMNIFLATOR,$849.00,
1620295,PERITONEAL TUNNELER,$145.00,
1620296,SHEET NEURO,$349.00,
1620297,CATH PICC LINE DUAL,$388.00,
1620298,SHEET TRANSVERSE LAPAROTO,$219.00,
1620299,RETRACTOR STAY,$438.00,
1620300,TUBING POLYETHYLENE,$68.00,
1620301,TUBING IV SET,$493.00,
1620302,TUBING DISP CO2,$362.00,
1620303,PRE-FILLED FORMALIN,$50.00,
1620304,PROS EAR TUBE GOLD REUTER,$380.00,
1620305,SUPPORT MAMMARY,$292.00,
1620306,EPF BLADE,$865.00,
1620307,PROS EAR TUBE DURAVENT,$297.00,
1620308,KIT DISCECTOMY,$377.00,
1620309,VITREX,$491.00,
1620310,SUTURE LAP,$1067.00,
1620311,SUTURE SELF LOCKING STERN,$2330.00,
1620312,SET SCULP,$288.00,
1620313,CATH CARDIAC,$947.00,
1620314,ORTHOSORB K-WIRES,$933.00,
1620315,TUTOPLAST DURA,$2147.00,
1620316,TUBING MICRODRIP,$265.00,
1620317,PRUDENZ RIGHT ANGLE CONNE,$255.00,
1620318,CSF RESEVIOR,$1228.00,
1620319,CATH PRUDENZ PERITONEAL,$811.00,
1620320,KIT PERC BLADDER NECK SUS,$1183.00,
1620321,DRSG GLASSCOCK,$285.00,
1620322,KIT LAVH,$8482.00,
1620323,SPONGE DRAIN,$26.00,
1620324,VERSA-TACK,$987.00,
1620325,KIT LAPAROSCOPY,$520.00,
1620326,SQS - 20,$308.00,
1620327,ENDO SUTURE,$331.00,
1620328,ROTICULATOR 55,$1038.00,
1620332,KIT ACL,$719.00,
1620407,SOLUTION NS IRRIGATION 10,$259.00,
1620426,HANDPIECE SCAPEL HARMONIC,$1784.00,
1620460,SPLINT KNEE DON JOY,$377.00,
1620502,HOOK L,$331.00,
1620509,HOOK J,$200.00,
1620539,CONNECTOR T,$35.00,
1620589,DEV STONE REMOVAL,$860.00,
1620607,BLADE LARYNGO DISP,$21.00,
1620628,STRIPS PERI,$405.00,
1620698,DISP NEEDLE BIOPSY,$263.00,
1620702,PROBE MAMOTOME,$644.00,
1620710,FAST TRACH LMA,$255.00,
1620720,KIT WRENCH,$203.00,
1620732,PM TRANSMITTER,$885.00,
1620735,DRSG HYDROPHILIC POLYMERI,$173.00,
1620794,SYRINGE BULB,$14.00,
1620795,FLUID WARMING DRAPE,$114.90,
1620975,SYRINGE ASEPTO,$14.00,
1620981,CATH BLN THERMACHOICE,$3984.00,
1621000,KNEE LENGTH TED HOSE,$54.00,
1621001,PACK ADMIT REGULAR/PED,$139.00,
1621003,PACK OB,$929.00,
1621004,HOSE X-LONG TED,$133.00,
1621005,ADAPTER PRN LUERLOCK,$35.00,
1621006,LONG TED HOSE,$37.00,
1621008,THIGH LENGTH TED HOSE,$343.00,
1621010,BAG AMBU,$431.00,
1621011,KIT ARTERIAL LINE,$710.00,
1621013,DISP AMNIHOOK,$44.00,
1621015,AIRWAY ORAL,$35.00,
1621017,AIRWAY NASAL,$113.00,
1621018,ASPIRATOR MECONIUM,$54.00,
1621019,AIRWAY ESOPH TRACH DOUBLE,$682.00,
1621020,BAG URINE LEG W TUBE,$141.00,
1621021,DRSG KERLIX MED (BX),$88.00,
1621024,BAG URINE DRAINAGE,$104.00,
1621028,BAG BILE,$201.00,
1621029,DRSG KERLIX ROLL EA,$80.00,
1621035,BAND FALOPE RING,$173.00,
1621038,DRSG WOUND HYDROGEL,$156.00,
1621040,DRSG STRTCH GZE 4 BX,$248.00,
1621042,DRSG STRTCH GZE 3 EA,$65.00,
1621043,BANDAGE ACE ELST 2/3,$141.00,
1621044,DRSG STRTCH GZE 3 BX,$242.00,
1621045,DRSG STRTCH GZE 6 EA,$77.00,
1621046,DRSG STRTCH GZE 2 EA,$44.00,
1621047,BANDAGE ACE 3,$19.00,
1621049,BANDAGE ACE 2,$14.00,
1621050,BELT PELVIC TRACTION,$570.00,
1621051,BANDAGE COBAN,$111.00,
1621053,BANDAGE ACE 6,$24.00,
1621055,BANDAGE ACE 4,$20.00,
1621057,BASIN STERILE,$70.00,
1621058,BELT RIB  (M-F),$349.00,
1621059,BARBER SHOP,$10.00,
1621060,BINDER ABD 5 PANEL,$377.00,
1621061,IV SET BLD WARM COIL,$208.00,
1621062,BINDER ABD ELASTIC ALL,$453.00,
1621063,BAG IV BLOOD WARMNG,$220.00,
1621064,BETADINE SOLN PINT,$92.00,
1621065,BOOT ORTHO WALKING,$1117.00,
1621066,BINDER T DISP,$46.00,
1621067,BOOT BUNNY,$566.00,
1621070,PAD BREAST,$61.00,
1621071,BRACE LONG KNEE,$86.00,
1621072,SPLINT WRIST ELASTIC,$136.00,
1621075,SPLINT WRIST DELUXE,$203.00,
1621076,SHIELD BREAST,$51.00,
1621078,PUMP BREAST,$46.00,
1621083,CAST ARM SHORT,$479.00,
1621084,CARRINGTON GEL,$287.00,
1621085,CAST ARM LONG,$577.00,
1621086,CARA-KLENZ,$287.00,
1621087,CAST ANKLE,$292.00,
1621090,CAST PAVLIK HARNESS,$361.00,
1621092,RT ARTIFICIAL NOSE,$54.00,
1621093,CAST LEG SHORT,$583.00,
1621094,SPLINT SUGARTONG,$508.00,
1621095,CAST LEG LONG,$755.00,
1621097,CAST BODY FULL,$1659.00,
1621101,TRAY CATH FOLEY/BAG,$398.00,
1621102,CATH EXTERNAL,$75.00,
1621104,KIT CATH CARE,$97.00,
1621105,CATH FOLEY COUDE,$222.00,
1621107,KIT CATH FEMALE ER,$89.00,
1621108,CAST WRIST,$300.00,
1621110,CATH PLUG STERILE,$27.00,
1621111,CATH FOLEY 5CC,$275.00,
1621112,CATH PERCUTANEOUS,$272.00,
1621115,CATH FOLEY 3CC,$183.00,
1621116,CATH MULTI LUMEN SET,$962.00,
1621117,CATH FOLEY 30CC 3WAY,$278.00,
1621118,CATH ROBINSON,$76.00,
1621119,CATH FOLEY 75CC,$249.00,
1621120,SUCTION CATH ER,$47.00,
1621121,CATH THERMODILUTION,$1714.00,
1621122,CATH SUBCLAVIAN 2LUM,$605.00,
1621124,CATH SUBCLAVIAN,$200.00,
1621126,KIT CATH  FEMALE,$37.00,
1621128,SUCTION CATH-N-SLVE,$86.00,
1621129,CATH THORACIC,$288.00,
1621130,COLLAR CERV FOAM/PLS,$480.00,
1621132,CLAMP PLASTIBELL,$76.00,
1621133,CATH CVP CENTRL VEIN,$621.00,
1621135,CATH UMBILICAL VESSL,$398.00,
1621136,CONNECTOR DISP ALL,$26.00,
1621137,CLAMP CUNNINGHAM,$231.00,
1621138,COLLAR PHILADELPHIA,$545.00,
1621149,CRUTCHES COMPLETE,$363.00,
1621155,PAD DEFIBRILLATOR,$111.00,
1621160,IV DIAL-A-FLOW,$102.00,
1621161,DRAIN PENROSE ALL SZ,$61.00,
1621162,DERMAPLAST SPRAY,$83.00,
1621163,DRSG ABD 8X10,$44.00,
1621164,DOME PASTE,$223.00,
1621165,DRSG ABD 5X7,$35.00,
1621167,DRSG ABD PADS,$39.00,
1621170,DRSG AQUAPHOR,$33.00,
1621173,DRSG ADAPTIC 3X8 EA,$138.00,
1621176,DRSG BANDAID 8X6,$39.00,
1621177,DRSG ADAPTIC 3X3 EA,$68.00,
1621179,DRSG ADAPTIC 3X3 BX,$412.00,
1621180,DRSG CURITY WET DRSG,$102.00,
1621181,DRSG GAUZE 3X3 (BX),$33.00,
1621183,DRSG GAUZE 2X2-2,$26.00,
1621185,DRSG GAUZE TUBE,$92.00,
1621186,DRSG DUO DERM 8X8,$271.00,
1621188,DRSG DUO DERM 4X4,$92.00,
1621190,MISC CENTRAL SUPPLY,$139.00,
1621193,DRSG GAUZE 4X4-2,$26.00,
1621194,DRSG GAUZE ROLL,$112.00,
1621195,DRSG GAUZE 4X4-10,$54.00,
1621197,DRSG GAUZE 4X4 (BX),$109.00,
1621198,DRSG KERLIX  (10 PK),$93.00,
1621199,DRSG GAUZE 3X3-2,$21.00,
1621208,DRSG KLING 6,$77.00,
1621218,DRSG SOF-WICK,$26.00,
1621219,DRSG OP-SITE LG,$75.00,
1621222,DRSG STERISTRIP,$104.00,
1621225,DRSG TELFA 3X4 BX,$317.00,
1621227,DRSG TEGADERM 4X4,$50.00,
1621228,DRSG SURGICAL,$79.00,
1621230,DRSG WEBRIL STERILE,$92.00,
1621231,DRSG TELFA 3X8 BX,$403.00,
1621232,DRSG VASELINE GZ A/S,$61.00,
1621233,DRSG TELFA 3X4 EA,$50.00,
1621234,DRSG XEROFORM 5X9 BX,$300.00,
1621235,DRSG TELFA 4X8 EA,$44.00,
1621236,DRSG XEROFORM 1X8 EA,$72.00,
1621237,DRSG TELFA 4X8 BX,$466.00,
1621238,DRSG XEROFORM 1X8 BX,$238.00,
1621239,DRSG TELFA 3X8 EA,$37.00,
1621242,DRSG XEROFORM 5X9 EA,$65.00,
1621245,DRSG SORBSON 4X8,$603.00,
1621249,PAD ELBOW,$72.00,
1621250,EVAC BOTTLE STL,$96.00,
1621251,ELECTRODE SPIRAL,$118.00,
1621252,PAD EYE PKG/6,$41.00,
1621253,KIT ENEMA COMPLETE,$57.00,
1621255,ENEMA OIL,$57.00,
1621256,KIT VESSICA,$374.00,
1621257,ENEMA FLEET,$50.00,
1621258,CATH BONANO,$374.00,
1621259,ENEMA CLAYTON,$156.00,
1621262,KIT RACZ CATH,$84.00,
1621264,CATH FILIFORM/FOLLWR,$940.00,
1621266,CATH BLN TAMPONADE,$273.00,
1621269,MATTRESS FOAM,$217.00,
1621271,INTRO RACZ,$23.00,
1621277,GLOVES STERILE PAIR,$56.00,
1621278,KIT INTRODUCER,$39.00,
1621279,# GLOVES SINGLE STERIL,$44.00,
1621280,GW PROTECTOR,$839.00,
1621281,PROTECTORS HEEL,$231.00,
1621283,DISP HEAD HALTER,$343.00,
1621285,HEAD CRADLE,$136.00,
1621289,PAD HEEL PROTECTOR,$24.00,
1621290,IMMOBILIZER ARM/SHOU,$80.00,
1621291,HEMOVAC  ALL SIZES,$1043.00,
1621293,TRAY HEMO,$407.00,
1621294,DRSG HOT ICE,$208.00,
1621295,CATH HEMO,$201.00,
1621296,IV HEPARIN WELL,$77.00,
1621299,IV INJ PORT HEPLOCK,$90.00,
1621300,INCONTINENT PANTS,$75.00,
1621302,IMMOBILIZER SHOULDER,$297.00,
1621304,IMMOBILIZER KNEE,$314.00,
1621305,INTRO CORDIS,$420.00,
1621306,INFANT NURSER,$146.00,
1621307,INTRO COOK,$233.00,
1621308,"HEEL WARMER CHARGE, INFANT",$113.00,
1621309,INTRO BARD VASCULAR ACCES,$161.00,
1621310,IV CATH PLUG LL,$162.00,
1621311,INTRO PERCUT SH,$443.00,
1621314,IV FILTER AIR ELIM,$54.00,
1621315,RING CUSHION,$124.00,
1621316,IV CLICK LOCK W/NDL,$52.00,
1621317,INTRO SWAN GANZ,$649.00,
1621318,IV CATH PLUG PLAIN,$16.00,
1621321,NDL IV BUTTERFLY,$62.00,
1621322,FILTER IV BLOOD,$164.00,
1621323,NDL WINGD TIP INFUSN,$44.00,
1621326,IV NDL ANGIO 12/14GA,$906.00,
1621327,IV NDL SMALL VEIN,$49.00,
1621328,IV NDL ANGIO REG,$825.00,
1621330,IV SET CLYSIS,$289.00,
1621331,IV PLACEMENT UNIT,$50.00,
1621332,IV SET EXTENSN/PORTS,$210.00,
1621333,IV SET BLOOD PUMP,$222.00,
1621334,IV SET EXTENSION,$137.00,
1621335,IV SET BLOOD DONOR,$139.00,
1621336,IV STOPCOCK W/EXT,$111.00,
1621337,IV SET BLOOD ADMIN,$177.00,
1621338,IV SET DUAL INJ SITE,$201.00,
1621339,IV SET ADM W/INJ SIT,$241.00,
1621340,IV SET HYPER-AL ADM,$110.00,
1621341,IV SET SECONDARY,$235.00,
1621342,IV SET NITROGLYCERIN,$192.00,
1621346,IV METRISET/VOLUTROL,$150.00,
1621348,SET IV INFUS PUMP-IM/ED,$299.00,
1621349,IV SET PEDI DRIP,$137.00,
1621350,SUPPORT KENAIR SYSDA,$1015.00,
1621351,BRA JOBST,$585.00,
1621354,ARM CRADLE,$137.00,
1621355,KIT IV START,$135.00,
1621358,STOCKING PRESSURE,$93.00,
1621359,IV SET T-PORT EXTENS,$44.00,
1621361,SUCTION CONTAIN/LINR,$182.00,
1621363,IRR LENS,$353.00,
1621367,LAVACUATOR,$194.00,
1621368,BAG FEEDING,$109.00,
1621370,MATTRESS OVERLAY,$61.00,
1621371,MASSE BREAST CREAM,$83.00,
1621372,MATTRESS SOF-CARE/1,$435.00,
1621376,MATTRESS OTHER,$270.00,
1621377,MANOMETER L/P SPINAL,$188.00,
1621378,ADHESIVE SPRAY MEDCL,$61.00,
1621382,MICROSHIELD,$170.00,
1621384,DRSG MICRODON,$30.00,
1621385,MITY-VAC,$407.00,
1621388,PAIR MITT FINGER CNTRL,$261.00,
1621391,NDL COPE BIOPSY,$156.00,
1621393,NDL COOK PERCUTANEOU,$480.00,
1621395,NDL ARTERIAL,$239.00,
1621397,NDL DRIVER PUSH N CATCH 2,$301.00,
1621398,NDL JAMSHIDI BIOPSY,$665.00,
1621400,NDL TRUCUT BIOPSY,$473.00,
1621402,NDL SPINAL,$122.00,
1621403,OST BAG CLAMP,$68.00,
1621406,NASAL HEMM BALLON KI,$334.00,
1621410,OST COLOPLAST SZ 1-3,$39.00,
1621412,OST ILEOST BAG EA,$84.00,
1621416,OST IRRIG SET,$682.00,
1621418,OST SET COLOST IRRIG,$514.00,
1621419,OST DRAIN BAG EA,$50.00,
1621421,OST DRAIN/ADH 4X4 EA,$132.00,
1621422,OST STOMA BELT,$231.00,
1621423,OST SUR-FIT BAG (EA),$47.00,
1621424,OST STOMA PK 10,$277.00,
1621425,OST SUR-FIT BAG (BX),$277.00,
1621426,OST STOMA BAG (PK 10,$308.00,
1621427,OST DRAIN/ADH 8X8 EA,$182.00,
1621429,OST ADHESIVE PASTE,$210.00,
1621431,OST SUR-FIT WAFER EA,$70.00,
1621433,OST SUR-FIT WAFER BX,$271.00,
1621434,CATH PACEMAKER BIPOL,$1178.00,
1621439,OST DRAIN/ADH 8X8 BX,$835.00,
1621440,PACK BURN,$412.00,
1621441,LASER FIBER,$1138.00,
1621442,PACK ANGIOGRAM,$121.00,
1621443,PACK COLD SMALL,$80.00,
1621445,PACK COLD MED,$62.00,
1621447,PACK C-SECTION,$1523.00,
1621449,PACK L&D,$929.00,
1621450,DISP PAD K-THERMIA LG,$704.00,
1621451,PACKNG GZ PLAIN 1/4,$62.00,
1621452,PAD FOAM 3M,$70.00,
1621454,PACKNG IODOFORM 1,$159.00,
1621455,PACK ADMIT MATERNITY,$285.00,
1621458,PAD BUMPER PAD-PR,$76.00,
1621459,PACKNG GZ PLAIN 1,$177.00,
1621461,DISP PILLOW ABDUCT,$1025.00,
1621462,PAD PERI PKG,$11.00,
1621463,PEROX-A-MINT 1 1/2OZ,$72.00,
1621464,PACKNG IODOFORM 2,$194.00,
1621465,IV PERITON DIAL SET,$369.00,
1621466,PACK PAP SMEAR,$125.00,
1621469,PILLOW CERVICAL,$361.00,
1621470,OST SUR-FIT PCH CLSD,$309.00,
1621471,PLASTER ROLLS,$135.00,
1621472,ENDO POUCH,$317.00,
1621473,DISP PILLOW WEDGE,$507.00,
1621477,SYS PLEUR-EVAC DRAIN,$1329.00,
1621480,SET CATH RADIAL ARTERY,$247.00,
1621483,RESTRAINT EXTEMITY,$150.00,
1621484,TUBING PUMP ADDL,$122.00,
1621485,SCD SLEEVE,$540.00,
1621486,PAD RESTON FOAM,$247.00,
1621487,DISP SCALPEL,$154.00,
1621488,DISP RAZOR,$14.00,
1621489,S.M.P. ELEC,$61.00,
1621490,MONITOR STOP COCK 4 WAY,$1727.00,
1621492,SET GAVAGE GRAVITY,$84.00,
1621493,SECU TAPE FOLEY,$212.00,
1621494,SHEEPSKIN FULL SIZE,$426.00,
1621497,SLEEVE SEQ/COMP,$776.00,
1621505,GLOVE LEAD DISP,$499.00,
1621546,CATH GASTRIC BLN SUCTION,$405.00,
1621552,CLAMP CRAINIAL TITANIUM,$346.00,
1621558,STAPLE LINE REINFORCEMENT,$451.00,
1621559,CAUTERY FORCEP,$1657.00,
1621811,CATH COIL DELIVERY 3MM,$322.00,
1621852,CATH COIL DELIVERY 4MM,$330.00,
1621879,CATH BLN DIL BLUE MAX 20,$712.00,
1621881,IV SET,$154.00,
1621932,TRAY EPIDURAL/SPINAL,$78.00,
1621941,DRSG KERLIX,$10.00,
1621999,TRAY INTUBATION,$546.00,
1622000,SLING ARM,$108.00,
1622001,SHOE CAST,$330.00,
1622004,BATH SITZ,$188.00,
1622006,SHOE POST-OP (1),$284.00,
1622007,SHIELD EYE MET/CLOTH,$52.00,
1622019,PAN SPECIMEN,$84.00,
1622028,DISP SPECULUM,$44.00,
1622035,SPLINT CLAVICULAR,$298.00,
1622039,SPLINT COLLES,$372.00,
1622045,SPLINT FINGER,$154.00,
1622047,SPLINT FOREARM,$306.00,
1622053,SPLINT POSTERIOR,$541.00,
1622054,TRAY NASAL ER,$72.00,
1622056,SPLINT PLASTER PKG12,$96.00,
1622059,SPLINT PLASTER LEG,$146.00,
1622060,IV STOPCOCK 3-WAY,$72.00,
1622062,IV STOPCOCK DISP,$54.00,
1622064,STRAP MONTGOMERY,$56.00,
1622065,STOCKINET TUBULAR STR,$247.00,
1622066,STRAP CATHETER,$182.00,
1622068,STRAINER KIDNEY STONE,$39.00,
1622069,DISP STETHOSCOPE,$92.00,
1622071,SUCTION CONTAINER,$62.00,
1622072,STYLET,$70.00,
1622073,SPLINT ANKLE AIRCAST,$341.00,
1622075,SUCTION TIP YANKAUER,$69.00,
1622076,SUCTION CATH-N-GLOVE,$65.00,
1622077,SUCTION SYSTEM CLOSD,$166.00,
1622078,TRAY SUBCLAVN SHILEY,$985.00,
1622080,SUPPORT SUSPENSORY,$84.00,
1622081,SPLINT ELBOW AIRCAST,$144.00,
1622082,SUTURE REG,$160.00,
1622083,SUPPORT ATHLETIC,$93.00,
1622086,SUTURE PACKET (EA),$146.00,
1622087,SPLINT ANKLE MED,$136.00,
1622089,SPLINT ANKLE LG,$158.00,
1622090,# SWAB LEMON/GLYC,$4.00,
1622092,CATH SWAN G THERMO,$890.00,
1622093,SYRINGE EAR,$68.00,
1622094,CATH SWAN GANZ,$1314.00,
1622097,CREAM SWEEN,$183.00,
1622099,INTRO S/G SHEATH,$341.00,
1622101,TAPE ELASTOPLST 4/6,$225.00,
1622103,TAPE ELASTOPLST 2/3,$77.00,
1622106,TAPE HYPOALLERG 2,$135.00,
1622109,TAPE HYPOALLERG 1,$84.00,
1622116,MISC THERAPY SUPPLIES,$941.00,
1622120,DRILL BIT CANNULATED,$0.00,
1622124,KIT TRANSDUCER,$869.00,
1622125,CANNULA TRACH INNER,$81.00,
1622126,TRAY ARTERIAL LINE,$334.00,
1622128,TRAY AMNIOCENTESIS,$271.00,
1622131,TRAY CATH  A (STRAIT,$312.00,
1622132,TRAY BIOPSY BASIC,$200.00,
1622134,TRAY ARTHROGRAM,$361.00,
1622136,TRAY BONE MARR W NDL,$668.00,
1622138,TRAY BONE INSTRUMENT,$835.00,
1622139,TRAY CATH FOLEY COMP,$398.00,
1622140,TRAY PEDIATRIC,$41.00,
1622143,TRAY EPIDURAL,$838.00,
1622144,TRAY LIVER BIOPSY,$979.00,
1622148,TRAY IRRIGATION,$57.00,
1622149,TRAY EXCHG TRANSFUSN,$496.00,
1622150,TRAY LUMBAR PUNCTURE,$382.00,
1622152,TRAY LUMBAR PUNC PED,$382.00,
1622153,TRAY SHAVE PREP,$86.00,
1622155,TRAY PUDENTAL,$156.00,
1622157,TRAY PREP OB,$102.00,
1622159,TRAY PERITONEAL DIALYSIS,$643.00,
1622160,TRAY SUTURE REM DISP,$121.00,
1622161,TRAY SKIN PREP,$126.00,
1622162,TRAY TROCAR CATH,$466.00,
1622163,TRAY SUTURE REM KIT,$179.00,
1622166,TRAY TRACH CARE,$151.00,
1622167,TRAY SUTURE,$513.00,
1622168,TRAY THORACENT CATH,$473.00,
1622169,TRAY SUBCLAVIAN DRSG,$361.00,
1622170,TRAY VAG EXAM,$287.00,
1622172,TRAY ANGIOGRAM,$500.00,
1622178,TRAY VAG IRRIGATION,$138.00,
1622181,TRAY CIRCUMCISION,$284.00,
1622184,TRAY CUTDOWN,$745.00,
1622185,TRAY CHEST TUBE,$3302.00,
1622189,TRAY CAROTID,$509.00,
1622190,TRAY EYE NON-DISP,$323.00,
1622193,TRAY GU,$110.00,
1622197,TRAY EYE ER,$323.00,
1622198,TRAY ENT,$323.00,
1622206,TRAY BRACHIAL PLEXUS,$247.00,
1622208,TRAY PARACENTESIS,$424.00,
1622211,TRAY SALPINGOGRAM,$482.00,
1622215,TRAY SUBCLAVIAN,$750.00,
