Hospital Name:  St Joseph's Medical Center Stockton,,,,,
OSHPD Facility No: 106391042,,,,,
"Effective Date of Charges: July 1, 2018",,,,,
,,,,,
"CDM
Number",Billing Description (25 char),999 Price  (Default),Zero Price Indicator,,
0053421,ROOM SEMI M/S/G OB       ," 6,195.00 ",,,
0053439,ROOM SEMI M/S/G OB       ," 6,195.00 ",,,
0054403,ROOM SEMI M/S/GYN        ," 6,195.00 ",,,
0054411,ROOM SEMI M/S/GYN        ," 6,195.00 ",,,
0054429,ROOM SEMI M/S/GYN        ," 6,195.00 ",,,
0054437,ROOM SEMI M/S/GYN        ," 6,195.00 ",,,
0054452,ROOM SEMI M/S/GYN        ," 6,195.00 ",,,
0055400,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0055418,ROOM SEMI M/S/GYN        ," 6,195.00 ",,,
0055426,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0055434,ROOM SEMI GENERAL        ," 6,195.00 ",,,
0061408,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0062406,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0062414,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0062422,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0062430,ROOM INTER CCU/TELE      ," 7,167.00 ",,,
0062448,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0062455,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0062463,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0062471,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0062489,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0062497,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0063438,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0064402,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0064410,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0064428,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0064436,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0064451,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0065409,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0065425,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0065433,ROOM INTER ICU/TELE      ," 7,167.00 ",,,
0071407,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072405,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072413,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072421,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072439,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072447,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072454,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072462,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072470,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072488,ROOM ICU GENERAL         ," 15,949.00 ",,,
0072496,ROOM ICU GENERAL         ," 15,949.00 ",,,
0073411,ROOM ICU GENERAL         ," 15,949.00 ",,,
0073429,ROOM ICU GENERAL         ," 15,949.00 ",,,
0073437,ROOM ICU GENERAL         ," 15,949.00 ",,,
0074401,ROOM CCU GEN 1:2         ," 15,949.00 ",,,
0074419,ROOM ICU GEN 1:2         ," 15,949.00 ",,,
0074427,ROOM ICU GENERAL         ," 15,949.00 ",,,
0074435,ROOM ICU GENERAL         ," 15,949.00 ",,,
0074450,ROOM ICU GENERAL         ," 15,949.00 ",,,
0075408,ROOM ICU GENERAL         ," 15,949.00 ",,,
0075416,ROOM ICU GENERAL         ," 15,949.00 ",,,
0075432,ROOM ICU GENERAL         ," 15,949.00 ",,,
0081406,ROOM SEMI PVT OB         ," 6,139.00 ",,,
0082453,ROOM SEMI PVT OB         ," 6,139.00 ",,,
0083410,ROOM SEMI PVT OB         ," 6,139.00 ",,,
0083428,ROOM SEMI PVT OB         ," 6,139.00 ",,,
0083436,ROOM SEMI PVT OB         ," 6,139.00 ",,,
0085407,ROOM SEMI PVT OB         ," 6,139.00 ",,,
0092452,ROOM SEMI OB HI RSK      ," 6,139.00 ",,,
0093419,ROOM SEMI OB HI RSK      ," 6,139.00 ",,,
0093427,ROOM SEMI OB HI RSK      ," 6,139.00 ",,,
0093435,ROOM SEMI OB HI RSK      ," 6,139.00 ",,,
0094409,ROOM ICU GEN 1:1         ," 15,949.00 ",,,
0094417,ROOM ICU GEN 1:1         ," 15,949.00 ",,,
0094425,ROOM ICU GEN 1:1         ," 15,949.00 ",,,
0094458,ROOM ICU GEN 1:1         ," 15,949.00 ",,,
0095422,ROOM ICU GEN 1:1         ," 15,949.00 ",,,
0100001,INSERT CATH BLADDER      , 303.00 ,,,
0100002,INS/REPL/DECL NONTUN/PIC ," 2,499.00 ",,,
0100003,OBSERVATION PER HOUR     , 348.00 ,,,
0100004,DIRECT ADMISSION FOR OBSV, 737.00 ,,,
0100009,INJ TX/PRO/DX IVP SME DRG, 518.00 ,,,
0100010,INJ TX/DX/PRO IVPUSH INIT, 383.00 ,,,
0100011,INJ TX/DX/PRO IV PUSH SEQ, 383.00 ,,,
0100012,PHLEBOTOMY THERAPEUT     ," 1,092.00 ",,,
0100013,INF IV TX/DX PUMP PROLONG, 699.00 ,,,
0100014,CATH FOR SPECIMEN COLLECT, 301.00 ,,,
0100015,IRRIG IMPLANTED VEN ACCES, 157.00 ,,,
0100016,INJ TX/DX/PRO INTRA-ARTER, 279.00 ,,,
0100018,VENIPUNCTURE NON LAB     , 45.00 ,,,
0100019,TRANSFUS BLD/BLD COMP    ," 2,420.00 ",,,
0100020,INF TX/DX/PRO SEQ 1HR    , 937.00 ,,,
0100021,INF TX/DX CONCURRENT     , 594.00 ,,,
0100022,INJ TX/DX/PROPH SUBQ/IM  , 149.00 ,,,
0100023,INF IV HYDRAT EA ADD HR  , 660.00 ,,,
0100025,INF IV HYDRA INIT 31-60MN, 865.00 ,,,
0100026,INF TX/DX/PRO INIT 1ST HR," 1,030.00 ",,,
0100027,INF TX/DX/PRO EA ADD HR  , 660.00 ,,,
0100029,NON OBV OIB HR NC        ,0,1,,
0100030,DIALY CONT RENAL REP CRRT, 892.00 ,,,
0110001,INSERT CATH BLADDER      , 0.09 ,,,
0110002,INS/REPL/DECL NONTUN/PIC , 0.09 ,,,
0110003,OBSERVATION PER HOUR     , 0.09 ,,,
0110004,DIRECT ADMISSION FOR OBSV, 0.09 ,,,
0110009,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,
0110010,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,
0110011,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,
0110012,PHLEBOTOMY THERAPEUT     , 0.09 ,,,
0110013,INF IV TX/DX PUMP PROLONG, 0.09 ,,,
0110014,CATH FOR SPECIMEN COLLECT, 0.09 ,,,
0110015,IRRIG IMPLANTED VEN ACCES, 0.09 ,,,
0110016,INJ TX/DX/PRO INTRA-ARTER, 0.09 ,,,
0110018,VENIPUNCTURE NON LAB     , 0.09 ,,,
0110019,TRANSFUS BLD/BLD COMP    , 0.09 ,,,
0110020,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,
0110021,INF TX/DX CONCURRENT     , 0.09 ,,,
0110022,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,
0110023,INF IV HYDRAT EA ADD HR  , 0.09 ,,,
0110025,INF IV HYDRA INIT 31-60MN, 0.09 ,,,
0110026,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,
0110027,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,
0110029,NON OBV OIB HR NC        , 0.09 ,,,
0120001,INSERT CATH BLADDER      , 303.00 ,,,
0120002,INS/REPL/DECL NONTUN/PIC ," 2,499.00 ",,,
0120003,OBSERVATION PER HOUR     , 335.00 ,,,
0120004,DIRECT ADMISSION FOR OBSV, 737.00 ,,,
0120009,INJ TX/PRO/DX IVP SME DRG, 518.00 ,,,
0120010,INJ TX/DX/PRO IVPUSH INIT, 383.00 ,,,
0120011,INJ TX/DX/PRO IV PUSH SEQ, 383.00 ,,,
0120012,PHLEBOTOMY THERAPEUT     ," 1,092.00 ",,,
0120013,INF IV TX/DX PUMP PROLONG, 699.00 ,,,
0120014,CATH FOR SPECIMEN COLLECT, 396.00 ,,,
0120015,IRRIG IMPLANTED VEN ACCES, 157.00 ,,,
0120016,INJ TX/DX/PRO INTRA-ARTER, 279.00 ,,,
0120018,VENIPUNCTURE NON LAB     , 45.00 ,,,
0120019,TRANSFUS BLD/BLD COMP    ," 2,420.00 ",,,
0120020,INF TX/DX/PRO SEQ 1HR    , 937.00 ,,,
0120021,INF TX/DX CONCURRENT     , 594.00 ,,,
0120022,INJ TX/DX/PROPH SUBQ/IM  , 149.00 ,,,
0120023,INF IV HYDRAT EA ADD HR  , 660.00 ,,,
0120025,INF IV HYDRA INIT 31-60MN, 865.00 ,,,
0120026,INF TX/DX/PRO INIT 1ST HR," 1,030.00 ",,,
0120027,INF TX/DX/PRO EA ADD HR  , 660.00 ,,,
0120029,NON OBV OIB HR NC        ,0,1,,
0120051,GLUCOSE BLD BY DEVICE POC, 66.00 ,,,
0130001,INSERT CATH BLADDER      , 0.09 ,,,
0130002,INS/REPL/DECL NONTUN/PIC , 0.09 ,,,
0130003,OBSERVATION PER HOUR     , 0.09 ,,,
0130004,DIRECT ADMISSION FOR OBSV, 0.09 ,,,
0130009,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,
0130010,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,
0130011,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,
0130012,PHLEBOTOMY THERAPEUT     , 0.09 ,,,
0130013,INF IV TX/DX PUMP PROLONG, 0.09 ,,,
0130014,CATH FOR SPECIMEN COLLECT, 0.09 ,,,
0130015,IRRIG IMPLANTED VEN ACCES, 0.09 ,,,
0130016,INJ TX/DX/PRO INTRA-ARTER, 0.09 ,,,
0130018,VENIPUNCTURE NON LAB     , 0.09 ,,,
0130019,TRANSFUS BLD/BLD COMP    , 0.09 ,,,
0130020,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,
0130021,INF TX/DX CONCURRENT     , 0.09 ,,,
0130022,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,
0130023,INF IV HYDRAT EA ADD HR  , 0.09 ,,,
0130025,INF IV HYDRA INIT 31-60MN, 0.09 ,,,
0130026,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,
0130027,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,
0130029,NON OBV OIB HR NC        , 0.09 ,,,
0140001,OBSERVATION PER HOUR     , 0.09 ,,,
0140002,DIRECT ADMISSION FOR OBSV, 0.09 ,,,
0140003,NON OBV OIB HR NC        , 0.09 ,,,
0140004,INSERT CATH BLADDER      , 0.09 ,,,
0140005,INS/REPL/DECL NONTUN/PIC , 0.09 ,,,
0140010,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,
0140011,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,
0140012,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,
0140013,PHLEBOTOMY THERAPEUT     , 0.09 ,,,
0140014,INF IV TX/DX PUMP PROLONG, 0.09 ,,,
0140015,CATH FOR SPECIMEN COLLECT, 0.09 ,,,
0140016,IRRIG IMPLANTED VEN ACCES, 0.09 ,,,
0140017,INJ TX/DX/PRO INTRA-ARTER, 0.09 ,,,
0140019,VENIPUNCTURE NON LAB     , 0.09 ,,,
0140020,TRANSFUS BLD/BLD COMP    , 0.09 ,,,
0140021,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,
0140022,INF TX/DX CONCURRENT     , 0.09 ,,,
0140023,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,
0140024,INF IV HYDRAT EA ADD HR  , 0.09 ,,,
0140025,INF IV HYDRA INIT 31-60MN, 0.09 ,,,
0140026,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,
0140027,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,
0160003,TRANSFUS BLD/BLD COMP    ," 2,420.00 ",,,
0160004,NON OBV OIB HR NC        ,0,1,,
0160005,OBSERVATION PER HOUR     , 147.00 ,,,
0160006,DIRECT ADMISSION FOR OBSV, 737.00 ,,,
0160007,INJ TX/PRO/DX IVP SME DRG, 518.00 ,,,
0160008,INJ TX/DX/PRO IVPUSH INIT, 383.00 ,,,
0160009,INJ TX/DX/PRO IV PUSH SEQ, 383.00 ,,,
0160010,PHLEBOTOMY THERAPEUT     ," 1,092.00 ",,,
0160011,INF IV TX/DX PUMP PROLONG, 677.00 ,,,
0160012,CATH FOR SPECIMEN COLLECT, 396.00 ,,,
0160013,IRRIG IMPLANTED VEN ACCES, 157.00 ,,,
0160014,INJ TX/DX/PRO INTRA-ARTER, 279.00 ,,,
0160016,VENIPUNCTURE NON LAB     , 45.00 ,,,
0160017,INF TX/DX/PRO SEQ 1HR    , 937.00 ,,,
0160018,INF TX/DX CONCURRENT     , 594.00 ,,,
0160019,INJ TX/DX/PROPH SUBQ/IM  , 149.00 ,,,
0160020,INF IV HYDRAT EA ADD HR  , 660.00 ,,,
0160021,INF IV HYDRA INIT 31-60MN, 865.00 ,,,
0160022,INF TX/DX/PRO INIT 1ST HR," 1,030.00 ",,,
0160023,INF TX/DX/PRO EA ADD HR  , 660.00 ,,,
0160024,INSERT CATH BLADDER      , 303.00 ,,,
0160025,INS/REPL/DECL NONTUN/PIC ," 2,499.00 ",,,
0180002,TRANSFUS BLD/BLD COMP    ," 2,420.00 ",,,
0180003,NON OBV OIB HR NC        ,0,1,,
0180004,OBSERVATION PER HOUR     , 147.00 ,,,
0180005,DIRECT ADMISSION FOR OBSV, 737.00 ,,,
0180006,INJ TX/PRO/DX IVP SME DRG, 518.00 ,,,
0180007,INJ TX/DX/PRO IVPUSH INIT, 383.00 ,,,
0180008,INJ TX/DX/PRO IV PUSH SEQ, 383.00 ,,,
0180009,PHLEBOTOMY THERAPEUT     ," 1,092.00 ",,,
0180010,INF IV TX/DX PUMP PROLONG, 677.00 ,,,
0180011,CATH FOR SPECIMEN COLLECT, 396.00 ,,,
0180012,IRRIG IMPLANTED VEN ACCES, 157.00 ,,,
0180013,INJ TX/DX/PRO INTRA-ARTER, 279.00 ,,,
0180015,VENIPUNCTURE NON LAB     , 45.00 ,,,
0180016,INF TX/DX/PRO SEQ 1HR    , 937.00 ,,,
0180017,INF TX/DX CONCURRENT     , 594.00 ,,,
0180018,INJ TX/DX/PROPH SUBQ/IM  , 149.00 ,,,
0180019,INF IV HYDRAT EA ADD HR  , 660.00 ,,,
0180020,INF IV HYDRA INIT 31-60MN, 865.00 ,,,
0180021,INF TX/DX/PRO INIT 1ST HR," 1,030.00 ",,,
0180022,INF TX/DX/PRO EA ADD HR  , 660.00 ,,,
0180025,INSERT CATH BLADDER      , 303.00 ,,,
0180026,INS/REPL/DECL NONTUN/PIC ," 2,499.00 ",,,
0190001,INSERT CATH BLADDER      , 0.09 ,,,
0190002,INS/REPL/DECL NONTUN/PIC , 0.09 ,,,
0190003,OBSERVATION PER HOUR     , 0.09 ,,,
0190004,DIRECT ADMISSION FOR OBSV, 0.09 ,,,
0190005,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,
0190006,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,
0190007,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,
0190008,PHLEBOTOMY THERAPEUT     , 0.09 ,,,
0190009,INF IV TX/DX PUMP PROLONG, 0.09 ,,,
0190010,CATH FOR SPECIMEN COLLECT, 0.09 ,,,
0190011,IRRIG IMPLANTED VEN ACCES, 0.09 ,,,
0190012,INJ TX/DX/PRO INTRA-ARTER, 0.09 ,,,
0190013,VENIPUNCTURE NON LAB     , 0.09 ,,,
0190014,TRANSFUS BLD/BLD COMP    , 0.09 ,,,
0190015,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,
0190016,INF TX/DX CONCURRENT     , 0.09 ,,,
0190017,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,
0190018,INF IV HYDRAT EA ADD HR  , 0.09 ,,,
0190019,INF IV HYDRA INIT 31-60MN, 0.09 ,,,
0190020,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,
0190021,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,
0190022,NON OBV OIB HR NC        , 0.09 ,,,
0200001,INSERT CATH BLADDER      , 303.00 ,,,
0200002,INS/REPL/DECL NONTUN/PIC ," 2,499.00 ",,,
0200003,OBSERVATION PER HOUR     , 332.00 ,,,
0200004,DIRECT ADMISSION FOR OBSV, 761.00 ,,,
0200009,INJ TX/PRO/DX IVP SME DRG, 518.00 ,,,
0200010,INJ TX/DX/PRO IVPUSH INIT, 383.00 ,,,
0200011,INJ TX/DX/PRO IV PUSH SEQ, 383.00 ,,,
0200012,PHLEBOTOMY THERAPEUT     ," 1,092.00 ",,,
0200013,INF IV TX/DX PUMP PROLONG, 699.00 ,,,
0200014,CATH FOR SPECIMEN COLLECT, 301.00 ,,,
0200015,IRRIG IMPLANTED VEN ACCES, 157.00 ,,,
0200016,INJ TX/DX/PRO INTRA-ARTER, 279.00 ,,,
0200018,VENIPUNCTURE NON LAB     , 45.00 ,,,
0200019,TRANSFUS BLD/BLD COMP    ," 2,420.00 ",,,
0200020,INF TX/DX/PRO SEQ 1HR    , 937.00 ,,,
0200021,INF TX/DX CONCURRENT     , 594.00 ,,,
0200022,INJ TX/DX/PROPH SUBQ/IM  , 149.00 ,,,
0200023,INF IV HYDRAT EA ADD HR  , 660.00 ,,,
0200025,INF IV HYDRA INIT 31-60MN, 865.00 ,,,
0200026,INF TX/DX/PRO INIT 1ST HR," 1,030.00 ",,,
0200027,INF TX/DX/PRO EA ADD HR  , 660.00 ,,,
0200029,NON OBV OIB HR NC        ,0,1,,
0200030,CAR SEAT/BED TEST 60MIN  , 90.00 ,,,
0200031,CAR SEAT/BED TEST ADD 30 , 45.00 ,,,
0200057,MC EVAL/INT SOC1/2HR HRIF, 76.00 ,,,
0200058,MC EXAM ROOM USE HRIF    , 102.00 ,,,
0200059,MC COORDIN EPSDT PHY HRIF, 310.00 ,,,
0200060,MC EVL RPT CMPLX/CMP HRIF, 226.00 ,,,
0200061,DEVELOP TST LTD BINS HRIF, 356.00 ,,,
0200062,DEVELOP EXTND BAYLEY HRIF, 305.00 ,,,
0200063,CASE CF PHYS EPSDT EA1/2H, 171.00 ,,,
0200065,AD EVOKED POTENTIALS LTD , 370.00 ,,,
0200066,CIRCUMCISION             ," 2,403.00 ",,,
0200067,MC INFNT HEAR SCRN INI IP, 275.00 ,,,
0300001,INSERT CATH BLADDER      , 0.09 ,,,
0300002,INS/REPL/DECL NONTUN/PIC , 0.09 ,,,
0300003,OBSERVATION PER HOUR     , 0.09 ,,,
0300004,DIRECT ADMISSION FOR OBSV, 0.09 ,,,
0300009,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,
0300010,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,
0300011,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,
0300012,PHLEBOTOMY THERAPEUT     , 0.09 ,,,
0300013,INF IV TX/DX PUMP PROLONG, 0.09 ,,,
0300014,CATH FOR SPECIMEN COLLECT, 0.09 ,,,
0300015,IRRIG IMPLANTED VEN ACCES, 0.09 ,,,
0300016,INJ TX/DX/PRO INTRA-ARTER, 0.09 ,,,
0300018,VENIPUNCTURE NON LAB     , 0.09 ,,,
0300019,TRANSFUS BLD/BLD COMP    , 0.09 ,,,
0300020,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,
0300021,INF TX/DX CONCURRENT     , 0.09 ,,,
0300022,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,
0300023,INF IV HYDRAT EA ADD HR  , 0.09 ,,,
0300025,INF IV HYDRA INIT 31-60MN, 0.09 ,,,
0300026,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,
0300027,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,
0300029,NON OBV OIB HR NC        , 0.09 ,,,
0310001,INSERT CATH BLADDER      , 303.00 ,,,
0310002,INS/REPL/DECL NONTUN/PIC ," 2,499.00 ",,,
0310003,OBSERVATION PER HOUR     , 168.00 ,,,
0310004,DIRECT ADMISSION FOR OBSV, 737.00 ,,,
0310009,INJ TX/PRO/DX IVP SME DRG, 518.00 ,,,
0310010,INJ TX/DX/PRO IVPUSH INIT, 383.00 ,,,
0310011,INJ TX/DX/PRO IV PUSH SEQ, 383.00 ,,,
0310012,PHLEBOTOMY THERAPEUT     ," 1,092.00 ",,,
0310013,INF IV TX/DX PUMP PROLONG, 699.00 ,,,
0310014,CATH FOR SPECIMEN COLLECT, 396.00 ,,,
0310015,IRRIG IMPLANTED VEN ACCES, 157.00 ,,,
0310016,INJ TX/DX/PRO INTRA-ARTER, 279.00 ,,,
0310018,VENIPUNCTURE NON LAB     , 45.00 ,,,
0310019,TRANSFUS BLD/BLD COMP    ," 2,420.00 ",,,
0310020,INF TX/DX/PRO SEQ 1HR    , 937.00 ,,,
0310021,INF TX/DX CONCURRENT     , 594.00 ,,,
0310022,INJ TX/DX/PROPH SUBQ/IM  , 149.00 ,,,
0310023,INF IV HYDRAT EA ADD HR  , 660.00 ,,,
0310025,INF IV HYDRA INIT 31-60MN, 865.00 ,,,
0310026,INF TX/DX/PRO INIT 1ST HR," 1,030.00 ",,,
0310027,INF TX/DX/PRO EA ADD HR  , 660.00 ,,,
0310029,NON OBV OIB HR NC        ,0,1,,
0310051,GLUCOSE BLD BY DEVICE POC, 66.00 ,,,
0320001,INSERT CATH BLADDER      , 0.09 ,,,
0320002,INS/REPL/DECL NONTUN/PIC , 0.09 ,,,
0320003,OBSERVATION PER HOUR     , 0.09 ,,,
0320004,DIRECT ADMISSION FOR OBSV, 0.09 ,,,
0320009,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,
0320010,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,
0320011,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,
0320012,PHLEBOTOMY THERAPEUT     , 0.09 ,,,
0320013,INF IV TX/DX PUMP PROLONG, 0.09 ,,,
0320014,CATH FOR SPECIMEN COLLECT, 0.09 ,,,
0320015,IRRIG IMPLANTED VEN ACCES, 0.09 ,,,
0320016,INJ TX/DX/PRO INTRA-ARTER, 0.09 ,,,
0320018,VENIPUNCTURE NON LAB     , 0.09 ,,,
0320019,TRANSFUS BLD/BLD COMP    , 0.09 ,,,
0320020,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,
0320021,INF TX/DX CONCURRENT     , 0.09 ,,,
0320022,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,
0320023,INF IV HYDRAT EA ADD HR  , 0.09 ,,,
0320025,INF IV HYDRA INIT 31-60MN, 0.09 ,,,
0320026,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,
0320027,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,
0320029,NON OBV OIB HR NC        , 0.09 ,,,
0330001,INSERT CATH BLADDER      , 303.00 ,,,
0330002,INS/REPL/DECL NONTUN/PIC ," 2,499.00 ",,,
0330003,OBSERVATION PER HOUR     , 168.00 ,,,
0330004,DIRECT ADMISSION FOR OBSV, 737.00 ,,,
0330009,INJ TX/PRO/DX IVP SME DRG, 518.00 ,,,
0330010,INJ TX/DX/PRO IVPUSH INIT, 383.00 ,,,
0330011,INJ TX/DX/PRO IV PUSH SEQ, 383.00 ,,,
0330012,PHLEBOTOMY THERAPEUT     ," 1,092.00 ",,,
0330013,INF IV TX/DX PUMP PROLONG, 736.00 ,,,
0330014,CATH FOR SPECIMEN COLLECT, 396.00 ,,,
0330015,IRRIG IMPLANTED VEN ACCES, 157.00 ,,,
0330016,INJ TX/DX/PRO INTRA-ARTER, 279.00 ,,,
0330018,VENIPUNCTURE NON LAB     , 45.00 ,,,
0330019,TRANSFUS BLD/BLD COMP    ," 2,420.00 ",,,
0330020,INF TX/DX/PRO SEQ 1HR    , 937.00 ,,,
0330021,INF TX/DX CONCURRENT     , 594.00 ,,,
0330022,INJ TX/DX/PROPH SUBQ/IM  , 149.00 ,,,
0330023,INF IV HYDRAT EA ADD HR  , 660.00 ,,,
0330025,INF IV HYDRA INIT 31-60MN, 865.00 ,,,
0330026,INF TX/DX/PRO INIT 1ST HR," 1,030.00 ",,,
0330027,INF TX/DX/PRO EA ADD HR  , 660.00 ,,,
0330029,NON OBV OIB HR NC        ,0,1,,
