CHARGE #,DESCRIPTION,PRICE,ROOM PRICE
5607858,GASPAK ANAEROBIC INDICATOR DISP.,5.6,0
1210780,HEM MALIG INTERP,5.85,0
156448,CUFF BP SZ 1,7.36,0
156513,CANNULA CAPNOLINE ADULT,7.36,0
5620224,PUNCH BIOPSY 6MM SKLAR,7.91,0
1207661,INBORN ERR MET UA QUAL,7.95,0
5620216,PUNCH BIOPSY 5MM,7.98,0
5639331,"CAST PLASTER FAST SETTING 3"" 7373",8.04,0
100032,"CATH,FEMALE SELF",8.1,0
152199,"NEEDLELOK,PROTECT IV",8.1,0
5605548,CLIP RANEY DISPOSABLE,8.74,0
6203319,YELLOW PRESSURE TUBING CAPS DEANDEN,8.87,0
5603337,"CAST PLASTER 2"" EXTRA FAST SETTING",9.19,0
5612304,OSTOMY POUCH 2 1/4IN NATURA,9.46,0
5612312,OSTOMY POUCH 2 3/4IN NATURA,9.46,0
5619010,PLEDGETS PTFE TEFLON,9.51,0
6230411,LOCM 100-199MG EA ML  CONTRAST,9.66,0
6230429,LOCM 200-299MG EA ML  CONTRAST,9.66,0
6230437,LOCM 300-399MG EA ML   CONTRAST,9.66,0
151399,"SPOON,BABY SOFT",9.8,0
1207687,INBORN ERR MET UA NON AUT,9.8,0
154211,"CANNULA,BLOOD,SAFESET",10.07,0
7501208,CONNECTOR STR 1/4,10.55,0
1228865,NMR LIPOPROFILE CHOLEST,10.66,0
5612296,"OSTOMY POUCH 1 3/4"" (641)",10.68,0
5612320,OSTOMY POUCH 4 IN NATURA,10.68,0
5607098,ENDO JUDGE EJ012 LIGATURE DEVICE,10.93,0
7501299,"SUTURE,SILK",11.07,0
1228519,NMR LIPOPROFILE LIPOPROT,11.16,0
108506,"SLING,ARM,SNOPY",11.28,0
1210640,MICRODEL INTERP,11.35,0
5603352,"CAST PLASTER 4"" FAST SETTING",11.64,0
5634720,SLEEVE STERILE PACEMAKER,11.9,0
5607833,FORMO CRESOL SULTAN 1OZ,12.48,0
103630,"SOL,STER H20 1000",12.97,0
1208537,ELP LIPOPROT CHOLESTEROL,13.15,0
129684,INTRODUCER CUTDOWN,13.22,0
125534,"CATH,STR 18F",13.37,0
1200732,FL SPECIFIC GRAVITY,13.4,0
1207232,MEN/ENC PNL VARICELLA-ZOS,13.95,0
1207240,MEN/ENC PNL RUBEOLA,13.95,0
1207265,MEN/ENC PNL CHORIOMENING,13.95,0
1207364,MEN/ENC PNL ADENOVIRUS,13.95,0
158964,DRESSING HYDROFERA TRANSFER,13.98,0
4700142,OUTLET PORT CLAMP WITH SHORT NOSE,13.98,0
158956,DRESSING HYDROFERA BLUE 4X4,14,0
1228535,NMR LIPOPROFILE TRIGLYCER,14.09,0
5603345,CAST PLASTER 3X15,14.09,0
5603378,"CAST PLASTER 5"" FAST SETTING",14.09,0
101873,"PACK,CLD REDI-TEMP",14.12,0
1203736,RUBEOLA IGG(EMP),14.35,0
1203819,VARICELLA IGG EMP,14.35,0
155317,"SET,NONVENT 72"" W/O VALVE",14.58,0
5607841,GAS PAK PLUS,14.61,0
1203710,MUMPS AB IGG EMP,14.7,0
5612338,OSTOMY POUCH DURAHESIVE ONE PIECE,14.97,0
106633,"TRAY,PREP",14.99,0
5634803,"SPONGE PEANUT 3/8""",15.44,0
1003250,PAP SMEAR MI,15.47,0
7501794,"POLAR GUARD,STERILE",15.56,0
5612288,OSTOMY PEDIATRIC DRAINABLE POUCH,15.62,0
1203777,RUBELLA AB IGG,16,0
5603394,"CAST PLASTER 6"" FAST SETTING",16.26,0
1213891,FLOW CYTOM EA ADD MARKER,16.32,0
1207257,MEN/ENC PNL MUMPS,16.4,0
1207273,MEN/ENC PNL INFLUENZA,16.4,0
1207281,MEN/ENC PNL HERPES,16.4,0
1207299,MEN/ENC PNL ENTEROVIRUS,16.4,0
1207307,MEN/ENC PNL WEST EQUINE,16.4,0
1207323,MEN/ENC PNL EAST EQUINE,16.4,0
1207331,MEN/ENC PNL ST LOUIS,16.4,0
1207349,"MEN/ENC PNL CAL,LA CROSSE",16.4,0
1207356,MEN/ENC PNL CMV,16.4,0
5603360,CAST PLASTER 4X15,16.4,0
1228626,PROTEIN ASSAY,16.43,0
128124,"PUMP,BREAST ATT",16.82,0
155648,"CATH,SECURE DUAL TAB LF",17.02,0
156166,TUBE ET 2.0 UNCUFFED,17.02,0
5646682,OSTOMY POUCH ONE PIECE DRAINABLE CU,17.04,0
8200008,XRAY PREP,17.14,0
1211069,MYOCARD ECHO 30,17.2,0
1211077,MYOCARD ECHO 11,17.2,0
1211085,MYOCARD ECHO 9,17.2,0
1211093,MYOCARD ECHO 7,17.2,0
1211101,MYOCARD ECHO 4,17.2,0
1211119,MYOCARD COX B4,17.2,0
1211127,MYOCARD COX B5,17.2,0
1211135,MYOCARD COX B1,17.2,0
1211143,MYOCARD COX B3,17.2,0
1211150,MYOCARD COX B2,17.2,0
1211168,MYOCARD COX B6,17.2,0
1224476,PH URINE,17.22,0
1205004,PROTEIN TOTAL,17.64,0
1208552,ELP LIPOPROT TRIGLYCERIDE,17.7,0
1210863,CMV AG WBC,17.75,0
5656772,VESSEL LOOP MAXI RED 3906,17.75,0
5656780,VESSEL LOOP MINI BLUE 3901,17.75,0
1211044,MYOCARD INFLU B,17.95,0
1211051,MYOCARD INFLU A,17.95,0
7501166,"CONNECTOR,5 IN 1",18.2,0
5612403,"OSTOMY WAFER NATURA 1 3/4""",18.4,0
5612411,"OSTOMY WAFER NATURA 2 1/4""",18.4,0
5646708,"OSTOMY WAFER NATURA 2 3/4""",18.4,0
1208560,T4(THYROXIN;TOTAL) REF,18.75,0
154203,"TUBE HOLDER,SAFESET",19.31,0
127589,"COBAN WRAP 2""",19.44,0
1204353,PRENATAL RISK HCG,19.55,0
5620208,PUNCH BIOPSY 3MM,19.74,0
8000002,XRAY PREP,19.8,0
4606861,DRESSING PRISMA SIL 4X4,19.95,0
5655691,SUTURE BOOTIES,20.07,0
1208933,RED CROSS PRETREAT ENZYME,20.2,0
5612379,OSTOMY WAFER 1 3/4IN DURAHESIVE,20.52,0
5612387,OSTOMY WAFER 2 1/4IN DURAHESIVE,20.52,0
5612395,OSTOMY WAFER 2 3/4IN DURAHESIVE,20.52,0
1222785,"CHOLESTEROL, TOTAL REF",20.76,0
5634605,SIGMOIDOSCOPE DISPOSABLE #53130,21.08,0
4400255,MNT NUTRITION GROUP 30MIN,21.31,0
4400289,EDU PRE-DIABETES GRP 30MIN,21.31,0
5675665,DRAIN LVL 01,21.4,0
5675731,DRESSING SPECIALTY LVL 01,21.4,0
5677950,SPLINT LVL 01,21.4,0
5678214,TUBE SPECIALTY LVL 01,21.4,0
5678727,CATH URETHRAL LVL 01,21.4,0
1159995,WBC AUTO,21.41,0
156729,CUFF BP DISPOSACUFF SZ2,21.54,0
8050861,NON-HEU TC-99M SDY DOSE,21.61,0
6009761,HC NON-HEU TC-99M SDV DOSE,21.74,0
1208628,CHROMO TISSUE INTERP,21.75,0
1224575,"POTASSIUM, FECES",22,0
154625,"GAUZE,2X2,NON-STERILE",22.09,0
7500499,"SCALPEL,DISP",22.31,0
1207083,CRYOFIBRINOGEN,22.35,0
1213222,BLADDER CA INTERP,22.65,0
1213867,"CML/ALL,BCR/ABL INTERP",22.65,0
129817,PLAYTEX INSERT/BX,22.68,0
5671912,ENDO DISSECTOR BLUNT 5MM BTD05,22.77,0
1214618,HEINZ BODIES DIRECT,22.8,0
1224609,"PHOSPHORUS, FECES",22.82,0
5603428,"CAST TAPE 2"" DELTA LITE",23.02,0
153957,"DRESSING,POLYMEM 4X2 STRIP",23.15,0
156737,CUFF BP 5 NEONATAL VINYL,23.23,0
1206341,PNEUMOCOCCAL AB SEROTYPE,23.25,0
1209766,ASPERGILLUS IGE,23.25,0
1209774,CLADOSPORIUM IGE,23.25,0
1216464,KIDNEY STONE DX K UR,23.25,0
1224617,"SODIUM, FECES",23.42,0
157933,CLEANSER WOUND SAF-GEL 3OZ,23.5,0
1224583,CHLORIDE OTHER SOURCE,23.52,0
5655618,STYLET ADULT DISP 14FR,23.79,0
1211325,MS ALBUMIN SER,23.8,0
1212836,PAP SMEAR ONE SLIDE SCRN,24,0
5646658,OCCLUDER OCULAR,24.18,0
1208115,HYPER PNEUMO GEL DIFFUS,24.3,0
1227248,CRP SF SYNOVASURE,24.64,0
1217082,HCV FIB BILIRUBIN TOT,24.66,0
1211317,MS ALBUMIN CSF,24.71,0
156323,BAG BREAST MILK STORAGE,24.72,0
5637178,TRAY BIOPSY SOFT TISSUE,24.76,0
157966,DRESSING BIOSTEP AG 2X2,25.14,0
1217074,HCV FIB ALT (SGPT),25.27,0
1210582,TCPCR1 SPECTROPH NES,25.65,0
5673728,SUTURE LVL 01,25.68,0
1216480,KIDNEY STONE DX SULFAT UR,25.7,0
1216506,KIDNEY STONE DX URIC UR,25.7,0
1204395,PRENATAL RSK ESTRIOL,26.05,0
5620190,PUNCH BIOPSY 2MM,26.23,0
1216498,KIDNEY STONE DX NA UR,26.25,0
4700118,MINICAP TRANSFER SET W/TWIST CLAMP,26.33,0
1203686,CULTURE VIRAL,26.55,0
1201250,LEAD URINE,26.91,0
1224104,ALKALINE PHOSPHATASE,27,0
1224252,TRIGLYCERIDES REF,27,0
1210533,BCPCR1 SPECTROPH NES,27.15,0
1216431,KIDNEY STONE DX CL UR,27.2,0
152785,"POUCH,DRAIN,2PC",27.29,0
1220060,LIVER FIB BILIRUBIN TOT,27.35,0
1216993,REFERENCE LAB TRANSFER,27.7,0
5603436,"CAST TAPE 3"" DELTA LITE",27.78,0
7502008,"SUTURE,SILK TIES",27.78,0
6132930,PF ANES VENIPUNCTURE >3YR,27.81,0
1215599,SALMONELLA AB H AG TYPE A,27.85,0
1215615,SALMONELLA AB H AG TYPE B,27.85,0
1215631,SALMONELLA AB O AG TYP VI,27.85,0
1215920,SALMONELLA AB O AG TYPE D,27.85,0
1215946,SALMONELLA AB H AG TYPE D,27.85,0
1211176,MAGNESIUM URINE,27.95,0
1216407,KIDNEY STONE DX CR UR,28,0
1216530,KIDNEY STONE DX PHOS UR,28,0
1216308,LIME (RF306) IGE,28.3,0
6202683,"LINE 10"" C.I.,H.P.",28.36,0
1225846,TISSUE HOMOGEN CULTURE,28.7,0
5603204,CAP PROTECTIVE FOR 8.0MM CARBON FIB,28.75,0
1216753,SPECIMEN PROCESSING,28.8,0
1205061,HEMOGLOBIN ELP SCREEN,28.9,0
6231906,INF DEV BASIX ANALOG W/13 IN TUB,28.93,0
1222298,"BORDETELLA ID,NUC AC PR",28.95,0
1222314,"VIRAL ID,NUCLEIC AC PR",28.95,0
5603386,CAST PLASTER 5X30,29,0
1225119,LDH TOTAL,29.05,0
1203314,HERPES TYPE 1 IGG AB,29.25,0
1214238,"CREATININE,URINE,RANDOM",29.25,0
1227313,ASPERGILLUS IGG GEL DIFF,29.34,0
1200849,"ALLERGEN SPEC IGE, EACH",29.55,0
1212943,LATEX (K82) IGE,29.55,0
2600062,REPOGLE TUBE,29.57,0
157941,DRESSING VERSAFOAM 10X15CM,29.72,0
5605530,CLIP LIGATING SMALL LT-100,29.9,0
7501281,"SUTURE,SILK 2",29.9,0
1231422,ADULTERANTS SURVEY URINE,29.93,0
1011691,VET LYTES/COM,30.24,0
1208131,HYPER PNEUMO AB ASPERGILL,30.4,0
1211275,C-REACTIVE PROT QUANT,30.55,0
5603329,"CAST ELASTIC PLASTER 4""",30.61,0
1224484,HISTOPLASMA MYCELIAL,30.62,0
1224492,HISTOPLASMA YEAST,30.62,0
1224500,HISTOPLASMA IMMUNODIFF,30.62,0
1216068,RHEUMATOID FACTOR QUANT,30.75,0
1229681,VDRL TITER CSF,30.75,0
1229707,RPR TITER,30.75,0
1220576,NJH PROPOR METH SUSCEPTIB,30.85,0
101386,DERMOPLAST 2OZ,30.86,0
7501182,CONNECTOR SIMMS,30.93,0
7501190,"CONNECTOR,Y SM",30.93,0
1224112,CPK TOTAL,31.01,0
1223692,PROTEIN URINE,31.1,0
1209154,THBR,31.12,0
150714,"SPLINT,FING,2 REG",31.27,0
6203327,NAMIC GUIDE WIRE  INTRODUCER,31.41,0
1202563,HAPTOGLOBIN,31.5,0
1208032,CHROMO KARYOTYPE STDY,31.7,0
5656939,CORD LAPAROSCOPY MONOPOLAR E0510,31.83,0
1207497,ANTIBODY HISTOPLASMA,31.85,0
1207505,ANTIBODY COCCIDIODES,31.85,0
103739,"IRRIGATION,CYSTO",32.08,0
154682,WIPE REMOVER ADHESIVE,32.13,0
1224674,CYCLOSPORA SPEC CONCENT,32.13,0
1229194,COXSACKIE A2 AB,32.17,0
1229202,COXSACKIE A7 AB,32.17,0
1229210,COXSACKIE A4 AB,32.17,0
1229228,COXSACKIE A9 AB,32.17,0
1229236,COXSACKIE A10 AB,32.17,0
1229244,COXSACKIE A16 AB,32.17,0
1229251,COXSACKIE B1 AB,32.17,0
1229269,COXSACKIE B3 AB,32.17,0
1229277,COXSACKIE B2 AB,32.17,0
1229285,COXSACKIE B4 AB,32.17,0
1229293,COXSACKIE B5 AB,32.17,0
1229301,COXSACKIE B6 AB,32.17,0
1229319,ECHOVIRUS 4 AB,32.17,0
1229327,ECHOVIRUS 7 AB,32.17,0
1229335,ECHOVIRUS 9 AB,32.17,0
1229343,ECHOVIRUS 11 AB,32.17,0
1229350,ECHOVIRUS 30 AB,32.17,0
1224591,"MAGNESIUM, FECES",32.24,0
1205434,COXSACKIE B AB,32.5,0
6203095,FLUSH DEVICE,32.58,0
5672167,CAUTERY TIP INSULATED EDGE,32.6,0
1216415,KIDNEY STONE DX CA UR,32.65,0
1201193,"MICROALBUMIN, UR",32.75,0
1222074,C PNEUMONIAE IGG,32.85,0
1222090,C PNEUMONIAE IGA,32.85,0
1222116,C TRACHOMATIS IGG,32.85,0
1222124,C TRACHOMATIS IGA,32.85,0
1222132,C PSITTACI IGG,32.85,0
1222157,C PSITTACI IGA,32.85,0
1206002,"T4 (THROXINE),TOTAL",33.04,0
1201011,"HIV-1, (EIA)",33.05,0
1205913,HEP B CORE AB (SO),33.1,0
1217447,COLLECTION SALIVA,33.2,0
1227263,HEMOGLOBIN SF SYNOVASURE,33.32,0
1215490,HYPERSEN PNEUM PIGEON SER,33.35,0
1215508,HYPERSEN PNEUM T CANDIDUS,33.35,0
1215516,HYPERSEN PNEUM T VULGARIS,33.35,0
1215524,HYPERSEN PNUEM S VIRIDIS,33.35,0
6009302,SMOKING CESSATION 3-10,33.52,0
1060789,GLYCOSYLATED (A1C) BIOMET,33.56,0
1003599,HEMATOCRIT,33.76,0
1003607,HEMOGLOBIN,33.76,0
1058791,POC HEMATOCRIT,33.76,0
1058841,POC HEMOGLOBIN,33.76,0
1103597,HEMATOCRIT,33.76,0
1103605,HEMOGLOBIN,33.76,0
1106111,BUN,33.76,0
1207448,CHYMOPAPAIN IGE ALLERGEN,33.8,0
1061753,OCCULT BLOOD DX,33.97,0
1217066,HCV FIB GGT,34.37,0
127746,"CATH,FOLEY 20F/30",34.38,0
1060797,LIPID PANEL BIOMET,34.38,0
5612908,PADDLE CULTURE RENAL,34.47,0
156364,CATH RADIAL ARTERY 20X1,34.58,0
157958,BLOCK BITE STRAP ADULT,34.64,0
1208545,ELP LIPOPROT ELECTROPHOR,34.75,0
1226828,OPIATE CONFIRM QNT,34.75,0
1227396,OXYCODONE CONFIRM MAYO,34.75,0
1231307,OPIATE CONFIRM QNT,34.75,0
1231323,OXYCODONE CONFIRM QNT,34.75,0
1223866,COLD AGGLUTININ SCREEN,34.91,0
155911,DRESSING ALLEVYN 2X2,35.11,0
1222108,C PNEUMONIAE IGM,35.25,0
1222140,C PSITTACI IGM,35.25,0
1222165,C TRACHOMATIS IGM,35.25,0
1226760,AMPHET/METAM CONFIRM QNT,35.26,0
1226893,MDMA CONFIRM QNT,35.26,0
1231240,AMPHET/METAM CONFIRM QNT,35.26,0
1231364,MDMA CONFIRM QNT,35.26,0
4400248,MNT NUTRITION RE-EVAL 15MIN,35.47,0
6207575,STOPCOCK MORSE 3WAY,35.5,0
5663471,OSTOMY POUCH HOLLISTER 19004,35.64,0
157461,SPONGE LAP 18X18,35.79,0
2600344,"TUBE,ET 2.0",35.79,0
1211648,PNH RETICULOCYTE CNT,35.85,0
153163,"POUCH,CUSTOM,PEDIATRIC",35.99,0
153247,OSTOMY RING 1-9/16 ADT FL,36.12,0
153254,OSTOMY RING 1-15/16 ADT,36.12,0
5605506,CLIP LIGATING LARGE LT-400,36.14,0
156687,PAD GEL MATERNIMATE,36.18,0
1216456,KIDNEY STONE DX MG UR,36.25,0
1061175,RHEUMATOID FACTOR QUANT,36.28,0
1201359,MERCURY URINE,36.31,0
8506891,VISIT SMOKING/TOBACCO,36.32,0
5603444,"CAST TAPE 4"" DELTA LITE",36.33,0
1004928,ALBUMIN,36.47,0
1005107,CALCIUM,36.47,0
1005123,CHLORIDE,36.47,0
1005156,CHOLESTEROL,36.47,0
1005222,CREATININE,36.47,0
1005479,GLUCOSE,36.47,0
1005719,ALKALINE PHOSPHATASE,36.47,0
1005727,PHOSPHORUS,36.47,0
1005735,POTASSIUM,36.47,0
1005743,PROTEIN TOTAL,36.47,0
1005883,SODIUM,36.47,0
1006063,SGOT/AST,36.47,0
1006071,SGPT/ALT,36.47,0
1006097,TRIGLYCERIDES,36.47,0
1006113,BUN,36.47,0
1006212,CARBON DIOXIDE,36.47,0
1058015,"BILIRUBIN,DIRECT",36.47,0
1058148,POC SODIUM,36.47,0
1058197,POC POTASSIUM,36.47,0
1058247,POC CHLORIDE,36.47,0
1058296,POC BUN,36.47,0
1058494,POC GLUC BY MONITOR DEV,36.47,0
1058643,POC GLUCOSE,36.47,0
1059492,POC GLUC BY MONITOR DEV,36.47,0
1059641,POC CREATININE,36.47,0
1060649,ALBUMIN UR OR OTHR SOURCE,36.47,0
1104926,ALBUMIN,36.47,0
1105105,CALCIUM,36.47,0
1105121,CHLORIDE,36.47,0
1105220,CREATININE,36.47,0
1105477,GLUCOSE,36.47,0
1105717,ALKALINE PHOSPHATASE,36.47,0
1105725,PHOSPHORUS,36.47,0
1105733,POTASSIUM,36.47,0
1105741,PROTEIN TOTAL,36.47,0
1105881,SODIUM,36.47,0
1106061,SGOT/AST,36.47,0
1106079,SGPT/ALT,36.47,0
1106210,CARBON DIOXIDE,36.47,0
1158013,"BILIRUBIN,DIRECT",36.47,0
1207539,PORPHOBILINOGEN QUANT,36.47,0
1227735,MAG ANTIBODY IGM,36.64,0
1228501,SGPG ANTIBODY IGM,36.64,0
1228527,ASIALO GM1 AB IGG-IGM,36.64,0
1228543,GM1 ANTIBODIES IGG-IGM,36.64,0
1228568,GD1A ANTIBODIES IGG-IGM,36.64,0
1228584,GD1B ANTIBODIES IGG-IGM,36.64,0
1228600,GQ1B ANTIBODIES IGG-IGM,36.64,0
1215482,HYPERSEN PNEUM M FAENI,36.7,0
1216373,"FAT,FECAL QUAL",36.75,0
1219971,NJH AFB CONCENTRATION,36.8,0
1217421,S PNEUMO IGG SEROTYP EACH,36.81,0
1226539,PNEUMOCOCCAL AB SERO EACH,36.81,0
6202691,SSC 3W HP RA RT,36.81,0
1216514,KIDNEY STONE DX OSMO UR,36.85,0
8502171,ARTERIAL BLOOD GAS DRAW,36.86,0
102269,OSTOMY POUCH #21929,37.08,0
1216647,UDS COLLECTION,37.5,0
154526,ICE GRIP,37.6,0
156851,STATLOCK FOLEY PEDIATRIC,37.6,0
156869,STATLOCK FOLEY ADULT,37.6,0
1003425,PH URINE,37.81,0
1207828,AB HERPES SIMPLEX TYPE 1,38,0
1207836,AB HERPES SIMPLEX TYPE 2,38,0
1220581,SPECTROPHOTOMETRY QUANT,38.05,0
5605522,CLIP LIGATING MEDIUM LT-200,38.07,0
126011,OSTOMY WFR #22370,38.16,0
1205418,MAGNESIUM RBC,38.2,0
155598,"SHIELD,BREAST SOOTHIE,PR",38.21,0
1160092,MICROALBUMIN SEMIQUANT,38.55,0
1061183,MICROALBUMIN QUANT UR,38.64,0
5605159,CAUTERY TIP TEFLON,38.71,0
2600328,STOPCOCK 4-WAY,38.77,0
1203959,MS OLIGOCLON IMMUN,38.85,0
4601217,"DRESSING CHANGE <15""",38.89,0
106138,"BAG,CLOSED DRAIN",38.97,0
1222751,"HDL CHOLESTEROL, REF",39.1,0
4604153,IMMUN ADMIN EA ADDL,39.11,0
4604526,EKG RHYTHM STRIP,39.11,0
4604708,SMOKING CESSATION 3-10,39.11,0
4607156,NUTRITION RE-EVAL 15 MIN,39.11,0
6202055,NEEDLE DISP 18GX7.0CM,39.13,0
5640081,COLLAR CERVICAL LARGE 79-83097,39.17,0
1220052,LIVER FIB GGT,39.25,0
1225630,"ACETONE, VOLATILE",39.31,0
1228030,SUSCEPT AGAR DIL MAYO,39.39,0
1204080,THYROGLOBULIN,39.44,0
156794,CUFF BP ADULT MED DISP,39.5,0
156802,CUFF BP ADULT LG DISP,39.5,0
1202050,ACID PHOSPHATASE,39.55,0
101030,OSTOMY POUCH PD#9765,39.57,0
8052683,I-131 RX ADD MCI,39.75,0
1057967,"BILIRUBIN,TOTAL",39.78,0
1060433,PROTEIN URINE,39.78,0
1060482,PROTEIN OTHER SOURCE,39.78,0
1157965,"BILIRUBIN,TOTAL",39.78,0
1207471,ANTIGEN CRYPTOCOCCUS,39.8,0
1207489,ANTIBODY ASPERGILLUS,39.8,0
5607593,EXFX 5029 4 110 CLIP,39.82,0
8506727,DEMO NEB/MDI,39.82,0
7501174,"CONNECTOR,Y LG",40.19,0
7501216,CONNECTOR T,40.19,0
5605035,CAUTERY LOOP STRAIGHT 24FR,40.26,0
1053594,KETONES URINE,40.31,0
1053701,TISSUE SLIDE H&E,40.31,0
8052684,I-131 RX FIRST MCI,40.36,0
1223973,HTLV 1/2 AB SCREEN,40.39,0
1227768,HAIR COLLECTION,40.5,0
1225135,"CULT TYPE IF, EACH ANTISERA",40.61,0
104612,"SLING,ARM,SM",40.86,0
125302,"SLING,ARM,LG",40.86,0
1227305,CULTURE AEROBIC SYNOVASUR,41.02,0
1204015,CAROTENE,41.05,0
1059476,ANAEROBIC ISOLATE DEF ID,41.25,0
1059807,"MICRO ID,URINE",41.25,0
1060359,AEROBIC ISOLATE DEF ID,41.25,0
5606926,ENDO CAP REDUCER 5MM #40005,41.29,0
5672449,SLING & SWATHE 3898-07,41.29,0
129601,"SET,BLOOD,IV 2C6757",41.53,0
5631015,VACURETTE 8 MM CURVED,41.61,0
1208966,RED CROSS BLD TYPING RH,41.65,0
1212810,PAP SMEAR SCREEN,41.85,0
1215474,HYPERSEN PNEUM A FUMIGATU,41.85,0
1203660,"CULTURE,AFB",42,0
1201300,ARSENIC URINE,42.16,0
154369,"PAD,CAIR (HILL-ROM)",42.34,0
4400230,MNT NUTRITION EVAL 15MIN,42.45,0
157719,CLIP LIG TITAN SM,42.74,0
4400271,DSM GROUP 30MIN,42.87,0
1210681,CENTROMERE ANTIBODY,42.9,0
156745,CUFF BP CHILD 2 TUBE,43.01,0
1205756,HERPES TYPE 2 IGG AB,43.02,0
5612346,OSTOMY POUCH UROSTOMY 1 3/4IN,43.03,0
5612353,OSTOMY POUCH UROSTOMY 2 1/4IN,43.03,0
1210699,MICROSPORIDIA SPEC STAIN,43.08,0
1205285,INFLUENZA ANTIGEN A,43.15,0
1205327,INFLUENZA ANTIGEN B,43.15,0
157800,DRESSING ALERAN THIN,43.28,0
1059054,UA VOLUME MEASURE,43.28,0
1060086,SODIUM OTHER SOURCE,43.28,0
1159052,UA VOLUME MEASURE,43.28,0
155952,DRESSING ALLEVYN 3X3,43.49,0
5637947,VACURETTE 7 MM CURVED,43.67,0
1059278,ISOLATE ID REF,43.69,0
1059740,SHIGA TOXIN 1,43.69,0
1059799,SHIGA TOXIN 2,43.69,0
6203111,MALE NONVENTED CAP,43.92,0
1221571,PH FECES,44.05,0
5640107,COLLAR CERVICAL SMALL 79-83093,44.05,0
1207406,DIBUCAINE INH CHOLINEST,44.1,0
5630298,TRAY PARACERVICAL PUDENTAL BLOCK,44.31,0
5631007,VACURETTE 16MM STRAIGHT,44.44,0
4700134,MINICAP DISCONNECT CAP,44.63,0
5661376,CAUTERY SUCTION 6FR E2608-6,44.64,0
1211267,LDH ISO ENZYMES,44.65,0
5603451,"CAST TAPE 5"" DELTA LITE",44.69,0
6009795,PERI-PX PCEMAKER DVCE EVL,44.69,0
1203991,MS IGG SERUM,44.73,0
1204031,MS IGG CSF,44.73,0
1214576,FLOW CYTOM RED CELL INTER,44.75,0
156356,CATH RADIAL ARTERY 20X4,44.84,0
1223148,FLOW CYTO EA ADD MRK MAYO,44.85,0
1203967,OLIGOCLON IMMUNO,44.95,0
1227321,CULTURE ANAEROB SYNOVASUR,45.08,0
