Charge Code,NRV,CPT,Discription,Price,,,,
3080206,0790,,ESW BILATERAL,"27,054.00",,,,
3080207,0790,,ESW UNILATERAL,"13,527.00",,,,
3080209,0790,,ISW UNILATERAL,"5,788.00",,,,
3080210,0790,,ISW BILATERAL,"11,671.00",,,,
3100015,0260,96365,IV INFUSION  UP TO ONE HR (PICTOCIN),368.00,,,,
3100017,0920,59025,NON-STRESS TEST,450.00,,,,
3100020,0920,59020,FETAL CONTCT STRESS TEST/OXT,612.00,,,,
3100027,0402,76946,US GUIDANCE AMNIOCENTESIS S/I,600.00,,,,
3100029,0720,59000,AMNIOCENTESIS,600.00,,,,
3100030,0260,,AMNIO INFUSION,300.00,,,,
3100035,0391,36430,TRANSFUSION BLD PROD_LD,631.00,,,,
3100221,0721,,LABOR 1ST HOUR,292.50,,,,
3100230,0721,,LABOR EA 1/2 HOUR,146.00,,,,
3100337,0761,96372,IM/SQ INJECTION ONLY,60.00,,,,
3100473,0771,90471,ADMIN OF VACC/INJECTION,150.00,,,,
3100500,0402,76815,US OB LTD 1OR> FETUS,"1,113.00",,,,
3100510,0300,81002,POC FERN TEST,16.00,,,,
3100515,0300,81002,URINALYSIS DIPSTICK METH,23.00,,,,
3100610,0360,,CERCLAGE,898.00,,,,
3100612,0760,,C SECTION SURGERY LVL ADDTNL 1/2HR,449.00,,,,
3100615,0720,,SURG MIN EA ADD MIN,45.00,,,,
3100701,0710,,RECOVERY ROOM CSECT-GEN 1ST HR,985.00,,,,
3100705,0710,,RECOV CSECT GEN EA ADDNL  1/2 HR,310.00,,,,
3100708,0710,,RECOV CSECT REG 1ST HR,950.00,,,,
3100710,0710,,RECOV CSECT REG ADDTL 1/2 HR,475.00,,,,
3100713,0710,,RECOV POST-VAG 1ST HR,595.00,,,,
3100715,0710,,RECOV POST-VAG EA ADDNL 1/2HR,240.00,,,,
3100717,0710,,EXTENDED RR INITAL 1 HR,250.00,,,,
3100719,0710,,EXTENDED RR ADDTL 1/2 HR,125.00,,,,
3101197,0761,99213,OB VISIT LVL III,275.00,,,,
3101199,0761,99211,OB VISIT LVL 1,185.00,,,,
3101200,0721,,LD TRIAGE/MSE,314.00,,,,
3101202,0761,99212,OB VISIT LVL II,220.00,,,,
3101204,0761,99214,OB VISIT LVL IV,385.00,,,,
3101205,0761,99215,OB VISIT LVL 5,505.00,,,,
3102010,0720,59412,TOCOLYSIS,272.00,,,,
3102110,0720,,MAGNESIUM SULFATE,600.00,,,,
3103205,0370,,ANES GEN  1ST HR,"1,211.00",,,,
3103208,0370,,ANES GEN EA ADDTL 1/2 HR,605.00,,,,
3103210,0370,,ANES REGIONAL 1ST HR,370.00,,,,
3103211,0370,,ANES REGIONAL ADDDTL 1/2 HR,185.00,,,,
3109503,0760,,DELIV C-SECT ADD MIN,40.00,,,,
3109525,0762,G0378,OBSERV CHG/HRLY,71.00,,,,
3109725,0471,,INIT HEARING SCREEN MCA,150.00,,,,
3109726,0471,,OP MEDI-CAL NB HEAR SCR,150.00,,,,
3109727,0471,,INIT INFANT HEARING SCREENING,24.00,,,,
3109730,0260,96366,IV INFUSION THE/DS EA ADDL HR,84.00,,,,
3109732,0260,96367,IV INFUSION TEHR/DX ADDL HR NEW DRUG,250.00,,,,
3109734,0260,96374,IV PUSH INITIAL 1ST HR-NEW DRUG,168.00,,,,
3109736,0260,96375,IV PUSH ADDL SEQ NEW DRUG,300.00,,,,
3109738,0260,96376,IV PUSH SAME DRUG EA ADDL/SEQ,175.00,,,,
3109740,0260,96360,IV INFUSION  HYDRATE 1ST HR,500.00,,,,
3109742,0260,96361,IV INFUSE HYDRATE EA ADDL HR,250.00,,,,
3109744,0761,,BLOOD PATCH,965.00,,,,
3109750,0720,,DEL /PLACENTA/NON DEL BOA,"4,175.00",,,,
3109755,0270,,SECONDARY IV SET V1921,1.98,,,,
3109757,0270,,FLOWTRON L501-M,37.41,,,,
3109759,0270,,SUTURES,12.57,,,,
3210004,0360,,SURGERY 1 HOUR    MAJOR,"3,868.00",,,,
3210005,0360,,SURGERY MAJOR EA ADD  MIN,63.00,,,,
3210041,0360,,SURGERY 1 HOUR     MINOR,"3,201.00",,,,
3210051,0360,,SURGERY MINOR EA ADD MIN,53.00,,,,
3210400,0360,,SURG LASER PROC 1ST HR,"5,809.00",,,,
3210402,0360,,SURG LASER PROC ADD MIN,96.00,,,,
3210460,0360,,SURG LASER MNR 1ST HR,"5,214.00",,,,
3210476,0360,,SURG LASER MNR ADD MIN,75.00,,,,
3220002,0710,,RECOVERY RM 1/2 HOUR,"1,789.00",,,,
3220003,0710,,PACU EACH ADD MIN,29.00,,,,
3220004,0710,,RECOVERY RM 1     HOUR,"3,579.00",,,,
3500260,0361,,MINOR PROCEDURE,"1,349.00",,,,
3500613,0710,,PACU 1/2 HR,"1,037.00",,,,
3500615,0710,,PACU EA ADD MIN,18.00,,,,
3500626,0260,96374,IVPUSH NON CHEMO DRUG,168.00,,,,
3501329,0331,96401,CHEMO INF IM/SQ,"1,206.00",,,,
3502064,0260,96365,IV THRPY UP TO 1 HR,384.00,,,,
3502065,0260,96366,IV THRPY EA ADD HR,84.00,,,,
3503110,0391,36430,TRANSFUSION BLD-ADMIN_ED,631.00,,,,
3600408,0360,,LUMBAR PUNCTURE,"2,072.76",,,,
3603020,0335,96415,CHEMOTHER INF EA HR 1-8H,"2,529.00",,,,
3700004,0370,,ANESTHESIA 1 HOUR,"1,211.00",,,,
3700005,0370,,ANESTHESIA EA ADD MIN,20.00,,,,
3700045,0270,,NITROUS OXIDE,174.00,,,,
3700054,0370,,OXYGEN,174.00,,,,
3708999,0370,,ANESTHESIA MISC,0.00,,,,
4100004,0300,80051,ELECTROLYTE PANEL,74.00,,,,
4100031,0301,80202,VANCOMYCIN,124.00,,,,
4100052,0300,80050,GEN HEALTH PANEL *,270.00,,,,
4100069,0301,80069,RENAL FUNCTION PANEL,179.00,,,,
4100074,0301,80074,ACUTE HEPATITIS PANEL,282.00,,,,
4100102,0300,80307,AMPHETAMINE QUAL,141.00,,,,
4100109,0301,80076,HEPATIC FUNCTION PANEL,147.00,,,,
4100111,0301,80053,COMP METABOLIC PANEL,89.00,,,,
4100160,0301,80061,LIPID PANEL COMPREHENSV,156.00,,,,
4100166,0301,80048,BASIC METABOLIC PANEL,75.00,,,,
4101001,0307,81001,UA AUTO W/MICRO,63.00,,,,
4101004,0307,81003,URINE W/O MICRO AUTO,53.00,,,,
4101015,0300,81015,URINALYSIS MICRO ONLY,65.00,,,,
4101026,0307,81025,URINE PREG TEST QUAL,173.00,,,,
4101050,0300,81050,VOLUME MEASURMNT URINE *,40.00,,,,
4102003,0301,80307,ACETAMNOPHN  QUANT,240.00,,,,
4102010,0301,82010,B- HYDROXYBUTYRATE QUANT-KETONE,129.00,,,,
4102011,0301,80307,SALICYLATE,158.00,,,,
4102040,0301,82040AY,ALBUMIN SERUM,21.00,,,,
4102045,0301,82042,BODY FLUID ALBUMIN,21.00,,,,
4102055,0301,G0480,ALCOHOL ETHYL,303.00,,,,
4102066,0300,83945,OXALATE URINE,39.00,,,,
4102114,0301,82105,ALPHA FETO PROTEIN SERUM,122.00,,,,
4102137,0301,80198,THEOPHYLLINE,90.00,,,,
4102140,0301,82140,AMMONIA,136.00,,,,
4102150,0301,82150,AMYLASE,39.00,,,,
4102151,0300,82150,AMYLASE URINE,54.00,,,,
4102213,0300,80307,BARBITURATES QUAL,69.00,,,,
4102239,0300,81002,BILE PIGMENTS URINE,83.00,,,,
4102250,0301,82247,BILIRUBIN TOTAL,54.00,,,,
4102253,0301,82248,BILIRUBIN DIRECT,60.00,,,,
4102270,0300,82270,OCCULT BLD STL 1-3,21.00,,,,
4102272,0301,82272,OCCULT BLD QL,21.00,,,,
4102274,0300,82274,HGB FECAL OCCULT BLD L,60.00,,,,
4102275,0301,82271,"OCCULT BLD, GASTRIC",50.00,,,,
4102310,0301,82310AY,CALCIUM,52.00,,,,
4102330,0301,82330,CALCIUM IONIZED,79.00,,,,
4102340,0301,82340,CALCIUM URINE QUAN,56.00,,,,
4102341,0301,82340,CALCIUM 24HR URINE,65.00,,,,
4102372,0301,80156,CARBAMAZAPINE,265.00,,,,
4102374,0301,82374AY,CARBON DIOXIDE,47.00,,,,
4102375,0301,82375,CARBON MONOXIDE QUAN,106.00,,,,
4102439,0301,82435AY,CHLORIDE,47.00,,,,
4102465,0301,82465,CHOLESTEROL TOTAL,47.00,,,,
4102476,0301,83721,LDL CHOLESTOROL,46.00,,,,
4102477,0301,83718,CHOLESTEROL HDL,74.00,,,,
4102533,0301,82533,CORTISOL TOTAL,136.00,,,,
4102550,0301,82550,CREATINE KINASE TOTAL,98.00,,,,
4102553,0301,82553,CK MB FRACTION,295.00,,,,
4102554,0301,82553,CK MB,121.00,,,,
4102560,0300,80307,COCAINE QL,44.00,,,,
4102565,0301,82565AY,CREATININE BLOOD,21.00,,,,
4102570,0301,82570,"CREATININE, FLUID",21.00,,,,
4102571,0301,82570,CREATININE 24HR URINE,42.00,,,,
4102573,0301,82570AY,CREATININE URINE,38.00,,,,
4102575,0301,82575AY,CREATININE CLEARANCE,74.00,,,,
4102597,0300,80345,"BARBITURATES CONFIRMATION, URINE",35.00,,,,
4102611,0301,82607AY,CYANOCOBLMN(VIT B12),80.00,,,,
4102643,0301,80163,DIGOXIN,100.00,,,,
4102655,0301,80185,PHENYTOIN TOTAL,126.00,,,,
4102726,0301,82728AY,FERRITIN,83.00,,,,
4102731,0301,82731,FETAL FIBRONECTIN,370.00,,,,
4102746,0301,82746AY,FOLIC ACID,70.00,,,,
4102945,0301,82945,GLUCOSE BODY FLUID,58.00,,,,
4102946,0301,82948,GLUCOSE POC,25.00,,,,
4102947,0301,82947,GLUCOSE QUANT,38.00,,,,
4102948,0301,82948,GLUCOSE BLD RGT ST VISU *,31.00,,,,
4102950,0301,82950,GLUCOSE POST DOSE,72.00,,,,
4102951,0301,82951,GLUCOSE TOLERANCE 3SPEC,120.00,,,,
4102953,0300,82945,GLUCOSE QNT URINE 24HR,79.00,,,,
4102958,0301,82945,GLUCOSE CSF,58.00,,,,
4102980,0301,82977,GGT,60.00,,,,
4102994,0301,83036,HEMOGLOBIN GLYCATED,53.00,,,,
4103004,0301,80170,GENTAMYCIN,124.00,,,,
4103010,0301,83010,HAPTOGLOBIN,60.00,,,,
4103013,0301,84703,GONADTOPN CHRONC(HCG)QL,70.00,,,,
4103014,0301,84702,GONADTOPN CHORNC(HCG)QNT,123.00,,,,
4103052,0305,85660,SICKLING OF RBC,48.00,,,,
4103527,0301,83880,B-TYP NATRIURETC PEPTID,321.00,,,,
4103540,0301,83540AY,IRON,25.00,,,,
4103550,0301,83550AY,IRON BINDING CAPCTY,43.00,,,,
4103605,0301,83605,LACTATE(LACTIC ACID),106.00,,,,
4103610,0300,83605,POC LACTATE,73.00,,,,
4103615,0301,83615,LDH-LACTIC DEHYDROGENASE,39.00,,,,
4103690,0301,83690,LIPASE,98.00,,,,
4103725,0301,80178,LITHIUM,33.00,,,,
4103735,0301,83735,MAGNESIUM,57.00,,,,
4103756,0301,83735,MAGNESIUM URINE 24HR,57.00,,,,
4103930,0301,83930,OSMOLALITY BLOOD,38.00,,,,
4103935,0301,83935,OSMOLALITY URINE,38.00,,,,
4103980,0301,83986,"PH,BODY FLUID EXCEPT BLD",70.00,,,,
4104020,0301,80184,PHENOBARBITAL,126.00,,,,
4104075,0301,84075AY,PHOSPHATASE ALKALINE,60.00,,,,
4104100,0301,84100AY,PHOSPHORUS,47.00,,,,
4104102,0300,84105,PHOSPHORUS URINE,41.00,,,,
4104103,0301,84105,PHOSPHORUS URINE 24 HR,43.00,,,,
4104132,0301,84132AY,POTASSIUM SERUM,41.00,,,,
4104133,0301,84133,POTASSIUM URINE,54.00,,,,
4104134,0301,84133,POTASSIUM 24HR URINE,48.00,,,,
4104141,0300,80188,PRIMIDONE,101.00,,,,
4104154,0301,84157,PROTEIN OTHER SOURCES,38.00,,,,
4104155,0301,84155AY,PROTEIN TOTAL,31.00,,,,
4104156,0301,84156,PROTEIN URINE RANDOM,38.00,,,,
4104165,0301,84165,PROTEIN ELCTRO SERUM,84.00,,,,
4104176,0301,84134AY,PRE-ALBUMIN,50.00,,,,
4104180,0301,84156,PROTEIN URINE QUAN 24 HR,48.00,,,,
4104196,0301,84157,PROTEIN SPINAL FLUID,38.00,,,,
4104200,0305,85611,PROTHROMBIN TIME SUBST,73.00,,,,
4104250,0301,84479,TRIIODTHYRN (T-3) UPTAKE,47.00,,,,
4104295,0301,84295AY,SODIUM BLOOD,118.00,,,,
4104296,0301,84300,SODIUM URINE,120.00,,,,
4104300,0301,84300,SODIUM 24HR URINE,95.00,,,,
4104315,0301,84315,SP-GR EXCEPT URINE,21.00,,,,
4104436,0301,84436,THYROXINE TOTAL,48.00,,,,
4104443,0301,84443,TSH,111.00,,,,
4104450,0301,84450,TRANSTERASE AST(SGOT),39.00,,,,
4104460,0301,84460,TRANSAMINASE-SGPT (ALT),63.00,,,,
4104468,0301,80200,TOBRAMYCIN,124.00,,,,
4104475,0301,84478,TRIGLYCERIDES,53.00,,,,
4104520,0301,84520AY,BLD UREA NITROGEN QUAN,21.00,,,,
4104540,0301,84540AY,UREA NITROGEN URINE,46.00,,,,
4104541,0301,84540,UREA NITROGEN 24HR URINE,79.00,,,,
4104550,0301,84550,URIC ACID BLOOD,43.00,,,,
4104557,0301,84560,"URIC ACID, OTHER SOURCE",44.00,,,,
4104559,0301,84560,URIC ACID URINE,43.00,,,,
4104560,0301,84560,URIC ACID URINE 24HR,43.00,,,,
4104584,0301,80165,VALPROIC ACID,104.00,,,,
4104701,0306,87400,INFLUENZA B AG,218.00,,,,
4105005,0306,87449,C DIFF SCREEN AG A/B,103.00,,,,
4105006,0306,87324,C DIFF SCREEN TOX A/B,103.00,,,,
4105007,0305,85007,DIFF MANUAL,11.00,,,,
4105008,0305,85008,BLD SMR EXAM W/O DIFF *,11.00,,,,
4105011,0305,85041AY,"RBC, AUTO",21.00,,,,
4105012,0305,85032,EOSINOPHILE COUNT MANUAL,42.00,,,,
4105013,0305,85048,WBC AUTO,21.00,,,,
4105014,0305,85014AY,HEMATOCRIT AUTOMATED,21.00,,,,
4105018,0305,85018AY,BLOOD HEMOGLBN,27.00,,,,
4105021,0305,85027AY,HEMOGRM AUTOMATED,16.00,,,,
4105028,0305,85025AY,CBC/PLT/AUTO DIFF (5),72.00,,,,
4105044,0305,85044AY,RETICULOCYTE COUNT MAN,48.00,,,,
4105347,0305,85347,COAGULAT ACTIV,70.00,,,,
4105362,0300,85362,FDP/FSP AGGLUTNATN SLIDE,185.00,,,,
4105380,0305,85379,FDP D-DIMER EIA QNT,245.00,,,,
4105384,0305,85384,FIBRINOGEN ACTIVITY,70.00,,,,
4105460,0305,85460,HMOGLBN FETAL(KLEIHAUER),87.00,,,,
4105539,0305,85540,LEUKOCYTE ALKA-PHSPHTASE,80.00,,,,
4105576,0305,85576,PLT FUNCTION TEST,225.00,,,,
4105595,0305,85049,PLATELET COUNT (AUTO),47.00,,,,
4105610,0305,85610,PROTHROMBIN TIME,25.00,,,,
4105651,0305,85651,SEDIMENTN RATE-NON-AUTO,42.00,,,,
4105730,0305,85730,PTT PLASM,97.00,,,,
4105732,0305,85732,PTT SUB EA FRACTION,80.00,,,,
4105744,0305,85576,PLATELET AGGREGATION (PLAVIX),153.85,,,,
4106003,0302,86308,HETEROPHILE AB SCREEN,47.00,,,,
4106015,0302,86157,COLD AGGLUTINATN TITER,20.72,,,,
4106016,0302,86850,RBC ANTIBODIES SCREEN,83.65,,,,
4106024,0302,86870,ANTIBDY IDENT RBC EA PNL,212.00,,,,
4106025,0302,86140,C-REACTIVE PROTEIN QL,108.00,,,,
4106033,0302,86880,DIRECT COOMBS POLY,52.00,,,,
4106056,0302,86677,HELICOBACT PYLORI AB QL,48.00,,,,
4106080,0302,86900,BLD TYPE ABO ONLY,15.00,,,,
4106090,0300,86905,RBC AG ROOM TEMP,43.00,,,,
4106105,0302,86906,BLD TYPE RH PHENOTYP CMP,126.00,,,,
4106151,0301,82378,CARCINO-EMBRYONIC AG,128.00,,,,
4106210,0390,86920,COMP TST EA UT SPIN TECH,115.00,,,,
4106211,0390,86921,COMP TST EA UT INCUB TCH,27.00,,,,
4106212,0390,86922,COMP TST EA UT AHG TECH,46.00,,,,
4106264,0300,86927,FFP THAW EA UNIT,83.65,,,,
4106287,0306,87340AY,HBS ANTIGEN,97.00,,,,
4106288,0306,87341,HBS AG NEUTRALIZATION,134.00,,,,
4106289,0302,86704AY,HEP B CORE AB(IGG & IGM),97.00,,,,
4106292,0302,86706AY,HEPATITIS B SURF AB,80.00,,,,
4106294,0302,86705AY,HEPATITIS B CORE AB(IGM),69.00,,,,
4106297,0302,86709,HEPATITIS A AB IGM,75.00,,,,
4106304,0302,86803,HEPATITIS C ANTIBODY,73.00,,,,
4106316,0301,84153,PSA TOTAL,242.00,,,,
4106318,0302,86762,RUBELLA AB,89.00,,,,
4106319,0301,80307,BENZODIAZEPINES QL,49.00,,,,
4106414,0306,87420,RSV ANTIGEN BY EIA,461.00,,,,
4106420,0306,87327,CRYPTOCOCCAL AG,149.00,,,,
4106432,0302,86431,RHEUMATOID FACTOR QUANT,65.00,,,,
4106592,0302,86592,VDRL/RPR QUAL,21.00,,,,
4106593,0302,86593,VDRL/RPR QUAN,43.00,,,,
4106594,0302,86592,VDRL-CSF,36.00,,,,
4106650,0302,86780,TREPONEMAL AB,22.33,,,,
4106703,0300,87806,HIV-1/HIV-2 Ag with HIV Ab,213.00,,,,
4106895,0302,86902,"AG SCRN,RGNT SER,EA UNIT",52.00,,,,
4107018,0306,87186,SUSCEPTIBLITY MIC,106.00,,,,
4107020,0306,87427,SHIGA TOXIN,85.00,,,,
4107022,0306,87070AY,CULTURE SPUTUM,95.00,,,,
4107024,0306,87070AY,CULTURE GENITAL,95.00,,,,
4107033,0306,87070AY,CULTURE RESPIRATORY,95.00,,,,
4107036,0306,87185,BETA LACTAMASE,25.00,,,,
4107039,0306,87081AY,CULTURE BACTERIAL SCRN*,0.00,,,,
4107040,0306,87040AY,CULT BLOOD AERO/ANAERO,106.00,,,,
4107044,0306,87081AY,CULTURE GROUP B STREP,95.00,,,,
4107048,0306,87046,STOOL ADDL PATH EA,29.00,,,,
4107053,0306,87081AY,CULTURE VRE SCREEN*,0.00,,,,
4107054,0306,87081AY,CULTURE KPC SCREEN*,0.00,,,,
4107055,0306,87045,CULTURE STOOL,243.00,,,,
4107065,0306,87070AY,CULTURE BRONC WASH,95.00,,,,
4107067,0306,87070AY,CULTURE EAR,95.00,,,,
4107068,0306,87070AY,CULTURE BIOPSY/SURG SPC,95.00,,,,
4107070,0306,87070AY,CULTURE THROAT,95.00,,,,
4107072,0306,87070AY,CULTURE ENVIORNMTL,95.00,,,,
4107073,0306,87070AY,CULTURE EYE,95.00,,,,
4107074,0306,87070AY,CULTURE FLUID EX CSF,95.00,,,,
4107075,0306,87075AY,CULTURE ANAEROBIC ISOL,86.00,,,,
4107078,0306,87070AY,CULTURE CSF,95.00,,,,
4107085,0306,87070AY,CULTURE CATHETER TIP,95.00,,,,
4107086,0306,87086,CULTURE URINE  COLONY CT,53.00,,,,
4107101,0306,87101,CULTURE FUNGUS SKIN,95.00,,,,
4107102,0306,87102,CULTURE FUNGI OTHER,81.00,,,,
4107103,0306,87103,CULTURE FUNGI BLOOD,95.00,,,,
4107104,0306,87076AY,ANAEROBIC ID CHG #1,243.00,,,,
4107106,0306,87106,YEAST ID CHG,79.00,,,,
4107116,0306,87116,CULTURE AFB,95.00,,,,
4107133,0306,87070AY,CULTURE WOUND/ABCESS,95.00,,,,
4107134,0300,87116,CULTURE BLOOD AFB,95.00,,,,
4107142,0306,87169,EXAM MACRO PARASITE,95.00,,,,
4107144,0306,87172,EXAM PINWORM TP SITE,32.00,,,,
4107160,0306,87081,GC CULTURE,95.00,,,,
4107184,0306,87184,SUSCEPTIBILITY DISK,69.00,,,,
4107198,0306,87181,SUSCEPTIBILITY ETEST,140.00,,,,
4107201,0306,87206,SMEAR AFB,54.00,,,,
4107202,0306,87207,SMEAR MALARIA,73.00,,,,
4107205,0306,87205,GRAM STAIN,25.00,,,,
4107210,0306,87210,WET MOUNT W/SMPL STAIN,42.00,,,,
4107215,0306,87210,INDIA INK PREP,42.00,,,,
4107220,0306,87210,KOH PREP TISSUE,42.00,,,,
4107235,0300,84484,TROPONIN - I,273.00,,,,
4107275,0306,87275,INFLUENZA B VIRUS AG IF,63.00,,,,
4107276,0306,87276,INFLUENZA A DET AG,156.00,,,,
4107400,0306,87400,INFLUENZA A AG,218.00,,,,
4107452,0306,87450,CRYPTOCOCCUS AG TITER,95.00,,,,
4107454,0300,83970,PTH INTACT,168.69,,,,
4107456,0300,82306,VITAMIN D TOTAL,47.43,,,,
4107650,0306,87650,STREP GRP A DIR ANTIGEN,137.00,,,,
4107802,0306,87802,STREP B IA DIR ANITGEN,35.00,,,,
4108707,0306,87077AY,AERO ID CHG,50.00,,,,
4108717,0306,87176,TISSUE GRIND FOR CULTURE,42.15,,,,
4109050,0309,89050,"CELL COUNT,MISC BODY FLD",33.00,,,,
4109051,0309,89051,CELL COUNT MISC W/DIFF,79.00,,,,
4109250,0307,81005,REDUCING SUBSTANCE,53.00,,,,
4109363,0309,89060,CRYST ID BODY FLD EX URN,36.00,,,,
4109636,0302,86905,BLD TYPE RBC DIRECT(RH),52.00,,,,
4109700,0300,87502,INFLUENZA A&B TEST by RNA or DNA,116.73,,,,
4201100,0300,99001,SPEC HANDLING: ALIQUOT *,87.00,,,,
4201105,0300,99001,SPEC HANDLING *,3.00,,,,
4201300,0300,99001,PKU: MAILED,1.00,,,,
4201305,0300,,HEEL STICK IP,3.00,,,,
4201310,0300,,PKU: CAP PUNCTURE O/P,6.00,,,,
4202045,0390,,PROCESS CRYO PRECIPITATE *,13.44,,,,
4206264,0300,86927,FFP THAW EA UNIT,83.65,,,,
4206268,0390,86999,WASHING RBC EA UNIT,121.00,,,,
4206985,0302,86985,SPLITTING BLD PROD EA UT,83.65,,,,
4209010,0300,36415,VENIPUNCTURE,20.00,,,,
4209011,0300,36415,VENIPUNCTURE INPATIENT,20.00,,,,
4209022,0300,,LAB SPECIAL SERVICE *,0.00,,,,
4303521,0310,85060,BLOOD SMEAR INTERP,50.00,,,,
4303522,0310,85097,BONE MARROW INTERP W/O DIFF,250.00,,,,
4305106,0761,38222,BONE MARROW ASPIRATE &  BIOPSY,30.00,,,,
4308104,0310,88104,CYTOPATH WASH/BRUSH/SM,54.00,,,,
4308108,0310,88108,CYTOPTH CONL SM,88.00,,,,
4308112,0310,88112,CYTOPATH CELL,88.00,,,,
4308142,0311,88142,CYTO PRSRV FLD AUTO T,88.00,,,,
4308173,0310,88173,FNA: INTRP/REPRT,189.00,,,,
4308300,0310,88300,GROSS EXAM ONLY,54.00,,,,
4308302,0310,88302,GROSS & MICRO: LVL II,104.00,,,,
4308309,0310,88309,GROSS & MICRO COMPREHNSV,392.00,,,,
