Description,Unit Charge,,,,,,,,
ADHESIVE DERMABOND PRINEO 22CM," $1,082.28 ",,,,,,,,
ADHESIVE DERMABOND PRINEO 60CM," $1,600.44 ",,,,,,,,
ALLODERM RTM THICK 8X16CM," $12,043.25 ",,,,,,,,
ALLOGRAFT CANC BLOCK 5MM," $3,501.23 ",,,,,,,,
ALLOGRAFT CORNERSTONE SR 6X14X," $3,396.50 ",,,,,,,,
ALLOGRAFT CORNERSTONE SR 7MM," $3,501.23 ",,,,,,,,
ALLOGRAFT CORNERSTONE SR 8MM," $3,501.23 ",,,,,,,,
ALLOGRAFT CORNERSTONE SR 9MM," $3,501.23 ",,,,,,,,
ALLOGRAFT MATRISTEM 10X15CM," $2,480.37 ",,,,,,,,
ALLOGRAFT MATRIX MICRO 200MG," $2,239.06 ",,,,,,,,
ALLOGRAFT OPTEFORM 3X20MM 1CC," $1,859.02 ",,,,,,,,
ALLOGRAFT STRIP GRAFTON 1X10CM," $6,714.33 ",,,,,,,,
ALLOGRAFT STRIP GRAFTON 1X20CM," $6,714.33 ",,,,,,,,
ALLOGRAFT TIBIA SHAFT 25CM," $5,915.75 ",,,,,,,,
ALLOGRAFT TRINITY ELITE LG," $14,202.00 ",,,,,,,,
ALLOGRAFT TRINITY ELITE MED," $8,414.61 ",,,,,,,,
ALLOGRAFT TRINITY ELITE SM," $2,433.70 ",,,,,,,,
ALLOGRAFT TRINITY EVOLUTION," $2,095.42 ",,,,,,,,
ALTO CENTERED PARTIAL," $1,604.70 ",,,,,,,,
ALTO CENTERED TOTAL," $1,572.91 ",,,,,,,,
ANCHOR ARMORLINK 10.0MM," $2,872.26 ",,,,,,,,
ANCHOR ARMORLINK 6.0MM," $2,872.26 ",,,,,,,,
ANCHOR ARMORLINK 6.5MM," $2,872.26 ",,,,,,,,
ANCHOR ARMORLINK 7.0MM," $2,872.26 ",,,,,,,,
ANCHOR ARMORLINK 7.5MM," $2,872.26 ",,,,,,,,
ANCHOR ARMORLINK 8.0MM," $2,872.26 ",,,,,,,,
ANCHOR ARMORLINK 8.5MM," $2,872.26 ",,,,,,,,
ANCHOR ARMORLINK 9.0MM," $2,872.26 ",,,,,,,,
ANCHOR BIO SUTR FWIRE 3X14.5MM," $1,663.78 ",,,,,,,,
ANCHOR BIO SUTUR S-TAK," $1,713.58 ",,,,,,,,
ANCHOR CINCHLOCK SS KNTLS 2.4," $2,198.30 ",,,,,,,,
ANCHOR DUAL SUTR SUPER QUICK," $2,566.82 ",,,,,,,,
ANCHOR FASTFIX 360 CVD," $2,130.44 ",,,,,,,,
ANCHOR FEMORAL ORTHOSET," $1,580.78 ",,,,,,,,
ANCHOR FIBERWIRE-1 4.5X14MM," $5,746.43 ",,,,,,,,
ANCHOR FIBERWIRE-2 4.5X14MM," $1,696.98 ",,,,,,,,
ANCHOR GII QUICKANCHOR PLUS," $2,360.98 ",,,,,,,,
ANCHOR HEALICOIL 4.5MM," $1,853.45 ",,,,,,,,
ANCHOR HEALICOIL 4.75MM," $1,827.79 ",,,,,,,,
ANCHOR HEALICOIL 5.5MM," $1,853.45 ",,,,,,,,
ANCHOR JUGGERKNOT DISP 1.5MM," $1,713.58 ",,,,,,,,
ANCHOR JUGGERKNOT KIT 1.0MM," $2,111.98 ",,,,,,,,
ANCHOR JUGGERKNOT KIT 1.4MM," $1,826.46 ",,,,,,,,
ANCHOR JUGGERKNOT NDL SH 1.4MM," $2,015.70 ",,,,,,,,
ANCHOR KNOTLESS BIORAPTOR," $1,914.11 ",,,,,,,,
ANCHOR LOOP W/ORTHOCORD SZ2," $1,730.18 ",,,,,,,,
ANCHOR MINI QUICK SUTR SIZE 0," $2,443.98 ",,,,,,,,
ANCHOR NANOTACK FLEX," $2,042.26 ",,,,,,,,
ANCHOR NEUROSTIMULATOR, $963.42 ,,,,,,,,
ANCHOR PANALOK ABSORBALE 3.5MM," $2,397.50 ",,,,,,,,
ANCHOR PANALOK ETHIBOND 3.5MM," $1,992.46 ",,,,,,,,
ANCHOR PEEK SWIVLOCK 3.5X15.8, $537.42 ,,,,,,,,
ANCHOR PUSH LK SHRT 2.9X12.5MM," $1,979.18 ",,,,,,,,
ANCHOR PUSHLOCK-SHORT 2.9X12MM," $1,912.78 ",,,,,,,,
ANCHOR QFIX ALL SUT 1.8MM," $2,410.78 ",,,,,,,,
ANCHOR QFIX ALL SUT 2.8MM," $2,410.78 ",,,,,,,,
ANCHOR QUICK SUPER 2," $1,916.10 ",,,,,,,,
ANCHOR QUICK SUTR MITEK 1.3MM," $1,567.50 ",,,,,,,,
ANCHOR SOFT JUGGERKNOT 1.4MM," $1,746.78 ",,,,,,,,
ANCHOR SUT BIOSWIVEL," $2,178.38 ",,,,,,,,
ANCHOR SUT BIOSWIVEL 4.75X15," $1,829.78 ",,,,,,,,
ANCHOR SUT BIOSWIVEL4.75X24.5," $2,228.18 ",,,,,,,,
ANCHOR SUT CORKSCREW 3.5X12.1M," $1,219.02 ",,,,,,,,
ANCHOR SUTR BIO DISP KIT 2.4MM," $1,105.42 ",,,,,,,,
ANCHOR SUTR BIO W/FWIRE 2.4MM," $1,647.18 ",,,,,,,,
ANCHOR SUTR BIOCOMP 5.5MM," $1,912.78 ",,,,,,,,
ANCHOR SUTR BIOKNOTLESS SZ 1-0," $1,999.10 ",,,,,,,,
ANCHOR SUTR BIOSWIVEL SP 5.5MM," $2,387.54 ",,,,,,,,
ANCHOR SUTR COBRAID 2.3MM," $1,717.30 ",,,,,,,,
ANCHOR SUTR CORKSCREW FT 4-0," $1,530.98 ",,,,,,,,
ANCHOR SUTR CVD 2.3 BLUE," $1,731.11 ",,,,,,,,
ANCHOR SUTR CVD 2.3MM BLACK," $1,907.20 ",,,,,,,,
ANCHOR SUTR CVD 2.3MM BLUE," $1,907.20 ",,,,,,,,
ANCHOR SUTR DUAL LOOP," $3,115.86 ",,,,,,,,
ANCHOR SUTR FOOTPRINT 4.5MM," $1,724.20 ",,,,,,,,
ANCHOR SUTR GAST COPE 17X12CM, $627.73 ,,,,,,,,
ANCHOR SUTR JUGGERKNOT 1.0MM," $1,919.42 ",,,,,,,,
ANCHOR SUTR JUGGERKNOT 1.5MM," $2,015.70 ",,,,,,,,
ANCHOR SUTR JUGGERKNOT 2.9 MM," $2,092.06 ",,,,,,,,
ANCHOR SUTR MAXIOFACIAL MINI," $4,078.82 ",,,,,,,,
ANCHOR SUTR MICRO CORKSCREW," $5,162.43 ",,,,,,,,
ANCHOR SUTR MICRO QUICK PLUS 0," $2,211.58 ",,,,,,,,
ANCHOR SUTR MICRO QUICK PLUS 3," $2,277.98 ",,,,,,,,
ANCHOR SUTR MICRO QUICK PLUS 4," $2,447.30 ",,,,,,,,
ANCHOR SUTR MICROFIX QAT SZ3-0," $2,088.74 ",,,,,,,,
ANCHOR SUTR MINI BIOCOMPOSITE," $1,663.78 ",,,,,,,,
ANCHOR SUTR MINI CORKSCREW," $5,162.43 ",,,,,,,,
ANCHOR SUTR MINI PLUS 2 0," $1,710.26 ",,,,,,,,
ANCHOR SUTR NANOTACK 1.4MM," $1,876.26 ",,,,,,,,
ANCHOR SUTR OSTEO 2.3MM," $1,717.30 ",,,,,,,,
ANCHOR SUTR OSTEORAPTOR 2.9," $1,717.30 ",,,,,,,,
ANCHOR SUTR PEEK PUSHLOCK," $1,779.98 ",,,,,,,,
ANCHOR SUTR PUSHLOCK 2.9X15.5," $1,912.78 ",,,,,,,,
ANCHOR SUTR PUSHLOCK KIT 2.9MM," $1,105.42 ",,,,,,,,
ANCHOR SUTR QFIX 1.8 MINI," $2,410.78 ",,,,,,,,
ANCHOR SUTR SUP REVO," $2,235.20 ",,,,,,,,
ANCHOR SUTR SUTRTAK 3X14MM," $1,696.98 ",,,,,,,,
ANCHOR SUTR SWIVEL LK 7X19.5MM," $1,929.38 ",,,,,,,,
ANCHOR SUTR SWIVELOCK 3.5," $1,912.78 ",,,,,,,,
ANCHOR SUTR TWIN 2.8," $1,468.70 ",,,,,,,,
ANCHOR SUTR TWIN 3.5," $1,468.70 ",,,,,,,,
ANCHOR SUTR TWIN FIX TI 5.0," $1,173.98 ",,,,,,,,
ANCHOR SUTR TWINFIX," $2,594.32 ",,,,,,,,
ANCHOR SUTR TWINFIX TI 2.8," $1,414.78 ",,,,,,,,
ANCHOR SUTR ULTRABRAID 2.3MM," $1,717.30 ",,,,,,,,
ANCHOR SUTR ULTRABRAID 2.9MM," $1,717.30 ",,,,,,,,
ANCHOR SUTR W/EYELET 4.75MM," $1,912.78 ",,,,,,,,
ANCHOR SUTR W/FIBERTAPE 4.75MM," $2,078.78 ",,,,,,,,
ANCHOR SUTURE BIOCOMP 3X14.5MM," $1,647.18 ",,,,,,,,
ANCHOR SUTURE BIOCOMPOSITE," $1,945.98 ",,,,,,,,
ANCHOR SUTURE GRAVITY 2-0," $2,161.78 ",,,,,,,,
ANCHOR SUTURE MINI BIO-PUSHLCK," $1,779.98 ",,,,,,,,
ANCHOR SUTURE PEEK MINIPUSHLCK," $1,779.98 ",,,,,,,,
ANCHOR SUTUREFIX 1.7MM," $1,711.72 ",,,,,,,,
ANCHOR SUTUREFIX BLUE 2," $1,864.64 ",,,,,,,,
ANCHOR SUTUREFIX COBRAID 2," $1,957.67 ",,,,,,,,
ANCHOR SWIVEL LCK 4.75X24.5MM," $1,979.18 ",,,,,,,,
ANCHOR TAK KNOTLSS PEEK 3X12.7," $1,862.98 ",,,,,,,,
ANCHOR TENODESIS COMP 7X19.5MM," $7,352.43 ",,,,,,,,
ANCHOR ULTRA FOOTPRINT 5.5MM," $1,897.91 ",,,,,,,,
ANCHOR ULTRA PK 4.5MM," $1,897.91 ",,,,,,,,
ANCHOR WEDGE TI 8X25X11," $10,184.80 ",,,,,,,,
ANCHOR Y-KNOT ALL-SUTURE," $2,823.26 ",,,,,,,,
ANCHORQUICK PLUS SUT 4-0," $2,065.50 ",,,,,,,,
ANKLE 1V, $297.50 ,,,,,,,,
ANKLE 2V, $297.50 ,,,,,,,,
ANKLE MIN 3V, $319.50 ,,,,,,,,
APPL DUPLOJECT TISSEEL, $803.48 ,,,,,,,,
APPL FLOSEAL ENDO 2ML, $518.90 ,,,,,,,,
APPLICATOR ARISTA AH FLEXTIP, $475.61 ,,,,,,,,
APPLIER CLIP M-11.5, $806.44 ,,,,,,,,
ARCH EXT FEMORAL 120DEG LG," $8,440.86 ",,,,,,,,
ARCH EXT FEMORAL 90DEG LG," $8,440.86 ",,,,,,,,
ARCH EXT FEMORAL 90DEG SM," $3,841.70 ",,,,,,,,
ARM ACTIVATION FLEX 30MM," $2,279.37 ",,,,,,,,
ARM ACTIVATION FLEX 40MM," $2,472.66 ",,,,,,,,
ARTERY FEMORAL 20-30CM," $1,853.24 ",,,,,,,,
ARTERY FEMORAL LESS THAN 19CM," $1,853.24 ",,,,,,,,
ARTERY FEMORAL MORE THAN 30CM," $1,853.24 ",,,,,,,,
ARTERY HEMI HEART LT 22MM," $13,718.38 ",,,,,,,,
ARTERY HEMI HEART LT 28MM," $13,718.38 ",,,,,,,,
ARTERY PULMONARY RT LIFE NET," $14,103.77 ",,,,,,,,
ARTERY RT HEMI PULM 32MM," $12,647.52 ",,,,,,,,
ASPIRATOR BONE MARROW 3 HOLE," $63,744.79 ",,,,,,,,
ASSEMBLY EYEBOLT/LOCKNUT 1/4," $8,126.23 ",,,,,,,,
ASSEMBLY OPTIROM CENTRAL COMP," $13,855.27 ",,,,,,,,
ASSEMBLY SMALL ARC," $13,134.03 ",,,,,,,,
ASSY RAIL ARC SM," $4,242.63 ",,,,,,,,
ASSY RAIL CLAMP UPPR 3HL SM," $6,067.63 ",,,,,,,,
ASSY RAIL KNEE HINGE SM," $5,293.83 ",,,,,,,,
ASSY RAIL UPPER 3HL CLAMP," $6,272.03 ",,,,,,,,
AWL HOLE PUNCH TAPER DISP 3.8, $578.18 ,,,,,,,,
AXLE FEM COCR OSS," $2,669.74 ",,,,,,,,
AXLE INSERT DISTAL FEMORAL SM," $3,923.74 ",,,,,,,,
AXLE MRH KNEE ALL SIZE," $3,921.58 ",,,,,,,,
BAG COLLECTION BONE MARROW SYS," $2,931.59 ",,,,,,,,
BAG DRAIN URINEMETER 200ML, $118.62 ,,,,,,,,
BAG LAP SPECIMEN 5MM 60 ML," $1,121.22 ",,,,,,,,
BAG LAP SPECIMEN 5MM 80 ML," $1,070.12 ",,,,,,,,
BAG OSTOMY 1 PIECE UP TO 2-1/2, $24.79 ,,,,,,,,
BAG PLUG SIZE BLUE 9MM," $4,704.72 ",,,,,,,,
BAG PLUG SIZE PURPLE 11MM," $4,704.72 ",,,,,,,,
BAG SILO  SILICONE 6.0CM," $2,575.32 ",,,,,,,,
BAG SILO SILICONE 3.0CM," $2,575.32 ",,,,,,,,
BAG SILO SILICONE 5.0CM," $2,575.32 ",,,,,,,,
BAHA 3 POWER BP 110 SOFT BLK," $9,833.45 ",,,,,,,,
BAHA 3 POWER BP110 CHAMP BLOND," $9,584.53 ",,,,,,,,
BAHA 3 POWER BP110 CHESTNUT BR," $9,833.45 ",,,,,,,,
BAHA 3 POWER BP110 GLACIER WHI," $9,833.45 ",,,,,,,,
BAHA 3 POWER BP110 PIANO BLK," $9,833.45 ",,,,,,,,
BAHA 3 POWER BP110 SLATE GREY," $9,833.45 ",,,,,,,,
BAHA 4MM W/ABUT BIA300 9MM," $8,402.16 ",,,,,,,,
BALL FEM HEAD COCR -3.5X32MM," $2,950.28 ",,,,,,,,
BALL FLUTED 6MM, $988.36 ,,,,,,,,
BALL PIN FIXATION WHT 5/64IN, $239.25 ,,,,,,,,
BALL RIGIFLEX ACHALASIA 30MM," $7,071.63 ",,,,,,,,
BALL RIGIFLEX ACHALASIA 35MM," $6,752.22 ",,,,,,,,
BALL RIGIFLEX ACHALASIA 40MM," $6,875.07 ",,,,,,,,
BALLOON FGS 51-60 CM," $35,608.54 ",,,,,,,,
BALLOON FGS 71-80 CM," $18,084.46 ",,,,,,,,
BALLOON LACRIMAL DUCT 2MM," $4,991.37 ",,,,,,,,
BALLOON LUTONIX DRUG 12 X 40MM," $14,021.86 ",,,,,,,,
BALLOON MAX RELIEVA 5X16MM," $12,512.11 ",,,,,,,,
BALLOON PENILE IMP FGS 51-60CM," $13,022.68 ",,,,,,,,
BALLOON PENILE IMP FGS 61-70CM," $6,333.33 ",,,,,,,,
BALLOON PENILE IMP FGS 71-80CM," $13,022.68 ",,,,,,,,
BALLOON PULMONARY BF-UC160F," $5,054.43 ",,,,,,,,
BALLOON RELIEVA ULTIRRA 7X16MM," $7,006.11 ",,,,,,,,
BALLOON SPINPLUS RELIEVA 5X16," $14,021.86 ",,,,,,,,
BALLOON SYMMETRY 3X2X90," $3,058.53 ",,,,,,,,
BAND  SCLERAL BUCKLE SIL 2.0MM, $98.54 ,,,,,,,,
BAND DOMINO CLSD CONN 4.75MM," $6,336.27 ",,,,,,,,
BAND DUAL LIGAPASS 2.0MM," $5,346.39 ",,,,,,,,
BAND FIX SPINAL 4MM, $359.78 ,,,,,,,,
BAND ID KIT SPATIAL FRAME," $1,367.57 ",,,,,,,,
BAND LAP GASTRIC ADJ 10CM," $8,987.63 ",,,,,,,,
BAND LAP GASTRIC ADJ 11CM," $8,987.63 ",,,,,,,,
BAND LAP GASTRIC ADJ 9.5CM," $8,987.63 ",,,,,,,,
BAND LIGATOR MULTI 6 SHOOTER," $2,698.17 ",,,,,,,,
BAND LIGATOR SAEED MULTI 9.5X1," $2,370.57 ",,,,,,,,
BAND MAINTAINER L MAND SZ 31, $95.71 ,,,,,,,,
BAND OP WED DOMINO 4.75/5.5," $6,841.43 ",,,,,,,,
BAND PARALLEL TI 3.5X3.5MM," $7,731.74 ",,,,,,,,
BAND PARALLEL TI 3.5X5.5MM," $7,731.74 ",,,,,,,,
BAND PARALLEL TI 3.5X6.35MM," $7,731.74 ",,,,,,,,
BAND PARALLEL TI 4.75X5.5MM," $7,731.74 ",,,,,,,,
BAND PARALLEL TI 4.75X6.35MM," $7,731.74 ",,,,,,,,
BAND PARALLEL TI 5.5X5.5MM," $7,732.03 ",,,,,,,,
BAND PARALLEL TI 5.5X6.0MM," $7,731.74 ",,,,,,,,
BAND PARALLEL TI 5.5X6.35MM," $7,731.74 ",,,,,,,,
BAND PARALLEL TI 6.0X6.35MM," $7,731.74 ",,,,,,,,
BAND PARALLEL TI 6.35X6.35MM," $7,731.74 ",,,,,,,,
BAND PRY LOWER MOLAR SZ 33, $26.05 ,,,,,,,,
BAND PRY LOWER MOLAR SZ 34, $32.64 ,,,,,,,,
BAND SILICONE CIRCLING 2.5MM, $50.79 ,,,,,,,,
BAND SOFT BILATERAL BEIGE, $488.11 ,,,,,,,,
BAND SOFT BLACK, $379.21 ,,,,,,,,
BAND SUB LIGAPASS FOR 4.5 ROD," $2,337.74 ",,,,,,,,
BAND SUBLAMINAR LIGAPASS," $3,054.86 ",,,,,,,,
BANDAGE CHIN NECK LG, $443.63 ,,,,,,,,
BANDAGE CHIN NECK MED, $482.00 ,,,,,,,,
BAR 3.5MM TRANSCONN TI 120MM," $1,291.41 ",,,,,,,,
BAR 3.5MM TRANSCONN TI 80MM, $969.95 ,,,,,,,,
BAR 6.0 TRANSVERSE TI 15MM," $1,139.27 ",,,,,,,,
BAR 6.0 TRANSVERSE TI 20MM," $1,139.27 ",,,,,,,,
BAR 6.0 TRANSVERSE TI 25MM," $1,139.27 ",,,,,,,,
BAR 6.0 TRANSVERSE TI 30MM," $1,139.27 ",,,,,,,,
BAR ARCH ERICH 13CM, $900.94 ,,,,,,,,
BAR ARCH HYBRID," $1,696.98 ",,,,,,,,
BAR CARB FIBER 10.5X400MM," $1,393.40 ",,,,,,,,
BAR CARBON FIBER 500MM," $1,405.72 ",,,,,,,,
BAR CARBON FIBER JETX 10.5X350," $1,318.47 ",,,,,,,,
BAR CARBON FIBER U," $2,636.54 ",,,,,,,,
BAR COBALT CHROME 10.5X150MM," $1,266.81 ",,,,,,,,
BAR HEX COMPOSITE 203MM," $3,194.07 ",,,,,,,,
BAR HEX FIX ALUM LNG 508MM," $3,284.50 ",,,,,,,,
BAR JETX 6X185MM, $914.63 ,,,,,,,,
BAR JETX 6X75MM, $646.25 ,,,,,,,,
BAR PECTUS SUPPORT SIZE 10," $4,733.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 11," $4,733.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 12," $4,733.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 13," $4,733.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 14," $4,733.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 15," $4,733.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 16," $4,733.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 17," $4,733.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 7," $4,660.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 8," $4,733.19 ",,,,,,,,
BAR PECTUS SUPPORT SIZE 9," $4,733.19 ",,,,,,,,
BAR STABILIZE PECTUS TRIANGLE," $1,746.78 ",,,,,,,,
BAR STANDARD JETX 10.5X300MM," $1,318.47 ",,,,,,,,
BAR THREADED 115MM, $545.94 ,,,,,,,,
BAR THREADED 85MM, $545.94 ,,,,,,,,
BAR TI TRANSV CLD 30MM," $2,438.37 ",,,,,,,,
BAR TI TRANSV OPEN 30MM," $2,438.37 ",,,,,,,,
BAR TRANS TI 6X20MM," $1,366.51 ",,,,,,,,
BAR TRANS TI 6X25MM," $1,366.51 ",,,,,,,,
BAR TRANSV CLS TI 15MM," $2,438.37 ",,,,,,,,
BAR TRANSV CLS TI 20MM," $2,438.37 ",,,,,,,,
BAR TRANSV CLS TI 25MM," $2,438.37 ",,,,,,,,
BAR TRANSV OPEN TI 15MM," $2,438.37 ",,,,,,,,
BAR TRANSV OPEN TI 20MM," $2,438.37 ",,,,,,,,
BAR TRANSV OPEN TI 25MM," $2,438.37 ",,,,,,,,
BAR TRANSVERSE 20MM," $2,376.95 ",,,,,,,,
BAR TRANSVERSE 25MM," $2,376.95 ",,,,,,,,
BAR TRANSVERSE 30MM," $2,376.95 ",,,,,,,,
BAR TRANSVERSE 5.0X15," $1,318.70 ",,,,,,,,
BAR TRANSVERSE 5.0X20," $1,318.70 ",,,,,,,,
BAR TRANSVERSE 6X15MM," $1,366.51 ",,,,,,,,
BAR TRANSVERSE 6X20MM," $1,366.51 ",,,,,,,,
BAR TRANSVERSE 6X25MM," $1,366.51 ",,,,,,,,
BARRIER ADH SEPRAFILM 3X5IN," $2,575.32 ",,,,,,,,
BARRIER ADH SEPRAFILM 5X6IN," $2,992.35 ",,,,,,,,
BARRIER ADHESION INTERCEED 3X4," $3,127.00 ",,,,,,,,
BARRIER BIORESORABLE ADHESION," $5,318.97 ",,,,,,,,
BARRIER SKIN OST W/COLLAR MED, $22.12 ,,,,,,,,
BARRIER SKIN STOMAHESIVE 4X4IN, $19.61 ,,,,,,,,
BASE TIB NONMODULAR OSS 63MM," $16,202.95 ",,,,,,,,
BASEPLATE MRH KNEE TIBIAL SM," $9,611.28 ",,,,,,,,
BASEPLATE TIBIAL KNEE MRH," $9,611.28 ",,,,,,,,
BASKET OPTIFLEX NITIN 1.3X90CM," $3,532.73 ",,,,,,,,
BASKET RETR ATLAS 1.7FRX115CM," $1,866.46 ",,,,,,,,
BASKET RETR ATLAS 3.2FRX115CM," $1,938.00 ",,,,,,,,
BASKET RETR NITINOL 2.4X120," $3,240.43 ",,,,,,,,
BASKET RETR NITINOL 2.4X90," $3,240.43 ",,,,,,,,
BASKET RETR SEGURA 3X120X16," $3,048.29 ",,,,,,,,
BASKET RETRIEVAL SS 1.8X240CM, $705.06 ,,,,,,,,
BASKET RETRIVAL 2.4," $2,397.19 ",,,,,,,,
BASKET RETV NGAGE 2.2FRX115CM," $2,297.92 ",,,,,,,,
BASKET STONE EXTRACT 4WR 0.4MM," $2,870.16 ",,,,,,,,
BASKET STONE EXTRACT 4WR 0.6MM," $2,902.92 ",,,,,,,,
BATTERIES 60/PK 13, $15.69 ,,,,,,,,
BATTERY DRIVER IQ," $1,172.32 ",,,,,,,,
BATTERY POWER DRIVER 1.5MM," $1,121.22 ",,,,,,,,
BEAD CHEMO IMMBILIZATION 3-5," $12,072.91 ",,,,,,,,
BEAD CHEMO IMMBILIZATION 5-7," $12,072.91 ",,,,,,,,
BEARING TIB CROSOVER MRH XS-XL," $9,357.36 ",,,,,,,,
BEARING TIB INSERT OSS 20MM," $6,152.31 ",,,,,,,,
BEARING TIBIAL LS SZ 12MM RED," $5,877.83 ",,,,,,,,
BEARING TIBIAL OSS 12MM," $6,152.31 ",,,,,,,,
BELL PLASTIC 1.1 CM, $56.80 ,,,,,,,,
BELL PLASTIC 1.2 CM, $56.80 ,,,,,,,,
BELL PLASTIC 1.3 CM, $55.70 ,,,,,,,,
BELL PLASTIC 1.4CM, $56.80 ,,,,,,,,
BELL PLASTIC 1.5 CM, $56.80 ,,,,,,,,
BELL PLASTIC 1.7 CM, $55.70 ,,,,,,,,
BEVEL SHORT 35 2.3MM 35DEG ANG," $1,989.92 ",,,,,,,,
BICUSPID FRONT RT 1, $495.30 ,,,,,,,,
BICUSPID LOWER RT, $524.08 ,,,,,,,,
BICUSPID LOWER RT3, $518.45 ,,,,,,,,
BICUSPID UPPER RT3, $537.89 ,,,,,,,,
BIO-CARTILAGE 1CC," $3,341.59 ",,,,,,,,
BIOSTINGER 16MM PRELOADED," $1,499.36 ",,,,,,,,
BIT DARTFIRE TI PURP BL 2.0MM," $2,984.82 ",,,,,,,,
BIT DARTFIRE TI YLLW 2.2MM," $2,984.82 ",,,,,,,,
BIT DRILL .7 J-LATCH 8MM STOP," $1,921.45 ",,,,,,,,
BIT DRILL 0.76 10MM/44.5MM QC," $2,118.39 ",,,,,,,,
BIT DRILL 0.76 8MM/44.5MM QC," $2,062.58 ",,,,,,,,
BIT DRILL 0.7X48. 6MM 6007106," $1,388.58 ",,,,,,,,
BIT DRILL 0.8X46 4MM 6008104," $1,115.19 ",,,,,,,,
BIT DRILL 0.8X48 6MM 6008106," $1,115.19 ",,,,,,,,
BIT DRILL 1.0 J-LATCH 8MM STOP," $1,921.45 ",,,,,,,,
BIT DRILL 1.0 X 4MM," $1,316.63 ",,,,,,,,
BIT DRILL 1.0 X 70MM, $406.78 ,,,,,,,,
BIT DRILL 1.0X6MM," $1,921.45 ",,,,,,,,
BIT DRILL 1.1MM, $866.54 ,,,,,,,,
BIT DRILL 1.1MM W/STOP 7MM," $1,622.00 ",,,,,,,,
BIT DRILL 1.2MM DIAM. 10MM, $829.03 ,,,,,,,,
