Hospital Service Code,Service Description,Hospital Charge
06000194,CATH EXTERNAL MALE ME,16.00
06000202,IV ADMIN SET ADULT NO,37.00
06000210,IV ADMIN SET PEDI NON,21.00
06000228,IV BLOOD PUMP LUERLOC,36.00
06000236,IV SET SECONDARY W/NE,15.00
06000244,IV EXT SET 3-WAY STOP,19.00
06000251,KIT CATH TRIPLE LUMEN,638.00
06000269,KIT CENTRAL VEIN CATH,326.00
06000277,KIT FEMALE CATHETER S,42.00
06000285,KIT THORACENTESIS,398.00
06000293,LINER RECEPTAL 1500CC,16.00
06000319,STRAINER CALCULI,36.00
06000327,NDL SPINAL STER 18GAX,36.00
06000335,"NDL SPINAL 20GAX31/2""",36.00
06000343,NDL SPINAL STER 22GAX,36.00
06000350,PIN ACCESS,36.00
06000376,SENSOR OXISENSOR NASA,177.00
06000384,SENSOR OXISENSOR DIGI,63.00
06000392,SENSOR OXISENSOR DIGI,147.00
06000400,CATH IV SAF-T-INTIMA,59.00
06000418,CATH IV SAF-T-INTIMA,59.00
06000426,CATH IV SAF-T-INTIMA,59.00
06000434,CATH IV SAF-T-INTIMA,59.00
06000442,SYRINGE CATHETER TIP,14.00
06000459,TRAY CATH WITHOUT CAT,19.00
06000467,TRAY IRRIGATION WITH,16.00
06000475,TRAY LUMBAR PUNCTURE,60.00
06000483,TUBE CONNECT SUCTION,13.00
06000491,TUBE NG SALEM SUMP 18,15.00
06000509,TUBE EXTENSION W/LL A,19.00
06000517,YANKAUER SURGICAL SUC,13.00
06000525,CANNULA NASAL W/ELAST,35.00
06000533,MASK OXYGEN NONREBREA,35.00
06000541,METER PEAK FLOW DISPO,126.00
06000558,NEBULIZER MICRO TREAT,15.00
06000582,CATH IV PROTECTIVE 16,42.00
06000608,BAG URINE COLLECTOR P,38.00
06000616,"BANDAGE STRETCH 6""X10",63.00
06000624,CATH IV PROTECTIVE 24,17.00
06000632,CATHWORD BARTHOLIN GL,183.00
06000640,DRSG XEROFORM GAUZE S,14.00
06000665,IV ADMIN SET BURETROL,42.00
06000673,KIT WOUND IRRIGATION,35.00
06000699,NUGAUZE IODO STER 1/2,60.00
06000707,"NUGAUZE IODO STER 1""X",65.00
06000715,NUGAUZE PLAIN STER 1/,19.00
06000723,"NUGAUZE PLAIN STER 1""",21.00
06000731,"SKIN CLOSURE 1/8""X3""",35.00
06000749,"SKIN CLOSURE 1/4""X4""",15.00
06000756,"SKIN CLOSURE 1/2""X4""",16.00
06000764,TRAY INCISION AND DRA,22.00
06000772,TRAY SUTURE FOR EMERG,163.00
06000780,TRAY SUTURE REMOVAL S,16.00
06000798,INST FORCEP RING,36.00
06000806,INST TENACULUM SINGLE,589.00
06000814,"SU VICRYL 6-0 P1 18""",65.00
06000822,SU 2-0 VICRYL CT-1 27,38.00
06000830,"SU VICRYL 5-0 P-3 18""",65.00
06000848,"SU VICRYL 4-0 P-3 18""",60.00
06000855,SU VICRYL 3-0 PS-2 18,60.00
06000863,SU 6-0 GREEN ETHILON,60.00
06000871,SU 5-0 GREEN ETHILON,30.00
06000889,SU 4-0 GREEN ETHILON,29.00
06000897,"SU NYLON 3-0 PS-1 18""",60.00
06000905,"SU NYLON 2-0 FS 18""",38.00
06000913,BANDAGE GZ ELASTIC ST,14.00
06000921,DRSZ IV TRANSPAR STER,14.00
06000947,"NUGAUZE PLAIN STER 2""",72.00
06000954,COLLAR STIFNECK ADULT,146.00
06000962,COLLAR STIFNECK ADULT,146.00
06000970,COLLAR STIFNECK ADULT,146.00
06000988,STAPLER SKIN DISP PRE,141.00
06000996,SU SKIN STAPLE REMOVE,38.00
06001002,SU CHROMIC 4-0 RB-1 2,38.00
06001010,SU CHROMIC 5-0 PS-3 1,65.00
06001028,SU PROLENE 4-0 PS-2 1,66.00
06001036,SU PROLENE 3-0 PS-1 1,66.00
06001044,COLLAR CERVICAL SMALL,94.00
06001051,COLLAR CERVICAL MEDIU,66.00
06001069,COLLAR CERVICAL LARGE,66.00
06001077,IMMOBILIZER SHOULDER,72.00
06001085,IMMOBILIZER SHOULDER,72.00
06001093,IMMOBILIZER SHOULDER,72.00
06001101,SHOE CAST SMALL BOOT,96.00
06001119,SHOE CAST MED BOOT,96.00
06001127,SHOE CAST LARGE BOOT,96.00
06001135,SHOE POST-OP MEN SM 3,126.00
06001143,SHOE POST-OP MEN MEDI,134.00
06001150,SHOE POST-OP MEN LARG,126.00
06001168,SHOE POSTOP WOMAN SM,134.00
06001176,SHOE POST-OP WOMEN ME,104.00
06001184,SHOE POST-OP WOMEN LA,126.00
06001192,SLING ARM ECONOMY SMA,60.00
06001200,SLING ARM MEDIUM,49.00
06001218,SLING ARM LARGE,49.00
06001226,SPLINT UNIVERSAL ANKL,195.00
06001234,STRAP CLAVICAL X-SM,123.00
06001242,STRAP CLAVICAL SMALL,123.00
06001259,STRAP CLAVICAL MED 26,123.00
06001267,STRAP CLAVICAL LARGE,123.00
06001275,STRAP CLAVICAL X-LARG,123.00
06001283,SOL SOD CHL .9% 250ML,14.00
06001291,ADAPTER TEMP PROBE TH,163.00
06001309,ADAPTER VACUTAINER ST,14.00
06001333,BAG FECAL INCONTINENC,86.00
06001341,SYSTEM DRAINAGE PSM B,1368.00
06001358,BAG REPLACEMENT PSM B,220.00
06001374,BAG URINE COLLECTOR P,60.00
06001382,BAG URINE DRAINAGE UR,47.00
06001390,BAG WOUND DRAIN FOR 3,166.00
06001408,BANDAGE ELASTOPLAST 3,65.00
06001416,BANDAGE ADHESIVE STER,13.00
06001424,BANDAGE GZ ELASTIC ST,14.00
06001432,BASIN WASH DISPO. 8QT,35.00
06001457,BASIN EMESIS DISPOSAB,32.00
06001465,BRUSH SPONGE IODOPHOR,32.00
06001507,CATH FOLEY 8FR 3CC,57.00
06001515,CATH FOLEY STER 10FR,109.00
06001523,CATH FOLEY STERILE 12,57.00
06001531,CATH SECURE FASTNER R,16.00
06001549,CATH FOLEY STER 30FR,36.00
06001556,CATH IV 'INSITE' 24 G,23.00
06001572,CATH INTRAVENOUS 20GA,16.00
06001580,CATH NON-BAL DUAL LUM,1963.00
06001598,CATH PARACHYMAL OR,710.00
06001606,CATH VENTRIC DRAIN EX,1568.00
06001614,KIT CRANIAL ACCESS,2192.00
06001622,CATH PLUG,14.00
06001630,CATH SUCT W/GLV STER,23.00
06001648,CATH SUCT W/GLV STER,14.00
06001655,CATH SUCTION 61/2F ST,35.00
06001663,CATH PULMONARY ARTERY,1857.00
06001671,CATH THORACIC ST 12FR,516.00
06001689,CATH THORACIC ST 16FR,87.00
06001697,CATH THORACIC STRAIGH,87.00
06001705,CATH THORACIC STRAIGH,87.00
06001713,CATH THORACIC STRAIGH,87.00
06001721,CATH THORACIC STRAIGH,87.00
06001739,"CATH TRACH CARE ""HIGH",85.00
06001747,CHEST DRAIN SINGLE CO,140.00
06001754,CLAMP CATHETER,65.00
06001770,COMB LIFT,38.00
06001788,COMPOUND BENZOIN TINC,14.00
06001796,CONNECTOR FEMALE LUER,15.00
06001804,CONNECTOR 5-IN-1 STER,35.00
06001812,CONNECTOR SIMS TIP ST,32.00
06001820,"CONNECTOR SMALL ""Y"" 1",35.00
06001838,"CONNECTOR ""Y"" LARGE",38.00
06001853,CUP MEDICINE PLASTIC,35.00
06001861,CUP MEDICINE SOUFFLE,42.00
06001879,DRAIN PENROSE NON-STE,38.00
06001887,"DRAPE EYE STERILE 2""X",59.00
06001895,DRSG ABD NON-STERILE,32.00
06001903,"DRSG ABD STERILE 5""X9",14.00
06001911,"DRSG ABD STERILE 8""X1",14.00
06001929,DRSG ALLGAUZE UNSTER,59.00
06001937,DRSG EYEPAD STER 15/8,32.00
06001945,FINE MESH GAUZE 1/PK,35.00
06001952,DRSG GAUZE AQUAPHOR 8,16.00
06001960,DRSG DUODERM EXTRA TH,17.00
06001978,"DRSG HYDROACTIVE 6""X6",109.00
06001986,DRSZ OP-SITE 10.2CMX1,14.00
06001994,DRSG PETROLEUM VASELI,35.00
06002000,DRSG NON-ADHR COTTON,14.00
06002018,DRSG SUPER SPONGE,15.00
06002026,DRSG TRACHEOSTOMY OR,14.00
06002034,ECG CREME,42.00
06002042,ELECTRODE PACING/DEFI,260.00
06002059,CASSETTE B,1140.00
06002067,ELECTRODE NEONATE 1/2,25.00
06002075,ELECTRODE ECG MONITOR,35.00
06002083,ENEMA BAG FLIP TOP,38.00
06002091,CATH EXT MALE PEDI/GE,17.00
06002125,"GUIDEWIRE CURVE ""J"" .",194.00
06002141,INTRODUCER SJO2 PEDIA,275.00
06002158,IV SET ADULT TPN INLI,45.00
06002166,IV ADMIN SET ADULT VE,22.00
06002174,IV SET EPIDURAL INFUS,22.00
06002182,IV SET Y TYPE BLOOD W,39.00
06002190,IV TUBING SET FOR PCA,32.00
06002208,DEVICE IV FLO RATE 5-,128.00
06002224,KIT PEDI DOUBLE LUMEN,358.00
06002232,KIT TRANS ARTERY LINE,162.00
06002265,KIT PERCUTANEOUS CATH,426.00
06002273,KIT TRANS ARTERIAL LI,96.00
06002281,KIT TRANSDUCER MONITO,270.00
06002299,KIT TRANSDUCER MONITO,113.00
06002307,KIT GASTRIC LAVAGE,215.00
06002315,KIT HYPERALIMENTATION,72.00
06002323,KIT IV START,38.00
06002349,LABEL I.V. LARGE 23/4,32.00
06002356,LIMB HOLDER INFANT,71.00
06002364,LINER RECEPTAL 3000CC,59.00
06002372,LINER WATER PITCHER,32.00
06002406,MASK TB,35.00
06002414,MASK FLUID SHIELD WRA,35.00
06002422,MASK DUST AND MIST RE,35.00
06002455,NASAL PACK POSTERIOR,146.00
06002463,"NDL HYPO 23GX1""",32.00
06002471,"NDL HYPO 18GX11/2""",13.00
06002489,"NDL HYPO 20GX11/2""",14.00
06002497,"NDL HYPO 22GAX11/2""",14.00
06002505,"NDL HYPO 25GAX5/8""",14.00
06002513,"IV SET WING 21GAX12""",35.00
06002521,SPECULA VAG DLX DISPO,36.00
06002539,SPECULA VAG DLX DISPO,38.00
06002547,"IV SET WING 25GAX12""",35.00
06002554,"IV SET WING 27X12""",35.00
06002562,NUGAUZE IODO STER 1/4,59.00
06002570,NUGAUZE PLAIN STER 1/,19.00
06002588,"PAD ANTI-DECUBITUS 4""",36.00
06002596,MATTRESS INFANT PORTA,245.00
06002604,PAD BURN #2,29.00
06002620,PAD DISPOSABLE CHUX 2,35.00
06002638,PIN NON-VENTED ACCESS,19.00
06002646,PLUG MALE LUERLOCK,35.00
06002653,PROBE ESOPHAGEAL RECT,30.00
06002661,PROBE PULSE OXIMETER,66.00
06002729,SCALPEL DISP #10,35.00
06002737,SCALPEL DISP #11,35.00
06002745,SCALPEL DISP #15,35.00
06002752,"SCOPETTE SENIOR 16""",32.00
06002760,SENSOR CLIP TIP W/CAB,1613.00
06002778,SET EXT T-PORT,53.00
06002786,SET LIPID W/2 1-WAY V,72.00
06002794,"SET IV FLUID WARMER """,166.00
06002810,SHIELD EYE,15.00
06002851,SPECULA EAR DIAGNOSTI,35.00
06002869,SPECULUM VAGINAL SMAL,35.00
06002877,SPECULUM VAGINAL KLEE,36.00
06002885,SPECULUM VAGINAL DISP,35.00
06002893,STOCKING ANTIEM THIGH,141.00
06002901,STOPCOCK 4WY W/MALE L,13.00
06002919,"STRAP MONTGOMERY 1""",36.00
06002927,STRAP MONTGOMERY ADHE,53.00
06002935,STRAW DRINKING,57.00
06002950,SWAB ALCOHOL PREP PAD,42.00
06002968,SWAB IODINE PREP PAD,53.00
06002984,"SWAB N/P ""CALGISWAB""",32.00
06003008,SYRINGE LUERLOCK 3CC,14.00
06003016,SYRINGE LUERLOCK 5CC,13.00
06003024,SYRINGE LUERLOCK 10CC,13.00
06003032,SYRINGE LUERLOCK 60CC,13.00
06003040,SYRINGE NDL SAFE 3CC,14.00
06003057,SYRINGE LUERLOCK 20CC,14.00
06003065,SYRINGE LUERLOCK 30CC,14.00
06003073,SYRINGE 10CC SAFE LL,14.00
06003081,SYRINGE INSULIN 1CC 2,32.00
06003099,SYRINGE LL TB SAFE 27,13.00
06003107,SYRINGE INS.1CC 29GX1,14.00
06003115,SYRINGE TB 1CC 27GAX1,237.00
06003131,"TAPE ADHESIVE 1""",14.00
06003149,"TAPE ADHESIVE 2""",14.00
06003172,"TAPE PAPER 1/2""X10YD",32.00
06003180,"TAPE PAPER 1""X10 YDS",14.00
06003198,"TAPE PAPER 2""X10 YDS",14.00
06003206,"TAPE PLASTIC 1/2""X10",35.00
06003214,"TAPE PLASTIC 1""X10 YD",13.00
06003222,"TAPE PLASTIC 2""X10 YD",14.00
06003230,THERMOMETER PROBE COV,66.00
06003248,THERMOMETER PROBE COV,424.00
06003297,TRAY CONTINUOUS EPIDU,282.00
06003305,TRAY LUMBAR PUNCTURE,160.00
06003313,TRAY PERICARDIALCENTE,856.00
06003321,TRAY WOUND CLOSURE ST,42.00
06003339,TUBE CONNECT SUCTION,14.00
06003347,TUBE ENTERAL FEEDING,214.00
06003354,TUBE ENEMA HARRIS K45,42.00
06003362,TUBE N.G. MINNESOTA A,4665.00
06003370,TUBE ET HILO CUFF 5MM,42.00
06003388,TUBE ET HILO CUFFED 6,42.00
06003396,TUBE ET HILO CUFF 7MM,42.00
06003404,TUBE ET HILO CUFF 8MM,42.00
06003412,TUBE ET HILO MURPHY C,42.00
06003420,TUBE EXTEND STOPCOCK,38.00
06003438,"TUBE FEEDING 8FRX42""",35.00
06003446,TUBE FEED SILK BULLET,15.00
06003453,TUBE SILK FEEDING 8FR,96.00
06003461,TUBE NASO GASTRIC SUM,78.00
06003479,TUBE N.G.SALEM SUMP 1,42.00
06003487,TUBE TRACH INNER CANN,65.00
06003495,TUBE TRACH INNER CANN,65.00
06003503,TUBING ADAPTER INTRAM,36.00
06003511,TUBING ARTERIAL PRESS,15.00
06003529,TUBING ARTERIAL PRESS,15.00
06003545,VALVE KEITH ANTI-REFL,86.00
06003552,VALVE SAFSITE RV1000,15.00
06003578,PROTECTOR NDL PRO 22X,35.00
06003586,PROTECTOR NDL PRO 23G,32.00
06003594,PROTECTOR NDL PRO 25G,32.00
06003602,BAG LAB GUARD 3WALL B,32.00
06003628,TRAY CUTDOWN,1410.00
06003636,TRAY CHEST TUBE INS,764.00
06003644,BLADE MYRINGOTOMY,178.00
06003651,PACK VASELINE GAUZE 1,35.00
06003669,SPONGE GZ 4X4 12 PLY,14.00
06003677,SU SKIN 35 REGULAR,146.00
06003685,SU SKIN STAPLE REMOVE,49.00
06003693,SU CHROMIC 3-0 PS-2 2,65.00
06003701,"SU SILK 4-0 PS-2 18""",59.00
06003719,"SU SILK 3-0 X-1 18""",38.00
06003727,"SU SILK 0 CT1 30""",36.00
06003743,AIRWAY ORAL NON-S 5CM,35.00
06003750,AIRWAY ORAL NON-S 6 C,35.00
06003768,AIRWAY ORAL NON-S 7CM,35.00
06003776,AIRWAY ORAL NON-S 8CM,35.00
06003792,AIRWAY ORAL NON-S 10C,35.00
06003818,SET RADIAL ARTERY CAT,69.00
06003826,SET CATHETER FEMORAL,239.00
06003834,SWIVEL W/FIBEROPTIC C,86.00
06003842,VENT HUMID 2 PORT,16.00
06003859,ADAPTER 15MM IDX22MM,14.00
06003867,MASK NASAL MEDIUM R.C,166.00
06003883,MASK NASAL SMALL R.C.,166.00
06003891,PORT EXHALATION,42.00
06003909,"ADAPTER AEROSOL ""T""",35.00
06003917,THERMISTOR ADULT BREA,103.00
06003925,ADAPTER AIRWAY CAPNOG,147.00
06003933,ADAPTER AIRWAY SAMP M,35.00
06003941,MASK MEDIUM SMALL R.C,166.00
06003958,ADAPTER AIRWAY MAINST,178.00
06003966,ADAPTER ENDOTRACH TUB,36.00
06003974,HEADSTRAP DISPOSABLE,86.00
06003982,SENSOR FLOW SPIROLOG,292.00
06003990,ADAPTER PRESSURE LINE,35.00
06004006,MASK AEROSOL PEDI,35.00
06004014,ADAPTER TEMP SENSING,35.00
06004022,ADAPTER RESPIRATORY F,42.00
06004030,AIRWAY NASAL NON-S 6,65.00
06004048,AIRWAY NASAL NON-S 7.,65.00
06004055,AIRWAY NASAL NON-S 7.,49.00
06004063,AIRWAY NASAL NON-S 8.,65.00
06004071,AIRWAY NASAL NON-S 9,65.00
06004089,BAG NEONATAL HYPERINF,92.00
06004097,MASK VENTURI,57.00
06004105,TUBING CONNECTOR 02,14.00
06004113,CHAMBER MIXING,1201.00
06004121,CAP LUER TIP,32.00
06004139,CANNULA NASAL PEDIATR,38.00
06004147,CHAMBER HOLDING MED A,111.00
06004154,CONNECTOR OXYGEN ADAP,32.00
06004162,JACKSON REES MODIFIED,65.00
06004170,ELBOW 22MMID X 22MMOD,35.00
06004188,FILTER AIR BACTERIA,14.00
06004196,HUMIDIFIER LG VOLUMN,15.00
06004204,HUMIDIFICATION CHAMBE,146.00
06004212,INDICATOR TEMPERATURE,71.00
06004246,MASK ANESTHESIA INFAN,53.00
06004253,MASK ANESTHESIA CHILD,60.00
06004261,MASK ANESTHESIA NEO-N,53.00
06004279,ELBOW W/TEMP SENSING,35.00
06004287,ADAPTER 02 TUBING,35.00
06004295,SENSOR ADULT FLOW VEN,265.00
06004311,MASK TRACH PEDI,36.00
06004329,MASK OXYGEN INFANT,49.00
06004345,MASK OXYGEN NON-REBRE,38.00
06004352,MASK VENTURI,42.00
06004378,NEBULIZER LARGE VOL 5,38.00
06004386,NEBULIZER MINI HEART,196.00
06004394,NEBULIZER MICRO W/AER,15.00
06004402,NEBULIZER PEDI MICRO,42.00
06004410,SENSOR FLOW,160.00
06004428,RESUSITATOR SELFINFLA,120.00
06004436,RESUSCITATOR PEDIATRI,247.00
06004444,RESUSCITATOR NEONATAL,247.00
06004451,SPIROMETER INCENTIVE,22.00
06004469,STRAP SIMPLE,277.00
06004477,LINE SAMPLE GAS 7FT,57.00
06004485,TRAP WATER VENTILATOR,36.00
06004493,TUBING AEROSOL 6F W/C,14.00
06004527,TUBING VENTILATOR TRA,120.00
06004535,TUBING OXYGEN CONNECT,14.00
06004543,VALVE PEEP 5CM H20,128.00
06004550,VALUE PEEP 15CM H20,128.00
06004568,VALVE PEEP 20CM H20,128.00
06004576,VALVE PEEP 10CM H20,128.00
06004584,VENTILATOR ANEST W/3L,42.00
06004592,VENTILATOR ANEST PEDI,59.00
06004600,TRAP AEROSOL WATER,42.00
06004618,VENTILATOR 1/2 LITER,59.00
06004626,SLEEVE VENTILATOR CIR,13.00
06004634,COLUMN DESICCANT,86.00
06004642,LINE SAMPLING METABOL,534.00
06004659,CANNULA INFANT NASAL,53.00
06004667,CIRCUIT HEATED ADULT,163.00
06004675,ADAPTER FLEXIBLE 22MM,57.00
06004683,HARNESS HEAD,166.00
06004691,MASK PEDIATRIC SIMPLE,35.00
06004709,FILTERLINE SAMPLING M,113.00
06004717,ADAPTER SAMPLING MICR,59.00
06004725,NEBULIZER CONT MED HE,201.00
06004733,CIRCUIT PULMONETIC AD,70.00
06004741,ADAPTER OMNIFLEX,16.00
06004758,"BANDAGE STRETCH 8""X100YD",78.00
06004766,"BELT SANITARY ELASTIC 1""WIDE",35.00
06004774,CATH FOLEY STERILE 20FR 5CC,36.00
06004824,"STOCKINETTE BIAS 6"" SIR",46.00
06004832,"STOCKINETTE BIAS STERILE 4""",46.00
06004840,SYSTEM FALL PREVENT BED MAT,286.00
06004857,TRAY SUBCAVIAN CATHETER,2412.00
06004865,SYRINGE SFTY 3CC 25GX5/8,29.00
06004873,DRAPE V.A.C.,49.00
06004881,SOFTFOAM 10X15 DRSG.,32.00
06004899,"BAG BODY INFANT 30""X18""",53.00
06004907,BAG URINE COLLECTOR NEWBORN,15.00
06004915,"BANDAGE ""BANDAID""BABY ROUND",14.00
06004923,BLOOD PRESS CUFF NEONATE SZ1,86.00
06004931,BLOOD PRESS CUFF NEONATE SZ 2,86.00
06004949,BLOOD PRWSS CUFF NEONATE SZ 3,49.00
06004956,BLOOD PRESS CUFF NEONATE SZ 3,49.00
06004964,CUFF NEONATE #4,35.00
06004972,BREAST PUMP MANUAL/ELECTRIC,189.00
06004998,CATH PEEL AWAY SYS 24 GAUGE,126.00
06005003,CATH PEEL AWAY SYS 28 GAUGE,42.00
06005011,CATH UMBIL ARTERY STER 3.5 FR,42.00
06005029,"CATH UMBIL ARTERY STER 5FR 16""",49.00
06005037,CORD CLAMP UMBILICAL,49.00
06005045,"DIAPER NEWBORN SM 91/2""X13""",35.00
06005052,DIAER PREMATURE,35.00
06005060,"DRSG BIOCLUSIVE 11/2""X11/2",14.00
06005078,ELECTRODE NEONATE PRECONNECTED,23.00
06005086,ELECTRODE NEONATE LIMB BAND,35.00
06005094,FOIL GOLD INSULATION HEART,94.00
06005102,GLOVE EXAM ALOE SYNTHETIC SM,163.00
06005110,GLOVE EXAM ALOE SYNTHETIC MED,183.00
06005144,HAT BABY DISPOSABLE,35.00
06005151,IV SET EXTENSION,59.00
06005169,KIT BLOOD GAS NEWBORN,14.00
06005177,KIT TRANS RADIAL/UMBILICAL,32.00
06005185,MASK PHOTOTHERAPY BILI REG,220.00
06005193,MASK PHOTOTHERAPY BILI PREMI,199.00
06005201,"CATH IV PROTECTIVE 22GAX1""",560.00
06005219,"CATH IV PROTECTIVE 24X3/4""",35.00
06005227,IV SET WING 23GAX3/4X12,96.00
06005235,HEEL WARMER INFANT,36.00
06005243,STRAP CIRCUMCISION SOFT BEGINN,66.00
06005292,DILATOR COOK URETHRAL 10FR,66.00
06005300,DILATOR COOK URETHRAL 10FR,304.00
06005326,TRACH TIE ADULT,38.00
06005334,POUCH COLOSTOMY 57MM-TRANSPA,29.00
06005342,WAFER DURAHESIVE 5X5-57MM,71.00
06005359,SYRINGE TB 1CC,13.00
06005367,BELT OSTOMY APPLIANCE,23.00
06005375,POUCH COLOSTOMY 57MM-TRANSPA,65.00
06005383,WAFER DURAHESIVE 5X5-57MM,71.00
06005391,CATH BEDSIDE HOHN 5FR 50EA/C,275.00
06005409,PAD HELL/ELBOW PROTECTOR12PR/C,54.00
06005417,TRAYCATHEURETHRAL14FRSTR20EA/C,3.00
06005441,"SU SILK 4-0 SH 30""",60.00
06005466,TUBE ET MURP TIP/EYE UNCUF 2.5,14.00
06005474,TUBE ET MURP UNCUF 3.0MM,14.00
06005482,TUBE ET TIP/EYE UNCUFF 3.5MM,14.00
06006100,RESTRAINT MITTEN,222.00
06006472,DRSG CALCIUM ALGINATE PACK 2GM,78.00
