Ventura County Medical Center (106560481),,
Charge Description Master,,
,,
Description,FY -17 Facility Rate,FY-17 Professional Rate
11200 *Removal of skin tags any area; up to and including 15 lesions,,524
11201 Removal skin tags;each addl 10 lesions,,138
11300 *Shave skin lesion t/a/l; 0.5 cm/<,,220
11301 *Shave skin lesion t/a/l; 0.6 to 1.0cm,,339
11302 Shave skin lesion t/a/l; 1.1 to 2.0 cm,,547
11303 Shave skin lesion t/a/l; over 2.0 cm,,470
11305 Shave skin les s/n/h/f/g; 0.5 cm/<,,241
11306 Shave skin les s/n/h/f/g; 0.6 to 1.0 cm,,321
11307 *Shave skin les s/n/h/f/g; 1.1 to 2.0 cm,,419
11308 *Shave skin les s/n/h/f/g; over 2.0 cm,,464
11310 *Shave skin les f/e/e/n/l/m; 0.5 cm/<,,298
11311 Shave skin les f/e/e/n/l/m; 0.6 to 1.0 cm,,418
11312 Shave skin les f/e/e/n/l/m; 1.1 to 2.0 cm,,496
11313 *Shave skin les f/e/e/n/l/m; over 2.0 cm,,634
"11400 *Excision benign lesion trunk,arms or legs; 0.5 cm/<",,516
"11401 *Excision benign lesion trunk,arms or legs; 0.6 to 1.0 cm",,705
"11402 Excision benign lesion trunk,arms or legs; 1.1 to 2.0 cm",,844
"11403 *Excision benign lesion trunk,arms or legsl; 2.1 to 3.0 cm",,1002
"11404 *Excision benign lesion trunk,arms or legs; 3.1 to 4.0 cm",,1145
11406 Exc B9 lesion t/a/l; over 4.0 cm,,1634
11420 Exc B9 lesion s/n/h/f/g; 0.5 cm/<,,570
11421 Exc B9 lesion s/n/h/f/g; 0.6-1.0 cm,,705
11422 Exc B9 lesion s/n/h/f/g; 1.1-2.0 cm,,906
11423 Exc B9 lesion s/n/h/f/g; 2.1-3.0 cm,,1137
11424 Exc B9 lesion s/n/h/f/g; 3.1 to 4.0 cm,,1165
11426 Exc B9 lesion s/n/h/f/g; over 4.0 cm,,2074
11440 Exc B9 les f/e/e/n/l/m; 0.5 cm/<,,660
11441 Exc B9 les f/e/e/n/l/m; 0.6 to 1.0 cm,,870
11442 Exc B9 les f/e/e/n/l/m; 1.1 to 2.0 cm,,1012
11443 Exc B9 les f/e/e/n/l/m; 2.1 to 3.0 cm,,1320
11444 Exc B9 les f/e/e/n/l/m; 3.1 to 4.0 cm,,1729
11446 Exc B9 les f/e/e/n/l/m; over 4 cm,,2240
11450 Excision skin & subq tiss axillary; simple/intermediate repair,,1617
11451 Excision skin and subcutaneous tiss axillary; w/complex repair,,2081
11462 Excision of skin & subq tiss for hidradenitis axillary; w/simple/intermed repair,,1574
11463 Excision skin & subq tiss for hidradenitis axillary; w/complex repair,,2081
11470 Removal sweat gland lesion,,1848
11471 Removal sweat gland lesion,,2254
11600 Exc mal les w/mrgn t/a/l; 0.5 cm/<,,795
11601 Exc mal les w/mrgn t/a/l; 0.6 to 1.0 cm,,1025
11602 Exc mal les w/mrgn t/a/l; 1.1 to 2.0 cm,,1161
11603 Exc mal les w/mrgn t/a/l; 2.1 to 3.0 cm,,1309
11604 Exc mal les w/mrgn t/a/l; 3.1 to 4.0 cm,,1383
11606 Exc mal les w/mrgn t/a/l; over 4.0 cm,,2023
11620 Exc mal les w/mrgn s/n/h/f/g; 0.5 cm/<,,800
11621 Exc mal les w/mrgn s/n/h/f/g; 0.6-1.0 cm,,1100
11622 Exc mal les w/mrgn s/n/h/f/g; 1.1-2.0 cm,,1320
11623 Exc mal les w/mrgn s/n/h/f/g; 2.1-3.0 cm,,1537
11624 Exc mal les w/mrgn s/n/h/f/g; 3.1-4.0 cm,,1899
11626 Exc mal les w/mrgn s/n/h/f/g; > 4.0 cm,,2653
11640 Exc mal les w/mrgn f/e/e/n/l; 0.5 cm/<,,910
11641 Exc mal les w/mrgn f/e/e/n/l; 0.6-1.0 cm,,1367
11642 Exc mal les w/mrgn f/e/e/n/l; 1.1-2.0 cm,,1630
11643 Exc mal les w/mrgn f/e/e/n/l; 2.1-3.0 cm,,1939
11644 Exc mal les w/mrgn f/e/e/n/l; 3.1-4.0 cm,,2459
11646 Exc mal les w/mrgn f/e/e/n/l; > 4.0 cm,,3486
"11719 *Trimming of nondystrophic nails, any number",,48
11720 Debridement of nail(s) by any method(s); 1 to 5,,177
11721 Debridement of nail(s) by any method(s); 6 or more,,295
"11730 Avulsion of nail plate,partial or complete, simple; single",,498
"11732 Remove nail plate, each addl",,256
11740 Drain blood from under nail,,206
"11750 *Excision of nail and nail matrix, partial or complete",,953
"11755 Biopsy, nail unit",,773
11760 Repair of nail bed,,886
11762 Reconstruction of nail bed w/ graft,,1207
"11765 Excision of nail fold, toe",,622
"11770 Rmvl of pilonidal cyst or sinus,simple",,1607
"11771 Rmvl of pilonidal cyst or sinus,extensive",,3323
11772 Excision of pilondial cyst/sinus; complicated,,3750
"11900 Injection, intralesional; up to 7 lesions",,201
"11901 Injection, intralesional; more than 7 lesions",,310
11920 Tattooing intradermal introduction of insoluble opaque pigments to correct color defects; 6.0,,746
11921 Tattooing intradermal introduction of insoluble opaque pigments to correct color defects of sk,,873
11922 Tattooing intradermal introduction of insoluble opaque pigments to correct color defects of sk,,188
"11950 Subcutaneous injection of flilling material (eg, collagen); 1 cc or less",,303
11951 Subcutaneous injection material; 1.1-5.0 cc,,475
11952 Subcutaneous inj of filling material (eg collagen); 5.1 to 10.0 cc,,667
11954 Subcutaneous inj of filling material (eg collagen); over 10.0 cc,,726
11960 Insertion of tissue expander(s) for other than breast incl subsequent expansion,,6126
11970 Replace tiss expander w/prosthesis,,3981
11971 Replace tiss expander w/o prosthesis,,2154
11976 Removal of implantable contraceptive cap,,948
11981 Insert non-biodegradable drug delivery implant,,497
"11982 Removal, non-biodegradable drug delivery implant",,849
11983 Removal w/reinsertion drug implant,,1571
12001 Simple repair superficial wounds of s/n/a/g/t/or extremities; 2.5 cm or less,,275
12002 Simple repair superficial wounds of s/n/a/g/t/or extremities; 2.6-7.5 cm,,365
12004 Simple repair superficial wounds of s/n/a/g/t/or extremities; 7.6-12.5 cm,,452
12005 Simple repair superficial wounds of s/n/a/g/t/or extremities; 12.6-20.0 cm,,608
12006 Simple repair superficial wounds of s/n/a/g/t/or extremities; 20.1-30.0 cm,,740
12007 Simple repair superficial wounds of s/n/a/g/t/or extremities; over 30.0 cm,,933
12011 Simple repair superficial f/e/e/n/l/m; 2.5 cm or less,,347
12013 Smple repair superficial f/e/e/n/l/m; 2.6-5.0 cm,,384
12014 Simple repair superficial f/e/e/n/l/m; 5.1-7.5 cm,,485
12015 Simple repair superficial f/e/e/n/l/m; 7.6-12.5 cm,,604
12016 Simple repair superficial f/e/e/n/l/m; 12.6-20.0 cm,,812
12017 Simple repair superficial f/e/e/n/l/m; 20.1-30.0 cm,,924
12018 Simple repair superficial f/e/e/n/l/m; over 30.0 cm,,1257
12020 Treatment of superficial wound dehiscence; simple,,1471
12021 Treatment of superficial wound dehiscence;w/ packing,,945
12031 Repair intrm wnd s/a/t/e; 2.5 cm or less,,983
12032 Repair intrm wnd s/a/t/e; 2.6 - 7.5 cm,,1280
12034 Repair  intrm wnd s/a/t/e; 7.6 -12.5 cm,,1504
12035 Repair intrm wnd s/a/t/e; 12.6 - 20.0 cm,,1795
12036 Repair intrm wnd s/a/t/e; 20.1 - 30.0 cm,,2211
12037 Repair intrm wnd s/a/t/e; over 30.0 cm,,2056
12041 Repair intrm wnd n/h/f/xtrnl gen; 2.5 cm/<,,1076
12042 Repair intermediate wnd n/h/f/xtrnl gen;2.6-7.5cm,,1255
12044 Repair intermediate wnd n/h/f/xtrnl gen;7.6-12.5cm,,1620
12045 Repair intrm wnd n/h/f/xtrnl gen;12.6-20 cm,,1938
12046 Repair intrm wnd n/h/f/xtrnl gen;20.1-30 cm,,2380
12047 Repair intrm wnd n/h/f/xtrnl gen; over 30.0 cm,,2449
12051 Repair intrm wnd f/e/e/n/l/m; 2.5 cm/ <,,1152
12052 Repair intrm wnd f/e/e/n/l/m; 2.6 - 5.0 cm,,1284
12053 Repair interrmediate wnd f/e/e/n/l/m; 5.1 - 7.5 cm,,1626
12054 Repair intermediate wnd f/e/e/n/l/m; 7.6 - 12.5 cm,,1626
12055 Repair intrm wnd f/e/e/n/l/m; 12.6-20.0 cm,,1934
12056 Repair intrm wnd f/e/e/n/l/m; 20.1-30.0 cm,,2463
12057 Repair intrm wnd f/e/e/n/l/m; over 30.0 cm,,2417
13100 Repair cplx trunk; 1.1 to 2.5 cm,,1330
13101 Repair cplx trunk; 2.6 to 7.5 cm,,1660
13102 Repair cplx trunk; each addl 5 cm or less,,464
13120 Repair cplx s/a/l; 1.1 to 2.5 cm,,1546
13121 Repair cplx s/a/l/; 2.6 to 7.5 cm,,1726
13122 Repair cplx s/a/l; each addl 5 cm or less,,537
13131 Repair cplx f/c/c/m/n/ax/g/h/f; 1.1-2.5 cm,,1616
13132 Repair cplx f/c/c/m/n/ax/g/h/f; 2.6-7.5 cm,,2028
13133 Repair cplx f/c/c/m/n/ax/g/h/f; ea addl 5cm,,826
"13151 Repair complex, eyelids,nose,ears and/or lips; 1.1 cm to 2.5 cm",,1870
"13152 Repair complex eyelids, nose, ears and/or lips; 2.6 cm to 7.5 cm",,2067
"13153 Repair complex eyelids, nose, ears and/or lips; each additional 5 cm or less",,890
13160 LATE CLOSURE OF WOUND,,5259
14000 Adjacent tiss transfer/rearrangement trunk; 10 sq cm/<,,3324
14001 Adjacent tiss transfer/rearrangement trunk; 10.1-30.0 sq cm,,4279
"14020 Adjacent tiss transfer/rearrangement,scalp,arms, and/or legs; 10 sq cm/<",,3762
"14021 Adjacent tiss transfer/rearrangement,scalp,arms, and/or legs; 10.1-30.0 sq cm",,4720
14040 Att/reargmt f/c/c/n/ax/g/h/f;10 sq cm/<,,4166
14041 Att/reargmt f/c/c/n/ax/g/h/f;10.1-30sqcm,,5091
14060 Att/reargmt e/n/e/l; dfct 10 sq cm/<,,4425
14061 Att/reargmt e/n/e/l; dfct 10.1-30 sq cm,,5446
"14301 Adjacent tiss transfer/rearrangement, any area; 30.1-60.0 sq cm",,5728
"14302 Adjacent tiss transfer/rearrangement, any area; each addl 30.0 sq cm",,1371
"14350 Filleted finger or toe flap, incl preparation of recipient site",,4552
15002 Prep site t/a/l; 1st 100 sq cm,,1444
15003 Prep site t/a/l; ea addl 100 sq cm,,283
15004 Prep site f/s/n/h/f/g/m/dgt;1st 100sqcm,,1720
15005 Prep site f/s/n/h/f/g/m/dgt;addl 100,,564
15040 Harvest of skin of tissue cultured skin autograft 100 sq cm/<,,812
"15050 Pinch graft, single/multiple up to 2m diameter defect size",,2960
"15100 Split-thickness autograft,trunk/arms/legs; first 100 sq cm/<",,4639
"15101 Split-thickness autograft, trunk,arms,legs; each addl 100 sq cm",,701
15110 Epidermal autograft trunk/arms/legs; 1st 100 sq cm/<,,4857
15111 Epidermal autograft trunk/arms/legs; each addl 100 sq cm,,628
15115 Epidermal autograft face/scalp/eyelids/mouth/neck/ears/hands/feet/genitalia; 1st 100 sq cm,,4869
15116 Epidermal autograft face/scalp/eyelids/mouth/neck/ears/hands/feet/genitalia; each addl 100 sq,,824
"15120 Split-thickness autograft,f/s/n/h/g/m/dgt; first 100 sq cm /<",,4502
"15121 Split-thickness autograft,f/s/n/h/f/g/m/dgt; each addl 100 sq cm",,843
15130 Dermal autograft trunk/arms/legs; 1st 100 sq cm/<,,3670
15131 Dermal autograft trunk/arms/legs; each addl 100 sq cm,,496
"15135 Dermal autograft, f/s/e/m/n/e/g/m/dgt; first 100 sq cm/<",,5590
15136 Dermal autograft face/scalp/eyelids/mouth/neck/ears/hands/feet/genitalia; each addl 100 sq cm,,545
"15200 Full thickness graft, trunk; 20 sq cm or less",,4378
"15220 Full thickness graft, scalp, arms, and/or legs; 20 sq cm or less",,4048
"15240 Full thickness graft, f/c/c/m/n/a/g/h/f; 20 sq cm /<",,5292
"15241 Full thickness graft, f/c/c/m/n/a/g/h/f; each addl 20 sq cm",,702
"15260 Full thickness graft, nose,ears,lips &/eyelids; <20sq cm",,5664
"15261 Full thickness graft, n/e/e/l; each addl 20 sq cm",,902
15271 Appl sub gft t/a/l/ wnd surf <100 sq cm,,1199
15272  Appl sub gft t/a/l/; ea addl 25 sq cm,,107
15273 Appl sub gft t/a/l wnd surf >100 sq cm,,539
15274 Appl sub gft t/a/l; ea addl 100 sq cm,,257
15275 Appl sub gft f/s/n/h/f/g/m/dgt <100 sqcm,,649
15276 Application of skin substitute graft; each additional 25 sq cm or any part thereof,,108
15277 Application of skin substitute graft total wound surface area greater than/or equal to 100 sq,,984
15278 Application of skin substitute graft total wound surface;each additional 100 sq cm  wound surf,,246
"15570 Formation of direct or tubed pedicle, w/wo transfer; trunk",,4775
"15572 Formation of direct or tubed pedicle. w/wo transfer; scalp, arms or legs",,4805
"15574 Formation of idrect or tubed pedicle, w/wo transfer; forehead,cheeks, chin,mouth,neck,axillae,",,4986
"15576 Formation of direct or tubed pedicle, w/wo transfer; eyelids, nose, ears, lips, or intraoral",,4409
15600 Delay of flap or sectioning of flap (division and inset); at trunk,,1499
"15610 Delay of flap or sectioning of flap (division and inset); at scalp, arms, or legs",,1629
"15620 Delay of flap or sectioning of flap (division and inset); at forehead, cheeks, chin, neck, axi",,2186
"15630 Delay of flap or sectioning of flap (division and inset); at eyelids, nose, ears, or lips",,2325
"15731 Forehead flap w/preservation of vascular pedicle (eg, axial pattern flap, paramedian forehead",,6582
15733 Muscle myocutaneous or fasciocutaneous flap; head & neck w/named vascular pedicle,,10819
15734 Muscle-skin graft; trunk,,11496
"15736 MUSCLE-SKIN GRAFT, UXTR",,10335
15738 Muscle-skin graft; leg,,10376
15758 Free fascial flap with microvascular anastomosis,,15024
"15760 Graft; composite (eg, full thickness of external ear/nasal) incl primary closure, donor area",,4675
15770 Graft; derma-fat-fascia,,4423
"15777 Implantation of biologic implant for soft tissue reinforcement (ie,breast,trunk)",,1218
15780 Dermabrasion; total face,,4355
"15781 Dermabrasion; segmental, face",,2907
"15782 Dermabrasion; regional, other than face",,2683
"15783 Dermabrasion; superficial, any site (eg, tattoo removal)",,2509
"15786 Abrasion; single lesion (eg, keratosis scar)",,887
15787 Abrasion; each additional 4 lesions or less,,111
"15788 Chemical peel, facial; epidermal",,1766
15789 Chemical peel; dermal,,2793
"15792 Chemical peel, nonfacial; epidermal",,1855
"15793 Chemical peel, facial; dermal",,2488
15819 Cervicoplasty,,4704
"15820 Blepharoplasty, lower eyelid",,3491
"15821 Blepharoplasty, lower eyelid; extensive herniated fat pad",,3669
"15822 Blepharoplasty, upper eyelid",,2652
"15823 Blepharoplasty, upper eyelid; excessive skin weighting down lid",,3705
15830 Excision excessive skin & subq tissue; abdomen,,7488
15832 Excision excessive skin & subq tissue; thigh,,6047
15833 Excision excessive skin & subq tissue; leg,,5674
15834 Excision excessive skin & subq tissue; hip,,5674
15835 Excision excessive skin & subq tissue; buttock,,6090
15836 Excision excessive skin & subq tissue; arm,,5150
15837 Excision excessive skin & subq tissue; forearm/hand,,4678
15838 Excision excessive skin & subq tissue; submental fat pad,,3736
15839 Excision excessive skin & subq tissue; other area,,4706
15840 Graft for facial nerve paralysis; free fascia graft,,6582
15841 Graft for facial nerve paralysis; free muscle graft,,10270
15842 Graft for facial nerve paralysis; free muscle flap by microsurgical technique,,17062
15845 Graft for facial nerve paralysis; regional muscle transfer,,6676
15850 Removal of sutures under anesthesia,,373
"15851 Removal of sutures under anesthesia (other than local), other surgeon",,380
15852 Dressing change (other than burns) under anesthesia (other than local),,288
15876 Suction assisted lipectomy; head and neck,,10344
"15944 Excision, ischial pressure ulcer, with skin flap closure",,5045
15946 Remove hip pressure sore,,12763
15956 Excision trochanteric pressure ulcer in preparation for muscle/myocutaneous flap/skin graft cl,,6175
16000  Initial treatment of burn(s),,286
"16020 Dressings and/or debridement of partial-thickness burns, initial/subsequent; small (<5% total",,358
"16025 Dressings and/or debridement of partial-thickness burns, initial/subsequent; medium (eg, whole",,713
"16030 Dressings and/or debridement of partial-thickness burns, initial/subsequent; large (eg, more t",,811
16035 Escharotomy; initial incision,,1223
"16036 Escharotomy, each addl incision",,773
"17000 Destruction premalignant lesions (eg, actinic keratoses); first lesion",,305
"17003 Destruction premalignant lesions second through 14 lesions, each (List separately in addition",,142
17004 Destroy premalignant lesions 15 or more,,1439
"17106 Destruction of cutaneous vascular proliferative lesions (eg, laser tech); less than 10 sq cm",,1783
"17107 Destruction of cutaneous vascular proliferative lesions (eg, laser tech); 10.0 to 50.0 sq cm",,2297
"17108 Destruction of cutaneous vascular proliferative lesions (eg, laser tech); over 50.0 sq cm",,3392
17110 Destruction of benign lesions other than skin tags; up to 14 lesions,,323
17111 Destruction of benign lesions other than skin tags; 15 or more lesions,,459
17250 Chemical cauterization of granulation tissue,,252
"17260 Destruction of malignant lesion, trunk, arms or legs; lesion diameter 0.5 cm or less",,516
17261 Destruction of skin lesions,,649
17262 Destruction of skin lesions,,873
17263 Destruction of skin lesions,,1012
17264 Destruction of skin lesions,,1103
17266 Destruction of skin lesions,,1320
17270 Destruction of skin lesions,,715
17271 Destruction of skin lesions,,834
17272 Destruction of skin lesions,,996
17273 Destruction of skin lesions,,1161
17274 Destruction of skin lesions,,1462
17276 Destruction malignant lesion s/n/h/f/g/; 0.5 cm or less,,1367
17280 Destruction of skin lesions,,681
17281 Destruction of skin lesions,,814
17282 Destruction of skin lesions,,935
17283 Destruction of skin lesions,,1462
17284 Destruction of skin lesions,,1761
17286 Destruction malignant lesion f/e/n/l/eyelids; over 4.0 cm,,1827
"17340 Cryotherapy (CO2, slush, liquid N2) for acne",,355
19000 Puncture aspiration of cyst of breast,,365
19001 Drain breast lesion (add-on),,206
"19020 Mastotomy w/ exploration or drainage of abscess,deep",,1997
19030 Injection procedure only for mammary ductogram/galactogram,,474
"19081 Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), w",,1144
"19082 Biopsy, breast, with placement of breast localization device(s); each additional lesion, incl",,553
"19083 Biopsy breast, with placement of breast localization device(s) (eg, clip, metallic pellet) whe",,1074
"19084 Biopsy breast, with placement of breast localization device(s) (eg, clip,metallic pellet) & im",,519
"19085 Biopsy breast with placement of breast localization device(s) (eg, clip, metallic pellet) when",,1254
19086 Biopsy breast with placement of breast localization device(s) & imaging bx specimen percutaneo,,581
19100 Biopsy of breast; percutaneous w/o image,,825
"19101 Biopsy of breast, open",,2074
"19105 Ablation, cryosurgical of fibroadenoma incl ultrasound guidance each fibroadenoma",,1187
19110 Nipple exploration w/wo excision of a solitary lactiferous duct or a papilloma lactiferous duc,,2223
19112 Excision of lactiferous duct fistula,,1764
19120 Removal of breast lesion,,3029
"19125 Excision of breast lesion placement of marker, open; single lesion",,2904
19126 Excision of breast lesion identified by preop placement of radiological marker open; each addi,,972
19260 Removal of chest wall lesion,,7997
19271 Excision of chest wall tumor involving ribs w/plastic reconstruction; w/o mediastinal lymphade,,10507
19272 Excision of chest wall tumor involving ribs w/plastic reconstruction; w/mediastinal lymphadene,,11556
"19281 Placement of breast locallization device(s) (eg, clip, metallic pellet,wire/needle,radioactive",,658
"19282 Placement of breast localization device(s) (eg, clip,metallic pellet, wire/needle, radioactive",,318
"19283 Placement of breast localization device(s) (eg, clip,metallic pellet, wire/needle, radioactive",,666
"19284 Placement of breast localization device(s) (eg, clip,metallic pellet, wire/needle, radioactive",,321
"19285 Placement of breast localization device(s) (eg, clip,metallic pellet, wire/needle, radioactive",,564
"19286 Placement of breast localization device(s) (eg, clip,metallic pellet, wire/needle, radioactive",,276
"19287 Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactiv",,894
"19288 Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactiv",,413
"19290 Preoperative placement of needle localization wire, breast;",,394
"19291 Preopertive placement of needle localization wire, breast; each addl lesion",,196
19300 Removal of breast tissue,,2803
19301 Partial mastectomy,,3034
"19302 Mastectomy, partial w/axillary lymphadenectomy",,6390
"19303 Mastectomy, simple, complete",,6474
"19304 Mastectomy, subcutaneous",,3682
"19305 Mastectomy radical, incl pectoral muscles, axillary lymph nodes",,7068
"19306 Mastectomy radical, incl pectoral muscles, axillary and internal mammary lymph nodes",,7542
"19307 Mastectomy, modified, radical",,8290
19316 Mastopexy,,4934
19318 Reduction mammaplasty,,7115
"19324 Mammaplasty, augmentation; w/o prosthetic implant",,3141
19325 Mammoplasty augmentation; with prosthetic implant,,4211
19328 Removal of breast implant,,2842
19330 Removal of mammary implant material,,4123
19340 Immediate insertion of breast prosthesis,,6512
19342 Delayed breast prosthesis,,7601
19350 Nipple/areola reconstruction,,5825
19355 Correction of inverted nipples,,3596
"19357 Breast rcnstj,immt or dlyd,w/ tiss expander,incl sbsq xpnsj",,9969
"19361 Breast rcnstrj w/ latissimus dorsi flap,w/o prosthetic implant",,10141
19364 Breast reconstruction w/ free flap,,17595
19366 Breast reconstruction w/ other technique,,8791
"19367 Breast rcnstj w/ TRAM flap,single pedcl,incl clsr of donor site",,11485
"19368 Breast rcnstj w/ TRAM flap,single pedcl,incl clsr of donor site;w/ microvascular anstomosis",,14070
"19369 Breast rcnstj w/ TRAM flap,double pedcl,incl closr of donor site",,13071
"19370 Open periprosthetic capsulotomy, breast",,4476
19371 Removal of breast capsule,,5800
19380 Revise breast reconstruction,,3088
20005 Incision and drainage of soft tissue abscess; subfascial,,1502
20100 Exploration of penetrating wound; neck,,3724
20101 Exploration of penetrating wound; chest,,1309
20102 Exploration of penetrating wound; abdomen/flank/back,,1597
20103 Exploration of penetrating wound; extremity,,2213
"20150 Excision of epiphyseal bar, w/w/o autogenous graft soft tiss graft",,6395
"20200 Biopsy, muscle; superficial",,594
"20205 Biopsy, muscle; deep",,965
20206 Biopsy muscle percutaneous needle,,375
"20220 Biopsy, bone,trocar/needle; superficial (eg ilium,sternum,ribs)",,459
"20225 Biopsy, bone,trocar/needle; deep (vertebral body, femur)",,697
"20240 Biopsy, bone, open; superficial",,2219
"20245 Biopsy, bone, open; deep",,4006
"20250 Biopsy, vertebral body, open; thoracic",,2482
"20251 Biopsy, vertebral body, open; lumbar/cervical",,2671
20500 Injection of sinus tract; therapeutic,,557
20501 Injection of sinus tract; diagnostic,,234
20520 Removal of foreign body,,1187
20525 Removal of FB in muscle/tendon sheath; deep/complicated,,1605
20526 Therapeutic injection carpal tunnel,,358
"20527 Injection, enzyme, palmar fascial cord",602,382
20550 Injection single tendon sheath/ligament,,259
20551 Injection single tendon origin/insertion,,270
20552 Trigger point(s) injection 1 or 2 muscle(s),,241
"20553 Trigger point(s) injection(s), 3 or more muscle(s)",,273
20555 Placement of needle/cath into muscle&or soft tiss for interstitial radioelem appl,,2064
"20600 *Arthrocentesis, aspiration and/or inj small joint/bursa (e.g. finger,toes); without US guidan",,476
"20604 Arthrocentesis, aspiration and/or injection, small joint/bursa; w/US guidance",,622
"20605 *Arthrocentesis, aspiration/inj intermediate joint/bursa; without US guidance",,479
"20606 Arthrocentesis, aspiration and/or injection, intermediate joint/bursa; w/US guidance",,658
"20610 Arthrocentesis, aspiration/inj major joint/bursa (e.g. shoulder,hip,knee);without US guidance",,540
"20611 Arthrocentesis, aspiration and/or injection, major joint or bursa; w/US guidance",,710
20612 Aspirate/inj ganglion cyst,,476
20615 Aspiration & injection for tx of bone cyst,,1054
20650 Insertion of wire/pin w/application of skeletal traction,,1005
"20660 Application of cranial tongs/caliper/stereotactic frame,incl rmvl",,1469
"20661 Application of halo, including removal; cranial",,3312
"20662 Application of halo, incl rmvl; pelvic",,2768
"20663 Application of halo, incl rmvl; femoral",,3060
"20664 Application of halo, incl rmvl, cranial(>6 pins) thin skull osteology",,5554
20665 Rmvl tongs/halo applied by another individual,,578
"20670 *Removal of implant; superficial (eg buried wire, pin/rod)",,981
"20680 Removal of implant; deep (eg buried wire, pin, screw, metal band, nail, rod/plate)",,2753
20690 Apply bone fixation device,,2363
"20692 Appl of multiplane(pins/wires),unilateral,xtrnl fixation system",,7163
20693 Adjust bone fixation device,,4496
20694 Remove bone fixation device,,2807
"20696 Appl of muliplane(pins/wires),unilat;initial/subsequent allignment/assmt/computation",,7519
"20697 Appl of muliplane(pins/wires),unilat;exchange strut,each",,15607
"20802 Replantation,arm(humerus neck thru elbow jt), complete amputation",,14676
