Hospital,Description,Std Price
UPMC McKeesport,ADVAIR DISK 250/50MCG 14 DOSES,395.00
UPMC McKeesport,ADVAIR DISK 500/50MCG 14 DOSES,640.00
UPMC McKeesport,ADVAIR HFA 115-21MCG 12GM,875.00
UPMC McKeesport,ADVAIR HFA 45/21 8GM 60 DS INH,648.00
UPMC McKeesport,ADVANCE/REPAIR FLEXOR TENDON,3108.00
UPMC McKeesport,AEROBIC DEFIN ID,83.00
UPMC McKeesport,AEROBIC SENSITIVITY DISK,57.50
UPMC McKeesport,AEROCHAMBER INH,135.00
UPMC McKeesport,AEROCHAMBER W/MASK MEDIUM,204.00
UPMC McKeesport,AEROCHAMBER W/MASK SMALL,232.00
UPMC McKeesport,AFB SMEAR,87.50
UPMC McKeesport,AFP & AFP-L3,1686.00
UPMC McKeesport,AFP/FLUID,164.00
UPMC McKeesport,AGALSIDASE BETA 1MG,692.00
UPMC McKeesport,AGGRENOX CAP,27.75
UPMC McKeesport,AIGIS ICD POCKET,3017.00
UPMC McKeesport,AIRCAST BOOT,986.00
UPMC McKeesport,AIRWAY RESISTANCE - RAW,489.00
UPMC McKeesport,ALANINE AMINO P3896,109.00
UPMC McKeesport,ALANINE AMINO P9445,109.00
UPMC McKeesport,ALBUMIN,95.50
UPMC McKeesport,ALBUMIN 25% 100ML,1068.00
UPMC McKeesport,ALBUMIN 25% 100ML DRIP ONLY,1068.00
UPMC McKeesport,ALBUMIN 25% 50ML HUMAN,529.00
UPMC McKeesport,ALBUMIN CSF PNL 2260,209.00
UPMC McKeesport,ALBUMIN FLUID,88.50
UPMC McKeesport,ALBUMIN HUMAN 5% 250ML INJ,551.00
UPMC McKeesport,ALBUMIN IN CSF PNL 1810,209.00
UPMC McKeesport,ALBUMIN IN SERUM PNL 1810,95.50
UPMC McKeesport,ALBUMIN OTHER FLUID,88.50
UPMC McKeesport,ALBUMIN PNL,95.50
UPMC McKeesport,ALBUMIN SERUM,95.50
UPMC McKeesport,ALBUMIN SERUM P2435,95.50
UPMC McKeesport,ALBUMIN SERUM P4556,95.50
UPMC McKeesport,ALBUMIN SERUM PNL 2260,95.50
UPMC McKeesport,ALBUMIN SYNOVIAL FLUID,88.50
UPMC McKeesport,ALBUMIN URINE,61.00
UPMC McKeesport,ALBUT/IPRAP 3MG/.5MG/3ML SOLN,15.00
UPMC McKeesport,ALBUTEROL .083% 2.5MG/3ML INH,5.75
UPMC McKeesport,ALBUTEROL .083% INH PER MG,6.00
UPMC McKeesport,ALBUTEROL 2.5MG/0.5ML INHAL,9.25
UPMC McKeesport,ALBUTEROL 90MCG INH 8.5GM,147.00
UPMC McKeesport,ALCOHOL BIOMARKERS P4015,519.00
UPMC McKeesport,ALCOHOL METHYL,240.00
UPMC McKeesport,ALCOHOL PROFILE BLOOD,240.00
UPMC McKeesport,ALCOHOL URINE QUALITATIVE,361.00
UPMC McKeesport,ALCOHOL/ETHYL/BLOOD,361.00
UPMC McKeesport,ALDOLASE,90.75
UPMC McKeesport,ALDOSTERONE,336.00
UPMC McKeesport,ALDOSTERONE 24HR URINE,336.00
UPMC McKeesport,ALDOSTERONE P2402,336.00
UPMC McKeesport,ALENDRONATE 35MG TABLET,7.00
UPMC McKeesport,ALENDRONATE 70MG TAB,4.50
UPMC McKeesport,ALFUZOSIN ER 10MG TABLET,21.50
UPMC McKeesport,ALKALINE PHOSPHATASE,109.00
UPMC McKeesport,ALKALINE PHOSPHATASE BONE,109.00
UPMC McKeesport,ALKALN PHOSPHTASE ISOENZ P1480,151.00
UPMC McKeesport,ALLERGEN COFFEE IGE,73.75
UPMC McKeesport,ALLERGEN CULT RYE GRASS IGE,73.75
UPMC McKeesport,ALLERGEN LATEX IGE,73.75
UPMC McKeesport,ALLERGEN RED MAPLE IGE,73.75
UPMC McKeesport,ALLERGEN SINGLE ORDER,73.75
UPMC McKeesport,ALLERGEN SPEC IGE EA P1235,73.75
UPMC McKeesport,ALLERGEN SPECF IGE/QUANT P1524,73.75
UPMC McKeesport,ALLERGEN SPECIFIC IGE P0412,73.75
UPMC McKeesport,ALLERGEN SPECIFIC IGE P0722,73.75
UPMC McKeesport,ALLERGEN SPECIFIC IGE P0861,73.75
UPMC McKeesport,ALLERGEN STEMPHYLIUM BOTRYOSUM,73.75
UPMC McKeesport,ALLERGEN/EGGPLANT IGE,73.75
UPMC McKeesport,ALLERGY PANEL MOLD GROUP,73.75
UPMC McKeesport,ALLERGY PN 12 ANIMAL GROUP,73.75
UPMC McKeesport,ALLERGY/SHELLFISH PANEL,73.75
UPMC McKeesport,ALLOGRAFT CERV LIFENET VARSZ,3657.00
UPMC McKeesport,ALLOGRAFT C-RING STRYKER VARSZ,4131.00
UPMC McKeesport,ALLOGRAFT FROZN CERV LIFE VARS,3600.00
UPMC McKeesport,ALLOGRAFT FT CERV 5X7MM TRIMED,4225.00
UPMC McKeesport,ALLOGRAFT FT CERV 6X8MM LIFENT,3600.00
UPMC McKeesport,ALLOPURINOL 100MG TAB,1.50
UPMC McKeesport,ALLOPURINOL 300MG TAB,1.00
UPMC McKeesport,ALMOND ALLERGEN PNL 5405,73.75
UPMC McKeesport,ALPHA FETOPROTEIN MATRN SERUM,275.00
UPMC McKeesport,ALPHA FETOPROTEIN TUMOR MARKER,275.00
UPMC McKeesport,ALPHA SUBUNIT,165.00
UPMC McKeesport,ALPHA-1 ANTITRYPSIN,253.00
UPMC McKeesport,ALPHA-1 ANTITRYPSIN PNL 5257,158.00
UPMC McKeesport,ALPHA-FETOPROTEIN SERUM P0493,275.00
UPMC McKeesport,ALPHAGAN OPTH SOL .2% 5ML OPH,98.75
UPMC McKeesport,ALPRAZOLAM (XANAX) QUANT,253.00
UPMC McKeesport,ALPRAZOLAM .5MG TAB,4.50
UPMC McKeesport,ALPRAZOLAM 0.25MG TAB TAB,4.50
UPMC McKeesport,ALPRAZOLAM QN URINE,253.00
UPMC McKeesport,ALTEPLASE 1 MG VIAL,376.00
UPMC McKeesport,ALTEPLASE 100 MG VIAL,37604.00
UPMC McKeesport,ALTEPLASE 1MG INJ,376.00
UPMC McKeesport,ALTEPLASE 2MG CATHFLO VIAL INJ,753.00
UPMC McKeesport,ALTERNARIA TENUIS PNL 2515,73.75
UPMC McKeesport,ALTERNARIUS T ALLERGEN,73.75
UPMC McKeesport,ALTERNARUS TENIUS ALLERGN 5340,73.75
UPMC McKeesport,ALUMINUM SERUM,277.00
UPMC McKeesport,AM CORTISOL,164.00
UPMC McKeesport,AMANTADINE 100MG HCL TAB,4.75
UPMC McKeesport,AMANTADINE 100MG/10ML SYR  LIQ,5.00
UPMC McKeesport,AMANTADINE HCL 100MG CAP,5.25
UPMC McKeesport,AMIKACIN,173.00
UPMC McKeesport,AMIKACIN 1GM INJ,104.00
UPMC McKeesport,AMIKACIN LEVEL,173.00
UPMC McKeesport,AMIKACIN PEAK,173.00
UPMC McKeesport,AMIKACIN SULFATE 500MG 2ML INJ,52.75
UPMC McKeesport,AMIKACIN TROUGH,173.00
UPMC McKeesport,AMILODIPINE 10MG,27.75
UPMC McKeesport,AMILORIDE HCL 5MG TAB,7.25
UPMC McKeesport,AMINO ACIDS PLASMA,191.00
UPMC McKeesport,AMINO ACIDS QUAN 6 OR > P2108,191.00
UPMC McKeesport,AMINOLEVULONIC ACID 24HR URINE,121.00
UPMC McKeesport,AMINOPHYLLIN 500MG/20ML INJ,12.75
UPMC McKeesport,AMIODARONE & METABOLITE,181.00
UPMC McKeesport,AMIODARONE 150MG/100ML,776.00
UPMC McKeesport,AMIODARONE 200MG TAB,6.75
UPMC McKeesport,AMIODARONE 360MG/200ML PMX,1759.00
UPMC McKeesport,AMIODARONE HCL 50MG/ML 3ML INJ,776.00
UPMC McKeesport,AMITRIPTYLINE 10MG TAB,4.50
UPMC McKeesport,AMITRIPTYLINE 25MG TAB,4.50
UPMC McKeesport,AMITRIPTYLINE 50MG TAB,4.50
UPMC McKeesport,AMITRIPTYLINE 75MG TAB,4.50
UPMC McKeesport,AMITRIPTYLINE PNL2557,134.00
UPMC McKeesport,AMITRYPTYLINE PNL 1710,134.00
UPMC McKeesport,AMLODIPINE 2.5MG TAB,14.50
UPMC McKeesport,AMLODIPINE 5MG TAB,20.00
UPMC McKeesport,AMMONIA,136.00
UPMC McKeesport,AMMONIA P7923,136.00
UPMC McKeesport,AMMONIUM LACT 12% LOTION 225GM,28.25
UPMC McKeesport,AMNIOBAND 10 MM,572.00
UPMC McKeesport,AMNIOBAND 14 MM,881.00
UPMC McKeesport,AMNIOBAND 16 MM,1715.00
UPMC McKeesport,AMNIOBAND 18 MM,2001.00
UPMC McKeesport,AMNIOBAND 2CMX3CM,3216.00
UPMC McKeesport,AMNIOBAND 3CMX4CM,3858.00
UPMC McKeesport,AMOX-CLV 200-28.5MG/5ML50ML,21.50
UPMC McKeesport,AMOXIC TR/K CLAVUL 400 57MG/5M,9.75
UPMC McKeesport,AMOXICILLIN  IGE,73.75
UPMC McKeesport,AMOXICILLIN 125MG/5ML SUSP,11.75
UPMC McKeesport,AMOXICILLIN 125MG/ML SUS 80ML,5.25
UPMC McKeesport,AMOXICILLIN 250MG CAP,4.50
UPMC McKeesport,AMOXICILLIN 250MG CAP 2PAK,1.00
UPMC McKeesport,AMOXICILLIN 250MG/5ML ORAL,4.50
UPMC McKeesport,AMOXICILLIN 500MG CAP,3.75
UPMC McKeesport,AMOXICILLIN 875MG TAB,12.00
UPMC McKeesport,AMOXICILLIN SUSP 125MG/5ML,1.50
UPMC McKeesport,AMOXICILLIN TRIH 400MG/5ML SUS,18.75
UPMC McKeesport,AMPHETAMINE ASP/AMP SUL 20MG,10.50
UPMC McKeesport,AMPHETAMINE BLOOD,158.00
UPMC McKeesport,AMPHETAMINE CONFIRM/URINE,519.00
UPMC McKeesport,AMPHOTERICIN B LIPOSOME 50MG,2841.00
UPMC McKeesport,AMPICILLIN 0.125GM VIAL,78.25
UPMC McKeesport,AMPICILLIN 1GM INJ,155.00
UPMC McKeesport,AMPICILLIN 250MG CAP,1.00
UPMC McKeesport,AMPICILLIN 2GM INJ,313.00
UPMC McKeesport,AMPICILLIN 500MG CAP,4.50
UPMC McKeesport,AMPICILLIN 500MG INJ,78.25
UPMC McKeesport,AMPICILLIN SUBLACTAM 1.5GM INJ,90.75
UPMC McKeesport,AMPICILLIN SUBLACTAM 3GM INJ,182.00
UPMC McKeesport,AMPLATZER GUIDEWIRES,230.00
UPMC McKeesport,AMPLIFIED PROBE TECH P1688,1091.00
UPMC McKeesport,AMPUTATION TOE IP JOINT,4162.00
UPMC McKeesport,AMVISC INTRAOCULAR OPH,471.00
UPMC McKeesport,AMYLASE,191.00
UPMC McKeesport,AMYLASE FLUID C,191.00
UPMC McKeesport,AMYLASE P4730,191.00
UPMC McKeesport,AMYLASE RANDOM URINE,191.00
UPMC McKeesport,AMYLASE URINE,191.00
UPMC McKeesport,AMYLASE/LIPAS/PROT 180-36-114,28.50
UPMC McKeesport,AMYLOID PROTEIN ID LC/MS/MS,100.00
UPMC McKeesport,ANA (ANTI NUCLEAR ANTIBODIES),460.00
UPMC McKeesport,ANA ANTI NUCLEAR ABS PNL 5396,460.00
UPMC McKeesport,ANA ANTIBODIES P4769,460.00
UPMC McKeesport,ANA IFA W/RFLX TITR/CASCADE,460.00
UPMC McKeesport,ANA IFA W/RFX TITR/PAT/SCL ABS,460.00
UPMC McKeesport,ANA SCR IFA W/RFX TITR&PAT/MIX,460.00
UPMC McKeesport,ANA TITER & PATTERN,147.00
UPMC McKeesport,ANA TITER AND PATTERN,147.00
UPMC McKeesport,ANA W/REFLEX LUPUS/SLE,460.00
UPMC McKeesport,ANACHOICE SPEC ANTI CASCADING,460.00
UPMC McKeesport,ANAEROBIC DEFIN ID,172.00
UPMC McKeesport,ANAEROBIC IDENTIFICATION,172.00
UPMC McKeesport,ANAFRANIL 25MG CAP,24.75
UPMC McKeesport,ANAGRELIDE .5 MG CAP,1.00
UPMC McKeesport,ANASTOMOTIC DEV CV FLXBL MEDTR,9366.00
UPMC McKeesport,ANASTROZOLE 1MG TAB,42.75
UPMC McKeesport,ANBESOL GEL 9GM,16.75
UPMC McKeesport,ANCA SCR W/MPO & PR3 W/RE TITR,94.00
UPMC McKeesport,ANCA/VASCULITIDES,94.00
UPMC McKeesport,ANCHOR BIOCORKSCREW 6.5MM ARTH,1330.00
UPMC McKeesport,ANCHOR BIO-CORKSCREW ARTH VARS,1268.00
UPMC McKeesport,ANCHOR BIOSUTURE TAK 3MM ARTHR,1049.00
UPMC McKeesport,ANCHOR CORKSCREW FIBR ART VARS,1156.00
UPMC McKeesport,ANCHOR LASSO ARTHREX VARSZ,714.00
UPMC McKeesport,ANCHOR PEG GLENOID CR DEPU VAR,7781.00
UPMC McKeesport,ANCHOR QUICK GII PLUS MITEK,1608.00
UPMC McKeesport,ANCHOR SUT ACHL SPDBRDG ARTH,6288.00
UPMC McKeesport,ANCHOR SUT ANK FUS LG ARTHREX,455.00
UPMC McKeesport,ANCHOR SUT BIO 4.75X22MM ARTH,1490.00
UPMC McKeesport,ANCHOR SUT BIO VARS ARTHREX,1438.00
UPMC McKeesport,ANCHOR SUT FIBERTAK 1 ARTH,1431.00
UPMC McKeesport,ANCHOR SUT FT 4.5X14MM ARTHREX,1269.00
UPMC McKeesport,ANCHOR SUT SFT TISS ARTHREX,1743.00
UPMC McKeesport,ANCHOR SUT SFT TISS BIOAB ARTH,1561.00
UPMC McKeesport,ANCHOR SUT W/2 FIBRWR 3MM ARTH,1287.00
UPMC McKeesport,ANCHOR SUTURE 3X12.7MM ARTH,1352.00
UPMC McKeesport,ANCHOR SUTURE ARTHREX VARS,1473.00
UPMC McKeesport,ANCHOR SUTURE BIO ARTHRX VARS,1914.00
UPMC McKeesport,ANCHOR SUTURE BIOCOMP ARTH,1224.00
UPMC McKeesport,ANCHOR SUTURE BIOCOMP ARTHRE,1288.00
UPMC McKeesport,ANCHOR SUTURE CORKSCREW ARTHRX,1312.00
UPMC McKeesport,ANCHOR SUTURE PUSHLK ARTHREX,1830.00
UPMC McKeesport,ANDROSTENEDIONE,192.00
UPMC McKeesport,ANES .9% NS 500CC,49.25
UPMC McKeesport,ANES 5% DEXTROSE 250CC,186.00
UPMC McKeesport,ANES 5% DEXTROSE 500CC,66.00
UPMC McKeesport,ANES 5% D-O.45NS 500CC,45.50
UPMC McKeesport,ANES BRACHIAL PLEXUS BLOCK,2704.00
UPMC McKeesport,ANES LACTATED RINGERS 1000CC,61.00
UPMC McKeesport,ANES PERCUTANOUS CATH INTRODCR,134.00
UPMC McKeesport,ANES SINGLE SHOT SCIATIC NERVE,1925.00
UPMC McKeesport,ANES-LOCAL-EOR,39.50
UPMC McKeesport,ANESTHESIA CHARGES P/15MIN,260.00
UPMC McKeesport,ANEURX AORTIC EXT CUFF 3.75CM,27060.00
UPMC McKeesport,ANEURX BIF MEDTR VARS,28307.00
UPMC McKeesport,ANEURX BIFURCATED 13.5CM GRAFT,34526.00
UPMC McKeesport,ANEURX BIFURCATED 16.5CM GRAFT,99814.00
UPMC McKeesport,ANEURX ILIAC 11.5 CM GRAFT,32323.00
UPMC McKeesport,ANEURX ILIAC 8.5 CM GRAFT,8681.00
UPMC McKeesport,ANEURX ILIAC EXT CUFF 5.5CM,7903.00
UPMC McKeesport,ANEURX LIMB MEDTRONIC,8687.00
UPMC McKeesport,ANEURX MEDTRONIC,35828.00
UPMC McKeesport,ANEURXQ MEDTRONIC VARS,7905.00
UPMC McKeesport,ANG  EXST CTH F/U TX NOT THROM,1043.00
UPMC McKeesport,ANGIO EXTREMITY BI,3388.00
UPMC McKeesport,ANGIO EXTREMITY UNI,3371.00
UPMC McKeesport,ANGIO PELVIC SEL/SUPRA,2833.00
UPMC McKeesport,ANGIO PULMONARY NON SEL,3392.00
UPMC McKeesport,ANGIO PULMONARY SEL BI,3168.00
UPMC McKeesport,ANGIO PULMONARY SEL UNI,4341.00
UPMC McKeesport,ANGIO SEL EA ADD VES AF EXAM,2900.00
UPMC McKeesport,ANGIO VISC SEL/SUPRASEL,3371.00
UPMC McKeesport,ANGIOGUARD EMBOLI CAPTURE,6893.00
UPMC McKeesport,ANGIOSEAL,894.00
UPMC McKeesport,ANGIOTENSIN CONVERTING ENZYME,124.00
UPMC McKeesport,ANGIOTENSIN II PLASMA,181.00
UPMC McKeesport,ANGIOTENSIN-1 CONVERTING ENZY,124.00
UPMC McKeesport,ANKLE 2 VIEWS,497.00
UPMC McKeesport,ANKLE BRACHIAL INDEX BILAT,1647.00
UPMC McKeesport,ANKLE COMP MIN 3 VIEWS,497.00
UPMC McKeesport,ANKLE DISLOCATION W/ANESTHESIA,3109.00
UPMC McKeesport,ANKLE DISLOCATION WO ANESTH,2922.00
UPMC McKeesport,ANKLE SPLINT GAUNTLET,355.00
UPMC McKeesport,ANKLE SPLINT STIRRUP (AIR/GEL),357.00
UPMC McKeesport,ANNULOPLASTY STJUDMED VAR,7807.00
UPMC McKeesport,ANORO ELLIPTA 62.5/25MCG INH,218.00
UPMC McKeesport,ANTABUSE 250 MG (WPIC) TAB,3.25
UPMC McKeesport,ANTERIOR EYE PROCEDURE,842.00
UPMC McKeesport,ANTI DNA ANTIBODY DOUBLE STRAN,106.00
UPMC McKeesport,ANTI FACTOR VIII,62.75
UPMC McKeesport,ANTI THYROID PEROXIDASE AB,354.00
UPMC McKeesport,ANTI-ADRENAL ANTIBODY PNL 2920,109.00
UPMC McKeesport,ANTIBODY ID P8773,94.00
UPMC McKeesport,ANTIBODY ID PANEL ENZYME/AGT,280.00
UPMC McKeesport,ANTIBODY ID PANEL LISS/AGT,229.00
UPMC McKeesport,ANTIBODY ID PANEL PEG/AGT,229.00
UPMC McKeesport,ANTIBODY ID PANEL PREWARM/AGT,229.00
UPMC McKeesport,ANTIBODY IDENT PANEL F/ELUATE,229.00
UPMC McKeesport,ANTIBODY INFLUENZA VIRUS P0786,143.00
UPMC McKeesport,ANTIBODY SCREEN,155.00
UPMC McKeesport,ANTIBODY TITRATION,62.75
UPMC McKeesport,ANTICARDIOLIPIN,275.00
UPMC McKeesport,ANTICARDIOLIPIN ANTIBODY IGA,275.00
UPMC McKeesport,ANTI-COAG CITRATE DEXT 20ML,8.75
UPMC McKeesport,ANTICOAG MGMT PT WARFARIN,1916.00
UPMC McKeesport,ANTIDIURETIC HORMONE,465.00
UPMC McKeesport,ANTIFUNGAL LEVEL POSACONAZOLE,181.00
UPMC McKeesport,ANTIFUNGAL SERUM/ITRACONAZOLE,181.00
UPMC McKeesport,ANTIFUNGAL VORICONAZOLE HPLC,181.00
