Standard Hospital Charge, Unit Price 
ABLATION RENAL TUMOR UNILATERAL PERQ CRYOTHERAPY," $7,596.00 "
"ABLATION THERAPPY BONE TUMOR(S), PERQ RADIOFREQ"," $6,448.00 "
"ABLATION,OPEN,1+ LIVER TUMOR(S),PERCUTANEOUS, RADIOFREQ"," $6,013.00 "
"ABLATION,OPEN,1+ LIVER TUMOR(S),RADIOFREQ"," $2,998.00 "
"ABRASION,EACH ADDL LESION,4 OR LESS", $228.00 
ABRE SELF EXPANDING STENT (STUDY) G160163/A001," $1,360.00 "
"ABSCESS IMAGING, WHOLE BODY"," $1,745.00 "
ACCESS SET  TIPSS," $1,627.00 "
ACCESS SET  TIPSS," $1,640.00 "
ACCESS SET SUPPLY L, $211.00 
ACCESS SET SUPPLY M," $4,756.00 "
ACCESS SET TRANSJUGULAR," $1,358.00 "
ACCESS SET TRANSJUGULAR," $1,358.00 "
ACCESSORIES SUPPLY L, $155.00 
ACCESSORIES SUPPLY M," $2,182.00 "
ACCUMED WRIST POSITIONING SPLINT, $155.00 
ACNE SURGERY OF SKIN ABSCESS, $350.00 
ACOUSTIC IMMITTANCE TEST TYMPANOMETRY/ACOUSTIC REFLEX/DECAY, $320.00 
ACOUSTIC REFLEX TESTING, $88.00 
ACTICOAT-LARGE, $381.00 
ACTICOAT-MEDIUM, $289.00 
ACTICOAT-XL, $467.00 
ACTIVATED COAGULATION TIME, $65.00 
ACUMEN C315J 7FR 30CM," $1,991.00 "
ACUMEN C315S10 7FR 30CM," $1,991.00 "
ACUMEN C315S5 7FR 30CM," $1,952.00 "
ACUTE - CAPD TREATMENT, $280.00 
ACUTE - CCPD TREATMENT, $527.00 
ACUTE GI BLOOD LOSS IMAGING," $1,126.00 "
AD ELBOW JOINT DC/LCK ADJ ELBOW EACH, $321.00 
AD ENDO SYS BK FLEX PROTECT, $903.00 
AD ENDOSKELAL SYS HI ACT KNEE," $5,389.00 "
AD L.EXT ABOVE KNEE-PELVIC BELT  PA, $269.00 
AD L.EXT-TEST SOCKET- HIP DISA, $979.00 
AD L.EXT-TOTAL CONTACT ABOVE KNEE-KNEE DIS, $771.00 
AD LE BK/AK SUSP LOCK MECHA, $819.00 
AD LE ENDO SY ABOVE KNEE-KNEE DIS DSNT 4BA," $2,442.00 "
AD LE N-CONG W-W/O LOCK MEC," $1,987.00 "
AD LE POLYCENT KNEE JT EACH, $332.00 
AD LE PROSTH USR ADJ HL HGT," $2,868.00 "
AD LE SCK INSRT CONG/ATYPIC," $1,974.00 "
AD LO EXT PROSTH  ANY MT EA, $202.00 
AD LOW EXT ORTHO CUSTM ONLY, $190.00 
AD LOW EXT PROSTH ENDOS ANY," $35,895.00 "
AD TO CTLSO  LMBAR RIB PAD, $148.00 
AD TO ELB JT DIC/DIAL EA JT, $573.00 
AD TO TLSO ANT THORACIC DRT, $153.00 
AD TO TLSO ANT THORACIC EXT, $357.00 
AD TO TLSO LAT TROCHANTERIC, $157.00 
AD TO TLSO LUMBAR DEROTATI, $182.00 
AD TO TLSO RIB GUSSET ELAST, $147.00 
AD UE ORTH S-INT MLD BEL EL, $123.00 
AD UE ORTH S-INTR  ABVE ELB, $142.00 
AD UP EXT ELBW ABV/BELW LCK," $1,264.00 "
AD UP EXT PROSTH GLOVE PRFB, $331.00 
"ADAPT/EXT, PACING/NEURO LEAD L", $494.00 
"ADAPT/EXT, PACING/NEURO LEAD M"," $1,342.00 "
ADAPTOR/CONNECTOR SUPPLY L, $109.00 
ADAPTOR/CONNECTOR SUPPLY M," $1,360.00 "
ADD AK OR HIP DISARTICULATI, $211.00 
ADD ENDO KNEE SHIN SYSTEM-HIP, $487.00 
ADD ENDO KNEE-SHIN SGLE AX," $3,089.00 "
ADD ENDO SYS AK FLEX PROTCT," $1,672.00 "
ADD ENDOSKEL. KNEE-SHIN SYS," $5,745.00 "
ADD GRAPHITE KNEE SNS CONTR," $4,530.00 "
ADD KNEE JT DISC/DIAL LCK E, $306.00 
ADD KNEESHIN FLEXADJ L5845," $5,607.00 "
ADD KNEESHIN W/WO ADJ L5848," $1,621.00 "
ADD LE FOOT PLATE MOLDED, $635.00 
ADD LE INSRT W/LOCK L5673," $1,320.00 "
ADD LE INSRT W/O LOCK L5679," $1,039.00 "
ADD LOW EXT KNEE-SHIN FLEX," $17,018.00 "
ADD LOWER EXT ENDOSKEL SYS," $56,729.00 "
ADD LOWER EXT KNEE-SHIN SYS," $5,672.00 "
ADD LOWER LIMB PROS VACUM," $6,438.00 "
ADD TO CTLSO  THORACIC PAD, $180.00 
"ADD TO ELB JOINT, DISC/DIAL LOCK FOR ADJ EB FLEX, EACH", $306.00 
ADD TO L. EXT CAT CAM-L5649," $3,881.00 "
ADD TO L. EXT FLEX IN SKT," $2,251.00 "
ADD TO LE AK OR KNEE DISAR, $710.00 
ADD TO LE AK PELVIC CONTROL, $262.00 
ADD TO LE BK ACRYLIC SOCKET, $514.00 
ADD TO LE LACER MOLD TO PT, $612.00 
ADD TO LE MOLDED INNER BOOT, $941.00 
ADD TO LE TC ANKLE JOINT, $195.00 
"ADD TO LE, REINFRCD SOL STIR(SCOTT-CRAIG)", $307.00 
ADD TO LE/AK OR KNEE DISARTIC, $188.00 
"ADD TO LOWER EXT, ABD BAR (BILAT HIP INVOLVEMENT), JOINTED, ADJ", $388.00 
"ADD TO LOWER EXTREMITY FRACTURE ORTH, ADJ MOTION KNEE, LERMAN TYPE", $233.00 
"ADD TO UE ORTH, SFT INTRFCE FOR MLD PLSTIC, ABOVE EB", $146.00 
"ADD TO UE ORTH, SFT INTRFCE FOR MLD PLSTIC, BELOW EB", $135.00 
ADD TO UE ORTHOSIS SOCK FX, $100.00 
"ADD TO UE ORTHOSIS, NON-CORROSIVE FINISH, PER BAR", $103.00 
"ADD TO UP EXT JNT, WR/EB CNCNTRIC ADJ TORS STYLE CUSTOM", $729.00 
ADD TO UP LMB PROS MOT ROT THMB 110 DEG MOT ROT," $10,538.00 "
ADD UP LMB PROS GST CNT VIA I-MO TECH," $7,015.00 "
ADD UP LMB PROS MOT ROT THMB 110 DG MOT ROT," $5,341.00 "
ADD UP LMB PROS PRX CNT VIA GRP CHP BLTH," $3,440.00 "
ADD UP PROSTH BELOW ABOVE ELBOW LOCK MECH, $949.00 
ADD W/MIN HIGH ACTIVE FRAME," $6,285.00 "
"ADD, EXT WARR, TOUCH CARE COV -YR 2"," $6,437.00 "
ADD-BAND APPLIERS-L7499, $37.00 
ADD-HOOK RUBBERS DOZEN, $4.00 
AD-DISCONNECT LOCK WRIST UN, $354.00 
"ADDITION TO CTLSO OR SCOLIOSIS ORTHOSIS, STERNAL PAD", $148.00 
"ADDITION TO ELBOW JOINT, LOCK; DROP LOCK, EACH", $137.00 
"ADDITION TO LE, BK, SUCTION SOCKET"," $1,251.00 "
ADDITIONAL UPPER EXTREMITY ABOVE ELBOW ACRYLIC, $896.00 
ADDITIONAL UPPER EXTREMITY ABOVE ELBOW ULTLITE LT, $537.00 
ADDITIONAL UPPER EXTREMITY BELOW ELBOW/WRIST ACRYLIC, $589.00 
ADDITIONAL UPPER EXTREMITY PROSTHESIS BELOW ELBOW/WRIST LT, $500.00 
ADDITIONAL VENOGRAPHY," $1,676.00 "
ADD-LIFT ASSIST FOR ELBOW, $316.00 
ADD-REMOVABLE INSERT  EACH, $594.00 
ADD-STD CONTROL CABLE EXTRA, $129.00 
ADD-TEST SKT ELBOW DISARTIC, $554.00 
ADD-TEST SKT WRIST DISARTIC, $501.00 
ADD-TEST SKTSHOULDER DISART," $1,834.00 "
ADD-Y STRAP (PLASTIC), $40.00 
AD-HARNESS-CHEST SADLE TYPE, $361.00 
AD-HEAVY DUTY CONTROL CABLE, $171.00 
ADIT TO TLSO LAT THORAC EXT, $404.00 
ADIT.DISCON.INSERT LCK.WRST, $108.00 
"ADJ GASTRC BAND DIAM VIA PORT,SUBQ INJ OR ASP", $361.00 
ADJ STATIC-PROGRESSI JOINT, $687.00 
"ADJACENT TISSUE TRANSFER ANY AREA, 30.1-60 SQ CM"," $3,661.00 "
"ADJACENT TISSUE TRANSFER ANY AREA, EACH ADDTL 30.0 SQCM"," $3,076.00 "
"ADJACENT TISSUE TRANSFER EYELID, NOSE, EAR, LIP 10 SQ CM OR LESS"," $3,029.00 "
"ADJACENT TISSUE TRANSFER EYELID, NOSE, EAR, LIP 10.1-30 SQ CM"," $3,046.00 "
"ADJACENT TISSUE TRANSFER HEAD,FACE,HAND <10 SQCM"," $2,945.00 "
"ADJACENT TISSUE TRANSFER HEAD,FACE,HAND 10.1-30 SQ CM"," $3,231.00 "
"ADJACENT TISSUE TRANSFER SCALP, ARMS, LEGS, 10 SQCM OR LESS"," $2,788.00 "
"ADJACENT TISSUE TRANSFER SCALP, ARMS, LEGS, 10.1-30.0 SQ CM"," $3,231.00 "
ADJACENT TISSUE TRANSFER TRUNK 10 SQCM OR LESS," $2,316.00 "
"ADJACENT TISSUE TRANSFER TRUNK, 10.1-30.0 SQ CM"," $3,231.00 "
ADULT RESUSCITATION BAG, $98.00 
AFO  WALK BOOT TYPE CUS FAB," $2,566.00 "
AFO ANK GAUNTLE PRE FAB F&A, $160.00 
AFO DOUBLE BAR FREE PLANTAR, $715.00 
AFO PLAST/OTH MATL CUST FAB, $902.00 
AFO SPRAL PLASTC/OTH PREFAB," $1,408.00 "
AFO/IRM/PLASTIC/CUSTOM," $1,081.00 "
AICD DVAB1D1 VISIA MEDTRONIC," $30,553.00 "
AICD LEAD SUBQ Q TRAK ELECTRODE," $14,561.00 "
AICD SGL CHAMBER DYNAGEN BOST SCI," $28,647.00 "
AICD SUBQ SQ-RX PULSE GENERATOR," $53,413.00 "
"AICD, DUAL CHAMBER H"," $35,539.00 "
"AICD, OTHER THAN SING/DUAL H"," $50,073.00 "
AIR PLETHYSMOGRAPHY APG, $867.00 
AIR/CONTRAST INJECT INTO ABDOMEN, $359.00 
AIRWAY BIOFILM REMOVAL, $350.00 
AK MOLD SCK OPN END SGL AXS," $6,108.00 "
AK MOLDED SOCKET SGL AXIS," $5,649.00 "
AK NO KNEE JOINT W/FT BLKS," $4,307.00 "
AK OR HIP DISARTIC.ALIGNABL, $853.00 
AK ULTRA-LIGHT MATERIAL," $1,249.00 "
ALL ENDO LE AXIAL ROTATIUNT," $1,035.00 "
ALL LE MULTI AXIAL ANKLE/FT," $3,924.00 "
ALL LE PROST FLEX-WALK SYS," $5,403.00 "
ALL LE PROSTH FLEX KEEL FT, $642.00 
ALL LE PROSTH SHANKFOOT SYS," $11,715.00 "
ALLERGY IMMUNO TREATMENT 2/MRE INJ, $80.00 
ALLERGY IMMUNO TREATMENT SINGL INJ, $53.00 
"ALLERGY SKIN TEST W/ ALLGIC EXTRACTS,DELAYED", $96.00 
ALLOSOURCE FROZEN HOMOGRAF TISS PER SQ INCH, $72.00 
ALPHA VOLUME MANAGEMENT PADS, $49.00 
AMB BLD PRESSURE MONITORING, $239.00 
AMB CONT GLUC MON-PAT PROV EQUIP, $497.00 
"AMNIOCENTESIS,DIAGNOSTIC", $981.00 
"AMNIOCENTESIS,THERAPEUTIC AMNIOTIC FLUID REDUCTION", $795.00 
AMNIOTIC MEMBRANE PROKERA," $2,990.00 "
AMPLTZ SEP OCC CRIBRIFORM," $17,606.00 "
AMPLTZ SIZING BALL 18MM-AGA," $1,018.00 "
AMPLTZ SIZING BALL 24MM-AGA," $1,018.00 "
AMPUTATION FINGER/THUMB," $3,534.00 "
ANAL IPG DEEP BRAIN;1ST HR, $666.00 
ANAL NEUROSTIM CMPLX;AD 30M, $599.00 
ANAL NEUROSTIM SIMPLE SUBSQ, $740.00 
ANAL NEUROSTIM SMPL/CMPLX, $466.00 
ANAL PRESSURE RECORD," $1,412.00 "
ANAL/URINARY MUSCLE STUDY, $863.00 
"ANAL/URINARY MUSCLE STUDY,NEEDLE", $440.00 
ANALYZE INFUSION PUMP, $340.00 
ANALYZE INFUSION PUMP+REPROGRAM, $747.00 
ANALYZE INFUSION PUMP+REPROGRAM AND REFILL," $1,071.00 "
"ANALYZE INFUSION PUMP+REPROGRAM AND REFILL, REQ PHY", $416.00 
ANESTH COMPLEX 1ST 30 MIN," $1,806.00 "
ANESTH COMPLEX EA ADDTL MIN, $12.00 
ANESTH EPIDURAL 1ST 30 MIN, $832.00 
ANESTH EPIDURAL EA ADDTL MN, $2.00 
ANESTH REG 1ST 30 MIN," $1,380.00 "
ANESTH REG EA ADDTL MIN, $4.36 
ANESTH SPINAL 1ST 30 MIN, $752.00 
ANESTH SPINAL EA ADDTL MIN, $8.16 
ANESTH/EQUIP/SUP, $326.00 
ANESTHESIA/RESP SUPPLY L, $331.00 
ANGIO AORTOBIFEMORAL W CATH," $3,539.00 "
ANGIO AORTOGRAM ABDOMINAL SERIALOGRAPHY," $4,201.00 "
ANGIO AORTOGRAM THORACIC SERIAL," $5,544.00 "
ANGIO EACH ADDITIONAL SELECTIVE VESSEL," $2,700.00 "
ANGIO EXTERMITY BILATERAL," $3,407.00 "
ANGIO EXTREMITY UNILATERAL," $3,697.00 "
ANGIO INTERNAL MAMMARY," $3,241.00 "
ANGIO PELVIS," $5,544.00 "
ANGIO PULMONARY BILATERAL NONSELECTIVE," $1,906.00 "
ANGIO PULMONARY BILATERAL SELECTIVE," $3,486.00 "
ANGIO PULMONARY UNILATERAL SELECTIVE," $3,241.00 "
ANGIO SPINAL SELECTIVE," $6,919.00 "
ANGIO VISCERAL SELECTIVE/SUBSELECTIVE," $5,544.00 "
"ANGIOGRAM,F/U STUDY,CATH THERAPY/EMBOLIZATION/INFUSION"," $1,458.00 "
ANGIOVAC CANNULA & CIRCUIT KIT," $24,102.00 "
ANKL CNTRL ORTHO PREFAB F&A, $173.00 
ANKL CNTRL ORTHO PREFAB F&A, $188.00 
"ANOGENITAL EXAM, MAGNIFIED FOR SUSPTECTED TRAUMA", $161.00 
ANOSCOPY AND BIOPSY," $1,335.00 "
ANTEPARTUM HEAD MANIPULATION," $2,273.00 "
AORTIC ANCHOR DETACHMENT DEVICE," $14,907.00 "
AORTIC ANCHOR GUIDE," $5,795.00 "
AORTIC GUIDING CATHETER," $6,870.00 "
AORTIC VALVULOPLASTY," $10,386.00 "
APC PROBE, $768.00 
APC PROBE 3.2MM X 220CM, $792.00 
"APP SKIN SUB GRAFT,TRUNK,ARMS,LEG, TOTAL SURFACE AREA; 1ST 25 SQCM"," $1,593.00 "
APPLICATION OF THE ON-BODY INJECTOR, $109.00 
"APPLY CAST,FINGER (CONTRACTURE)", $238.00 
"APPLY FINGER SPLINT,STATIC", $217.00 
APPLY FOREARM CAST, $377.00 
"APPLY FOREARM SPLINT,STATIC", $237.00 
APPLY HAND/WRIST CAST, $341.00 
APPLY LONG ARM CAST, $540.00 
APPLY LONG ARM SPLINT, $311.00 
APPLY LONG LEG CAST, $568.00 
"APPLY LONG LEG CAST,CYLINDER", $591.00 
"APPLY LONG LEG CAST,WALKER", $656.00 
APPLY LONG LEG SPLINT, $257.00 
APPLY LOWER LEG SPLINT, $227.00 
APPLY OF CLUBFOOT CAST, $340.00 
APPLY OF PASTE BOOT, $256.00 
APPLY RIGID LEG CAST, $468.00 
APPLY SHORT LEG CAST, $459.00 
"APPLY SHORT LEG CAST,WALKER", $496.00 
AQUACEL AG EXTRA 4X5 IN, $34.00 
AQUAMANTYS BIPOLAR SEALER," $1,903.00 "
ARROW 6FR 5CM, $176.00 
ART LINE INSERTION, $691.00 
ARTERIAL CANNULA VENTED," $1,706.00 "
ARTERIAL PRESS MONITORING & MAINTENANCE, $69.00 
"ARTHROCENTESIS, ASP &/OR INJ,INTER JOINT OR BURSA; W U/S GUID, W PERM REC&RPT"," $1,567.00 "
"ARTHROCENTESIS, ASP &/OR INJ,MAJOR JOINT OR BURSA; W U/S GUID, W PERM REC&RPT"," $1,567.00 "
"ARTHROCENTESIS, ASP,&/OR INJ,SMALL JOINT OR BURSA; W U/S GUID, W PERM REC&RPT"," $1,567.00 "
ARTHROCENTESIS/INJECT LARGE JOINT/BURSA W/O US GUIDANCE, $811.00 
ARTHROCENTESIS/INJECT MEDIUM JOINT/BURSA W/O US GUIDANCE, $626.00 
ARTHROCENTESIS/INJECT SMALL JOINT/BURSA W/O US GUIDANCE, $673.00 
ARTHROGRAM OF ANKLE, $805.00 
ARTHROGRAM OF ELBOW, $554.00 
ARTHROGRAM OF HIP, $596.00 
ARTHROGRAM OF KNEE JOINT, $770.00 
ARTHROGRAM OF SHOULDER, $674.00 
ARTIC SUN DISPOSABLE SUPPLY," $3,446.00 "
ARTICULATING FINGER W MCP DRIVER & STRAP," $19,667.00 "
"ARTICULATING FINGER, EACH"," $12,413.00 "
"ARTIFICIAL INSEMINATION,INTRA-UTERINE", $335.00 
ASAP DELTA CUT, $79.00 
ASPIRATION AND/OR INJECTION THYROID CYST, $573.00 
ASPIRATION BLADDER INSERT SUPRAPUBIC CATHETER," $2,530.00 "
ASPIRATION MINI-BAL, $187.00 
ASPIRATION/INJECTION BONE CYST, $617.00 
ASPIRATION/INJECTION GANGLION CYST(S), $332.00 
ASSAY OF LEAD, $127.00 
ASSIST AND TRAIN PER 15 MIN, $104.00 
"ASSIST SILVER ABSORBENT PAD 24"" X 36""", $312.00 
AST OOCYTE FERT MICRO," $2,106.00 "
AST OOCYTE FERT MICRO>10OOC," $2,106.00 "
ATEC 12MM HANDPIECE PETITE," $1,004.00 "
ATEC 20MM HANDPIECE STANDARD," $1,035.00 "
ATEC CANISTER, $20.00 
ATEC TRIMARK SITE IDENTIFIER SHAPE 1, $246.00 
ATEC TRIMARK SITE IDENTIFIER SHAPE 2, $246.00 
ATHERECTOMY SYSTEM AND ACCESSORIES SUPPLY L, $330.00 
ATRIAL SEPTOSTOMY BLADE TY," $8,420.00 "
AUD REHAB EVAL 1ST HR, $360.00 
AUDIOGRAM  COMPREHENSIVE, $256.00 
AUDIOGRAM COMPREHENSIVE, $240.00 
"AUDIOMETRY, AIR & BONE", $189.00 
"AUDITORY EVOKED POTENTIAL, AUDIOMETRY &/OR TESTING OF CNS, LIMITED", $678.00 
"AUDITORY EVOKED POTENTIAL; AUDIOMETRY &/OR TESTING OF CNS, COMPR", $709.00 
AUDITORY REH EVAL 1ST HR, $384.00 
AUDITORY REHAB/PRELINGUAL HEARING LOSS, $465.00 
AUTOGRAFT TISSUE SERVICE, $161.00 
AUTOLOGOUS DONATION, $351.00 
B CELL CL (IGH GENE REARR), $866.00 
B.ELBOW EXT POWER-MYOELEC," $14,262.00 "
B.ELBW FLEX HINGE TRICEPS P," $3,983.00 "
BAG EXCHANGE INCL NURSING/TECH TIME, $544.00 
"BAKRI SUPPLY, BALLOON, OCCLUSION", $894.00 
BALLARD IN-LINE MAC CATH, $68.00 
BALLARD IN-LINE SUCTN CATH, $64.00 
BALLOON  CONQUEST, $850.00 
BALLOON  CORONARY CATHETER, $893.00 
BALLOON  ESOPH/PYLORIC/CLNIC, $611.00 
BALLOON  PYLORIC/ESOPHAGEAL, $405.00 
BALLOON 6MM/2CM TYSH MINI-NM, $841.00 
BALLOON AORTIC VALVULOPLASTY," $3,361.00 "
BALLOON ATRIAL SEPTOSTOMY," $9,989.00 "
BALLOON CATH ACE DILATION," $1,037.00 "
BALLOON CATH DRUG COATED SUPPLY L, $702.00 
BALLOON CATH -DRUG COATED SUPPLY M," $6,151.00 "
BALLOON CATH INTRA AORTIC," $2,960.00 "
BALLOON CATHETER SUPPLY L, $419.00 
BALLOON CATHETER SUPPLY M," $3,071.00 "
BALLOON CUTTING CORONARY CATH," $3,388.00 "
BALLOON DIAMOND 75CM, $743.00 
BALLOON DILATE URTRL STRIX  INCL IMAGE GUIDANCE," $1,579.00 "
"BALLOON DILATION INTRACRANIAL VASOSPASM, ADD DIFF FAMILY"," $1,279.00 "
"BALLOON DILATION INTRACRANIAL VASOSPASM, ADD SAME FAMILY"," $1,408.00 "
"BALLOON DILATION INTRACRANIAL VASOSPASM, INITIAL VESSEL"," $1,995.00 "
BALLOON DILATION OR EXTRACTION, $736.00 
BALLOON EXPULSION TEST, $277.00 
BALLOON FOGARTY, $451.00 
BALLOON FOX PTA CATH, $750.00 
BALLOON INFLATION DEVICE MFG 100851, $378.00 
BALLOON OCCLUSION CATH, $908.00 
BALLOON PERIPHERAL CATHETER, $950.00 
BALLOON PUMP  INTRA AORTIC," $1,421.00 "
BALLOON SCORING CATHETER," $2,915.00 "
BALLOON SEPTOSTOMY CATH-BRAUN, $928.00 
BALLOON SUPPORT PUMP EQUIP SURVIVAL FW," $3,760.00 "
BALLOON SUPPORT PUMP EQUIP SURVIVAL RW," $4,421.00 "
BALLOON SYMETRY CATH," $1,147.00 "
BALLOON WEDGE PRESSURE CATH, $333.00 
BALLOON XXL CATH," $1,124.00 "
BALLOON-PTA SMALL VESSEL," $1,248.00 "
"BANDAGE, ELASTIC W/VELCRO 3INX5YD STERILE", $3.00 
"BANDAGE, ELASTIC W/VELCRO 6INX5YD STERILE", $3.00 
"BANDAGE, FABRIC FLEXIBLE 1X3IN STERILE", $3.00 
BARD  ATLAS PTA BALLOON CATH," $1,285.00 "
BARI BEDSIDE RECLINER DAILY RENTAL, $215.00 
BARI DROP ARM COMMODE DAILY RENTAL, $42.00 
BARI SHOWERCHAIR DAILY RENTAL, $42.00 
BARI WHEELCHAIR DAILY RENTAL, $60.00 
"BARRIER, SKIN ZINC OXIDE SENSI-CARE 4OZ", $14.00 
BASIC RADIATION DOSIMETRY CALCULATION, $765.00 
BATTERY CHARGER VAD HEARTWARE," $14,737.00 "
BATTERY CLIP VAD HEARTMATE," $3,680.00 "
BE MOLDED SOCKET ENDOSK SYS," $3,906.00 "
BEACON MARKER (PROSTATE)," $4,225.00 "
BEAR CLAW," $1,640.00 "
BEHAV CHNG SMOKING > 10 MIN, $31.00 
BEHAV CHNG SMOKING 3-10 MIN, $31.00 
BEHAVIORAL & QUALIT ANALYSIS VOICE AND RESONANCE, $425.00 
BELOW KNEE PROSTHESIS-L5637, $728.00 
BELOW KNEE SCKT LINER KEMB, $462.00 
BIFURCATED MAIN BODY GRAFT," $28,354.00 "
BILIARY ELECTROCAUTERY THROUGH AN ENDOSCOPE," $3,543.00 "
"BILIARY ENDOSCOPY PERCUTANEOUS,DIAGNOSTIC"," $3,950.00 "
"BILIARY ENDOSCOPY PERCUTANEOUS,DILATION STRICTURE"," $3,812.00 "
BILIARY ENDOSCOPY W/FOREIGN BODY REMOVAL," $3,547.00 "
"BILIARY ENDOSCOPY,PERCUTANEOUS,W/REMOVAL STONE(S)"," $4,489.00 "
BILIARY UNCOAT STNT 10X60MM," $3,835.00 "
BILIRUBIN METER CHECK, $63.00 
BIOPATCH, $212.00 
BIOPSY BREAST 1ST LESION MR IMAG," $3,811.00 "
BIOPSY BREAST ADD LESION MR IMAG," $3,036.00 "
"BIOPSY CERVIX, 1 OR MORE, OR EXCISION OF LESION"," $1,322.00 "
BIOPSY GUNS ALL-COOK, $125.00 
BIOPSY NASOPHARNYX SIMPLE," $2,189.00 "
BIOPSY NEEDLE SYSTEM, $281.00 
"BIOPSY OF BREAST, NEEDLE CORE"," $1,659.00 "
BIOPSY OF CONJUNCTIVA," $2,284.00 "
BIOPSY OF CORNEA," $1,812.00 "
BIOPSY OF EXTERNAL AUDITORY CANAL," $2,035.00 "
BIOPSY OF EXTERNAL EAR, $557.00 
BIOPSY OF EYELID, $442.00 
BIOPSY OF FLOOR OF MOUTH," $1,601.00 "
"BIOPSY OF KIDNEY,PERCUTANEOUS"," $1,582.00 "
BIOPSY OF LIP, $645.00 
BIOPSY OF MOUTH LESION, $641.00 
BIOPSY OF NERVE," $1,884.00 "
"BIOPSY OF PROSTATE,NEEDLE,TRANSPERINEAL"," $3,410.00 "
"BIOPSY OF PROSTATE,NEEDLE/PUNCH"," $2,435.00 "
BIOPSY OF RECTUM," $2,971.00 "
BIOPSY OF SKIN LESION, $327.00 
"BIOPSY OF SKIN LESION, EACH ADDED LESION", $120.00 
"BIOPSY OF TESTIS,NEEDLE"," $2,943.00 "
"BIOPSY OF THYROID,PERCUTANEOUS", $664.00 
BIOPSY OF UTERUS LINING, $272.00 
"BIOPSY OF VAGINA,SIMPLE", $742.00 
BIOPSY OR EXC LYMPH NODE OPEN DEEP W EXC FAT PA," $2,716.00 "
BIOPSY OROPHARYNX," $3,516.00 "
BIOPSY PALATE/UVULA," $1,412.00 "
BIOPSY PENETRATION SET, $397.00 
BIOPSY PENIS," $1,790.00 "
"BIOPSY SALIVARY GLAND,INCISIONAL"," $3,430.00 "
"BIOPSY SALIVARY GLAND,NEEDLE", $911.00 
BIOPSY SOFT TISSUE NECK/CHEST," $1,841.00 "
BIOPSY SUPPLY L, $303.00 
BIOPSY SUPPLY M," $1,454.00 "
"BIOPSY TONGUE,ANTER 2/3", $847.00 
"BIOPSY TONGUE,POSTER 1/3"," $3,150.00 "
BIOPSY TRAY, $146.00 
BIOPSY TRAY-BREAST, $96.00 
BIOPSY TRAY-MAMM, $171.00 
"BIOPSY VULVA/PERINEUM,ONE LESN", $711.00 
"BIOPSY, EMBRYO"," $1,676.00 "
"BIOPSY, NAIL UNIT", $856.00 
"BIOPSY, OOCYTE POLAR BODY, GREATER THAN 5 EMBRYOS"," $1,676.00 "
"BIOPSY,VULVA/PERINEUM,ADDL LESION", $510.00 
"BIOPSY/EXCISION, LYMPH NODE(S)"," $3,607.00 "
BIOPSY-BREAST 1ST CLIP PLACEMENT STEREO," $3,736.00 "
