NEWTON-WELLESLEY HOSPITAL STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
92000040,HC DUP-SCAN XTR VEINS UNILATERAL/LIMITED STUDY,"$1,169.00"
92000039,HC DUP-SCAN XTR VEINS COMPLETE BILATERAL STUDY,"$1,798.00"
92000037,HC DUP-SCAN UXTR ART/ARTL BPGS UNI/LMTD STUDY,"$1,194.00"
92000036,HC DUP-SCAN UXTR ART/ARTL BPGS COMPL BI STUDY,"$1,768.00"
92000035,HC DUP-SCAN LXTR ART/ARTL BPGS UNI/LMTD STUDY,"$1,457.00"
92000034,HC DUP-SCAN LXTR ART/ARTL BPGS COMPL BI STUDY,"$2,242.00"
92000033,HC N-INVAS PHYSIOLOGIC STD LXTR ART COMPL BI,"$1,685.00"
92000032,HC NON-INVASIVE PHYSIOLOGIC STUDY EXTREMITY 3 LEVLS,"$1,346.00"
92000031,HC NON-INVAS PHYSIOLOGIC STD EXTREMITY ART 2 LEVEL,$884.00
92000030,HC NON-INVAS PHYSIOLOGIC STD EXTREMITY ART 2 LEVEL,$884.00
92000024,HC DUPLEX SCAN EXTRACRANIAL ART UNI/LMTD STUDY,"$1,193.00"
92000023,HC DUPLEX SCAN EXTRACRANIAL ART COMPL BI STUDY,"$1,770.00"
900092,HC NWH CEFPODOXIME 200 MG TAB,I.C.
90000103,HC OFFICE OUTPATIENT ESTAB 46+ MINUTES - PSYCH,$425.00
90000102,HC PSYCH - ESTAB PT - LEVEL 4 VISIT,$302.00
90000101,HC EST PATIENT PSYCH (99213) – MED LEVEL  (21-45 MIN),$193.00
90000100,HC PSYCH - ESTAB PT - LEVEL 2 VISIT,$102.00
90000099,HC EST PATIENT PSYCH (99211) – LOW LEVEL  (< 20 MIN),$102.00
90000098,HC NEW PATIENT PSYCH (99205) – HIGH LEVEL  (46+ MIN),$638.00
90000097,HC PSYCH - NEW PT - LEVEL 4 VISIT,$488.00
90000096,HC NEW PATIENT PSYCH (99203) – MED LEVEL  (21-45 MIN),$294.00
90000095,HC PSYCH - NEW PT - LEVEL 2 VISIT,$191.00
90000094,HC NEW PATIENT PSYCH (99201) – LOW LEVEL  (< 20 MIN),$104.00
90000055,HC PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 60 MIN,$375.00
90000054,HC PSYCHOTHERAPY W/PATIENT 60 MINUTES,$381.00
90000053,HC PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 45 MIN,$233.00
90000052,HC PSYCHOTHERAPY W/PATIENT 45 MINUTES,$253.00
90000051,HC PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 30 MIN,$143.00
90000050,HC PSYCHOTHERAPY W/PATIENT 30 MINUTES,$169.00
90000049,HC PSYCHIATRIC DIAGNOSTIC EVAL W/MEDICAL SERVICES,$417.00
90000048,HC PSYCHIATRIC DIAGNOSTIC EVALUATION,$407.00
90000045,HC HLTH&BEHAVIOR ASSMT EA 15 MIN W/PT RE-ASSMT,$148.00
90000044,HC HLTH&BEHAVIOR ASSMT EA 15 MIN W/PT 1ST ASSMT,$148.00
90000043,HC STANDARDIZED COGNITIVE PERFORMANCE TESTING,$345.00
90000038,HC DEVELOPMENTAL TESTING W/INTERP & REPORT,$520.00
90000037,HC DEVELOPMENTAL SCREEN W/SCORING & DOC STD INSTRM,$349.00
90000028,HC HLTH&BEHAVIOR IVNTJ EA 15 MIN FAM W/PT,$148.00
90000025,HC FAMILY PSYCHOTHERAPY W/PATIENT PRESENT,$228.00
90000024,HC FAMILY PSYCHOTHERAPY W/O PATIENT PRESENT,$256.00
90000023,HC HLTH&BEHAVIOR IVNTJ EA 15 MIN GRP 2/>PTS,$52.00
90000022,HC GROUP PSYCHOTHERAPY,$88.00
90000018,HC HLTH&BEHAVIOR IVNTJ EA 15 MIN FAM W/O PT,$85.00
90000017,HC HLTH&BEHAVIOR IVNTJ EA 15 MIN INDIV,$148.00
90000009,HC ELECTROCONVULSIVE THERAPY,"$1,229.00"
85000004,HC CCPD DAILY FEE,"$2,338.00"
84000014,HC INPATIENT CCPD,"$2,241.00"
84000001,HC DIALYSIS OTHER/THAN HEMODIALYSIS 1 PHYS/QHP EVAL,"$2,241.00"
82000035,HC NON ESRD ACUTE HEMODIALYSIS OP,"$4,173.00"
82000033,HC ESRD EMERGENT HEMODIALYSIS OP,"$4,173.00"
82000006,HC HEMODIALYSIS PX REPEAT EVAL W/WO REVJ DIALYS RX,"$3,529.00"
80000003,HC INPATIENT HEMODIALYSIS,"$4,173.00"
77100017,HC ADMIN FLUMIST INFLUENZA VIRUS VAC,$25.00
77100012,HC ADMIN HEPATITIS B VACCINE (AS EA ADDL),$25.00
77100011,HC ADMIN HEPATITIS B VACCINE (AS 1ST OR SINGLE),$25.00
77100010,HC ADMIN PNEUMOCOCCAL VACCINE (AS EA ADDL),$25.00
77100009,HC ADMIN PNEUMOCOCCAL VACCINE (AS 1ST OR SINGLE),$25.00
77100008,HC ADMIN INFLUENZA VIRUS VAC (AS EA ADDL),$25.00
77100007,HC ADMIN INFLUENZA VIRUS VAC (AS 1ST OR SINGLE),$25.00
77100006,HC IMADM INTRANSL/ORAL EA VACCINE,$22.00
77100005,HC IMADM INTRANSL/ORAL 1 VACCINE,$25.00
77100004,HC IMADM PRQ ID SUBQ/IM NJXS EA VACCINE,$22.00
77100003,HC IMADM PRQ ID SUBQ/IM NJXS 1 VACCINE,$25.00
77100002,HC IM ADM THRU 18YR ANY RTE ADDL VAC/TOX COMPT,$22.00
77100001,HC IM ADM THRU 18YR ANY RTE 1ST/ONLY COMPT VAC/TOX,$25.00
77000027,HC PROSTATE CA SCREENING; DRE,$38.00
77000026,HC CA SCREEN;PELVIC/BREAST EXAM,$162.00
77000018,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 60 MIN,$224.00
77000017,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 45 M,$169.00
77000016,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 30 M,$113.00
77000015,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 15 M,$80.00
77000014,HC PERIODIC PREVENTIVE MED EST PATIENT 65YRS& OLDER,$196.00
77000013,HC PERIODIC PREVENTIVE MED EST PATIENT 40-64YRS,$179.00
77000012,HC PERIODIC PREVENTIVE MED EST PATIENT 18-39 YRS,$159.00
77000011,HC PERIODIC PREVENTIVE MED EST PATIENT 12-17YRS,$159.00
77000010,HC PERIODIC PREVENTIVE MED EST PATIENT 5-11YRS,$139.00
77000009,HC PERIODIC PREVENTIVE MED EST PATIENT 1-4YRS,$139.00
77000008,HC PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y,$118.00
77000007,HC INITIAL PREVENTIVE MEDICINE NEW PATIENT 65YRS&>,$240.00
77000006,HC INITIAL PREVENTIVE MEDICINE NEW PATIENT 40-64YRS,$219.00
77000005,HC INITIAL PREVENTIVE MEDICINE NEW PT AGE 18-39YRS,$179.00
77000004,HC INITIAL PREVENTIVE MEDICINE NEW PT AGE 12-17 YR,$179.00
77000003,HC INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS,$159.00
77000002,HC INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS,$159.00
77000001,HC INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR,$139.00
76200010,HC OBSERVATION CARVE OUT (60000 - 69999) - ENDO/NERVOUS/EYE/AUDITORY,$169.00
76200009,HC OBSERVATION CARVE OUT (50000 - 59999) - URINARY/MALE/FEMALE/MATERNITY,$169.00
76200008,HC OBSERVATION CARVE OUT (10000 - 29999) - INTEGUMENTARY/MUSCULOSKELETAL,$169.00
76200007,HC DIRECT ADMISSION OF PATIENT FOR HOSPITAL OBSERVATION CARE,$139.00
76200006,HC OBSERVATION CARVE OUT - SURGICAL,$169.00
76200005,HC OBSERVATION CARVE OUT - RESPIRATORY,$169.00
76200004,HC OBSERVATION CARVE OUT - CARDIOLOGY,$169.00
76200003,HC OBSERVATION CARVE OUT - DIGESTIVE,$169.00
76200002,HC OBSERVATION CARVE OUT - RADIOLOGY,$169.00
76200001,HC OBSERVATION PER HOUR,$169.00
76102090,HC BONE MARROW ASP SAME SITE AS BX,$903.00
76002539,HC TENOTOMY SHOULDER MULTIPLE THRU SAME INCISION,"$6,376.00"
76002538,HC TENOTOMY SHOULDER AREA 1 TENDON,"$2,536.00"
76002537,HC FASCIECTOMY PLANTAR FASCIA PARTIAL SPX,"$4,071.00"
76002536,HC FASCIOTOMY FOOT&/TOE,"$4,966.00"
76002535,HC TENOTOMY ADDUCTOR HIP PERCUTANEOUS SPX,"$2,408.00"
76002534,HC TENOTOMY PRQ ADDUCTOR/HAMSTRING MULTIPLE TENDON,"$2,535.00"
76002533,HC TENOTOMY PRQ ADDUCTOR/HAMSTRING 1 TENDON SPX,"$6,376.00"
76002525,HC EPIGASTRIC ARTERY THROMBIN INJECTION,"$2,150.00"
76002481,HC DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS,$350.00
76002480,HC THER APHERESIS W/EXTRACORPOREAL IMMUNOADSORPTION,"$8,680.00"
76002397,HC NDSC DCMPRN SPINAL CORD 1 W/LAMOT NTRSPC LUMBAR,"$3,530.00"
76002396,HC NJX DX/THER SBST CONT INF/BOLUS INTRLMNR LMBR/SAC W/IMG GDN,"$1,897.00"
76002395,HC NJX DX/THER SBST CONT INF/BOLUS INTRLMNR LMBR/SAC W/O IMG GDN,"$1,897.00"
76002394,HC NJX DX/THER SBST CONT INF/BOLUS INTRLMNR CRV/THRC W/IMG GDN,"$1,897.00"
76002393,HC NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,"$1,897.00"
76002392,HC NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,"$1,897.00"
76002391,HC NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,"$1,897.00"
76002390,HC NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN,"$1,897.00"
76002389,HC NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,"$1,897.00"
76002348,HC PROLOTHERAPY,$92.00
76002296,HC FACET DENERVATION  <80 DEGREES CELCIUS: CERVICAL OR THORACIC; EACH ADDITIONAL,I.C.
76002295,HC FACET DENERVATION  <80 DEGREES CELCIUS: CERVICAL OR THORACIC; SINGLE,I.C.
76002284,"HC PERCUT REMV KID STONE,2+ CM","$7,666.00"
76002273,HC REMOVAL OF KIDNEY STONE,"$5,291.00"
76002202,HC RMVL & RPLCMT XTRNL ACCESSIBLE NEPHROURTRL CATH,"$3,698.00"
76002197,HC REMOVAL IMPACTED CERUMEN IRRIGATION/LVG UNILAT,$60.00
76002191,HC PLMT URTRL STENT PRQ NEW ACCESS W/SEP NFROS CATH,"$1,547.00"
76002190,HC PLMT URTRL STNT PRQ NEW ACESS W/O SEP NFROS CATH,"$1,223.00"
76002189,HC PLMT URTRL STENT PRQ PRE-EXISTING NFROS TRACT,$947.00
76002187,HC EXCHANGE NEPHROSTOMY CATHETER PRQ W/IMG GID RS&I,$444.00
76002185,HC PLMT NEPHROURETERAL CATH PRQ NEW ACCESS RS&I,"$1,180.00"
76002184,HC PLMT NEPHROSTOMY CATH PRQ NEW ACCESS RS&I,$957.00
76002183,HC NJX PX ANTEGRDE NFROSGRM &/URTRGRM EXSTNG ACESS,$293.00
76002182,HC NJX PX ANTEGRDE NFROSGRM &/URTRGRM NEW ACCESS,$726.00
76002181,HC BRNSCHSC TNDSC EBUS DX/TX INTERVENTION PERPH LES,$289.00
76002180,HC BRNCHSC EBUS GUIDED SAMPL 3/> NODE STATION/STRUX,"$1,108.00"
76002179,HC BRNCHSC EBUS GUIDED SAMPL 1/2 NODE STATION/STRUX,"$1,005.00"
76002178,HC PERQ SFT TISS LOC DEVICE PLMT ADD LES W/GDNCE,$187.00
76002177,HC PERQ SFT TISS LOC DEVICE PLMT 1ST LES W/GDNCE,$372.00
76002100,HC NWH CLOSED REDUCTION TIBULA/FIBULA,"$2,675.00"
76002087,HC BEHAV ASSMT W/SCORE & DOCD/STAND INSTRUMENT,$25.00
76002079,HC ABLATION BONE TUMOR RF PERQ W/IMG GDN WHEN DONE,"$10,708.00"
76002078,HC ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/US,$258.00
76002077,HC ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/O US,$573.00
76002076,HC ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/US,$219.00
76002075,HC ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/O US,$573.00
76002074,HC ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US REC RPRT,$193.00
76002073,HC ARTHROCENTESIS ASPIR&/INJ SMALL JT/BURSA W/O US,$573.00
76001990,HC TRABECULOTOMY AB EXTERNO,"$4,966.00"
76001981,HC BIOPSY SOFT TISSUE NECK/THORAX,"$3,246.00"
76001978,HC TCATH STENT PLACEMT RETROGRAD CAROTID/INNOMINATE,"$22,167.00"
76001973,HC IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,$668.00
76001959,HC APPLICATION FINGER SPLINT STATIC,$157.00
76001958,HC REMOVAL IMPACTED VAG FB SPX W/ANES OTH/THN LOCAL,"$3,895.00"
76001953,HC OPEN/PERQ PLACEMENT INTRAVASCULAR STENT EA ADDL,"$10,133.00"
76001952,HC CHEMODENERV TRUNK MUSC 1-5,"$2,259.00"
76001951,HC CHEMODENERV 1 EXTREM 1-4 EA,"$2,259.00"
76001950,HC CHEMODENERV 1 EXTREMITY 1-4,"$2,259.00"
76001949,HC CHEMODENERV MUSC NECK DYSTON,"$1,272.00"
76001948,HC IMAGE CATH FLUID TRNS/VGNL,"$2,982.00"
76001947,HC IMAGE CATH FLUID PERI/RETRO,"$3,464.00"
76001946,HC IMAGE CATH FLUID COLXN VISC,"$3,464.00"
76001945,HC VASC EMBOLIZE/OCCLUDE BLEED,"$27,099.00"
76001944,HC VASC EMBOLIZE/OCCLUDE ORGAN,"$27,099.00"
76001943,HC VASC EMBOLIZE/OCCLUDE ARTERY,"$27,099.00"
76001942,HC VASC EMBOLIZE/OCCLUDE VENOUS,"$27,099.00"
76001941,HC OPEN/PERQ PLACE STENT SAME,"$14,118.00"
76001940,HC OPEN/PERQ PLACE STENT 1ST,"$14,118.00"
76001939,HC PERQ DEV BREAST ADD US IMAG,$184.00
76001938,"HC PERQ DEVICE BREAST EA IMAG, US GUIDANCE",$376.00
76001937,"HC PERQ DEVICE BREAST EA IMAG, MAMM GUIDANCE",$213.00
76001936,HC PERQ DEVICE BREAST 1ST IMAG,$438.00
76001935,HC BX BREAST ADD LESION MR IMAG,$386.00
76001934,HC BX BREAST 1ST LESION MR IMAG,"$1,987.00"
76001933,HC BX BREAST ADD LESION US IMAG,$345.00
76001932,HC BX BREAST 1ST LESION US IMAG,"$1,987.00"
76001931,HC BX BREAST ADD LESION STRTCTC,$368.00
76001930,HC BX BREAST 1ST LESION STRTCTC,"$1,987.00"
76001897,HC CHEST TUBE EXCHANGE,$224.00
76001872,HC GANGLION OF IMPAR BLOCK,"$1,734.00"
76001871,HC BIER BLOCK,"$1,334.00"
76001850,HC CHEMODERVATE FACIAL/TRIGEM/CERV MUSC MIGRAINE,$573.00
76001848,HC UNLISTED PX FEMALE GENITAL SYSTEM NONOBSTETRICAL,"$4,833.00"
76001844,HC ASPIRATION BLADDER INSERT SUPRAPUBIC CATHETER,"$4,019.00"
76001842,HC UNLISTED PROCEDURE STOMACH,"$6,988.00"
76001841,HC UNLISTED PROCEDURE ESOPHAGUS,"$4,805.00"
76001835,HC CESSATION THROMBOLYTIC THRPY W/CATHETER REMOVAL,$642.00
76001834,HC THROMBOLYSIS ART/VENOUS INFSN W/IMAGE SUBSQ TX,"$1,086.00"
76001833,HC THROMBOLYSIS VENOUS INFUSION W/IMAGING INIT TX,"$1,558.00"
76001832,HC THROMBOLYSIS ARTERIAL INFUSION W/IMAGING INIT TX,"$1,765.00"
76001831,HC PRQ TRANSCATHETER RTRVL INTRVAS FB WITH IMAGING,"$1,351.00"
76001814,HC PERQ DRAINAGE PLEURA INSERT CATH W/IMAGING,"$2,280.00"
76001813,HC PERQ DRAINAGE PLEURA INSERT CATH W/O IMAGING,"$1,374.00"
76001812,HC THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING,"$1,374.00"
76001811,HC THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,"$1,374.00"
76001807,HC BRNCHSC REMOVAL BRONCHIAL VALVE EA ADDL,$347.00
76001795,HC INJECT SI JOINT ARTHRGRPHY&/ANES/STEROID W/IMA,$275.00
76001793,HC UNLISTED PROCEDURE FOREARM/WRIST,"$2,707.00"
76001782,HC PERQ CRYOABLATION BONE,"$2,892.00"
76001780,HC PERQ CRYO ABL SOFT TISSUE,"$1,162.00"
76001761,HC INJ FOR SACROILIAC JT ANESTH,$275.00
76001760,HC INJ FOR SACROILIAC JT ANESTH,$275.00
76001759,HC INJECT FOR SACROILIAC JOINT,"$2,259.00"
76001694,HC RMVL DEVITAL TISS N-SLCTV DBRDMT W/O ANES 1 SESS,$154.00
76001693,HC DEBRIDEMENT OPEN WOUND EACH ADDITIONAL 20 SQ CM,$159.00
76001692,HC DEBRIDEMENT OPEN WOUND 20 SQ CM/<,$703.00
76001678,HC LARYNGEAL FUNCTION STUDIES,$601.00
76001675,HC NASOPHARYNGOSCOPY W/ENDOSCOPE SPX,$453.00
76001668,HC RMVL IMPACTED CERUMEN SPX UNILATERAL,$151.00
76001666,HC RMVL FB XTRNL AUDITORY CANAL W/O ANES,$232.00
76001662,HC DRAINAGE EXTERNAL AUDITORY CANAL ABSCESS,$599.00
76001660,HC DRAINAGE EXTERNAL EAR ABSCESS/HEMATOMA SIMPLE,$478.00
76001647,HC REMOVAL EMBEDDED FOREIGN BODY EYELID,$515.00
76001632,HC BLEPHAROTOMY DRAINAGE ABSCESS EYELID,$723.00
76001622,HC POST-CATARACT LASER SURGERY,"$1,212.00"
76001618,HC REVJ/RPR OPRATIVE WOUND ANTERIOR SEGMENT,"$3,379.00"
76001617,HC TRABECULOPLASTY BY LASER SURGERY,"$1,212.00"
76001604,HC RMVL FB XTRNL EYE CORNEAL W/SLIT LAMP,$219.00
76001603,HC RMVL FB XTRNL EYE CORNEAL W/O SLIT LAMP,$219.00
76001602,HC RMVL FB XTRNL EYE EMBED SCJNCL/SCLERAL NONPERFOR,$219.00
76001601,HC REMOVAL FB EYE CONJUNCTIVAL SUPERFICIAL,$219.00
76001592,HC DSTRJ NEUROLYTIC W/WO RAD MONITOR CELIAC PLEXUS,"$4,375.00"
76001589,HC DSTRJ NEUROLYTIC AGENT OTHER PERIPHERAL NERVE,"$1,897.00"
76001588,HC DSTR NROLYTC AGNT PARVERTEB FCT ADDL LMBR/SACRAL,"$3,010.00"
76001587,HC DSTR NROLYTC AGNT PARVERTEB FCT SNGL LMBR/SACRAL,"$4,375.00"
76001586,HC DSTR NROLYTC AGNT PARVERTEB FCT ADDL CRVCL/THORA,$313.00
76001585,HC DSTR NROLYTC AGNT PARVERTEB FCT SNGL CRVCL/THORA,"$4,375.00"
76001584,HC DSTRJ NEUROLYTIC AGENT PUDENDAL NERVE,"$1,897.00"
76001576,HC REMOVAL NON-BIODEGRADABLE DRUG DELIVERY IMPLANT,$390.00
76001575,HC DSTRJ NEUROLYTIC AGENT INTERCOSTAL NERVE,"$4,375.00"
76001571,HC CHEMODNRVTJ MUSC MUSC INNERVATED FACIAL NRV UNIL,$573.00
76001553,HC APPLICATION SURFACE NEUROSTIMULATOR,$37.00
76001552,HC INJX ANES CELIAC PLEXUS W/WO RADIOLOGIC MONITRNG,"$1,897.00"
76001551,HC INJECTION ANES LMBR/THRC PARAVERTBRL SYMPATHETIC,"$1,897.00"
76001550,HC INJECTION ANES SUPERIOR HYPOGASTRIC PLEXUS,"$1,897.00"
76001549,HC NJX ANES STELLATE GANGLION CRV SYMPATHETIC,"$1,897.00"
76001548,HC INJECTION ANES AGENT SPHENOPALATINE GANGLION,$573.00
76001547,HC NJX DX/THER AGT PVRT FACET JT LMBR/SAC 3+ LEVEL,$236.00
76001546,HC NJX DX/THER AGT PVRT FACET JT LMBR/SAC 3+ LEVEL,$236.00
76001545,HC NJX DX/THER AGT PVRT FACET JT LMBR/SAC 3+ LEVEL,$236.00
76001544,HC NJX DX/THER AGT PVRT FACET JT LMBR/SAC 2ND LEVEL,$228.00
76001543,HC NJX DX/THER AGT PVRT FACET JT LMBR/SAC 2ND LEVEL,$228.00
76001542,HC NJX DX/THER AGT PVRT FACET JT LMBR/SAC 2ND LEVEL,$228.00
76001541,HC NJX DX/THER AGT PVRT FACET JT LMBR/SAC 1 LEVEL,"$1,897.00"
