CDM NAME,HOSPITAL,TECHNICAL DESCRIPTION,TOTAL CHARGE
BMC,Brookwood Medical Center ,THYROTROPIN A PER1.1MGIJ,"$10,633.23 "
BMC,Brookwood Medical Center ,TICAR/CLAV PER 3.1GM IJ,$716.06 
BMC,Brookwood Medical Center ,TIGECYCLINE PER 1MG IJ,$20.84 
BMC,Brookwood Medical Center ,TIROFIBAN PER .25MG IJ,$125.84 
BMC,Brookwood Medical Center ,TOBRAMYCIN UPTO 80MG IJ,$551.67 
BMC,Brookwood Medical Center ,TOBRAMY UPTO 80MG PMX IJ,$157.59 
BMC,Brookwood Medical Center ,TOCILIZUMAB PER 1MG IJ,$45.53 
BMC,Brookwood Medical Center ,TOPOTECAN PER 0.1 MG IJ,$382.94 
BMC,Brookwood Medical Center ,TORSEMIDE 10MG/ML 5ML IJ,$103.45 
BMC,Brookwood Medical Center ,TORSEMIDE 10MG/ML 2ML IJ,$92.32 
BMC,Brookwood Medical Center ,TRACE METAL 1ML IJ,$88.07 
BMC,Brookwood Medical Center ,TRACE METAL NEO 2ML IJ,$64.89 
BMC,Brookwood Medical Center ,TRACE METAL 5ML IJ,$145.87 
BMC,Brookwood Medical Center ,TRANEXAMIC ACID1G/10MLIJ,"$1,187.01 "
BMC,Brookwood Medical Center ,TRASTUZUMAB PER 10MG IJ,"$1,038.26 "
BMC,Brookwood Medical Center ,TRIAMCINOL HEXA PER5MGIJ,$465.06 
BMC,Brookwood Medical Center ,TRIAMCINOLON A PER10MGIJ,$118.34 
BMC,Brookwood Medical Center ,TRICHOPHYTON .1ML IJ,$343.78 
BMC,Brookwood Medical Center ,TRIMETHOBENZ TO 200MG IJ,$83.53 
BMC,Brookwood Medical Center ,TUBERCULIN PPD 1TU IJ,$106.17 
BMC,Brookwood Medical Center ,TUBERCULIN PPD 5TU IJ,$61.33 
BMC,Brookwood Medical Center ,TUBOCURARINE3MG/ML5MLIJ,$141.21 
BMC,Brookwood Medical Center ,VALPROATE 500MG/5ML IJ,$391.45 
BMC,Brookwood Medical Center ,VANCOMYCIN NEO CMPD IJ,$5.19 
BMC,Brookwood Medical Center ,VANCOMYCIN PER500MGPMXIJ,$226.72 
BMC,Brookwood Medical Center ,VANCOMYCIN PER 500MG IJ,$118.39 
BMC,Brookwood Medical Center ,VARICELLA IMM GLOB125UIJ,"$1,457.96 "
BMC,Brookwood Medical Center ,VASOPRESSIN 20U/1ML IJ,$395.81 
BMC,Brookwood Medical Center ,VASOPRESSIN NEO PER1U IJ,$21.37 
BMC,Brookwood Medical Center ,VECURONIUM NEO PER1MG IJ,$8.40 
BMC,Brookwood Medical Center ,VECURONIUM 10MG IJ,$612.72 
BMC,Brookwood Medical Center ,VECURONIUM 20MG IJ,$216.90 
BMC,Brookwood Medical Center ,VECURONIUM NEO IJ,$9.63 
BMC,Brookwood Medical Center ,VERAPAMIL2.5MG/ML 2ML IJ,$907.15 
BMC,Brookwood Medical Center ,VERAPAMIL2.5MG/ML 4ML IJ,$293.41 
BMC,Brookwood Medical Center ,VINBLASTINE PER 1MG IJ,$17.52 
BMC,Brookwood Medical Center ,VINCRISTINE PER 1MG IJ,$751.85 
BMC,Brookwood Medical Center ,VINORELBINE PER 10MG IJ,$558.92 
BMC,Brookwood Medical Center ,VITAMIN A 100000U/2ML IJ,$479.37 
BMC,Brookwood Medical Center ,VORICONAZOLE PER 10MG IJ,$69.31 
BMC,Brookwood Medical Center ,WARFARIN 5MG IJ,$577.94 
BMC,Brookwood Medical Center ,VON WILLEBRANDFC PER1UIJ,$17.42 
BMC,Brookwood Medical Center ,WATER INJ BACST 30ML IJ,$10.06 
BMC,Brookwood Medical Center ,WATER INJ STERL 100ML IJ,$34.08 
BMC,Brookwood Medical Center ,WATER INJ STERL 5ML IJ,$117.33 
BMC,Brookwood Medical Center ,WATER INJ STERL 10ML IJ,$128.09 
BMC,Brookwood Medical Center ,WATER INJ STERL 20ML IJ,$471.46 
BMC,Brookwood Medical Center ,WATER INJ STERL 50ML IJ,$16.57 
BMC,Brookwood Medical Center ,ZIDOVUDINE PER 10MG IJ,$14.33 
BMC,Brookwood Medical Center ,ZIDOVUDINE NEO IJ,$6.74 
BMC,Brookwood Medical Center ,ZINC CL 1MG/ML 10ML IJ,$177.02 
BMC,Brookwood Medical Center ,ZINC SULF 1MG/ML 10ML IJ,$28.35 
BMC,Brookwood Medical Center ,ZINC SULF 5MG/ML 1ML IJ,$8.88 
BMC,Brookwood Medical Center ,ZIPRASIDONE PER 10MG IJ,$293.62 
BMC,Brookwood Medical Center ,APAP/COD 120/12 5ML LQ,$98.72 
BMC,Brookwood Medical Center ,APAP/COD 15MG TB,$115.37 
BMC,Brookwood Medical Center ,APAP/COD 30MG TB,$3.41 
BMC,Brookwood Medical Center ,APAP/COD 60MG TB,$98.72 
BMC,Brookwood Medical Center ,APAP/BUTAL/CAF/ TB,$7.04 
BMC,Brookwood Medical Center ,AMPHETAM MIX 5MG XR TB,$20.41 
BMC,Brookwood Medical Center ,AMPHETAM MIX 10MG XR TB,$20.41 
BMC,Brookwood Medical Center ,AMPHET/DEXAMPHET 10MG TB,$17.82 
BMC,Brookwood Medical Center ,AMPHET/DEXAMPHET 5MG TB,$17.74 
BMC,Brookwood Medical Center ,ASA/BUTAL/CAFF CP,$14.71 
BMC,Brookwood Medical Center ,ASA/BUTAL/CAFF TB,$23.86 
BMC,Brookwood Medical Center ,CARISOPRODOL/ASA/COD TB,$25.87 
BMC,Brookwood Medical Center ,COCAINE 4% 4ML TS,"$1,793.71 "
BMC,Brookwood Medical Center ,CODEINE PER 30MG IJ,$99.46 
BMC,Brookwood Medical Center ,CODEINE 30MG TB,$37.88 
BMC,Brookwood Medical Center ,ASA/BUT/CAF/COD 30MG TB,$115.37 
BMC,Brookwood Medical Center ,DEXTROAMPHETAMIN 5MG TB,$26.35 
BMC,Brookwood Medical Center ,DEXTROAMPHETAMIN 5MG CP,$66.15 
BMC,Brookwood Medical Center ,DEXTROAMPHETAMI 10MG CP,$13.26 
BMC,Brookwood Medical Center ,DIAZEPAM UPTO 5MG IJ,$88.53 
BMC,Brookwood Medical Center ,DRONABINOL 2.5MG CP,$83.40 
BMC,Brookwood Medical Center ,DRONABINOL 5MG CP,$106.11 
BMC,Brookwood Medical Center ,FENTANYL PER 0.1MG IJ,$204.87 
BMC,Brookwood Medical Center ,FENTANYL 12MCG/HR TD,$175.66 
BMC,Brookwood Medical Center ,FENTANYL 25MCG/HR TD,$177.01 
BMC,Brookwood Medical Center ,FENTANYL 50MCG/HR TD,$342.78 
BMC,Brookwood Medical Center ,FENTANYL 75MCG/HR TD,$493.56 
BMC,Brookwood Medical Center ,FENTANYL 100MCG/HR TD,$655.27 
BMC,Brookwood Medical Center ,FENTANYL 200MCG LZ,$255.96 
BMC,Brookwood Medical Center ,FENTANYL 800MCG LZ,$458.42 
BMC,Brookwood Medical Center ,HYDROCOD/CPM 5ML XR LQ,$27.74 
BMC,Brookwood Medical Center ,HYDROCOD/HOMAT 10ML LQ,$5.97 
BMC,Brookwood Medical Center ,HYDROCOD/HOMAT 5ML LQ,$9.36 
BMC,Brookwood Medical Center ,HYDROCOD/APAP 5/325 TB,$9.60 
BMC,Brookwood Medical Center ,HYDROCOD/APAP 7.5/325TB,$11.00 
BMC,Brookwood Medical Center ,HYDROCOD/APAP 15ML LQ,$34.03 
BMC,Brookwood Medical Center ,HYDROCOD/APAP 10/325 TB,$15.29 
BMC,Brookwood Medical Center ,HYDROCOD/APAP 10/650 TB,$5.97 
BMC,Brookwood Medical Center ,HYDROCOD/APAP 5ML LQ,$41.18 
BMC,Brookwood Medical Center ,HYDROCOD/APAP 2.5MG TB,$51.71 
BMC,Brookwood Medical Center ,HYDROCOD/APAP 5/500 TB,$5.97 
BMC,Brookwood Medical Center ,HYDROCOD/IBUPRO 200/7 TB,$7.70 
BMC,Brookwood Medical Center ,HYDROCODONE/GF 10ML LQ,$25.87 
BMC,Brookwood Medical Center ,HYDROMORPHONE 2MG TB,$8.07 
BMC,Brookwood Medical Center ,HYDROMORPHONE 3MG SU,$115.37 
BMC,Brookwood Medical Center ,HYDROMORPHONE UPTO4MG IJ,$274.48 
BMC,Brookwood Medical Center ,HYDROMORPHONE 4MG TB,$102.96 
BMC,Brookwood Medical Center ,IXABEPILONE PER 1MG IJ,"$1,058.46 "
BMC,Brookwood Medical Center ,MEPERIDINE 50MG IJ,$33.85 
BMC,Brookwood Medical Center ,MEPERIDINE PER 100MG IJ,$301.25 
BMC,Brookwood Medical Center ,MEPERIDINE 50MG TB,$103.66 
BMC,Brookwood Medical Center ,MEPERIDINE PER 100MG PCA,$22.43 
BMC,Brookwood Medical Center ,MEPERID/PROMETH 50/25 CP,$109.38 
BMC,Brookwood Medical Center ,METHADONE 5MG/5ML LQ,$18.70 
BMC,Brookwood Medical Center ,METHADONE 1MG/ML LQ,$0.80 
BMC,Brookwood Medical Center ,METHADONE 10MG TB,$6.02 
BMC,Brookwood Medical Center ,METHADONE 40MG TB,$3.18 
BMC,Brookwood Medical Center ,METHADONE 5MG TB,$3.41 
BMC,Brookwood Medical Center ,LACOSAMIDE 50MG TB,$50.04 
BMC,Brookwood Medical Center ,LACOSAMIDE 100MG TB,$112.17 
BMC,Brookwood Medical Center ,METHOHEXITAL 500MG IJ,$171.04 
BMC,Brookwood Medical Center ,METHYLPHENIDATE 5MG TB,$18.70 
BMC,Brookwood Medical Center ,METHYLPHENIDATE 10MG TB,$18.70 
BMC,Brookwood Medical Center ,METHYLPHENIDATE 20MG TB,$18.70 
BMC,Brookwood Medical Center ,METHYLPHENIDAT 20MGXRTB,$26.45 
BMC,Brookwood Medical Center ,METHYLPHENIDAT 18MGXRTB,$39.77 
BMC,Brookwood Medical Center ,MORPHINE NEO PER 1MG IJ,$39.39 
BMC,Brookwood Medical Center ,MORPH PF EPI/INTR 10MGIJ,$65.77 
BMC,Brookwood Medical Center ,MIDAZOLAM 2MG/1ML LQ,$9.97 
BMC,Brookwood Medical Center ,MIDAZOLAM 5MG/2.5ML LQ,$30.84 
BMC,Brookwood Medical Center ,MORPHINE UPTO 10MG IJ,$286.41 
BMC,Brookwood Medical Center ,MORPHINE 10MG/5ML LQ,$103.83 
BMC,Brookwood Medical Center ,MORPHINE 20MG/1ML LQ,$108.94 
BMC,Brookwood Medical Center ,MORPHINE 10MG TB,$3.99 
BMC,Brookwood Medical Center ,MORPHINE 15MG TB,$4.40 
BMC,Brookwood Medical Center ,MORPHINE 60MG XR TB,$46.06 
BMC,Brookwood Medical Center ,MORPHINE 100MG XR TB,$109.02 
BMC,Brookwood Medical Center ,MORPHINE 15MG XR TB,$16.20 
BMC,Brookwood Medical Center ,MORPHINE 30MG XR TB,$103.83 
BMC,Brookwood Medical Center ,BELLADONNA OPIUM 30MGSU,$220.44 
BMC,Brookwood Medical Center ,BELLADONNA OPIUM 60MGSU,$267.99 
BMC,Brookwood Medical Center ,MORPHIN 15MG/1.5 LIPO IJ,"$2,848.28 "
BMC,Brookwood Medical Center ,MORPHINE 0.4MG/1ML LQ,$1.22 
BMC,Brookwood Medical Center ,MORPHINE PER 10MG PCA,$48.84 
BMC,Brookwood Medical Center ,OXANDROLONE 2.5MG TB,$79.83 
BMC,Brookwood Medical Center ,OXYCODONE 15MG XR TB,$16.76 
BMC,Brookwood Medical Center ,OXYCOD/APAP 7.5/325 TB,$27.44 
BMC,Brookwood Medical Center ,OXYCOD/APAP 10/325 TB,$34.20 
BMC,Brookwood Medical Center ,OXYCOD/APAP 5/500 CP,$51.71 
BMC,Brookwood Medical Center ,OXYCOD/APAP 5/325 TB,$17.90 
BMC,Brookwood Medical Center ,OXYCODONE 15MG TB,$17.38 
BMC,Brookwood Medical Center ,OXYCODONE/ASA 4.5MG TB,$17.06 
BMC,Brookwood Medical Center ,OXYCODONE 5MG TB,$7.33 
BMC,Brookwood Medical Center ,OXYCODONE 5MG/5ML LQ,$44.13 
BMC,Brookwood Medical Center ,OXYCODONE 10MG XR TB,$27.36 
BMC,Brookwood Medical Center ,OXYCODONE 20MG XR TB,$57.03 
BMC,Brookwood Medical Center ,OXYCODONE 80MG XR TB,$142.97 
BMC,Brookwood Medical Center ,OXYCODONE 20MG/ML LQ,$67.14 
BMC,Brookwood Medical Center ,HYDROMORPH PER4MG PCA IJ,$31.76 
BMC,Brookwood Medical Center ,PENTOBARBITAL 50MG CP,$180.98 
BMC,Brookwood Medical Center ,PENTOBARBIT PER 50MG IJ,$175.38 
BMC,Brookwood Medical Center ,PHENOBARBITAL 15MG TB,$2.01 
BMC,Brookwood Medical Center ,PHENOBARBITAL 16.2MG TB,$3.12 
BMC,Brookwood Medical Center ,PHENOBARBITAL 30MG TB,$2.01 
BMC,Brookwood Medical Center ,PHENOBARBITAL 32.4MG TB,$4.74 
BMC,Brookwood Medical Center ,PHENOBARBITAL 64.8MG TB,$6.95 
BMC,Brookwood Medical Center ,PHENOBARBITAL 60MG TB,$2.01 
BMC,Brookwood Medical Center ,PHENOBARB TO 120MG PFSIJ,$112.00 
BMC,Brookwood Medical Center ,PHENOBARB UPTO 120MG IJ,$349.44 
BMC,Brookwood Medical Center ,PHENOBARBITAL 100MG TB,$13.93 
BMC,Brookwood Medical Center ,PHENOBARBITAL 4MG/1ML LQ,$9.96 
BMC,Brookwood Medical Center ,PHENOBARBIT 20MG/5ML LQ,$18.70 
BMC,Brookwood Medical Center ,REMIFENTANIL 1MG/3ML IJ,$180.98 
BMC,Brookwood Medical Center ,SUFENTANIL 50UG/ML2ML IJ,$157.13 
BMC,Brookwood Medical Center ,THIOPENTAL 500MG SG IJ,$441.57 
BMC,Brookwood Medical Center ,ACETC AC/HCTS2%-1%10MLOT,"$1,939.42 "
BMC,Brookwood Medical Center ,ACETYLCHOLINE CL1%2ML OS,$739.75 
BMC,Brookwood Medical Center ,ACETYLCYSTEINE 10%4ML IS,$104.10 
BMC,Brookwood Medical Center ,ACETYLCYSTEINE10%10ML IS,$240.68 
BMC,Brookwood Medical Center ,ACETYLCYSTEINE10%30ML IS,$606.67 
BMC,Brookwood Medical Center ,ACETYLCYSTEINE 20%4ML IS,$59.54 
BMC,Brookwood Medical Center ,ACETYLCYSTEINE20%10ML IS,$253.83 
BMC,Brookwood Medical Center ,ACETYLCYSTEINE20%30ML IS,$546.34 
BMC,Brookwood Medical Center ,ACETYLCYSTEINE20%100MLIS,"$1,412.22 "
BMC,Brookwood Medical Center ,ACLIDINIUM 400MCG PW IH,"$1,391.24 "
BMC,Brookwood Medical Center ,SILICONE OIL 10ML OS,"$4,222.67 "
BMC,Brookwood Medical Center ,ALBUTEROL HFA 8.5GM IH,$202.57 
BMC,Brookwood Medical Center ,ALBUTEROL HFA 18GM IH,$205.76 
BMC,Brookwood Medical Center ,ALBUTEROL .5% 20ML IS,$787.65 
BMC,Brookwood Medical Center ,ALBUTEROL .083% 3ML IS,$9.54 
BMC,Brookwood Medical Center ,ALBUTEROL HFA 6.8GM IH,$787.65 
BMC,Brookwood Medical Center ,ALBUTEROL 5MG/1ML IS,$9.49 
BMC,Brookwood Medical Center ,ALBUTEROL/IPRATR 3ML IS,$25.22 
BMC,Brookwood Medical Center ,ALBUTEROL2.5MG/.5ML UDIS,$7.79 
BMC,Brookwood Medical Center ,ALBUTEROL 1.25MG/3ML IS,$18.70 
BMC,Brookwood Medical Center ,ALBUTEROL HFA 8GM IH,$216.05 
BMC,Brookwood Medical Center ,ALBUTEROL/IPRATR 4GM IH,"$2,758.42 "
BMC,Brookwood Medical Center ,AMYL NITRITE .3ML IS,$258.58 
BMC,Brookwood Medical Center ,APRACLONIDINE .5% 5ML OS,$903.86 
BMC,Brookwood Medical Center ,ARFORMOTEROL15MCG/2ML IS,$129.55 
BMC,Brookwood Medical Center ,AMMONIA AROMATIC IH,$2.60 
BMC,Brookwood Medical Center ,OCULAR LUB PF.6ML UD OS,$3.99 
BMC,Brookwood Medical Center ,OCULAR LUB PF 15ML OS,$63.65 
BMC,Brookwood Medical Center ,ATROPINE 1% 2ML OS,$246.00 
BMC,Brookwood Medical Center ,ATROPINE 1% 5ML OS,$161.98 
BMC,Brookwood Medical Center ,ATROPINE 1% 15ML OS,$37.78 
BMC,Brookwood Medical Center ,AZELASTINE NASAL 30ML SP,$901.05 
BMC,Brookwood Medical Center ,ATROPINE 1% 3.5GM OO,$57.69 
BMC,Brookwood Medical Center ,AZELASTINE NASAL 17ML SP,"$1,412.22 "
BMC,Brookwood Medical Center ,BUDESONIDE NAS 8.6GM SP,"$1,074.07 "
BMC,Brookwood Medical Center ,BACITRACIN500U/GM3.5GMOO,$701.12 
BMC,Brookwood Medical Center ,BACITRA/POLYMYX 3.5GM OO,$262.75 
BMC,Brookwood Medical Center ,BECLOMETH NAS 16.8GM SP,$716.06 
BMC,Brookwood Medical Center ,BECLOMETH AQ NAS 25GM SP,"$1,117.83 "
BMC,Brookwood Medical Center ,BENZOC SPRAY PER DOSE TS,$347.20 
BMC,Brookwood Medical Center ,BENZOCAINE 20% 15ML OT,$196.91 
BMC,Brookwood Medical Center ,BETAXOLOL .25% 10ML OS,"$2,156.57 "
BMC,Brookwood Medical Center ,BETAXOLOL .25% 5ML OS,$604.66 
BMC,Brookwood Medical Center ,BENZOCAINE/ANTIPYR10MLOT,$43.77 
BMC,Brookwood Medical Center ,BIMATOPROST.03% 5ML OS,$676.26 
BMC,Brookwood Medical Center ,BIMATOPROST.03% 2.5ML OS,$857.26 
BMC,Brookwood Medical Center ,BUDESONIDE .25MG/2ML IS,$81.45 
BMC,Brookwood Medical Center ,BORIC ACID .05% 120ML OS,$145.20 
BMC,Brookwood Medical Center ,BUDESONIDE NAS 7GM IH,$602.67 
BMC,Brookwood Medical Center ,BRIMONIDINE .2% 5ML OS,$651.86 
BMC,Brookwood Medical Center ,BUTORPHANOL NS 2.5ML SP,"$1,427.04 "
BMC,Brookwood Medical Center ,BUDESONIDE 200MCG PW IH,"$2,219.72 "
BMC,Brookwood Medical Center ,BRINZOLAMIDE 1% 5ML OS,$481.34 
BMC,Brookwood Medical Center ,BRINZOLAMIDE 1% 10ML OS,"$1,977.60 "
BMC,Brookwood Medical Center ,CALCITONIN NS200U/2ML SP,$425.64 
BMC,Brookwood Medical Center ,BUDESONIDE .5MG/2ML IS,$100.64 
BMC,Brookwood Medical Center ,CARBACHOL .01% 1.5ML OS,$399.95 
BMC,Brookwood Medical Center ,BRIMONIDINE .15% 5ML OS,$942.49 
BMC,Brookwood Medical Center ,CALCITONINNS200U/3.7MLSP,"$1,076.90 "
BMC,Brookwood Medical Center ,BUDES/FORMOT80/4.5 6GMIH,"$1,836.97 "
BMC,Brookwood Medical Center ,BUDE/FORMOT160/4.5 6GMIH,"$2,113.07 "
BMC,Brookwood Medical Center ,CARBAMIDE PERX6.5%15MLOT,$129.36 
BMC,Brookwood Medical Center ,CARTEOLOL 1% 5ML OS,$331.48 
BMC,Brookwood Medical Center ,CIPROFLOXACIN.3%2.5MLOS,$229.76 
BMC,Brookwood Medical Center ,CIPROFLOXACIN .3% 5ML OS,$401.19 
BMC,Brookwood Medical Center ,COLFSCERIL NEO KT,"$5,231.09 "
BMC,Brookwood Medical Center ,CIPROFLOXACIN.3%3.5GM OO,"$1,303.77 "
BMC,Brookwood Medical Center ,CROMOLYN 4% 10ML OS,$264.54 
BMC,Brookwood Medical Center ,CROMOLYN NAS5.2MG13ML SP,$230.73 
BMC,Brookwood Medical Center ,CROMOLYN 10MG/ML 2ML IS,$23.86 
BMC,Brookwood Medical Center ,CYCLOPENTOLATE 1% 2ML OS,$192.99 
BMC,Brookwood Medical Center ,CYCLOPENTOLATE 2%2ML OS,$306.31 
BMC,Brookwood Medical Center ,CYCLOSPORINE.05% .4ML OS,$63.99 
BMC,Brookwood Medical Center ,DESMOPRESSIN .01%2.5MLSP,"$1,813.98 "
BMC,Brookwood Medical Center ,DESMOPRESSIN .01%5ML SP,"$2,237.17 "
BMC,Brookwood Medical Center ,DEXAMETHASONE.05%3.5GMOO,$242.66 
BMC,Brookwood Medical Center ,DEXAMETH/NEO/POLY 5ML OS,$399.72 
BMC,Brookwood Medical Center ,DEXAMETH/NEO/POLY3.5GMOO,$352.00 
BMC,Brookwood Medical Center ,DICLOFENAC .1% 2.5ML OS,$535.07 
BMC,Brookwood Medical Center ,DORNASE ALF2.5MG/2.5MLIS,"$1,060.15 "
BMC,Brookwood Medical Center ,DORZOLAMIDE 2% 5ML OS,$391.83 
BMC,Brookwood Medical Center ,DORZOLAMIDE 2% 10ML OS,$416.89 
BMC,Brookwood Medical Center ,DORZOLAMIDE/TIMOLOL5MLOS,$718.05 
BMC,Brookwood Medical Center ,DORZOLAMIDE/TIMOLO10MLOS,$980.80 
BMC,Brookwood Medical Center ,DORZOL/TIMOLOL .2MLUD OS,$26.63 
BMC,Brookwood Medical Center ,EPINEPHRINE1:1000 30MLTS,"$1,453.64 "
BMC,Brookwood Medical Center ,EPINEPHRINE 2.25%.5ML IS,$17.01 
BMC,Brookwood Medical Center ,EPINEPHRINE .3MG/15ML IH,$358.02 
BMC,Brookwood Medical Center ,ERYTHROMYCIN .5% 1GM OO,$125.54 
