 CULLMAN REGIONAL DRG,AVG. CHARGES
242-PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"$91,231.63 "
243-PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"$68,397.10 "
244-PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"$54,371.55 "
246-PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUT,"$68,584.10 "
247-PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"$60,873.86 "
248-PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-,"$63,303.28 "
249-PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O,"$56,918.71 "
252-OTHER VASCULAR PROCEDURES W MCC,"$68,162.14 "
253-OTHER VASCULAR PROCEDURES W CC,"$94,546.74 "
254-OTHER VASCULAR PROCEDURES W/O CC/MCC,"$28,150.13 "
256-UPPER LIMB  TOE AMPUTATION FOR CIRC SYSTEM DISORD,"$31,931.34 "
258-CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,"$52,280.92 "
259-CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,"$62,063.15 "
260-CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEME,"$78,392.86 "
261-CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEME,"$49,019.08 "
262-CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEME,"$50,982.98 "
264-OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$21,467.82 "
280-ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,"$35,445.14 "
281-ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,"$23,740.80 "
282-ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O C,"$21,727.08 "
283-ACUTE MYOCARDIAL INFARCTION EXPIRED W MCC,"$35,049.73 "
284-ACUTE MYOCARDIAL INFARCTION EXPIRED W CC,"$16,264.41 "
286-CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,"$38,251.20 "
287-CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O M,"$29,862.74 "
289-ACUTE  SUBACUTE ENDOCARDITIS W CC,"$29,455.54 "
291-HEART FAILURE  SHOCK W MCC OR PERIPHERAL EXTRACOR,"$28,209.63 "
292-HEART FAILURE  SHOCK W CC,"$19,638.73 "
293-HEART FAILURE  SHOCK W/O CC/MCC,"$14,901.55 "
296-CARDIAC ARREST UNEXPLAINED W MCC OR PERIPHERAL EXT,"$28,142.21 "
299-PERIPHERAL VASCULAR DISORDERS W MCC,"$24,684.14 "
300-PERIPHERAL VASCULAR DISORDERS W CC,"$20,942.47 "
301-PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$12,767.13 "
302-ATHEROSCLEROSIS W MCC,"$17,300.40 "
303-ATHEROSCLEROSIS W/O MCC,"$16,010.01 "
304-HYPERTENSION W MCC,"$14,264.10 "
305-HYPERTENSION W/O MCC,"$14,894.48 "
306-CARDIAC CONGENITAL  VALVULAR DISORDERS W MCC,"$10,128.62 "
307-CARDIAC CONGENITAL  VALVULAR DISORDERS W/O MCC,"$26,543.37 "
308-CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC,"$27,724.25 "
309-CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC,"$15,474.28 "
310-CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/M,"$12,123.76 "
311-ANGINA PECTORIS,"$17,591.54 "
312-SYNCOPE  COLLAPSE,"$19,086.06 "
313-CHEST PAIN,"$15,187.63 "
314-OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$50,279.85 "
315-OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$16,686.34 "
316-OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$18,172.72 "
326-STOMACH ESOPHAGEAL  DUODENAL PROC W MCC,"$104,081.17 "
327-STOMACH ESOPHAGEAL  DUODENAL PROC W CC,"$57,339.17 "
328-STOMACH ESOPHAGEAL  DUODENAL PROC W/O CC/MCC,"$28,022.25 "
329-MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC,"$129,200.66 "
330-MAJOR SMALL  LARGE BOWEL PROCEDURES W CC,"$58,007.68 "
331-MAJOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,"$34,411.97 "
334-RECTAL RESECTION W/O CC/MCC,"$41,283.92 "
335-PERITONEAL ADHESIOLYSIS W MCC,"$194,385.73 "
336-PERITONEAL ADHESIOLYSIS W CC,"$55,825.40 "
337-PERITONEAL ADHESIOLYSIS W/O CC/MCC,"$47,807.55 "
338-APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,"$178,942.17 "
339-APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"$53,098.29 "
340-APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/M,"$34,643.27 "
341-APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,"$54,716.88 "
342-APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"$24,895.60 "
343-APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC,"$26,194.02 "
344-MINOR SMALL  LARGE BOWEL PROCEDURES W MCC,"$14,019.37 "
346-MINOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,"$25,874.91 "
348-ANAL  STOMAL PROCEDURES W CC,"$25,095.03 "
349-ANAL  STOMAL PROCEDURES W/O CC/MCC,"$22,000.49 "
350-INGUINAL  FEMORAL HERNIA PROCEDURES W MCC,"$52,747.57 "
351-INGUINAL  FEMORAL HERNIA PROCEDURES W CC,"$30,604.73 "
352-INGUINAL  FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$24,776.60 "
353-HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W MCC,"$77,417.53 "
354-HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W CC,"$33,944.24 "
355-HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W/O CC,"$22,612.55 "
356-OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"$95,143.12 "
357-OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$20,595.00 "
358-OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"$14,088.09 "
368-MAJOR ESOPHAGEAL DISORDERS W MCC,"$25,778.60 "
369-MAJOR ESOPHAGEAL DISORDERS W CC,"$17,766.83 "
371-MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFE,"$43,297.07 "
372-MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFE,"$23,362.80 "
373-MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFE,"$18,376.20 "
374-DIGESTIVE MALIGNANCY W MCC,"$44,601.99 "
375-DIGESTIVE MALIGNANCY W CC,"$19,184.76 "
377-G.I. HEMORRHAGE W MCC,"$30,840.14 "
378-G.I. HEMORRHAGE W CC,"$20,450.04 "
379-G.I. HEMORRHAGE W/O CC/MCC,"$15,146.18 "
380-COMPLICATED PEPTIC ULCER W MCC,"$61,409.41 "
381-COMPLICATED PEPTIC ULCER W CC,"$19,968.30 "
382-COMPLICATED PEPTIC ULCER W/O CC/MCC,"$8,560.08 "
383-UNCOMPLICATED PEPTIC ULCER W MCC,"$62,039.81 "
384-UNCOMPLICATED PEPTIC ULCER W/O MCC,"$19,846.68 "
385-INFLAMMATORY BOWEL DISEASE W MCC,"$22,521.97 "
386-INFLAMMATORY BOWEL DISEASE W CC,"$24,817.03 "
387-INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$19,043.96 "
388-G.I. OBSTRUCTION W MCC,"$39,579.73 "
389-G.I. OBSTRUCTION W CC,"$17,764.81 "
38-EXTRACRANIAL PROCEDURES W CC,"$33,209.21 "
390-G.I. OBSTRUCTION W/O CC/MCC,"$14,507.16 "
391-ESOPHAGITIS GASTROENT  MISC DIGEST DISORDERS W MC,"$28,522.30 "
392-ESOPHAGITIS GASTROENT  MISC DIGEST DISORDERS W/O,"$15,631.44 "
393-OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$25,006.60 "
394-OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$23,562.17 "
395-OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$18,996.02 "
39-EXTRACRANIAL PROCEDURES W/O CC/MCC,"$24,315.43 "
3-ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE MOUTH,"$353,781.47 "
40-PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W MCC,"$69,549.81 "
414-CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W,"$515,330.97 "
415-CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W,"$109,203.92 "
417-LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$62,543.57 "
418-LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$37,782.37 "
419-LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$30,462.77 "
41-PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W CC O,"$46,641.82 "
42-PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W/O CC,"$84,398.06 "
432-CIRRHOSIS  ALCOHOLIC HEPATITIS W MCC,"$38,882.49 "
433-CIRRHOSIS  ALCOHOLIC HEPATITIS W CC,"$22,597.24 "
434-CIRRHOSIS  ALCOHOLIC HEPATITIS W/O CC/MCC,"$14,857.12 "
435-MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W M,"$39,541.13 "
436-MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W C,"$16,103.81 "
438-DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$43,345.30 "
439-DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$21,164.10 "
440-DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$15,325.88 "
441-DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA W MCC,"$40,546.20 "
442-DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA W CC,"$29,280.24 "
443-DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA W/O CC,"$18,616.13 "
444-DISORDERS OF THE BILIARY TRACT W MCC,"$29,354.42 "
445-DISORDERS OF THE BILIARY TRACT W CC,"$21,910.85 "
446-DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$17,234.04 "
454-COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"$99,973.09 "
455-COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/M,"$93,689.66 "
459-SPINAL FUSION EXCEPT CERVICAL W MCC,"$40,538.90 "
460-SPINAL FUSION EXCEPT CERVICAL W/O MCC,"$78,878.59 "
463-WND DEBRID  SKN GRFT EXC HAND FOR MUSCULO-CONN TI,"$133,914.52 "
464-WND DEBRID  SKN GRFT EXC HAND FOR MUSCULO-CONN TI,"$54,400.07 "
465-WND DEBRID  SKN GRFT EXC HAND FOR MUSCULO-CONN TI,"$35,114.86 "
466-REVISION OF HIP OR KNEE REPLACEMENT W MCC,"$63,633.03 "
467-REVISION OF HIP OR KNEE REPLACEMENT W CC,"$92,477.34 "
468-REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"$72,573.72 "
469-MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHME,"$72,344.63 "
470-MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHME,"$56,451.82 "
472-CERVICAL SPINAL FUSION W CC,"$42,868.63 "
473-CERVICAL SPINAL FUSION W/O CC/MCC,"$35,364.37 "
475-AMPUTATION FOR MUSCULOSKELETAL SYS  CONN TISSUE D,"$45,402.01 "
476-AMPUTATION FOR MUSCULOSKELETAL SYS  CONN TISSUE D,"$21,115.98 "
478-BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TI,"$46,507.25 "
480-HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"$65,871.52 "
481-HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"$46,193.55 "
482-HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/M,"$40,484.61 "
483-MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER E,"$71,709.42 "
488-KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"$29,257.42 "
492-LOWER EXTREM  HUMER PROC EXCEPT HIPFOOTFEMUR W MC,"$87,687.74 "
493-LOWER EXTREM  HUMER PROC EXCEPT HIPFOOTFEMUR W CC,"$44,846.29 "
494-LOWER EXTREM  HUMER PROC EXCEPT HIPFOOTFEMUR W/O,"$31,370.82 "
496-LOCAL EXCISION  REMOVAL INT FIX DEVICES EXC HIP,"$32,487.98 "
497-LOCAL EXCISION  REMOVAL INT FIX DEVICES EXC HIP,"$15,569.58 "
4-TRACH W MV >96 HRS OR PDX EXC FACE MOUTH  NECK W/,"$213,373.55 "
500-SOFT TISSUE PROCEDURES W MCC,"$39,341.90 "
501-SOFT TISSUE PROCEDURES W CC,"$23,351.93 "
502-SOFT TISSUE PROCEDURES W/O CC/MCC,"$17,035.98 "
504-FOOT PROCEDURES W CC,"$20,044.28 "
511-SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROC,"$25,964.83 "
512-SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROC,"$24,225.53 "
513-HAND OR WRIST PROC EXCEPT MAJOR THUMB OR JOINT PRO,"$14,356.59 "
514-HAND OR WRIST PROC EXCEPT MAJOR THUMB OR JOINT PRO,"$14,006.40 "
515-OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W MC,"$119,973.47 "
516-OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W CC,"$47,439.32 "
517-OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W/O,"$21,241.86 "
519-BACK  NECK PROC EXC SPINAL FUSION W CC,"$37,548.87 "
520-BACK  NECK PROC EXC SPINAL FUSION W/O CC/MCC,"$25,811.72 "
534-FRACTURES OF FEMUR W/O MCC,"$7,593.54 "
535-FRACTURES OF HIP  PELVIS W MCC,"$23,197.92 "
536-FRACTURES OF HIP  PELVIS W/O MCC,"$18,171.45 "
540-OSTEOMYELITIS W CC,"$27,752.98 "
542-PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS,"$26,110.03 "
543-PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS,"$10,410.89 "
544-PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS,"$14,772.33 "
545-CONNECTIVE TISSUE DISORDERS W MCC,"$35,970.79 "
549-SEPTIC ARTHRITIS W CC,"$5,735.10 "
54-NERVOUS SYSTEM NEOPLASMS W MCC,"$46,711.15 "
550-SEPTIC ARTHRITIS W/O CC/MCC,"$29,571.76 "
551-MEDICAL BACK PROBLEMS W MCC,"$21,413.64 "
552-MEDICAL BACK PROBLEMS W/O MCC,"$19,809.11 "
553-BONE DISEASES  ARTHROPATHIES W MCC,"$17,703.78 "
554-BONE DISEASES  ARTHROPATHIES W/O MCC,"$27,864.73 "
555-SIGNS  SYMPTOMS OF MUSCULOSKELETAL SYSTEM  CONN,"$41,808.35 "
556-SIGNS  SYMPTOMS OF MUSCULOSKELETAL SYSTEM  CONN,"$21,744.55 "
557-TENDONITIS MYOSITIS  BURSITIS W MCC,"$32,549.81 "
558-TENDONITIS MYOSITIS  BURSITIS W/O MCC,"$16,438.24 "
559-AFTERCARE MUSCULOSKELETAL SYSTEM  CONNECTIVE TISS,"$114,190.53 "
55-NERVOUS SYSTEM NEOPLASMS W/O MCC,"$23,474.38 "
560-AFTERCARE MUSCULOSKELETAL SYSTEM  CONNECTIVE TISS,"$19,409.75 "
561-AFTERCARE MUSCULOSKELETAL SYSTEM  CONNECTIVE TISS,"$14,147.10 "
562-FX SPRN STRN  DISL EXCEPT FEMUR HIP PELVIS  THIG,"$23,684.80 "
563-FX SPRN STRN  DISL EXCEPT FEMUR HIP PELVIS  THIG,"$18,801.83 "
565-OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAG,"$13,559.87 "
566-OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAG,"$14,931.26 "
56-DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$47,003.22 "
570-SKIN DEBRIDEMENT W MCC,"$42,451.99 "
571-SKIN DEBRIDEMENT W CC,"$23,801.82 "
572-SKIN DEBRIDEMENT W/O CC/MCC,"$15,837.60 "
579-OTHER SKIN SUBCUT TISS  BREAST PROC W MCC,"$47,511.39 "
57-DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$14,860.61 "
580-OTHER SKIN SUBCUT TISS  BREAST PROC W CC,"$30,592.63 "
581-OTHER SKIN SUBCUT TISS  BREAST PROC W/O CC/MCC,"$21,804.64 "
582-MASTECTOMY FOR MALIGNANCY W CC/MCC,"$28,043.68 "
583-MASTECTOMY FOR MALIGNANCY W/O CC/MCC,"$25,215.58 "
584-BREAST BIOPSY LOCAL EXCISION  OTHER BREAST PROCED,"$56,647.04 "
585-BREAST BIOPSY LOCAL EXCISION  OTHER BREAST PROCED,"$19,860.69 "
58-MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W MCC,"$13,892.32 "
592-SKIN ULCERS W MCC,"$10,138.97 "
593-SKIN ULCERS W CC,"$15,992.15 "
596-MAJOR SKIN DISORDERS W/O MCC,"$18,197.14 "
598-MALIGNANT BREAST DISORDERS W CC,"$14,417.83 "
59-MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W CC,"$13,817.96 "
600-NON-MALIGNANT BREAST DISORDERS W CC/MCC,"$11,272.67 "
602-CELLULITIS W MCC,"$25,543.43 "
603-CELLULITIS W/O MCC,"$14,652.50 "
604-TRAUMA TO THE SKIN SUBCUT TISS  BREAST W MCC,"$22,790.05 "
605-TRAUMA TO THE SKIN SUBCUT TISS  BREAST W/O MCC,"$16,584.80 "
607-MINOR SKIN DISORDERS W/O MCC,"$16,446.13 "
60-MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W/O CC/MCC,"$9,295.90 "
616-AMPUTAT OF LOWER LIMB FOR ENDOCRINENUTRIT METABOL,"$26,857.65 "
617-AMPUTAT OF LOWER LIMB FOR ENDOCRINENUTRIT METABOL,"$31,778.92 "
622-SKIN GRAFTS  WOUND DEBRID FOR ENDOC NUTRIT  META,"$64,677.37 "
623-SKIN GRAFTS  WOUND DEBRID FOR ENDOC NUTRIT  META,"$19,350.88 "
629-OTHER ENDOCRINE NUTRIT  METAB O.R. PROC W CC,"$35,471.96 "
637-DIABETES W MCC,"$27,149.89 "
638-DIABETES W CC,"$15,804.46 "
639-DIABETES W/O CC/MCC,"$14,384.39 "
640-MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTR,"$18,332.30 "
641-MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTR,"$13,685.58 "
642-INBORN AND OTHER DISORDERS OF METABOLISM,"$13,879.50 "
643-ENDOCRINE DISORDERS W MCC,"$45,305.11 "
644-ENDOCRINE DISORDERS W CC,"$19,630.04 "
645-ENDOCRINE DISORDERS W/O CC/MCC,"$19,937.97 "
64-INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W M,"$34,255.96 "
657-KIDNEY  URETER PROCEDURES FOR NEOPLASM W CC,"$33,810.02 "
658-KIDNEY  URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,"$36,624.00 "
659-KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W MCC,"$47,196.98 "
65-INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W C,"$27,248.03 "
660-KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W CC,"$15,653.82 "
661-KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W/O CC,"$31,449.73 "
663-MINOR BLADDER PROCEDURES W CC,"$47,315.63 "
664-MINOR BLADDER PROCEDURES W/O CC/MCC,"$17,786.92 "
666-PROSTATECTOMY W CC,"$19,039.25 "
667-PROSTATECTOMY W/O CC/MCC,"$16,862.79 "
668-TRANSURETHRAL PROCEDURES W MCC,"$42,341.42 "
669-TRANSURETHRAL PROCEDURES W CC,"$26,904.90 "
66-INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O,"$22,876.59 "
670-TRANSURETHRAL PROCEDURES W/O CC/MCC,"$15,424.87 "
673-OTHER KIDNEY  URINARY TRACT PROCEDURES W MCC,"$79,311.60 "
674-OTHER KIDNEY  URINARY TRACT PROCEDURES W CC,"$47,124.36 "
67-NONSPECIFIC CVA  PRECEREBRAL OCCLUSION W/O INFARC,"$27,996.39 "
682-RENAL FAILURE W MCC,"$33,502.79 "
683-RENAL FAILURE W CC,"$17,738.24 "
684-RENAL FAILURE W/O CC/MCC,"$10,622.43 "
686-KIDNEY  URINARY TRACT NEOPLASMS W MCC,"$8,235.32 "
687-KIDNEY  URINARY TRACT NEOPLASMS W CC,"$19,511.66 "
689-KIDNEY  URINARY TRACT INFECTIONS W MCC,"$21,837.84 "
68-NONSPECIFIC CVA  PRECEREBRAL OCCLUSION W/O INFARC,"$24,991.54 "
690-KIDNEY  URINARY TRACT INFECTIONS W/O MCC,"$17,298.86 "
694-URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$13,867.59 "
696-KIDNEY  URINARY TRACT SIGNS  SYMPTOMS W/O MCC,"$24,583.52 "
697-URETHRAL STRICTURE,"$18,719.49 "
698-OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC,"$24,222.03 "
699-OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC,"$20,981.14 "
69-TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$21,806.65 "
700-OTHER KIDNEY  URINARY TRACT DIAGNOSES W/O CC/MCC,"$16,225.56 "
709-PENIS PROCEDURES W CC/MCC,"$37,082.65 "
70-NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$34,430.12 "
711-TESTES PROCEDURES W CC/MCC,"$16,064.36 "
713-TRANSURETHRAL PROSTATECTOMY W CC/MCC,"$17,118.23 "
714-TRANSURETHRAL PROSTATECTOMY W/O CC/MCC,"$21,010.66 "
717-OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIG,"$57,067.40 "
718-OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIG,"$32,472.18 "
71-NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$26,040.89 "
727-INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC,"$40,194.78 "
728-INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O M,"$17,976.66 "
72-NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$18,257.55 "
730-OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W/O CC/MC,"$17,937.34 "
73-CRANIAL  PERIPHERAL NERVE DISORDERS W MCC,"$20,658.55 "
742-UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"$41,524.17 "
743-UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MC,"$21,493.62 "
