Hospital Name:  Fresno Surgical Hospital,,,,
OSHPD Facility No: 106104047,,,,
"Effective Date of Charges: June 1, 2018",,,,
,,,,
"In response to requests from hospitals and the public, OSHPD has developed this form to assist hospitals in collecting and submitting the average charge for 25 common outpatient procedures performed by hospitals, as required by AB 1045 (Chapter 532, Statutes of 2005).  Use of the OSHPD form is voluntary, but highly encouraged, as it allows hospitals to report and the public to compare uniform information regarding common outpatient procedures.",,,,
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge,,
"Repair of retinal detachment; with vitrectomy, any method, including, when performed, air or gas tamponade, focal endolaser photocoagulation, cryotherapy, drainage of subretinal fluid, scleral buckling, and/or removal of lens by same technique",67108,"$13,660.52",,
"Extracapsular cataract removal with insertion of intraocular lens prosthesis (1-stage procedure), manual or mechanical technique (eg, irrigation and aspiration or phacoemulsification), complex, requiring devices or techniques not generally used in routine cataract surgery (eg, iris expansion device, suture support for intraocular lens, or primary posterior capsulorrhexis) or performed on patients in the amblyogenic developmental stage",66982,,,
"Insertion or replacement of spinal neurostimulator pulse generator or receiver, direct or inductive coupling",63685,"$79,515.09",,
"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance (fluoroscopy or CT); cervical or thoracic, single facet joint",64633,"$10,851.12",,
Trabeculoplasty by laser surgery,65855,"$3,083.75",,
"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thoracic; with imaging guidance (ie, fluoroscopy or CT)",62321,"$4,955.39",,
"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",27447,"$41,907.86",,
"Hysteroscopy, surgical; with endometrial ablation (eg, endometrial resection, electrosurgical ablation, thermoablation) ",58563,,,
Excision or transposition of pterygium; with graft,65426,"$10,843.47",,
"Iridotomy/iridectomy by laser surgery (eg, for glaucoma) (per session)",66761,"$3,167.90",,
"Arthroscopy, shoulder, surgical; with rotator cuff repair",29827,"$29,211.14",,
"Tendon sheath incision (eg, for trigger finger)",26055,,,
"Vitrectomy, mechanical, pars plana approach; with endolaser panretinal photocoagulation",67040,"$11,670.46",,
"Injection, single (not via indwelling catheter), not including neurolytic substances, with or without contrast (for either localization or epidurography), of diagnostic or therapeutic substance(s) (including anesthetic, antispasmodic, opioid, steroid, other solution), epidural or subarachnoid; cervical or thoracic ",62310,,,
"Percutaneous implantation of neurostimulator electrode array, epidural",63650,,,
"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or ",64490,"$11,228.02",,
"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; single level ",64493,"$13,708.29",,
"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance (fluoroscopy or CT); lumbar or sacral, single facet joint",64635,"$11,344.80",,
"Vitrectomy, mechanical, pars plana approach; with removal of preretinal cellular membrane (eg, macular pucker)",67041,"$12,132.68",,
"Repair of complex retinal detachment (eg, proliferative vitreoretinopathy, stage C-1 or greater, diabetic traction retinal detachment, retinopathy of prematurity, retinal tear of greater than 90 degrees), with vitrectomy and membrane peeling, may include air, gas, or silicone oil tamponade, cryotherapy, endolaser photocoagulation, drainage of subretinal fluid, scleral buckling, and/or removal of lens",67113,"$16,406.78",,
"Injection procedure for sacroiliac joint; provision of anesthetic, steroid and/or other therapeutic agent, with or without arthrography",G0260,,,
,,,,
Count of Reported Procedures (minimum 25 required),,25,,
Instructions for Completing AB 1045 Common Outpatient Procedure Form,,,,
"1. Enter Hospital Name and OSHPD Facility Number.  Revise Effective Date of Charges, if necessary.",,,,
2. Enter Average Charge for at least 25 commonly performed outpatient procedures.  For Evaluation & Management,,,,
"    Services, do not include related ancillary charges.  For all other procedures, include related ancillary charges.",,,,
    NOTE:  The CPT codes are included on this form to help identify the listed procedures based on the frequencies,,,,
   across hospital-based ambulatory surgery data.  The average charge for all related services and procedures,,,,
"    (e.g., supplies, drugs, lab, use of operating room, etc.) should be included in the average charge for that procedure.",,,,
"3. Do not change procedure descriptions or CPT code references.  Use ""Other Common Outpatient Procedures"" ",,,,
    (rows 62-71) if you are unable to select procedures from list.,,,,
"4. Submit completed form as Excel (.xls) file, along with chargemaster and percent change in gross revenue",,,,
"    calculation, by e-mail to chargemaster@oshpd.ca.gov or by standard mail on CD.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
