St. Francis Medical Center # 106190754,,,
SFMC Dept#,Charge Number ,Charge Description, 06/01/2018 Default Price 
4710,9420605,AL HYD-MG HYD 300-150 TABLET, $1.00 
4710,9445891,AL HYD-MG HYD-SIMETH SUSP 30ML, $4.00 
4710,9445883,AL HYD-MG HYD-SIMETHICONE CHEW, $1.00 
4710,9452335,AL SULF-CA ACET 878-604MG TAB, $3.00 
4710,9452988,ALBUMIN 25% INJ 20ML, $268.00 
4710,9418799,ALBUMIN HUMAN  5% INJ 500ML, $692.00 
4710,9418807,ALBUMIN HUMAN 25% INJ 100ML, $549.00 
4710,9418815,ALBUMIN HUMAN 25% INJ 50ML, $571.00 
4710,9418781,ALBUMIN HUMAN 5% INJ 250ML, $557.00 
4509,6689251,ALBUMIN OTHER SOURCE QUAN EACH [AP, $2.83 
4509,6689244,ALBUMIN SERUM PLASMA/WHLE BLOOD [AP, $4.02 
4500,6520050,ALBUMIN SERUM PLASMA/WHOLE BLOOD, $161.00 
4500,6520100,ALBUMIN URINE MICROALBUMIN QUAN, $150.00 
4500,6520159,ALBUMIN URINE MICROALBUMIN QUAN, $150.00 
4509,6684658,ALBUMIN URINE MICROALBUMIN QUAN [AP, $5.11 
4509,6689319,ALBUMIN URINE MICROALBUMIN QUAN [AP, $5.11 
4509,6689400,ALBUMIN URINE MICROALBUMIN QUAN [AP, $5.11 
4710,9420670,ALBUTEROL 1.25MG/3ML INH SOL, $5.00 
4710,9420662,ALBUTEROL 2.5MG/0.5ML INH SOL, $3.00 
4710,9420647,ALBUTEROL 2.5MG/3ML INH SOL, $3.00 
4710,9420688,ALBUTEROL 2MG TABLET, $53.00 
4710,9445859,ALBUTEROL 2MG/5ML SYRUP, $2.00 
4710,9420704,ALBUTEROL 4MG TABLET, $53.00 
4710,9420746,ALBUTEROL HFA 18G INHALER, $122.00 
4710,9420720,ALBUTEROL HFA 6.8G INHALER, $156.00 
4710,9420738,ALBUTEROL HFA 8G INHALER, $62.00 
4710,9419177,ALCOHOL DEHYDRATED 1ML AMPULE, $218.00 
4710,9450818,ALDACTAZIDE 5-5MG/1ML ORAL SOL, $5.00 
4710,9420761,ALENDRONATE 10MG TABLET, $9.00 
4710,9420787,ALENDRONATE 40MG TABLET, $20.00 
4710,9420803,ALENDRONATE 70MG TABLET, $62.00 
4710,9419201,ALFENTANIL 500MCG/ML 2ML INJ, $148.00 
4710,9419219,ALFENTANIL 500MCG/ML 5ML INJ, $190.00 
4710,9420845,ALKALOL SOL 16OZ, $15.00 
4710,9420852,ALKA-SELTZER 324MG TABLET, $1.00 
4680,5420021,ALL PURPOSE DRAIN CATH 10FR W/TROCA, $806.00 
4680,5420039,ALL PURPOSE DRAIN CATH 14FR W/TROCA, $806.00 
4680,5420013,ALL PURPOSE DRAIN CATH 7FR 14.0, $932.00 
4680,5420047,ALL PURPOSE DRAIN CATH 8FR W/TROCAR, $806.00 
4509,6685614,ALLERGEN SPECIFIC IGE QN/SQ EA [AP, $4.70 
4509,6685622,ALLERGEN SPECIFIC IGE QN/SQ EA [AP, $4.70 
4509,6685663,ALLERGEN SPECIFIC IGE QN/SQ EA [AP, $4.70 
4509,6687313,ALLERGEN SPECIFIC IGE QN/SQ EA [AP, $4.70 
4470,6151062,ALLODERM GRAFT 320SQCM," $58,087.00 "
4470,6134035,ALLOGRAFT 2X3CM EPIFIX," $5,894.00 "
4470,6125769,ALLOGRAFT 3.5X3.5CM EPIFIX (415899)," $6,152.00 "
4470,6157713,ALLOGRAFT 30CM VASCULAR," $19,600.00 "
4470,6125777,ALLOGRAFT 4X4.5CM EPIFIX (415898)," $6,667.00 "
4470,6129647,ALLOGRAFT 4X7X3.5CM TISSUE," $19,027.00 "
4470,6142277,ALLOGRAFT 500MG AMNIOFIL," $5,923.00 "
4470,6138150,ALLOGRAFT CORE 5X5CM PLASTIC," $14,832.00 "
4470,6117824,ALLOGRAFT FIBULAR MATRIGRFT 150MM," $4,399.00 "
4470,6141543,ALLOGRAFT FLOGRAFT EXTREME PLUS," $25,493.00 "
4470,6135222,ALLOGRAFT GRAFTLINK (423556)," $10,176.00 "
4470,6113773,ALLOGRAFT GRAFTLINK ACL TISSUE," $10,641.00 "
4470,6157127,ALLOGRAFT GRAFTLINK PACK," $4,701.00 "
4470,6143663,ALLOGRAFT HUMAN AMNIOFILL 1000MG," $11,588.00 "
4470,6144364,ALLOGRAFT HUMAN AMNIOFILL 250MG," $2,961.00 "
4470,6134654,ALLOGRAFT HUMAN EPIXL 4X10CM," $18,360.00 "
4470,6143671,ALLOGRAFT HUMAN EPIXL 4X10CM," $18,360.00 "
4470,6153639,ALLOGRAFT HUMAN TISSUE 20X45X7," $9,881.00 "
4470,6127773,ALLOGRAFT IMPLANT HUMAN TISSUE," $10,450.00 "
4470,6153340,ALLOGRAFT PATELLA 10/10MM BOTH ENDS," $12,600.00 "
4470,6142335,ALLOGRAFT PATELLA TENDON 10MM," $20,600.00 "
4470,6150957,ALLOGRAFT PRE-SHAPED PATELLA," $13,248.00 "
4470,6153548,ALLOGRAFT TISS HUMAN 0.65X26.0CM," $6,825.00 "
4470,6154132,ALLOGRFT BONE VIVIGEN FORMABLE 15CC," $17,766.00 "
4470,6154256,ALLOGRFT BONE VIVIGEN FORMABLE LRG," $14,112.00 "
4710,9420878,ALLOPURINOL 100MG TABLET, $2.00 
4710,9420886,ALLOPURINOL 300MG TABLET, $3.00 
4509,6685556,ALPHA-1 ANTITRYPSIN TOTAL [AP, $14.63 
4509,6685465,ALPHA-FETOPROTEIN (AFP) SERUM [AP, $12.03 
4710,9420910,ALPRAZOLAM 0.25MG TABLET, $2.00 
4710,9420928,ALPRAZOLAM 0.5MG TABLET, $3.00 
4710,9420936,ALPRAZOLAM 1MG TABLET, $4.00 
4710,9457656,ALPROSTADIL 10MCG/ML 25ML INJ," $1,850.00 "
4710,9448218,ALPROSTADIL 500MCG/ML INJ, $635.00 
4710,9404179,ALTEPLASE 100MG INJECTION," $42,375.00 "
4710,9404195,ALTEPLASE 2MG INJECTION, $793.00 
4710,9404161,ALTEPLASE 50MG INJECTION," $13,142.00 "
4710,9446436,ALUM HYDRO 320MG/5ML SUSP 30ML, $3.00 
4710,9447715,ALUM SULFATE-CALCIUM ACET PKT, $4.00 
4710,9417700,ALUPENT 10MG/5ML SYRUP 5ML, $2.00 
4710,9421041,AMANTADINE 100MG CAPSULE, $7.00 
4710,9421058,AMANTADINE 100MG/10ML SYRUP, $5.00 
4710,9421132,AMERICAINE RECTAL OINTMENT 30G, $14.00 
4710,9462953,AMERIGEL OINTMENT 100GM, $189.00 
4710,9461278,AMERIGEL OINTMENT 115G, $227.00 
4710,9421140,AMERIGEL OINTMENT 28G, $69.00 
4570,5902309,AMI ANGIOPLASTY W OR W/O STENT," $42,757.00 "
4710,9452996,AMIKACIN 10MG/ML INJ 1ML, $2.00 
4710,9400342,AMIKACIN 500MG/2ML INJECTION, $145.00 
4710,9445958,AMIKACIN 5MG/1ML D5W INJ, $101.00 
4710,9460437,AMIKACIN 8MG/ML OPHTH SOL 10ML, $14.00 
4710,9421199,AMINO ACIDS 6% 500ML, $298.00 
4509,6676068,AMINO ACIDS 6+ QUAN EA SPMN [AP, $15.04 
4509,6680953,AMINO ACIDS SINGLE QUAN EA SPMN [AP, $18.36 
4509,6685192,AMINO ACIDS SINGLE QUAN EA SPMN [AP, $18.36 
4710,9421280,AMINOCAPROIC ACID 250MG SYRUP, $13.00 
4710,9421306,AMINOCAPROIC ACID 500MG TABLET, $24.00 
4710,9419250,AMINOCAPROIC ACID 5G/20ML INJ, $21.00 
4509,6681001,AMINOLEVULINIC ACID DELTA (ALA) [AP, $17.91 
4509,6687842,AMINOLEVULINIC ACID DELTA (ALA) [AP, $17.91 
4710,9400359,AMINOPHYLLINE 250MG/10ML INJ, $158.00 
4710,9400367,AMINOPHYLLINE 500MG/20ML INJ, $6.00 
4710,9457078,AMIODARONE 150MG/100ML INJ PREMIX, $297.00 
4710,9400375,AMIODARONE 150MG/3ML INJECTION, $17.00 
4710,9421371,AMIODARONE 200MG TABLET, $24.00 
4710,9457847,AMIODARONE 360MG/200ML INJ PREMIX, $362.00 
4710,9400383,AMIODARONE 450MG/9ML INJECTION, $140.00 
4710,9421405,AMITRIP-PERPHENAZINE 2-10 TAB, $4.00 
4710,9421413,AMITRIP-PERPHENAZINE 2-25 TAB, $4.00 
4710,9421421,AMITRIP-PERPHENAZINE 4-10 TAB, $4.00 
4710,9421439,AMITRIP-PERPHENAZINE 4-25 TAB, $5.00 
4710,9421447,AMITRIPTYLINE 100MG TABLET, $8.00 
4710,9421454,AMITRIPTYLINE 10MG TABLET, $1.00 
4710,9421470,AMITRIPTYLINE 25MG TABLET, $2.00 
4710,9421488,AMITRIPTYLINE 50MG TABLET, $4.00 
4710,9421496,AMITRIPTYLINE 75MG TABLET, $6.00 
4710,9421504,AMLODIPINE  10MG TABLET, $7.00 
4710,9421512,AMLODIPINE 2.5MG TABLET, $6.00 
4710,9421520,AMLODIPINE 5MG TABLET, $6.00 
4400,4103008,AMNIOCENTESIS DIAGNOSTIC, $601.00 
4400,4060711,AMNIOCENTESIS TREAPUTC FLUID REDUCE," $1,029.00 "
4470,5112149,AMNIOGRAFT 1.5 X 1.0 SIZE G," $2,884.00 "
4470,5112123,AMNIOGRAFT 2.0 X 1.5 SIZE 8 THICK," $3,451.00 "
4470,5115845,AMNIOGRAFT 2.0CM X 1.5CM SIZE B," $2,540.00 "
4470,5115548,AMNIOGRAFT 2.5CM X 2.0CM SIZE A," $3,966.00 "
4470,6141568,AMNIOTIC CHORION MEMBRANE 160MG," $14,938.00 "
4470,6108997,AMNIOTIC GUARD GRAFT 1.0X0.75CM," $1,983.00 "
4470,6143457,AMNIOTIC MEMBRANE 2ML 160MG," $10,277.00 "
4470,6141576,AMNIOTIC MEMBRANE 6 X 10CM," $22,995.00 "
4710,9459892,AMOX-CLAV 200MG-28.5MG/5ML SUSP 5ML, $6.00 
4710,9421728,AMOX-CLAV 250MG-62.5MG/5ML SUSP, $13.00 
4710,9459900,AMOX-CLAV 400MG-57MG/5ML SUSP 5ML, $12.00 
4710,9459918,AMOX-CLAV 600MG-42.9MG/5ML SUSP, $11.00 
4710,9465568,AMOXICILLIN 125MG/5ML 100ML, $11.00 
4710,9448697,AMOXICILLIN 125MG/5ML SUSP, $2.00 
4710,9421637,AMOXICILLIN 2.5G/100ML SUSP, $19.00 
4710,9421645,AMOXICILLIN 250MG CAPSULE, $1.00 
4710,9421686,AMOXICILLIN 250MG/5ML SUSP, $2.00 
4710,9421702,AMOXICILLIN 500MG CAPSULE, $2.00 
4710,9422650,AMOXICILLIN-CLAVULANATE 250-125MG T, $18.00 
4710,9459348,AMP/SULBACTAM 45MG/1ML INJ, $102.00 
4710,9400409,AMPHOTERICIN B 50MG INJECTION, $323.00 
4710,9400441,AMPHOTERICIN B LIPID 100MG INJ," $1,295.00 "
4710,9462425,AMPHOTERICIN B LIPO 4MG/ML INJ, $179.00 
4710,9400458,AMPHOTERICIN B LIPO 50MG INJ," $1,085.00 "
4710,9400474,AMPICILLIN 1000MG INJECTION, $131.00 
4710,9400466,AMPICILLIN 125MG INJECTION, $122.00 
4710,9421744,AMPICILLIN 125MG/5ML SUSP, $2.00 
4710,9400508,AMPICILLIN 2000MG INJECTION, $143.00 
4710,9400482,AMPICILLIN 250MG INJECTION, $18.00 
4710,9447186,AMPICILLIN 250MG INJECTION, $109.00 
4710,9421785,AMPICILLIN 250MG/5ML SUSP, $3.00 
4710,9421793,AMPICILLIN 500MG CAPSULE, $2.00 
4710,9447210,AMPICILLIN 500MG INJECTION, $20.00 
4710,9400581,AMPICILLIN/SULBACTAM 1.5G INJ, $31.00 
4710,9400599,AMPICILLIN/SULBACTAM 3G INJ, $142.00 
4630,5566732,AMPLATS SPR STF GW/035/145, $673.00 
4630,5566740,AMPLATS SPR STF X CH/035/260, $673.00 
4570,5966742,AMPLATS SPR STF X CH/035/260, $673.00 
4630,5566591,AMPLATZ GOOS NK NARE 10MM," $1,912.00 "
4630,5566609,AMPLATZ GOOS NK SNARE 15MM," $1,912.00 "
4630,5566617,AMPLATZ GOOS NK SNARE 20MM," $1,912.00 "
4630,5566625,AMPLATZ GOOS NK SNARE 5MM," $1,912.00 "
4470,6107213,AMPLATZ GOOSE NECK SNARE KIT," $2,880.00 "
4710,9421801,AMYL NITRATE 0.3ML INH AMPULE, $2.00 
4710,9421850,ANASTROZOLE 1MG TABLET, $53.00 
4470,6140982,ANCHOR ARTHREX 5.5MM CORKSCREW," $2,539.00 "
4470,6129209,ANCHOR BIO SUTURE TAK KIT," $2,519.00 "
4470,5186135,ANCHOR STA TAK 3.5MM ZIMM, $773.00 
4470,5183942,ANCHOR SUT 5.5MM BIO-COMP," $1,674.00 "
4470,5191267,ANCHOR SUT BCSBR FBRWR 15MM 5.5MM," $1,046.00 "
4470,6150015,ANCHOR SUTURE 2.8MM CONS DEPLOY," $2,083.00 "
4470,6121982,ANCHOR SUTURE 3.5 USP #0," $6,075.00 "
4470,6129597,ANCHOR SUTURE 3X14MM ARTHROS," $4,122.00 "
4470,6135842,ANCHOR SUTURE 4.5MM X 15MML," $2,395.00 "
4470,6125611,ANCHOR SUTURE 4.75MM HEALICOIL," $1,854.00 "
4470,6128367,ANCHOR SUTURE 5.5MM HEALCOIL," $1,854.00 "
4470,6127427,ANCHOR SUTURE 5.5MM HEALICOIL," $2,318.00 "
4470,6146187,ANCHOR SUTURE 5.5MM TWINFIX," $1,541.00 "
4470,6123046,ANCHOR SUTURE 8X19.1MM (418834)," $3,203.00 "
