Procedure Code,Procedure Name,Charge
025000000-01740,CLINDAMYCIN 300 MG/50 ML IN DEXTROSE 5% IV PIGGY BACK,$31.55 
025000000-01774,LUBIPROSTONE 8 MCG CAPSULE,$32.26 
025000000-01808,OXYCODONE 20 MG/ML ORAL CONCENTRATE,$33.15 
025000000-01819,LUBIPROSTONE 24 MCG CAPSULE,$33.70 
025000000-01822,POTASSIUM PHOSPHATE DIBASIC 3 MILLIMOLE/ML IV,$33.83 
025000000-01842,LEVETIRACETAM 500 MG/5 ML (5 ML) ORAL SOLUTION,$34.27 
025000000-01844,AMOXICILLIN 400 MG-POTASSIUM CLAVULANATE 57 MG/5 ML ORAL SUSPENSION,$34.30 
025000000-01849,CHLOROTHIAZIDE (DIURILN) 15 MG/ML IV SYRINGE (NEONATE),$34.79 
025000000-01853,ALUM IRRIGATION 30GM,$34.90 
025000000-01856,LIDOCAINE 2 % MUCOUS MEMBRANE JELLY IN APPLICATOR,$34.95 
025000000-01858,CISATRACURIUM 2 MG/ML IV,$35.01 
025000000-01878,ACYCLOVIR 200 MG/5 ML ORAL SUSP,$36.01 
025000000-01879,FENTANYL (PF) 10 MCG/2 ML (5 MCG/ML) IN 0.9 % NACL IV SYRINGE,$36.05 
025000000-01880,SODIUM GLYCEROPHOSPHATE 1 MMOL/ML INTRAVENOUS SOLUTION,$36.14 
025000000-01883,TELMISARTAN 40 MG TABLET,$36.20 
025000000-01894,EPHEDRINE (PF) 5 MG/ML SYRINGE,$36.50 
025000000-01906,BUPRENORPHINE HCL 8 MG SUBLINGUAL TABLET,$36.97 
025000000-01914,SODIUM BICARBONATE 8.4 % (1 MEQ/ML)IV - VIAL,$37.31 
025000000-01925,OLMESARTAN 20 MG-HYDROCHLOROTHIAZIDE 12.5 MG TABLET,$38.05 
025000000-01937,"VORICONAZOLE (10MG/ML) 1% FORTIFIED EYE SOLN, 15ML",$38.36 
025000000-01946,LIDOCAINE 2% JELLY,$38.60 
025000000-01963,METHADONE 10 MG/5 ML ORAL SOLUTION,$39.27 
025000000-01974,FLURBIPROFEN 0.03 % EYE DROPS,$39.65 
025000000-01976,LACTULOSE 20 GRAM ORAL PACKET,$39.75 
025000000-01991,MAGNESIUM SULFATE 4 GRAM/50 ML (8 %) IN WATER INTRAVENOUS PIGGYBACK,$40.20 
025000000-01995,CEFTAZIDIME (22.5MG/ML) OPHTHALMIC INJ,$40.40 
025000000-02001,SODIUM BICARBONATE 8.4 % (1 MEQ/ML) IV SYRINGE,$40.48 
025000000-02005,VANCOMYCIN 10 MG/ML INTRATHECAL (NEURO ONLY),$40.54 
025000000-02013,CYCLOPENTOLATE 1 % EYE DROPS,$40.72 
025000000-02087,BENZOIN TOPICAL COMPOUND TINCTURE,$41.45 
025000000-02089,SODIUM BICARBONATE 4.2 % (0.5 MEQ/ML) IV SYRINGE,$41.51 
025000000-02094,WHITE PETROLATUM-MINERAL OIL 94 %-3 % EYE OINTMENT,$41.95 
025000000-02121,SODIUM CHLORIDE 5 % EYE OINTMENT,$42.60 
025000000-02123,LIDOCAINE 5 % ADHESIVE PATCH,$42.61 
025000000-02140,"BACITRACIN-POLYMYXIN B 500 UNIT-10,000 UNIT/GRAM TOPICAL OINTMENT",$42.94 
025000000-02154,SALMETEROL 50 MCG/DOSE DISK POWDER FOR INHALATION,$43.22 
025000000-02179,CEFAZOLIN 3 GRAM/100ML IN DEXTROSE (ISO-OSMOTIC) IV PIGGY BACK,$44.00 
025000000-02194,FLUORESCEIN 500 MG/5 ML (10 %) IV,$44.40 
025000000-02214,MAGNESIUM SULFATE 6 GRAM/150 ML (4 %) IV PIGGYBACK,$44.87 
025000000-02226,CLOBAZAM 10 MG TABLET,$45.02 
025000000-02256,ZIDOVUDINE 2 MG/ML IV SYRINGE (NEONATE),$45.70 
025000000-02306,CAFFEINE-SODIUM BENZOATE 250 MG/ML(125 MG/ML CAFFEINE) INJECTION,$46.69 
025000000-02307,NAFCILLIN 1 GRAM SOLUTION FOR INJECTION,$46.73 
025000000-02339,CLINDAMYCIN 600 MG/50 ML IN DEXTROSE 5% IV PIGGY BACK,$47.50 
025000000-02369,TETRACAINE 0.5 % EYE DROPS,$47.90 
025000000-02400,LABETALOL 5 MG/ML SYRINGE,$48.40 
025000000-02454,"CARVEDILOL PHOSPHATE ER 20 MG CAPSULE,EXT.RELEASE24HR MULTIPHASE",$50.00 
025000000-02529,HYDROMORPHONE 25 MG/25 ML PCA SYRINGE (STANDARD PCA),$51.47 
025000000-02557,TROPICAMIDE 1 % EYE DROPS,$51.92 
025000000-02594,LEECH,$52.70 
025000000-02612,ZINC CHLORIDE 1 MG/ML IV,$53.23 
025000000-02640,SODIUM BICARBONATE 10 MEQ/10 ML (8.4 %) IV SYRINGE,$53.96 
025000000-02672,MEGESTROL 400 MG/10 ML (40 MG/ML) ORAL SUSP,$54.50 
025000000-02703,ESMOLOL 100 MG/10 ML (10 MG/ML) IV,$55.09 
025000000-02710,AMMONIUM LACTATE 12 % LOTION,$55.20 
025000000-02720,WHITE PETROLATUM 42 % TOPICAL OINTMENT,$55.70 
025000000-02722,TETRACAINE HCL (PF) 0.5 % EYE DROPS,$55.76 
025000000-02753,TADALAFIL 2.5 MG TABLET,$56.50 
025000000-02756,HETASTARCH 6 % IN 0.9 % SODIUM CHLORIDE IV,$56.60 
025000000-02792,CALCIUM CHLORIDE 100 MG/ML (10 %) IV,$57.33 
025000000-02819,CLINDAMYCIN 900 MG/50 ML IN DEXTROSE 5% IV PIGGY BACK,$57.94 
025000000-02850,"MIRABEGRON ER 25 MG TABLET,EXTENDED RELEASE 24 HR",$58.75 
025000000-02859,FLUORESCEIN-BENOXINATE 0.25 %-0.4 % EYE DROPS,$59.05 
025000000-02861,TERBINAFINE 250 MG TABLET,$59.15 
025000000-02866,BALANCED SALT IRRIG SOLN COMB1 INTRAOCULAR,$59.44 
025000000-02870,"TRIMETHOPRIM 0.1 %-POLYMYXIN B 10,000 UNIT/ML EYE DROPS",$59.69 
025000000-02892,"ALCOHOL, UNSPECIFIED 95 % LIQUID",$60.15 
025000000-02902,"BACITRACIN 50,000 UNIT IM",$60.44 
025000000-02964,NAFCILLIN 1 GRAM IV SOLUTION,$61.65 
025000000-03001,ARTIFICIAL TEAR (GONIOSCOPIC HYPROMELLOSE) 2.5 % EYE DROPS,$62.81 
025000000-03017,ARGININE HCL (L-ARGININE) 10 % IV,$63.20 
025000000-03023,BALANCED SALT IRRIG SOLN COMB2 INTRAOCULAR,$63.50 
025000000-03038,ACYCLOVIR (ZOVIRAX) 5 MG/ML IV SYRINGE (NEONATE),$64.00 
025000000-03078,ENT MOUTHWASH,$65.40 
025000000-03087,LANTHANUM 500 MG CHEWABLE TABLET,$65.45 
025000000-03106,VERAPAMIL 2.5 MG/ML IV,$66.08 
025000000-03107,SARGRAMOSTIM 25 MCG/ML IV SYRINGE (NEONATE),$66.08 
025000000-03116,VALPROATE SODIUM 500 MG/5 ML (100 MG/ML) IV,$66.40 
025000000-03134,TIMOLOL MALEATE 0.5 % EYE DROPS,$67.07 
025000000-03140,CEFTAZIDIME (25MG/ML) OPHTHALMIC INJ,$67.35 
025000000-03174,PERAMPANEL 2 MG TABLET,$68.09 
025000000-03218,LINAGLIPTIN 5 MG TABLET,$69.20 
025000000-03292,NOREPINEPHRINE BITARTRATE 1 MG/ML IV,$71.79 
025000000-03297,SUCCINYLCHOLINE CHLORIDE 20 MG/ML SYRINGE,$72.00 
025000000-03359,DEXMEDETOMIDINE 200 MCG/2 ML IV,$73.33 
025000000-03427,MINERAL OIL (STERILE),$75.83 
025000000-03430,MAGNESIUM/GLYCERIN/WATER SOLN (MGW) ENEMA 300 ML,$75.85 
025000000-03501,ADULT MULTIPLE VITAMIN INJECTION,$77.70 
025000000-03646,SARGRAMOSTIM 100 MCG/ML SUB-Q SYRINGE (NEONATE),$83.80 
025000000-03650,FENTANYL 500 MCG/25 ML  PCA SYRINGE (STANDARD PCA),$84.00 
025000000-03672,SULFAMETHOXAZOLE-TMP 400 MG-80 MG/5 ML IV,$84.55 
025000000-03681,SODIUM PHOSPHATE 3 MILLIMOLE/ML IV,$84.96 
025000000-03709,CEFTRIAXONE (ROCEPHIN) 25 MG/ML IV SYRINGE (NEONATE),$86.50 
025000000-03718,GENTAMICIN 0.3 % EYE DROPS,$87.10 
025000000-03865,ACETYLCYSTEINE 200 MG/ML (20 %) SOLN,$90.00 
025000000-03872,"NEOMYCIN-POLYMYXIN-DEXAMETH 3.5 MG/ML-10,000 UNIT/ML-0.1% EYE DROPS",$90.20 
025000000-03873,ATROPINE 1 % EYE OINTMENT,$90.40 
025000000-03875,NAFCILLIN 2 GRAM SOLUTION FOR INJECTION,$90.50 
