Charge / Procedure Number,Billing Description,CDM Price
0{189},BH CCSS-I H2015-GT VTC NB,18.20
0{19},S5151 Billable Units 6,477.90
0{190},BH CM T1016,18.20
0{191},BH CM T1016 VTC,18.20
0{192},BH CM T1016 PHONE,18.20
0{193},BH CM T1016-GT VTC NB,18.20
0{194},BH CM T1016 PHONE NB,18.20
0{195},T2021 Billable Unit 2,17.10
0{196},T2021 Nonbillable Unit 2,17.10
0{197},T2021 Billable Unit 3,17.10
0{198},T2021 Nonbillable Unit 3,17.10
0{199},T2021 Billable Unit 4,17.10
0{2},DD T2024 U2 Non-Billable Unit,573.36
0{20},S5151 Nonbillable Unit 6,477.90
0{200},T2021 Nonbillable Unit 4,17.10
0{201},T2021 Billable Unit 5,17.10
0{202},T2021 Nonbillable Unit 5,17.10
0{203},T2021 Billable Unit 6,17.10
0{204},T2021 Nonbillable Unit 6,17.10
0{205},T2021 Billable Unit 7,17.10
0{206},T2021 Nonbillable Unit 7,17.10
0{207},T2021 Billable Unit 8,17.10
0{208},T2021 Nonbillable Unit 8,17.10
0{209},T2021 Billable Unit 10,17.10
0{21},S5151 Billable Units 7,477.90
0{210},T2021 Nonbillable Unit 10,17.10
0{211},T2021 Billable Unit 11,17.10
0{212},T2021 Nonbillable Unit 11,17.10
0{213},T2021 Billable Unit 12,17.10
0{214},T2021 Nonbillable Unit 12,17.10
0{215},T2021 Billable Unit 13,17.10
0{216},T2021 Nonbillable Unit 13,17.10
0{217},T2021 Billable Unit 14,17.10
0{218},T2021 Nonbillable Unit 14,17.10
0{219},T2021 Billable Unit 15,17.10
0{22},S5151 Nonbillable Unit 7,477.90
0{220},T2021 Nonbillable Unit 15,17.10
0{221},T2021 Billable Unit 16,17.10
0{222},T2021 Nonbillable Unit 16,17.10
0{223},T2021 Nonbillable Unit 1,17.10
0{224},T2017 Billable Unit 2,17.00
0{225},T2017 Nonbillable Unit 2,17.00
0{226},T2017 Billable Unit 3,17.00
0{227},T2017 Nonbillable Unit 3,17.00
0{228},T2017 Billable Unit 4,17.00
0{229},T2017 Nonbillable Unit 4,17.00
0{23},S5151 Billable Units 8,477.90
0{230},T2017 Billable Unit 5,17.00
0{231},T2017 Nonbillable Unit 5,17.00
0{232},T2017 Billable Unit 6,17.00
0{233},T2017 Nonbillable Unit 6,17.00
0{234},T2017 Billable Unit 7,17.00
0{235},T2017 Nonbillable Unit 7,17.00
0{236},T2017 Billable Unit 8,17.00
0{237},T2017 Nonbillable Unit 8,17.00
0{238},T2017 Billable Unit 9,17.00
0{239},T2017 Nonbillable Unit 9,17.00
0{24},S5151 Nonbillable Unit 8,477.90
0{240},T2017 Billable Unit 10,17.00
0{241},T2017 Nonbillable Unit 10,17.00
0{242},T2017 Billable Unit 11,17.00
0{243},T2017 Nonbillable Unit 11,17.00
0{244},T2017 Billable Unit 12,17.00
0{245},T2017 Nonbillable Unit 12,17.00
0{246},T2017 Billable Unit 13,17.00
0{247},T2017 Nonbillable Unit 13,17.00
0{248},T2017 Billable Unit 14,17.00
0{249},T2017 Nonbillable Unit 14,17.00
0{25},S5151 Billable Unit 9,477.90
0{250},T2017 Billable Unit 15,17.00
0{251},T2017 Nonbillable Unit 15,17.00
0{252},T2017 Billable Unit 16,17.00
0{253},T2017 Nonbillable Unit 16,17.00
0{254},T2017 Billable Unit 1,17.00
0{255},S5150 Billable Unit 2,10.00
0{256},S5150 Nonbillable Unit 2,10.00
0{257},S5150 Billable Unit 3,10.00
0{258},S5150 Nonbillable Unit 3,10.00
0{259},S5150 Billable Unit 4,10.00
0{26},S5151 Nonbillable Unit 9,477.90
0{260},S5150 Nonbillable Unit 4,10.00
0{261},S5150 Billable Unit 5,10.00
0{262},S5150 Nonbillable Unit 5,10.00
0{263},S5150 Billable Unit 6,10.00
0{264},S5150 Nonbillable Unit 6,10.00
0{265},S5150 Billable Unit 7,10.00
0{266},S5150 Nonbillable Unit 7,10.00
0{267},S5150 Billable Unit 8,10.00
0{268},S5150 Nonbillable Unit 8,10.00
0{269},S5150 Billable Unit 9,10.00
0{27},S5151 Billable Unit 10,477.90
0{270},S5150 Nonbillable Unit 9,10.00
0{271},S5150 Billable Unit 10,10.00
0{272},S5150 Nonbillable Unit 10,10.00
0{273},S5150 Billable Unit 11,10.00
0{274},S5150 Nonbillable Unit 11,10.00
0{275},S5150 Billable Unit 12,10.00
0{276},S5150 Nonbillable Unit 12,10.00
0{277},S5150 Billable Unit 13,10.00
0{278},S5150 Nonbillable Unit 13,10.00
0{279},S5150 Billable Unit 14,10.00
0{28},S5151 Nonbillable Unit 10,477.90
0{280},S5150 Nonbillable Unit 14,10.00
0{281},S5150 Billable Unit 15,10.00
0{282},S5150 Nonbillable Unit 15,10.00
0{283},S5150 Billable Unit 16,10.00
0{284},S5150 Nonbillable Unit 16,10.00
0{285},S5150 Billable Unit 1,10.00
0{286},S5150 Nonbillable Unit 1,10.00
0{287},BH CCSS-G H2015-HQ NB,9.60
0{288},BH CCSS-G H2015-HQ-GT VTC,9.60
0{289},BH CCSS-G H2015-HQ-GT VTC NB,9.60
0{29},S5151 Billable Unit 11,477.90
0{290},BH CCSS-G H2015-HQ,9.60
0{291},BH TBHS H2019-HQ-GT VTC,9.60
0{292},BH TBHS-G H2019-HQ,9.60
0{293},BH TBHS-G H2019-HQ NB,9.60
0{3},BH Group Therapy 90853 60/90,532.90
0{30},S5151 Nonbillable Unit 11,477.90
0{31},S5151 Billable Unit 12,477.90
0{32},S5151 Nonbillable Unit 12,477.90
0{33},S5151 Billable Unit 13,477.90
0{34},S5151 Nonbillable Unit 13,477.90
0{35},S5151 Billable Unit 14,477.90
0{36},S5151 Nonbillable Unit 14,477.90
0{37},S5151 Billable Unit 15,477.90
0{38},S5151 Nonbillable Unit 15,477.90
0{39},S5151 Billable Unit 16,477.90
0{4},BH Group Therapy 90853 60/90 NB,532.90
0{40},S5151 Nonbillable Unit 16,477.90
0{41},S5151 Billable Units 1,477.90
0{42},S5151 Nonbillable Unit 1,477.90
0{43},BH 90847-GT VTC (60MIN) NB,421.00
0{44},BH 90847-GT (60/90) VTC NB,421.00
0{45},BH 90847-U7-GT (60MIN) VTC,421.00
0{46},BH 90847-U7-GT (60/90) VTC,421.00
0{47},BH 90846-GT (60/90) VTC NB,404.40
0{48},BH 90846-GT VTC NB,404.40
0{49},BH 90846-GT (60/90) VTC,404.40
0{5},BH Group Therapy 90853,532.90
0{50},BH 90846-GT (60MIN) VTC,404.40
0{51},BH 90846-GT (60MIN) VTC NB,404.40
0{52},DD T2022 Monthly CC Billable Unit,383.90
0{53},DD T2022 Monthly CC Non-Billable Unit,383.90
0{54},BH Individual Therapy 90837  60/90 Min.,351.00
0{55},BH Individual Therapy 90837 60/90 NB,351.00
0{56},BH Individual Therapy 90837,351.00
0{57},BH Individual Therapy 90837 NB,351.00
0{58},BH Individual Therapy 90834,351.00
0{59},BH Individual Therapy 90834 NB,351.00
0{6},BH Group Therapy 90853 NB,532.90
0{60},FIT T2023 Unit(s),340.30
0{61},FIT T2023 Non-billable,340.30
0{62},BH H0031-HH-GT billable unit,337.10
0{63},BH H0031-HH-GT Nonbillable unit,337.10
0{64},BH IIA Billable Unit,337.10
0{65},BH IIA Non-Billable Unit,337.10
0{66},BH 90834-GT VTC NB,335.60
0{67},BH 90834-GT (45MIN) VTC,335.60
0{68},BH 90834-GT (45MIN) VTC NB,335.60
0{69},FIT 92606 Unit(s),320.70
0{7},BH 90837-GT VTC (60/90) NB,503.20
0{70},FIT 92606 Non-billable,320.70
0{71},FIT 92526 Unit(s),308.80
0{72},FIT 92526 Non-billable,308.80
0{73},AMB Only Nebulizer Admin,288.50
0{74},FIT 92507 Unit(s),284.80
0{75},FIT 92507 Non-billable,284.80
0{76},BH Group Therapy 90853-U7 30/90,266.40
0{77},BH Group Therapy 90853-U7 NB,266.40
0{78},BH Group Therapy 90853-U7,266.40
0{79},BH Group Therapy 90853-U7 30/90 NB,266.40
0{8},BH 90837-GT (60MIN) VTC,503.20
0{80},BH 90832-GT (30MIN) VTC,251.30
0{81},BH 90832-GT (30/90MIN) VTC,251.30
0{82},BH 90832-GT (30MIN) VTC NB,251.30
0{83},BH 90832-GT(30/90) VTC NB,251.30
0{84},BH Family Therapy 90847 60/90 NB,247.20
0{85},BH Family Therapy 90847 60/90,247.20
0{86},BH Family Therapy 90847,247.20
0{87},BH Family Therapy 90847 NB,247.20
0{88},BH Family Therapy 90847-U7 NB,218.30
0{89},BH Family Therapy 90847-U7,218.30
0{9},BH 90837-GT (60/90MIN) VTC,503.20
0{90},BH Family Therapy 90847-U7 30/90 NB,218.30
0{91},BH Family Therapy 90847-U7 30/90,218.30
0{92},BH Family Therapy 90846,206.50
0{93},BH Family Therapy 90846 60/90,206.50
0{94},BH Family Therapy 90846 60/90 NB,206.50
0{95},BH Family Therapy 90846 NB,206.50
0{96},BH MHA Billable Unit,196.90
0{97},BH MHA Non-Billable Unit,196.90
0{98},BH H0031-GT billable unit,196.90
0{99},DSMT Group Session 2 or more pers Medicare (G0109),194.00
101554474,"Protein Electrophoresis w/ Interp, 24Hr Urine",15.40
101554478,"Protein Electrophoresis w/ Interp, Serum",15.40
101554486,Human Immunodeficiency Virus 1/O/2 Antigen/Antibod,97.40
103136395,ED Apply Hip Spica Cast 1 leg,395.90
103136663,IV Infusion ADDL New drug upto 1hr,249.10
103136688,IV Infusion concurrent Infusion,238.90
103136799,Rest Dislocated Jaw Closed TX,233.30
104246105,Voice Amplifier,458.00
104567360,Closed TX Treat Humerus Fracture W/Manip,"1,505.50"
104572009,ED Closed TX Ulna Fracture W/Manip,"1,186.60"
109855244,"Varicella Zoster Virus (VZV), DNA PCR",142.90
119390025,"Human Immunodeficiency Virus 1/O/2 Antibodies, Pre",180.50
122688055,Reduction of Rectal Prolapse,591.70
122959245,NON-BILLABLE Child Development Visit,17.10
122959573,NON-BILLABLE Developmental Testing; Extended,341.30
122959589,NON-BILLABLE Developmental Testing; Limited,83.50
122959641,NON-BILLABLE Target Case Management,340.30
1336291,Rh Typing,10.70
1336292,Split,131.60
1336875,Anaerobic Culture,277.90
1336876,Stool Culture Additional,35.60
1338142,"Hydroxyprogesterone, 17-d",173.30
1338144,Immunoassay for analyte other than infectious agent antibody,181.70
1338147,Hepatitis A antibody (HAAb); total,177.60
1338148,Hepatitis C antibody;,177.60
135097327,VBAC With PP Care,"4,320.70"
1364394,Pooling,43.90
1364395,Thawing,64.20
1368127,ROOM/BED: Semi Private,95.70
1368127,ROOM/BED: Semi Private,116.84
1368127,ROOM/BED: Semi Private,206.98
1368127,ROOM/BED: Semi Private,235.04
1368127,ROOM/BED: Semi Private,479.61
1368127,ROOM/BED: Semi Private,"3,213.00"
1368127{2},ROOM/BED: Semi Private,"3,213.00"
1368127{3},ROOM/BED: Semi Private,"3,213.00"
1368127{4},ROOM/BED: Semi Private,"3,213.00"
1368127{5},ROOM/BED: Semi Private,"3,213.00"
1368127{6},ROOM/BED: Semi Private,"3,213.00"
1368127{7},ROOM/BED: Semi Private,998.00
1368127{8},ROOM/BED: Semi Private,116.84
141476289,Eye Photography with interpretation and report,51.40
141477135,Cardio Stress test supervision only,73.30
141789693,I&D Mouth Lesion,"1,056.10"
141789777,Fine Needle Aspiration WO guidance,403.40
148383161,"Acylcarnitine Profile, Quantitative",51.40
149238477,HIV 4th Gen,180.50
155299757,"Nicotine and Metabolite, Qnt.",114.50
155303319,Chemo Admin SQ/IM anti-neopl,228.80
155303461,Treat Elbow Dislocation W/anesthesia,"1,340.70"
159776873,FIT 97530 Unit(s),139.20
16806095,Ventilator Initiate,"5,141.60"
16806095{2},Ventilator Subsequent,"2,640.10"
172164827,Misc Drug Test,212.90
1765,Venous Draw,49.70
1765{2},Blood,49.70
1765{3},Blood,33.00
1817458,Assay of Triglycerides,73.80
1827343,Culture Type  Immunofluorescent,113.40
186124735,US Breast Bilateral Complete,249.40
186124735{2},Report,160.30
186124975,US Breast Left Complete,249.40
186124975{2},Report,160.30
186125071,Report,160.30
19676401,Alpha-1-Antitrypsin,174.10
19676405,Amino Acid Screen,46.00
19676409,Androstenedione,51.40
19676413,CA 15-3,179.80
19676417,Ceruloplasmin,96.20
19676421,Chromosome Analysis,505.00
19676421{2},Chromosome Anal,475.10
19676425,Complement Total,184.80
19676429,Creatinine 24 Hour Urine,94.20
19676435,Fecal Fat Quantitative,250.60
19676439,Fetal Fibronectin,911.00
19676443,Giardia Antigen,206.60
19676447,Hemoglobin A2,146.10
19676451,INR,89.50
19676455,Prealbumin,154.30
19676464,Thyroxine Binding Globulin,40.70
19676468,ACTH,197.20
19676472,Adenovirus Antibody Titer,165.90
19676476,Alkaline Phosphatase Bone Specific,77.00
19676481,Alk Phos Tot,95.20
19676481{2},Alkaline Phosphatase Isoenzymes,77.00
19676481{3},Alk Phos Bone,77.00
19676485,Amiodarone Level,247.00
19676493,Angiotensin Converting Enzyme,175.80
19676499,Antidnase B Titer,120.00
19676503,C-Reactive Protein High Sensitivity,154.40
19676508,CA 19-9,249.30
19676512,Carnitine Free and Total,263.20
19676516,Carotene Level,82.40
19676521,Catecholamines Total Urine,236.50
19676535,CMV Antibody IgM,108.20
19676539,Crystal Exam Body Fluid,112.80
19676543,Cyclic Citrulline Peptide,172.20
19676547,Cyclosporine Level,237.90
19676551,24 Hr Delta Aminolevulinic Acid Urine,142.30
19676560,DHEAS,187.30
19676564,DNA Antibody (Single-stranded),768.30
19676568,Blood Drug Screen,212.90
19676573,U Sodium,102.70
19676573{2},Electrolyte Panel Urine,102.70
19676573{3},U Chloride,88.80
19676573{4},U Potassium,71.70
19676580,Erythropoietin Level,211.30
19676584,Ethylene Glycol Level,50.30
19676588,Factor VIII Assay,314.60
19676592,Growth Hormone,159.40
19676597,zzH pylori Breath Test (Adult),409.80
19676601,Haloperidol Level,199.00
19676605,HIV 1 RNA PCR Quantitative,571.30
19676609,IgE,63.00
19676613,Insulin Level Total,42.80
19676621,Leukocyte Alkaline Phosphatase Smear,23.50
19676625,Methylmalonic Acid Quantitative,312.40
19676629,Myoglobin Urine,252.30
19676634,Oxygen Saturation,24.60
19676640,Procainamide Level,44.90
19676644,Q Fever Antibody,73.80
19676648,RBC Folate,205.40
19676648{2},RBC Folate,205.40
19676648{3},LC Hematocrit,35.60
19676652,Red Cell Count,7.50
19676656,Serum Renal Function Panel,193.00
19676660,Renin Activity,196.90
19676664,Reticulocyte Count Automated,227.40
19676668,Rotavirus Antigen,262.20
19676672,RSV Antigen,53.50
19676676,Stone Analysis Chemical Quantitative,203.20
19676680,T Cells Absolute CD4 and CD8,231.10
19676684,Thrombin Time,22.60
19676688,Thyroid Stimulating Immunoglobulins,356.30
19676692,Toxoplasma Antibody IgM,135.90
19676696,Trichinella Antibody,34.20
19676700,VDRL Screen CSF,85.60
19676705,Vitamin B1,243.50
19676710,Vitamin B2,138.00
19676715,Vitamin B6 Level,190.90
19676719,Vitamin C Level,78.40
19676724,Von Willebrand Factor Assay,62.10
19676729,5 HIAA 24 Hour Urine,129.50
19676735,Cardiolipin Antibody IgA,207.60
19676739,Cardiolipin Antibody IgG,207.60
19676743,Cardiolipin Antibody IgM,207.60
19676747,DNA Antibody (Double-stranded),129.50
19676751,Scl 70 Antibody,128.10
19676755,Cadmium Level,96.20
19676769,Cholesterol Total Fasting,48.70
19676774,Citrate Level 24 Hour Urine,103.80
19676784,CMV Antibody IgG,30.90
19676792,Copper Level,47.50
19676796,Estrogens Total,80.80
19676800,Fecal Fat Qualitative,138.00
19676816,"Anti-Factor Xa, Heparin",258.90
19676832,Herpes Simplex Antibody 1/2 IgM,54.60
19676836,Herpes Simplex Antibody Type 1 IgG,89.10
19676844,IgA,101.00
19676848,"Allergen, Cat Dander",49.20
19676852,"Allergen, Gluten",49.20
19676856,Insulin-Like Growth Factor I,193.60
19676860,IgG,101.00
19676864,IgG Subclass 4,0.00
19676868,IgM,101.00
19676876,"Allergen, Latex",49.20
19676880,Lipid Panel Fasting,154.10
19676884,Lyme Disease Antibody W/Reflex,243.50
19676888,Lyme Disease Antibody IgM,239.90
19676892,Mercury Level,108.10
19676896,Metanephrines,240.80
19676900,Metanephrines 24 Hour Urine,240.80
19676906,Methotrexate Level,224.30
19676910,U Microalb,120.90
19676910{2},Microalbumin Level Urine,94.20
19676910{3},U Creatinine,94.20
19676915,Mumps Antibody IgG,145.50
19676919,Mumps Antibody IgM,145.50
19676923,Mycoplasma Antibody IgG,166.30
19676927,Mycoplasma Antibody IgM,166.30
19676931,Organic Acids Screen Urine,44.90
19676936,Oxalate 24 Hour Urine,48.70
19676942,"Rheumatoid Factor Quantitative, Body Fluid, Hemagg",108.10
19676946,Rubella Antibody IgG (LabCorp),80.80
19676950,Rubella Antibody IgM,80.80
19676954,Rubeola Antibody IgG,117.70
19676958,Rubeola Antibody IgM,48.70
19676962,Toxoplasma Antibody IgG,130.50
19676966,Triglyceride Fasting,73.80
19676980,Varicella Zoster Antibody IgG,133.70
19676984,Varicella Zoster Antibody IgM,48.70
19676988,17-Hydroxycorticosteroids 24 Hour Urine,47.10
19676994,17-d Hydroxyprogesterone,173.30
19676998,Acetylcholine Receptor Binding Antibody,211.40
19677002,Smooth Muscle Antibody Screen,181.70
19677006,ADH Lvl,261.10
19677006{2},ADH Level,261.10
19677006{3},ADH Osmolality,252.50
19677010,hCG Value,191.50
19677010{2},AFP Maternal (Quad Screen),164.80
19677010{3},AFP Value,148.70
19677010{4},uE3 Value,65.30
19677010{5},DIA Value,63.00
19677015,Amino Acid Quantitative Urine,94.20
19677015{2},U Amino Acid Qnt,94.20
19677020,DNA Ab (DS),129.50
19677020{10},Antinuclear Antibody (ANA) Comprehensive Profile,128.10
19677020{2},Scl 70 Ab,128.10
19677020{3},Sjogren's Anti-SS-A,128.10
19677020{4},Sjogren's Anti-SS-B,128.10
19677020{5},RNP Ab,128.10
19677020{6},Smith Ab,128.10
19677020{7},Antichromatin Ab,128.10
19677020{8},Anti-Jo-1,128.10
19677020{9},Centrom Ab Ttr,128.10
19677024,HLA Class I Ab,208.70
19677024{2},IIb/IIIa Ab,208.70
19677024{3},Ib/IX Ab,208.70
19677024{4},Ia/IIa Ab,208.70
19677024{5},Platelet Antibody,208.70
19677036,Centromere Antibody Titer,128.10
19677044,C2 Complement,96.20
19677049,Diphtheria Antibody,74.90
19677053,EBV Ab IgM,121.20
19677053{2},EBV Ab IgG,121.20
19677053{3},EBV Nuclear Ag Ab IgG,101.00
19677053{4},EBV Early Ag Ab IgG,88.80
19677061,Gabapentine Urine,173.40
19677066,Gliadin IgG,43.90
19677066{2},Gliadin IgA,43.90
19677070,Helicobacter pylori Antigen Stool,45.10
19677074,Hepatitis C Genotyping,177.60
19677078,Hepatitis C PCR Quant w/Reflex,160.30
19677082,Hepatitis C PCR (Non-Graph),455.50
19677086,Cholesterol HDL Fasting,86.70
19677091,"Arsenic, Blood",129.50
19677091{2},"Mercury, Blood",108.10
19677091{3},"Cadmium, Blood",96.20
19677091{4},"Lead, Blood",91.50
19677091{5},Heavy Metal Screen,91.50
19677095,Hemoglobin Fetal,146.10
19677105,Hgb Variant,146.10
19677105{2},Hemoglobin Electrophoresis,124.10
19677105{3},Hgb S,124.10
19677109,Herpes Simplex Virus by PCR,124.10
19677113,Hemoglobin,61.80
19677113{2},Hemoglobin and Hematocrit,61.80
19677113{3},Hct,53.50
19677117,Protein Electrophoresis 24 Hour Urine,125.90
19677117{2},U24 Protein,125.90
19677117{3},U Beta Glob,98.60
19677123,Ferritin Lvl,163.10
19677123{2},Iron Profile,122.30
19677123{3},Iron,104.50
19677123{4},UIBC,29.70
19677127,Cholesterol LDL Fasting,108.10
19677132,Levetiracetam Level,247.00
19677140,Methemoglobin Quantitative,20.30
19677144,Antimitochondrial Antibody Screen,181.70
19677148,Mycoplasma IgG,166.30
19677148{2},"Mycoplasma Ab IgG,IgM",166.30
19677148{3},Mycoplasma IgM,49.90
19677152,Opiates Urine Conf,247.00
19677157,Parvo B19 IgM,67.40
19677157{2},Parvo B19 IgG,67.40
19677157{3},Parvovirus B19 Antibodies IgG and IgM,67.40
19677161,B-Type Natriuretic Peptide,539.00
19677167,Phenytoin Total,220.30
19677167{2},Phenytoin Level Free and Total (LabCorp),220.30
19677167{3},Phenytoin Free,134.20
19677172,Phenobarb Lvl,199.00
19677172{2},Primidone Lvl,118.80
19677172{3},Primidone Level,118.80
19677176,U Creatinine,94.20
19677176{2},Protein/Creatinine Ratio Urine,94.20
19677176{3},U Protein,14.30
19677181,PSA Ag,192.60
19677181{2},PSA Free,108.10
19677181{3},Prostate Specific Ag Total and Free,108.10
19677185,PTH Intact,58.90
19677194,Sjogren's Antibodies (Anti-SS-A / Anti-SS-B),128.10
19677194{2},Sjogren's Anti-SS-A,128.10
19677194{3},Sjogren's Anti-SS-B,128.10
19677198,Specific Gravity Urine Automated,74.40
19677206,Trypsinogen (Trypsin),49.90
19677216,Volatile Screen,50.30
19677220,Von Willebrand Factor Multimer Assay,62.10
19677224,Von Willebrand Factor Antigen,62.10
19682401,1 Hr Glucose Screen,85.50
19682413,.Glucose 2 Hr,161.10
19682417,.Glucose 3 Hr,51.10
19682437,"Allergen Profile, Basic Food",49.20
19682437{10},Egg,49.20
19682437{11},Cocoa,49.20
19682437{2},Milk,49.20
19682437{3},Wheat,49.20
19682437{4},Corn/Maize,49.20
19682437{5},Peanut,49.20
19682437{6},Soybean,49.20
19682437{7},Pork Meat,49.20
19682437{8},Beef,49.20
19682437{9},Fish (Shell-mixed),49.20
19682441,Alternaria tenuis,49.20
19682441{10},Cocklebur,49.20
19682441{11},Pigweed,49.20
19682441{12},Salt Bush,49.20
19682441{13},Allergens Zone 18,49.20
19682441{14},D pteronyssinus,49.20
19682441{15},D farinae Mite,49.20
19682441{16},Cat Dander,49.20
19682441{17},Dog Epi,49.20
19682441{18},Bermuda Grass,49.20
19682441{19},Kentucky Blue Grass,49.20
19682441{2},Stemphylium,49.20
19682441{20},Bahia Grass,49.20
19682441{21},Penicillium chrysogen,49.20
19682441{22},Cladosporium,49.20
19682441{23},Aspergillus fumigatu,49.20
19682441{24},Mucor,49.20
19682441{3},Mountain Cedar,49.20
19682441{4},Olive Tree,49.20
19682441{5},Eucalyptus,49.20
19682441{6},Mimosa/Acacia,49.20
19682441{7},White Mulberry,49.20
19682441{8},Queen Palm Tree,49.20
19682441{9},"Plantain, Ribwort",49.20
19682445,Allergens Zone 17,49.20
19682445{10},Aspergillus fumigatu,49.20
19682445{11},Alternaria tenuis,49.20
19682445{12},White Birch,49.20
19682445{13},White Oak,49.20
19682445{14},American Elm,49.20
19682445{15},Walnut Pollen,49.20
19682445{16},Ragweed,49.20
19682445{17},Sheep Sorrel,49.20
19682445{18},Mountain Cedar,49.20
19682445{2},D pteronyssinus,49.20
19682445{3},D farinae Mite,49.20
19682445{4},Cat Dander,49.20
19682445{5},Dog Epi,49.20
