Category,Description,Price
Audiology - Diagnostic,HC AUD SPEECH THRESHOLD,$78.00 
Audiology - Diagnostic,HC AUD TYMPANOMETRY IMPED TEST,$78.00 
Audiology - Diagnostic,HC AUD EVAL CENTRAL FUNCT ADD 15,$41.00 
Audiology - Diagnostic,HC SCREEN PURE TONE AIR ONLY,$34.00 
Auditory System,HC EAR PATCHING,"$4,823.00 "
Auditory System,HC BX EXTERNAL AUDITORY CANAL,"$4,579.00 "
Auditory System,HC LABYRINTHOTOMY TRANSCANAL,"$4,435.00 "
Auditory System,HC DRAIN EXT EAR ABS/HEMA,"$4,112.00 "
Auditory System,HC REM VENTI TUBE UNDER GEN ANEST,"$3,905.00 "
Auditory System,HC EXC EAR EXT PARTIAL/SMP,"$3,102.00 "
Auditory System,HC TYMPANOSTOMY W/ANES GENL,"$3,051.00 "
Auditory System,HC REM FB CANAL AUD EXT W/ANES,"$2,617.00 "
Auditory System,HC DEBRIDE MSTDCTMY CAVITY COMPL,"$2,233.00 "
Auditory System,HC TYMPANOSTOMY W/ANES LOCAL,"$1,490.00 "
Auditory System,HC BIOPSY EXT EAR,$758.00 
Auditory System,HC DRAIN ABSC/HEMA EAR EXT SMP,$690.00 
Auditory System,HC MYRINGOT W/INFL EUST TUBE,$409.00 
Auditory System,HC DEBR MASTOID CAVITY SMP,$342.00 
Auditory System,HC REMOVE CERUMEN IMPACTED,$282.00 
Auditory System,HC REM FB CANAL AUD EXT W/O ANES,$274.00 
Auditory System,HC REMOVE CERUMEN IMPACTED IRRIG,$144.00 
Behavior Health Treatments/Services,HC ELECTROCONVULSIVE THERAPY,"$1,240.00 "
Behavior Health Treatments/Services,HC TEST PSYCHOLGCL BY TECH PER HR,$754.00 
Behavior Health Treatments/Services,HC TEST NEUROPSYCH BY PSYC PER HR,$686.00 
Behavior Health Treatments/Services,HC TEST NEUROPSYCH COMPUTER,$603.00 
Behavior Health Treatments/Services,HC TEST NEUROPSYCH TECHNCN PER HR,$583.00 
Behavior Health Treatments/Services,HC TRANSCRN MAG STIM THER TX INIT,$516.00 
Behavior Health Treatments/Services,HC TRANSCRN MAG STIM THER TX REDT,$515.00 
Behavior Health Treatments/Services,HC TRANSCRN MAG STIM THER TX PER,$512.00 
Behavior Health Treatments/Services,HC PSYCH THRPY FAMILY W/PT,$488.00 
Behavior Health Treatments/Services,HC TST PSYCHLGCL BY PSYCHO PER HR,$488.00 
Behavior Health Treatments/Services,HC APHASIA ASSES/INT+RPT/HR,$473.00 
Behavior Health Treatments/Services,HC TEST DEVELOPMENTAL W/INTERP RP,$470.00 
Behavior Health Treatments/Services,HC PSYCH DIAGNOSTIC EVALUATION,$426.00 
Behavior Health Treatments/Services,HC PSYCH DIAG EVAL W/ MED SERVICE,$426.00 
Behavior Health Treatments/Services,HC PSYCH THRPY FAMILY W/O PT,$414.00 
Behavior Health Treatments/Services,HC PSYCH THERAPY 60 MIN W/,$393.00 
Behavior Health Treatments/Services,HC SCREEN DEVELOP PER,$375.00 
Behavior Health Treatments/Services,HC INTENSIVE OUTPATIENT PSYCH PER DAY,$355.00 
Behavior Health Treatments/Services,HC PSYCH THRPY GRP,$355.00 
Behavior Health Treatments/Services,HC PSYCH THERAPY CRISIS 1ST 60 M,$305.00 
Behavior Health Treatments/Services,HC PSYTX COMPLEX INTERACTIVE,$285.00 
Behavior Health Treatments/Services,HC EXM NEUROBHVRL  BY PSYC PER HR,$285.00 
Behavior Health Treatments/Services,HC PSY EDUCATION TRNG SESSION,$282.00 
Behavior Health Treatments/Services,HC PSYCH THRPY GRP FAMILY MULTI,$254.00 
Behavior Health Treatments/Services,HC BEHAVIOR EVAL EA 15 MIN,$252.00 
Behavior Health Treatments/Services,HC PSYCH THERAPY 45 MIN W/,$244.00 
Behavior Health Treatments/Services,HC PSYCH THRPY ACT MUS/ART SESS,$224.00 
Behavior Health Treatments/Services,HC BEHAVIOR TX FAMILY W/PT 15 MIN,$189.00 
Behavior Health Treatments/Services,HC BEHAVIOR TX EA 15 MIN,$189.00 
Behavior Health Treatments/Services,HC BEHAVIOR REEVAL EA 15 MIN,$183.00 
Behavior Health Treatments/Services,HC PSYCH THERAPY 30 MIN W/,$173.00 
Behavior Health Treatments/Services,HC BEHAVIOR TX FAMILY W/O PT15 M,$147.00 
Behavior Health Treatments/Services,HC RESULTS EXPLAINED TO FAMILY,$128.00 
Behavior Health Treatments/Services,HC BEHAVIOR TX GROUP EA 15 MIN,$112.00 
Bone Substitute,HC BIO-OSS SUPPLY--0.25-1MM,$347.00 
Brachytherapy ,HC BRACHY NONSTRND IRIDM-192 HDR,"$1,318.00 "
Brachytherapy ,HC BRACHY SOURCE I-125 EA,$303.00 
Brachytherapy ,HC BRACHYTX SRCE NONHDR IR-192 EA,$200.00 
Brachytherapy ,HC BRACHY NON-STRANDED  I-125 PER,$121.00 
Burn Unit - Incremental Nursing ,HC HYDRO ROOM DRSG CHNG >91 MINS,"$1,194.00 "
Burn Unit - Incremental Nursing ,HC HYDRO ROOM DRSG CHNG 31-90 MN,$731.00 
Burn Unit - Incremental Nursing ,HC HYDRO ROOM DRSG CHNG 30 MIN OR LESS,$423.00 
Cardiac Rehab,HC CARDIAC REHAB W/EKG SESSION,$345.00 
Cardiology,HC EPHYS EVAL W/ ABLATION SUPRA,"$49,270.00 "
Cardiology,HC EPHYS EVAL W/ ABLATION VENTRIC,"$47,216.00 "
Cardiology,HC EPHYS EVL TRNSPTL TX ATRIAL,"$47,216.00 "
Cardiology,HC PTC CLOS PAT DUCT ART,"$42,569.00 "
Cardiology,HC TRANS INS/REPL PERM LDLES PACE,"$39,233.00 "
Cardiology,HC PERQ TRANSCATH CLS AORTIC,"$37,987.00 "
Cardiology,HC PERQ TRANSCATH CLS MITRAL,"$37,987.00 "
Cardiology,HC REVASC COR BYP GRAFT ANY SGL,"$28,050.00 "
Cardiology,HC REVASC OCCLUSN CHRONIC SGL,"$27,949.00 "
Cardiology,HC PTC W/IMPLNT ATRIAL,"$26,938.00 "
Cardiology,HC PL STNT DRG ELUT I/C W/PL ADD,"$26,463.00 "
Cardiology,HC PRQ TRLUML CORONARY STENT,"$26,463.00 "
Cardiology,HC PL STNT DRG ELUT I/C W/PL SGL,"$26,179.00 "
Cardiology,HC PRQ CARD STENT W/ANGIO 1 VSL,"$26,179.00 "
Cardiology,HC REVASC COR BYP GRAFT ANY ADD,"$25,066.00 "
Cardiology,HC ATHERECT COR STNT W/PL SGL,"$24,764.00 "
Cardiology,HC ATHERECT COR STNT W/PL ADD,"$24,682.00 "
Cardiology,HC REVASC OCCLUSN CHRONIC ADD,"$24,338.00 "
Cardiology,HC PERFUSION VAD-2 PERFUSIONISTS,"$23,908.00 "
Cardiology,HC REVASC OCCLUSN ACUTE MI SGL,"$23,825.00 "
Cardiology,HC PRQ TRLUML CORONRY TOT OCCLUS,"$23,825.00 "
Cardiology,HC CATH RT/LT HEART W/ VENT,"$18,593.00 "
Cardiology,HC PERFUSION PUMP-1 PERFUSIONIST,"$18,465.00 "
Cardiology,HC EP COMPREHENSIVE W/ARRHYTHMIA,"$18,311.00 "
Cardiology,HC RT&LT HRT ART/VENT ANGIO BYP,"$18,306.00 "
Cardiology,HC LT HRT ARTERY/GRAFT ANGIO,"$18,189.00 "
Cardiology,HC RT HRT ARTERY/GRAFT ANGIO,"$18,184.00 "
Cardiology,HC RT&LT HRT ART/VENTRICLE ANGIO,"$18,022.00 "
Cardiology,HC VALVULOPLASTY MITRAL VALVE,"$17,959.00 "
Cardiology,HC VALVULOPLASTY PULMONARY VALVE,"$17,959.00 "
Cardiology,HC LT HRT ART/VENTRICLE ANGIO,"$17,930.00 "
Cardiology,HC ABLATION ATRIOVENTRICULAR FNCT,"$17,658.00 "
Cardiology,HC RT HRT CORONARY ARTERY ANGIO,"$17,434.00 "
Cardiology,HC PTCA SINGLE ARTERY/ BRANCH,"$16,869.00 "
Cardiology,HC PTC W/IMPLNT VENTRICULAR,"$16,757.00 "
Cardiology,HC CATH RT/LT TRANS CONGEN ANOM,"$16,591.00 "
Cardiology,HC CATH RT/LT TRANS CONGEN OPEN,"$16,591.00 "
Cardiology,HC CATH RT/LT RETRO CONGEN ANOM,"$16,591.00 "
Cardiology,HC ANGIOPLASTY PULM ART 1ST VESL,"$16,299.00 "
Cardiology,HC EP COMPREHENSIVE W/O ARRHYTHMI,"$14,949.00 "
Cardiology,HC PERQ TRANSCATH SEPTAL REDUXN,"$14,918.00 "
Cardiology,HC CATH RIGHT HEART W/SENSOR,"$14,917.00 "
Cardiology,HC PTCA EACH ADDL BRANCH MAJ ART,"$14,819.00 "
Cardiology,HC ICAR CATHETER ABLATION ARRHYTH,"$14,784.00 "
Cardiology,HC VALVULOPLASTY AORTIC VALVE,"$13,939.00 "
Cardiology,HC CORONARY ARTERY/GRAFT ANGIO,"$13,128.00 "
Cardiology,HC ATRIAL SEPTOSTOMY BALLOON,"$12,402.00 "
Cardiology,HC TRANSCATH RNL SYMP DENERV BI,"$11,988.00 "
Cardiology,HC CORONARY ARTERY ANGIO S&I,"$10,918.00 "
Cardiology,HC CATH LEFT HEART W/ VENTRCLGRPH,"$10,902.00 "
Cardiology,HC CATH RIGHT HEART CONGEN ANOM,"$10,109.00 "
Cardiology,HC RECORDING RIGHT VENTRICULAR,"$10,068.00 "
Cardiology,HC CATH LT HRT TRANSPT/ TRANSAP,"$9,802.00 "
Cardiology,HC TRANSCATH RNL SYMP DENERV UNI,"$9,650.00 "
Cardiology,HC RECORDING W/CORONARY SINUS,"$8,910.00 "
Cardiology,HC ANGIOPLASTY PULM ART ADD VESL,"$8,619.00 "
Cardiology,HC CATH RIGHT HEART,"$8,506.00 "
Cardiology,HC EP INTRACARDIAC 3-D MAPPING,"$8,396.00 "
Cardiology,HC TMVI PERCUTANEOUS APPROACH,"$8,319.00 "
Cardiology,HC BUNDLE OF HIS RECORDING,"$7,652.00 "
Cardiology,HC PTC TRANSLUM COR THROMB MECH,"$6,893.00 "
Cardiology,HC EP INTRA-ATRIAL PACING,"$6,797.00 "
Cardiology,HC EP COMPREHENSIVE W/LT VENTRIC,"$6,700.00 "
Cardiology,HC PACING INTRAVENTRICULAR,"$6,606.00 "
Cardiology,HC EP INTRA-ATRIAL RECORDING,"$6,420.00 "
Cardiology,HC EP IV DRUG INFUSION PACING,"$6,226.00 "
Cardiology,HC BIOPSY ENDOMYOCARDIAL,"$6,225.00 "
Cardiology,HC ESOPHAGEAL RECORDING W/PACING,"$6,126.00 "
Cardiology,HC TRANS REMOVAL PERM LDLES PACE,"$5,909.00 "
Cardiology,HC ARRHYTHMIA INDUCTION ELECTRIC,"$5,811.00 "
Cardiology,HC TACHYCARDIA SITE MAPPING,"$5,198.00 "
Cardiology,HC TMVI TRANSTHORACIC EXPOSURE,"$5,143.00 "
Cardiology,HC US INTRAVASCULAR INIT VESSEL,"$4,752.00 "
Cardiology,HC EP EVAL CARDIO/DEFIB SGL/DUAL,"$4,666.00 "
Cardiology,HC INSERTION SWAN GANZ,"$4,493.00 "
Cardiology,HC EP INTRACARDIAC ECHO INTERVENT,"$4,259.00 "
Cardiology,HC PERQ TRANSCATH CLOSURE EACH,"$4,233.00 "
Cardiology,HC TEE W OR W/O FOL W/CONT CONG,"$3,687.00 "
Cardiology,HC EP EVAL DEFIB W/PROG PARAM,"$3,617.00 "
Cardiology,HC INTRAVASCULAR U/S EA ADD VESSE,"$3,563.00 "
Cardiology,HC TTE W OR WO FOL WCON DOPPLER,"$3,436.00 "
Cardiology,HC INJECT PULM ART HRT  CATH,"$3,304.00 "
Cardiology,HC INTRAVASC DOPP COLOR FLOW 1ST,"$3,220.00 "
Cardiology,HC EP EVAL CARDIO/DEFIB GENERATOR,"$3,169.00 "
Cardiology,HC TEE W OR W/O FOL W/CONT MON,"$3,145.00 "
Cardiology,HC INJ RT ATRIAL/VENTRIC ANGIO,"$3,100.00 "
Cardiology,HC 2D TEE W OR W/O FOL W/CON IN,"$2,743.00 "
Cardiology,HC CARDIOVERSION ELECTIVE; INT,"$2,711.00 "
Cardiology,HC INJ CONGENITAL CARD CATH,"$2,621.00 "
Cardiology,HC INTRAVASC DOPP COLOR FLOW ADD,"$2,609.00 "
Cardiology,HC INJECTION FOR LT VENT ANGIO,"$2,510.00 "
Cardiology,HC TTE W OR W/O FOL W/CONT COM,"$2,482.00 "
Cardiology,HC EP EVAL CARDIO/DEFIB LEADS,"$2,337.00 "
Cardiology,HC TILT TABLE EVAL,"$1,920.00 "
Cardiology,HC TTE W OR W/O FOL W/CON STRES,"$1,906.00 "
Cardiology,HC 2D TTE W OR W/O FOL W/CON CO,"$1,874.00 "
Cardiology,HC DRUG ADMIN & HEMODYNMIC MEAS,"$1,711.00 "
Cardiology,HC CARDIOVERSION ELECTV EXTERNAL,"$1,698.00 "
Cardiology,HC TTE W OR W/O FOL W/CONT F/U,"$1,630.80 "
Cardiology,HC THROMBOLYSIS COR: INTRAVENOUS,"$1,274.00 "
Cardiology,HC EXERCISE W/ HEMODYNAMIC MEAS,"$1,200.00 "
Cardiology,HC INJ SUPRAVALVULAR AORTOGRAPHY,"$1,049.00 "
Cardiology,HC 2D TTE W OR W/O FOL W/CON FU,"$1,016.00 "
Cardiology,HC CPR,$982.00 
Cardiology,HC EA ANTITACHY PACEMAKER SYS,$857.00 
Cardiology,HC INJECT HRT CONGNTL ART/GRFT,$748.00 
Cardiology,HC HC PRQ REVASC BYP GRAFT 1 VSL,"$28,050.00 "
Cardiology,HC HC PRQ REVASC BYP GRAFT ADDL,"$25,066.00 "
Cardiology,HC PROG DEV EVAL MULTI LEAD ICD,$420.00 
Cardiology,HC INTERROGATION DEV EVAL PACEMKR,$409.00 
Cardiology,HC INTERROG VAD W/ANALYSIS,$376.00 
Cardiology,HC PM DEVICE PROGR EVAL DUAL,$368.00 
Cardiology,HC PROG DEV EVAL IMPLT LOOP REC,$358.00 
Cardiology,HC PROG DEV EVAL DUAL LEAD ICD,$354.00 
Cardiology,HC PROG DVC EVAL SNGL LEAD ICD,$338.00 
Cardiology,HC INTERROG DEVICE EVAL  ICD,$334.00 
Cardiology,HC PROG DEV EVAL MULTI LEAD PM,$382.00 
Cardiology,HC PRQ CARD ANGIO/ATHRECT 1 ART,"$22,509.00 "
Cardiology,HC INTERROG EVAL REMOTE DATA 90,$316.00 
Cardiology,HC PROG DEV EVAL SINGLE LEAD PM,$308.00 
Cardiology,HC PRQ CARD ANGIO/ATHRECT ADDL,"$21,742.00 "
Cardiology,HC PRQ CARD REVASC CHRONIC 1VSL,"$27,949.00 "
Cardiology,HC PRQ CARD REVASC CHRONIC ADDL,"$24,338.00 "
Cardiology,HC INTERROG DEV EVAL IMPLT LOOP,$248.00 
Cardiology,HC INTERROG DEV EVAL WEAR DEFIB,$246.00 
Cardiology,HC ANLYS PCMKR DUAL TELEPHONIC,$231.00 
Cardiology,HC PRQ CARD STENT/ATH/ANGIO,"$24,764.00 "
Cardiology,HC PRQ CARD STENT/ATH/ANGIO ADD-ON,"$24,682.00 "
Cardiology,HC ICD PERI PROC DEV EVAL BA SURG,$190.00 
Cardiology,HC PM PERI PROC DEV EVAL B A SURG,$162.00 
Cardiology,HC PERI-PROC DVC EVAL LDLESS PACE,$149.00 
Cardiology,HC INTERROG DEVICE EVAL ICM,$147.00 
Cardiology,HC PAD REHAB PER SESSION,$140.00 
Cardiology,HC INTER EVAL REMOTE LT 30 DAYS,$127.00 
Cardiology,HC INTERROGATE SUBQ DEFIB,$91.00 
Cardiology,HC PROG DVC EVAL LDLESS PACEMAKER,$88.00 
Cardiology,HC INTERROG DVC EVAL LDLS PACEMAK,$88.00 
Cardiology - Echcardiology,HC ECHO TRANSESOP CARD/GRT VESSEL,"$5,112.00 "
Cardiology - Echcardiology,HC ECHO TEE ANOMALY CMPL W/PF,"$3,687.00 "
Cardiology - Echcardiology,HC ECHO 2D W/SPEC/COLOR COMPL,"$3,436.00 "
Cardiology - Echcardiology,HC ECHO TEE MONITORING,"$3,145.00 "
Cardiology - Echcardiology,HC ECHO REST & STRESS W/PF,"$2,832.00 "
Cardiology - Echcardiology,HC ECHO TEE CMPL W/PF,"$2,743.00 "
Cardiology - Echcardiology,HC ECHO CONGENITAL ANOMALY CMPL,"$2,482.00 "
Cardiology - Echcardiology,HC STRESS ECHO 2-D,"$1,906.00 "
Cardiology - Echcardiology,HC ECHO CONGENITAL ANOMALY LTD,"$1,901.00 "
Cardiology - Echcardiology,HC ECHO 2D W/ M-MODE CMPL,"$1,874.00 "
Cardiology - Echcardiology,HC ECHO 2D W/W/O M-MODE LTD,"$1,016.00 "
Cardiology - Echcardiology,HC ECHO DOPPLER CMPL,$892.00 
Cardiology - Echcardiology,HC ECHO COLOR FLOW MAPPING,$773.00 
Cardiology - Echcardiology,HC ECHO DOPPLER LTD,$556.00 
Cardiology - Echcardiology,HC ECHO STRESS CONTRAST ADMIN,$306.00 
Cardiology - Stress Test,HC STRESS TEST TRACING ONLY,"$1,460.00 "
Cardiology - Stress Test,HC BICYCLE STRESS TEST,$578.00 
Cardiovascular,HC PL STNT T/C X-VERT/IN-CAROT IN,"$8,676.00 "
Cardiovascular,HC TEMP TRANSCUTANEOUS PACING,"$1,009.00 "
Cardiovascular,HC AMBULATORY BP ANLYS,$758.00 
Cardiovascular,HC CARDIAC REHAB W/O EKG SESSION,$261.00 
Cardiovascular,HC CARDIAC REHAB EVALUATION,$730.00 
Cardiovascular System,HC INS/REP DEFIB SYS W/SUBQ EL,"$81,897.00 "
Cardiovascular System,HC ECMO/ECLS INIT VENO-VENOUS,"$51,384.00 "
Cardiovascular System,HC TIB/PER RVAS STNT & ARTH & ANG,"$48,982.00 "
Cardiovascular System,HC REVSC FEM/POP W/STENT & ARTHC,"$41,796.00 "
Cardiovascular System,HC THRMBC/NFS DIAL CIRC TCATH STN,"$37,987.00 "
Cardiovascular System,HC INS/RPLCMT DEF W/LEAD,"$34,785.00 "
Cardiovascular System,HC REMV & REPLC CVD GEN MULTIPLE,"$33,866.00 "
Cardiovascular System,HC INSRT PULSE GEN W/MULT LEADS,"$31,712.00 "
Cardiovascular System,HC INS CARDIO-DEFIB GENER W/DUAL,"$29,481.00 "
Cardiovascular System,HC ECMO/ECLS INIT VENO-ARTERIAL,"$28,391.00 "
Cardiovascular System,HC INS CARDIO-DEFIB PULSE GEN,"$28,003.00 "
Cardiovascular System,HC ECMO/ECLS MGMT VENO-ARTERY,"$27,944.00 "
Cardiovascular System,HC ECMO/ECLS MGMT VENO-VENOUS,"$27,944.00 "
Cardiovascular System,HC REVSC FEM/POP ART W/STENT,"$27,022.00 "
Cardiovascular System,HC REMV & REPLC CVD GEN DUAL,"$26,870.00 "
Cardiovascular System,HC REVSC FEM/POP ART W/ATHRC,"$26,516.00 "
Cardiovascular System,HC REPAIR TCAT MITRAL VALVE,"$26,460.00 "
Cardiovascular System,HC REVSC TIBL PRNL ART W/ATHRC,"$26,288.00 "
Cardiovascular System,HC REMV & REPLC CVD GEN SINGLE,"$25,648.00 "
Cardiovascular System,HC INTRO CATH DIAL CIRC TCATH STN,"$25,203.00 "
Cardiovascular System,HC THRMBC/NFS DIAL CIRC BAL ANGIO,"$25,062.00 "
Cardiovascular System,HC VASC EMBLZ/OCCLS,"$24,481.00 "
Cardiovascular System,HC RMV/RPLC PERM PM GEN DUAL SYS,"$23,841.00 "
Cardiovascular System,HC RMV/RPLC PM PERM GEN MLT SYS,"$23,791.00 "
Cardiovascular System,HC INS NEW/ REPL PERM PACEMKR A/V,"$22,995.00 "
Cardiovascular System,HC VASC EMBLZ/OCCLS ART,"$22,716.00 "
Cardiovascular System,HC VASC EMBLZ/OCCLS HEMOR,"$22,151.00 "
Cardiovascular System,HC VASC EMBLZ/OCCLS VEN,"$21,969.00 "
Cardiovascular System,HC RMV/RPLC PERM PM GEN SGL SYS,"$21,758.00 "
Cardiovascular System,HC REVSC ILIAC ARTERY UNI W/STENT,"$20,353.00 "
Cardiovascular System,HC INS PCMKR GEN W/EXISTING,"$19,153.00 "
Cardiovascular System,HC UPGRADE PACEMKR IMPLANT,"$18,670.00 "
Cardiovascular System,HC INS NEW/ REPL PERM PACEMKR,"$18,210.00 "
Cardiovascular System,HC INSERT SUBQ DEFIB ELECTRODE,"$17,476.00 "
Cardiovascular System,HC INSERT PACEMKR GEN DUAL,"$16,480.00 "
Cardiovascular System,HC INS NEW/ REPL PACEMKR VENTRIC,"$16,423.00 "
Cardiovascular System,HC INS TIPS,"$15,571.00 "
Cardiovascular System,HC ENDOVASC TAA REPR W/O SUBCL,"$15,122.00 "
Cardiovascular System,HC REVSC FEM/POP ARTERY UNI,"$15,116.00 "
Cardiovascular System,HC REVASC ILIAC ARTERY UNILATERAL,"$14,609.00 "
Cardiovascular System,HC INSERT PACEMKR GEN SINGLE,"$14,272.00 "
Cardiovascular System,HC INSERT VAD ART&VEIN ACCESS,"$13,857.00 "
Cardiovascular System,HC REVSC TIBL PRNL ARTERY,"$13,771.00 "
Cardiovascular System,HC INS ELECTR TO PREV PCMKR/ GEN,"$13,565.00 "
Cardiovascular System,HC INS/REPL ELECT CARDIAC DUAL,"$13,539.00 "
Cardiovascular System,HC PL STENT TRNSCATH CAROT ART W/,"$13,017.00 "
Cardiovascular System,HC TRANSCATH INTRVSC STNT,"$13,002.00 "
Cardiovascular System,HC PL STNT TRNSCTH CAROT ART W/O,"$12,697.00 "
Cardiovascular System,HC INS ELECTRODE DEFIB/ PCMKR,"$12,449.00 "
Cardiovascular System,HC PL STENT TRNSCATH CAROT W/S&I,"$12,434.00 "
Cardiovascular System,HC IMPL RECORD CARDIAC EVENT,"$12,405.00 "
