MS DRG,Atmore MS DRG DESC2, Average of TOTAL CHARGES2 
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"$27,555.09 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$23,189.64 "
345,MINOR SMALL  LARGE BOWEL PROCEDURES W CC,"$19,330.05 "
348,ANAL  STOMAL PROCEDURES W CC,"$17,662.90 "
352,INGUINAL  FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$21,721.65 "
354,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W CC,"$18,023.85 "
355,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W/O CC/MCC,"$8,201.72 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$17,200.64 "
369,MAJOR ESOPHAGEAL DISORDERS W CC,"$26,573.40 "
371,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W MCC,"$16,974.83 "
372,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W CC,"$10,317.06 "
374,DIGESTIVE MALIGNANCY W MCC,"$25,925.49 "
375,DIGESTIVE MALIGNANCY W CC,"$10,773.57 "
377,G.I. HEMORRHAGE W MCC,"$22,534.51 "
378,G.I. HEMORRHAGE W CC,"$21,340.94 "
379,G.I. HEMORRHAGE W/O CC/MCC,"$26,689.50 "
380,COMPLICATED PEPTIC ULCER W MCC,"$29,642.24 "
381,COMPLICATED PEPTIC ULCER W CC,"$32,866.16 "
382,COMPLICATED PEPTIC ULCER W/O CC/MCC,"$9,647.79 "
383,UNCOMPLICATED PEPTIC ULCER W MCC,"$6,197.91 "
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"$19,052.75 "
386,INFLAMMATORY BOWEL DISEASE W CC,"$25,412.84 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$18,531.77 "
388,G.I. OBSTRUCTION W MCC,"$27,737.86 "
389,G.I. OBSTRUCTION W CC,"$14,619.93 "
390,G.I. OBSTRUCTION W/O CC/MCC,"$16,586.60 "
391,ESOPHAGITIS- GASTROENT  MISC DIGEST DISORDERS W MCC,"$21,637.09 "
392,ESOPHAGITIS- GASTROENT  MISC DIGEST DISORDERS W/O MCC,"$15,096.45 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$16,395.95 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$18,439.42 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$11,833.80 "
412,CHOLECYSTECTOMY W C.D.E. W CC,"$35,368.60 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$41,776.24 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$27,988.23 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$15,302.06 "
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,"$14,444.35 "
432,CIRRHOSIS  ALCOHOLIC HEPATITIS W MCC,"$13,317.17 "
433,CIRRHOSIS  ALCOHOLIC HEPATITIS W CC,"$24,072.17 "
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"$16,974.02 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$21,703.85 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$20,120.34 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$14,824.92 "
441,DISORDERS OF LIVER EXCEPT MALIG-CIRR-ALC HEPA W MCC,"$20,120.33 "
442,DISORDERS OF LIVER EXCEPT MALIG-CIRR-ALC HEPA W CC,"$24,030.28 "
445,DISORDERS OF THE BILIARY TRACT W CC,"$8,020.11 "
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$11,667.93 "
536,FRACTURES OF HIP  PELVIS W/O MCC,"$2,601.28 "
539,OSTEOMYELITIS W MCC,"$17,754.25 "
543,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W CC,"$11,161.91 "
546,CONNECTIVE TISSUE DISORDERS W CC,"$7,983.51 "
549,SEPTIC ARTHRITIS W CC,"$18,569.30 "
552,MEDICAL BACK PROBLEMS W/O MCC,"$13,599.63 "
554,BONE DISEASES  ARTHROPATHIES W/O MCC,"$19,055.27 "
556,SIGNS  SYMPTOMS OF MUSCULOSKELETAL SYSTEM  CONN TISSUE W/O MCC,"$7,035.85 "
558,TENDONITIS- MYOSITIS  BURSITIS W/O MCC,"$11,886.73 "
559,AFTERCARE- MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W MCC,"$42,311.85 "
560,AFTERCARE- MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC,"$13,208.77 "
561,AFTERCARE- MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W/O CC/MCC,"$9,416.44 "
563,FX- SPRN- STRN  DISL EXCEPT FEMUR- HIP- PELVIS  THIGH W/O MCC,"$27,644.59 "
564,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W MCC,"$19,622.92 "
570,SKIN DEBRIDEMENT W MCC,"$21,084.63 "
571,SKIN DEBRIDEMENT W CC,"$16,849.06 "
572,SKIN DEBRIDEMENT W/O CC/MCC,"$10,609.16 "
580,OTHER SKIN- SUBCUT TISS  BREAST PROC W CC,"$34,206.51 "
581,OTHER SKIN- SUBCUT TISS  BREAST PROC W/O CC/MCC,"$39,194.97 "
592,SKIN ULCERS W MCC,"$20,705.40 "
593,SKIN ULCERS W CC,"$17,894.22 "
596,MAJOR SKIN DISORDERS W/O MCC,"$11,481.22 "
600,NON-MALIGNANT BREAST DISORDERS W CC/MCC,"$7,189.03 "
602,CELLULITIS W MCC,"$14,839.82 "
603,CELLULITIS W/O MCC,"$10,434.44 "
605,TRAUMA TO THE SKIN- SUBCUT TISS  BREAST W/O MCC,"$19,925.58 "
606,MINOR SKIN DISORDERS W MCC,"$12,283.01 "
622,SKIN GRAFTS  WOUND DEBRID FOR ENDOC- NUTRIT  METAB DIS W MCC,"$20,262.75 "
623,SKIN GRAFTS  WOUND DEBRID FOR ENDOC- NUTRIT  METAB DIS W CC,"$27,156.19 "
637,DIABETES W MCC,"$15,485.25 "
638,DIABETES W CC,"$15,230.50 "
639,DIABETES W/O CC/MCC,"$13,196.59 "
640,MISC DISORDERS OF NUTRITION-METABOLISM-FLUIDS/ELECTROLYTES W MCC,"$21,348.00 "
641,MISC DISORDERS OF NUTRITION-METABOLISM-FLUIDS/ELECTROLYTES W/O MCC,"$13,083.54 "
643,ENDOCRINE DISORDERS W MCC,"$9,065.13 "
644,ENDOCRINE DISORDERS W CC,"$15,726.12 "
645,ENDOCRINE DISORDERS W/O CC/MCC,"$13,664.23 "
674,OTHER KIDNEY  URINARY TRACT PROCEDURES W CC,"$27,963.73 "
682,RENAL FAILURE W MCC,"$15,963.26 "
683,RENAL FAILURE W CC,"$16,798.96 "
684,RENAL FAILURE W/O CC/MCC,"$7,910.72 "
689,KIDNEY  URINARY TRACT INFECTIONS W MCC,"$15,757.39 "
690,KIDNEY  URINARY TRACT INFECTIONS W/O MCC,"$15,210.41 "
696,KIDNEY  URINARY TRACT SIGNS  SYMPTOMS W/O MCC,"$8,371.98 "
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC,"$26,657.96 "
699,OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC,"$22,541.94 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"$12,909.71 "
757,INFECTIONS- FEMALE REPRODUCTIVE SYSTEM W MCC,"$20,248.26 "
759,INFECTIONS- FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC,"$20,421.31 "
811,RED BLOOD CELL DISORDERS W MCC,"$9,314.97 "
812,RED BLOOD CELL DISORDERS W/O MCC,"$10,542.35 "
815,RETICULOENDOTHELIAL  IMMUNITY DISORDERS W CC,"$10,765.33 "
841,LYMPHOMA  NON-ACUTE LEUKEMIA W CC,"$20,187.84 "
842,LYMPHOMA  NON-ACUTE LEUKEMIA W/O CC/MCC,"$13,330.14 "
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC,"$65,539.48 "
854,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W CC,"$28,874.01 "
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,"$18,405.75 "
863,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC,"$11,192.08 "
868,OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W CC,"$12,365.54 "
869,OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W/O CC/MCC,"$5,240.09 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"$25,442.88 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"$20,282.46 "
880,ACUTE ADJUSTMENT REACTION  PSYCHOSOCIAL DYSFUNCTION,"$7,610.65 "
881,DEPRESSIVE NEUROSES,"$5,270.67 "
883,DISORDERS OF PERSONALITY  IMPULSE CONTROL,"$5,267.96 "
884,ORGANIC DISTURBANCES  INTELLECTUAL DISABILITY,"$17,865.65 "
885,PSYCHOSES,"$22,229.72 "
894,ALCOHOL/DRUG ABUSE OR DEPENDENCE- LEFT AMA,"$4,826.55 "
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"$10,399.22 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"$5,746.42 "
903,WOUND DEBRIDEMENTS FOR INJURIES W/O CC/MCC,"$21,408.99 "
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,"$13,293.19 "
915,ALLERGIC REACTIONS W MCC,"$15,178.45 "
916,ALLERGIC REACTIONS W/O MCC,"$10,425.43 "
917,POISONING  TOXIC EFFECTS OF DRUGS W MCC,"$13,467.62 "
918,POISONING  TOXIC EFFECTS OF DRUGS W/O MCC,"$11,860.54 "
921,COMPLICATIONS OF TREATMENT W/O CC/MCC,"$9,324.68 "
922,OTHER INJURY- POISONING  TOXIC EFFECT DIAG W MCC,"$9,654.05 "
923,OTHER INJURY- POISONING  TOXIC EFFECT DIAG W/O MCC,"$5,121.99 "
939,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC,"$14,078.99 "
947,SIGNS  SYMPTOMS W MCC,"$22,030.10 "
948,SIGNS  SYMPTOMS W/O MCC,"$17,041.11 "
949,AFTERCARE W CC/MCC,"$16,796.33 "
950,AFTERCARE W/O CC/MCC,"$32,506.69 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$26,115.58 "
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$33,992.85 "
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$19,850.68 "
