MEDICAL CENTER NAVICENT HEALTH,,,
AVERAGE CHARGE PER CASE BY DRG,,,
INPATIENT DATA AT DISCHARGE,,,
 ,,,
,,,
 ,DRG,DRG Description,Avg. Charge per Case (DRG)
,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC","$69,829.74"
,86,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","$42,021.84"
,87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","$22,018.10"
,88,CONCUSSION W MCC,"$56,957.69"
,89,CONCUSSION W CC,"$35,974.26"
,90,CONCUSSION W/O CC/MCC,"$26,748.74"
,91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$54,665.03"
,92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$26,239.40"
,93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$22,343.48"
,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,"$141,878.17"
,95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,"$62,401.43"
,96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,"$66,206.26"
,97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,"$109,023.18"
,98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,"$109,238.51"
,99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,"$30,928.26"
,100,SEIZURES W MCC,"$58,113.06"
,101,SEIZURES W/O MCC,"$22,042.74"
,102,HEADACHES W MCC,"$26,412.26"
,103,HEADACHES W/O MCC,"$23,680.80"
,113,ORBITAL PROCEDURES W CC/MCC,"$24,557.85"
,114,ORBITAL PROCEDURES W/O CC/MCC,"$81,213.57"
,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,"$31,695.31"
,116,INTRAOCULAR PROCEDURES W CC/MCC,"$47,341.33"
,122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,"$37,212.59"
,123,NEUROLOGICAL EYE DISORDERS,"$26,946.30"
,124,OTHER DISORDERS OF THE EYE W MCC,"$40,478.08"
,125,OTHER DISORDERS OF THE EYE W/O MCC,"$23,343.39"
,129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,"$55,793.42"
,130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,"$31,518.82"
,131,CRANIAL/FACIAL PROCEDURES W CC/MCC,"$50,495.02"
,132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,"$34,358.86"
,133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","$55,050.59"
,134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC","$22,395.65"
,136,SINUS & MASTOID PROCEDURES W/O CC/MCC,"$45,756.39"
,137,MOUTH PROCEDURES W CC/MCC,"$20,727.46"
,138,MOUTH PROCEDURES W/O CC/MCC,"$20,062.93"
,146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC","$42,802.89"
,147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC","$23,262.04"
,148,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC","$7,931.84"
,149,DYSEQUILIBRIUM,"$21,325.33"
,150,EPISTAXIS W MCC,"$32,346.80"
,151,EPISTAXIS W/O MCC,"$12,260.48"
,152,OTITIS MEDIA & URI W MCC,"$30,211.68"
,153,OTITIS MEDIA & URI W/O MCC,"$12,918.95"
,154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC","$34,349.97"
,155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC","$15,309.44"
,156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","$13,036.15"
,157,DENTAL & ORAL DISEASES W MCC,"$35,314.56"
,158,DENTAL & ORAL DISEASES W CC,"$23,740.08"
,159,DENTAL & ORAL DISEASES W/O CC/MCC,"$15,879.85"
,163,MAJOR CHEST PROCEDURES W MCC,"$125,831.26"
,164,MAJOR CHEST PROCEDURES W CC,"$64,577.22"
,165,MAJOR CHEST PROCEDURES W/O CC/MCC,"$57,997.13"
,166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$118,200.19"
,167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$65,366.58"
,168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,"$47,674.75"
,175,PULMONARY EMBOLISM W MCC,"$45,085.84"
,176,PULMONARY EMBOLISM W/O MCC,"$26,873.55"
,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$50,290.46"
,178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"$32,301.58"
,179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"$20,024.47"
,180,RESPIRATORY NEOPLASMS W MCC,"$63,887.99"
,181,RESPIRATORY NEOPLASMS W CC,"$39,774.65"
,182,RESPIRATORY NEOPLASMS W/O CC/MCC,"$46,823.30"
,183,MAJOR CHEST TRAUMA W MCC,"$39,632.26"
,184,MAJOR CHEST TRAUMA W CC,"$41,510.30"
,185,MAJOR CHEST TRAUMA W/O CC/MCC,"$28,521.65"
,186,PLEURAL EFFUSION W MCC,"$31,497.49"
,187,PLEURAL EFFUSION W CC,"$33,245.65"
,188,PLEURAL EFFUSION W/O CC/MCC,"$17,987.69"
,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$44,579.94"
,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$35,943.33"
,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$25,611.44"
,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$19,305.36"
,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$40,029.61"
,194,SIMPLE PNEUMONIA & PLEURISY W CC,"$25,940.88"
,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$14,879.10"
,196,INTERSTITIAL LUNG DISEASE W MCC,"$42,846.24"
,197,INTERSTITIAL LUNG DISEASE W CC,"$25,887.58"
,198,INTERSTITIAL LUNG DISEASE W/O CC/MCC,"$24,381.57"
,199,PNEUMOTHORAX W MCC,"$55,906.53"
,200,PNEUMOTHORAX W CC,"$29,357.77"
,201,PNEUMOTHORAX W/O CC/MCC,"$15,174.74"
,202,BRONCHITIS & ASTHMA W CC/MCC,"$20,238.02"
,203,BRONCHITIS & ASTHMA W/O CC/MCC,"$10,676.83"
,204,RESPIRATORY SIGNS & SYMPTOMS,"$22,477.89"
,205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"$28,049.02"
,206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$31,713.42"
,207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"$167,597.57"
,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$69,724.93"
,215,OTHER HEART ASSIST SYSTEM IMPLANT,"$257,764.35"
,216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,"$268,116.01"
,217,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,"$184,890.74"
,219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,"$274,611.69"
,220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,"$145,018.16"
,221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,"$128,023.54"
,222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,"$168,234.96"
,223,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,"$117,635.22"
,224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,"$150,745.63"
,225,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,"$124,671.03"
,226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"$127,199.66"
,227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,"$105,812.58"
,228,OTHER CARDIOTHORACIC PROCEDURES W MCC,"$152,918.02"
,229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"$134,368.55"
,231,CORONARY BYPASS W PTCA W MCC,"$204,929.83"
,232,CORONARY BYPASS W PTCA W/O MCC,"$179,782.54"
,233,CORONARY BYPASS W CARDIAC CATH W MCC,"$204,722.42"
,234,CORONARY BYPASS W CARDIAC CATH W/O MCC,"$150,815.40"
,235,CORONARY BYPASS W/O CARDIAC CATH W MCC,"$208,732.37"
,236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"$112,927.09"
,239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,"$107,640.43"
,240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"$69,155.49"
,241,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC,"$34,888.08"
,242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"$110,219.34"
,243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"$66,905.97"
,244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"$45,947.59"
,245,AICD GENERATOR PROCEDURES,"$134,745.26"
,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$120,528.45"
,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"$78,907.50"
,248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$116,343.19"
,249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,"$73,666.13"
,250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,"$107,980.91"
,251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,"$85,191.85"
,252,OTHER VASCULAR PROCEDURES W MCC,"$94,763.28"
,253,OTHER VASCULAR PROCEDURES W CC,"$87,875.90"
,254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"$55,863.04"
,255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,"$106,212.52"
,256,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,"$54,097.54"
,258,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,"$63,951.55"
,259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,"$37,189.40"
,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,"$83,718.65"
,261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,"$44,446.39"
,262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,"$39,626.25"
,263,VEIN LIGATION & STRIPPING,"$7,981.92"
,264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$104,839.95"
,265,AICD LEAD PROCEDURES,"$58,918.41"
,266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,"$166,339.83"
,267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,"$151,136.85"
,268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,"$180,327.19"
,269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,"$132,744.23"
,270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"$167,893.01"
,271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"$99,902.00"
,272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,"$117,586.84"
,273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,"$110,901.95"
,274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,"$86,291.12"
,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$68,723.99"
,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$41,928.05"
,282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","$39,649.68"
,283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","$90,087.33"
,284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC","$33,674.53"
,285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC","$24,927.07"
,286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","$65,719.51"
,287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","$46,125.06"
,288,ACUTE & SUBACUTE ENDOCARDITIS W MCC,"$83,486.20"
,291,HEART FAILURE & SHOCK W MCC,"$36,526.92"
,292,HEART FAILURE & SHOCK W CC,"$22,264.82"
,293,HEART FAILURE & SHOCK W/O CC/MCC,"$20,829.52"
,296,"CARDIAC ARREST, UNEXPLAINED W MCC","$38,469.45"
,297,"CARDIAC ARREST, UNEXPLAINED W CC","$13,182.76"
,298,"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC","$43,559.58"
,299,PERIPHERAL VASCULAR DISORDERS W MCC,"$62,179.25"
,300,PERIPHERAL VASCULAR DISORDERS W CC,"$29,486.27"
,301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$22,922.14"
,302,ATHEROSCLEROSIS W MCC,"$30,127.43"
,303,ATHEROSCLEROSIS W/O MCC,"$48,035.44"
,304,HYPERTENSION W MCC,"$27,583.64"
,305,HYPERTENSION W/O MCC,"$22,348.79"
,306,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,"$51,439.75"
,307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,"$20,549.00"
,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$54,982.56"
,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$27,325.35"
,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$24,718.51"
,311,ANGINA PECTORIS,"$29,154.74"
,312,SYNCOPE & COLLAPSE,"$24,149.14"
,313,CHEST PAIN,"$20,625.31"
,314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$56,007.31"
,315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$30,452.19"
,316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$21,227.17"
,326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","$170,351.56"
,327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","$61,319.32"
,328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC","$40,002.84"
,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$134,463.04"
,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"$70,198.25"
,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$46,110.06"
,333,RECTAL RESECTION W CC,"$49,300.12"
,334,RECTAL RESECTION W/O CC/MCC,"$42,410.29"
,335,PERITONEAL ADHESIOLYSIS W MCC,"$215,452.39"
,336,PERITONEAL ADHESIOLYSIS W CC,"$54,729.94"
,337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"$38,840.00"
,338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,"$96,629.54"
,339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"$66,277.22"
,340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$33,636.45"
,342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"$35,394.67"
,343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$20,825.02"
,344,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$55,700.53"
,345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"$51,100.10"
,346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$31,217.16"
,348,ANAL & STOMAL PROCEDURES W CC,"$28,894.01"
,349,ANAL & STOMAL PROCEDURES W/O CC/MCC,"$22,916.23"
,350,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,"$55,741.99"
,351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,"$36,373.49"
,352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$15,954.96"
,353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"$76,896.41"
,354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,"$52,613.68"
,355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"$33,624.78"
,356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"$120,368.93"
,357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$60,297.68"
,358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"$30,754.68"
,368,MAJOR ESOPHAGEAL DISORDERS W MCC,"$118,802.36"
,369,MAJOR ESOPHAGEAL DISORDERS W CC,"$40,953.11"
,370,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,"$30,024.76"
,371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$45,484.36"
,372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$34,096.48"
,373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"$23,730.74"
,374,DIGESTIVE MALIGNANCY W MCC,"$58,284.10"
,375,DIGESTIVE MALIGNANCY W CC,"$37,603.88"
,376,DIGESTIVE MALIGNANCY W/O CC/MCC,"$39,315.92"
,377,G.I. HEMORRHAGE W MCC,"$73,870.97"
,378,G.I. HEMORRHAGE W CC,"$32,918.00"
,379,G.I. HEMORRHAGE W/O CC/MCC,"$19,809.63"
,380,COMPLICATED PEPTIC ULCER W MCC,"$72,050.96"
,381,COMPLICATED PEPTIC ULCER W CC,"$35,940.91"
,382,COMPLICATED PEPTIC ULCER W/O CC/MCC,"$20,480.76"
,383,UNCOMPLICATED PEPTIC ULCER W MCC,"$61,047.15"
,384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"$27,412.74"
,385,INFLAMMATORY BOWEL DISEASE W MCC,"$52,850.40"
,386,INFLAMMATORY BOWEL DISEASE W CC,"$36,629.92"
,387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$40,400.30"
,388,G.I. OBSTRUCTION W MCC,"$56,672.86"
,389,G.I. OBSTRUCTION W CC,"$24,617.21"
,390,G.I. OBSTRUCTION W/O CC/MCC,"$20,741.12"
,391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$31,263.64"
,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$24,011.27"
,393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$56,667.43"
,394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$30,287.34"
,395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$21,408.14"
,405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC","$164,651.78"
,406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC","$87,645.78"
,407,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC","$68,459.37"
,408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,"$163,065.34"
,409,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,"$95,689.80"
,410,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,"$49,085.55"
,414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,"$85,321.36"
,415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,"$102,471.45"
,416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,"$23,816.17"
,417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$55,566.56"
,418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$50,935.30"
,419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$38,415.16"
,420,HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,"$114,276.25"
,421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,"$74,295.56"
,422,HEPATOBILIARY DIAGNOSTIC PROCEDURES W/O CC/MCC,"$48,154.98"
,423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,"$189,830.08"
,424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC,"$24,978.92"
,432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"$57,021.15"
,433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"$31,959.47"
