Procedure Name, Procedure Price  
HC ASSAY OF VITAMIN B-6, $258.26 
HC ASSAY OF RENIN, $379.04 
HC ASSAY OF SEX HORMONE BINDING GLOBULIN, $506.89 
HC ASSAY OF SERUM SODIUM, $179.73 
HC ASSAY OF URINE SODIUM, $183.66 
HC ASSAY OF SOMATOMEDIN, $266.90 
HC SPECTROPHOTOMETRY, $47.60 
HC ASSAY OF TESTOSTERONE, $647.13 
HC ASSAY OF TOTAL TESTOSTERONE, $654.04 
HC ASSAY OF VITAMIN B-1, $218.00 
HC ASSAY OF TOTAL THYROXINE, $238.66 
HC ASSAY OF FREE THYROXINE, $299.90 
HC ASSAY THYROID STIM HORMONE, $874.24 
HC ASSAY OF THYROID STIM IMMUNOGLOBULINS (TSI), $447.76 
HC TRANSFERASE ASPARTATE AMINO (AST) (SGOT), $313.39 
HC TRANSFERASE ALANINE AMINO (ALT) (SGPT), $315.39 
HC ASSAY OF TRANSFERRIN, $276.73 
HC ASSAY OF TRIGLYCERIDES, $286.36 
HC THYROID HORM UPTAKE/THYR HORM BINDING RATIO, $221.96 
"HC TRIIODOTHYRONINE TOTAL ASSAY, TT-3", $332.54 
HC TRIIODOTHYRONINE FREE ASSAY (FT-3), $331.88 
HC TRIIODOTHYRONINE T3 REVERSE, $194.84 
"HC ASSAY OF TROPONIN, QUANT", $610.91 
"HC ASSAY UREA NITROGEN, QUAN", $216.82 
HC ASSAY URINE UREA-N, $131.82 
"HC ASSAY OF URIC ACID, BLOOD", $270.76 
"HC ASSAY OF URIC ACID, BLOOD, OTHER SOURCE", $263.56 
HC ASSAY OF VASOPRESSIN, $283.00 
HC ASSAY OF ZINC, $140.00 
HC ASSAY OF C-PEPTIDE, $213.60 
"HC CHORIONIC GONADOTROPIN, QUANT", $762.48 
"HC CHORIONIC GONADOTROPIN, QUAL", $356.23 
HC ASSAY OF PROSTATE SPECIFIC ANTIGEN TOTAL, $293.52 
HC DRUG SCREEN MULTIP CLASS, $281.50 
HC REAGENT STRIP/BLOOD GLUCOSE, $23.97 
HC DRUG SCREEN QUANT CAFFEINE, $192.50 
HC DRUG SCREEN QUANT CLOZAPINE, $162.41 
HC DRUG SCREEN QUANT GABAPENTIN, $217.27 
HC DRUG SCRN QUANT OXCARBAZEPIN, $239.88 
HC DRUG SCREEN QUANT ZONISAMIDE, $217.25 
"HC LACTOFERRIN, FECAL, QUAL", $160.36 
HC ASSAY OF CHROMIUM, $460.03 
"HC ASSAY OF VALPROIC ACID, FREE", $233.60 
HC ASSAY OF PREGNENOLONE, $465.92 
"HC BLOOD GASES: PH, PO2 & PCO2", $881.83 
"HC BLOOD GASES: PH, PO2 & PCO2 W O2 SATU", $761.65 
HC ASSAY OF NICOTINE, $159.67 
HC ANTIDEPRESSANTS TRICYCLIC & CYCLICALS 6/MORE, $332.51 
HC MYCOPHENOLATE ASSAY, $279.88 
"HC BLOOD OCCULT STOOL, 1-3 SIMULT, NON CAN SCREEN", $90.07 
HC GENERAL HEALTH PANEL, $520.00 
HC DRUG SCREEN PRSMV QUAL DIR OPTICAL OBS PER DAY, $43.38 
HC IMMUNOASSAY ANALYTE QUAL/SEMIQUAL MULTIPLE STEP, $155.48 
"HC ALLERGEN SPEC IGE QUANT,EACH", $847.38 
"HC ALLERGEN SPEC IGE QUALIT,MULTI", $67.00 
HC PLATELET ANTIBODIES, $370.50 
HC ANTINUCLEAR ANTIBODIES, $681.25 
HC ANTINUCLEAR ANTIBODIES TITER, $183.00 
HC ANTISTREPTOLYSIN O TITER, $241.47 
HC ANTISTREPTOLYSIN O SCREEN, $124.57 
HC C-REACTIVE PROTEIN, $296.79 
"HC C-REACTIVE PROTEIN,HIGH SENSITIVITY", $142.69 
"HC BETA 2 GLYCOPROTEIN I ANTIBODY,EA", $472.01 
HC CARDIOLIPIN ANTIBODY, $472.01 
HC PHOSPHOLIPID ANTIBODY, $210.00 
"HC COLD AGGLUTININ, TITER", $250.34 
"HC COMPLEMENT, ANTIGEN", $182.28 
HC COMPLEMENT/FUNCTION ACTIVITY, $393.72 
"HC COMPLEMENT, TOTAL (CH50)", $439.42 
HC CYCLIC CIRULLINATED PEPTIDE ANTIBODY, $143.00 
"HC DNA ANTIBODY, NATV/2 STRAND", $182.50 
HC NUCLEAR ANTIGEN ANTIBODY, $369.30 
HC FLUORESCENT ANTIBODY; SCREEN, $778.00 
HC FLUORESCENT ANTIBODY; TITER, $554.01 
"HC IMMUNOASSAY, TUMOR ANTIGEN, CA 15-3", $123.40 
"HC IMMUNOASSAY, TUMOR ANTIGEN, CA 19-9", $246.00 
"HC IMMUNOASSAY, TUMOR ANTIGEN, CA 125", $592.06 
"HC HETEROPHILE ANTIBODIES,SCREEN", $296.79 
"HC IMMUNOASSAY, TUMOR ANTIGEN, QUANT", $347.82 
"HC IMMUNOASSAY,INFECT AGENT,QUANT", $63.57 
"HC IMMUNOFIX E-PHORESIS, SERUM", $445.26 
HC IMMUNFIX E-PHORSIS/URINE/CSF, $297.24 
HC INSULIN ANTIBODIES, $240.25 
"HC T CELLS, TOTAL COUNT", $217.57 
HC T CELL ABSOLUTE COUNT/RATIO," $1,075.45 "
HC T CELL ABSOLUTE COUNT, $232.00 
HC MICROSOMAL ANTIBODY, $229.00 
"HC PARTICLE AGGLUTINATION TEST, SCREEN", $116.40 
HC RHEUMATOID FACTOR TEST, $248.32 
"HC RHEUMATOID FACTOR, QUANT", $248.32 
"HC TB TEST, CELL MDIATD ANTGEN RESPS GAMMA INTFRON", $294.02 
HC TB TST CELL MEDI AG RESP ENUM GAMMA INTRF TCELL, $373.84 
HC SYPHILIS TEST NON TREPONEMAL ANTIBODY QUAL, $191.72 
"HC SYPHILIS TEST, QUANTITATIVE", $116.24 
HC ASPERGILLUS ANTIBODY, $487.74 
"HC BACTERIUM, ANTIBODY", $149.00 
"HC BLASTOMYCES, ANTIBODY", $175.89 
"HC LYME DISEASE ANTIBODY, CONFIRMATORY", $196.38 
HC LYME DISEASE ANTIBODY, $487.57 
"HC CHLAMYDIA, ANTIBODY", $225.00 
"HC CHLAMYDIA, IGM, ANTIBODY", $276.73 
"HC COCCIDIOIDES, ANTIBODY", $123.96 
HC CMV ANTIBODY, $302.54 
"HC CMV ANTIBODY, IGM", $183.80 
"HC EPSTEIN-BARR ANTIBODY,EARLY", $187.00 
"HC EPSTEIN-BARR ANTIBODY,NUCLEAR", $187.00 
"HC EPSTEIN-BARR ANTIBODY,V CAPSID", $194.10 
"HC FUNGUS, ANTIBODY", $278.14 
HC HELICOBACTER PYLORI, $466.91 
"HC HERPES SIMPLEX TEST, UNSPECIFIED TYPE", $236.66 
"HC HERPES SIMPLEX TEST, TYPE 1", $248.14 
"HC HERPES SIMPLEX TEST, TYPE 2", $211.20 
HC HISTOPLASMA, $129.92 
"HC HIV-1/HIV-2, SINGLE ASSAY", $312.35 
"HC HEP B CORE AB TEST, TOTAL", $155.00 
"HC HEP B CORE AB TEST, IGM", $637.32 
HC HEPATITIS B SURFACE AB TEST, $291.30 
HC HEPATITIS BE AB TEST, $258.00 
HC HEP A ANTIBODY TOTAL, $250.36 
"HC HEP A AB TEST, IGM", $199.36 
HC LEGIONELLA, $420.70 
HC MUMPS, $578.78 
HC MYCOPLASMA, $396.00 
HC PARVOVIRUS, $152.75 
HC RICKETTSIA, $257.29 
HC RUBELLA, $329.71 
HC RUBEOLA, $286.12 
HC ANTIBODY TREPONEMA PALLIDUM, $149.46 
HC VARICELLA-ZOSTER, $620.38 
"HC WEST NILE VIRUS AB, IGM", $183.80 
HC WEST NILE VIRUS ANTIBODY, $432.49 
"HC VIRUS, NOT SPECIFIED", $197.09 
HC THYROGLOBULIN ANTIBODY, $201.00 
HC HEPATITIS C AB TEST, $260.32 
HC RBC ANTIBODY SCREEN, $502.00 
HC RBC ANTIBODY IDENTIFICATION," $1,284.58 "
HC ANTIHUMAN GLOBULIN DIR EA ANTISERUM, $312.21 
"HC BLOOD TYPING, ABO", $279.70 
"HC BLOOD TYPING, RH (D)", $152.55 
"HC BLOOD TYPE ANTIGEN DONOR REAGENT SERUM, EA AG", $255.47 
"HC BLOOD TYPING, RBC ANTIGENS", $309.06 
"HC COMPATIBILITY TEST,SPIN TECH", $861.19 
"HC COMPATIBILITY TEST,ANTIGLOB TECH", $593.11 
HC THAW PLASMA FRESH FROZEN EA UNIT," $1,047.10 "
HC MONONUCLEAR CELL ANTIGEN, $211.00 
HC GIARDIA AG EIA, $132.26 
HC HPYLORI STOOL EIA, $191.34 
"HC COMPATIBILITY TEST, ELECTRONIC", $614.65 
HC BLOOD TRANSFUSION REACTION INTERPRETATION, $485.73 
HC PSA SCREENING, $231.75 
HC CULTYP NUCLEIC ACID SEQUENCING METH EA ISOLATE, $712.10 
HC BLEEDING TIME TEST, $137.15 
"HC BLOOD SMEAR,MICRO EXAM,MANUAL DIFF WBC", $91.31 
HC BLOOD SMEAR MICRO EXAM W/O MANUAL DIFF, $130.29 
HC HEMATOCRIT, $169.09 
HC HEMOGLOBIN, $169.09 
HC COMPLETE CBC & AUTO DIFF WBC, $250.34 
HC COMPLETE CBC, $140.32 
"HC RETICULOCYTE COUNT,MANUAL", $163.40 
HC LEUKOCYTE (WBC) COUNT, $114.77 
HC PLATELET COUNT, $115.06 
HC BLOOD CLOT FACTOR V TEST, $181.83 
"HC BLOOD CLOT FACTOR VIII TEST, ONE STAGE", $340.25 
"HC BLD CLOT FACTOR VIII, VW FC, RISTOCETIN COFACTR", $323.33 
"HC ANTITHROMBIN III TEST,ACTIV", $637.32 
"HC CLOT INHIB PROTEIN C,ANTIGEN", $500.93 
"HC CLOT INHIB PROTEIN C,ACTIV", $449.98 
"HC CLOT INHIB PROTEIN S,TOTAL", $483.18 
"HC CLOT INHIB PROTEIN S,FREE", $624.00 
HC ACTIVATED PROT C (APC) RESISTNCE ASSAY, $348.00 
"HC COAGULATION TIME, ACTIVATED", $166.83 
"HC FIBRIN DEGRAD PRODUCTS, AGGLUTINATION", $215.75 
"HC FIBRIN DEGRADPRODUCTS,D-DIMER, QUANT", $202.65 
"HC FIBRINOGEN, ACTIVITY", $299.58 
HC BLOOD PLATELET AGGREGATION, $235.00 
"HC PHOSPHOLIPID NEUTRALIZATION,PLATELET", $191.00 
"HC PHOSPHOLIPID NEUTRALIZ, HEXAGONAL PHOSPHOLIPID", $181.92 
HC PROTHROMBIN TIME, $293.67 
"HC RUSSELL VIPER VENOM, DILUTED", $139.31 
"HC RBC SED RATE, NONAUTO", $288.00 
HC RBC SICKLE CELL TEST, $125.08 
"HC THROMBIN TIME, PLASMA", $116.00 
HC THROMBOPLASTIN INHIBITION, $139.10 
HC THROMBOPLAS TIME PARTIAL, $294.19 
HC THROMBOPLAS TIME PART PLASMA FRAC, $305.85 
HC BLOOD SMEAR INTERPRETATION, $67.03 
HC OCCULT BLOOD OTHER SOURCES, $90.07 
HC BLOOD CULTURE FOR BACTERIA, $316.18 
"HC STOOL CULTURE,SALMONELLA & SHIGELLA", $676.15 
"HC CULTURE SPEC, BACTERIA, NOT URINE,STOOL,BLOOD", $641.57 
"HC CULTURE SPECIMEN, ANAEROBIC", $488.33 
"HC BACTERIA IDENTIFICATION, AEROBIC ISOLATE"," $1,355.72 "
HC BACTERIA CULTURE SCREEN, $579.62 
"HC URINE CULTURE, COLONY COUNT", $553.85 
HC URINE BACT CULT ID, $434.00 
"HC CULTURE FUNGI, INDEFINITIVE, EACH ORGAN", $139.25 
"HC MYCOBACT CULTURE,ISOLATN", $465.07 
HC OVA AND PARASITES SMEARS, $158.31 
"HC ANTIBIOTIC SENS,MIC,EACH", $246.91 
"HC SMEAR,PRIMARY W/INTERP", $175.23 
"HC SMEAR, FLUOR STAIN, W INTERP", $232.71 
"HC SMEAR,STAIN,WET MNT,INTERP", $470.98 
HC TISSUE EXAM BY KOH, $130.29 
"HC VIRUS ID,NON-IMMUNOLOGIC METHOD", $332.89 
"HC CRYPTOSPOR AG, EIA", $398.29 
"HC HEPATITIS B SURFACE AG, EIA", $180.00 
"HC HEPATITIS B AG, EIA", $145.00 
"HC RESP SYNCYTIAL AG, EIA", $238.00 
"HC ROTAVIRUS AG, EIA", $211.83 
"HC AG DETECT NOS, EIA, MULT STEP", $194.00 
"HC CHYLMD TRACH, DNA, AMP PROBE", $383.00 
"HC CYTOMED, DNA, AMP PROBE", $288.79 
"HC CYTOMEG, DNA, AMP PROBE", $650.94 
HC INFECT AGENT DNA/RNA INFLUENZA FIRST 2 TYPES, $484.00 
"HC HCV RNA, PCR, QUALITATIVE", $239.00 
HC IADNA HEPATITIS C QUANT & REVERSE TRANSCRIPTION," $1,182.97 "
"HC HSV, DNA, AMP PROBE", $650.94 
HC IADNA HIV-1 QUANT & REVERSE TRANSCRIPTION, $928.70 
"HC N.GONORRHOEAE, DNA, AMP PROB", $383.00 
"HC DETECT AGENT NOS, DNA, DIR", $528.60 
"HC DETECT AGENT NOS, DNA, AMP", $650.94 
"HC DETECT AGENT,IMMUN,DIR OBS,INFLUENZA", $149.00 
HC STREP A ASSAY W/OPTIC, $362.91 
HC AGENT NOS ASSAY W/OPTIC, $362.91 
"HC HEPATITIS C VIRUS, GENOTYPE ANAL DNA/RNA"," $1,022.75 "
HC SKIN FUNGI CULTURE, $461.71 
HC FUNGI IDENTIFICATION MOLD, $149.54 
HC DNA/RNA DIRECT PROBE, $646.71 
HC SMEAR COMPLEX STAIN, $142.00 
HC STREP B ASSAY W/OPTIC, $366.42 
HC CHYLMD TRACH AG EIA, $366.42 
HC CULTURE ANAEROBE IDENT EACH, $203.19 
HC SHIGA-LIKE TOXIN AG EIA, $101.71 
HC MR-STAPH DNA AMP PROBE, $284.82 
"HC HOMOGENIZATION, TISSUE FOR CULTURE", $197.16 
"HC ANTIBIOTIC SENS,ENZYME DETECTION,EACH", $41.61 
HC IADNA DNA/RNA ZIKA VIRUS AMPLIFIED PROBE TQ, $480.00 
"HC URINALYSIS, AUTO, W/SCOPE", $236.92 
HC URINALYSIS NONAUTO W/O SCOPE, $114.77 
"HC URINALYSIS, AUTO, W/O SCOPE", $113.00 
HC URINALYSIS, $82.82 
HC MICROSCOPIC EXAM OF URINE, $198.20 
HC URINE PREGNANCY TEST, $577.02 
"HC URINALYSIS, NONAUTO, W/SCOPE", $219.05 
HC F2 GENE ANALYSIS 20210G >A VARIANT, $474.12 
HC F5 COAGULATION FACTOR V ANAL LEIDEN VARIANT, $474.12 
HC HLA I LOW RESOLUTION ONE ANTIGEN EQUIVALENT EA, $965.59 
"HC CELL COUNT,MISC BODY FLUIDS", $203.39 
HC BODY FLUID CELL COUNT W DIFF, $321.13 
"HC EXAM,SYNOVIAL FLUID CRYSTALS", $137.46 
HC BCR/ABL1 GENE MAJOR BP, $600.68 
HC BCR/ABL1 GENE MINOR BP, $459.51 
HC EGFR GENE COM VARIANTS," $1,577.83 "
HC HFE GENE, $550.84 
HC JAK2 GENE, $217.72 
HC SPUTUM SPECIMEN COLLECTION, $114.82 
"HC BONE MARROW,SMEAR INTERPRETATION"," $2,202.65 "
HC DECALCIFY TISSUE, $111.00 
"HC SPECIAL STAINS,GROUP I", $221.92 
"HC SPECIAL STAINS,GROUP II", $214.78 
HC MICROSLIDE CONSULT W SLIDE PREP, $315.85 
HC PATH CONSULT IN SURGERY, $351.48 
"HC PATH CONSULT IN SURG,W FRZ SEC", $612.68 
"HC PATH CONSULT IN SURG,W ADDN FRZ SEC", $654.71 
HC IMHISTOCHEM/CYTCHM 1ST SEP IDENT ANTIBODY SLIDE, $387.12 
HC IMMUNOFLUOR INITIAL SINGLE ANTIBODY STAIN, $408.98 
"HC ELECTRON MICROSCOPY,DIAGNOSTIC"," $1,710.86 "
HC IMMUNOFLUOR ANTB 1ST STAIN, $246.13 
HC FETAL CHRMOML ANEUPLOIDY, $39.00 
HC MOPATH PROCEDURE LEVEL 4, $832.77 
HC MICROSLIDE CONSULT, $470.51 
"HC INTRAOPERATIVE CYTO PATH CONSULT, INITIAL SITE", $524.39 
"HC INTRAOPERATIVE CYTO PATH CONSULT, ADD SITES", $367.06 
"HC MICRODISSECTION, MANUAL", $892.17 
HC IMHISTOCHEM/CYTCHM EA ADD SEP IDENT ANTIBODY SLIDE, $320.00 
HC IMMUNOFLUOR EA ADD SINGLE ANTIBODY STAIN, $306.74 
HC MOPATH PROCEDURE LEVEL 1, $539.00 
HC MORPH INSITU HYBRIDIZE MANL PER SPCMN EA MULTPLX PROB STAIN, $837.68 
HC CYP2C19 GENE ANALYSIS COMMON VARIANTS, $899.00 
HC FLOW CYTOMETRY INTERPRETATION 16/> MARKERS, $274.68 
"HC CYTOPATH FLUIDS,SMEAR,INTERP", $462.74 
"HC CYTOPATH FLUIDS,CONCENTRATN,INTERP", $338.56 
"HC CYTOPATH, CELL ENHANCE TECH", $334.25 
"HC CYTOPATH,OTHR SOURC,SCREEN,INTERP", $133.00 
"HC CYTOPATH,OTHR SOURC,PREP,SCRN,INTERP", $213.57 
HC INTERPRETATION OF FNA SMEAR, $519.80 
"HC FLOWCYTOMETRY/ TECH COMPONENT, 1 MARKER"," $1,047.10 "
"HC TISSUE CULTURE, BONE MARROW", $786.86 
"HC CHROMOSOME ANAL:5 CELLS,1 KARYOTYPE"," $1,090.00 "
HC CHROMOSOME ANALYSIS:20-25, $670.23 
HC CHROMOSOME KARYOTYPE STUDY, $269.89 
HC CHROMOSOME COUNT:ADDN CELLS, $203.24 
HC FLOWCYTOMETRY/TC ADD-ON, $206.80 
HC CYTOGENETICS DNA PROBE, $207.85 
HC CYTOGENETICS 100-300, $335.90 
"HC TISSUE CULTURE, TUMOR"," $1,281.13 "
"HC SURG PATH,GROSS,LEVEL I", $152.55 
"HC SURG PATH,LEVEL II", $240.70 
"HC SURG PATH,LEVEL III", $419.88 
"HC SURG PATH,LEVEL IV", $664.83 
"HC SURG PATH,LEVEL V"," $1,396.79 "
"HC SURG PATH,LEVEL VI"," $2,202.65 "
HC TUMOR IMMUNOHISTOCHEM/MANUAL, $650.00 
"HC INSITU HYBRIDIZE, PER SPCMN, INIT SING PROB STAIN", $533.78 
HC TUMOR IMMUNOHISTOCHEM/COMPUT, $336.88 
HC X-RAY JAW 4+ VW, $993.00 
HC X-RAY FACIAL BONES 3+ VW," $1,777.30 "
HC X-RAY NASAL BONES," $1,403.09 "
HC X-RAY ORBITS," $1,780.27 "
HC X-RAY SINUSES <3 VW, $900.89 
HC X-RAY SINUSES 3+ VW," $1,410.78 "
HC X-RAY SKULL <4 VW," $1,333.45 "
HC X-RAY SKULL 4+ VW," $2,097.01 "
