DEPARTMENT,IVDESC,IVCPTCD,IVPRICE1
CLINIC,DISLOCATION ELBOW WO ANES,24600,1254
CLINIC,DISLOCATION ELBOW W/ANES,24605,1615
ER,DISLOCATION ELBOW W ANES,24605,3669
CLINIC,DISLOCATION ELBOW W/MANIP,24640,426
ER,DISLOCATION ELBOW W MANIP,24640,486
CLINIC,FX RADIUS HEAD WO MANIP,24650,872
ER,FX RAD HEAD NECK WO MANIP,24650,321
CLINIC,"FX ULNAR,PROX WO MANIP",24670,976
RADIOLOGY,WRIST ARTHRO INJ,25246,113
CLINIC,FX RADIAL SHAFT WO MANIP,25500,898
ER,FX RAD WO MANIPULATION,25500,321
CLINIC,FX RADIAL SHAFT W/MANIPU,25505,1735
CLINIC,FX ULNAR SHAFT W/O MANIP,25530,869
ER,FX ULNAR SHAFT W O MANIP,25530,321
CLINIC,FX ULNAR SHAFT W/MANIP,25535,1672
CLINIC,FX RAD/ULNAR SHAFT W/O MA,25560,911
ER,FX RAD ULNAR WO MANIP,25560,321
CLINIC,FX RAD/ULNAR SHAFT W/MANI,25565,1802
ER,FX RAD ULNAR SHFT W MANIP,25565,1086
CLINIC,FX DISTAL RADIUS WO MANIP,25600,983
ER,FX DISTAL RAD WO MANIP,25600,321
CLINIC,FX DISTAL RADIUS W/MANIP,25605,2146
ER,FX RAD UL  EPIP SEP W MAN,25605,1087
CLINIC,FX CARPAL SCAPH WO MANIP,25622,1015
CLINIC,FX ULNAR STYLOID CLOSED,25650,911
CLINIC,ARTHROTOMY W/REMOV FB,26070,1457
CLINIC,FX METACAR WO MANIP,26600,963
ER,FX METACARPAL SINGLE W O,26600,321
CLINIC,FX METACARPAL W/MANIP,26605,1084
ER,FX METACARPAL W MANIP,26605,321
CLINIC,DISLOCATION THUMB W/MANIP,26641,1259
CLINIC,FX THUMB W/MANIP,26645,1428
CLINIC,DISLOCA CARPOMETA W/MANIP,26670,1135
CLINIC,FX PHALANX PROX/MIDDLE,26720,656
ER,FX PHALANX WO MANIP,26720,350
CLINIC,FX PHALANX FINGER W MANIP,26725,1157
ER,FX PHALANX W MANIP,26725,512
CLINIC,FX PHALANX FINGER WO MANI,26750,615
ER,FX PHALANX,26750,370
CLINIC,FX PHALANX OPEN,26765,1685
ER,FX PHLANAX OPEN,26765,1440
CLINIC,DISLOCATION INTERPHALA JT,26770,924
CLINIC,DISLOCATION INTERPHALA JT,26770,924
CLINIC,DISLOCA INTERMED W/ANES,26775,1300
CLINIC,AMPUTATION FINGER/THUMB,26951,2211
CLINIC,FX COCCYGEAL,27200,607
CLINIC,FX FEMORAL SHAFT WO MANIP,27500,1800
ER,FX FEMORAL SHAFT WO MANIP,27500,321
CLINIC,FX PATELLA W/O MANIP,27520,1087
CLINIC,FX TIB W W/O FIB W/O MANI,27750,1173
CLINIC,FX TIBIA W/MANIPULATION,27752,1871
CLINIC,FX  MALLEOLUS WO MANIP,27760,1133
ER,FX MEDIAL MALLEOLUS WO,27760,321
CLINIC,FX PROX FIBULA WO MANI,27780,1019
ER,FX PROX FIBULA WO MANIP,27780,321
CLINIC,FX DISTAL FIBULA WO MANIP,27786,1074
ER,FX DISTAL FLBULA W O MANI,27786,321
CLINIC,DISLOCATION ANKLE-CLOSED,27840,829
CLINIC,FX DISLOC ANKLE W/ANES,27842,1724
CLINIC,ARTHROTOMY IP JOINT,28024,1564
CLINIC,REM FB FOOT,28190,952
CLINIC,FX CALCANEAL W/O MANIP,28400,849
CLINIC,FX TALUS WO MANIPULATION,28430,799
CLINIC,FX TARSAL W/O MANIP,28450,738
ER,FX TARSAL WO MANIP,28450,321
CLINIC,FX METATARSAL W/O MANIP,28470,728
ER,FX METATARSAL WO MANIP,28470,321
CLINIC,FX METATARSAL W/MANIP,28475,908
ER,FX METATARSAL W MANIP,28475,321
CLINIC,FX GREAT TOE WO MANIP,28490,482
ER,FX GREAT TOE WO MANIP,28490,247
CLINIC,FX PHALANX  WO MANIP,28510,416
CLINIC,FX PHALANX  W MANIP,28515,543
CLINIC,CAST LONGARM APPLICATION,29065,325
SPECIALTY CLINIC,CASTING LONG ARM,29065,140
CLINIC,CAST SHORTARM APPLICATION,29075,273
SPECIALTY CLINIC,CASTING SHORT ARM,29075,125
CLINIC,SPLINT LONG ARM APPLICA,29105,199
CLINIC,SPLINT SHORTARM APPLICA,29125,170
ER,SPLINT SHORTARM APPLICAT,29125,169
PHYSICAL THERAPY,PT APP SHT ARM SPLINT ST,29125,172
SPECIALTY CLINIC,SPLINT APP SHORT ARM,29125,125
CLINIC,SPLINT FINGER APPLICATION,29130,142
CLINIC,SPLINT FINGER APPLICATION,29130,142
CLINIC,STRAPPING ELBOW OR WRIST,29260,181
CLINIC,CAST SHORTLEG APPLICATION,29405,307
SPECIALTY CLINIC,CASTING SHORT LEG,29405,188
CLINIC,CAST WALK/AMBULA APPLICA,29425,330
CLINIC,SPLINT SHORTLEG APPLICAT,29515,234
CLINIC,REM FOREIGN BODY NOSE,30300,794
ER,REM FB NOSE,30300,260
CLINIC,CONTROL NASAL HEMOR SIMPL,30901,249
ER,NASAL HEMORRHAGE CONTROL,30901,178
CLINIC,NASAL HEMOR CONT POSTERIO,30905,857
SPECIALTY CLINIC,CONTROL NASAL HEMORRHAGE,30905,317
CLINIC,INTUBATION ENDOTRACHEAL,31500,414
ER,"INTUBATION, ENDOTRACHEAL",31500,463
SPECIALTY CLINIC,LARYNGOSCOPY FLEX DX,31575,286
SPECIALTY CLINIC,TRANSTRACHEAL PROCEDURE,31612,1713
CLINIC,THORACENTESIS FOR ASPIRAT,32421,546
CLINIC,THORACOSTOMY TUBE PLCMENT,32551,655
RADIOLOGY,PLACE NDL INTRACATH VEIN,36000,98
CLINIC,CATH PLACEMENT ABD/L EXT,36245,4630
LABORATORY,**VENIPUNCTURE,36415,36
LABORATORY,SPECIMEN COLLECTION,36415,44
LABORATORY,**CAPILLARY COLLECTION,36416,36
MED/SURG,BB TRANSFUSION BLOOD PRODUCT,36430,802
MED/SURG,TRANSFUSION BLOOD PRODUCT - NURSING,36430,802
CLINIC,INSERT CENTRAL LINE > 5,36556,3015
MED/SURG,INSERT CENTRAL LINE >5,36556,3135
CLINIC,REMOV CENTRAL LN WO PORT,36589,629
LABORATORY,ARTERIAL PUNCTURE,36600,126
SPECIALTY CLINIC,BIOPSY TEMPORAL ARTERY,37609,831
SPECIALTY CLINIC,BIOPSY LYMPH NODE SUPER,38500,3564
SPECIALTY CLINIC,BIOPSY LIP,40490,210
SPECIALTY CLINIC,VERMILIONECTOMY LIP SHAVE,40500,1191
SPECIALTY CLINIC,EXC LES MUCOSA WO REPAIR,40810,1191
SPECIALTY CLINIC,EXC LESION MUCOSA WO REP,40810,1191
CLINIC,I&D TONGUE  MOUTH;LINGUAL,41000,690
ER,I&D TONGUE MOUTH; LINGUAL,41000,1933
CLINIC,FRENOTOMY,41010,691
SPECIALTY CLINIC,BIOPSY OF FLOOR OF MOUTH,41108,205
SPECIALTY CLINIC,"BIOPSY OF PALATE,UVULA",42100,1145
CLINIC,SIALOLITHOTOMY,42330,1618
CLINIC,EXC SUBLING SALIVARY CYST,42408,1618
CLINIC,REMOVAL FB PHARYNX,42809,408
ER,REM FB PHARYNX,42809,195
SPECIALTY CLINIC,GI ENDO,43235,1867
SPECIALTY CLINIC,GI ENDO W BIOPSY,43239,2244
SPECIALTY CLINIC,GI ENDO W BIOPSY CAUTERY,43250,1150
CLINIC,SIGMOIDOSCOPY DIAGNOSTIC,45330,493
SPECIALTY CLINIC,SIGMOIDOSCOPY,45330,331
CLINIC,SIGMOIDOSCOPY W/BIOPSY,45331,493
SPECIALTY CLINIC,SIGMOIDOSCOPY W BIOPSY,45331,331
SPECIALTY CLINIC,SIGMOID W REMOVAL CAUTERY,45333,852
SPECIALTY CLINIC,SIGMOID W BY SNARE,45338,789
SPECIALTY CLINIC,COLONOSCOPY,45378,2055
SPECIALTY CLINIC,COLONOSCOPY W BIOPSY,45380,2432
SPECIALTY CLINIC,COLONOSCOPY W CAUTERY,45384,2432
SPECIALTY CLINIC,COLONOSCOPY BY SNARE,45385,2432
CLINIC,I&D ABSCESS PERIANAL,46050,639
CLINIC,INCISION HEMORRHOID EXTER,46083,612
ER,INCIS THROMB HEMORR EXT,46083,487
CLINIC,EXC EXTERNAL HEMORRHOID,46320,1663
CLINIC,DESTRUC HEMORR EXTERNAL,46935,649
CLINIC,PARACENTESIS ABDOMINAL,49080,615
MED/SURG,PARACENTESIS ABDOMINAL,49080,936
CLINIC,PARACENTESIS SUBSEQUENT,49081,593
ER,PARACENTESIS ABDOMINAL,49082,892
CLINIC,BLADDER IRRIGA/INSTALL,51700,335
CLINIC,CATHETER INSERTION RESIDU,51701,173
CLINIC,CATHETER INSERTION SIMPLE,51702,198
SPECIALTY CLINIC,VASECTOMY,55250,2543
CLINIC,I&D BARTHOLIN'S GLAND,56420,305
CLINIC,DIAPHRAGM FITTING,57170,249
SPECIALTY CLINIC,COLPOSCOPY,57452,167
CLINIC,COLPOSCOPY W/BIOPSY,57454,567
SPECIALTY CLINIC,COLPOSCOPY W BIOPSY,57454,318
CLINIC,BIOPSY CERVIX,57500,637
SPECIALTY CLINIC,CRYOCAUTERY INITIAL,57511,167
CLINIC,BIOPSY ENDOMETRIAL,58100,403
CLINIC,INSERTION IUD,58300,229
CLINIC,REMOVAL IUD,58301,354
SPECIALTY CLINIC,PARATHYROIDECTOMY,60500,2260
ER,SPINAL PUNCTURE LUMBAR DX,62270,1082
CLINIC,REMOVAL FB CONJUNCTIVAE,65205,196
CLINIC,REMOVAL FB CORNEA W/O SL,65220,200
ER,REM FB CORENA W O SL,65220,260
CLINIC,FB REMOVAL FROM EYE,65222,265
CLINIC,BLEPHAROTOMY DRAIN ABSCES,67700,898
SPECIALTY CLINIC,EXC LESION EYELID,67840,480
CLINIC,DRAINAGE EXT EAR SIMPLE,69000,646
SPECIALTY CLINIC,DRAIN EXT EAR COMPLICATED,69005,300
CLINIC,REM FB EXT AUD CANAL W/OA,69200,435
ER,REM FB EXT CANAL WO ANES,69200,132
CLINIC,REMOVAL IMPACTED CERUMEN (IRRIGATION),69209,148
CLINIC,REMOVAL IMPACTED CERUMEN,69210,148
SPECIALTY CLINIC,REMOVAL CERUMEN IMPACTION,69210,85
RADIOLOGY,MANDIBLE PART <4 VIEWS,70100,211
RADIOLOGY,MANDIBLE COMP MIN 4V,70110,249
RADIOLOGY,MASTOIDS COMP MIN 3V SIDE,70130,292
RADIOLOGY,FACIAL BONES <3V,70140,292
RADIOLOGY,FACIAL BONES MIN 3 VIEWS,70150,455
RADIOLOGY,NASAL BONES MIN 3V,70160,211
RADIOLOGY,OPTIC FORAMINA,70190,292
RADIOLOGY,ORBITS COMP MIN 4V,70200,351
RADIOLOGY,SINUS PARANASAL <3V,70210,159
RADIOLOGY,SINUS PARANASAL 3V MIN,70220,190
RADIOLOGY,SELLA TURCICA,70240,170
RADIOLOGY,SKULL <4 VIEWS,70250,385
RADIOLOGY,SKULL COMP MIN 4V,70260,351
RADIOLOGY,TMJ BILATERAL,70330,292
MRI,MRI TEMPROMANDIB JT,70336,2599
RADIOLOGY,NECK FOR SOFT TISSUE,70360,365
RADIOLOGY,SALIVARY GLAND FOR CALC,70380,215
CATSCAN,CT HEAD OR BRAIN WO,70450,1250
CATSCAN,CT HEAD OR BRAIN W,70460,1363
CATSCAN,CT HEAD WWO,70470,1476
CATSCAN,CT ORB SELLA EAR WO,70480,1121
CATSCAN,CT ORB SELLA EAR W,70481,1798
CATSCAN,CT ORB SELLA EAR WWO,70482,1798
CATSCAN,CT MAXILLOFACIAL WO,70486,1383
CATSCAN,CT MAXILLOFACIAL W,70487,1704
CATSCAN,CT MAXILLOFACIAL W WO,70488,1817
CATSCAN,CT SOFT TISS NECK WO,70490,1078
CATSCAN,CT SOFT TISS NECK W,70491,1363
CATSCAN,CT SOFT TISS NECK WWO,70492,1476
CATSCAN,CT ANGIO HEAD W,70496,2954
CATSCAN,CT ANGIO NECK W,70498,2954
MRI,MRI ORB FACE NECK WO,70540,2599
MRI,MRI ORB FACE NECK W,70542,2599
MRI,MRI ORB FACE NECK WWO,70543,2599
MRI,MRA HEAD WO,70544,1732
MRI,MRA HEAD W,70545,1732
MRI,MRA HEAD W WO,70546,1817
MRI,MRA NECK WO,70547,1732
MRI,MRA NECK W,70548,1732
MRI,MRA NECK W WO,70549,1916
MRI,MRI BRAIN WO,70551,2272
MRI,MRI BRAIN W,70552,2272
MRI,MRI BRAIN W WO,70553,2385
RADIOLOGY,CHEST SPEC BUCKY DECUB,71035,309
RADIOLOGY,CHEST 1 VIEW FRONTAL/PORT,71045,211
RADIOLOGY,CHEST 2V PA & LAT,71046,216
RADIOLOGY,CHEST 2V W AP LORDO PROC,71047,289
RADIOLOGY,CHEST 2V W OBLIQUE PROJEC,71047,334
RADIOLOGY,CHEST COMP MIN 4V,71048,377
RADIOLOGY,RIBS BILAT 3 VIEWS,71110,307
RADIOLOGY,RIBS BIL INC CHEST 4V MIN,71111,678
RADIOLOGY,STERNUM MIN 2 VIEWS,71120,211
RADIOLOGY,STERNOCLAVIC JT 3V MIN,71130,211
CATSCAN,CT CHEST/THORAX WO,71250,1363
CATSCAN,CT CHEST/THORAX W,71260,1476
CATSCAN,CT CHEST/THORAX W WO,71270,1591
CATSCAN,CT ANGIOGRAPHY CHEST W,71275,3965
MRI,MRI CHEST WO,71550,2599
MRI,MRI CHEST W,71551,2599
MRI,MRI CHEST W WO,71552,2599
MRI,MRA CHEST W WO,71555,2599
RADIOLOGY,SPINE SGL VIEW SPFY LEVEL,72020,373
RADIOLOGY,SPINE CERV 2 OR 3V,72040,330
RADIOLOGY,SPINE CERV AP&LAT 4V MIN,72050,624
RADIOLOGY,SPINE CERV COMP FLEX EX,72052,624
