Description/FIM Description,Primary Price
3D RENDERING W/POST PROCESSING,$586.00 
3D RENDERING W/POSTPROCESSING,$586.00 
3RD ORDER ABD PELV LOWER EXT,"$2,204.00 "
3RD ORDER ABD/PELV LOW EXT BIL,"$3,306.00 "
3RD ORDER THOR/BRACHIAL,"$4,395.00 "
5F 3CM ZIMMON PANCREATIC STENT,$149.10 
5F 4CM ZIMMON PANCREATIC STENT,$149.10 
5F 5CM ZIMMON PANCREATIC STENT,$149.10 
5F 6CM ZIMMON PANCREATIC STENT,$149.10 
5F 7CM ZIMMON PANCREATIC STENT,$149.10 
5F 9CM ZIMMON PANCREATIC STENT,$149.10 
5F10CM ZIMMON PANCREATIC STENT,$149.10 
5F11CM ZIMMON PANCREATIC STENT,$149.10 
5F12CM ZIMMON PANCREATIC STENT,$149.10 
5F15CM ZIMMON PANCREATIC STENT,$149.10 
5MAXACE064 AND HI-FLOTUBNG KIT,"$9,009.00 "
6 FR .025 DASH SPHINCTERTOME,$387.45 
62572:ST JUDE:7120Q/65,"$9,000.00 "
"6FR,.025 ACROBAT WIRE GUIDE","$1,212.75 "
7F 5CM ZIMMON PANCREATIC STENT,$149.10 
7F 6CM ZIMMON PANCREATIC STENT,$149.10 
7F 7CM ZIMMON PANCREATIC STENT,$149.10 
7F 9CM ZIMMON PANCREATIC STENT,$149.10 
7F X7CM RX BILIARY STENT,$283.50 
7F11CM ZIMMON PANCREATIC STENT,$149.10 
7F15CM ZIMMON PANCREATIC STENT,$149.10 
7FR 10CM ADVANIX BILIARY STENT,$163.80 
7FR 12CM COT-LEU BILIARY STENT,$141.75 
7FR 15CM COT-LEU BILIARY STENT,$141.75 
7FR 7CM ADVANIX DUODENAL BEND,$406.35 
7FR 7CM COT-LEU BILIARY STENT,$141.75 
7FR 9CM ADVANIX DUODENAL BEND,$406.35 
7FR 9CM COT-LEU BILIARY STENT,$141.75 
7FR NAVIFLEX RX DELIVERY SYS,$248.85 
"7FR/12 ADVANIX,BILIARY STENT",$406.35 
7FRX4CM ZIMMON BILIARY STENT,$149.10 
8.5-11.5-15 3V LUMEN EXT BALLN,$337.05 
8.5F ENDOVIVE TTP JEJUNAL KIT,$564.90 
"8.5F/12CM ADVANX,BILIARY STENT",$406.35 
"8.5F/15CM ADVANX,BILIARY STENT",$406.35 
"8.5F/7CM ADVANIX,BILIARY STENT",$406.35 
"8.5F/9CM ADVANIX,BILIARY STENT",$406.35 
8MM RESCUE RAT TOOTH FORCEPS,$205.00 
9-12MM EXTRACTOR PRORX BALLOON,$456.75 
9F ENDOTRACHEAL TUBE UNIBLOCK,$433.65 
"9MM BRONCHIAL VALVE,SPIRATION","$10,867.50 "
ABACAVIR 20MG/ML  ORAL SOLN,$2.33 
ABACAVIR 300 MG TAB,$35.98 
ABACAVIR TAB 300 MG,$35.98 
ABATACEPT (ORENCIA) INJ 10 MG,$78.48 
ABATACEPT INJ 10MG (25X),$78.48 
ABCIXIMAB INJ 10 MG,"$3,645.27 "
ABD URI/BLADDER,$723.00 
ABG ANALYSIS (POC),$433.00 
ABLATE 2NDARY ARRYTH,"$6,358.00 "
ABLATE AV NODE FUNCTION,"$9,720.00 "
"ABLATE,CRYO BONE TUMOR INC IMA","$14,737.00 "
ABLATION BONE TUMR PERC W/IMG,"$7,944.00 "
ABLATION-CRYOTHERAPY,$390.00 
ABLATION-RADIOFREQUENCY-BARRX,"$8,744.00 "
"ABO, STEM CELL PRODUCT",$124.00 
ABSCESS IMAGE TOMOGRAPHC SPECT,"$3,362.00 "
"ABSCESS IMAGING, LIMITED AREA","$2,775.00 "
"ABSCESS IMAGING, WHOLE BODY","$3,383.00 "
ABSCESS/CYST CATHETER INJECT,$351.00 
ABSCESS/FISTULA CATHETR INJECT,$612.00 
ABTMT SUPP PROC FUSED TO HINOB,"$1,042.00 "
ABUTMENT SUPPORTED PORC/CE-CRN,"$1,389.00 "
ACARBOSE 25MG TAB,$2.70 
ACARBOSE TAB 50 MG,$4.15 
ACCOUSTIK,$262.50 
ACEBUTOLOL 200MG CAP,$1.39 
ACETAM-HYDROCODONE 325/5MG TAB,$0.95 
ACETAMIN/CODEINE ELIXIR 5ML,$1.39 
ACETAMIN/HYDROCOD 325-5MG TAB,$0.95 
ACETAMINOPHEN 10MG INJECTION,$1.09 
ACETAMINOPHEN 120 MG SUPP,$2.77 
ACETAMINOPHEN 160 MG/5ML SUSP,$1.66 
ACETAMINOPHEN 325  MG SUPP,$1.46 
ACETAMINOPHEN 325 MG TAB,$0.02 
ACETAMINOPHEN 325MG SUPPOSITRY,$1.46 
ACETAMINOPHEN 500 MG TAB,$0.09 
ACETAMINOPHEN 650 MG SUPP,$2.77 
ACETAMINOPHEN 650MG/20.3ML LIQ,$1.43 
ACETAMINOPHEN ASSAY,$201.00 
ACETAMINOPHEN CHEW TAB 80MG,$2.77 
ACETAMINOPHEN EX STR 500MG TAB,$0.09 
ACETAMINOPHEN INJ 10MG(100X),$1.09 
ACETAMINOPHEN LIQ 650MG/20.3ML,$1.43 
ACETAMINOPHEN LIQUID 160MG/5ML,$1.66 
ACETAMINOPHEN SUPP 120 MG,$2.77 
ACETAMINOPHEN SUPP 650 MG,$2.77 
ACETAMINOPHEN TAB  325 MG,$0.02 
ACETAMINOPHEN W/CODEINE #4 TAB,$1.39 
ACETAMINOPHEN W/OXYCODONE TAB,$0.02 
ACETAMINOPHEN/CODEINE TABLETUD,$1.39 
ACETAMINOPHEN-CODEINE 30MG TAB,$1.39 
ACET-ASA-CAFF 250-250-65MG TAB,$0.09 
ACETAZOLAMIDE 250 MG TAB,$4.15 
ACETAZOLAMIDE 25MG/ML ORAL LIQ,$1.23 
ACETAZOLAMIDE 500 MG/10 ML INJ,$85.74 
ACETAZOLAMIDE CAP SR 500MG,$9.70 
ACETAZOLAMIDE INJECTION 500 MG,$85.74 
ACETAZOLAMIDE TAB 250MG UD,$4.15 
ACETIC ACID .25% IRRIG 1000ML,$40.13 
ACETIC ACID 3% SOLN 500ML,$50.40 
ACETIC ACID 3% TOP SOLN 500ML,$50.40 
ACETIC ACID 5% SOLN 500ML,$53.55 
ACETYLCHOLINE OPTH-SOLN 2ML,$253.23 
ACETYLCYSTEINE 20% INH 4ML,$20.35 
ACETYLCYSTEINE INHALATION 1 GM,$20.35 
ACETYLCYSTEINE INJ 100MG (60X),$8.74 
ACETYLCYSTEINE INJECTION 100MG,$8.74 
ACETYLCYSTEINE ORAL 20%  4ML,$20.35 
ACHALASIA BALLOON DILATOR,"$2,969.40 "
ACOUSTIC REFLEX TESTING,$150.00 
"ACROMIOCLAVICULAR JTS,BILATERL",$466.00 
ACT TEST,$31.00 
ACTH ASSAY,$295.00 
ACTHIB (HEMOPHILUS B) VACC,$220.86 
ACTIVATED PROTEIN C RESISTANCE,$229.00 
ACUITY X4 SPI L 86CM,"$6,750.00 "
ACUITY X4 SPI S 86CM,"$6,750.00 "
ACUITY X4 STR 86CM,"$6,750.00 "
ACUTE GI BLOOD-LOSS IMAGING,"$1,122.00 "
ACUTE HEPATITIS PANEL,$263.00 
ACYCLOVIR 200 MG/5ML ORAL SUSP,$19.37 
ACYCLOVIR 200MG CAP,$16.60 
ACYCLOVIR 5MG/1ML INJ,$0.20 
ACYCLOVIR INJ 5MG (100X),$0.20 
"ACYCLOVIR INJECTION, 5 MG",$0.20 
ACYCLOVIR SUSP 200 MG,$19.37 
ACYCLOVIRCAP 200MG,$16.60 
"ACYLCARNITINLE, QUANTITATIVE",$131.00 
ADALIMUMAB (HUMIRA) 20 MG INJ,"$1,518.01 "
ADAPT/TRAIN SPEECH-GEN DEVICE,$339.00 
"ADAPTER CATH,INTERVENTN'L,LEV2",$86.10 
ADD ABL LA/RA AFIB PV ISOLATE,"$6,363.00 "
ADD'L 2ND/3RD ORDABDPELVLOWEXT,$848.00 
ADD'L 2ND/3RD ORDER THOR/BRACH,"$1,155.00 "
ADEKS CHEWABLE TAB,$1.86 
ADENOSINE 1 MG INJECTION,$2.71 
ADENOSINE 1MG INJ (6X),$2.71 
ADENOSINE 1MG INJ (90X),$2.71 
ADENOVIRUS ANTIBODY,$196.00 
ADENOVIRUS ANTIGEN ON STOOL,$323.00 
ADENOVIRUS PCR PLASMA,$537.00 
ADJUST COMPLETE DENT-MAND,$56.00 
ADJUST COMPLETE DENT-MAX,$56.00 
ADJUST PARTIAL DENT-LOW,$56.00 
ADJUST PARTIAL DENT-MAX,$56.00 
ADMIN HEPATITIS B VACCINE,$135.00 
ADMIN INFLUENZA VIRUS VACCINE,$99.00 
ADMIN PNEUMOCOCCAL VACCINE,$125.00 
ADO-TRASTUZUMAB 1MG INJ (100X),$165.09 
ADO-TRASTUZUMAB 1MG INJ (160X),$165.09 
ADO-TRASTUZUMAB EMT 1MG,$165.09 
ADULT ICP SYSTEM,"$1,651.65 "
Adult Intermediate,"14,349.00"
Adult Intermediate Hold,"11,794.00"
Adult Isolation,"10,800.00"
Adult M/S J & J Suite,"10,800.00"
Adult M/S Private,"10,991.00"
Adult M/S SemiPriv Hold,"8,228.00"
Adult M/S SemiPriv Suite,"10,289.00"
Adult M/S Semi-Private,"10,319.00"
Adult Telemetry,"14,349.00"
Adult Telemetry in Hold,"11,794.00"
ADVANCE CAPSULE DELIVERY DEVCE,$471.45 
AEROSOL PENTAMIDINE INHALATION,$713.00 
AFFINITY PER SQ CM 1.5X1.5 USD,$660.00 
AFFINITY PER SQ CM 2.5X2.5 USD,$477.60 
AG DETECT GIARDIA/CRYPTOSPORID,$57.00 
"AGGLUTININS, FEBRILE",$128.00 
AGGRENOX TAB 25MG/200MG,$8.32 
AGILE CAPSULE,$376.95 
AGILE PATENCY PROCEDURE,$481.00 
AICD EVALUATION,"$6,979.00 "
"AICD,OTH THAN SING/DUAL,LEV 65","$122,951.85 "
"AIRWAY SIZING KIT,HUS-SK",$756.00 
AL HYDROXIDE 320 MG/5 ML SUSP,$5.53 
ALAIR BRONCHIAL THERM CATHETER,"$7,875.00 "
"ALBUMIN (HUMAN), 25%, 50 ML",$351.63 
"ALBUMIN (HUMAN), 5%, 250 ML",$351.63 
ALBUMIN HUMAN 25% 50ML (1X),$351.63 
ALBUMIN HUMAN 5% 250ML,$351.63 
"ALBUMIN, SERUM",$41.00 
"ALBUMIN, URINE OR OTHER SOURCE",$41.00 
ALBUTEROL (CFC FREE) 90MCG MDI,$53.93 
ALBUTEROL 1.25MG/3ML (0.42%),$3.28 
ALBUTEROL 1MG (1.25X) INH SOL,$3.28 
ALBUTEROL 1MG(2.5X)/0.5ML SOL,$1.20 
ALBUTEROL 1MG(2.5X)/3ML SOL,$0.57 
ALBUTEROL 2.5 W/IPRATROPIUM,$16.60 
ALBUTEROL 2.5MG/0.5ML(0.5%)PFS,$1.20 
ALBUTEROL 2.5MG/3ML(0.83%)SOL,$0.57 
ALBUTEROL CONC SOL 20ML,$60.80 
ALBUTEROL HFA 8GM MDI,$53.93 
ALBUTEROL INH 0.5%(5MG/ML)20ML,$60.80 
ALBUTEROL LIQ 2MG,$6.92 
ALBUTEROL SR TAB 4MG,$9.70 
"ALDESLEUKIN, SINGLE-USE VIAL","$6,836.60 "
ALDOLASE,$143.00 
ALDOSTERONE,$643.00 
ALENDRONATE 10 MG TAB,$15.24 
ALENDRONATE 35 MG TAB,$2.17 
ALENDRONATE SOD. 35MG TABLET,$2.17 
"ALENDRONATE TAB, 70 MG",$16.60 
ALFUZOSIN 10 MG ER TAB,$0.25 
ALFUZOSIN 10MG TABLET,$0.25 
ALISKIREN 150MG TABLET,$14.74 
"ALLERGEN SPECIFIC IGE, QUANTIT",$49.00 
ALLERGEN SPECIFIC IGG,$64.00 
ALLIANCE II INFLATION SYSTEM,$145.95 
ALLOPURINOL 100 MG TAB,$1.39 
ALLOPURINOL 20MG/ML ORAL SUSP,$1.39 
ALLOPURINOL 300 MG TAB,$1.39 
ALLOPURINOL INJ 500 MG,"$2,655.48 "
ALLOPURINOL TAB 100MG UD,$1.39 
ALLOPURINOL TABLET 300MG UD,$1.39 
"ALPHA FETOPROTEIN, SERUM",$207.00 
ALPHA GLOBIN GENE ANALYSIS,$915.00 
ALPHA-1 ANTITRYPSIN PHENOTYPE,$207.00 
"ALPHA-1 ANTITRYPSIN, TOTAL",$129.00 
ALPHA-2 ANTIPLASMIN ACTIVITY,$64.00 
ALPRAZOLAM 0.25 MG TAB,$8.32 
ALPRAZOLAM 0.5 MG TAB,$6.92 
ALPRAZOLAM TAB 0.25MG,$8.32 
ALPRAZOLAM TAB 0.5MG UD,$6.92 
ALPROSTADIL 1.25 MCG INJECTION,$0.23 
ALTEPLASE 1MG BOLUS (1X),$183.54 
ALTEPLASE 1MG INJ (100X),$183.54 
ALTEPLASE CATHFLO 1MG INJ (2X),$183.54 
ALTEPLASE RECOMB 1MG (CATHFLO),$183.54 
ALTEPLASE RECOMB100MG-ACTIVASE,$307.59 
ALUM/MAG HYDROX/LIDO 1ML SOL,$2.77 
ALUMINUM HYDROXIDE LIQ 30MLUD,$5.53 
ALUM-MAG HYDROX-SIMET SUS 30ML,$0.20 
ALVEOLOPLASTY W/EXT1-3 TH/QUAD,$259.00 
ALVEOLOPLASTY/QD W/OUT EXTRACT,$348.00 
ALVEOLOPLSTY W/O EX 1-3 TH/QUA,$290.00 
ALVIMOPAN (ENTEREG) 12 MG,$237.39 
ALVINOPAN 12MG CAP,$237.39 
"AMALGAM, ONE SURFACE",$127.00 
"AMALGAM, THREE SURFACE",$188.00 
"AMALGAM, TWO SURFACE",$154.00 
AMANTADINE 100 MG CAP,$8.32 
AMANTADINE 50 MG/5 ML SYRUP,$5.53 
AMANTADINE CAP 100MG,$8.32 
AMANTADINE LIQUID 50MG/5ML,$5.53 
AMIKACIN ASSAY,$123.00 
AMIKACIN INJ 100MG (5X),$63.93 
"AMIKACIN SULFATE INJ, 100 MG",$8.85 
AMILORIDE 5 MG,$1.39 
AMILORIDE 5 MG TAB,$1.39 
"AMINO ACIDS, MULTIPLE QUALITAT",$104.00 
"AMINO ACIDS, QUANT, 6 OR MORE",$131.00 
AMINOCAPROIC ACD 5GM/20ML INJ,$34.60 
AMINOCAPROIC ACID 1.25G/5ML SY,$49.81 
AMINOCAPROIC ACID IVPB 5GM,$34.60 
AMINOCAPROIC ACID LIQ 1250MG,$49.81 
AMINOCAPROIC ACID TAB 500MG,$15.24 
AMINOLEVULINIC ACID ASSAY,$182.00 
AMINOPHYLLIN IVPB 500MG,$27.68 
AMINOPHYLLINE INJ 250MG (2X),$27.68 
AMINOPHYLLINE INJ UP TO 250MG,$39.41 
AMINOPHYLLINE VL 500MG/20ML,$5.53 
AMIODARONE 150MG/100ML DEX,$24.99 
AMIODARONE 200 MG TAB,$23.52 
AMIODARONE 30MG D5W PRMX (5X),$24.99 
AMIODARONE 30MG INJ (15X),$4.36 
AMIODARONE HCL INJECTION 30 MG,$4.36 
AMIODARONE INJ 30MG (5X),$4.36 
AMIODARONE TABLET 200 MG,$23.52 
AMITRIPTYLINE 10 MG TAB,$0.21 
AMITRIPTYLINE 25 MG TAB,$0.21 
AMITRIPTYLINE ASSAY,$274.00 
AMITRIPTYLLINE TABLET 10MGUD,$0.21 
AMITRIPTYLLINE TABLET 25MG UD,$0.21 
AMLODIPINE 1 MG/ML ORAL SUSP,$0.16 
AMLODIPINE 1MG/ML ORAL SUSP,$0.16 
AMLODIPINE 5 MG TAB,$6.92 
AMLODIPINE TABLET 5 MG UD,$6.92 
AMLODIPINE/BENAZEPRIL 5/10 CAP,$1.51 
AMLODIPINE/BENAZEPRIL 5MG/20MG,$1.76 
AMLODIPINE-BENAZ 5-10 MG CAP,$1.51 
AMLODIPINE-BENAZ 5-20 MG CAP,$1.76 
AMMONIA ASSAY,$118.00 
AMMONIUM LACTATE TOPICAL,$20.76 
AMNIOCENTESIS,$723.00 
"AMNIOTEST,PH,BODYFLUID,NON-BLD",$30.00 
AMOX-CLAV 600MG-42.9MG/5ML,$2.14 
AMOXICILLIN 250 MG CAP,$1.39 
AMOXICILLIN 250MG/5ML SUS BOT,$8.32 
AMOXICILLIN CAPSULE 250 MG UD,$1.39 
AMOXICILLIN LIQ 250MG/5ML UD,$8.32 
AMOXICILLIN/CLAV SUSP 125MG,$12.45 
AMOXICILLIN/CLAV SUSP 400 MG,$34.60 
AMOXICILLIN/CLAV TAB 500MG,$34.60 
AMOXICILLIN/CLAV TAB 875 MG,$34.60 
AMOXICILLIN-CLAV 125MG/5ML SUS,$12.45 
AMOXICILLIN-CLAV 400MG/5ML SUS,$34.60 
AMOXICILLIN-CLAV 500 MG TAB,$34.60 
AMOXICILLIN-CLAV 600MG/5ML SUS,$2.14 
AMOXICILLIN-CLAV 875 MG TAB,$34.60 
AMPHETAMINE METHAMPHETAMINE,$221.00 
AMPHOTERICIN B LIP 100MG SDV,$70.74 
AMPHOTERICIN B LIPOS 10MG(5X),$193.23 
AMPHOTERICIN B LIPOSOME 10 MG,$193.23 
AMPICILLIN 250 MG INJ,$27.62 
AMPICILLIN CAP 500MG UD,$1.39 
AMPICILLIN INJ 500MG,$27.62 
AMPICILLIN INJ 500MG (2X),$27.62 
"AMPICILLIN INJECTION, 500 MG",$27.62 
AMPICILLIN LIQ 250MG/5ML UD,$4.15 
AMPICILLIN/SULBACTAM INJ 1.5GM,$129.31 
AMPICILLIN-SULB INJ 1.5GM(2X),$129.31 
AMPICILLIN-SULBACTA 1.5GM INJ,$129.31 
AMPICILN-SULB 1.5GM(1X)100MLNS,$129.31 
AMPLATZER VASCULAR PLUG,"$3,150.00 "
AMYLASE ASSAY,$93.00 
"AMYLASE ASSAY, NON-SERUM",$93.00 
"AMYLASE ASSAY, SERUM",$93.00 
ANAGRELIDE 0.5 MG,$23.52 
ANAKINRA INJ 100MG/0.67ML,$309.35 
ANASTROZOLE 1 MG TAB,$41.52 
"ANASTROZOLE TAB, 1 MG",$41.52 
"ANCHOR,165CM, OTSC","$1,288.35 "
ANDERMAC SURGIGATION,$70.35 
ANDROSTENEDIONE ASSAY,$558.00 
ANESTHESIA,$162.00 
ANGIO ABDOMINAL WITH RUNOFF,"$4,205.00 "
ANGIO ABDOMINAL(SERIALOGRAPHY),"$4,205.00 "
ANGIO PULM- NON-SELECTIVE,"$1,230.00 "
ANGIO RENAL 1ST ORDER BILATERL,"$6,409.00 "
ANGIO RENAL 1ST ORDER UNILATRL,"$6,409.00 "
ANGIO- RENAL SEL UNIL,"$4,725.00 "
ANGIO- RENAL SUPERSEL-UNIL,"$4,463.00 "
ANGIO THORACIC WO SERIALOGRAPH,"$2,914.00 "
"ANGIO, PELVIC SELECTIVE","$4,272.00 "
"ANGIO, SPINAL, EACH","$7,907.00 "
"ANGIO,EXT-UPPER/LOWER BILAT","$8,015.00 "
"ANGIO,EXT-UPPER/LOWER UNILAT","$7,142.00 "
"ANGIO,VISC,SEL OR SUPRASELECTV","$9,883.00 "
"ANGIOGRAM, EXISTING CATHETER","$1,230.00 "
"ANGIOGRAM, EXTREMITY, UNI","$7,142.00 "
"ANGIOGRAM, PELVIC","$4,272.00 "
"ANGIOGRAM, PULMONARY, BILATERA","$5,092.00 "
"ANGIOGRAM,SELECTIVE,EA ADD VES","$4,823.00 "
"ANGIOGRAPHY EXT UNI, S & I","$7,142.00 "
ANGIOGRAPHY- EXTREMITY- BILAT,"$8,015.00 "
ANGIOGRAPHY- PULM- UNI,"$2,815.00 "
ANGIOGRAPHY- VISC-SEL/SUPERSEL,"$9,883.00 "
"ANGIOGRAPHY, EXT BIL, S&I","$8,015.00 "
"ANGIOGRAPHY,INTERNAL MAM SI","$5,305.00 "
ANGIOTENSIN-I ENZYME TEST,$173.00 
"ANKLE, MINIMUM 3 VIEWS, LEFT",$399.00 
"ANKLE, MINIMUM THREE VIEWS, RT",$399.00 
"ANTIBACTERIAL ENVEL, LEV 35","$4,095.00 "
ANTIBODY TREPONEMA PALLIDUM,$98.00 
ANTIBODY: WEST NILE VIRUS,$88.00 
"ANTIBODY:WEST NILE VIRUS, IGM",$88.00 
"ANTIBODY;HERPES SIMPLEX,TYPE 1",$84.00 
ANTIGEN DETECT HEPATITIS BE,$87.00 
ANTIGEN DETECT HISTOPLASMA,$130.00 
"ANTIGEN DETECT NOS, EIA MULTPL",$125.00 
ANTIGEN DETECT ROTOVIRUS,$147.00 
"ANTI-INHIBITOR, PER IU",$8.74 
ANTINUCLEAR ANTIBODIES (ANA),$187.00 
"ANTINUCLEAR ANTIBODIES, TITRE",$81.00 
ANTIPHOSPHATIDYLSERINE AB,$145.00 
"ANTISTREPTOLYSIN 0, TITRE",$87.00 
ANTITHROMBIN III 1U INJ(1000X),$8.74 
ANTITHROMBIN III HUMAN PER IU,$8.74 
"ANTITHROMBIN III, ACTIVITY",$187.00 
"ANTI-THYMOCYTE GLOBULIN, 25 MG","$2,098.28 "
ANTITHYMOCYTE IMMUNOGLOB 25MG,"$2,098.28 "
ANUSOL HC CREAM 30G,$152.23 
ANUSOL HC SUPP,$16.60 
AORTA ABD PLVS W/RUN OFFS,"$4,205.00 "
AORTA ABDOMINAL S&I,"$4,205.00 "
"AORTOGRAM, ABDOMINAL","$4,205.00 "
"AORTOGRAM, ABDOMINAL W/RUNOFF","$4,205.00 "
AORTOGRAPHY SUPRAVALVULAR,"$1,662.00 "
APAP/ASA/CAFF 250/250/65MG TAB,$0.09 
APAP-BUTALB-CAFFEN 325-50-40MG,$5.53 
APC (ERBE/ARGON)),$389.00 
APD FLEXIMA- DRAINAGE CATHETER,$320.25 
APIXABAN 2.5 MG TAB,$16.80 
APIXABAN 2.5MG TABLET,$16.80 
APIXABAN 5 MG TAB,$16.80 
APIXABAN 5MG TABLET,$16.80 
APLIGRAF-PER SQ CM,$34.18 
"APOLIPOPROTEIN, EACH",$50.00 
APPLICATION OF DESENSITIZE MED,$41.00 
APPLICATION ON-BODY INJECTOR,$221.00 
"APPLY DESENSITIZ RES,PER TOOTH",$41.00 
"APPLY ELEC STIMULAT, EA 15 MIN",$134.00 
APPLY FINGER SPLINT,$286.00 
"APPLY INTERSTIT SOURCE,COMPLEX","$5,612.00 "
"APPLY IONTOPHORESIS, EA 15 MIN",$179.00 
APPLY LONG/SHORT CLUBFOOT CAST,$429.00 
APPLY LONG-ARM CAST,$691.00 
APPLY LONG-LEG CAST,$534.00 
APPLY MECHANICAL TRACTION,$124.00 
APPLY PARAFFIN BATH,$87.00 
APPLY PARAFIN BATH,$87.00 
APPLY SHORT-ARM CAST,$569.00 
APPLY SHORT-LEG CAST,$472.00 
"APPLY ULTRASOUND, EA 15 MIN",$116.00 
"APPLY ULTRASOUND,EA 15 MIN",$116.00 
"APPLY ULTRASOUND,EACH 15 MIN",$116.00 
APPLY UNATTENDED ELECTR STIMUL,$162.00 
APPLY VASOPNEUMATIC DEVICE,$133.00 
APPLY WHIRLPOOL/FLUIDOTHERAPY,$150.00 
APREPITANT 125-80 PK,$37.98 
APREPITANT 125MG CAP,$44.79 
APREPITANT 5MG CAP (16X),$44.79 
APREPITANT 5MG CAP (25X),$44.79 
APREPITANT 5MG/5ML ORL SUSP(5X,$42.81 
APREPITANT 80MG CAP,$44.79 
APREPITANT 80MG-125MG TRI-PACK,$37.98 
APREPITANT ORAL SUSP PER 5MG,$42.81 
AQUACEL AG HYDROFIBER 4X5 DRES,$57.24 
AQUACEL AG XTRA 4X5IN DRESSING,$57.24 
AQUACEL EXTRA 4X5IN DRESSING,$26.55 
AQUACEL HYDROFIBER 4X5 DRESSNG,$26.55 
AQUADEKS CHEWABLE VIT/MIN TAB,$1.86 
AQUADEKS PED VIT  DROPS 1ML,$1.29 
AQUANIL LOTION,$34.60 
AQUATIC THERAPY - EA 15 MIN,$260.00 
ARGATROBAN 1MG INJ (50X)NESRD,$16.35 
"ARGATROBAN INJ PER1MG,50MG VL",$16.35 
"ARGATROBAN PER1MGINJ,250MG VL",$7.35 
ARGININE 10% INJ 300ML,$47.05 
ARGININE 10% SOLUTION 300 ML,$47.05 
ARIPIPRAZOLE 10 MG TAB,$48.45 
ARIPIPRAZOLE 15 MG TAB,$51.22 
ARIPIPRAZOLE 1MG/ML SOLN,$14.30 
ARIPIPRAZOLE 2 MG TAB,$96.74 
ARIPIPRAZOLE 2MG TAB,$96.74 
ARIPIPRAZOLE 5 MG TAB,$48.45 
ARIPIPRAZOLE TABLET 15 MG,$51.22 
