HSP,CHARGE CODE,BILLING DESCRIPTION,HOSPITAL CHARGE,,,,,,,,,,,,,,,,,,,
IND,0023400021,SEMI-PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0023400252,SEMI-PRIV OTHER,"$3,824.00",,,,,,,,,,,,,,,,,,,
IND,0023400492,SEMI-PRIV PEDS,"$3,916.00",,,,,,,,,,,,,,,,,,,
IND,0024000028,SEMI-PRIVATE,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0024000051,PRIV ISOLATION,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0024000101,NEWBORN LVL I,"$2,218.00",,,,,,,,,,,,,,,,,,,
IND,0024000119,NEWBORN OTHER,"$2,218.00",,,,,,,,,,,,,,,,,,,
IND,0024000259,SEMI-PRIV OTHER,"$3,824.00",,,,,,,,,,,,,,,,,,,
IND,0024000440,SEMI-PRIV O B,"$3,916.00",,,,,,,,,,,,,,,,,,,
IND,0024000481,PRIV PEDS,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0024000499,SEMI-PRIV PEDS,"$3,916.00",,,,,,,,,,,,,,,,,,,
IND,0025000050,PRIV ISOLATION,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0025000258,SEMI-PRIV OTHER,"$3,824.00",,,,,,,,,,,,,,,,,,,
IND,0025000449,SEMI-PRIV O B,"$3,916.00",,,,,,,,,,,,,,,,,,,
IND,0025000480,PRIV PEDS,"$3,712.00",,,,,,,,,,,,,,,,,,,
IND,0025000498,SEMI-PRIV PEDS,"$3,916.00",,,,,,,,,,,,,,,,,,,
IND,0025500109,NEWBORN LVL I,"$2,218.00",,,,,,,,,,,,,,,,,,,
IND,0025500117,NEWBORN OTHER,"$2,218.00",,,,,,,,,,,,,,,,,,,
IND,0025500125,NEWBORN LVL II,"$10,178.00",,,,,,,,,,,,,,,,,,,
IND,0030800155,LITHOTRIPSY,"$15,247.46",,,,,,,,,,,,,,,,,,,
IND,0030800205,LITHO LSR UNI,"$13,764.35",,,,,,,,,,,,,,,,,,,
IND,0030805907,LITHOTRIPSY,"$15,803.60",,,,,,,,,,,,,,,,,,,
IND,0030830103,SP PROC W/LITHO,"$7,573.42",,,,,,,,,,,,,,,,,,,
IND,0031001761,NON-STRESS TEST,$715.70,,,,,,,,,,,,,,,,,,,
IND,0031005002,US OB LTD 1OR>,"$1,533.72",,,,,,,,,,,,,,,,,,,
IND,0031007602,IV HYD INT>31M,$538.79,,,,,,,,,,,,,,,,,,,
IND,0031007610,IV HYD ADD HR,$384.60,,,,,,,,,,,,,,,,,,,
IND,0031007651,IV TX INIT 1 HR,$431.03,,,,,,,,,,,,,,,,,,,
IND,0031007669,IV INF TX ADD H,$307.68,,,,,,,,,,,,,,,,,,,
IND,0031007677,IV SEQUENTL 1HR,$307.68,,,,,,,,,,,,,,,,,,,
IND,0031007743,INJ T/P/D IVP,$472.50,,,,,,,,,,,,,,,,,,,
IND,0031007750,INJ ADD SEQ IVP,$472.50,,,,,,,,,,,,,,,,,,,
IND,0031007826,INJ T/P/D SQ/IM,$472.50,,,,,,,,,,,,,,,,,,,
IND,0031012008,L&D TRIAGE NEW,$568.30,,,,,,,,,,,,,,,,,,,
IND,0031012016,L&D TRIAGE EST,$417.52,,,,,,,,,,,,,,,,,,,
IND,0031012024,SPEC PROC INT30,$785.25,,,,,,,,,,,,,,,,,,,
IND,0031012032,SPEC PROC ADD15,$392.02,,,,,,,,,,,,,,,,,,,
IND,0031012040,LBR SMPL 1ST HR,$403.78,,,,,,,,,,,,,,,,,,,
IND,0031012057,LBR SMPL ADD HR,$338.17,,,,,,,,,,,,,,,,,,,
IND,0031012065,LBR INT 1ST HR,$611.75,,,,,,,,,,,,,,,,,,,
IND,0031012073,LBR INT ADD HR,$392.02,,,,,,,,,,,,,,,,,,,
IND,0031012081,LBR CPX 1ST HR,$672.60,,,,,,,,,,,,,,,,,,,
IND,0031012099,LBR CPX ADD HR,$489.40,,,,,,,,,,,,,,,,,,,
IND,0031012107,DELV SIMPLE,"$3,458.12",,,,,,,,,,,,,,,,,,,
IND,0031012123,DELV COMPLEX,"$4,196.42",,,,,,,,,,,,,,,,,,,
IND,0031012149,SURG LVI INT 30,"$5,202.95",,,,,,,,,,,,,,,,,,,
IND,0031012156,SURG LVI EA 15,"$2,731.56",,,,,,,,,,,,,,,,,,,
IND,0031012164,SURG LVII INT30,"$6,021.94",,,,,,,,,,,,,,,,,,,
IND,0031012172,SURG LVII EA 15,"$3,010.35",,,,,,,,,,,,,,,,,,,
IND,0031012180,SURG LVIII INT3,"$7,527.12",,,,,,,,,,,,,,,,,,,
IND,0031012198,SURG LVIII EA15,"$3,763.55",,,,,,,,,,,,,,,,,,,
IND,0031012206,SURG LVIV INT30,"$9,879.98",,,,,,,,,,,,,,,,,,,
IND,0031012214,SURG LVIV EA 15,"$4,939.34",,,,,,,,,,,,,,,,,,,
IND,0031012222,RECOVERY INT 30,"$1,288.77",,,,,,,,,,,,,,,,,,,
IND,0031012230,RECOVERY ADD 15,$645.02,,,,,,,,,,,,,,,,,,,
IND,0031125511,INF HEARING SCR,$268.98,,,,,,,,,,,,,,,,,,,
IND,0031197254,HEARINGSCREEN,$222.61,,,,,,,,,,,,,,,,,,,
IND,0031362007,NUTR ASSES INIT,$153.25,,,,,,,,,,,,,,,,,,,
IND,0031362023,PERINTL NUTR15M,$66.98,,,,,,,,,,,,,,,,,,,
IND,0031362049,FU ANTEPRT NUTR,$66.98,,,,,,,,,,,,,,,,,,,
IND,0031362080,POSTPART NUTR,$70.35,,,,,,,,,,,,,,,,,,,
IND,0031363005,PSY ASSESS PNC,$66.98,,,,,,,,,,,,,,,,,,,
IND,0031363021,INIT PSY EA 15M,$66.98,,,,,,,,,,,,,,,,,,,
IND,0031363047,PSY FU ANTEPART,$66.98,,,,,,,,,,,,,,,,,,,
IND,0031363088,PSY POST ASSES,$75.96,,,,,,,,,,,,,,,,,,,
IND,0031364029,HLTH ED ASSES30,$67.00,,,,,,,,,,,,,,,,,,,
IND,0031364045,INIT HLTH ED15M,$66.98,,,,,,,,,,,,,,,,,,,
IND,0031364060,FU ANTEPART 15M,$66.98,,,,,,,,,,,,,,,,,,,
IND,0031364102,PERINTL ED 15M,$66.98,,,,,,,,,,,,,,,,,,,
IND,0031364144,PP HLTH ED 15M,$28.09,,,,,,,,,,,,,,,,,,,
IND,0031392129,E&M-EP LVL II,$66.65,,,,,,,,,,,,,,,,,,,
IND,0031392137,E&M-EP LVL III,$123.44,,,,,,,,,,,,,,,,,,,
IND,0031392145,E&M-EP LVL IV,$185.15,,,,,,,,,,,,,,,,,,,
IND,0031392152,E&M-EP LVL V,$246.86,,,,,,,,,,,,,,,,,,,
IND,0031399207,DIAB INT ASSESS,$617.16,,,,,,,,,,,,,,,,,,,
IND,0032135501,SURG LVI INT30,"$6,094.97",,,,,,,,,,,,,,,,,,,
IND,0032135519,SURG LVI EA 15,"$2,850.38",,,,,,,,,,,,,,,,,,,
IND,0032135527,SURG LVII INT30,"$7,495.36",,,,,,,,,,,,,,,,,,,
IND,0032135535,SURG LVII EA15,"$3,532.96",,,,,,,,,,,,,,,,,,,
IND,0032135543,SURG LVIII IN30,"$8,352.70",,,,,,,,,,,,,,,,,,,
IND,0032135550,SURG LVIII EA15,"$3,962.40",,,,,,,,,,,,,,,,,,,
IND,0032135568,SURG LVIV INT30,"$9,208.53",,,,,,,,,,,,,,,,,,,
IND,0032135576,SURG LVIV EA 15,"$4,390.31",,,,,,,,,,,,,,,,,,,
IND,0032168916,BLD AUTOSLV,$674.61,,,,,,,,,,,,,,,,,,,
IND,0032190225,RBC WASH AUTO,$597.12,,,,,,,,,,,,,,,,,,,
IND,0032235707,RECOVERY INT 30,"$2,129.56",,,,,,,,,,,,,,,,,,,
IND,0032235715,RECOVERY EA 15M,$963.09,,,,,,,,,,,,,,,,,,,
IND,0035035500,SURG LV I INT30,"$3,055.87",,,,,,,,,,,,,,,,,,,
IND,0035035518,SURG LV I EA 15,$260.17,,,,,,,,,,,,,,,,,,,
IND,0035035526,SURG LV II IN30,"$4,525.48",,,,,,,,,,,,,,,,,,,
IND,0035035534,SURG LVII EA 15,$653.69,,,,,,,,,,,,,,,,,,,
IND,0035035542,SURG LVIII IN30,"$4,404.16",,,,,,,,,,,,,,,,,,,
IND,0035035559,SURG LVIII EA15,$783.77,,,,,,,,,,,,,,,,,,,
IND,0035035567,SURG LVIV INT30,"$6,484.91",,,,,,,,,,,,,,,,,,,
IND,0035035575,SURG LVIV EA 15,"$1,305.75",,,,,,,,,,,,,,,,,,,
IND,0035035609,ANES INT 30MIN,"$3,343.84",,,,,,,,,,,,,,,,,,,
IND,0035035617,ANESTH EA ADD15,"$1,216.44",,,,,,,,,,,,,,,,,,,
IND,0035035708,RECOVERY INT 30,"$1,329.08",,,,,,,,,,,,,,,,,,,
IND,0035035716,RECOVERY EA 15,$304.94,,,,,,,,,,,,,,,,,,,
IND,0035035906,SPEC PROC INT30,"$1,849.46",,,,,,,,,,,,,,,,,,,
IND,0035035914,SPEC PROC ADD15,$280.98,,,,,,,,,,,,,,,,,,,
IND,0036030005,AMB PROC 1ST 30,"$2,995.94",,,,,,,,,,,,,,,,,,,
IND,0037022993,L&D EPIDURAL,"$1,825.69",,,,,,,,,,,,,,,,,,,
IND,0037035607,ANESTH INT 30M,"$3,557.39",,,,,,,,,,,,,,,,,,,
IND,0037035615,ANESTH EA ADD15,"$1,728.11",,,,,,,,,,,,,,,,,,,
IND,0037091568,MOD SED INIT15,$534.32,,,,,,,,,,,,,,,,,,,
IND,0037091576,MOD SED ADD15,$126.46,,,,,,,,,,,,,,,,,,,
IND,0040000952,DFIB COGNIS HE,"$221,372.86",,,,,,,,,,,,,,,,,,,
IND,0040000994,DFIB CONSULTA,"$228,705.40",,,,,,,,,,,,,,,,,,,
IND,0040001141,DFIB DC ENTRUST,"$204,798.72",,,,,,,,,,,,,,,,,,,
IND,0040001786,DFIB DC VIRTUOS,"$202,197.09",,,,,,,,,,,,,,,,,,,
IND,0040002065,DFIB LUMAX HF-T,"$140,617.54",,,,,,,,,,,,,,,,,,,
IND,0040002073,DFIB LUMAX VR-T,"$137,080.81",,,,,,,,,,,,,,,,,,,
IND,0040002297,DFIB RENEW 3 RF,"$249,367.44",,,,,,,,,,,,,,,,,,,
IND,0040003527,DFIB SECURA DR,"$177,203.04",,,,,,,,,,,,,,,,,,,
IND,0040003535,DFIB SECURA VR,"$153,634.15",,,,,,,,,,,,,,,,,,,
IND,0040003550,DFIB TELIGEN VR,"$150,175.78",,,,,,,,,,,,,,,,,,,
IND,0040003576,DFIB UNIFY,"$182,196.01",,,,,,,,,,,,,,,,,,,
IND,0040003808,LD DFIB ACUITY,"$27,933.49",,,,,,,,,,,,,,,,,,,
IND,0040004244,PM ALTRUA DDDR,"$37,543.42",,,,,,,,,,,,,,,,,,,
IND,0040004319,PM ADVISA,"$23,017.02",,,,,,,,,,,,,,,,,,,
IND,0040004483,PM CONSULTA,"$88,600.36",,,,,,,,,,,,,,,,,,,
IND,0040004921,PM DC RR$,"$54,427.45",,,,,,,,,,,,,,,,,,,
IND,0040004939,PACEMAKER DC RR,"$50,629.44",,,,,,,,,,,,,,,,,,,
IND,0040004947,PACEMAKER DC RR,"$64,089.36",,,,,,,,,,,,,,,,,,,
IND,0040004954,PACEMAKER DC RR,"$67,295.93",,,,,,,,,,,,,,,,,,,
IND,0040004962,PACEMAKER DC RR,"$62,310.17",,,,,,,,,,,,,,,,,,,
IND,0040005175,PACEMAKER DC RR,"$67,295.93",,,,,,,,,,,,,,,,,,,
IND,0040005183,PACEMAKER DC RR,"$67,295.93",,,,,,,,,,,,,,,,,,,
IND,0040005266,PACEMAKER DC RR,"$68,473.20",,,,,,,,,,,,,,,,,,,
IND,0040005290,PACEMAKER DC RR,"$67,293.83",,,,,,,,,,,,,,,,,,,
IND,0040005878,PACEMAKER DC RR,"$46,771.59",,,,,,,,,,,,,,,,,,,
IND,0040006215,PACEMAKER DC RR,"$67,293.83",,,,,,,,,,,,,,,,,,,
IND,0040006421,PM DC RR ZEPHYR,"$65,809.38",,,,,,,,,,,,,,,,,,,
IND,0040009011,PM REVO MRI,"$49,577.14",,,,,,,,,,,,,,,,,,,
IND,0040010472,PACEMAKER SC RR,"$57,190.74",,,,,,,,,,,,,,,,,,,
IND,0040010803,PACEMAKER SC RR,"$58,932.23",,,,,,,,,,,,,,,,,,,
IND,0040012015,PM SC RR ZPHYR$,"$32,128.96",,,,,,,,,,,,,,,,,,,
IND,0040015000,RCDR LOOP,"$39,748.40",,,,,,,,,,,,,,,,,,,
IND,0040040982,PM ADVISA DR,"$61,918.79",,,,,,,,,,,,,,,,,,,
IND,0040041139,PM ALTRUA SSIR,"$47,137.76",,,,,,,,,,,,,,,,,,,
IND,0040055345,EPIFIX SQ CM,"$1,544.40",,,,,,,,,,,,,,,,,,,
IND,0040084154,DFIB PROTECTA,"$167,210.20",,,,,,,,,,,,,,,,,,,
IND,0040087066,LD PM CAPSRFIX,"$11,027.44",,,,,,,,,,,,,,,,,,,
IND,0040087421,LD PM TENDRIL,"$5,897.03",,,,,,,,,,,,,,,,,,,
IND,0040106866,IMP BN SUBST FM,"$52,245.00",,,,,,,,,,,,,,,,,,,
IND,0040111015,DVC ENDOBUTTON,"$1,808.28",,,,,,,,,,,,,,,,,,,
IND,0040111080,DVC SPEEDCINCH,"$4,327.66",,,,,,,,,,,,,,,,,,,
IND,0040111890,ACL TIGHTROP RT,"$4,499.99",,,,,,,,,,,,,,,,,,,
IND,0040112005,IMP BN SUBST FM,"$35,860.23",,,,,,,,,,,,,,,,,,,
IND,0040112013,IMP BN SUBST FM,"$27,990.00",,,,,,,,,,,,,,,,,,,
IND,0040118507,HP PRM TTL STRY,"$29,078.01",,,,,,,,,,,,,,,,,,,
IND,0040118515,HP HEMI BI STRY,"$18,381.30",,,,,,,,,,,,,,,,,,,
IND,0040118531,HP PRM MDM STRY,"$33,333.33",,,,,,,,,,,,,,,,,,,
IND,0040118556,KNE PRM TTL STY,"$31,914.89",,,,,,,,,,,,,,,,,,,
IND,0040118572,KNE PRM CMT STY,"$31,914.89",,,,,,,,,,,,,,,,,,,
IND,0040118655,CMT BN ANTF STY,"$1,743.90",,,,,,,,,,,,,,,,,,,
IND,0040119208,HP PRM TTL ZIMM,"$29,647.22",,,,,,,,,,,,,,,,,,,
IND,0040119257,KNE PRM TTL ZIM,"$25,356.78",,,,,,,,,,,,,,,,,,,
IND,0040119273,KNE PREM ZIMMER,"$26,724.49",,,,,,,,,,,,,,,,,,,
IND,0040119281,KNE REV ZIM OLP,"$5,673.76",,,,,,,,,,,,,,,,,,,
IND,0040120990,IMP HIP BIPOLAR,"$15,362.69",,,,,,,,,,,,,,,,,,,
IND,0040121030,IMP HIP MATCH,"$25,957.57",,,,,,,,,,,,,,,,,,,
IND,0040121048,IMP HIP REVSN,"$30,140.32",,,,,,,,,,,,,,,,,,,
IND,0040121105,IMP ANKLE TOTAL,"$75,305.22",,,,,,,,,,,,,,,,,,,
IND,0040122046,IMP KNEE MATCH,"$25,283.19",,,,,,,,,,,,,,,,,,,
IND,0040122053,IMP KNEE REVSN,"$25,026.00",,,,,,,,,,,,,,,,,,,
IND,0040126021,IMP SHLDR REVRS,"$46,162.61",,,,,,,,,,,,,,,,,,,
IND,0040131195,KT LIGAMNT RECN,"$21,393.19",,,,,,,,,,,,,,,,,,,
IND,0040131500,KT SUBCHONDPLTY,"$27,459.00",,,,,,,,,,,,,,,,,,,
IND,0040141509,MOLD CEMNT KNEE,"$16,954.86",,,,,,,,,,,,,,,,,,,
IND,0040141517,MOLD CEMENT TIB,"$8,038.23",,,,,,,,,,,,,,,,,,,
IND,0040180705,SYS SPEEDBRIDGE,"$22,374.00",,,,,,,,,,,,,,,,,,,
IND,0040180804,TIGHTROPE ABS,"$2,622.86",,,,,,,,,,,,,,,,,,,
IND,0040205155,FIBER FLEXIGRFT,"$7,161.71",,,,,,,,,,,,,,,,,,,
IND,0040210247,CONNECTOR NRV,"$4,978.72",,,,,,,,,,,,,,,,,,,
IND,0040210312,ENDOPROSTH VIAB,"$25,936.17",,,,,,,,,,,,,,,,,,,
IND,0040230013,IMP GEN NSTIM,"$147,229.10",,,,,,,,,,,,,,,,,,,
IND,0040230021,IMP GEN NSTIM,"$152,487.30",,,,,,,,,,,,,,,,,,,
IND,0040230088,IMP PLG FISTULA,"$9,412.16",,,,,,,,,,,,,,,,,,,
IND,0040231854,INTEGRA BILAYR,$729.00,,,,,,,,,,,,,,,,,,,
IND,0040233900,KT ANCH PUSHLK,"$5,082.69",,,,,,,,,,,,,,,,,,,
IND,0040239105,MATRX WND FLOW,"$12,420.00",,,,,,,,,,,,,,,,,,,
IND,0040239139,MATRX OASIS WND,$94.78,,,,,,,,,,,,,,,,,,,
IND,0040240756,MSH VNTRLGHT ST,"$8,775.01",,,,,,,,,,,,,,,,,,,
IND,0040240780,MESH HERNIA,$990.75,,,,,,,,,,,,,,,,,,,
IND,0040248080,STNT B PROTEGE,"$11,742.86",,,,,,,,,,,,,,,,,,,
IND,0040248171,STNT B VISIPRO,"$8,228.57",,,,,,,,,,,,,,,,,,,
IND,0040252058,STNT C MULTILNK,"$3,102.13",,,,,,,,,,,,,,,,,,,
IND,0040254005,STNT TBRNCH,"$15,319.15",,,,,,,,,,,,,,,,,,,
IND,0040254013,STNT TBRONCH,"$22,071.43",,,,,,,,,,,,,,,,,,,
IND,0040255168,SYS SLNG URETH,"$11,653.64",,,,,,,,,,,,,,,,,,,
IND,0040270100,WRAP NERVE,"$9,574.47",,,,,,,,,,,,,,,,,,,
IND,0040284168,GRFT BIODESIGN,"$1,553.19",,,,,,,,,,,,,,,,,,,
IND,0040287401,STRATTICE SQ CM,$190.95,,,,,,,,,,,,,,,,,,,
IND,0040288128,SYS SLNG SOLYX,"$11,382.93",,,,,,,,,,,,,,,,,,,
IND,0040313090,CATH DIAL PALND,"$4,013.48",,,,,,,,,,,,,,,,,,,
IND,0040313405,CATH DRAINAGE,"$2,262.82",,,,,,,,,,,,,,,,,,,
IND,0040327504,INTEGRA SQ CM,$914.70,,,,,,,,,,,,,,,,,,,
IND,0040330417,MCATH RENEGADE,"$3,807.08",,,,,,,,,,,,,,,,,,,
IND,0040330532,MCATH LANTERN,"$4,425.00",,,,,,,,,,,,,,,,,,,
IND,0041000043,ELECTROLYTE PAN,$616.13,,,,,,,,,,,,,,,,,,,
IND,0041000316,VANCOMYCIN,$342.09,,,,,,,,,,,,,,,,,,,
IND,0041000563,CBC WO DIFF,$221.00,,,,,,,,,,,,,,,,,,,
IND,0041000621,LIPID PANEL,$621.34,,,,,,,,,,,,,,,,,,,
IND,0041000696,RENAL FUNCT PNL,$778.08,,,,,,,,,,,,,,,,,,,
IND,0041000746,ACUTE HEP PANEL,$925.43,,,,,,,,,,,,,,,,,,,
IND,0041001017,PHENCYCLINDN QL,$123.02,,,,,,,,,,,,,,,,,,,
IND,0041001025,AMPHETAMINE QL,$123.02,,,,,,,,,,,,,,,,,,,
IND,0041001090,HEPATC FUNC PNL,$514.06,,,,,,,,,,,,,,,,,,,
IND,0041001116,COMP METABLC PN,"$1,330.82",,,,,,,,,,,,,,,,,,,
IND,0041001660,BSC METABLC PNL,"$1,026.49",,,,,,,,,,,,,,,,,,,
IND,0041004060,DRGSCRN INSTR,$99.75,,,,,,,,,,,,,,,,,,,
IND,0041010000,UA W/MICRO,$300.56,,,,,,,,,,,,,,,,,,,
IND,0041010018,UA AUTO W/MICRO,$367.61,,,,,,,,,,,,,,,,,,,
IND,0041010026,UA W/O MICRO,$106.14,,,,,,,,,,,,,,,,,,,
IND,0041010042,UR WO MICRO AUT,$110.62,,,,,,,,,,,,,,,,,,,
IND,0041010265,UR PREG TST QL,$173.34,,,,,,,,,,,,,,,,,,,
IND,0041020033,ACETAMNOPHN,"$1,042.90",,,,,,,,,,,,,,,,,,,
IND,0041020090,KETONES SER QL,$140.23,,,,,,,,,,,,,,,,,,,
IND,0041020116,SALICYLATE,$804.87,,,,,,,,,,,,,,,,,,,
IND,0041020405,ALBUMIN SERUM,$141.76,,,,,,,,,,,,,,,,,,,
IND,0041020553,ALCOHOL ETHYL,$343.63,,,,,,,,,,,,,,,,,,,
IND,0041021247,AMIKACIN,$121.62,,,,,,,,,,,,,,,,,,,
IND,0041021296,AMIKACIN PEAK,$121.62,,,,,,,,,,,,,,,,,,,
IND,0041021379,THEOPHYLLINE,$329.92,,,,,,,,,,,,,,,,,,,
IND,0041021403,AMMONIA,$626.47,,,,,,,,,,,,,,,,,,,
IND,0041021502,AMYLASE,$738.91,,,,,,,,,,,,,,,,,,,
IND,0041021544,AMYLASE BDY FLD,$775.86,,,,,,,,,,,,,,,,,,,
IND,0041022138,BARBITURATES QL,$123.02,,,,,,,,,,,,,,,,,,,
IND,0041022500,BILIRUBN TOTAL,$128.25,,,,,,,,,,,,,,,,,,,
IND,0041022534,BILIRUBN DIRECT,$520.22,,,,,,,,,,,,,,,,,,,
IND,0041022708,OCC BL ST1-3SIM,$156.56,,,,,,,,,,,,,,,,,,,
IND,0041022757,OCCLT BLD GSTRC,$65.71,,,,,,,,,,,,,,,,,,,
IND,0041023102,CALCIUM,$232.99,,,,,,,,,,,,,,,,,,,
IND,0041023722,CARBAMAZAPINE,$622.53,,,,,,,,,,,,,,,,,,,
IND,0041023748,CARBON DIOXIDE,$107.84,,,,,,,,,,,,,,,,,,,
IND,0041024332,CHLORIDE SWEAT,$265.60,,,,,,,,,,,,,,,,,,,
IND,0041024357,CHLORD 24HR URN,$272.60,,,,,,,,,,,,,,,,,,,
IND,0041024365,CHLORIDE URINE,$266.27,,,,,,,,,,,,,,,,,,,
IND,0041024399,CHLORIDE,$89.30,,,,,,,,,,,,,,,,,,,
IND,0041024654,CHOLESTEROL TOT,$119.08,,,,,,,,,,,,,,,,,,,
IND,0041024761,LDL CHOLEST,$205.87,,,,,,,,,,,,,,,,,,,
IND,0041024779,CHOLESTEROL HDL,$216.16,,,,,,,,,,,,,,,,,,,
IND,0041025339,CORTISL TOTAL,$194.16,,,,,,,,,,,,,,,,,,,
IND,0041025503,CPK TOTAL,$579.88,,,,,,,,,,,,,,,,,,,
IND,0041025537,CK MB FRAC,$186.14,,,,,,,,,,,,,,,,,,,
IND,0041025602,COCAINE QL,$123.02,,,,,,,,,,,,,,,,,,,
IND,0041025651,CREATININE BLD,$154.09,,,,,,,,,,,,,,,,,,,
IND,0041025701,CREATIN OTH SRC,$174.73,,,,,,,,,,,,,,,,,,,
IND,0041025719,CREATIN 24HR UR,$422.03,,,,,,,,,,,,,,,,,,,
IND,0041025735,CREATININE URIN,$174.51,,,,,,,,,,,,,,,,,,,
IND,0041025750,CREATININ CLEAR,$352.26,,,,,,,,,,,,,,,,,,,
IND,0041026113,VIT B12,$314.54,,,,,,,,,,,,,,,,,,,
IND,0041026436,DIGOXIN TOTAL,$579.38,,,,,,,,,,,,,,,,,,,
IND,0041026550,PHENYTOIN TOTAL,$658.28,,,,,,,,,,,,,,,,,,,
IND,0041026683,ERYTHROPOIETIN,$191.51,,,,,,,,,,,,,,,,,,,
IND,0041027202,FETAL RBC ROSET,$139.30,,,,,,,,,,,,,,,,,,,
IND,0041027269,FERRITIN,$393.50,,,,,,,,,,,,,,,,,,,
IND,0041027319,FETAL FIBRONECT,"$1,235.22",,,,,,,,,,,,,,,,,,,
IND,0041027467,FOLIC ACID,$362.33,,,,,,,,,,,,,,,,,,,
IND,0041028002,BLD GAS PH ONLY,$549.39,,,,,,,,,,,,,,,,,,,
IND,0041028051,ARTERL BLD GAS,"$1,807.59",,,,,,,,,,,,,,,,,,,
IND,0041029455,GLUCOSE BDY FLD,$33.27,,,,,,,,,,,,,,,,,,,
IND,0041029471,GLUCOSE QUANT,$207.10,,,,,,,,,,,,,,,,,,,
IND,0041029505,GLUC POST DOSE,$121.62,,,,,,,,,,,,,,,,,,,
IND,0041029620,GLUC BLD MNT DV,$90.87,,,,,,,,,,,,,,,,,,,
IND,0041029802,GGT,$128.14,,,,,,,,,,,,,,,,,,,
IND,0041029943,HEMOGLOBN GLYCT,$187.74,,,,,,,,,,,,,,,,,,,
IND,0041030040,GENTAMICIN,$336.53,,,,,,,,,,,,,,,,,,,
IND,0041030131,GONA CHR(HCG)QL,$374.37,,,,,,,,,,,,,,,,,,,
IND,0041030149,GONA CHR(HCG)QN,$456.11,,,,,,,,,,,,,,,,,,,
IND,0041030339,HGB FETL QL APT,$72.71,,,,,,,,,,,,,,,,,,,
IND,0041030503,METHEMOGLB QUAN,"$1,263.31",,,,,,,,,,,,,,,,,,,
IND,0041035122,IGA SERUM,$292.16,,,,,,,,,,,,,,,,,,,
IND,0041035130,IGE SERUM,$83.88,,,,,,,,,,,,,,,,,,,
IND,0041035148,IGG SERUM,$292.16,,,,,,,,,,,,,,,,,,,
IND,0041035155,IGM SERUM,$292.16,,,,,,,,,,,,,,,,,,,
IND,0041035270,B-TYP NATR PEPT,$326.68,,,,,,,,,,,,,,,,,,,
IND,0041035312,THYROXINE FREE,$132.51,,,,,,,,,,,,,,,,,,,
IND,0041035387,TRIIODTH TOT T3,$247.78,,,,,,,,,,,,,,,,,,,
