CHARGES FOR SERVICES RENDERED,,
,,
,,
HCPCS Code,Description,new price
99304,"SSB/ECU ADMIT  D/C, D/C, LC",$417.00
99222,"HOSP. ADMIT C,C,MC",$480.00
99305,"SSB/ECU ADMIT C,C,MC",$480.00
99305,"SSB ADMIT C,C,MC",$480.00
99223,"HOSP. ADMIT C,C,HC",$545.00
99306,"SSB ADMIT C,C,HC",$545.00
99306,"SSB/ECU ADMIT C,C,HC",$545.00
99234,SAME DAY ADMIT/DISCHARGE IP/OBS LOW,$577.00
99235,SAME DAY ADMIT/DISCHARGE IP/OBS MED,$640.00
99236,SAME DAY ADMIT/DISCHARGE IP/OBS HIGH,$704.00
,ICF ROOM,$238.00
,ACU ROOM,"$1,278.00"
,SNF ROOM,"$1,278.00"
"25630,PRO",TX CARPAL BONE FRACTURE,$435.00
"25600,PRO",TX OF DISTAL RADIAL FRACTURE,$460.00
"25622,PRO",TX OF NAVICULAR FRACTURE,$483.00
95810,DIAGNOSTIC (BASELINE),"$3,648.00"
95811,CPAP TITRATION OR SPLIT NIGHT,"$3,940.00"
"99212,PRO",OFFICE OUTPATIENT VISIT II (SC),$37.00
"99213,FAC","EP, EP, SF-LC-ESTAB (SC)",$47.00
"99201,FAC","PF, PF, SF-NEW (SC)",$62.00
"99214,FAC","D,D,LC-MC-ESTAB (SC)",$62.00
"99202,FAC","EP, EP, SF-LC-NEW (SC)",$66.00
"99203,FAC","D,D, LC-MC-NEW (SC)",$78.00
"99204,FAC","C, C, MC-HC-NEW (SC)",$92.00
"99215,FAC","C, C, MC-HC-ESTAB (SC)",$96.00
"20552,FAC",TRIGGER POINT INJ 1 OR 2 MUSCLES (SC),$101.00
"99213,PRO","EP, EP, SF-LC-ESTAB (SC)",$109.00
64450,INJ PERIPHERIAL NERVE (LESSER OCCIPITAL),$117.00
"99205,FAC","C,C,HC-NEW (SC)",$119.00
99212,"PF, PF, SF-ESTAB (SC)",$128.00
"99201,PRO","PF, PF, SF-NEW (SC)",$144.00
"99214,PRO","D,D,LC-MC-ESTAB (SC)",$145.00
"99202,PRO","EP, EP, SF-LC-NEW (SC)",$154.00
99213,"EP, EP, SF-LC-ESTAB (SC)",$155.00
"99203,PRO","D,D, LC-MC-NEW (SC)",$182.00
"17261,PRO","CRYO .6-1CM TRK, ARM, LEG, MALIGNANT",$183.00
99201,"PF, PF, SF-NEW (SC)",$205.00
99214,"D,D,LC-MC-ESTAB (SC)",$206.00
"99204,PRO","C, C, MC-HC-NEW (SC)",$214.00
99202,"EP, EP, SF-LC-NEW (SC)",$220.00
77002,FLUOROSCOPIC GUIDANCE FOR NEEDLE PLACEMENT,$221.00
"99215,PRO","C, C, MC-HC-ESTAB (SC)",$224.00
"20552,PRO",TRIGGER POINT INJ 1 OR 2 MUSCLES (SC),$236.00
20553,TRIGGER POINT INJ 3 OR MORE MUSCLES,$254.00
99203,"D,D, LC-MC-NEW (SC)",$260.00
36470,SCLERO SINGLE LEVEL,$262.00
"99205,PRO","C,C,HC-NEW (SC)",$276.00
20600,ARTHROCENTESIS ASPIRAT/INJ SMALL JOINT,$278.00
64405,INJ GREATER OCCIPITAL NERVE,$284.00
99204,"C, C, MC-HC-NEW (SC)",$305.00
27096,SACROILLIAC JOINT INJ UNILATERAL,$305.00
99215,"C, C, MC-HC-ESTAB (SC)",$320.00
10022,ASP FINE NDL W/IMAGE,$351.00
36470,SCLERO SINGLE LEVEL,$387.00
99205,"C,C,HC-NEW (SC)",$394.00
64400,INJ TRIGEMINAL NERVE ANY DIV/BRANCH,$403.00
37765,STAB PHLEBECTOMY 10-20,$426.00
36479,EVLT SECOND VEIN,$522.00
36471,SCLERO MULTIPLE LEVEL,$522.00
36478,EVLT FIRST VEIN,$569.00
36471,SCLERO MULTIPLE LEVEL,$953.00
10022,FINE NEEDLE ASPIRATION W / IMAGING,"$1,002.00"
27096,SACROILLIAC JOINT INJ UNILATERAL,"$1,032.00"
37766,STAB PHLEBECTOMY >20,"$1,157.00"
37766,STAB PHLEBECTOMY >20,"$1,189.00"
37765,STAB PHLEBECTOMY 10-20,"$1,234.00"
"27096,50",SACROILLIAC JOINT INJ BILATERAL,"$2,063.00"
36478,EVLT FIRST VEIN,"$3,343.00"
"99212,FAC",OFFICE OUTPATIENT VISIT II (SC),$39.00
62323,INJECTION TRANSLAMINAR ESI LUMBAR/SACRAL (SC),$504.00
20605,ARTHROCENTESIS ASPIRAT/INJ INTERMEDIATE JOINT (SC),$279.00
20610,ARTHROCENTESIS ASPIRAT/INJ MAJOR JOINT (SC),$455.00
36470,SCLERO SINGLE LEVEL BILATERAL (SC),$772.00
20551,INJECTION SINGLE TENDON ORIGIN/INSERTION (SC),$126.00
20552,TRIGGER POINT INJ 1 OR 2 MUSCLES (SC),$336.00
36479,EVLT SECOND VEIN (SC),$245.00
20550,INJECTION 1 TENDON SHEATH/LIGAMENT (SC),$254.00
64520, LUMBAR OR THORACIC SYMPATHETIC BLOCK UNILATERAL (SC),$448.00
64520,LUMBAR OR THORACIC SYMPATHETIC BLOCK BILATERAL (SC),$895.00
20611," ARTHROCENTESIS, ASPIRATION AND /OR INJECTION MAJOR JOINT  WITH ULTRASOUND GUIDANCE (SC)",$807.00
"36471,50",SCLERO MULTIPLE LEVEL BILATERAL,"$1,905.00"
"64493,50", PARAVERTEVRAL FACET JOINT WITH IMAGING GUIDANCE LUMBAR OR SACRAL SINGLE LEVEL-BILATERAL,$828.00
"64494,50",PARAVERTEVRAL FACET JOINT WITH IMAGING GUIDANCE LUMBAR OR SACRAL SECOND LEVEL-BILATERAL,$416.00
"64495,50",PARAVERTEVRAL FACET JOINT WITH IMAGING GUIDANCE LUMBAR OR SACRAL THIRD & ANY ADDITIONAL LEVEL-BILATERAL,$416.00
64493,PARAVERTEVRAL FACET JOINT WITH IMAGING GUIDANCE LUMBAR OR SACRAL SINGLE LEVEL,$414.00
64494,PARAVERTEVRAL FACET JOINT WITH IMAGING GUIDANCE LUMBAR OR SACRAL SECOND LEVEL,$208.00
64495,PARAVERTEVRAL FACET JOINT WITH IMAGING GUIDANCE LUMBAR OR SACRAL THIRD & ANY ADDITIONAL LEVEL,$208.00
64405,INJ GREATER OCCIPITAL NERVE BILATERAL (SC),$567.00
64450,INJ PERIPHERIAL NERVE (LESSER OCCIPITAL) BILATERAL (SC),$234.00
99151,MODERATE SEDATION INITIAL 15 MINS >5 YRS OLD,$123.00
99153,MODERATE SEDATION EACH ADDITIONAL 15 MINS,$27.00
99152,MODERATE SEDATION INITIAL 15 MINS <5 YRS OLD,$123.00
"93971,FAC",EXTREMITY VEINS DUPLEX LIMITED UNILATERAL (SC),$287.00
"93971,PRO",EXTREMITY VEINS DUPLEX LIMITED UNILATERAL (SC),$670.00
"76802,TC",US OB 1ST TRIMESTER,$404.00
"76810,TC",US OB 2/3RD TRIMESTER TRANSABD SINGLE GEST,$444.00
"76641,TC",US BREAST UNI COMP,$478.00
"76642,TC",US BREAST UNI LTD,$478.00
"76882,TC",US EXTREMITY LIMITED NON-VASCULAR,$524.00
"76775,TC",US BLADDER,$588.00
"76815,TC",US OB LIMITED,$588.00
"76857,TC",US PELVIC LIMITED,$588.00
"76801,TC",US OB 1ST TRIMESTER,$612.00
"76536,TC",US HEAD/NECK/THYROID SOFT TISSUE,$624.00
"76817,TC",US OB TVU,$629.00
"76816,TC",US OB FOLLOW-UP,$640.00
"76830,TC",US TVU,$653.00
"76870,TC",US SCROTUM,$655.00
"76819,TC",US BIOPHYSICAL PROFILE,$660.00
"76706,TC",US AAA SCREENING,$698.00
"76705,TC",US ABDOMEN LIMITED,$735.00
"76770,TC",US RETROPERITONEAL COMPLETE,$753.00
"93931,TC",US ARTERIAL UE UNILATERAL,$771.00
"93926,TC",US LOW EXT ARTERIAL DUP UNILAT,$771.00
"76856,TC",US PELVIC COMPLETE NO OB,$786.00
"76805,TC",US OB 2ND/3RD TRIMESTER TRANSABD SINGLE GEST,$788.00
"93925,TC",US ARTERIAL LE BILATERAL,$806.00
"93930,TC",US ARTERIAL UE BILAT,$806.00
"76942,TC",US NEEDLE GUIDE,$807.00
"76700,TC",US ABD COMPLETE,$850.00
"93880,TC",CAROTID DUPLEX COMPLETE,"$1,329.00"
,EVLT SCREEN,$0.00
"93975,TC",US RENAL ARTERIAL DOPPLER COMPLETE,$0.00
"93970,TC",EXTREMITY VEINS DUPLEX COMPLETE BILATERAL,"$1,329.00"
"93971,TC",EXTREMITY VEINS DUPLEX LIMITED UNILATERAL,$957.00
,"ECU ADMIT C,C,HC",$519.00
"11900,PRO",INJECTION INTRALESIONAL UP TO & INCLUD 7 LESIONS,$96.00
99307,"ROUND ECU P,P,SF",$194.00
99308,"ROUND ECU E,E,LC",$258.00
99318,ANNUAL ECU PE,$290.00
99315,ECU DISCHARGE <30 MINS,$322.00
99309,"ROUND ECU D,D,MC",$322.00
99310,"ROUND ECU C,C,HC",$353.00
99316,ECU  DISCHARGE >30 MIN,$385.00
99304,"ECU ADMIT  D/C, D/C, LC",$417.00
99305,"ECU ADMIT C,C,MC",$480.00
10060,I&D ABSCESS SIMPLE (ECU),$250.00
51701,INSERT STRAIGHT CATH,$104.00
51702,CATHETER SIMPLE,$132.00
96372,THER. INJ. SQ/IM,$140.00
96361,IV ADIMN ADD HR HYDRATION,$152.00
99281,ER-LEVEL I,$216.00
51703,INSERT CATH - COMPLICATED,$243.00
96360,IV ADMIN 1ST HR HYDRATION,$340.00
99282,ER-LEVEL II,$368.00
99283,ER-LEVEL III,$621.00
36430,BLOOD ADMINISTRATION,$825.00
99284,ER-LEVEL IV,$983.00
92950,CPR,"$2,484.00"
96374,IV PUSH SINGLE OR INIT SUB/DRUG,$145.00
99283,TRAUMA TEAM ACTIVATION,"$1,005.00"
96375,IV PUSH-EACH ADDITIONAL NEW DRUG,$113.00
96376,IV PUSH EACH ADD SAM DRUG,$79.00
99285,ER-LEVEL V,"$2,099.00"
96365,IV ADMIN 1ST HR INFUSION,$345.00
96366,IV ADMIN ADD HR INFUSION,$158.00
99211,TREATMENT ROOM,$116.00
29580,UNNA BOOT APPLICATION,$216.00
94640,NEB TREATMENT,$36.00
"95117,PRO",MULTIPLE INJECTIONS,$39.00
G0378,OBSERVATION HOURLY,$83.00
G0378,OBSERVATION ADMIT,$331.00
G8978,MOBILITY CURRENT STATUS,$1.00
G8979,MOBILITY PROJECTED GOAL,$1.00
G8980,MOBILITY DISCHARGE STATUS,$1.00
G8981,BODY POSITION CURRENT STATUS,$1.00
G8983,BODY POSITION DISCHARGE STATUS,$1.00
G8982,BODY POSITION PROJECTED GOAL STATUS,$1.00
G8984,CARRYING MOVING HANDLING CURRENT STATUS,$1.00
G8985,CARRYING MOVING HANDLING PROJECTED GOAL STATUS,$1.00
G8986,CARRYING MOVING HANDLING DISCHARGE STATUS,$1.00
G8987,SELF CARE CURRENT STATUS,$1.00
G8988,SELF CARE PROJECTED GOAL STATUS,$1.00
G8989,SELF CARE DISCHARGE STATUS,$1.00
G8990,OTHER PT OT PRIMARY SET CURRENT STATUS,$1.00
G8991,OTHER PT OT PRIMARY SET PROJECTED GOAL STATUS,$1.00
G8992,OTHER PT OT PRIMARY SET DISCHARGE STATUS,$1.00
G8993,OTHER PT OT SUBSEQUESNT SET CURRENT STATUS,$1.00
G8994,OTHER PT OT SUBSEQUENT SET PROJECTED GOAL STATUS,$1.00
G8995,OTHER PT OT SUBSEQUESNT SET DISCHARGE STATUS,$1.00
97032,APPLICATION OF ELECTO STIMU MANUAL EACH 15 MIN,$33.00
64550,APPLICATION OF SURFACE (TRANSCUTANEOUS) NEUROSTIMULATOR (TENS),$35.00
97022,APPLICATION OF WHIRLPOOL TO 1 OR MORE AREAS,$41.00
97033,IONTOPHORESIS EACH 15 MIN,$41.00
97124,MASSAGE THERAPY  EACH 15 MIN,$41.00
97761,PROSTHESIS TRAINING EACH 15 MIN,$41.00
97542,WHEELCHAIR MANAGEMENT EACH 15 MIN,$41.00
97760,ORTHOTIC MANAGEMENT/TRAINING EACH 15 MIN,$42.00
97762,ORTHOTIC-PROSTH CHECKOUT EACH 15 MIN,$42.00
97035,ULTRASOUND EACH 15 MIN,$45.00
97034,CONTRAST BATH,$47.00
97016,APPLICATION OF VASOPNEUMATIC DEVICE TO 1 OR MORE AREAS,$50.00
"97018,GO",APPLICATION OF PARAFFIN BATH TO 1 OR MORE AREAS,$65.00
"97140,GO",MANUAL THERAPY TECHNIQUES  EACH 15 MIN,$67.00
97537,COMMUNITY/WORK REINTEGRATION TRAINING EACH 15 MIN,$77.00
97546,WORK HARDENING/CONDITIONING ADD'L HR,$83.00
"97112,GO",NEUROMUSCULAR RE-EDUCATION  EACH 15 MIN,$84.00
97116,GAIT TRAINING EACH 15 MIN,$98.00
"97530,GO",THERAPEUTIC ACTIVITIES EACH 15 MIN,$101.00
"97110,GO",THERAPEUTIC EXERCISE EACH 15 MIN,$101.00
"97535,GO",SELF CARE/HOME MANAGEMENT EACH 15 MIN (ADL),$108.00
"97168,GO",RE-EVALUATION,$111.00
"97165,GO",OCCUPATIONAL THERAPY EVAL LOW COMPLEXITY,$141.00
97545,WORK HARDENING/ CONDITIONING (2HR),$162.00
"97166,GO",OCCUPATIONAL THERAPY EVAL MODERATE COMPLEXITY,$176.00
"97167,GO",OCCUPATIONAL THERAPY EVAL HIGH COMPLEXITY,$212.00
"G0515,GO",COGNITIVE SKILLS DEVELOPMENT  EACH 15 MIN,$67.00
"97533,GO",SENSORY INTEGRATIVE TECHNIQUES  EACH 15 MIN,$74.00
86970,PRETREATMENT OF RBCS FOR USE IN RBC ANTIBODY DETECTION,$4.00
86003,ALLERGEN SPECIFIC IGE EACH ALLERGEN QUANTITATIVE/SEMIQUANTITATIVE,$15.00
83625,LDH ISOENZYMES,$20.00
83014,H. PYLORI BREATH TEST (COLLECTION),$21.00
88300,TISSUE BIOPSY 1,$25.00
36416,CAPILLARY FINGERSTICK,$29.00
87077,"CLO, RAPID",$32.00
83986,URINE BODY FLUID,$32.00
87210,KOH PREPARATION,$33.00
83986,PH MISC. FLUID,$37.00
36415,VENIPUNCTURE,$37.00
82785,GAMMAGLOBULIN (IMMUNOGLOBULIN)IGE,$38.00
86235,"EXTRACTABLE NUCLEAR ANTIGEN, ANTIBODY TO, ANY METHOD, EACH ANTIBODY",$39.00
83655,LEAD CHILD SERUM,$40.00
82945,BFP/GLUCOSE,$42.00
83050,CO-OXIMETRY,$42.00
82945,CSFP3/GLUCOSE,$42.00
89125,FECAL FATS,$42.00
87210,INDIA INK PREP,$42.00
82009,KETONE BODY(S) QUALITATIVE,$42.00
84133,POTASSIUM 24 HR URINE,$42.00
86886,RBC ANTIBODY TITER,$42.00
81015,URINALYSIS QUALITATIVE OR SEMIQUANTATIVE MICROSCOPIC ONLY,$42.00
82570,URINE CALIUM/CREATININE RATION,$42.00
84155,URINE IMMUNOELECTRO COMP2,$42.00
85018,HEMOGLOBIN,$45.00
81003,URINALYSIS DIP STICK AUTOMATED WITHOUT MICROSCOPY,$45.00
87205,URINE EOSINOPHIL,$45.00
86003,EGG YOLK ALLERGY,$47.00
88164,SLIDE PAP,$47.00
84080,"PHOS, ISOENZYMES",$48.00
85660,SICKLING RBC REDUCE,$48.00
87015,CULTURE STOOL CONCENTRA,$50.00
83018,"HEAVY METAL SCREEN , QUANTITATIVE, EACH",$52.00
86654,ARBOVIRUS IGG/EHCEPHALIT,$53.00
86651,ARBOVIRUS IGG/ENCEPHALIT,$53.00
86652,ARBOVIRUS IGG/ENCEPHALIT,$53.00
80500,CLINICAL PATHOLOGY CONSULTATION LIMITED,$53.00
86003,EGG WHITE ALLERGY,$53.00
82985,FRUCTOSAMINE,$53.00
82271,GASTRICULT(OCULT BLOD OTH,$53.00
85014,HEMATOCRIT(HCT),$53.00
"82270,QW",OCCULT BLOOD,$53.00
85032,PLATELET COUNT-MANUAL,$53.00
85041,RED BLOOD COUNT,$53.00
84540,"UREA NITROGEN, URINE",$53.00
84155,PROTEIN TOTAL,$55.00
"83718,QW",HDL CHOLESTROL,$57.00
83721,LDL CHOLESTEROL DIRECT,$57.00
86592,RPR-SYPHILIS SEROLOGY,$57.00
86738,MYCOPLASMA SERUM,$58.00
84110,PORPHOBILINOGEN 24HR URIN,$58.00
"84460,QW",(SGPT) ALT,$59.00
"82040,QW",ALBUMIN SEUM,$59.00
"84075,QW",ALKALINE P'TASE,$59.00
82800,ARTERIAL OR VENOUS,$59.00
"82247,QW",BILIRUBIN TOTAL,$59.00
"84520,QW",BUN,$59.00
"82310,QW",CALCIUM TOTAL SERUM,$59.00
86003,CANDIDA IGE,$59.00
82379,CARNITINE,$59.00
"82435,QW",CHLORIDE-BLOOD,$59.00
"82465,QW","CHOLESTEROL, TOTAL",$59.00
"82565,QW","CREATININE, SERUM",$59.00
84202,FEP,$59.00
"82947,QW",GLUCOSE SERUM,$59.00
"82952,QW",GLUCOSE TOLERANCE EA >3 SPECIMENS,$59.00
"84100,QW",PHOSPHORUS,$59.00
84300,SODIUM 24 HR URINE,$59.00
"84295,QW",SODIUM SERUM,$59.00
85048,WHITE BLOOD COUNT,$59.00
83721,LDL DIRECT,$60.00
83497,SEROTONIN METABOL 5-HIAA,$60.00
"84550,QW",URIC ACID SERUM,$60.00
87205,FLDC/FLUID CULTURE 2,$61.00
83873,MS PANEL,$61.00
87210,WET PREP,$63.00
86900,BLOOD TYPING ABO,$65.00
86901,BLOOD/RH,$65.00
88150,CYTOPATHOLOGY/VAG SMEAR,$65.00
86885,DU (EXTENSION OF RH),$65.00
83516,IMMUNOASSAY FOR ANALYTE OTHER THAN INFECTIOUS AGENT ANTIBODY OR INFECTIOUS AGENT ANTIGEN MULTIPLE STEP METHOD,$65.00
83540,IRON SERUM,$65.00
83930,"OSMOLALITY, SERUM",$65.00
85027,PLATLETE COUNT,$65.00
"84155,QW",TOTAL PROTEIN,$65.00
"84478,QW",TRIGLYCERIDES,$65.00
82340,URINE CALCIUM,$65.00
"84450,QW",(SGOT) AST,$66.00
82239,"BILE ACIDS, SERUM",$66.00
86609,S PNEUMO 23F IGG,$93.00
81001,URINALYSIS DIP STICK AUTOMATED WITH MICROSCOPY,$66.00
84166,"URINE ELE FRAC, QUAN",$71.00
86161,C1 ESTERACE FUNCTIONAL,$67.00
82380,CAROTENE LEVEL,$69.00
87172,PINWORMS,$69.00
83516,ANTIMITOCONDRIAL AB,$160.00
80190,PROCAINAMIDE,$121.00
83915,5' NUCLEOTIBASE ASSAY,$70.00
80346,BENZIODIAZEPINES 1-12,$70.00
84157,BFP/PROTEIN,$70.00
84445,ANTI TSI ANTIBODY (TSIM),$248.00
80305,"DRSUS4/DRUG SCRN, URINE",$70.00
83615,LD (IN HOUSE),$70.00
83615,LDH,$70.00
87209,OVA STAIN(TRICHROME),$70.00
83825,URINE MERCURY,$70.00
