Chg Code,Description,Price,CPT Code
1631531,CT-CHEST WO         ,"$6,879.94",71250
1631532,CT-CHEST W          ,"$8,442.16",71260
1631533,CT-CHEST WWO        ,"$8,655.56",71270
1631535,CT-CERV SPINE WO    ,"$8,442.16",72125
1631536,CT-CERV SPINE W     ,"$8,027.93",72126
1631537,CT-CERV SPINE WWO   ,"$8,291.52",72127
1631538,CT-THOR SPINE WO    ,"$8,027.93",72128
1631539,CT-THOR SPINE W     ,"$8,027.93",72129
1631540,CT-THOR SPINE WWO   ,"$8,655.56",72130
1631541,CT-LUMB SPINE WO    ,"$8,442.16",72131
1631542,CT-LUMB SPINE W     ,"$8,442.16",72132
1631543,CT-LUMB SPINE WWO   ,"$8,655.56",72133
1631544,CT-UPPER EXT WO     ,"$6,878.79",73200
1631548,CT-LOWER EXT WO     ,"$6,878.79",73700
1631552,CT-ABDOMEN WO       ,"$6,359.58",74150
1631553,CT-ABDOMEN W        ,"$7,650.20",74160
1631554,CT-ABDOMEN WWO      ,"$8,563.11",74170
1612354,FL-FLUORO GUIDE SPIN,$945.39,77003
1314681,H PYLORI AB QL      ,$569.31,86677
1218099,NITROGLYCER 0.4MG/HR,$15.44,     
7212115,DICYCLOMINE 20MG INJ,$170.89,J0500
7211782,RABIES IG IM/SC 150U,"$3,412.24",90375
1216990,AMOX500-KCLAV125MGTB,$36.38,Z7610
7211556,ALISKIREN 150MG TAB ,$30.87,
2811564,S-BRST CYST ASPIRAT ,"$1,485.76",SURG 
2811565,S-BRST ADDL CYST    ,$876.42,SURG 
1210512,OMEG-3/ETH EST 1GMCP,$14.33,
1219829,SENNOSIDES 8.6MG TAB,$14.33,     
7210736,CYANOCOBAL 250MCG TB,$14.33,Z7610
1612353,FL-NEDL GUIDE FLUORO,"$1,533.69",77002
7211500,MICONAZOLE 2%OIN 60G,$40.79,Z7610
7210069,AMOX 400MG/5ML 50ML ,$14.33,Z7610
7212137,FLUCONAZOL 200MG INJ,$555.66,J1450
1219444,"MENINGOC A,C,Y,W-135","$3,545.64",     
7212274,HYDROMORPH UP TO 4MG,$20.95,J1170
1612342,FL-FLUORO CVAD ANY  ,"$1,356.36",77001
1651138,NUCLEAR RX IV ADMIN ,"$1,474.99",79101
2811180,TC99M MEDRO TO 30MCI,$764.53,A9503
7210577,ESMOLOL 2500MG/250ML,$555.66,     
1210547,AMMONIUM CHL 20ML IJ,$63.95,     
7212149,MANNITOL 25% 50MLINJ,$80.48,J2150
7210037,REPAGLINIDE 1 MG TAB,$27.56,Z7610
1210029,MESALAMINE 500MG CAP,$66.15,     
7210239,DIVALPROEX 250MGSRTB,$14.33,Z7610
1221172,AA 4.25%/D25W 1000ML,$555.66,X7700
1641010,MR-CHEST WO         ,"$9,211.28",71550
1641011,MR-CHEST W          ,"$9,827.50",71551
1641054,MR-BRAIN WWO        ,"$12,407.62",70553
7211058,MISOPROSTOL 25MCG TB,$14.33,     
7210901,GI SPOT MARKER INJ  ,$271.22,     
1314490,THYROID STIM TSH    ,$375.93,84443
7210796,DAKINS .25%SOL 473ML,$69.46,     
1141051,AD PROCEDURE GI LV 1,"$6,922.09",SURG 
1217618,RACEPINEPH 2.25% .5M,$9.60,Z7610
1219590,TETRACAINE 2%TOP 30M,$8.38,Z7610
1315024,"UA, AUTO, W-O SCOPE ",$49.25,81003
1219002,ALBUTEROL 5MG/ML    ,$15.44,Z7610
2811178,TC-99M SESTA / DOSE ,$764.53,A9500
2811185,TC99M DISOFENIN/VIAL,$764.53,A9510
2811191,TC99M MEBROF /15MCI ,$764.53,A9537
2811195,TC99M GLUCEPTA/25MCI,$764.53,A9550
2811196,TC99M LABL RBC/30MCI,$764.53,A9560
2811203,TC99M PERTECHNET/MCI,$764.53,A9512
2811211,TC99M PYROPHOS/25MCI,$764.53,A9538
2811212,TC99M PENTETAT/25MCI,$764.53,A9539
2811213,TC99M MAA/10MCI     ,$764.53,A9540
2811214,TC99M SULF COL/20MCI,$764.53,A9541
2811249,TC99M AEROSOL 75 MCI,$764.53,A9567
2811281,TC99M SULFCOL2/20MCI,$764.53,A9541
2811584,TC-99M AUTO WBC/DOSE,$764.53,A9569
1050092,NI-TTE 2D W DOPP WO ,"$7,222.73",93306
1314444,"PSA, TOTAL          ",$369.93,84153
1140231,AD PROCEDURE OR LV 1,"$4,966.76",SURG 
1140232,AD PROCEDURE OR LV 2,"$6,618.84",SURG 
1140233,AD PROCEDURE OR LV 3,"$8,272.09",SURG 
1140234,AD PROCEDURE OR LV 4,"$9,926.51",SURG 
1140235,AD PROCEDURE OR LV 5,"$11,584.44",SURG 
1140236,AD PROCEDURE OR LV 6,"$13,241.20",SURG 
1141053,AD PROCEDURE GI LV 3,"$18,001.89",SURG 
1141054,AD PROCEDURE GI LV 4,"$22,379.72",SURG 
1210537,MIDAZOL  HCL 1MG INJ,$5.51,J2250
7212018,MIDAZOL  HCL 1MG INJ,$340.67,J2250
1621553,US-ULTRASOUND UNLSTD,"$2,785.81",76999
1314937,"SHIGA-LIKE TOX AG,EI",$51.47,87427
1210042,FLUTI/SALM 45/21 PUF,$23.15,     
1210044,FLUTI/SALM 115/21PUF,$28.67,Z7610
1210045,FLUTI/SALM 230/21PUF,$37.49,     
1210071,FLUTICASON 44MCG PUF,$6.95,     
1210072,FLUTICASO 110MCG PUF,$9.70,     
1210075,FLUTICASO 220MCG PUF,$14.33,     
1210077,ALBUTEROL 90MCG PUFF,$2.76,Z7610
1913228,THER AD IVP SAME MED,$186.62,96376
1913229,IMM ADM EA ADD VACC ,$148.08,90472
1913263,IMM ADM FLU VACCINE ,$148.08,90471
1913264,IMM ADM PNEU VACCINE,$158.92,90471
2811541,S-AMNIOCENTESIS     ,"$2,060.99",SURG 
7210182,FLUNISOLI 250MCG PUF,$8.60,     
7210753,IPRA/ALBU 18-103 PUF,$14.33,Z7610
7210754,IPRATROPI 17MCG PUF ,$5.51,     
7211090,FENT2MCG-BUP.125%250,$555.66,Z7610
1414690,INTRO/SHEATH LASER 1,"$7,722.31",C2629
1414900,REP DEV URINRY W/SL1,"$7,223.79",C1771
1417110,FALLOPIAN BANDS     ,$960.84,L8699
1211194,AEROCHAMBER DEVICE  ,$224.91,Z7610
1050101,P-ILR DEV EVAL PRGR ,"$23,149.61",93285
1314488,"THYROXINE T4, FREE  ",$302.67,84439
1314156,BLD OCCULT FECES 1-3,$295.46,82270
1321023,CYTOPATH CONCENT TEC,$40.00,88108
1141052,AD PROCEDURE GI LV 2,"$12,466.09",SURG 
1413180,LEAD LT VENT COR LV1,"$16,214.35",C1900
7212092,ONDANSETRON 1MG PO  ,$45.20,Q0162
7211159,FLUTI/SALM 230/21 8G,"$1,951.43",     
7211160,FLUTI/SALM 115/21 8G,"$1,481.76",     
7211161,FLUTI/SALM 45/21 8GM,"$1,194.01",     
1210474,PANTOPRAZ 40MG PKT  ,$54.02,     
2811167,INJ GAD-MR1 CONTR ML,$50.86,A9579
2811189,"I123 CAP,DX /100UCI ",$398.25,A9516
2811227,GA67 GALLIUM/MCI    ,$241.29,A9556
2811228,XE133 XENON 10MCI   ,$329.97,A9558
2811240,LOCM 300-399MG/ML ML,$3.77,Q9967
1710902,SUCTION PROC-NASOTRA,$287.56,31720
1710903,ARTERIAL PUNCTURE   ,$353.47,36600
1710906,BRONCHO EVAL PRE/PST,"$1,919.51",94060
1710908,VITAL CAPACITY      ,$451.73,94150
1710933,MECH VENT INITIAL   ,"$4,787.99",94002
1710934,MECH VENT DAILY SUBS,"$3,720.41",94003
1812126,STRAPPING UNA BOOT  ,$539.19,29580
1812223,MUSL TST W-R EXT    ,$140.20,95831
1812224,MUSL TST W-R HAND   ,$130.61,95832
1812225,MUSL TST W-R BDY-HND,$185.72,95833
1812226,MUSL TST W-R BDY+HND,$226.47,95834
1812227,ROM W-R EA EXT-TRNK ,$87.47,95851
1812228,ROM W-R HND W-WO COM,$70.70,95852
1812233,PT RE-EVAL-VISIT    ,$198.90,97164
1812239,MECH TRACTION-VISIT ,$76.68,97012
1812241,VASPNEUMATIC DEV-VIS,$82.69,97016
1812242,PARAFFIN BATH-VISIT ,$44.33,97018
1812243,WHIRLPOOL THRPY-VIST,$97.06,97022
1812244,DIATHERMY TX-VISIT  ,$29.97,97024
1812245,INFRARED THERAPY-VST,$26.37,97026
1812246,ULTRAVIOLET THRP-VST,$34.76,97028
1812247,ELEC STIM-MAN-15 MIN,$86.27,97032
1812248,IONTOPHORESIS-15 MIN,$135.40,97033
1812249,CONTRAST BATH-15 MIN,$81.47,97034
1812250,ULTRASOUND-15 MIN   ,$62.31,97035
1812251,HUBBARD TANK EA15 MN,$141.39,97036
1812253,THERAP EXERCS-15 MIN,$148.58,97110
1812254,NEURO RE-ED-15 MIN  ,$156.98,97112
1812255,AQUA THRPY-15 MIN   ,$190.52,97113
1812256,GAIT TRAINING-15 MIN,$131.81,97116
1812257,MASSAGE THRPY-15 MIN,$203.69,97124
1812260,MANUAL THRPY-15 MIN ,$244.43,97140
1710935,BIPAP/CPAP          ,$424.17,94660
1710937,MANIP CHST WALL INIT,$511.63,94667
1710938,MANIP CHST WALL SBSQ,$456.52,94668
1710942,PUL COMPL STUDY     ,"$3,604.18",94750
1710943,PULSE OXIMTRY SINGLE,$228.86,94760
1710944,PULSE OX MULTI/EXERC,$601.49,94761
1710945,PULSE OX OVERNIGHT  ,$479.28,94762
1710953,CPR ASSIST (NON ER) ,"$4,200.88",92950
1710969,NEWBORN RESUCITATION,$624.27,99465
1211507,DRONEDRARONE 400MG  ,$46.31,     
1913248,THERAPEUTIC DX SQ IM,$686.25,96372
1913249,INJECTION IV PUSH   ,$382.85,96374
1913256,IV HYDRATION 1 HR   ,$382.85,96360
1913257,IV HYDRAT EA ADD HR ,$351.55,96361
1913258,THERA EA AD IV PUSH ,$254.04,96375
1913259,IV THERAPY DX 1 HR  ,$622.43,96365
1913260,IV THERAPY EA AD HR ,$316.64,96366
1913261,CONCURRENT IV THER  ,$337.10,96368
1913262,IV THER AD SEQ 1 HR ,$162.53,96367
1321118,"FLOWCYTOMET-TC,1 MRK",$200.18,88184
1210226,BOTULIN TOXI B 100U ,"$6,955.67",J0587
7212009,INSULIN 5 UNT INJ   ,$15.44,J1815
1651071,NM-MYOCARD SINGLE   ,"$5,907.11",78453
1211642,ATROPINE 0.01MG INJ ,$19.85,J0461
1211648,DOCETAXEL 1MG INJ   ,$20.95,J9171
1314495,TRANSFERASE ALT     ,$175.36,84460
1314851,CULT AEROBIC IDENTIF,$250.00,87077
1314138,AMYLASE             ,$689.41,82150
1314494,TRANSFERASE AST     ,$91.28,84450
1314751,"HEMATOCRIT, OTHER   ",$258.23,85014
1314752,HEMOGLOBIN          ,$236.62,85018
1314755,RBC COUNT           ,$309.88,85041
1314888,"SMEAR,GRAM STAIN    ",$377.14,87205
1314213,CPK TOTAL           ,$650.99,82550
1050099,P-ICD DEV PRG EVAL 2,$210.76,93283
1812104,SPLNT LONG ARM S-H  ,$406.19,29105
1812105,SPLNT SHRT ARM STATC,$367.85,29125
1812106,SPLNT SHRT ARM DYNAM,$367.85,29126
1812107,SPLNT FINGER STATIC ,$209.69,29130
1812111,STRAPPING SHOULDER  ,$277.98,29240
1812112,STRAPPING ELBO-WRIST,$244.43,29260
1812113,STRAPPING HAND-FING ,$238.44,29280
1812120,APP LNG LEG SPLINT  ,$367.85,29505
1812121,APP SHORT LEG SPLINT,$367.85,29515
1812122,STRAPPING HIP       ,$237.25,29520
1812261,GROUP THRP PROC-VIST,$95.85,97150
1812262,THERAP ACTVTS-15 MIN,$161.76,97530
1812263,COG SKILL DEV-15 MIN,$214.48,97127
1812264,SENSORY INTEG-15 MIN,$140.20,97533
1812265,SELF CARE MGT-15 MIN,$161.76,97535
1812266,COM-WRK REINT-15 MIN,$144.98,97537
1812267,WHEELCHR MGT-15 MIN ,$146.17,97542
1812270,DEBRIDE LE 20 SQ CM ,$539.19,97597
1812276,PHYSICAL PERF-15 MIN,$155.77,97750
1812277,ASIS TECH ASSES-15MN,$176.14,97755
1812278,ORTH TRAIN INI-15 MI,$171.35,97760
1812279,PROS TRAIN INI-15 MI,$152.18,97761
1812280,PROS-ORTH SUB-15 MIN,$190.52,97763
1812301,ESTEM UNATD A-30 DAY,$62.31,97014
1812302,ESTEM UNATD WND CARE,$62.31,97014
1812303,ELEC STIM-UNATTND-VI,$62.31,97014
1210156,CASPOFUNGIN ACE 5MG ,$241.45,J0637
1413124,EVENT RECRDR CARDIAC,"$21,402.49",C1764
1210265,LABETALOL 200MG/40ML,$175.30,     
2850034,OXYGEN PER HOUR     ,$186.02,Z7610
1641007,MRA-NECK WO         ,"$9,752.18",70547
7210385,SILDENAFIL 20MG TAB ,$27.56,     
1872202,SP EVAL SWL WO RADOP,$644.04,92610
1872204,EVAL SWALLO W-RADOPQ,$434.35,92611
1872229,APHASIA ASSESS-HOUR ,$434.35,96105
1872308,SP-HEAR-TX-INDI VIST,$395.18,92507
1872314,ORAL FUNCTION TX-VIS,$395.18,92526
1210031,NICARDIP 25/10ML INJ,"$1,447.58",     
1314470,"SODIUM, URINE RANDOM",$87.68,84300
115110,R&B M/S PRIVATE     ,"$2,823.84",     
115120,R&B M/S SEMI PRIVATE,"$2,725.89",     
115206,R&B M/S PVT TELEM   ,"$4,326.19",     
182500,OBSERVATION 1ST HOUR,$148.58,99218
182501,OBSRVATION ADDL HOUR,$148.58,99218
182502,DIRECT ADMIT TO OBS ,"$1,228.16",G0379
215111,R&B GYN PRIVATE     ,"$2,823.84",     
215122,R&B OB SEMI PRIVATE ,"$2,720.14",     
245171,R&B NURSERY LEVEL 1 ,"$1,776.94",     
245172,R&B NURSERY LEVEL 2 ,"$2,035.74",     
245173,R&B NURSERY LEVEL 3 ,"$2,283.76",     
245191,R&B SICK BABY LVL 1 ,"$2,266.99",     
245192,R&B SICK BABY LVL 2 ,"$2,535.38",     
245193,R&B SICK BABY LVL 3 ,"$2,782.21",     
282801,LABOR LEVEL 1 PER HR,$389.41,     
282802,LABOR LEVEL 2 PER HR,$520.02,     
282803,LABOR LEVEL 3 PER HR,$649.43,     
282811,DELIVERY LEVEL 1    ,"$4,155.34",     
282812,DELIVERY LEVEL 2    ,"$4,934.18",     
282813,DELIVERY LEVEL 3    ,"$5,711.81",     
282841,L&D OBSERV 1ST HOUR ,$389.41,99218
282842,L&D OBSERV ADDL HOUR,$233.66,99218
282844,FETAL CONTRACTION ST,"$1,810.48",59020
282845,FETAL NON STRESS TES,$460.10,59025
282846,CIRCUMCISION NEWBORN,$258.81,MANUL
282851,OB TRIAGE LVL 1 EP  ,$389.41,Z7500
335214,R&B INTERMED CCU    ,"$5,139.58",     
1612102,HE-EYE FOREIGNBDY CR,"$1,427.06",70030
1612104,HE-MANDIBLE 4VPLS CR,"$1,588.81",70110
1612105,HE-MASTOIDS LTD CR  ,"$1,049.62",70120
1612106,HE-MASTOID 3VPLUS CR,"$1,673.88",70130
1612107,HE-INT AUD MEATUS CR,"$1,666.70",70134
1612108,HE-FACIAL BNS LTD CR,"$1,049.62",70140
1612109,HE-FACIAL BNES 3V CR,"$1,588.81",70150
1612110,HE-NASAL BONES CR   ,"$1,990.21",70160
1612112,HE-OPTIC FORAMINA CR,$971.75,70190
1612114,HE-SINUSES LTD CR   ,$830.36,70210
1612115,HE-SINUSES 3VPLUS CR,"$1,588.81",70220
1612116,HE-SELLA TURCICA CR ,$910.63,70240
1612117,HE-SKULL LIMITED CR ,"$1,016.07",70250
1612118,HE-SKULL 4V PLUS CR ,"$1,836.84",70260
1612123,HE-TMJ BILATERAL CR ,"$1,427.06",70330
1612126,SP-NECK SOFT TISS CR,$662.60,70360
1612130,IR-SALIVARY GLAND   ,$910.63,70380
1612135,CH-RIB UNI PA CXR CR,"$1,478.58",71101
1612137,CH-RIBS BI PA CXR CR,"$1,727.80",71111
1612138,CH-STERNUM CR       ,$971.75,71120
1612139,CH-STRNOCLAV JNTS CR,$971.75,71130
1612141,SP-SPINE SNGL VW CR ,$608.69,72020
1612142,SP-CERV SP 2TO3VW CR,"$1,020.86",72040
1612146,SP-T SPINE 2 VIEW CR,"$1,064.00",72070
1612149,SP-THORACOLMBR 2V CR,"$1,138.29",72080
1612151,SP-LS SPN 2 TO 3V CR,$981.33,72100
1612152,SP-LS SPNE 4VPLUS CR,"$1,943.48",72110
1612153,SP-LS SPINE W BND CR,"$2,075.28",72114
1612154,SP-LS SPINE BND CR  ,"$1,138.29",72120
1612156,SP-SI JNTS 3VPLUS CR,"$1,224.56",72202
1612157,SP-SCRM COCCYX 2V CR,"$1,049.62",72220
1612158,IR-MYELO CERVICAL   ,"$3,187.21",62302
1612159,IR-MYELO THORACIC   ,"$3,187.21",62303
1612160,IR-MYELO LUMBAR     ,"$3,187.21",62304
1612161,IR-MYELO COMPLETE   ,"$4,913.81",62305
1612164,UE-CLAVICLE CR      ,$820.76,73000
1612165,UE-SCAPULA CR       ,$910.63,73010
1612166,UE-SHOULDER 1V CR   ,$662.60,73020
1612167,UE-SHLDR 2VW PLUS CR,"$1,016.07",73030
1612168,UE-AC JTS BILAT CR  ,"$1,588.81",73050
1612169,UE-HUMERUS CR       ,$820.76,73060
1612170,UE-ELBOW 2V CR      ,$744.09,73070
1612171,UE-ELBOW 3V CR      ,$971.75,73080
1612172,UE-FOREARM 2V CR    ,$790.82,73090
1612173,UE-UP EXT INFANT CR ,"$1,224.56",73092
1612174,UE-WRIST 2V CR      ,$611.08,73100
1612175,UE-WRIST 3V PLUS CR ,$971.75,73110
1612176,UE-HAND 2V CR       ,$611.08,73120
1612177,UE-HAND 3V CR       ,$910.63,73130
1612178,UE-FINGER S 2VPLS CR,$611.08,73140
1612179,LE-HIP UNILAT 1V CR ,$820.76,73501
1612184,LE-FEMUR 2V CR      ,$971.75,73552
1612185,LE-KNEE 1 TO 2V CR  ,$748.88,73560
1612187,LE-KNEE 4V PLUS CR  ,"$1,152.66",73564
1612189,LE-TIB FIB 2V CR    ,$830.36,73590
1612190,LE-LWR EXT INFANT CR,"$1,327.60",73592
1612191,LE-ANKLE 2V CR      ,$678.17,73600
1612192,LE-ANKLE 3VPLUS CR  ,$966.96,73610
1612193,LE-FOOT 2V CR       ,$611.08,73620
1612194,LE-FOOT 3V PLUS CR  ,$921.42,73630
1612195,LE-CALCANEUS 2PLS CR,$575.14,73650
1612196,LE-TOE S 2VPLUS CR  ,$611.08,73660
1612197,CH-ABDOMEN 1 VIEW CR,$748.88,74018
1612199,CH-ABDOMEN 3VWS CR  ,"$1,392.30",74021
1612200,CH-ABD SER PA CXR CR,$327.11,74022
1612202,FL-PHARYNX ESOPHAGUS,"$1,327.60",74210
1612203,FL-ESOPHAGUS        ,"$1,427.06",74220
1612204,FL-ESOPHAGUS W CINE ,"$2,207.08",74230
1612206,FL-GI SERIES        ,"$1,635.54",74240
1612208,FL-GI W SM BOWEL    ,"$2,935.58",74245
1612209,FL-GI SERIES AIR    ,"$2,743.87",74246
1612211,FL-GI AIR W SM BOWEL,"$3,293.85",74249
1612212,FL-SMALL BOWEL CR   ,"$2,075.28",74250
1612214,FL-DUODENOGRAPHY CR ,"$2,116.01",74260
1612215,FL-BARIUM ENEMA     ,"$1,993.79",74270
1612216,FL-BARIUM ENEMA AIR ,"$2,929.59",74280
1612218,FL-GALLBLADDER ORAL ,"$1,427.06",74290
1612220,SU-CHOLE W GRAMS    ,"$1,990.21",74300
1612232,FL-IVP CR           ,"$2,471.89",74400
1612235,FL-UROGRAPH RETRO CR,"$1,808.09",74420
1612237,FL-CYSTOGRM 3VPLS CR,"$1,427.06",74430
1612239,FL-CAVERNOSOGRAPH CR,"$1,371.94",74445
1612241,FL-UCG VOIDING CR   ,"$2,075.28",74455
1612242,CH-PELVIMETRY CR    ,"$1,427.06",74710
1612243,IR-HYSTERSALPINGO CR,"$1,727.80",74740
1612252,FL-FLUORO 1 HOUR CR ,$946.58,76000
1612255,CH-BABYGRAM FB CR   ,$662.60,76010
1612256,BONE AGE STUDY CR   ,$885.47,77072
1612257,BONE LENGTH STUDY CR,"$1,588.81",77073
1612260,BONE SRVY INFANT CR ,"$1,140.68",77076
1612262,DEXA AXIAL          ,"$1,557.66",77080
1612269,TOMOGRAM ONE PLNE CR,"$2,177.13",76100
1612277,UNLISTED RAD EXAM CR,$263.61,76499
1612279,IR-ARTHROGM SHLDR CR,"$1,727.80",73040
1612281,IR-ARTHROGRAM WRIST ,"$2,075.28",73115
1612284,IR-ARTHROGRAM KNEE  ,"$2,449.11",73580
1612286,CH-CHEST 1V CR      ,$639.84,71045
1612288,CH-CHEST 2V CR      ,$981.33,71046
1612292,CH-CHEST 4V CR      ,"$1,588.81",71048
1612299,UE-CLAVICLE BILAT CR,"$1,588.81",73000
1612300,UE-SCAPULA BILAT CR ,"$1,746.97",73010
1612302,UE-SHOULDER 2V BI CR,"$1,943.48",73030
1612303,UE-HUMERUS BILAT CR ,"$1,588.81",73060
1612305,UE-ELBOW 3VW BI CR  ,"$1,871.58",73080
1612306,UE-FOREARM 2VW BI CR,"$1,504.94",73090
1612307,UE-UPEXT INFNT BI CR,"$2,353.26",73092
1612309,UE-WRIST 3VW BI CR  ,"$1,871.58",73110
1612311,UE-HAND 3VWS BI CR  ,"$1,746.97",73130
1612313,LE-FEMUR 2VW BI CR  ,"$1,871.58",73552
1612316,LE-KNEE 4VWPLS BI CR,"$2,211.87",73564
1612317,LE-TIB FIB 2V BI CR ,"$1,605.59",73590
1612319,LE-ANKLE 3VWS BI CR ,"$1,853.62",73610
1612321,LE-FOOT 3VWPLS BI CR,"$1,780.52",73630
1612322,LE-CALCNEUS 2V BI CR,"$1,114.32",73650
1612347,EXAM SURG SPECMN CR ,"$1,249.73",76098
1612348,LE-PELVIS CR        ,$820.76,72170
1612349,LE-PELVIS 3V PLUS CR,"$1,138.29",72190
1612352,LE-LWEXT INFNT BI CR,"$2,537.79",73592
1621503,US-ENCEPHALOGRAM    ,"$2,483.86",76506
1621510,US-HEAD NECK SFT TIS,"$2,820.56",76536
1621513,US-ABDOMEN COMP WO  ,"$2,101.64",76700
1621514,US-ABDOMEN LTD WO   ,"$1,385.12",76705
1621515,US-ABDOMEN RETROPER ,"$1,550.46",76770
1621519,US-PELVIS PREG      ,"$1,528.89",76805
1621521,US-PELVIS PREG LTD  ,"$1,044.82",76815
1621523,US-FETAL BIO W NST  ,"$2,975.13",76818
1621531,US-PELVIS NON OB    ,"$2,820.56",76856
1621533,US-SCROTUM          ,"$2,820.56",76870
1621534,US-TRANSRECTAL      ,"$2,483.86",76872
1621545,US-GUIDE AMNIOCENT  ,"$2,820.56",76946
1621554,US-CAROTID DPLX SCAN,"$2,860.11",93880
1621555,US-EXT VEINS DPLX WC,"$5,715.40",93970
1621556,US-EXT ARTERIAL LTD ,"$2,597.69",93922
1621557,US-LW EXT DPX ART UN,"$2,860.11",93926
1621559,US-NON INV ARTER EXT,"$2,597.69",93923
1621560,US-EXT VEINS DPX LTD,"$3,723.99",93971
1621561,US-ABD RETROPER DPLX,"$2,483.86",93976
1621562,US-LW EXT DPX ART BI,"$4,934.18",93925
1621564,US-UP EXT DPX ART BI,"$4,934.18",93930
1621566,US-UP EXT DPX ART UN,"$2,860.11",93931
1621567,US-DPLX SCAN ART CMP,"$2,860.11",93975
1621568,US-DPLXSCN GRFT ARTA,"$2,860.11",93978
1621569,US-DPLX IMT GFT ARTA,"$2,483.86",93979
1621570,US-PENIL VASCLR CMPL,"$2,483.86",93980
1621571,US-PENIL VASCLR LTD ,"$2,165.15",93981
1621600,US-TTE CONG COMP WO ,"$3,723.99",93303
1621604,US-ABSC DRN CATH PLA,"$8,271.15",75989
1630005,CT-HT ACC LV RV W   ,"$7,130.99",75573
1630006,CT-HT CARD FUNC W   ,"$6,879.94",75574
1631500,CTA-PELVIS          ,"$7,130.99",72191
1631504,CT-UPPER EXT WO BI  ,"$13,199.58",73200
1631508,CT-LOWER EXT WO BI  ,"$13,199.58",73700
1631512,CT-GUIDE STEREOTACT ,"$5,235.55",77011
1631523,CT-MAXILLOFACIAL WO ,"$6,879.94",70486
1631524,CT-MAXILLOFACIAL W  ,"$8,027.93",70487
1631525,CT-MAXILLOFACIAL WWO,"$8,027.93",70488
1631526,CT-NECK SOFT TIS WO ,"$6,305.94",70490
1631527,CT-NECK SOFT TIS W  ,"$7,154.95",70491
1631528,CT-NECK SOFT TIS WWO,"$8,027.93",70492
1631529,CTA-HEAD            ,"$7,130.99",70496
1631530,CTA-NECK            ,"$7,130.99",70498
1631534,CTA-CHEST           ,"$7,130.99",71275
1631545,CT-UPPER EXT W      ,"$8,027.93",73201
1631546,CT-UPPER EXT WWO    ,"$8,027.93",73202
1631547,CTA-UPPER EXT       ,"$7,130.99",73206
1631549,CT-LOWER EXT W      ,"$8,027.93",73701
1631550,CT-LOWER EXT WWO    ,"$8,563.11",73702
1631551,CTA-LOWER EXT       ,"$7,130.99",73706
1631555,CTA-ABDOMEN         ,"$7,130.99",74175
1631556,CTA-ABD ART W RUNOFF,"$7,130.99",75635
1631558,CT-BONE DENSTY AXIAL,"$5,762.75",77078
1641002,MR-UPPER EXT WWO    ,"$8,132.91",73220
1641003,MR-UPPER JOINT WO   ,"$9,211.28",73221
1641016,MR-LOWER EXTR WWO   ,"$8,423.90",73720
1641017,MR-LW JOINT WO      ,"$9,211.28",73721
1641020,MR-ABDOMEN WO       ,"$8,595.07",74181
1641032,MRA-ABDOMEN WO      ,"$9,752.18",74185
