ITEM#,ITEM DESCRIPTION,PRICE
 2370065,REPAIR INTERMEDIATE/SCALP/A/T/EX 2.6-7.5,$219.93
 2370066,REPAIR INTERMEDIATE/SCALP/A/T/EX 12.6-20,$430.12
 2370067,REPAIR INTERMED NECK/HANDS/FEET 12.6-20,$325.00
 2370068,REPAIR INTERMED NECK/HANDS/FEET 7.6-12.5,$275.00
 2370069,REPAIR INTERMED FACE/EARS/EYELIDS <2.5,$165.00
 2370070,REPAIR INTERMED FACE/EARS/LIDS 2.6-5.0CM,$200.00
 2370071,REPAIR INTERMED FACE/EARS/LIDS 5.1-7.5CM,$225.00
 2370072,MSE ONLY,$55.00
 2370073,CHEST TUBE INSERTION,$450.00
 2370074,THORACENTESIS PUNCTURE FOR ASPIRATION,$500.00
 2370075,VACCINATION ADMIN 1ST,$150.00
 2370077,VACCINE ADMINISTRATION ADD'L,$65.00
 2370080, INTEROSSEOUS CATHETER INSERTION,$226.00
 2370088,CORONARY THROMBOLYSIS IV-TNKASE KIT,$375.00
 2370089,CLOSED TREATMENT OF ANKLE FRACTURE W/MAN,"$1,071.24"
 2370090,AVULSION OF NAIL PLATE PARTIAL OR COMPLE,$156.06
 2370091,REMOVAL OF FOREIGN BODY,$145.79
 2370092,REMOVAL OF FOREIGN BODY W/ANESTHESIA,$247.55
 2370093,DRAIN/INJ INTERM JNT/BURSA,$213.80
 2370094,BLOOD PATCH,"$1,900.00"
 2370095,APPLICATION SHORT ARM SPLINT STATIC,$48.00
 2370097,REPAIR SIMPLE SUTURE,$131.22
 2370098,INSERTION OF CHEST TUBE,$425.06
 2370100,EXCISION BENIGN LESION 3.1-4.0 CM,"$1,023.19"
 2370101,REDUCTION CLAVICULAR FX W/O MANIP,$246.06
 2370102,REDUCE DISLOCATION FINGER,$169.09
 2370103,APPLICATION OF LONG LEG SPLINT,$78.31
 2370104,INCISION/REMOVAL FOREIGN BODY COMPICATED,"$1,534.79"
 2370105,TREAT FINGER FRACTURE,$639.00
 2370106,APPLICATION OF SHORT ARM SPLINT,$74.75
 2370107,REM FORN BODY EXT AUD W/O ANEST,$70.95
 2370108,STRAPPING SHOULDER,$65.00
 2370109,INTRAVENOUS INFUSION THERAPY-INITIAL,$162.36
 2370110,I&D  SIMPLE,$110.00
 2370112,LAY CLOSE WOUND EXTERM <12.5 CM,$224.25
 2370120,INTMD RPR FACE/MM 7.6-12.5 CM,$650.00
 2370121,INTMD RPR FACE/MM 12.6-20 CM,$665.00
 2370122,EXCISION OF NAIL FOLD TOE,$250.00
 2370130,ER NORMAL SPONTANEOUS VAG DEL,"$5,400.00"
 2370300,G TUBE REPLACED,$200.00
 2370301,NASAL/OROGASTRIC TUBE PLMT,$350.00
 2380002,PORT PLACEMENT,$900.00
 3300000,OUT PATIENT DRESSING CHANGE,$275.00
 3300001,OUT PT MEDICAL -MCR,$275.00
 3300006,BLOOD ADMINISTRATION,"$1,172.00"
 3300007,IV INF THERAPY 1 HR INITIAL,$375.00
 3300008,IV INF EACH ADD'L Hour,$156.00
 3300012,IRRIG DRUG DELIVERY DEVICE,$234.00
 3300035,INJECTION IV PUSH INITIAL,$162.00
 3300036,INJECTION IV PUSH NEW DRUG (EA),$96.00
 3300070,IV INF THERAPY 1 HR INITIAL,$375.00
 3300080,IV INFUSION SEQUENTIAL (NEW DRUG),$156.00
 3300081,IV INFUSION CONCURRENT (ONLY ONCE),$156.00
 3300090,IV HYDRATION INITIAL,$324.00
 3300100,IV HYDRATION ADD'L HOUR,$97.00
 3300110,IINFUSION IV NON CHEMO INITAIL,$162.00
 3300130,INFUSION IV UP TO 1 HR ADDL,$216.00
 3300350,INJECTION IV PUSH INITAIL,$162.00
 3300360,INJECTION IV PUSH NEW DRUG,$78.25
 3300380,INJECTION IM/SQ,$217.00
 3300381,INFLUENZA VACCINE ADMINISTRATION,$150.00
 3300382,PNEUMOCOCCAL VACCINE ADMINISTRATION,$150.00
 3300383,HEPATITIS B VACCINE ADMINISTRATION,$150.00
 3300384,VACCINE ADMINISTRATION ADD'L,$65.00
 3302001,Peripherally Inserted Central Catheter,"$2,500.00"
 3302003,Replacement PICC Line,"$2,500.00"
 3302005,Repair Procedure PICC line,"$2,500.00"
 3302006,PICC Line/Midline Insertion,"$2,500.00"
 3302007,PICC Declot,"$2,500.00"
 3302008,INSERT NON-TUNNEL CV CATH,"$2,500.00"
 3370001,OP INFUSION THERAPY/IV 1ST HR,$277.00
 3370002,OP INFUSION THERAPY/IV EA ADD HR,$88.00
 3370003,OP INJECTION ANTIBOTIC/IM,$111.25
 3370005,OP INJECTION THERPUTIC/SQ/IM,$64.50
 3370010,THORACENTESIS,$143.86
 3900090,INITIAL NEB AEROSOL/NEB,$84.00
 3910003,BRONCHOSPASM EVALUATION,$236.86
 3910007,IPPB X 2,$164.63
 3910011,VIBRO & P D,$164.63
 3910012,VIBRO AND PO SUBSEQUENT TREATMENT,$52.37
 3910014,PFT,$161.28
 3970057,DIAGNOSTIC OXIMETRY,$24.75
 4000001,ARTHROSCOPY KNEE MENISCUS REPAIR M OR L,"$1,969.29"
 4000002,REPAIR VENTRAL HERNIA,"$2,614.32"
 4000003,REPAIR INGUINAL HERNIA,"$1,202.43"
 4000004,REPAIR UMBILICAL HERNIA,"$1,248.60"
 4000005,REPAIR TRAPPED UMBILICAL HERNIA,"$1,333.44"
 4000006,BREAST BIOPSY,$414.96
 4000007,MASTECTOMY BREAST SIMPLE,"$2,682.66"
 4000008,LAP CHOLECYSTECTOMY,"$1,849.17"
 4000009,HEMORRHOIDECTOMY,$754.59
 4000010,MULTIPLE INCISION AND DRAINAGE ABSCESS,$580.86
 4000011,INSERTION OF CENTRAL VENOUS CATHETER,"$2,990.88"
 4000012,REMOVAL OF PERIPHERAL VENOUS CATHETER,$621.63
 4000419,COLONOSCOPY SCREENING,"$1,500.00"
 4000420,COLONOSCOPY WITH BIOPSY,"$1,500.00"
 4000423,COLONOSCOPY W REM OF  POLYP HOT,"$1,500.00"
 4000424,EGD,"$1,500.00"
 4000430,SIGMOIDOSCOPY,"$1,500.00"
 4000431,SIGMOIDOSCOPY AND BIOPSY,"$1,500.00"
 4000435,EGD W/DILATION,"$1,500.00"
 4000440,INJECT SPINE LUMBAR/SARAL,$450.00
 4000900,GHOST CHG- INJ LUMB,"$2,016.18"
 4012345,GREEN LIGHT LASER,"$8,000.00"
 4070002,EGD DIAGNOSTIC PROCEDURE,"$1,500.00"
 4070003,COLONOSCOPY DIAGNOSTIC-NO BIOPSIES,"$1,500.00"
 4070004,THORACENTESIS,$570.00
 4070006,COLONOSCOPY CENTRAL HEMORRAGE,$639.00
 4070007,COLONOSCOPY ABLATION TUMOR,$639.00
 4070008,COLONOSCOPY REMOVAL POLYOID,"$1,500.00"
 4070012,OPERATING ROOM MAJOR 30 MIN,$629.50
 4070013,OPERATING ROOM MINOR 30 MIN,$419.50
 4070014,OPERATING MAJOR/MINOR OVER 30 MIN BASE,$629.50
 4070015,CIRCUMCISION,$242.50
 4070016,I & D SIMPLE,$495.00
 4070017,RECOVERY ROOM 1ST HOUR,$105.00
 4070018,RECOVERY ROOM ADD FEE MIN,$52.50
 4070019,COLORECTAL CANCER SCREENING,$655.04
 4070020,SIMPLE REPAIR FACE 2.6-5.0CM,$135.00
 4070021,INJECT SPINE LUMBAR/SACRAL,$800.00
 4070023,COLONOSCOPY SCREENING,"$1,500.00"
 4070035,OR MAJOR I&D,"$1,635.77"
 4070036,OR MINOR URETHRA DILATION,"$1,226.95"
 4070037,OR MINOR DEBRIDEMENT,$419.50
 4070038,OR MINOR CYSTOSCOPY W/ DILATION,$548.93
 4070039,OR UR DIL SUBSEQUENT,$419.50
 4070040,OR MINOR DEBRIDEMENT & EXCISISON,$629.50
 4070041,OR MAJOR CIRCUMCISION,"$1,200.00"
 4070042,OR MINOR EPIDURAL,$600.00
 4070043,DEBRIDE INFECTED SKIN,$850.00
 4070046,OR MINOR URETHRA DILATION,$419.50
 4070047,OR MINOR URETHRA DILATION,$419.50
 4070048,OR MINOR URETHRA DILATION,$419.50
 4070050,OR MINOR URETHRA DILATION,$419.50
 4070060,EXCISION BENIGN LESION,$826.58
 4070061,EXC BENIGN LESION INCL. MARGINS 3.1-4 CM,$785.00
 4070062,INTMD RPR S/A/T/EXT 2.6-7.5,$657.00
 4070063,DRAIN CEREBRO SPINAL FLUID,"$1,116.00"
 4070064,EXC TR-EXT B9+MARG 1.1-2CM,"$1,135.00"
 4070065,EXC TR-EXT,$415.00
 4070066,EXC TR-EXT,$415.00
 4070075,LEEP,"$1,846.20"
 4070100,EGD W/PEG TUBE PLACEMENT,"$1,500.00"
 4070200,OR MINOR POLYPECTOMY-CERV,$629.50
 4070201,ORIF ANKLE,"$3,775.00"
 4070202,ARTHROSCOPY OF ANKLE,"$1,921.86"
 4070300,EXC TR-EXT MAL+MAR 21.-3 CM,$826.58
 4070301,EXC TR-EXT MAL+MAR 3.1-4CM,$826.58
 4070400,VAPORIZATION OF PROSTATE,"$8,000.00"
 4071061,EXC BENIGN LESION INCL. MARGINS 4 + CM,$869.94
 4300001,ANESTHESIA DIAGNOSTIC KNEE ARTHROSCOPY,$984.65
 4300002,ANESTHESIA KNEE ARTHROSCOPY WITH REPAIR,"$1,312.86"
 4301681,EXTREMIS AGE>90,$99.00
 4301760,ANESTHISIA EMERG INTUB 1 HR,$300.00
 4350003,ANES RECONSTRUCTION EYELID,$495.00
 4350010,ANESTH FOR INTRAORAL PROC INCLUDING BX,$495.00
 4350012,ANESTH NECK ORGANS >1YO THYROID ESOPHAGU,$594.00
 4350014,ANES INTEG SYST EXTREMITY ANT TRUNK PERI,$297.00
 4350021,ANES HERNIA REPAIR UPPER ABD,$396.00
 4350029,INTRAPERITONEAL PROC LOWER ABD (LAP),$594.00
 4350035,ANESTHESIA ANORECTAL PROCEDURE,$495.00
 4350041,ANES PROCEDURE ON MALE GENITALIA,$300.00
 4350046,ANESTHESIA FOR VAGINAL PROCEDURES,$300.00
 4350075,"OPEN PROC BONES LOWER LEG, ANKLE , FOOT",$297.00
 4350087,OPEN OR ARTHROSCOPIC PROCEDURE ELBOW,$396.00
 4350118,LUMBAR PUNCTURE DIAGNOSTIC,$342.00
 4350120,EPIDURAL BLOOD PATCH INJECTION,"$1,900.00"
 4350164,LEEP,$297.00
 4350165,ANES LOWER INTESTINAL ENDOSCOPIC PROCEDU,$600.00
 4350166,LAPRASCOPIC CHOLECYSTECTOMY,$693.00
 4350167,UPPER ENDOSCOPY- EGD,$600.00
 4350169,LUMBAR EPIDURAL STEROID INJECTION,"$2,016.18"
 4350170,ANESTH COMPLICATED BY EMERGENCY CONDITIO,$195.00
 4350172,PERCUTANEOUS PEG TUBE,$495.00
 4350173,ANESTHESIA BREAST REDUCTION,$495.00
 4350174,TUBAL LIGATION REGULAR OR POST PARTUM,$594.00
 4350175,ANES INTEGUMENTARY HEAD FACE NECK POST T,$495.00
 4350177,ANESTHESIA DILATION AND CURETTAGE,$396.00
 4350178,ANESTHESIA TRANSURETHRAL CYSTOSCOPY,$297.00
 4350179,ANESTHESIA FOR DIAGNOSTIC LAPAROSCOPY,$693.00
 4350180,ANESTHESIA VENTILATOR,$250.00
 4350182,ANESTHESIA FOR DEBRIDEMENT,$297.00
 4350183,ANES CARPAL TUNNEL RELEASE,$297.00
 4350184,ANEST HERNIA REPAIR IN LOWER ABD >1YO,$396.00
 4350185,ANESTHESIA MONITOR,$250.00
 4350186,ANESTH EXTRAPERITONEAL PROC LOWER ABD IN,$594.00
 4350187,TRANSURETHRAL RESECTION BLADDER TUMOR,$495.00
 4350188,"CLOSED REDUCTION ULNA, RADIUS, WRIST, HA",$297.00
 4350189,OPEN PROCEDURE HIP JOINT,$594.00
 4350190,UPPER ENDOSCOPIC PROCEDU,$600.00
 4350191,PORT PLACEMENT,$396.00
 4350192,COLON OTHERWISE SPECIFIED,$600.00
 4350193,COLON SCREENING,$600.00
 4350194,EGD\COLON,$600.00
 4370001,ANESTHESIA UPPER 2/3 FEMUR CLOSED,$396.00
 4370002,ANESTHISIA CLOSED CHEST PROCEDURE INCLUD,$396.00
 4370003,ANESTHISIA CLOSED ELBOW PROCEDURE AND HU,$297.00
 4370005,ANESTHISIA CLOSED HIP JOINT PROCEDURE,$396.00
 4370006,ANESTHISIA CLOSED SHOULDER PROCEDURE,$396.00
 4370012,ANESTHISIA HERNIA REPAIR LOW ABD YOUNGER,$495.00
 4370013,ANESTHISIA HERNIA REPAIR UPPER ABD,$396.00
 4370021,ANESTHISIA INTRAPERITIONEAL PROCEDURE UP,$693.00
 4370023,ANESTHISIA ARTHROSCOPIC ANKLE AND/OR FOO,$297.00
 4370024,ANESTHISIA CLOSED PRCEDURE ON LOWER LEG,$297.00
 4370025,ANESTHISIA LOWER ANTERIOR ABDOMINAL WALL,$396.00
 4370028,ANESTHESIA LOWER POSTERIOR ABD WALL,$495.00
 4370050,ANESTHISIA UPPER ANTERIOR ABDOMINAL WALL,$396.00
 4370058,ANESTHISIA SETUP,$64.00
 5000301,MD LEVEL 1,$164.00
 5000302,MD LEVEL 2,$272.00
 5000303,MD LEVEL 3,$398.00
 5000304,MD LEVEL 4,$526.00
 5000305,MD LEVEL 5,$614.00
 5000306,MD CRITICAL CARE FIRST 74 MINUTES,"$1,350.00"
 5000307,MD CRITICAL CARE ADDITIONAL 30 MIN,$600.00
 5000311,PROFEE SUTURE REPAIR 2.5 CM OR LESS,$379.71
 5000312,PROFEE REMOVAL OF FOREIGN BODY EYE,$200.00
 5000313,PROFEE I&D BARTH ABSCESS,$200.00
 5000314,PROFEE CONTROL OF NOSEBLEED SIMPLE,$285.00
 5000315,PROFEE SUTURE REPAIR 2.6CM-7.5 CM,$465.62
 5000316,PROFEE I&D,$200.00
 5000317,PROFEE SIMPLE REPAIR 2.5 CM OR LESS,$250.00
 5000318,PROFEE INTMD RPR FACE 2.6-5.0 CM,$200.00
 5000319,PROFEE EXCISION OF NAIL FOLD TOE,$250.00
 5000320,PROFEE I&D SIMPLE,$200.00
 5000321,PROFEE INTM RPR FACE/7.6-12.5CM,$650.00
 5000322,PROFEE INTM RPR FACE/2.5CM/,$486.00
 5000323,PROFEE INTM RPR N-HF/GENIT 2.CM/<,$445.00
 5000324,PROFEE INTM RPR FACE/2.6-5.0,$600.00
 5000325,PROFEE TREAT FINGER DISLOCATION,$350.00
 5000326,NASAL/OROGASTRIC W/TUBE PLMT,$200.00
 5000327,PROFEE SIMPLE REPAIR WOUND 6-12.5CM,$300.00
 5000328,PROFEE TREAT SHOULDER DISLOCATION,$650.00
 5000329,PROFEE REMOVAL OF FOREIGN BODY EAR,$200.00
 5000330,PROFEE GTUBE REPLACEMENT,$200.00
 5000331,PROFEE I&D,$200.00
 5000332,PROFEE DEBRIDE INFECTED SKIN,$84.00
 5000333,PROFEE REMOVE FOREING BODY,$200.00
 5000334,PROFEE INTM RPR FACE/5.1-7.5CM,$650.00
 5000335,PF INTMD RPR S/TR/EXT 7.6-12.5,$650.00
 5000336,PF RPR F/E/E/N/L/M 2.6-5.0,$650.00
 5000337,PF INTMD RPR S/A/T/EXT 2.6-7.5,$552.00
 5000338,PF CMPX RPR F/C/C/M/N/AX/G/H/F,$714.00
 5000339,PROFEE TREAT FINGER FRACTURE,$849.00
 5000340,PF RPT F/E/E/N/L/M 2.6-5.0 CM,$350.00
 5000341,PF RPR S/N/AX/GEN/TRK 7.6-12.5CM,$350.00
 5000342,PF INTMD RPR FACE/MM 12.6-20CM,$750.00
 5000343,PF RPT F/E/E/N/L/M 5.1-7.5 CM,$350.00
 5000344,PF INTMD RPR S/A/T/EXT 2.5CM,$660.00
 5000345,PF RPR S/N/AX/GEN/TRK 7.6-12.5CM,$350.00
 5000346,EXCISION OF NAIL FOLD TOE,$350.00
 5000347,PF INTMD RPR N-HF/GENIT 2.6-7.5,$660.00
 5000350,"PROFEE SIMPLE REPAIR 7.6-12.5C,",$379.71
 5000351,PF RPR FE/E/EN/L/M 12.6-20.0 CM,$438.00
 5000352,PF INSERT NON TUNNEL CV CATH,$354.00
 5000360,EPISIOTOMY OR VAGINAL REPAIR,$650.00
 5000400,"PROFEE TRACHEOSTOMY, EMERG, CRICOTHYROID","$1,200.00"
 5000401,PROFEE INTM REPR S/A/T/EXT 12.6-20,$750.00
 5000402,"PROFEE INTUBATION, ENDOTRACHEAL, EMERGEN",$300.00
 5000403,PROFEE  INSERT TEMP BLADDER CATH,$108.00
 5000404,PROFEE DRAINAGE/INJ JOINT/BURSA/WO US,$132.00
 5000405,PROFEE DRAINAGE/INJ JOINT/BURSA/WO US,$110.00
 5000420,PROFEE CLOSED RED/IMM RADIAL HEAD,$250.00
 5000421,PROFEE APPLY FOREARM SPLINT,$393.00
 5000422,PROFEE APPLY SHORT ARM SPLINT,$393.00
 5000423,PROFEE APPLY SHORT ARM SPLINT,$393.00
 5000424,PROFEE APPLY SHORT LEG SPLINT,$393.00
 5000500,PROFEE  G TUBE REPLACEMENT,$200.00
 5000501,PROFEE STRAPPING OF SHOULDER,$125.00
 5000502,PROFEE  NASAL/OROGASTRIC W /TUBE PLMT,$200.00
 5000600,PROFEE  PSYCH DX EVAL W/MED SERVICE,$417.00
 5000601,PROFEE PSYCH ADMIT 50 MIN;INITIAL,$400.00
 5000602,PROFEE PSYCH ADMIT 70MIN,$450.00
 5000603,PROFEE SUBSEQUENT HOSPITAL CARE  15 MIN,$120.00
 5000604,PROFEE PSYCHIATRIC SUBSEQUENT 25 MIN,$140.00
 5000605,PROFEE PSYCH DISCHARGE,$140.00
 5000606,PROFEE PSYCHIATRIST VISIT DISCHARGE SUMM,$375.00
 5500001,ALCOHOL ISOPROPYL 70% 16 OZ,$12.81
 5500002,KIT SUTURE REMOVAL,$2.79
 5500004,ARMBOARD ADULT 3X17.5 DISPOSABLE,$1.56
