BRYAN W. WHITFIELD MEMORIAL HOSPITAL,,
CHARGE MASTER,,
AS OF 01/01/2019,,
,,
,,
Chg Code,Description,Charge
321098830,SHOULDER ARTHROSCOPY DECOMPRES,"2,200.00 "
321098840,SHOULDER BANKHART,"13,000.00 "
321098850,HIP TOTAL ARTHROPLASTY,"11,000.00 "
321098860,MESH IMPLANTABLE,"1,500.00 "
321098870,BICEPS LONG HEAD RELEASE,"11,000.00 "
321098880,HIP BIPOLAR,"6,000.00 "
321098890,HIP MANIPULATION,"3,500.00 "
321098900,KYPHOPLASTY ADD ON,"5,000.00 "
321098910,LESION REMOVAL TRUNK/ARMS,"3,400.00 "
321098920,FINGER CR,600.00 
321098930,ANKLE ORIF LATERAL MELLEO,"12,000.00 "
321098940,ANKLE ARTHROSCOPY,"6,900.00 "
321098970,BACK LESION REMOVAL,"3,600.00 "
321098980,FINGER PERCUTANEOUS PINNI,"6,000.00 "
321098990,KNEE CAP CR,600.00 
321099000,KNEE ORIF,"12,000.00 "
321099020,ANKLE TENOSYNOVECTOMY,"7,700.00 "
321099030,MEDIPORT REMOVAL,"2,400.00 "
321099040,FOOT MASS REMOVAL,"5,000.00 "
321099060,WART REMOVAL,300.00 
321099070,KNEE ARTHROSCOPY/CONDROPLASTY,"1,500.00 "
321099080,LEG AMPUTATION AT THIGH,"1,900.00 "
321099090,DILATION AND EVACUATION,"4,100.00 "
321099110,FACE WOUND REPAIR,600.00 
321099120,MASTECTOMY GYNECOMASTIA,"6,200.00 "
321099130,EYE LESION REMOVAL,"3,600.00 "
321099140,CERUMEN REMOVAL,200.00 
321099150,BICEPS TENDON RELEASE/TENODESI,"11,300.00 "
321099160,KNEE ARTHROSCOPY W/LATERAL REL,"3,400.00 "
321099170,PAP SMEAR UNDER ANESTHESIA,"4,100.00 "
321099180,ANAL DILATION,"4,300.00 "
321099190,"WOUND REPAIR COMPLEX SCALP, AR",600.00 
321099200,KNEE ARTHROSCOPY/MENISECTOMY,"6,500.00 "
321099210,SHOU SCOPE/CAPSULOR/CHANDROPLA,"13,000.00 "
321099220,ANKLE JOINT REVISION,"9,400.00 "
321099230,ARM TENDON REVISION,"5,000.00 "
321099240,VAGINAL HEMORRHAGE NON/OB,"4,200.00 "
321099250,KNEE ARTHROSCOPY/SYNOVECTOMY,"6,500.00 "
321099260,ARM BONE PARTIAL REMOVAL,"7,700.00 "
321099270,COLON PARTIAL REMOVAL,"11,000.00 "
321099280,CV CATHETER TUNNELED REMOVAL,"1,700.00 "
321099290,FISTULECTOMY / FISTULOTOMY,"3,000.00 "
321099300,CERVICAL BIOPSY/LESION EXCISIO,"2,400.00 "
321099310,ADENOIDECTOMY,"12,000.00 "
321099320,ELBOW ARTHROSCOPY,"13,000.00 "
321099340,ORIF MEDIAL MELLEOULUS FX,"12,000.00 "
321099350,ORIF BIMALLEOLAR FX,"12,000.00 "
321099360,ORIF TRIMALLEOLAR FX,"12,000.00 "
321099370,OVARIAN CYST REMOVAL,"5,000.00 "
321099380,TEMPORAL ARTERY BX,"3,400.00 "
321099390,ORIF KNEE,"3,300.00 "
321099400,MYOMECTOMY LAPAROSCOPIC,"8,792.97 "
321099410,HAMMER TOE,"4,000.00 "
321099420,HYDROCELECTOMY,"5,200.00 "
321099430,HYSTEROSCOPY,"5,200.00 "
321099440,LYSIS ADHESION,"3,000.00 "
321099450,SALPINGECTOMY,"12,000.00 "
321099460,CYSTECTOMY LAPAROSCOPIC,"8,800.00 "
321099470,OOPHRECTOMY LAPAROSCOPIC,"11,000.00 "
321099480,ARTHOROPLASTY MULTIPLE TOE,"5,000.00 "
321099490,ORIF TIBIAL PLATEAU FX,"10,000.00 "
321099500,HERNIA STRANGULATED INCARCERAT,"7,800.00 "
321099510,HERNIA FEMORAL,"7,800.00 "
321099520,LIVER BIOPSY NEEDLE,"2,200.00 "
321099530,CAST REMOVAL,500.00 
321099540,"APPENDECTOMY, SECONDARY","1,500.00 "
321099550,AVETIENE 10mm ENDO,360.00 
321099560,AVETIENE 1.0 GRAM FLOUR,360.00 
321099570,TENDON REPAIR HAND,"5,000.00 "
321099580,SURGICEL 4X8 IN,104.00 
321099590,KNEE TOTAL REVISION,"15,000.00 "
321099600,CLOSED REDUCTION/PP ELBOW,"4,500.00 "
321099620,CLOSED REDUCTION/MANIP METACAR,600.00 
321099630,OSTOARTICULAR TRANSFER SYSTEM,"3,500.00 "
321099640,ANKLE ARTHRODESIS,"20,000.00 "
321099650,CALCANECTOMY,"5,000.00 "
321099651,CATARACT REPOSITION,"5,300.00 "
321099670,ARTHO WAND TURBO VAC 90,330.00 
321099680,LABIOPLASTY,"3,000.00 "
321099690,PTA WITH STENT,"24,000.00 "
321099700,PTA WITH BALLOON,"14,000.00 "
321099730,FEMUR IM ROD BILATERAL,"10,000.00 "
321099740,ORIF SCAPULA,"16,000.00 "
321099750,ARTERY MINOR REPAIR,"2,600.00 "
321099760,EPICONDYLECTOMY LATERAL/ELBOW,"6,000.00 "
321099790,VEIN ENDOVENOUS ABLATION,"6,500.00 "
321099800,VEIN ENDOVENOUS ABLATION-MULTI,"3,500.00 "
321099810,VEIN PHLEBECTOMY 10-20,"6,400.00 "
321099820,VEIN PHLEBECTOMY >20,"6,800.00 "
321099830,VEIN INJECTION SINGLE,700.00 
321099840,VEIN INJECTION MULTIPLE,600.00 
321099850,PACU 1ST 30 MINUTES,270.00 
321099860,PACU EACH ADD 15 MINUTES,180.00 
321099870,PHASE II 1ST 30 MINUTES,180.00 
321099880,PHASE II ADD 15 MINUTES,90.00 
321099891,PLANTAR FASCIATOMY,"5,000.00 "
321099892,CARDIOVERSION,"1,300.00 "
321099893,AICD PLACEMENT,"97,000.00 "
321099895,PTA WITH LASER,"24,000.00 "
321099896,PTA WITH LASER AND BALLOON,"27,000.00 "
321099897,PTA WITH BALLOON AND STENT,"27,000.00 "
321099898,PTA WITH LASER AND STENT,"24,000.00 "
321099899,"PTA WITH LASER, BALLOON, STENT","47,000.00 "
321099900,PTA,"8,700.00 "
321099901,URETER STENT CHANGE,"5,500.00 "
321099903,DISTAL CLAVICLE OPEN EXCISION,"16,000.00 "
321099904,UVULECTOMY,"3,600.00 "
321099905,NEUROMA LIMB EXCISION,"4,100.00 "
321099906,NEUROMA LIM EXCISION ADD ON,"4,000.00 "
321099907,MOHS PROCEDURE,"1,300.00 "
323000600,INT. REPAIR FACE 2.5CM OR <,600.00 
323003014,TELEHEALTH SITE ORIGINATION,65.00 
323005000,E/M CRIT. CARE 30-74MIN,"1,905.00 "
323005030,E/M BRIEF,167.00 
323005040,E/M INTER W/MOD,350.00 
323005050,E/M EXT. W/MOD,675.00 
323005060,FOREIGN BODY REM MUSC/TEN,"1,923.00 "
323005070,INCISION FOREIGN BODY SIM,825.00 
323005080,INCISION FOREIGN BODY COM,"3,440.00 "
323005100,AVULSION NAIL PLATE-SINGL,443.00 
323005110,EXCISION NAIL MATRIX,957.00 
323005120,INCISION & DRAIN ABCESS-SIMPLE,480.00 
323005160,INCISION & DRAIN ABCESS-COMP,480.00 
323005200,INCISION HEMATOMA-SIMPLE,"2,560.00 "
323005230,INCISION SUBUNGUAL HEMAT,183.00 
323005240,INCISION FINGER ABCESS F,"2,535.00 "
323005250,INCISION BARTHOLIN'S GLAN,380.00 
323005270,REMOVAL SKIN LESION,"3,440.00 "
323005290,FOREIGN BODY REMOVAL-NOSE,295.00 
323005320,NOSE HEMORR. ANTERIOR-SIM,253.00 
323005360,NOSE HEMORR. ANTERIOR-COM,253.00 
323005370,AUD CANAL FORE. BODY-NO A,161.00 
323005380,AUD. CANAL REMOVE CERUMEN,161.00 
323005400,EYE SURGICAL PROCEDURE,"1,800.00 "
323005410,REMOVE FOR BODY EYE-SUPER,350.00 
323005450,COMPLEX REPAIR TRUNK 1.1CM-2.5,"1,230.00 "
323005460,COMPLEX REPAIR TRUNK 2.6CM-7.5,"1,230.00 "
323005461,COMP REPAIR TRUNK EA ADD 1CM/<,845.00 
323005470,COMPLEX REPAIR SCALP 1.1CM-2.5,600.00 
323005510,COMPLEX REPAIR SCALP 2.6CM-7.5,"1,230.00 "
323005511,COMPLEX REPAIR SCALP EA ADD 5C,930.00 
323005570,E/M CODE BLUE,480.00 
323005590,COMP REPAIR FOREHEAD 1.1CM-2.5,600.00 
323005619,COMP. REPAIR FOREHEAD 1CM OR <,600.00 
323005620,COMP REPAIR FOREHEAD 2.6CM-7.5,"1,230.00 "
323005621,COMP REPAIR FOREHEAD EA ADD 5C,575.00 
323005640,COMPLEX REPAIR EYE 1.0CM OR <,600.00 
323005650,COMPLEX REPAIR EYE 1.1CM-2.5CM,"1,230.00 "
323005720,COMPLEX REPAIR EYE 2.6CM-7.5CM,"1,230.00 "
323005721,COMPLEX REPAIR EYE EA ADD. 5CM,800.00 
323005730,REPAIR TONGUE 2.5CM OR <,255.00 
323005731,EXPL OR PENETRATING WOUND/CHES,"4,115.00 "
323005732,EXPL OF PENETRATING WOUND/NECK,"1,635.00 "
323005733,EXPL PENETRATING WOUND ABD/FLA,"4,115.00 "
323005734,EXPL PENETRATING WOUND EXTREMI,"2,535.00 "
323005735,INCISION SIMPLE FINGER ABCESS,480.00 
323005736,NOSE HEMORRAGE POSTERIOR,255.00 
323005737,"THERAPUTIC INJ LOCAL ANES,CORT",607.00 
323005738,TRIGGER PT INJ,610.00 
323005760,INT. REPAIR SCALP 2.5CM OR >,600.00 
323005800,INT. REPAIR SCALP 2.6CM-7.5CM,600.00 
323005840,CRYOSURGERY,252.00 
323005880,COLLECTION FEE URINE DRUG,25.00 
323005890,INT. REPAIRSCALP 7.6C -12.5CM,600.00 
323005910,INT. REPAIR SCALP 12.6CM-20CM,"1,230.00 "
323005920,INT. REPAIR SCALP 20.1CM-30CM,"1,230.00 "
323005940,INT. REPAIR SCALP > 30.0 CM,"1,500.00 "
323005945,INT. REPAIR-NECK 2.5CM OR <,600.00 
323005950,INT. REPAIR NECK 2.6CM-7.5CM,600.00 
323005960,INT. REPAIR NECK 7.6CM-12.5CM,600.00 
323005970,INT. REPAIR NECK 12.6CM-20.0CM,600.00 
323005990,INT. REPAIR NECK 30.0 CM OR >,"1,500.00 "
323006000,INT. REPAIR FACE 2.5CM OR >,600.00 
323006010,INT. REPAIR FACE 2.6CM-5.0CM,600.00 
323006020,INT. REPAIR FACE 5.1CM-7.5CM,600.00 
323006030,INT. REPAIR FACE 7.6CM-12.5CM,600.00 
323006040,INT. REPAIR FACE 12.6CM-20.0CM,600.00 
323006050,INT. REPAIR FACE 20.1CM-30CM,600.00 
323006070,SIMPLE REPAIR 2.5CM OR <,255.00 
323006075,INT. REPAIR NECK 20.1CM-30.0CM,600.00 
323006080,SIMPLE REPAIR 2.6CM - 7.5CM,255.00 
323006090,SIMPLE REPAIR 7.6CM - 12.5CM,255.00 
323006100,SIMPLE REPAIR 12.6CM - 20CM,255.00 
323006110,SIMPLE REPAIR 20.1CM - 30CM,600.00 
323006120,SIMPLE REPAIR 30CM OR >,255.00 
323006130,SIMPLE SUTURES 2.5CM OR <,255.00 
323006140,SIMPLE SUTURES 2.6CM - 5.0 CM,255.00 
323006150,SIMPLE SUTURES 5.1 CM - 7.5CM,242.00 
323006160,SIMPLE SUTURES 7.6CM - 12.5CM,255.00 
323006170,SIMPLE SUTURES 12.6CM - 20CM,255.00 
323006180,SIMPLE SUTURES 20.1CM - 30CM,255.00 
323006190,SIMPLE SUTURES 30CM OR >,255.00 
323006200,SPLINT-LONG ARM,300.00 
323006210,SPLINT-SHORT ARM,300.00 
323006220,SPLINT/CAST LONG LEG,300.00 
