Procedure Number,Description,Standard Charge
109263,HC SUPPLY ORTHO/SPINAL SURGERY,"$1,470.36 "
109265,HC SUPPLY SPECIALTY DRESSING,$412.36 
109267,HC SUPPLY STAPLER/STAPLES/CLIP,$537.89 
109269,HC SUPPLY SUCTION,"$2,765.28 "
109273,HC SUPPLY THERMOREG,"$3,363.01 "
109277,HC SUPPLY TUBE/TUBING SPECIALTY,"$1,439.95 "
109279,HC SUPPLY UROLOGIC,"$1,579.13 "
109281,HC SUPPLY VASCULAR SURG,$861.60 
109283,HC SUPPLY VASCULAR SURG EMBOL,"$3,633.17 "
109293,HC CERVICAL COLLAR FLEX NONADJUST,$74.02 
109295,HC CERVICAL COLLAR SEMI-RIGID ADJ,$137.14 
109297,HC CERVICAL SEMI-RIGID ADJ CHIN,$224.87 
109301,HC C COLLAR SEMI-RIGID FOAM,$108.03 
109303,HC C COLLAR SEMI-RIGID FOAM W EXT,$936.88 
109309,HC CERV MULTI POST ADJ BARS W EXT,$638.91 
109315,HC PREFAB UPPR THORACIC TLSO,$576.76 
109317,HC TLSO TO SCAPULAR SPINE PREFAB,"$1,062.99 "
109319,HC TLSO SCAPULAR SPINE PREFAB OTS,"$1,097.55 "
109325,HC TLSO W/4 PLASTIC SHELLS PREFAB,"$1,640.32 "
109327,HC TLSO TRIPLANAR CNTRL HYPEREXT,$739.04 
109331,HC THORC LUMBOSACRAL ORTHOTIC 2PC,"$3,954.57 "
109359,HC LSO SAG-CORONAL PANEL PREFAB,"$1,144.54 "
109373,HC LSO SAG R AN/POS PNL PRE OTS,"$1,135.14 "
109377,HC LSO SAG-CORON PANEL PREFAB OTS,"$2,871.41 "
109385,HC HALO ADD MRI COMPATIBLE SYSTEM,"$3,380.15 "
109389,HC PROTECTIVE BODY SOCK,"$2,156.27 "
109407,HC KO ELASTIC W JOINTS PF,$210.11 
109411,HC KO PLAYMAKER HINGED BRACE,$295.08 
109413,HC KO IMMOBILIZER,$39.75 
109415,HC KO ADJUSTABLE KNEE JOINTS,$274.40 
109423,HC KO W/ADJ FLEX/EXT ROTAT PREFAB,$965.57 
109431,HC AFO ANKLE SUPPORT PF OTS,$333.68 
109437,HC AFO OFF THE SHELF,$546.46 
109439,HC AFO RIGID ANT TIB PREFAB TCF,"$1,103.54 "
109445,HC AFO SPIRAL PREFABRICATED,"$1,038.61 "
109453,HC KAFO PLAS DOUBLE FREE KNEE MOL,"$1,918.53 "
109459,HC AFO TIBIAL FX SEMI-RIGID PF,"$1,069.59 "
109477,HC AFO ADDITION LTD ANKLE MOTION,$72.51 
109481,HC ADD DORSIFLEX PLANT FLEX EA JT,$193.92 
109487,HC ADD AFO VARGUS VALGUS STRP PAD,$107.79 
109511,HC KNEE JOINT LIFT LOOP EA JNT,$115.58 
109533,HC LE ADD EXTENSION PER BAR,$92.66 
109547,HC TIB LENGTH SOCK FX/EQUAL EA,$49.97 
109549,HC ADD LE ORTH FEM LGTH SOCK,$90.93 
109551,HC LOWER EXTREMITY ORTHOSIS NOS,$407.92 
109555,HC FOOT INSERT FORM,$141.31 
109565,"HC SURGICAL BOOT/SHOE, EA",$29.14 
109567,HC PLASTAZOTE SANDAL,$13.34 
109579,HC SO FIG 8 ABDUCT RESTRA PF OTS,$15.35 
109581,HC SO FIG 8 ABD CANV/WEB PF OTS,$24.06 
109583,HC SO ACROMIO/CLAVICULAR PF OTS,$107.99 
109587,HC SO VEST ABDUCT RESTRAIN PF OTS,$341.20 
109589,HC EO W/O JOINTS CUSTOM,$591.27 
109599,HC EO ADJUST LOCKING JOINTS PF,$562.86 
109611,HC WHFO W/O JOINTS PF CST,$435.42 
109621,HC WHFO W/O JOINTS PF OTS,$562.79 
109627,HC WHO W/O JOINTS CF,$795.23 
109631,HC WHO WRIST EXT COCK-UP PF OTS,$67.06 
109635,HC HFO W/O JOINTS CUSTOM,$554.59 
109643,HC HO W/O JOINTS CUSTOM,$554.59 
109649,HC HFO SPREADING HAND PF,$166.81 
109661,HC HFO NONTORSION JOINT PREFAB,$95.90 
109675,HC WHFO WRIST EXTENS W/OUTRIG,$235.92 
109679,HC FO W/JOINT CUSTOM,$271.47 
109683,HC FX ORTHOSIS HUMERAL PF,$336.56 
109687,HC FX ORTHOSIS WRIST PF,$805.38 
109697,HC ANKLE BRACE AIRCAST OTS,$27.82 
109699,HC ORTHO PNEUMATIC WALKER,$462.39 
109701,HC ORTHO PNEUMATIC WALKER OTS,$683.53 
109705,HC NON PNEUMATIC WALKING SPLINT,$297.59 
109707,HC NON PNEUMATIC WALK SPLINT OTS,$313.29 
109709,HC MULTI PODUS BOOT,$370.78 
109711,HC MULTI PODUS BOOT OTS,$267.07 
109737,HC LE ADD BELOW KNEE TOTAL CONTCT,$352.03 
109743,HC LE ADD BK MOLDED DISTL CUSHION,$123.06 
109767,HC SEMI-RIGID REMOVABLE DRESSING,"$2,226.41 "
109771,HC BREAST PROSTH EXT W/MAST FORM,$61.19 
109773,HC MASTECTOMY FORM,$292.59 
109779,HC PROSTHETIC SOCK MULTI PLY BK,$23.71 
109793,HC VOICE PROSTHESIS,$246.16 
109795,HC IMPLANT GU BULKING AGENT INJ,"$8,846.27 "
109799,HC EXTERNAL RECHARG SYS INTERN,"$5,890.50 "
109805,HC FDA IDE G130138,"$10,071.84 "
109807,HC IMPLANT PACER DUAL NRR,"$19,659.65 "
109809,HC IMPLANT PACER DUAL RR,"$21,350.02 "
109813,HC IMPLANT PACER SINGLE NRR,"$15,822.40 "
109815,HC IMPLANT PACER SINGLE RR,"$20,880.44 "
109817,HC IMPLANT EYE IOL ASTIG CORR FCT,$605.68 
109819,HC IMPLANT EYE IOL PRESB CORR FCT,$605.68 
109831,HC BRACHY SRC NONST I-125>1.01MCI,"$1,093.60 "
109839,HC BRACHYTX SRC NONST I-125,"$1,093.60 "
109845,HC BRACHYTX SRC NONSTR YTTRIUM-90,"$74,880.00 "
109855,HC BRACHYTX SRCE NONST HDR IR-192,"$1,648.81 "
109859,HC IMPLANT BREAST PROSTH,"$8,423.49 "
109863,HC NEURAGEN NERVE PER CM LENGTH,"$13,485.73 "
109869,HC CATH HEMODIAL LONG TERM,"$2,687.17 "
109871,HC IMPLANT AICD DUAL,"$56,992.00 "
109873,HC IMPLANT AICD OTHER,"$92,200.59 "
109875,HC IMPLANT AICD SINGLE,"$53,297.02 "
109877,HC IMPLANT ALGRFT,"$23,775.45 "
109879,HC IMPLANT ALGRFT HUMAN,"$5,943.62 "
109881,HC IMPLANT ALGRFT NON-HUMAN,"$4,673.34 "
109883,HC IMPLANT BARRIER ADHESION,"$3,669.19 "
109885,HC IMPLANT BONE ANCHOR/SCREW,"$1,853.27 "
109887,HC IMPLANT BONE CEMENT/PLUG,"$5,028.84 "
109889,HC IMPLANT BONE INT FIXATION,"$1,687.33 "
109895,HC IMPLANT CARDIAC EVENT REC,"$33,090.98 "
109899,HC IMPLANT CLOSURE DEVICE,"$1,040.84 "
109901,HC IMPLANT ENT/PLAST,$502.03 
109917,HC IMPLANT GENERAL/BARIATRIC,"$1,147.47 "
109919,HC IMPLANT GU,"$8,028.75 "
109923,HC IMPLANT GU INCONT N-SLING,"$1,442.90 "
109925,HC IMPLANT GU INCONT W-SLING,"$6,505.95 "
109931,HC IMPLANT GU SYNTHETIC INJ,"$1,801.80 "
109933,HC IMPLANT GU URINARY SPHNCHTR,"$34,257.54 "
109937,HC IMPLANT INFUS PUMP PRO,"$71,240.00 "
109941,HC IMPLANT INTERSPINOUS,"$15,821.47 "
109943,HC IMPLANT JOINT,"$10,168.62 "
109945,HC IMPLANT LEAD,"$4,167.54 "
109949,HC IMPLANT LEAD AICD OTHER,"$31,659.06 "
109951,HC IMPLANT LEAD AICD SINGLE,"$21,372.00 "
109953,HC IMPLANT LEAD EXT PACE/NEURO,"$2,289.78 "
109955,HC IMPLANT LEAD LEFT VENT CVS,"$8,705.53 "
109957,HC IMPLANT LEAD NEUROSTIM,"$18,572.86 "
109959,HC IMPLANT LEAD NEUROSTIM TEST,"$24,804.00 "
109963,HC IMPLANT LEAD PACER OTHER,"$2,484.00 "
109967,HC IMPLANT MESH,"$4,137.44 "
109969,HC IMPLANT NEURO,"$11,405.44 "
109971,HC IMPLANT NEUROSTIM GENERATOR,"$89,367.12 "
109973,HC IMPLANT NEUROSTM GEN RECHRG,"$123,245.20 "
109975,HC IMPLANT PORT INDWELLING,"$2,017.98 "
109983,HC IMPLANT SHUNT,"$4,217.41 "
109985,HC IMPLANT SPINAL,"$4,062.04 "
109989,HC IMPLANT STENT COV W-DELIV,"$7,374.67 "
109991,HC IMPLANT STENT N-COV N-DELIV,"$6,304.74 "
109993,HC IMPLANT STENT N-COV W-DELIV,"$6,717.60 "
109995,HC IMPLANT STENT TEMP N-DELIV,$676.84 
109997,HC IMPLANT STENT TEMP W-DELIV,"$1,639.40 "
109999,HC IMPLANT TISSUE MARKER,$452.80 
110001,HC IMPLANT VASCULAR,"$5,922.87 "
110003,HC IMPLANT VASCULAR GRAFT,$104.01 
110007,HC IMPLANT VASCULAR VC FILTER,"$10,300.12 "
110051,HC FDA IDE G100053,"$10,088.04 "
110053,HC FDA IDE G110217 GEN,"$18,503.21 "
110055,HC FDA IDE G110217 LEAD,"$7,195.69 "
110057,HC FDA IDE G110228 STENT,"$7,584.99 "
110063,HC SNF PPS,$0.00 
110065,HC CMG,$0.00 
110067,HC REGULAR ROOM AND CARE,"$2,145.51 "
110071,HC OB ROOM AND CARE,"$2,723.14 "
110073,HC PEDIATRIC ROOM AND CARE,"$2,668.67 "
110075,HC PSYCHIATRIC ROOM AND CARE,"$2,995.48 "
110077,HC HOSPICE ROOM AND CARE,"$1,597.58 "
110079,HC MEDICAL DETOX ROOM AND CARE,"$3,086.26 "
110081,HC REHAB ROOM AND CARE,"$2,178.55 "
110085,HC BOARDER BABY ROOM AND CARE,"$1,872.49 "
110087,HC NURSERY ROOM AND CARE LVL I,"$1,724.66 "
110089,HC NURSERY ROOM AND CARE LVL II,"$4,538.57 "
110091,HC NURSERY ROOM AND CARE LVL III,"$4,992.45 "
110093,HC NURSERY ROOM AND CARE LVL IV,"$6,081.69 "
110095,HC CCU ROOM AND CARE,"$6,626.34 "
110097,HC ICU ROOM AND CARE,"$6,626.34 "
110099,HC PEDIATRIC ICU ROOM AND CARE,"$5,173.98 "
110101,HC INTERMEDIATE ROOM AND CARE,"$3,358.54 "
110103,HC IV INFUSION HYDRATION 31MIN-1H,$238.61 
110105,HC IV INFUSION HYDRATION ADDL HR,$231.21 
110107,HC IV INFUSION NON-CHEMO INIT HR,$510.53 
110109,HC IV INFUSION NON-CHEMO ADDL HR,$388.43 
110111,HC IV INFUSION SEQUENTIAL TO 1HR,$462.44 
110113,HC IV INFUSION CONCURRENT,$418.02 
110115,HC IV PUSH SINGLE OR INITIAL DRUG,$281.42 
110117,HC IV PUSH SEQUENTIAL NEW DRUG,$240.47 
110119,HC IV PUSH SEQ SAME DRUG >30 MIN,$236.78 
110121,HC REFILL & MAINT PORTABLE PUMP,$634.54 
110123,HC IV INF PROLONGED >8H REQ PUMP,$465.96 
110125,HC REFILL & MAINT PORTABLE PUMP,$610.28 
110127,HC VENIPUNCTURE,$37.91 
110129,HC BLOOD DRAW FROM IMPLANTED PORT,$350.73 
110131,HC BLOOD DRAW FROM CVC/PICC,$374.92 
110133,HC CAFFEINE QUANT,$49.87 
110135,HC CLOZAPINE QUANT,$37.23 
110137,HC EVEROLIMUS QUANT,$313.27 
110141,HC LAMOTRIGINE QUANT,$25.34 
110143,HC LEVETIRACETAM QUANT,$161.31 
110147,HC OXCARBAZEPIN QUANT,$126.26 
110153,HC CFTR GENE ANALYSIS,$134.35 
110163,HC FLT3 GENE,$477.68 
110165,"HC B CELL GENE REARRANGEMENT, PCR","$1,908.68 "
110169,HC KRAS GENE,$627.81 
110171,HC MSH6 GENE FULL SEQ,"$1,088.81 "
110173,HC MSH6 GENE DUP/DELETE VARIANT,"$1,088.81 "
110177,HC NPM1 GENE,$306.60 
110183,"HC T CELL GENE REARRANGEMENT, PCR","$1,903.98 "
110187,HC HLA II TYPING 1 LOC HR,$209.33 
110191,HC MOPATH PROCEDURE LEVEL 1,$179.65 
110193,HC MOPATH PROCEDURE LEVEL 5,$431.61 
110197,HC BCL-2  TRANSLOCATION BY PCR,$467.88 
110205,"HC GASTRIC ACID ANALYSIS ,EA SPEC",$69.29 
110207,HC FETAL LUNG - LB DENSITY,$202.01 
110211,HC PROCALCITONIN (PCT),$264.73 
110215,HC CLOTTING FUNCT ACTIVITY,$169.89 
110217,HC HEPARIN-PROTAMINE,$129.96 
110219,HC ALLERG SP IGG QUAN OR SEMIQUAN,$117.63 
110221,HC BETA 2 GLYCOPROTEIN 1 AB EA,$157.65 
110223,HC CELL FUNCTION ASSAY WITH STIM,$309.57 
110233,HC ANTIBODY SCREEN RBC EACH,$538.17 
110235,HC RBC ANTIBODY ELUTION EACH,$862.15 
110237,HC RBC AB IDENTIFICATION EA PANEL,"$1,462.65 "
110239,HC COOMBS DIRECT EACH ANTISERUM,$92.98 
110241,HC INDIRECT COOMBS QUAL,$128.45 
110243,HC INDIRECT COOMBS ANTIBODY TITER,$120.20 
110245,HC AUTOLOG BLD COLLECT/PROC/STORE,"$1,410.37 "
110247,HC BLOOD TYPING ABO,$120.42 
110249,HC BLOOD TYPING RH(D),$90.88 
110251,HC BLD TYPING AG DONOR EA AG TEST,$229.28 
110253,HC BLOOD TYPING RBC AG ON PT EA,$229.28 
110255,HC COMPATIBILITY IMM SPIN EA UNIT,$885.19 
110257,HC COMPATIBILITY TEST ANTIGLOBULI,$885.19 
110259,"HC COMPATIBILITY TEST, ELECTRIC",$885.19 
110261,HC FRESH FROZEN PLASMA THAW EA UN,"$1,462.65 "
110263,HC BLOOD FROZEN THAW,"$1,410.37 "
110265,HC BLOOD PRODUCT IRRAD EA UNIT,$518.60 
110267,HC BLOOD POOLING,$853.55 
110269,HC RBC AB ID PRETREAT CHEM AGT,$206.49 
110271,HC RBC ANTIBODY NEUTRILIZATION EA,$375.29 
110273,HC RBC AB ID W ABSORPTION EA,$538.17 
110275,HC PLATELET RICH PLASMA THERAPY,$518.94 
110281,HC INFLUENZA DNA AMP PRB >2 TYPES,$204.72 
110283,HC HPV LOW-RISK TYPES,$321.69 
110287,HC TRICHOMONAS VAGINALIS TMA,$323.97 
110293,HC CELL COUNT NOT BLOOD,$40.41 
110295,HC CELL COUNT BODY FLUID W DIFF,$228.40 
110297,HC FECAL LEUKOCYTES QUAL,$43.49 
110299,"HC CRYSTALS ID BODY FLUID, TISSUE",$185.65 
110301,HC FAT STAIN,$80.03 
110303,HC EOSINOPHIL NASAL SMEAR,$92.83 
110307,HC SEMEN ANALYSIS POST COITAL,$90.24 
110309,HC SEMEN ANALYSIS COMPLETE,$121.96 
110311,HC SEMEN ANAL PRESENCE/MOTILIY,$121.96 
110317,HC SPECIMEN HANDLING,$42.05 
110325,HC DRUG SUBSTANCE NOS 80375,$217.52 
110329,HC DIHYDROTESTOSTERONE 80327,$161.31 
110333,HC INSERT CATH FOR SPECIMEN COL,$275.91 
110335,HC METABOLIC PANEL IONIZED CA,$58.76 
110337,HC BASIC METABOLIC PANEL,$179.79 
110339,HC GENERAL HEALTH PANEL,$261.29 
110341,HC ELECTROLYTE PANEL,$261.26 
110343,HC COMPREHENSIVE METABOLIC PANEL,$198.05 
110345,HC OBSTETRIC PANEL,$460.17 
110347,HC LIPID PANEL,$346.93 
110349,HC RENAL FUNCTION PANEL,$224.74 
110351,HC ACUTE HEPATITIS PANEL,$485.34 
110353,HC HEPATIC FUNCTION PANEL,$178.37 
110361,HC DRUG CONFIRMATION EA PROC,$132.17 
110363,HC AMIKACIN ASSAY,$406.97 
110369,HC CARBAMAZEPINE ASSAY,$148.38 
110371,HC CYCLOSPORINE ASSAY,$293.56 
110373,HC DESIPRAMINE ASSAY,$171.74 
110375,HC DIGOXIN ASSAY,$158.72 
110377,HC VALPROIC ACID ASSAY,$146.08 
110379,HC ETHOSUXIMIDE ASSAY,$165.42 
110381,HC GENTAMYCIN ASSAY,$317.46 
110383,HC IMIPRAMINE ASSAY,$165.89 
110385,HC LIDOCAINE ASSAY,$144.35 
110387,HC LITHIUM ASSAY,$156.25 
110389,HC NORTRIPTYLINE ASSAY,$218.87 
110391,HC PHENOBARBITAL ASSAY,$377.84 
110393,HC PHENYTOIN (DILANTIN) ASSAY,$303.39 
110395,HC PHENYTOIN FREE ASSAY,$198.27 
110397,HC PRIMIDONE ASSAY,$167.97 
110399,HC QUINIDINE ASSAY,$147.75 
110401,HC SIROLIMUS ASSAY,$134.86 
110405,HC TACROLIMUS(PROGRAFFK506) ASSAY,$536.56 
110407,HC THEOPHYLLINE ASSAY,$158.72 
110409,HC TOBRAMYCIN ASSAY,$210.83 
110411,HC TOPIRAMATE ASSAY,$122.95 
110413,HC VANCOMYCIN ASSAY,$200.85 
110415,HC AMIODARONE ASSAY,$134.53 
110417,HC METHOTREXATE ASSAY,$139.29 
110419,"HC QUANTATIVE DRUG LEVEL, SENDOUT",$245.43 
110421,"HC QUANTITATION, DRUG NOT SPECIF",$126.45 
110423,HC ACTH STIMULATION PANEL,$314.28 
110427,HC URINALYSIS NONAUTO W/O SCOPE,$57.36 
110429,HC BCR/ABL1 GENE MAJOR BP,"$1,561.20 "
110431,HC BCR/ABL1 GENE MINOR BP,"$1,329.74 "
110433,HC F2 GENE ANALYSIS,$468.52 
110435,HC F5 GENE ANALYSIS,$581.86 
110437,HC FMR1 GENE DETECTION,$280.30 
110439,HC FMR1 GENE CHARACTERIZATION,$266.95 
110441,HC HFE GENE,$622.35 
110443,HC JAK2 GENE,$841.64 
110445,HC MTHFR GENE ANALYSIS,$400.76 
110447,HC HLA II TYPING 1 LOCUS LR,$206.86 
110449,HC MOPATH PROCEDURE LEVEL 2,$144.24 
110453,HC FTL CGEN ABNOR FOUR ANAL,$66.04 
110457,HC ACETONE SERUM QUAL,$45.72 
110459,HC KETONES SERUM QUANT,$175.58 
110463,HC ACTH,$398.54 
110465,"HC ALBUMIN SERUM,PLASMA,WB",$80.22 
110467,HC ALBUMIN QUAN URINE OR OTHER,$67.34 
110469,HC MICROALBUMIN QUAN,$147.85 
110473,HC BREATH ALCOHOL TEST,$121.96 
110475,HC ALDOSTERONE BLOOD,$490.53 
110477,HC ALDOSTERONE URINE,$497.49 
110479,HC ALPHA-1-ANTITRYPSIN TOTAL,$186.39 
110481,HC ALPHA-1-ANTITRYPSIN PHENO,$147.08 
110483,HC ALPHA-FETOPROTEIN SERUM,$170.93 
110485,HC ALPHA-FETOPROTEIN AMNIOTIC,$169.81 
110487,HC AFP AFP-L3 FRACT & TOTAL,$651.94 
110489,HC ALUMINUM ASSAY,$244.00 
110491,HC AMINO ACIDS SINGLE QUAN EACH,$323.02 
110493,HC AMINOLEVULINIC ACID DELTA,$407.27 
110495,HC AMINO ACIDS 6 OR MORE QUAN,$801.76 
110497,HC AMMONIA ASSAY,$223.33 
110499,HC AMPHETAMINES QUAN,$157.37 
110501,HC AMYLASE BLOOD,$221.93 
110503,HC AMYLASE OTHER SOURCE,$254.56 
110507,HC ANDROSTENEDIONE ASSAY,$328.50 
110509,HC ANGIOTENSIN I CONVERT EYNZME,$274.81 
110511,HC APOLIPOPROTEIN ASSAY EACH,$157.60 
110513,HC ARSENIC ASSAY,$195.74 
110515,HC ASCORBIC ACID BLOOD,$213.63 
110519,HC BETA 2 MICROGLOBULIN,$193.72 
110521,HC BILE ACIDS TOTAL,$85.36 
110523,HC BILIRUBIN TOTAL,$67.42 
110525,HC BILIRUBIN DIRECT,$51.16 
110527,HC BIOTINIDASE ASSAY (CDH),$152.78 
110529,HC OCCULT BLOOD FECES CONSEC SPEC,$6.97 
110531,HC OCCULT BLOOD SCREEN,$36.65 
110533,HC OCCULT BLOOD OTHER SOURCES,$32.94 
110535,HC OCCULT BLOOD FECES QUAL 1-3 DX,$33.16 
110537,HC HEMOCCULT ICT,$161.31 
110539,HC CADMIUM ASSAY,$225.26 
110541,HC VITAMIN D 25 HYDROXY,$279.18 
110543,HC CALCITONIN ASSAY,$276.29 
110545,HC CALCIUM TOTAL,$134.84 
110547,HC CALCIUM IONIZED,$193.84 
110549,HC CALCIUM URINE QUAN TIMED,$202.79 
110551,HC CALCULUS ANALYSIS CHEM QUAN,$156.64 
110553,HC CALCULUS INFRARED SPECT,$133.06 
110555,HC CARBOHYDRATE DEFICIENT ASSAY,$178.16 
110557,HC CARBON DIOXIDE CO2,$88.52 
110559,HC CARBOXYHEMOGLOBIN QUANT,$164.16 
110561,HC CEA,$193.33 
110563,HC CARNITINE TOTAL & FREE QUAN,$503.28 
110565,HC CAROTENE,$90.88 
110567,HC CATECHOLAMINES BLOOD,$239.72 
110569,HC CATECHOLAMINE FRACT URINE,$288.58 
110571,HC CERULOPLASMIN,$221.68 
110573,HC CHEMILUMINESCENT ASSAY,$83.38 
110575,HC CHLORIDE BLOOD,$49.70 
110577,HC CHLORIDE URINE,$155.92 
110579,HC CHLORIDE OTHER SOURCE,$81.47 
110583,HC CHOLESTEROL TOTAL,$77.51 
110585,HC CHOLINESTERASE SERUM,$80.20 
110587,HC CHOLINESTERASE RBC,$73.58 
110595,HC CHROMIUM ASSAY,$205.28 
110597,HC CITRATE ASSAY,$281.45 
110599,HC COLLAGEN CROSS LINKS ANY METHO,$178.99 
110601,HC COPPER ASSAY,$122.48 
110603,HC CORTICOSTERONE ASSAY,$227.81 
110605,HC CORTISOL FREE,$160.05 
110607,HC CORTISOL TOTAL,$166.19 
110611,HC COLUMN CHROM MASS SPEC QUAN,$161.31 
110615,HC CREATINE KINASE (CK) TOTAL,$67.42 
110617,HC CPK ISOENZYMES,$136.51 
110619,HC CK MB,$135.37 
110621,HC CREATININE BLOOD,$67.42 
110623,HC CREATININE OTHER SOURCE,$132.21 
110625,HC CREATININE CLEARANCE,$231.76 
110627,HC CRYOFIBRINOGEN ASSAY,$71.73 
110629,HC CRYOGLOBULIN QUAL,$161.81 
110631,HC CYANIDE ASSAY,$200.19 
110633,HC VITAMIN B-12 ASSAY,$153.62 
110635,HC VIT B12 BINDING CAPACITY,$142.91 
110637,HC CYSTATIN C,$57.39 
110639,HC DHEA,$284.13 
110641,HC DHEA SULFATE,$397.40 
110643,HC DIBUCAINE NUMBER,$120.89 
110645,HC DIHYDROTESTOSTERONE (DHT),$211.85 
110647,HC VITAMIN D 1-25 DIHYDROXY,$505.22 
110649,HC PANCREATIC ELASTAS FECAL,$161.31 
110651,HC ENZYME ACTIVITY NOT ELSE SPEC,$186.33 
110653,HC ELECTROPHORESIS TECHNIQUE NOS,$329.08 
110655,HC ERYTHROPOEITIN ASSAY,$193.97 
110657,HC ESTRADIOL,$284.75 
110659,HC ESTROGENS FRACTIONATED,$326.89 
110663,HC ESTRIOL,$244.77 
110665,HC ESTRONE ASSAY,$257.57 
110667,HC ETHYLENE GLYCOL ASSAY,$261.49 
110669,HC FECAL FAT QUAL,$51.51 
110671,HC FECAL FAT QUAN,$52.37 
110673,HC FAT DIFFERENTIAL FECAL QUAN,$133.13 
110675,HC FATTY ACIDS NONESTERIFIED,$134.75 
110677,HC FATTY ACIDS VERY LONG CHAIN,$182.74 
110679,HC FERRITIN ASSAY,$138.82 
110681,HC FETAL FIBRONECTIN,$761.68 
110683,HC FOLIC ACID SERUM,$149.85 
110685,HC FOLIC ACID RBC,$203.02 
110687,HC GALACTOSE ASSAY,$113.35 
110689,HC GALACTOSEMIA QUAL (CDH),$10.04 
110691,HC GAMMAGLOBULIN EACH,$58.03 
110693,HC IMMUNOGLOBULIN A,$83.68 
110695,HC IMMUNOGLOBULIN G,$83.68 
110697,HC IMMUNOGLOBULIN M,$83.68 
110699,HC GAMMAGLOBULIN IGE,$167.86 
110701,HC IGG SUBCLASSES EACH,$236.05 
110703,HC PH BLOOD,$115.45 
110705,HC GASES BLOOD W CALC O2 SAT,$242.99 
110707,HC BLOOD GAS COMB WITH O2,$321.95 
110709,"HC BLOOD GAS O2 SAT ONLY, DIRECT",$129.78 
110711,HC GASTRIN,$422.43 
110713,HC GLUCAGON ASSAY,$136.84 
110715,HC GLUCOSE OTHER SOURCE,$98.86 
110717,HC GLUCOSE BLOOD QUAN,$110.96 
