No.,General Description,Charge
23300002,HC CAVHD/CVVHD PER DAY,5444.00
23300004,HC BRONCHOSCOPY,1212.00
23300005,HC CRYROSURGERY/LASER EYE,1212.00
23300006,HC INSERTION OF CHEST TUBE,604.00
23300007,HC INSRT VENT DRAIN/INTRCRN BOLT,1212.00
23300008,HC LUMBAR PUNCTURE,604.00
23300010,HC PICC LINE INSERT 5 YRS & OLDER,702.00
23300011,HC INSERT NON TUNNEL CV CATH<5 YRS,730.00
23300012,HC REMOVE TNL CV CATH,2870.00
23300013,HC CAVH/CVVH PER DAY,4839.00
23400000,HC CNTRL LINE REWIRE-SAME ACCESS,730.00
23400001,HC INSERTION OF CHEST TUBE,628.00
26000001,"HC HYDRATION IV INFUSION, INIT",914.00
26000002,"HC HYDRATE IV INFUSION, ADD-ON",223.00
26000003,"HC THER/PROPH/DIAG IV INF, INIT",905.00
26000004,HC THER/PROPH/DIAG IV INF ADDON,475.00
26000005,HC TX/PROPH/DG ADDL SEQ IV INF,399.00
26000006,HC THER/DIAG CONCURRENT INF,200.00
26000007,"HC THER/PROPH/DIAG INJ, SC/IM",200.00
26000008,"HC THER/PROPH/DIAG INJ, IV PUSH",667.00
26000009,HC TX/PRO/DX INJ NEW DRUG ADDON,457.00
26000010,HC TX/PRO/DX INJ SAME DRUG ADDON,396.00
26000011,"HC REFILL/MAINT, PORTABLE PUMP",914.00
26000012,HC IRRIG DRUG DELIVERY DEVICE,261.00
26000013,HC TX/DX/PROPHY/INTRA-ART INJ,170.00
26000014,"HC SC THER INFUSION, UP TO 1 HR",914.00
26000015,"HC SC THER INFUSION, EA ADDL HR",475.00
26000016,"HC HYDRATION IV INFUSION, INIT",914.00
26000017,"HC HYDRATE IV INFUSION, ADD-ON",223.00
26000018,"HC THER/PROPH/DIAG IV INF, INIT",905.00
26000019,HC THER/PROPH/DIAG IV INF ADDON,475.00
26000020,HC TX/PROPH/DG ADDL SEQ IV INF,399.00
26000021,"HC THER/PROPH/DIAG INJ, SC/IM",200.00
26000022,"HC THER/PROPH/DIAG INJ, IV PUSH",667.00
26000023,HC TX/PRO/DX INJ NEW DRUG ADDON,457.00
26000024,HC TX/PRO/DX INJ SAME DRUG ADDON,396.00
26000025,HC IRRIG DRUG DELIVERY DEVICE,261.00
26000026,"HC SC THER INFUSION, UP TO 1 HR",914.00
26000027,"HC SC THER INFUSION, EA ADDL HR",475.00
26000028,HC APPL ON-BODY INJECTOR FOR TIMED SUBQ INJ,305.00
27000002,HC SUTURE REMOVAL TRAY,40.00
27000003,"HC ELBOW, TENNIS, SUPPORT,",69.00
27000004,"HC ELBOW, TENNIS, SUPPORT,",50.00
27000005,HC WRIST SPLINT/NIGHT-TIMER,55.00
27000006,"HC THUMB SUPPORT, WRAP ON",81.00
27000007,HC COLD PACK/HOT PACK,40.00
27000008,HC ACE WRAP 3,13.00
27000009,HC ELBOW SUPPORT,157.00
27000010,HC HM RNGR 93 SHLDR PULY MDL 270,33.00
27000011,HC SI BELTS MEDIUM,33.00
27000012,HC ELECTRODES - REGULAR,16.00
27000013,HC ELECTRODES SURFACE,9.00
27000014,HC ELECTRODES VAGINAL,110.00
27000015,"HC TAPE, ALL TYPES/SIZES",6.00
27000016,HC FOAM ROLLERS,25.00
27000017,HC THERABAND,6.00
27000018,HC FINGER SPLINT/ALUMINUM,11.00
27100025,HC EAR IMPRESSION EACH,81.00
27200002,HC BRACHY NEEDLES,52.00
27200003,HC FLEXINEEDLE 15 NG 25CM W/LL,67.00
27200004,HC OBTURATOR FOR FLEXINEEDLE,67.00
27200005,HC BRACHY CATHETERS,226.00
27200006,HC SEED MARKER,156.00
27200007,HC SENSOR PULSE OX ADULT LNCS 1,85.00
27200008,HC SENSOR PULSE OX PEDI 10-50KG,85.00
27200009,HC SENSOR PULSE OX INFANT 3-20KG,106.00
27200010,HC TRANSBRONCH NEEDLE ADD.,273.00
27200011,"HC CART,CERVICAL CERLAGE",1402.00
27200012,HC IUT CART,2013.00
27200013,"HC CART,HYSTERECTOMY/TUBAL",1127.00
27200014,HC GLUTAMATE ASPARTATE CPLG,782.00
27200015,HC HEXTEND: 500ML,221.00
27200016,HC NO CHARGE SUPPLY,0.01
27200061,HC CBNS-018020 BRACHY NEEDLES,100.00
27200062,HC RAC-6-101-RT 6 FR CATH,168.00
27200063,HC BFCS-6.0N-30-DT35 CATH,226.00
27200064,HC BFCS-6.0N-30-ST35 CATH,226.00
27200065,HC BFCS-6.0B-30-STB35 CATH,226.00
27200066,HC VAGINAL GUIDE 12CM,291.00
27200067,HC VAGINAL GUIDE 15CM,291.00
27200069,HC BRACHYTX PLAQUE (P32) 25CM,21630.00
27200070,HC BRACHYTX PLAQUE (P32) 50CM,28840.00
27200071,HC BRACHYTX PLAQUE (P32) ADDL 25CM,12360.00
27600007,HC NO CHARGE IOL,0.01
27800042,HC IRIDIUM 192 ONE SEED,1066.00
27800043,HC IMA IODINE 125 ONE SEED,104.00
27800044,HC IMA PALLADIUM 103 ONE SEED,104.00
27800045,HC NO CHARGE IMPLANT,0.01
27800068,"HC BRACHYTX, NON-STR,YTTRIUM-90",54075.00
27800070,HC BRACHYTX PLAQUE (P32) 25CM,21630.00
27800071,HC BRACHYTX PLAQUE (P32) 50CM,28840.00
27800072,HC BRACHYTX PLAQUE (P32) ADDL 25CM,12360.00
27800076,"HC BRACHYTX, STRANDED, C-131 PER SOURCE",797.00
29000000,HC CANE/ALUMINUM,15.00
30000023,"HC BLOOD GAS WITH LYTES, POC",0.00
30000025,HC PROD. SHIPPING- N. CAROLINA MC,1173.00
30000026,HC CLINIMA PACKAGE-N.CAROLINA MC,24617.00
30000027,HC CATH SPECIMEN COLLECTION,15.00
30000028,HC VENIPNCT FOR LAB SPEC,86.00
30000161,"HC COLD AGGLUTININS,TITER",136.00
30000162,HC ANTIBODY FR. TULARENSIS,261.00
30000163,HC CRYOFIBRINOGEN QLT,366.00
30000164,HC HEPARIN-PPT CYRO,366.00
30000165,HC VISCOSITY SERUM,118.00
30000166,HC IGG INDEX CSF,0.00
30000167,HC SJOGREN'S (SS-A&B) ANTIB,0.00
30000168,HC EB VIRUS ANTIBODIES,0.00
30000169,HC ANTI-ENA ANTIBODIES,0.00
30000171,HC HLA-A HIGH RESOLUTION TYPING,375.00
30000172,HC HLA-B HIGH RESOLUTION TYPING,375.00
30000173,HC HLA-C HIGH RESOLUTION TYPING,375.00
30000174,HC HLA-DPB1 HIGH RESOLUTION TYPING,375.00
30000176,"HC TB, SKIN TEST",124.00
30000177,HC ELECTROLYTES PANEL,335.00
30000178,HC HEMOXIMETRY,0.00
30000179,HC FACTOR INHIBITOR TITER,0.00
30000180,HC RISTOCETIN-INDUCED AGGRE,0.00
30000182,HC PLATELET AGGREGATION,0.00
30000183,HC SPUTUM FOR EOSINOPHILS,154.00
30000184,"HC AMPLIFICATION, MULTIPLX, 2 SEQ",388.00
30000185,"HC AMPLIFICATION, MULTIPLX,EA ADD",194.00
30000186,"HC LYSIS OF CELLS, BEFORE EXTRACT",159.00
30000187,HC SEPARATION AND IDENTIFICATION,194.00
30000189,HC MOLECULAR ENZYMATIC DIGEST EA,48.00
30000190,HC MOLECULR NUCLEIC ACID PROBE EA,48.00
30000191,"HC MOLECULR MUTAT ID, SNGL SEG EA",213.00
30000193,HC SKIN TEST; PPD,124.00
30000197,HC COLLECT CAPILLARY BLOOD SPEC,158.00
30000198,HC PROCESSING FEE,90.00
30000199,HC PROCESS AND HOLD SPECIME,77.00
30000200,"HC SYNERGY TEST,EA,DRUG PAI",770.00
30000201,HC OVA & PARASITE EXAM,0.00
30000204,"HC H. PYLORI,CULTURE FOR",206.00
30000207,HC SPECIAL CULTURE,375.00
30000219,HC MAINTENANCE-STORED CELLS,589.00
30000220,HC ISOLEX PACKAGE-N. CAROLINA MC,22830.00
30000221,HC OKT3 T-CELL DEP-N.CAROLINA MC,2047.00
30000222,HC HLA-AB EXPRES FOR NULL A,132.00
30000223,HC HLA CLASS II TYPING - INTERMEDIATE RESOLUTION,300.00
30000224,HC HLA-A TYPING - INTERMEDIATE RESOLUTION,165.00
30000225,HC HLA-B TYPING - INTERMEDIATE RESOLUTION,175.00
30000226,HC HLA-C TYPING - INTERMEDIATE RESOLUTION,165.00
30000227,HC HLA-DRB3/4/5 HIGH RESOLUTION TYPING,375.00
30000228,HC HLA-DRB1 HIGH RESOLUTION TYPING,375.00
30000229,HC HLA-DQB1 HIGH RESOLUTION TYPING,375.00
30000232,HC PULSE OXIME 0-2HRS,83.00
30000233,HC COMPLETE BLOOD GAS,836.00
30000234,HC SPUN HEMATOCRIT,51.00
30000236,"HC C. DIPHTHERIAE,CULTURE F",206.00
30000239,"HC HCG,URINE, >18 YRS OLD(ADULT)",352.00
30000240,"HC HCG,URINE, <18 YRS OLD(PEDS)",352.00
30000241,HC HLA-B*57:01 TYPING,375.00
30000242,HC POST VASECTOMY SPERM COUNT,268.00
30000243,HC IMMEDIATE SPIN CROSSMATCH,395.00
30000244,HC IL28B GENOTYPE,296.00
30000245,HC RECEIVING,816.00
30000246,HC PROD PLASMA/VOL DEPLETION,2106.00
30000247,HC PROD PREV FROZEN SHIP-BCHO,1063.00
30000248,HC PROD PREV FROZEN RECEIPT-BCHO,816.00
30000249,HC PROD FROZEN SHIPPING-BCHO,1125.00
30000250,HC PROD PREV FROZEN STOR-BCHO,1426.00
30000251,HC PROD THAWED SHIPPING - BCHO,1192.00
30000252,HC THAW & WASH OF FROZ CORD BLOOD - BCHO,3291.00
30000259,HC ABMT-PROD PREV FROZEN RECEIPT,1082.00
30000260,HC ABMT-PROD PREV FROZEN SEND OUT,1082.00
30000261,HC DESIG/AUTO HANDLING FEE,90.00
30000262,HC HPC CELL CRYOPRESERVATION IN CRYOVIALS,2424.00
30000264,HC SHIP OF FROZEN CELLS TO RADY,1436.00
30000265,HC PRODUCT STORAGE- RADY,1439.00
30000266,HC ADD'L PRODUCT STORAGE- RADY,1439.00
30000267,HC PROD SHIPPING-FRESH CELLS,1436.00
30000268,"HC CORD BLOOD PREP-SHIPMENT,  INTERNATIONAL",13952.00
30000269,"HC REDUCING SUBSTANCE, URINE",180.00
30000270,HC CORD BLOOD THAW,5173.00
30000272,HC RIVAROXABAN THERAPEUTIC DRUG ASSAY,534.00
30000273,HC CD3CS (T CELLS; TOTAL COUNT ),2966.00
30000274,HC C1Q FIXING ANTIBODY - CLASS I,350.00
30000275,HC C1Q FIXING ANTIBODY - CLASS II,375.00
30000276,HC C3D FIXING ANTIBODY - CLASS I,350.00
30000277,HC C3D FIXING ANTIBODY - CLASS II,350.00
30000278,HC MICA ANTIBODY TESTING,150.00
30000279,HC DECEASED DONOR TESTING PHASE 1,2100.00
30000280,HC DECEASED DONOR CELL PREPARATION & STORAGE,275.00
30000281,HC ENDOTHELIAL CELL CROSSMATCH,285.00
30000282,HC T&B-CELL CROSSMATCH - PRONASE TREATMENT,450.00
30000283,HC MONTHLY TRAY T-CELL CROSSMATCH,379.00
30000284,HC NON-REGION SERUM MAINTENANCE,27.00
30000285,HC T&B CELL CROSSMATCH BY CYTOTOXICITY,400.00
30000286,HC CRYOPRESERVED HC PRODUCT SHIP-COLORADO,1938.00
30000287,HC JMML EXON ASSOCIATED PANEL,3400.00
30000288,HC POSITIVE SELECTION FOR FISH,108.00
30000289,HC JMML RESEARCH,1699.00
30000290,HC URINALYSIS NONAUTO W/O SCOPE,57.00
30000291,HC PERIPHERAL BLOOD CD34 STEM CELL COUNT,1363.00
30000292,"HC CRYOPRESERVED HC PRODUCT SHIPPING , UCSF",1125.00
30000293,"HC PROD PREV FROZEN RECEIPT, UCSF",816.00
30000294,HC CALRETICULIN EXON 9 MUTAT ANALY,780.00
30000295,HC ABL KINASE DOMAIN MUTATIONS,1347.00
30000296,HC TERMINAL DEOXYNUCLEOTIDYL TRANSFE,451.00
30000297,HC MNGS PATHOGEN  DX,2316.00
30000298,"HC DIRECT ANTI-FACTOR XA DRUG, QUALIT",303.00
30000300,HC POCT ISTAT CHEM8,0.00
30000301,"HC OPREGEN CELL RECEIPT, PROCESS / THAW & SHIP",0.00
30000302,HC PEDS CD3 STEM CELL QUANTIFICATION,1363.00
30000303,HC CARBAPENAMASE CEPHIED,250.00
30000304,HC ALDOSTERONE,73.00
30000305,HC URINE CX REFLEX UA,231.00
30000306,HC CARBAPENAMASE CEPHIED,0.00
30000307,HC HLA COMPREHENSIVE HIGH RESOLUTION TYPING,1950.00
30000308,HC HLA-B*58:01 TYPING,375.00
30000309,HC HLA-B*15:02 TYPING,375.00
30000310,HC HLA-A2 TYPING,165.00
30000311,HC HLA-A68 TYPING,165.00
30000312,HC HLA-B51 TYPING,175.00
30000313,HC CELIAC DISEASE GENOTYPING,300.00
30000314,HC HLA ANTIBODY - CLASS I SINGLE ANTIGEN DILUTION,350.00
30000315,HC HLA ANTIBODY - CLASS II SINGLE ANTIGEN DILUTION,350.00
30000316,HC HPV HIGH RISK W/ GENOTYPE 16/18,1174.00
30000317,HC ANTI-ANGIOTENSIN TYPE I RECEPTOR (AT1R),180.00
30000318,"HC HOLD SPECIMEN,FROZEN",77.00
30000319,"HC HOLD SPECIMEN, REFRIGERATED",77.00
30000320,"HC HOLD SPECIMEN, ROOM TEMPERATURE",77.00
30000321,HC COCCIDIA EXAM,172.00
30000322,HC ALPHA-GLOBIN GENE SEQUENCING,3073.00
30000323,HC BETA GLOBIN DELETIONS,427.00
30000324,HC BETA GLOBIN DNA SEQUENCING,3073.00
30000325,HC IL28B GENOTYPE,296.00
30000326,HC BETA THALASSEMIA MUTATIONS,0.00
30000327,HC IMMATURE PLATELET FRACTION,158.00
30000328,HC ADD'L STOR EA/YR AFTER INITIAL STOR,500.00
30000329,HC PHARMACY CSP STERILITY,573.00
30100002,HC AMIKACIN LEVEL QUANT,265.00
30100003,HC CARBAMAZEPINE TOTAL QUAN,278.00
30100004,HC CYCLOSPORINE LEVEL QUANT,358.00
30100005,HC DIGOXIN QUANT,265.00
30100006,HC VALPROIC ACID QUANT,256.00
30100007,HC GENTAMICIN LEVEL QUANT,324.00
30100008,HC LITHIUM LEVEL QUANT,194.00
30100009,HC PHENOBARB LEVEL QUANT,240.00
30100010,HC PHENYTOIN TOTAL QUANT,264.00
30100011,HC PROCAINAMIDE W/NAPA QUAN,293.00
30100012,HC SIROLIMUS LEVEL,134.00
30100014,HC TACROLIMUS QUANT,244.00
30100015,HC THEOPHYLLINE LEVEL QUANT,309.00
30100016,HC TOBRAMYCIN LEVEL QUANT,236.00
30100017,HC VANCOMYCIN LEVEL QUANT,280.00
30100018,HC METHOTREXATE LEVEL QUANT,240.00
30100019,"HC REDUCING SUBSTANCES, URI",78.00
30100021,HC ACETONE SERUM QUAL,81.00
30100023,HC ACTH,129.00
30100025,HC ALBUMIN SERUM,119.00
30100026,HC ALBUMIN BODY FLUID QUANT,178.00
30100028,HC ALPHA-FETOPROTEIN SERUM,282.00
30100029,"HC ALPHA FETO PROTEIN, AMNIOTIC",130.00
30100030,HC AMMONIA,309.00
30100031,"HC AMYLASE, URINE",112.00
30100032,HC AMYLASE SERUM,197.00
30100033,"HC AMYLASE, BODY FLUID",197.00
30100034,"HC BILIRUBIN, TOTAL",101.00
30100035,"HC BILIRUBIN, DIRECT",120.00
30100036,HC VITAMIN D 25-HYDROXY,297.00
30100037,HC CALCIUM TOTAL,115.00
30100038,"HC CALCIUM, IONIZED",301.00
30100039,HC CALCIUM URINE QUANT,131.00
30100040,HC CARBON DIOXIDE,103.00
30100041,HC CARCINOEMBRYONIC ANTIGEN,370.00
30100042,HC CHLORIDE SERUM,100.00
30100043,"HC CHLORIDE, URINE",107.00
30100044,HC SWEAT CHLORIDE,215.00
30100045,"HC CHLORIDE, BODY FLUID",215.00
30100046,HC CHOLESTEROL SERUM TOTAL,107.00
30100047,HC CORTISOL TOTAL,240.00
30100048,HC CK (CPK) TOTAL,173.00
30100049,"HC CK-MB, IMMUNOREACTIVE",328.00
30100050,HC CREATININE SERUM,139.00
30100051,"HC CREATININE, BODY FLUID",96.00
30100052,"HC CREATININE, URINE",96.00
30100053,HC VITAMIN B12,212.00
30100054,HC DHEA SULFATE,343.00
30100055,HC FERRITIN,258.00
30100056,HC FETAL FIBRONECTIN,1350.00
30100057,"HC FOLATE, RBC",235.00
30100058,"HC IGE, TOTAL",279.00
30100059,HC BLOOD GAS W/CALC O2 SAT,836.00
30100060,"HC GLUCOSE, CSF",212.00
30100061,"HC GLUCOSE, FLUID",212.00
30100062,"HC GLUCOSE, URINE",212.00
30100063,HC GLUCOSE FAST SERUM QUAN,151.00
30100064,HC GLUCOSE SERUM QUANT,151.00
30100065,HC GLUCOSE BLOOD REAG STRP,93.00
30100066,"HC GLUCOSE, POST-GLUCOSE LO",186.00
30100067,HC GGT,138.00
30100068,HC FOLLICLE STIMULATING HOR,337.00
30100069,HC LUTEINIZING HORMONE,336.00
30100070,HC GROWTH HORMONE,264.00
30100071,HC HEMOGLOBINS BY ELECTROPH,87.00
30100072,HC HEMOGLOBINS BY HPLC,152.00
30100073,HC HEMOGLOBIN A1C,153.00
30100074,HC HOMOCYSTEINE,314.00
30100075,HC IRON,128.00
30100076,HC LACTIC ACID,313.00
30100077,"HC LACTIC ACID, CSF",313.00
30100078,HC LD (LDH) TOTAL,137.00
30100079,HC LD BODY FLUID TOTAL,137.00
30100080,"HC LEAD, BLOOD",48.00
30100081,HC SURF/ALB RATIO FLUOR POL,200.00
30100082,HC LIPASE,265.00
30100083,HC HDL CHOLESTEROL DIR MEAS,129.00
30100084,"HC MAGNESIUM, URINE",231.00
30100085,HC MAGNESIUM SERUM,231.00
30100086,HC B TYPE NATRIURETIC PEPTIDE,495.00
30100142,HC CF NUCLEIC ACID PROB ADDL,18.00
30100234,HC CF NUCLEIC AMPLIFICATION ADDL,72.00
30100284,HC OSMOLALITY SERUM,163.00
30100285,"HC OSMOLALITY, URINE",144.00
30100286,HC BASELINE INTRAOP PTH,432.00
30100287,"HC PARATHORMONE, INTACT",432.00
30100288,HC BODY FLUID PH,108.00
30100289,HC URINE PH,108.00
30100290,HC ALKALINE PHOSPHATASE,114.00
30100291,HC PG (BY SLIDE AGGLUT),291.00
30100292,HC PHOSPHORUS SERUM,130.00
30100293,"HC PHOSPHORUS, URINE",83.00
30100294,HC POTASSIUM SERUM,142.00
30100295,"HC POTASSIUM, BODY FLUID",142.00
30100296,"HC POTASSIUM, WHOLE BLOOD",142.00
30100297,"HC POTASSIUM, URINE",97.00
30100298,HC PROGESTERONE,285.00
30100299,HC PROLACTIN,289.00
30100300,HC PSA TOTAL DIAGNOSTIC,298.00
30100301,HC FREE PSA,269.00
30100302,HC PROTEIN TOTAL SERUM,57.00
30100303,HC PROTEIN TOTAL URINE,127.00
30100304,HC PROTEIN TOTAL BODY FLUID,232.00
30100305,HC PROTEIN TOTAL CSF,232.00
30100306,HC ELECTROPHOR PROT SERUM,118.00
30100307,"HC ELECTROPHOR PROT, OTHER FLUID",114.00
30100308,HC SODIUM SERUM,227.00
30100309,"HC SODIUM, BODY FLUID",227.00
30100310,"HC SODIUM, WHOLE BLOOD",227.00
30100311,"HC SODIUM, URINE",110.00
30100312,HC IGF-I,52.00
30100313,"HC TESTOSTERONE, TOTAL",296.00
30100314,HC THYROGLOBULIN,220.00
30100315,HC FREE T4 (2-STEP EIA),193.00
30100316,HC THYROTROPIN (TSH),350.00
30100317,HC AST (GOT),128.00
30100318,HC ALT (GPT),124.00
30100319,HC TRIGLYCERIDES,109.00
30100320,"HC T3, TOTAL",258.00
30100321,HC FREE T3- ADULT,235.00
30100322,HC TROPONIN I QUANT,328.00
30100323,HC UREA NITROGEN BDY FL QNT,153.00
30100324,HC UREA NITROGEN SERUM QNT,153.00
30100325,"HC UREA NITROGEN, URINE",113.00
30100326,HC URIC ACID SERUM,109.00
30100327,"HC URIC ACID, URINE",73.00
30100328,HC VMA URINE,181.00
30100329,"HC HCG,QUANTITATIVE,FOR TUM",344.00
30100330,HC HCG FOR PREGNANCY QUANT,344.00
30100331,HC CA27-29,181.00
30100332,HC CA 15-3 TUMOR IMMUNOASSAY,264.00
30100333,HC CA 19-9 TUMOR IMMUNOASSAY,223.00
30100334,HC CA 125 QUANT,288.00
30100335,"HC IF ELECTROPHORESIS, SERUM",332.00
30100336,"HC IF ELECTROPHORESIS, OTHER FLUD",300.00
30100337,HC THROGLOBULIN ANTIBODY,190.00
30100338,"HC HEPATITIS C, QUAL PCR",82.00
30100339,HC SWEAT COLLECT IONTOPHOR,556.00
30100366,HC PSA TOTAL SCREENING,237.00
30100367,HC OPIATES URINE QUAL EIA,268.00
30100368,HC BENZODIAZ URINE QUAL EIA,268.00
30100369,HC THC URINE QUAL EIA,268.00
30100370,HC BARBITUR URINE QUAL EIA,268.00
30100371,HC AMPHET URINE QUAL EIA,268.00
30100372,HC COCAINE METAB SCRN EIA,268.00
30100414,HC CYP2C19 GENOTYPE ANALYSIS,0.00
30100415,HC KRAS WITHOUT EXTRACTION,0.00
30100420,HC NONSYNDROMIC DEAFNESS SYN,0.00
30100425,HC ALPHA-THALASSEMIA MUTATION,0.00
30100437,"HC BLOOD, GLUCOSE",56.00
30100439,HC C-PEPTIDE,194.00
30100440,HC INSULIN,131.00
30100443,HC WARFARIN PHARMACOGENOMICS,0.00
30100448,"HC CALCIUM, IONIZED",301.00
30100449,HC BLOOD GAS W/CALC O2 SAT,836.00
30100450,"HC POTASSIUM, WHOLE BLOOD",142.00
30100451,"HC SODIUM, WHOLE BLOOD",227.00
30100452,HC DRUGS OF ABUSE SCREENING PANEL,268.00
30109008,HC HLA-DPA1 HIGH RESOLUTION TYPING,375.00
30109009,HC HLA-DQA1 HIGH RESOLUTION TYPING,375.00
30128281,HC MICROALBUMINURIA QUANT,132.00
30128282,HC TISSUE TRANSGLUTAMINASE IGA,103.00
30128283,HC C-PEPTIDE,148.00
30128284,HC LIPOPROTEIN A,108.00
30128285,HC ALPHA-1-ANTITRYPSIN TOT,154.00
30128286,HC TRANSFERRIN,263.00
30128287,HC CRYOGLOBULIN QNT,224.00
30128288,HC CERULOPLASMIN,189.00
30128289,HC PREALBUMIN,263.00
30128290,HC IGA,224.00
30128291,HC IGM,224.00
30128292,"HC ALBUMIN, CSF",168.00
30128293,HC CYCLIC CITRULLINATED PEPTIDE,109.00
30128294,HC FECAL OCCULT BLOOD ASSAY,128.00
30128295,HC LIPOPROTEIN (A),115.00
30128418,HC DNA PREPARATION & STORAGE,25.00
30128419,HC CHIMERISM TESTING - CELL SUBSET,280.00
30128420,HC CHIMERISM TESTING - INFORMATIVES,250.00
30128421,HC IGG,224.00
30128444,HC  FRONTOTEMPORAL DEMENTIA,0.00
30128454,HC BETA-HYDROXYBUTYRATE,167
30128462,"HC BLOOD GAS NCPL, ISTAT",164.00
30128463,HC LAMELLAR BODY COUNT,268.00
30128464,HC BETA-2 MICROGLOBULIN,184.00
30128474,"HC TESTOSTERONE,ULTRASENSITIVE",296.00
30128475,"HC TISS.TRANSGLUTAMIN,IGG",103.00
30128478,"HC BILIRUBIN, TOTAL",101.00
30128479,HC LACTIC ACID,313.00
30128481,"HC GLUCOSE, BLOOD, REAGENT STRIP",93.00
30128494,"HC GLUCOSE, WB",151.00
30128499,"HC CHLORIDE, STOOL",215.00
30128500,"HC SODIUM, STOOL",70.00
30128502,"HC POTASSIUM, STOOL",142.00
30128503,"HC OSMOLALITY, STOOL",152.00
30128505,"HCG PREGNANCY, LESS 18 YR",344.00
30128506,"HCG PREGNANCY,GRT 18 YR",344.00
30128520,HC UDP GLUCUNOSYLTRANSFERASE 1A1,2658.00
30128521,HC IL28B GENOTYPE,379.00
30128523,HC LIPID PANEL,317.00
30128524,HC BASIC METABOLIC PANEL (CBMP),585.00
30128525,HC COMPREHENSIVE METABOLIC PANEL (CMP),997.00
30128526,HC ELECTROLYTE PANEL (LYTES),335.00
30128529,"HC OXYCODONE SCREEN, URINE",268.00
30128531,"HC BUSULFAN, ADULT, SAMPLE 1",150.00
30128532,"HC BUSULFAN, ADULT, SAMPLE 2",150.00
30128533,"HC BUSULFAN, ADULT, SAMPLE 3",150.00
30128534,"HC BUSULFAN, ADULT, SAMPLE 4",150.00
30128535,"HC BUSULFAN, PEDIATRIC, SAMPLE 1",150.00
30128536,"HC BUSULFAN, PEDIATRIC, SAMPLE 2",150.00
30128537,"HC BUSULFAN, PEDIATRIC, SAMPLE 3",150.00
30128538,"HC BUSULFAN, PEDIATRIC, SAMPLE 4",150.00
30128539,"HC BUSULFAN, PEDIATRIC, SAMPLE 5",150.00
30128540,"HC BUSULFAN, PEDIATRIC, SAMPLE 6",150.00
30128551,HC GLUCOSE REAGENT STRIP,215.00
30128562,HC HGB SCREEN FREE PLASMA,107.00
30128584,HC EVEROLIMUS,208.00
30128596,HC VORICONAZOLE,215.00
30128597,HC IGE,289.00
30128626,"HC  CREATININE, CLEARANCE",89.00
30128627,"HC ANALGESIC, NON-OPIOID (SALICYLATE)",127.00
30128628,"HC ANALGESIC, NON-OPIOID (ACETAMINOPHEN)",354.00
30128629,"HC ALCOHOL(ETHANOL),SERUM OR PLASMA",188.00
30128630,"HC  VALPROIC ACID QUANT, TOTAL",236.00
