"Item Number,Description,Rev Code,CPT Code,Price,Assoc Item 1,Assoc Item 2,Assoc Item 3,Assoc Item 4,Assoc Item 5,Assoc Item 6,Assoc Item 7,Assoc Item 8,Assoc Item 9,Assoc Item 10"
" 3040506,GROSHONG CATH PORT,360,,"" 3,860.50 "",,,,,,,,,,"
" 3040512,USE OF SAO2 MONITOR,271,, 62.00 ,,,,,,,,,,"
" 3040574,ENDO CARPAL TUN REL,360,,"" 4,715.75 "",,,,,,,,,,"
" 3040637,THROMBIN 10000 U,272,, 137.25 ,,,,,,,,,,"
" 3040654,ERCP,360,,"" 7,015.50 "",,,,,,,,,,"
" 3040730,NERVE STIMULATOR PUL,271,, 89.25 ,,,,,,,,,,"
" 3040795,TSRH SET,270,, 301.00 ,,,,,,,,,,"
" 3040900,MISC OR,360,, -   ,,,,,,,,,,"
" 3050023,J-VAC DRAIN 19FR,272,, 96.00 ,,,,,,,,,,"
" 3050032,JP 10MM FLAT,272,, 96.00 ,,,,,,,,,,"
" 3050033,J-VAC 10FR ROUND,272,, 96.00 ,,,,,,,,,,"
" 3050034,J-VAC RESERV 100CC,272,, 96.00 ,,,,,,,,,,"
" 3050035,J-VAC RESERV 450CC,272,, 96.00 ,,,,,,,,,,"
" 3050036,TUR Y SETS,272,, 48.00 ,,,,,,,,,,"
" 3050037,CYSTO SET,272,, 20.50 ,,,,,,,,,,"
" 3050038,CYSTOFLO DRAIN BAG,272,, 48.00 ,,,,,,,,,,"
" 3050039,STAPLE 35W,270,, 191.50 ,,,,,,,,,,"
" 3050040,SPONGE X-RAY 4 X4,272,, 7.50 ,,,,,,,,,,"
" 3050042,UTILITY DRAPE,272,, 20.50 ,,,,,,,,,,"
" 3050045,CATH ROB NEL #10,272,, 20.50 ,,,,,,,,,,"
" 3050046,CATH ROB NEL #16,272,, 20.50 ,,,,,,,,,,"
" 3050047,XEROFORM 4X3,272,, 20.50 ,,,,,,,,,,"
" 3050048,SPONGE LAP MINI,272,, 7.50 ,,,,,,,,,,"
" 3050049,YANKAUER SUCTION SET,272,, 20.50 ,,,,,,,,,,"
" 3050051,GROUND PAD,271,, 20.50 ,,,,,,,,,,"
" 3050053,COVERDERM 4X4,272,, 7.50 ,,,,,,,,,,"
" 3050054,ESU PENCIL,272,, 20.50 ,,,,,,,,,,"
" 3050055,BAYONET FORCEPTS,272,, 123.00 ,,,,,,,,,,"
" 3050056,DISSECTORS HARD,272,, 20.50 ,,,,,,,,,,"
" 3050076,CATH 3WAY 18 W 5CC,272,, 59.00 ,,,,,,,,,,"
" 3050077,MEROCEL NASAL PACK 4.5CM,272,, 21.00 ,,,,,,,,,,"
" 3050078,VAPERTOME ELECTRODE,272,, 507.75 ,,,,,,,,,,"
" 3050079,CATH 3WAY IRR #20W/5,272,, 116.75 ,,,,,,,,,,"
" 3050080,CATH 3WAY IRR #24W/30,272,, 116.75 ,,,,,,,,,,"
" 3050081,CATH #20 W/30CC,272,, 20.50 ,,,,,,,,,,"
" 3050082,CATH #28 W/30CC,272,, 20.50 ,,,,,,,,,,"
" 3050083,CATH #22 W/30CC,272,, 20.50 ,,,,,,,,,,"
" 3050084,JAMSHIDE NEEDLE 11G,272,, 71.75 ,,,,,,,,,,"
" 3050085,CATH #26 W/30CC,272,, 20.50 ,,,,,,,,,,"
" 3050086,URETHROGRAPHIC DOUBLE BALLOON CATH 20FR,272,, 245.50 ,,,,,,,,,,"
" 3050087,CATH COUDE #14,272,, 48.00 ,,,,,,,,,,"
" 3050088,CATH COUDE #16,272,, 48.00 ,,,,,,,,,,"
" 3050089,CATH COUDE #20,272,, 48.00 ,,,,,,,,,,"
" 3050090,CATH COUDE #22,272,, 48.00 ,,,,,,,,,,"
" 3050091,CATH COUDE #24,272,, 48.00 ,,,,,,,,,,"
" 3050092,CATH 18 FRENCH 30 CC,272,, 116.75 ,,,,,,,,,,"
" 3050093,CATH COUDE TIENMAN18,272,, 48.00 ,,,,,,,,,,"
" 3050094,CATH #24 W/30CC,272,, 20.50 ,,,,,,,,,,"
" 3050095,CATH #30 W/30CC,272,, 20.50 ,,,,,,,,,,"
" 3050096,CATH COUNCIL #18,272,, 116.75 ,,,,,,,,,,"
" 3050097,CATH COUNCIL #20,272,, 116.75 ,,,,,,,,,,"
" 3050098,CATH PED #12,272,, 48.00 ,,,,,,,,,,"
" 3050099,CATH COUDE #12,272,, 48.00 ,,,,,,,,,,"
" 3050100,CATH PED #8,272,, 48.00 ,,,,,,,,,,"
" 3050101,CATH PED #10,272,, 48.00 ,,,,,,,,,,"
" 3050102,POOLE SUCTION,272,, 20.50 ,,,,,,,,,,"
" 3050106,BACK TABLE COVER,272,, 20.50 ,,,,,,,,,,"
" 3050107,GOWN SPECIALTY UROLO,272,, 20.50 ,,,,,,,,,,"
" 3050108,GOWN OR LARGE,272,, 20.50 ,,,,,,,,,,"
" 3050110,BASIC PACK,272,, 96.00 ,,,,,,,,,,"
" 3050111,PREP TRAY,272,, 41.25 ,,,,,,,,,,"
" 3050112,TRANSVERSE LAP SHEET,272,, 48.00 ,,,,,,,,,,"
" 3050113,LAP SPONGES,272,, 20.50 ,,,,,,,,,,"
" 3050114,GOWN OR XLARGE,272,, 20.50 ,,,,,,,,,,"
" 3050115,U-BAR,272,, 96.00 ,,,,,,,,,,"
" 3050117,LAPAROSCOPY PACK,272,, 89.25 ,,,,,,,,,,"
" 3050118,PACK OB,272,, 103.00 ,,,,,,,,,,"
" 3050119,PERI-GYN PACK,272,, 48.00 ,,,,,,,,,,"
" 3050120,PACK CYSTOSCOPY,272,, 41.25 ,,,,,,,,,,"
" 3050121,EXTREM SHEET LOWER,272,, 48.00 ,,,,,,,,,,"
" 3050123,ORTHO,272,, 116.75 ,,,,,,,,,,"
" 3050125,PACK ARTHROSCOPY 36,272,, 232.50 ,,,,,,,,,,"
" 3050126,PACK ARTHROSCOPY 35,272,, 232.50 ,,,,,,,,,,"
" 3050127,ABDUCTION PILL MED,271,, 116.75 ,,,,,,,,,,"
" 3050128,ABDUCTION PILL SM,271,, 116.75 ,,,,,,,,,,"
" 3050129,VAG DELIV BASIN SET,272,, 205.50 ,,,,,,,,,,"
" 3050130,ORIF MINOR TRACE CAR,272,, 520.25 ,,,,,,,,,,"
" 3050131,C-SECTION TRACE CART,272,, 520.25 ,,,,,,,,,,"
" 3050132,PERI-GYN TRACE CART,272,, 575.00 ,,,,,,,,,,"
" 3050133,ORIF HIP-SUPPLIES,272,, 431.50 ,,,,,,,,,,"
" 3050134,LAPAROSCOPY TRACE CA,272,, 417.75 ,,,,,,,,,,"
" 3050135,TOTAL KNEE TRACE CAR,272,, 834.75 ,,,,,,,,,,"
" 3050136,TOTAL HIP/HEMI TRACE,272,,"" 1,266.50 "",,,,,,,,,,"
" 3050137,ARTHROSCOPY TRACE CA,272,, 356.00 ,,,,,,,,,,"
" 3050138,ENDO CHOLEY TRACE CA,272,, 315.50 ,,,,,,,,,,"
" 3050139,GENERAL TRACE CART,272,, 342.25 ,,,,,,,,,,"
" 3050140,GLYCINE 3000CC BAG,272,, 48.00 ,,,,,,,,,,"
" 3050141,IRRIG NS 3000,272,, 48.00 ,,,,,,,,,,"
" 3050142,IOBAN ISOLATION,272,, 232.50 ,,,,,,,,,,"
" 3050145,STERIDRAPE 1015 U,272,, 48.00 ,,,,,,,,,,"
" 3050146,STERIDRAPE 1074,272,, 48.00 ,,,,,,,,,,"
" 3050147,SUT1 PROL CT1 8425H,272,, 7.50 ,,,,,,,,,,"
" 3050148,SUT 1 PROL RAZ 6958,272,, 68.50 ,,,,,,,,,,"
" 3050149,SUT 0 PROLENE PS81T,272,, 34.75 ,,,,,,,,,,"
" 3050150,SUT 3-OPROL SH 8522H,272,, 13.50 ,,,,,,,,,,"
" 3050151,SUT 3-OPROL 8665G,272,, 20.50 ,,,,,,,,,,"
" 3050152,SUT4-0 PROL RB18557H,272,, 13.50 ,,,,,,,,,,"
" 3050153,SUT4-0 PROLRB1 8871H,272,, 20.50 ,,,,,,,,,,"
" 3050154,SUT5-0 PROL P3 8698G,272,, 13.50 ,,,,,,,,,,"
" 3050155,SUT6-0 PROL BV1M8305,272,, 171.50 ,,,,,,,,,,"
" 3050156,SUT2PROL 'C' 3-846T,272,, 27.50 ,,,,,,,,,,"
" 3050157,O ETHI CT28CR CX27T,272,, 41.25 ,,,,,,,,,,"
" 3050158,SUT3-0 ETHI X588H,272,, 13.50 ,,,,,,,,,,"
" 3050159,SUT 2-0 ETHI X523,272,, 13.50 ,,,,,,,,,,"
" 3050160,SUT ONUR 8CR C545D,272,, 41.25 ,,,,,,,,,,"
" 3050161,SUT 1 MONOCRYL X335H,272,, 27.50 ,,,,,,,,,,"
" 3050162,SUT 1ETHI CT1 X425H,272,, 7.50 ,,,,,,,,,,"
" 3050163,SUT 4-0 ETH 626H,272,, 7.50 ,,,,,,,,,,"
" 3050164,SUT 8-0 VIC J401G,272,, 48.00 ,,,,,,,,,,"
" 3050165,SUT 3-0VICSHCR J864D,272,, 41.25 ,,,,,,,,,,"
" 3050166,SUT 5-0VIC J493G,272,, 13.50 ,,,,,,,,,,"
" 3050167,SUT 0VICCT2CR J727D,272,, 41.25 ,,,,,,,,,,"
" 3050168,SUT 3-0 VICPS2  J497G,272,, 13.50 ,,,,,,,,,,"
" 3050169,SUT 6-0 MCHR DG35113,272,, 117.20 ,,,,,,,,,,"
" 3050170,SUT4-0 ETHI X581H,272,, 13.50 ,,,,,,,,,,"
" 3050171,SUT ETHIBOND B499T,272,, 13.50 ,,,,,,,,,,"
" 3050172,SUT 3-0VICVICT2J332H,272,, 7.50 ,,,,,,,,,,"
" 3050173,SUT3-0VIC SCHR J774D,272,, 41.25 ,,,,,,,,,,"
" 3050174,SUT5-0 ETHPS2 1666G,272,, 13.50 ,,,,,,,,,,"
" 3050175,SUT5-0 ETHPS3 1668G,272,, 13.50 ,,,,,,,,,,"
" 3050176,SUT 6-0ETH C2 667G,272,, 7.50 ,,,,,,,,,,"
" 3050177,SUT6-0 ETH P3 1698G,272,, 13.50 ,,,,,,,,,,"
" 3050178,SUT OVICR REEL J287G,272,, 7.50 ,,,,,,,,,,"
" 3050179,SUT3-0 VIC CT1 J258H,272,, 7.50 ,,,,,,,,,,"
" 3050180,SUT3-0 VIC SH J416H,272,, 7.50 ,,,,,,,,,,"
" 3050181,SUT4-0 VIC J494G-P3,272,, 13.50 ,,,,,,,,,,"
" 3050182,SUT4-0 VIC J496G-PS2,272,, 13.50 ,,,,,,,,,,"
" 3050183,SUT6-0 VIC J562G-S28,272,, 41.25 ,,,,,,,,,,"
" 3050184,SUT2-OETHFSLX 1674H,272,, 7.50 ,,,,,,,,,,"
" 3050185,SUT3-0 ETH FS1 663G,272,, 7.50 ,,,,,,,,,,"
" 3050186,SUT4 0 ETH FS2 662G,272,, 7.50 ,,,,,,,,,,"
" 3050187,SUT4-0 ETH P3 699G,272,, 13.50 ,,,,,,,,,,"
" 3050188,SUT4-0 ETH PS2 1667G,272,, 13.50 ,,,,,,,,,,"
" 3050189,SUT5-0 ETH FS2 661H,272,, 7.50 ,,,,,,,,,,"
" 3050190,SUT5-0 ETH P3 698G,272,, 13.50 ,,,,,,,,,,"
" 3050191,SUT 2-0 CHROMIC 801H,272,, 7.50 ,,,,,,,,,,"
" 3050192,SUT 3-0 CHROM G122H,272,, 7.50 ,,,,,,,,,,"
" 3050193,SUT 2-0 CHRO G123H,272,, 7.50 ,,,,,,,,,,"
" 3050194,SUT3-0 VIC CT1J344H,272,, 7.50 ,,,,,,,,,,"
" 3050195,SUT 3-0 VICVI 393H,272,, 7.50 ,,,,,,,,,,"
" 3050196,SUT 4-0 VIC SH J415H,272,, 7.50 ,,,,,,,,,,"
" 3050197,SUT 4-0VIC FS2J422H,272,, 7.50 ,,,,,,,,,,"
" 3050198,SUT4-0VIC RB1 J214H,272,, 7.50 ,,,,,,,,,,"
" 3050199,SUT 2-0 VICCT1 J339H,272,, 7.50 ,,,,,,,,,,"
" 3050200,SUT 1VIC CT1 J947H,272,, 7.50 ,,,,,,,,,,"
" 3050201,SUT 2 OVIC SH J417H,272,, 7.50 ,,,,,,,,,,"
" 3050202,SUT2-0 VIC FS1 J443H,272,, 7.50 ,,,,,,,,,,"
" 3050203,SUT2-0VICVIUR6 J602H,272,, 7.50 ,,,,,,,,,,"
" 3050204,SUT2-0VICCT28CRJ726D,272,, 41.25 ,,,,,,,,,,"
" 3050205,SUT2-0 VICCT1CRJ739D,272,, 41.25 ,,,,,,,,,,"
" 3050206,SUT 3-0VICREEL J285G,272,, 7.50 ,,,,,,,,,,"
" 3050207,SUT 1VIC CT1 J261H,272,, 7.50 ,,,,,,,,,,"
" 3050208,SUT 1VIC 3CR J708T,272,, 27.50 ,,,,,,,,,,"
" 3050209,SUT 1VIC J977H,272,, 7.50 ,,,,,,,,,,"
" 3050210,SUT 1VIC3CR J718T,272,, 54.50 ,,,,,,,,,,"
" 3050211,SUT OVICR CT1 J260H,272,, 7.50 ,,,,,,,,,,"
" 3050212,SUT O VIC CT2 J334H,272,, 7.50 ,,,,,,,,,,"
" 3050213,SUT OVIC UR6 J603H,272,, 7.50 ,,,,,,,,,,"
" 3050214,SUT OVIC 8CRCT1J740D,272,, 41.25 ,,,,,,,,,,"
" 3050215,SUT OVIC 8CRCT J752D,272,, 41.25 ,,,,,,,,,,"
" 3050218,SUT 3-OPLAIN SH 322H,272,, 20.50 ,,,,,,,,,,"
" 3050220,SUT3-0 PLAINCT1 842H,272,, 7.50 ,,,,,,,,,,"
" 3050221,SUT3-0 PLAIN CTX873H,272,, 7.50 ,,,,,,,,,,"
" 3050225,SUT 2VICVIO3CR J649G,272,, 54.50 ,,,,,,,,,,"
" 3050226,SUT 4-OMERS R691G,272,, 13.50 ,,,,,,,,,,"
" 3050227,SUT 5 MERS RS22,272,, 54.50 ,,,,,,,,,,"
" 3050228,SUTGORETEX CV2 2NO5A,272,, 41.25 ,,,,,,,,,,"
" 3050229,BONE WAX,272,, 13.50 ,,,,,,,,,,"
" 3050230,RETENTION SUT BOLST,272,, 7.50 ,,,,,,,,,,"
" 3050231,SUT O PLAIN N864H,272,, 7.50 ,,,,,,,,,,"
" 3050232,SUT 1PDSCT1 Z341H,272,, 7.50 ,,,,,,,,,,"
" 3050233,SUT 1PDSTP1 Z880G,272,, 13.50 ,,,,,,,,,,"
" 3050234,SUT O PDSCT1 Z340H,272,, 7.50 ,,,,,,,,,,"
" 3050235,SUT 2-0 PDSCT1 Z339H,272,, 7.50 ,,,,,,,,,,"
" 3050236,SUT 6-0 PDSCL Z489G,272,, 13.50 ,,,,,,,,,,"
" 3050237,SUT2-0MERSIL SHR833H,272,, 7.50 ,,,,,,,,,,"
" 3050238,SUT4-0 MERSFS2 R683G,272,, 7.50 ,,,,,,,,,,"
" 3050239,SUT 2-0 MERSIL 423H,272,, 7.50 ,,,,,,,,,,"
" 3050240,SUT 4-0SLK CR C014D,272,, 34.75 ,,,,,,,,,,"
" 3050241,SUT 4-0 SLKFS2 683H,272,, 7.50 ,,,,,,,,,,"
" 3050243,SUT 4-0 SLK FS2 683H,272,, 7.50 ,,,,,,,,,,"
" 3050244,SUT 4-0 SILK 734G,272,, 7.50 ,,,,,,,,,,"
" 3050245,SUT5-0SLK FS2 682H,272,, 7.50 ,,,,,,,,,,"
" 3050247,SUT6-0 SLK FS3 681H,272,, 13.50 ,,,,,,,,,,"
" 3050248,SUT2-0 SILK 18 A185H,272,, 7.50 ,,,,,,,,,,"
" 3050249,SUT2-0 SLK 30 A305H,272,, 7.50 ,,,,,,,,,,"
" 3050251,SUT 2-0SILK FS1 685H,272,, 7.50 ,,,,,,,,,,"
" 3050252,SUT 3-0SILKCR C013D,272,, 34.75 ,,,,,,,,,,"
" 3050253,SUT 3-0 SILKCR C017T,272,, 34.75 ,,,,,,,,,,"
" 3050254,SUT 3-0 SILK A184H,272,, 7.50 ,,,,,,,,,,"
" 3050255,SUT 3-0 SILK A304H,272,, 7.50 ,,,,,,,,,,"
" 3050257,SUT 3-0 SLK FS1 684H,272,, 7.50 ,,,,,,,,,,"
" 3050260,SUT 1 SILK 30 A307H,272,, 7.50 ,,,,,,,,,,"
" 3050261,SUT 0 SILK 18  A186H,272,, 1.50 ,,,,,,,,,,"
" 3050262,SUT2-0 SILK CR C016D,272,, 34.75 ,,,,,,,,,,"
" 3050263,SUT2-0SLKCT1 18C026D,272,, 34.75 ,,,,,,,,,,"
" 3050267,SUT 4-0 CHR G121H,272,, 7.50 ,,,,,,,,,,"
" 3050268,SUT 4-0 CHR U203H,272,, 7.50 ,,,,,,,,,,"
" 3050269,SUT 4-0 CHR 752G,272,, 7.50 ,,,,,,,,,,"
" 3050270,SUT 4-0 CHR 1634G,272,, 13.50 ,,,,,,,,,,"
" 3050271,SUT 5-0 CHR G180H,272,, 7.50 ,,,,,,,,,,"
" 3050272,SUT 5-0 CHR 634G,272,, 7.50 ,,,,,,,,,,"
" 3050273,SUTURE 0 CHR 47T,272,, 13.50 ,,,,,,,,,,"
" 3050274,SUT 0 CHR CT1 812H,272,, 7.50 ,,,,,,,,,,"
" 3050276,SUT 2-0 CHROM U245H,272,, 7.50 ,,,,,,,,,,"
" 3050280,SUTURE 1 CHR S115H,272,, 7.50 ,,,,,,,,,,"
" 3050281,SUTURE 1CHR CT1 813H,272,, 7.50 ,,,,,,,,,,"
" 3050282,SUT 1 CHR CT2 885H,272,, 7.50 ,,,,,,,,,,"
" 3050284,SUT 0 CHR G124H,272,, 7.50 ,,,,,,,,,,"
" 3050285,SUTURE O CHR URU246H,272,, 7.50 ,,,,,,,,,,"
" 3050286,SUTURE REGULAR,272,, 41.25 ,,,,,,,,,,"
" 3050290,SUT4-0 CHR REELL111G,272,, 7.50 ,,,,,,,,,,"
" 3050291,SUT 3-0 CH REELL112G,272,, 7.50 ,,,,,,,,,,"
" 3050292,SUTURE 2-0 CHROMIC,272,, 41.25 ,,,,,,,,,,"
" 3050293,SUTURE 2-0 CHR S113,272,, 41.25 ,,,,,,,,,,"
" 3050294,SUT 1 CHR REEL L115G,272,, 41.25 ,,,,,,,,,,"
" 3050295,SURGICAL BLADE #10,272,, 2.75 ,,,,,,,,,,"
" 3050296,SURGICAL BLADE #11,272,, 1.00 ,,,,,,,,,,"
" 3050297,SURGICAL BLADE #12,272,, 1.00 ,,,,,,,,,,"
" 3050298,SURGICAL BLADE #15,272,, 1.00 ,,,,,,,,,,"
" 3050299,SURGICAL BLADE #20,272,, -   ,,,,,,,,,,"
" 3050300,BEAVER BLADE,272,, 48.00 ,,,,,,,,,,"
