Charge Code,Charge Code Description,Price,**Price Data is effective as of 11/1/2018,
35000006,"HC 3D RENDERING W/I&R OF CT,MRI,U",$321.49,,
33300004,HC 3D THERAPEUTIC RAD SIMULATION,"$5,354.00",,
40100007,HC 3D TOMOSYNTHESIS DX BILATERAL,$90.58,,
40100008,HC 3D TOMOSYNTHESIS DX UNILATERAL,$90.58,,
27000375,HC 3M BAIR HUGGER BLANKET,$110.47,,
27100180,HC 3M DRESSING TAPE CLOTH MEDIPORE 4INX10YD,$53.42,,
27100182,HC 3M MICROFOAM ELASTIC TAPE,$24.24,,
27100138,HC 3M TAPE DRESSING CLOTH MEDIPORE,$79.67,,
27201472,"HC 48"" PRESSURE MONITOR LINE",$15.00,,
27100124,"HC 48"" PRESSURE MONITORING LINE",$18.00,,
27201248,HC 4FR ANGIOJET ULTRA DVX,"$6,319.95",,
27201245,HC 4FR ANGIOJET ULTRA SPIROFLEX,"$7,963.60",,
27201246,HC 4FR ANGIOJET ULTRA XPEEDIOR,"$5,393.95",,
27201247,HC 4FR ANGIOJET ULTRA XVG,"$7,500.60",,
27201609,HC 4FRX110CM BALLOON WEDGE PRES C,$307.44,,
27201713,HC 5 FR SHEATH,$60.00,,
30100234,HC 5'- NUCLEOTIDASE,$132.21,,
27201444,HC 5/6FRX10CM GLIDESHEATH,$262.33,,
27201685,HC 5F 100CM VERTEBRAL CATH,$87.00,,
27201684,HC 5F BRACHIAL SHEATH,$224.00,,
27201550,HC 5F EXPO DIAGNOSTIC CATH,$57.90,,
27201549,HC 5F EXPO DIAGNOSTIC CATH PACK,$173.70,,
27201354,HC 5FR PIG-CAV CATHETER,$142.00,,
27201355,HC 5FR PIG-VSC 20B,$421.00,,
27201363,HC 5FRX100CM SARA/JACKY DIAGNOSTIC CATH,$381.70,,
27201098,HC 5FRX65CM AQUA TEMPO DIAG CATH,$378.92,,
27201714,HC 6 FR SHEATH,$60.00,,
27201551,HC 6F EXPO DIAGNOSTIC CATH,$57.90,,
27201548,HC 6F EXPO DIANOSTIC CATH PACK,$173.70,,
27201210,HC 6FR DBL LUMEN PA MONITOR CATH,$329.30,,
27202207,HC 6FR GUIDEZILLA GUIDE EXTENSION CATHETER,"$2,021.25",,
27201347,HC 6FR SHUTTLE SHEATH,$470.00,,
27201209,HC 6FR THERMODILUTION CATHETER,$250.88,,
27201410,HC 6FR X90 PINN MP/STR SHEATH(RSC03/RSC01),$610.83,,
27201449,HC 6FRX10CM RADLGLIDESHEATH 0.035,$107.00,,
27201474,"HC 72"" FLUID DELIVERY SET",$15.00,,
27201473,"HC 72"" VENTED DELIVERY SET CONTRA",$13.00,,
30100581,HC 7-DEHYDROCHOLESTEROL,$246.36,,
27201374,HC 7F WISEGUIDE GUIDE CATH,$298.42,,
27201620,HC 7FR CLASSIC SHEATH,$524.45,,
27201211,HC 7FR DBL LUMEN PA MONITOR CATH,$250.88,,
27201212,HC 7FR DBL LUMEN S TIP PA CATH,$329.30,,
27201346,HC 7FR SHUTTLE SHEATH,$485.00,,
27201445,HC 7FRX5CM (BRACHIAL) RADIOPAQUE TIP,$381.70,,
27201716,HC 8 FR LONG PTA SHEATH,$147.00,,
27201715,HC 8 FR SHEATH,$68.00,,
27201434,HC 8.5FR SR4 FAST CATH,$916.30,,
27201249,HC 8-10FR ACUNAV CATHETER 90CM,"$10,267.60",,
27201432,HC 8-8.5 SHEATHFASTCATH RAMP W/TIP MRKR,$916.30,,
27201353,HC 8FR SHUTTLE SHEATH,$459.00,,
27201111,HC 8FRX45CM CROSS CUT SHEATH,$555.30,,
27201525,HC 8FRX65CM TUOHY CUT SHEATH,$555.30,,
27201188,HC 8MM TIP ABLATION CATHETER BS,"$4,947.00",,
27801173,"HC 9038263 OMNISCAN 10 ML, EACH",$161.50,,
27801174,"HC 9038264 OMNISCAN 20 ML, EACH",$260.94,,
27201621,HC 9FR CLASSIC SHEATH,$524.45,,
27201421,HC 9FRX 13CM OPTISEAL SHEATH,$451.10,,
32000087,HC A/C JOINT-W/WO WEIGHT BEARING,$373.03,,
27201219,HC A/V FISTULA NEEDLE,$99.00,,
27000034,HC AB 5000 VENTRICLE,"$132,750.00",,
27801567,HC ABBOTT ABSORB STENT,"$3,935.50",,
27202918,HC ABBOTT ADVISOR FL 15-20MM BI D DF,"$6,870.92",,
27202917,HC ABBOTT ADVISOR FL 15-20MM UNI D D,"$6,870.92",,
27201756,HC ABBOTT ARMADA CATH 14XT,"$1,212.75",,
27201755,HC ABBOTT ARMADA CATH 35 WH,$647.85,,
27201260,HC ABBOTT ASAHI GRAND SLAM WIRES,$925.50,,
27201261,HC ABBOTT ASAHI GUIDEWIRES,$925.50,,
27201262,HC ABBOTT ASHAI PROWATER GUIDEWIR,$925.50,,
27202973,HC ABBOTT FLEXABILITY SE ABLATION CATHETER,"$8,685.00",,
27201923,HC ABBOTT HT CONNECT GUIDEWIRE,$617.00,,
27801478,HC ABBOTT MULTLNK MINI VISION STENT,"$2,546.50",,
27801479,HC ABBOTT MULTLNK VISION STENT,"$2,546.50",,
27201333,HC ABBOTT RX ACCUNET EMB PRO SYS,"$6,482.00",,
27801204,"HC ABBOTT STENT, XIENCE","$5,787.50",,
27801461,HC ABBOTT TUBE GASTROSTOMY SILICONE,$167.06,,
27201129,HC ABBOTT VIATRAC 14 PLUS BALLOON,"$1,374.45",,
27801359,"HC ABBOTT VISION STENT, BARE METAL","$1,670.90",,
27201967,HC ABBOTT WORKHORSE HI-TORQUE COMMAND GUIDE WIRE,$740.40,,
27201859,HC ABBVIE JEJUNOSTOMY TUBE,$511.25,,
27201860,HC ABBVIE PEG KIT,$923.90,,
76100667,HC ABD PARACENTESIS,"$1,691.14",,
76100668,HC ABD PARACENTESIS W/I,"$2,368.47",,
40200005,HC ABD PARACENTESIS W/IMAGIN,"$2,368.47",,
45000332,HC ABD PARACENTESIS W/O IMAGING,"$1,691.14",,
45000333,HC ABD PARACENTESIS WITH IMAGING,"$2,368.47",,
32000119,"HC ABD X-RAY,COMPLETE,ACUTE SERIE",$528.15,,
35200029,HC ABDOMEN CT ANG W/WO CONTRAST,"$2,870.70",,
35200026,HC ABDOMEN CT SCAN W/CONTRAST,"$2,515.46",,
35200025,HC ABDOMEN CT SCAN WITHOUT CONTRA,"$1,929.38",,
35200027,HC ABDOMEN CT W&W/O CONTRAST,"$2,852.72",,
76100690,HC ABDOMEN SURGERY PROC,"$5,061.14",,
76101359,HC ABDOMEN SURGERY PROC,"$4,249.07",,
45000338,HC ABDOMEN SURGERY PROCEDURE,"$5,061.14",,
32300002,HC ABDOMIANAL AORTOGRAM,"$6,012.57",,
27400256,"HC ABDOMINAL BINDER, DALE MEDICAL",$120.74,,
32000332,"HC ABDOMINAL ULTRASOUND, W/CONTRAST",$541.94,,
31000253,HC ABL1 GENE ANALYSIS KINASE DOMAIN VARIANTS,"$1,029.00",,
76102213,HC ABLATE INF TURBINATE,"$2,150.49",,
48000148,HC ABLATE L/R ATRIAL FIBRIL W/ ISOLATED PULM VEIN,"$13,855.41",,
76100241,"HC ABLATE, BONE TUMOR(S","$11,572.94",,
48000058,HC ABLATION AV NODE/CONDUCTION,"$14,632.00",,
48000140,HC ABLATION AV NODE/CONDUCTION (EP LAB),"$14,632.00",,
76103559,"HC ABLATION BONE TUMOR, PERQ, 1+, INC IMG GUID","$9,344.03",,
27203228,HC ABLATION CATH EP QUADRIPOLAR MIFI BS,"$6,945.00",,
27203112,HC ABLATION CATH FLEXABILITY SENSOR SJM,"$8,797.00",,
27203113,HC ABLATION CONNECTION CABLE SENSOR SJM,"$1,482.25",,
27200924,"HC ABLATION DEVICE,UTERINE NOVASURE","$5,093.00",,
76103832,HC ABLATION THERAPY 1+ PULM TUMORS PERQ CRYOABLATION,"$10,900.00",,
76103560,"HC ABLATION, 1+ LIVER TUMOR, PERQ, CRYOABLATION","$9,742.44",,
30200244,HC ABO TYPE,$87.00,,
76102923,HC ABORTION,"$4,305.35",,
76102924,HC ABORTION,"$4,764.00",,
76101127,HC ABRASION TREAT SKIN,"$5,436.51",,
76101128,HC ABRASION TREAT SKIN,"$1,596.00",,
76101129,HC ABRASION TREAT SKIN,"$1,271.34",,
76101130,HC ABRASION TREAT SKIN,"$1,141.85",,
76101131,"HC ABRASION, LESION, SI",$412.05,,
76101132,"HC ABRASION, LESIONS, A",$389.57,,
30000096,HC ABSOLUTE CD4 COUNT,$217.08,,
27201120,HC ABT-FOX CROSS BALLOON,"$1,347.50",,
27201121,HC ABT-FOX SV BALLOON 100-120MM,"$1,886.50",,
27400309,HC ABUTMENT W/CONNECTION SCREW 6MM,"$6,054.19",,
27000035,HC ACAPELLA DEVICE DISPOSABLE,$293.00,,
76103625,HC ACCESS THORACIC LYMPH DUCT,$452.73,,
27201033,HC ACCESSORY KIT STYLET,$521.00,,
27203222,HC ACCUCATH PICC BASIC BD,$169.84,,
27201334,HC ACCUNET RX 5.5-7.5MM X 190CM,"$7,176.50",,
27201700,HC ACCUSTICK INTRODUCTION SYS,$501.00,,
76101126,HC ACELLULAR DERM MATRI,"$4,327.92",,
30100039,HC ACETAMINOPHEN (TYLENOL),$266.71,,
30100040,"HC ACETONE, QUALITATIVE",$89.70,,
30100041,"HC ACETONE, QUANTITATIVE",$121.00,,
30100042,HC ACETYCHOLINESTERASE,$218.78,,
27201742,HC ACHIEVE NEEDLE BIOPSY 14 GA 11CM,$271.28,,
27201742,HC ACHIEVE NEEDLE BIOPSY 14 GA 11CM,$271.78,,
30000103,HC ACID HEMOLYSIS,$127.76,,
27201616,HC ACIST SYRINGE KIT,$153.63,,
76100003,HC ACNE SURGERY,$290.37,,
47100021,HC ACOUSTIC IMMITTANCE TESTING,$365.93,,
47100020,HC ACOUSTIC REFLEX TESTING,$133.00,,
27201780,HC ACROBAT CALIBRATED TIP WIRE,"$1,312.00",,
27500093,HC ACS BI-V-ICD CONTAK RENEWAL,"$35,393.00",,
27500094,HC ACS BI-V-ICD CONTAK RENEWAL 3,"$43,825.00",,
30100044,HC ACTH (ADRENOCORTIOTROPIC HORMONE),$332.95,,
92000038,HC ACTIGRAPHY TESTING,$471.30,,
94000017,HC ACTINOTHERAPY,$180.27,,
30500032,HC ACTIVATED PROTEIN C(APC) RESIS,$231.23,,
30100007,"HC ACUTE, HEPATITIS PANEL",$517.50,,
80100001,HC ACUTE-HEMODIALYSIS/IN HOSP,"$1,658.86",,
30100043,HC ACYLCARNITINES QUANTITATIVE,$211.69,,
30700027,"HC ACYLCARNITINES, QUALITATIVE",$76.00,,
27201375,HC AD-5FX90CM OMNIFLUSH,$176.28,,
27400264,HC ADAPT LIGHT 3A STYLE 367 BREAST FORM,$894.65,,
27201037,HC ADAPTER CPS AIM SL SAFESHEATH SEAL,"$2,690.00",,
27201032,HC ADAPTER HEMO CARDIODRIVE SYSTEM,$521.00,,
27201044,HC ADAPTER MONITOR WIRELESS CELL & SERVICE,"$2,426.00",,
27201038,HC ADAPTER POSITION 4FRENCH SL,"$1,348.00",,
27200147,"HC ADAPTER, HEMOSTASIS VALUE W/GU",$410.00,,
27200785,"HC ADAPTER,GATEWAY",$178.00,,
27200148,"HC ADAPTER,SAFESHEATH SEALING CPS",$369.00,,
27203017,HC ADAPTIC STERILE DSG 3 X 3,$4.00,,
27203018,HC ADAPTIC STERILE DSG 3 X 8,$4.00,,
27201535,HC ADAPTOR 2872,"$3,721.00",,
27201536,HC ADAPTOR 5866 - 38M,"$3,721.00",,
27201537,HC ADAPTOR 5866 - 40M,"$3,721.00",,
27200800,"HC ADAPTOR,GATEWAY",$182.00,,
27201542,HC ADAPTOR/EXTNDR KIT DF-1-672625,$159.00,,
27400384,HC ADD JOINT UPPER EXT ORTHOSIS (L3956),$120.00,,
27400044,HC ADD LE ORTHOSIS;PER BAR,$99.00,,
27400030,HC ADD TO HALO MRI COMPATBL,"$2,369.00",,
76100431,HC ADD WALKER TO CAST,$446.28,,
76100091,HC ADDD SKIN LESNS INJ,$326.21,,
54700003,HC ADENOSIN PER 6MG,$85.28,,
30100045,"HC ADENOSINE, 5- MONOPHOSPHATE, (CYCLIC AMP)",$385.29,,
30600046,HC ADENOVIRUS ANTIGEN RL,$131.81,,
27202558,HC ADEPT RETAINER VISCERA GLASSMAN FISH,$186.05,,
27201767,HC ADH SKIN TOP DRMBND PRINEO SHRT,$501.42,,
27201199,HC AD-HEMODIALYSIS CATH,"$1,611.61",,
27200024,HC ADHESIVE LIG MASTISOL 2/3,$10.00,,
76101220,HC ADJUST BONE FIXATION,"$7,090.06",,
99000009,HC ADJUSTABLE HAND HELPER,$17.10,,
77100011,HC ADMIN HEPATITIS B VACCINE,$63.76,,
77100007,HC ADMIN INFLUENZA INTRANASAL-SEASONAL,$25.00,,
77100008,HC ADMINISTER FLU VACCINE,$25.00,,
45000397,HC ADMINISTER IMM 1 VACCINE,$87.07,,
77100009,HC ADMINISTER PNEUMOCOCCAL VACCINE,$63.76,,
27201213,HC AD-PRO INFUSION CATH,$826.78,,
27200069,HC ADPT NEBULIZER,$16.00,,
27100024,HC ADPT TRACH T W/BAG,$8.00,,
27203251,HC ADULT DIALYZER,$87.54,,
27201598,HC ADULT FOAM HEAD HOLDER,$14.98,,
27201596,HC ADULT OXYGEN SENSOR,$72.10,,
27800803,HC ADVANCE 18LP LOW PROFILE PTA BALLOON DILATION CATHETER,"$1,103.00",,
45000456,HC AEROSOL HHN TREATMENT,$170.47,,
41000008,"HC AEROSOL INHALATION,PENTAMIDINE",$471.90,,
27000036,"HC AEROSOL OXY-HOOD,INITIAL DAY",$864.00,,
27000037,"HC AEROSOL OXY-HOOD,SUBSEQUENT",$609.00,,
41000012,HC AEROSOL VAPOR INHALATION EDUCATION/INSTRUCTION,$170.47,,
63601066,"HC AFFINITY (Q4159), PER SQ CM","$1,133.57",,
27400040,HC AFO POLYPRO.JTS.L,"$1,038.00",,
27400038,HC AFO POSTRIOR LEAF SPRING L1940,$739.00,,
27400039,HC AFO SOLID ANKLE,$809.00,,
30100057,HC AFP-L3 ISOFORM AND TOTAL AFP,$492.43,,
76100933,HC AFTER CATARACT LASER,"$2,059.20",,
27801371,HC AGA/CRIBRIFORM SEPTALOCCLUDER 18-25MM,"$20,844.00",,
37000001,HC AGE < 1 OR > 70,$100.22,,
30200051,"HC AGGLUTINATION PARTICLE, ANTIBO",$172.06,,
30200052,"HC AGGLUTINATION PARTICLE,TITER;E",$168.00,,
30200002,"HC AGGLUTININS; FEBRILE, EACH ANT",$82.52,,
27000373,HC AHA ANYTIME INFANT CPR KIT,$69.92,,
27200868,HC AIR TIP ENEMA MILLER,$620.00,,
27200969,HC AIRWAY MASK,$82.00,,
46000030,HC AIRWAY RESISTANCE BY IMPULSE 0,$514.14,,
76100491,HC AIRWAYS SURGICAL PR,"$2,086.91",,
76103484,HC AIRWAYS SURGICAL PR (BRONCHOSCOPY),"$2,086.91",,
27400065,HC AK SHRINKER,$119.00,,
27000304,HC ALARM FALL FOR LOW BED,$39.00,,
30100046,HC ALBUMIN SERUM,$80.33,,
30700028,"HC ALBUMIN, ISCHEMIA MODIFIED",$83.80,,
30100047,HC ALBUMIN; URINE,$79.73,,
54700033,HC ALBUTEROL PREMIX INHALATI,$17.29,,
45000267,HC ALCOHOL BLOOD DRAW,$31.68,,
76103346,HC ALCOHOL MISUSE ANNUAL SCREENING 15 MIN,$50.70,,
76103345,HC ALCOHOL MISUSE BRIEF COUNSELING 15 MIN,$115.92,,
30100050,"HC ALCOHOL, ANY SPECIMEN",$119.60,,
90000003,HC ALCOHOL/DRUG SCRN/INT SVC 15-3,$157.59,,
90000004,HC ALCOHOL/DRUG SCRN/INT SVC>30MIN,$203.65,,
30100612,HC ALCOHOLS BIOMARKERS 1 OR 2,$193.18,,
30100673,HC ALCOHOLS BIOMARKERS 1 OR 2,$193.18,,
27202566,HC ALCON BRUSH BIPOLAR OPTHALMIC,$94.18,,
27202523,HC ALCON NEEDLE OPTHALMIC SOFT TIP,$145.14,,
30100051,HC ALDOLASE,$131.07,,
30100052,HC ALDOSTERONE,$371.92,,
30100268,HC ALKALINE PHOSPHATASE,$94.88,,
30200003,HC ALLERGEN SPEC IGG QUA RL,$89.28,,
94900001,"HC ALLERGY INJ, SINGLE",$63.06,,
51000009,"HC ALLERGY INJ, TWO OR MORE",$90.92,,
51000009,"HC ALLERGY INJ, TWO OR MORE",$90.92,,
94900002,"HC ALLERGY INJ, TWO OR MORE",$90.92,,
51000008,"HC ALLERGY INJ,SINGLE",$63.06,,
92400004,"HC ALLERGY TEST, INTRACUTANEOUS (",$97.71,,
92400005,"HC ALLERGY TEST, INTRACUTANEOUS,",$100.10,,
92400001,"HC ALLERGY TEST, PERCUTANEOUS (SC",$24.00,,
92400009,"HC ALLERY TESTING,ANY CONBINATION,PERCUTA/INT",$79.42,,
92400010,"HC ALLERY TESTING,ANY CONBINATION,PERCUTA/INT",$97.71,,
54100010,HC ALLFIT OXYTIP SENSOR,$28.89,,
76102149,"HC ALLGRFT IMPLNT, KNEE","$9,536.10",,
27202211,HC ALLIGATOR RETRIEVAL DEVICE,"$9,650.00",,
63600008,HC ALLODERM PER SQ CM,$229.00,,
76103597,HC ALLOGRAFT FOR SPINE SURGERY ONLY STRUCTURAL,"$5,888.11",,
30100054,HC ALPHA-1-ANTITRYPSIN; PHENOTYPE,$172.95,,
30100053,HC ALPHA-1-ANTITRYPSIN; TOTAL,$169.00,,
30100055,HC ALPHA-FETOPROTEIN; SERUM,$193.00,,
30100056,HC ALPHA-FETOPROTEIN;AMNIOTIC,$170.81,,
54100004,HC ALS ROUTINE DISPOSABLE SUPPLIES,$67.16,,
54700002,HC ALS ROUTINE DISPOSABLE SUPPLIES,$67.16,,
27801462,HC ALTO MYOWIRE TEMPORARY PACING,$94.42,,
27202570,HC ALTO PUNCH AORTIC ROTATING,$130.08,,
27202605,HC ALTO WIRE PACING TEMPORARY WHITE,$95.96,,
27500073,HC ALTRUA 20 DR,"$12,034.00",,
27500072,HC ALTRUA 40 DR,"$14,157.00",,
27500086,HC ALTRUA 40 SR,"$19,113.00",,
27500074,HC ALTRUA 60 S602 DDDR,"$15,928.00",,
27500085,HC ALTRUA 60 SR,"$11,583.00",,
30100058,HC ALUMINUM,$182.00,,
45000094,HC ALVEOLAR RIDGE FRACTURE-CLOSED TR,"$5,513.38",,
54200007,HC AMB ALS LEVEL 2,"$1,212.95",,
54200006,"HC AMB BASIC LIFE SUPPORT SERVICE,EMERGENCY",$699.73,,
54200005,"HC AMB BASIC LIFE SUPPORT SERVICE,NONEMERG",$444.31,,
34200003,HC AMB BLS MILEDEATHNON=>100,$5.94,,
54200011,HC AMB HOSPICE,$246.27,,
54200012,HC AMB PATIENT ASSISTANCE,$246.27,,
54200008,HC AMB SPEC CARE TRANSP SCT,"$1,432.73",,
27203109,HC AMBU BRONCHO ASCOPE 3 (3.8/1.2) (5.0/2.2),"$1,975.76",,
27202640,HC AMBU RESUSCITATOR MASK VALVE INFANT,$102.37,,
54200018,HC AMBULANCE OXYGEN AND SUPPLIES,$107.07,,
74000022,HC AMBULATORY EEG MONITORING,"$2,923.72",,
30100012,HC AMIKACIN,$180.00,,
30100059,"HC AMINES,VAGINAL FLUID,QUALITATIVE",$30.25,,
30101232,"HC AMINO ACID, SINGLE QUALITATIVE",$120.05,,
30100062,"HC AMINO ACIDS, 2-5 QUANTITATIVE",$211.69,,
30100063,"HC AMINO ACIDS, 6 OR MORE, QUANTITATIVE",$211.69,,
30000019,"HC AMINO ACIDS, MULTIPLE QUALITATIVE",$231.00,,
30100060,"HC AMINO ACIDS, SINGLE QUANTITATION",$289.00,,
30100061,"HC AMINOLEVULINIC ACID, DELTA",$183.36,,
30100575,HC AMIODARONE AND METABOLITE,$203.83,,
30100013,HC AMITRIPYTLINE,$226.55,,
30100064,HC AMMONIA,$195.00,,
76100810,"HC AMNIOCENTESIS, DIAGN","$1,059.30",,
76102906,"HC AMNIOCENTESIS, THERA","$1,859.83",,
40200061,"HC AMNIOCENTESIS,ULTRA.GUID,RAD S",$350.00,,
63600035,"HC AMNIOMATRIX, BIODMATRIX, INJ 1 CC",$139.96,,
30100365,HC AMNIOTIC FLUID SCAN,$81.69,,
27400285,HC AMOENA GRETA BRA STYLE #2124,$150.54,,
76101951,HC AMP OF FOOT AT ANKLE,"$6,816.55",,
30100065,HC AMPHETAMINE OR METHAMPHETAMINE,$196.65,,
27201104,HC AMPHIRION DEEP PTA BALLOON,"$1,719.00",,
27201681,HC AMPLATZ SUPER STIFF,$283.00,,
27000060,HC AMPLATZER ASO OCCLUDER,"$20,844.00",,
27800805,HC AMPLATZER DELIVERY SYSTEM,"$2,443.00",,
27801228,HC AMPLATZER DUCT OCCLUDER II,"$16,617.30",,
27201305,HC AMPLATZER GUIDEWIRE .035 260CM,$312.30,,
27800963,HC AMPLATZER MUSCULAR VSD OCCLUDER,"$25,090.00",,
27202916,HC AMPLATZER SIZING BALLOON II,"$1,428.35",,
27201327,HC AMPLATZER TORQVUE 45-180 DELIV 8-12F(R),"$2,685.40",,
27801227,HC AMPLATZER TORQVUE LP DELIVERY SYSTEM,"$3,578.99",,
27203206,HC AMPLATZER TORQVUE LP DELIVERY SYSTEM SJM,"$3,407.68",,
27202232,HC AMPLATZER VASCULAR PLUG II,"$2,383.00",,
45000153,"HC AMPUTATE FING/THMB,JT,PHAL,1,W,FLAP","$5,799.22",,
45000152,"HC AMPUTATE FING/THMB,JT/PHAL,1,W CLOS","$4,408.72",,
76101755,HC AMPUTATE METACARPAL,"$4,408.72",,
45000151,HC AMPUTATE METACARPAL BONE,"$4,408.72",,
76101756,HC AMPUTATION FING/THMB,"$5,799.22",,
76100350,HC AMPUTATION FING/THUMB,"$4,408.72",,
76101431,HC AMPUTATION FOLLOWU,"$2,846.97",,
76101505,HC AMPUTATION FOLLOW-UP,"$4,408.72",,
76101622,HC AMPUTATION FOLLOW-UP,"$4,408.72",,
76101868,HC AMPUTATION FOLLOW-UP,"$6,628.54",,
76101950,HC AMPUTATION FOLLOW-UP,"$6,628.54",,
76100411,HC AMPUTATION OF TOE,"$5,249.43",,
76102089,HC AMPUTATION THRU METAT,"$5,266.42",,
76102090,HC AMPUTATION TOE & MET,"$6,415.50",,
30100066,HC AMYLASE,$114.82,,
76100847,HC ANAL SP INF PMP W/MD,$865.48,,
76102965,HC ANAL SP INF PMP W/RE,$484.06,,
30200238,HC ANALYSIS INFOR DATA STORED IN,$136.90,,
76100846,HC ANALYZE SPINE INFUSI;W REPROGRAM,$834.96,,
76100845,HC ANALYZE SPINE INFUSI;W/O REPROGRAM,$743.66,,
27201539,HC ANCHORING SLEEVE  5867-2,$81.00,,
30100368,HC ANDROSTANEDIOL GLUCURONIDE,$252.36,,
30100067,HC ANDROSTENEDIONE,$265.38,,
30100068,HC ANDROSTERONE,$324.65,,
54700005,HC ANECTINE UP TO 20MG FLOPA,$72.11,,
37000002,HC ANES 0-30 MINUTES,$211.15,,
37000032,HC ANES EACH ADL 30 MIN,$211.15,,
37000003,HC ANES LABOR EPIDURAL,$544.34,,
37000004,HC ANES MAT 30 MIN,$893.39,,
37000009,HC ANES MAT EA ADL 15 MIN,$245.32,,
37000010,HC ANES MAT LCL ADL 15 MIN,$236.78,,
37000005,HC ANES MAT LOCAL 30 MIN,$416.19,,
37000006,HC ANESTHESIA MAT MAX/CASE,"$2,462.92",,
27201695,HC ANG CATH COBRA,$96.00,,
30000221,HC ANGELMAN SYNDROME (METH),$294.22,,
27203148,HC ANGIO CATH CHOCOLATE MEDTRONIC,"$3,935.20",,
27801635,HC ANGIO CATHETER QUICK CROSS,"$1,061.83",,
27203239,HC ANGIO PACK HEMOSTASIS MERIT,$115.80,,
27801362,HC ANGIO SEAL,"$1,075.31",,
27203002,HC ANGIODYNAMICS BIOFLO DIALYSIS CATH KIT,"$1,509.20",,
27203003,HC ANGIODYNAMICS BIOFLO DIALYSIS CATH PORT,"$1,886.50",,
27203022,HC ANGIODYNAMICS BIOFLO MIDLINE 4F,$832.95,,
27203023,HC ANGIODYNAMICS BIOFLO MIDLINE 5F,$883.96,,
27202798,HC ANGIODYNAMICS CATH ANGIOGRAPHY DIAGNOSTIC NON BRAIDED SOFT-VU,$100.36,,
27202865,HC ANGIODYNAMICS CATHETER ANGIOGRAPHY DIAGNOSTIC KUMPE,$270.66,,
27801426,HC ANGIODYNAMICS CATHETER KUMPE,$100.36,,
27202783,HC ANGIODYNAMICS CATHETER SOFT-VU BRAIDED JB 4F X 100 CM X 3 CM TIP,$115.80,,
27201979,HC ANGIODYNAMICS MARINER BRAIDED DIAGNOSTIC CATHETER,$284.54,,
27202914,HC ANGIODYNAMICS MARINER BRAIDED DX CATH 5F,$475.09,,
27202997,HC ANGIODYNAMICS PROTECTION STATION KIT,$95.03,,
27201205,HC ANGIODYNAMICS UNI-FUSE CATH,$451.10,,
27201724,HC ANGIOFILL II FLUID MANAGEMENT,$85.00,,
27201518,HC ANGIOFLUSH FLUID MGMT SYS,$279.00,,
32000228,"HC ANGIOGRAM,EXISTING CATHETER,FO","$1,139.73",,
27201694,HC ANGIOGRAPHIC CATH PEDI (O/PIG),$134.00,,
27201692,HC ANGIOGRAPHIC CATHETER H1,$107.00,,
27201691,HC ANGIOGRAPHIC CATHETER JB2,$110.00,,
27201690,HC ANGIOGRAPHIC CATHETER PIGTAIL,$87.00,,
27201693,HC ANGIOGRAPHIC CATHETER SIM2,$87.00,,
27201711,HC ANGIOGRAPHIC PACK,$469.00,,
