Charge code,Service/Charge Description,CPT/HCPCS Code,Price
25003022,Dextrose 5% 1/2 NS 1000 mL Bag, ,CALL
25003031,IR LR 3000mL Fluid, ,CALL
25003034,Sod Chloride 0.9% 50mL Minibag, ,CALL
25003036,NS 0.45% (1/2 NS) 1000 mL Bag, ,CALL
25003041,"Dextrose 10% 1,000 mL Bag", ,CALL
25003051,Sod Chloride 0.9% 1500 mL Btl, ,CALL
25003052,IR Sterile H20 1000mL, ,CALL
25003053,IR Sterile H20 1500mL, ,CALL
25003054,IR Sterile H20 3000mL, ,CALL
25003067,Sterile Water 20 mL Vial, A4216,CALL
25003069,IV Interlink Blood Admin Set, ,CALL
25003081,IV Set Y-Blood Tubing, ,CALL
25004603,Racemic Epi 2.25% Resp Ampule, ,CALL
25004604,Acetaminophen 80mg Tab, ,CALL
25004605,Acetamiop 160mg/5mL 120mL Elix, ,CALL
25004606,Acetaminop 80mg/0.8mL 15mL Dps, ,CALL
25004607,Acetaminophen 120mg Supp, ,CALL
25004608,Acetaminophen 325mg Supp, ,CALL
25004609,Acetaminophen 650mg Supp, ,CALL
25004610,Acetaminophen 325mg Tab, ,CALL
25004611,Acetaminophen W/Cod Elix 120mL, ,CALL
25004614,Acetazolamide 250mg Tab, ,CALL
25004616,Acetylcyst Neb 30mL V/Oral, ,CALL
25004617,Char Act W/Sorb 50GM/240mL Btl, ,CALL
25004618,Char Act Aq 50GM/240mL 240mLbt, ,CALL
25004619,Acyclovir 400mg Tab, ,CALL
25004621,Acyclovir 50mg/mL-10mL V, J0133,CALL
25004623,Adenosine 3mg/mL- 2mL V Inj, J0153,CALL
25004625,Albumin Human 5% - 50mL V, P9041,CALL
25004627,Albuterol 8 g Inhaler, J3535,CALL
25004631,Albuterol Inhalation per 1mg, ,CALL
25004632,Albuterol 5% 5mg/mL 20mL Btl, ,CALL
25004634,Allopurinol 100mg Tab, ,CALL
25004635,Allopurinol 300mg Tab, ,CALL
25004637,Alprazolam 0.25mg Tab, ,CALL
25004638,Alprazolam 0.5mg Tab, ,CALL
25004639,Alteplase 100mg - 100mg V, J2997,CALL
25004644,Amantadine HCL 100mg Cap, ,CALL
25004645,Zolpidem Tartrate 5mg Tab, ,CALL
25004646,Amino Acid Inf 500mL-500mL Bag, ,CALL
25004649,Amiodarone 200mg Tab, ,CALL
25004651,Amitriptyline HCL 25mg Tab, ,CALL
25004652,Amitriptyline HCL 50mg Tab, ,CALL
25004654,Amoldipine Besylate 5mg Tab, ,CALL
25004657,Amox Trihdrate 250mg Chew Tab, ,CALL
25004659,Amox Trihydrate 500mg Cap Prep, ,CALL
25004661,Amox K/Clavulanate 500mg Tab, ,CALL
25004663,Amoxicill 250mg/5mL-80mL Btl, ,CALL
25004670,Ampicillin Sodium Inj 500mG, J0290,CALL
25004671,"Ampicillin Sod 2g, 2g V", J0290,CALL
25004672,Ampicillin Sod 250mg V, J0290,CALL
25004673,Ampicillin Sod 500mg V, J0290,CALL
25004682,Ascorbic Acid 250mg Tab, ,CALL
25004683,Ascorbic Acid 500mg Tab, ,CALL
25004684,Asprin Effervescent Tab, ,CALL
25004685,Aspirin Suppository 300mg, ,CALL
25004686,Aspirin 81mg Tab, ,CALL
25004687,Aspirin Enteric Coat 325mg Tab, ,CALL
25004689,Aspirin 325mg Tab, ,CALL
25004691,Atracurium Besyl 10mg MDV, ,CALL
25004692,Atropinesulf 0.1mg/mL-10mL Syr, J0461,CALL
25004695,Atropine Sulf 0.4mg/mL 1mL V, J0461,CALL
25004696,Atropine Sulf 1mg/mL-1 mL V, J0461,CALL
25004699,"Ipratropium Bro 2.5mL,2.5mL V", ,CALL
25004702,Amox W/Clav 250mg/5mL-75mL Btl, ,CALL
25004703,Amox K/Clavulanate 875mg Tab, ,CALL
25004705,Azithromycin 250mg Tab, ,CALL
25004708,Bacitracin (Opth) 3.5g Tube, ,CALL
25004709,Bacitracin Ointment 30g Tube, ,CALL
25004711,Bacitracin 500 U/g-1 Pkt, ,CALL
25004712,Bactracin 50000 U V, J3490,CALL
25004713,Baclofen 10mg Tab, ,CALL
25004725,Benzocaine Top 60mL- 60mL Btl, ,CALL
25004726,Benztropine Mes 1mg/mL-2mL Amp, J0515,CALL
25004727,Benztropine Mesylate 1mg Tab, ,CALL
25004728,Benztropine Mesylate 2mg Tab, ,CALL
25004730,Bethameth Diprop 15g Tube, ,CALL
25004731,Bethameth Valer 6mg/mL, J0702,CALL
25004739,Sod Cit/Citric Acid 30mL Sol, ,CALL
25004740,Bisacodyl 10mg Supp, ,CALL
25004741,Bisacodyl 5mg Tab, ,CALL
25004742,Starch 1mg Supp, ,CALL
25004753,"Meas,Mump,Rubel virus 0.5mL V",90707,CALL
25004756,Bupivacaine W/Epi 0.5% 30mL V, J3490,CALL
25004757,Bupivacaine 0.5% 30mL V, J3490,CALL
25004759,Bupivacaine 0.5% 10mL SDV, J3490,CALL
25004760,Clotrimazole 10mg Loz, ,CALL
25004761,Bupivacaine 0.25% 30mL V, J3490,CALL
25004762,Bupivacaine 0.75% 30mL V, J3490,CALL
25004763,Bupivacaine W/Epi0.25% 30mL V, S0020,CALL
25004765,Buspirone HCL 10mg Tab, ,CALL
25004767,Butorphanol Tart 1mg/mL-1mL V, J0595,CALL
25004773,Calcium Carbonate 500mg Tab, ,CALL
25004774,Calcium Chloride 10%-10mL Syr, J3490,CALL
25004775,Calc Gluc 4.65Meq/10mL-10mL V, J0610,CALL
25004782,Sucralfate 1gm/10mL 480mL Btl, ,CALL
25004785,Carbamazepine 200mg Tab Reg, ,CALL
25004787,Carbidopa W/Levod 25/100mg Tab, ,CALL
25004789,Carbopro Trometh 250Mcg-1 Amp, J3490,CALL
25004800,Cefazolin Sodium 1g-1g V, J0690,CALL
25004801,Cefazolin Sod 500mg-500mg V, J0690,CALL
25004809,Cefoteta Disodium 1gm-1gm V, J3490,CALL
25004810,Cefoxitin Sod 1gm-1gm V, J0694,CALL
25004814,Ceftazidime 1gm-1gm V, J0713,CALL
25004815,Ceftazidime 2gm-2gm V, J0713,CALL
25004820,Ceftriax Sod 500mg- 500mg V, J0696,CALL
25004821,Ceftriaxone Sod 1gm-1gm V, J0696,CALL
25004822,Ceftriaxone Sod 2gm-2gm V, J0696,CALL
25004823,Ceftriax Sod 250mg-250mg V, J0696,CALL
25004827,Cefuroxime Axetil 125mg Tab, ,CALL
25004830,Cephalexin Monohydra 250mg Cap, ,CALL
25004832,Cephalexin 250mg/5mL-100mL Btl, ,CALL
25004833,Cephalexin Monohydra 500mg Cap, ,CALL
25004836,Chlorproma HCL 25mg/mL-1mL Amp, J3230,CALL
25004840,Cholrdiazepoxide HCL 25mg Cap, ,CALL
25004841,Chlorhex Gluc 480mL-480mL Btl, ,CALL
25004842,Chloraseptic Spray 175 mL Btl, ,CALL
25004859,Ciprofloxacin 500mg Tab, ,CALL
25004862,Magnesium Citrate 300mL Sol, ,CALL
25004867,Clarithromycin 500mg Tab, ,CALL
25004868,Loratadine 10mg Tab, ,CALL
25004870,Clindamycin 150mg/mL 600mg Vl, ,CALL
25004872,Clindamycin HCL 150mg Cap, ,CALL
25004875,Clonazepam 0.5mg Tab, ,CALL
25004876,Clonazepam 1mg Tab, ,CALL
25004877,Clonidine HCL 0.1mg Tab, ,CALL
25004878,Clonidine Trans 0.1mg Patch, ,CALL
25004886,Clozapine 100mg Tab, ,CALL
25004891,Cocaine HCL 4mL V 4%, J3490,CALL
25004897,Colchicine 0.6mg Tab, ,CALL
25004899,Peg/Electrolyte 4000mL Solutio, ,CALL
25004902,Amiodarone HCL 30mg, J0282,CALL
25004904,Cosyntropin 0.25mg V Inj, J0834,CALL
25004905,Warfarin Sodium 1mg Tab, ,CALL
25004907,Losartan Potassium 50mg Tab, ,CALL
25004909,Multi Vitamins W/Minerals Tab, ,CALL
25004910,Cyclobenzaprine HCL 10mg Tab, ,CALL
25004911,Cyclopentolate HCL 2mL Btl Sol, ,CALL
25004922,Dexamethasone per0.1mg/mL Elix, J8540,CALL
25004925,Methylpredniso Acet 80mg/mL V, J1040,CALL
25004926,Medroxyproges Acet 150mg/mL V, J1050,CALL
25004935,Dexameth Sodphos 4mg/mL 1mL V, J1100,CALL
25004936,Dexameth Sodpho 1mg/mL, J1100,CALL
25004938,Dexamethasone 4mg Tab, J8540,CALL
25004939,Dexamethasone 0.1% Oph Sol 5mL, ,CALL
25004940,Dextrose 5% 250mL Bag Inj, ,CALL
25004941,Dextrose 50% 50mL Inj Syringe, J3490,CALL
25004943,Dihydroergot Mesylate 1mg Amp, J1110,CALL
25004945,Diazepam 5mg/mL 2 mL Syringe, J3360,CALL
25004946,Diazepam 5mg Tab, ,CALL
25004950,Dicloxacillin Sod 250mg Cap, ,CALL
25004951,Dicyclomine HCL 10mg Cap, ,CALL
25004955,Digoxin 0.5 mg/2mL Sol 2mL Amp, J1160,CALL
25004956,Digoxin 0.05mg/mL Liquid, ,CALL
25004958,Digoxin 0.125mg Tab, ,CALL
25004959,Digoxin 0.25mg Tab, ,CALL
25004962,Diltiazem HCL 120mg Cap, ,CALL
25004963,Diltiazem HCL 180mg Cap, ,CALL
25004966,Diltiazem HCL 60mg Cap, ,CALL
25004969,Diltiazem HCL 60mg Tab, ,CALL
25004971,Diltiazem HCL 5mg/mL 5 mL V, J3490,CALL
25004975,Dinoprostone 10mg Supp, ,CALL
25004978,Diphenhydramine HCL 25mg Cap, ,CALL
25004979,Diphenhydramine HCL 50mg Cap, ,CALL
25004980,Diphenhydram 50mg/mL-1mL V, J1200,CALL
25004981,Diphenoxylate HCL 2.5mg Tab, ,CALL
25004988,Disulfiram 250mg Tab, ,CALL
25004989,Divalproex Sod 250mg Tab, ,CALL
25004991,Docusate Sod 100mg Cap, ,CALL
25004996,Dopamine 800mg/250mL Premx Inj, J1265,CALL
25004998,Doxycycline Hyclate 100mg Cap, ,CALL
25005000,Doxepin HCL 50mg Cap, ,CALL
25005007,Doxycycline Hyclate 100mg V, J3490,CALL
25005014,Edrophon Chlo 10mg/mL 15mL MDV, J3490,CALL
25005018,Multi Electrolyte Add. 20mL V, ,CALL
25005019,Lidocaine/Prilocaine 5gm Tube, ,CALL
25005020,Lidocaine/Prilocaine 30gm Tube, ,CALL
25005026,Enema Sod Phosph/Biphos Sol, ,CALL
25005027,Enema Mineral Oil 133mL Sol, ,CALL
25005028,Enema Sod Phosph/Biph 133mLsol, ,CALL
25005030,Enoxaparin Sod 30mg/0.3mL Syr, J1650,CALL
25005032,Epinephrine 1mg/mL- 1mL Amp, J0171,CALL
25005037,Epinephrine 0.1mg/mL 10mL Syr, J0171,CALL
25005040,Epinephrin HCL 1mg/mL MDV, J0171,CALL
25005041,"Epoetin Alfa 20,000U/mL 1mLMDV", J0885,CALL
25005044,Erythromycin Opht Ointment 1gm, ,CALL
25005054,Epoetin Alfa 2000 U/mL V, J0885,CALL
25005055,Esmolol HCL 10mg/mL-10mL V, J3490,CALL
25005056,Esmolol HCL 10mg/mL 250mL Bag, J3490,CALL
25005060,Conjugated Estrogen 25mg V, ,CALL
25005064,Ethambutol HCL 400mg Tab, ,CALL
25005066,Etomidate 2mg/mL 10mL V, J3490,CALL
25005069,Famotidine 20mg Tab, ,CALL
25005070,Famotidine 40mg Tab, ,CALL
25005071,Famotidine 10mg/mL MDV, J3490,CALL
25005074,Fentanyl 25Mcg/Hr Patch, ,CALL
25005075,Fentanyl 50Mcg/Hr Patch, ,CALL
25005076,Fentanyl Citrate 100Mcg/2mL Vi, J3010,CALL
25005077,Fentanyl Citrate 250Mcg/5mL Vi, J3010,CALL
25005078,Ferrous Gluconate 324mg Tab, ,CALL
25005080,Ferrous Sulfate 325mg Tab, ,CALL
25005081,Ferrous Sulfate Elix 8.8mg/mL, ,CALL
25005086,Finasteride 5mg Tab, ,CALL
25005088,Fluorescein Sod 9mg Strip, ,CALL
25005092,Fluconazole 100mg Tab, ,CALL
25005093,Fludrocortisone Acet 0.1mg Tab, ,CALL
25005094,Flumazenil 0.1mg/mL 5mL MDV, J3490,CALL
25005101,Fluoxetine HCL 20mg Cap, ,CALL
25005103,Fluphenaz HCL 2.5mg/mL MDV, ,CALL
25005104,Fluphenazine HCL 5mg Tab, ,CALL
25005110,Folic Acid 5mg/mL MDV, J3490,CALL
25005111,Folic Acid 1mg Tab, ,CALL
25005118,Furosemide 10mg/mL 10mL V, J1940,CALL
25005119,Furosemide 10mg/mL 4mL V, J1940,CALL
25005121,Furosemide 20mg Tab, ,CALL
25005122,Furosemide 40mg Tab, ,CALL
25005123,Gabapentin 100mg Cap, ,CALL
25005124,Gabapentin 300mg Cap, ,CALL
25005125,Gelatin 25X50 Oph Sponge, ,CALL
25005126,Gelfoam 100Cm Dose, ,CALL
25005127,Gelfoam 127Cm Dose, ,CALL
25005128,Gemfibrozil 600mg Tab, ,CALL
25005131,Gentamicin 10mg/mL 2mL V, J1580,CALL
25005134,Gentamicin Sulf 3.5gm Tube, ,CALL
25005137,Glipizide 10mg Tab, ,CALL
25005138,Glucagon 1mg V, J1610,CALL
25005139,Glucose Gel 15gm Dose, ,CALL
25005140,Glyburide 5mg Tab, ,CALL
25005143,Glycerin 1.5gm Supp, ,CALL
25005145,Glycopyrrolate 0.2mg/mL 1mL Vi, J3490,CALL
25005146,Peg/Electrolyte 4L Golytly Sol, ,CALL
25005149,Dextromethorphan/Gg 120mL Syrp, ,CALL
25005151,Guaifenesin 20mg/mL Syrup, ,CALL
25005154,Haloperidol Lactate 2mg/mL Sol, ,CALL
25005155,Haloperidol Lact 5mg/mL 1mL Vi, J1630,CALL
25005157,Haloperidol 1mg Tab, ,CALL
25005159,Haloperidol 5mg Tab, ,CALL
25005163,Haloperidol Dec 50mg/mL 1mL Vi, J1631,CALL
25005166,Tet/Diphth Tox Td 0.5mL Inj,90714,CALL
25005168,Hydrocortisone Acet 25mg Supp, ,CALL
25005169,Hydrochlorothiazide 25mg Tab, ,CALL
25005173,Hep B Vac Rco 20Mcg/mL V, ,CALL
25005177,Heparin Sod 1000 U/mL 1mL V, J1644,CALL
25005179,Heparin Sod 5000U/mL MDV, J1644,CALL
25005180,Heparin 10 U/mL Syr 5mL, J1642,CALL
25005184,Heparin 100 Units/mL Syr 5mL, J1642,CALL
25005194,Hyaluronidase 200U/mL V, J3471,CALL
25005195,Hydralazine HCL 20mg/mL 1mL Vi, J0360,CALL
25005196,Hydralazine HCL 25mg Tab, ,CALL
25005197,Hydralazine HCL 10mg Tab, ,CALL
25005200,Hydrocortiso Sod Succ 100mg Vi, J1720,CALL
25005201,Hydrocortiso Sod Succ 250mg Vi, J1720,CALL
25005202,STERILE H2O 4 INJECTION 500mL, ,CALL
25005204,Hydrocort 2.5% Topicl 30gm Crm, ,CALL
25005206,Carbamide Peroxide 15mL Btl, ,CALL
25005208,Hydromorphone HCL 2mg Tab, ,CALL
25005209,Hydrophilic Ointment 114gm Jar, ,CALL
25005210,Hydroxyzine HCL 25mg Tab, J8499,CALL
25005217,Hydroxychlorquin Sul 200mg Tab, ,CALL
25005220,Sterile Water 50mL V, ,CALL
25005221,Sterile Water 1500mL Btl, A4216,CALL
25005222,Ibuprofen 20mg/mL Suspension, ,CALL
25005224,Ibuprofen 400mg Tab, ,CALL
25005225,Ibuprofen 600mg Tab, ,CALL
25005226,Ibuprofen 800mg Tab, ,CALL
25005228,Ibuprofen 200mg Tab, ,CALL
25005230,Isosorbide Mononitrat 60mg Tab, ,CALL
25005232,Imipenem W/Cilast Sod 500mg Vl, J0743,CALL
25005233,Imipenem W/Cilast Sod 250mg Vl, J0743,CALL
25005241,Azathioprine 50mg Tab, J7500,CALL
25005246,Indomethacin 25mg Cap, ,CALL
25005261,Ipratropium Bromide 14gm Inh, ,CALL
25005263,Iron Dextran 50mg/mL V, J1750,CALL
25005268,Isoniazid 300mg Tab, ,CALL
25005270,Isosorbide Dinitrate 10mg Tab, ,CALL
25005276,Dextrose 5% 100mL Bag, ,CALL
25005278,Dextrose 5% 50mL Bag, ,CALL
25005279,Dextrose 5% 500mL Bag, J7060,CALL
25005280,Enalaprilat 1.25mg/mL 2mL V, J3490,CALL
25005282,Sod Chloride 0.9% 100mL Bag, ,CALL
25005283,Sod Chloride 0.9% 250mL Bag, J7050,CALL
25005284,Sod Chloride 0.9% 50mL Bag, ,CALL
25005285,Sod Chloride 0.9% 500mL Bag, J7030,CALL
25005288,IV D5 .45Ns Kcl20 1000mL Premx, J3480,CALL
25005292,Ketorolac Tromethamin 10mg Tab, ,CALL
25005298,Labetalol HCL 5mg/mL MDV, J3490,CALL
25005299,Labetalol HCL 200mg Tab, ,CALL
25005301,Lactulose Syrup 1480 mL Bottle, ,CALL
25005302,LamIVudine 150mg Tab, ,CALL
25005303,Lanolin Ointment 7gm Tube, ,CALL
25005308,Leucov Calc 100mg/10mL-10mL V, J0640,CALL
25005309,Levothyrox Sod 200Mcg V, J3490,CALL
25005310,Levothyroxine Sod 0.05mg Tab, ,CALL
25005311,Levothyroxine Sod 0.1mg Tab, ,CALL
25005312,Levothyroxine Sod 0.15mg Tab, ,CALL
25005315,Chlordiazepoxide HCL 10mg Cap, ,CALL
25005319,Lidocaine HCL 4% Local 4mL Syr, ,CALL
25005320,Lidocaine HCL 2%  5mL Syr, J2001,CALL
25005322,Lidocaine W/Epi 1% 30mL V, J3490,CALL
25005324,Lidocaine HCL 1% 30mL SDV, J2001,CALL
25005326,Lidocaine HCL 1% 30mL SDV, J2001,CALL
25005327,Lidocaine W/Epi 1% 30mL MDV, J3490,CALL
25005330,Lidocaine HCL 2% 30gm Tube Jly, ,CALL
25005331,Lidocaine HCL 2% 20mL MDV, J2001,CALL
25005333,Lidocaine W/Epi 2% 30mL MDV, J3490,CALL
25005334,Lidocaine W/Epi 2% 20mL SDV, J3490,CALL
25005337,Lidocaine HCL 35gm Tube Oint, ,CALL
25005340,Lidocaine HCL .5% 50mL SDV, ,CALL
25005344,Lisinopril 10mg Tab, ,CALL
25005346,Lisinopril 5mg Tab, ,CALL
25005347,Lithium Carbonate 300mg Cap, ,CALL
25005349,Lithium Carbonate 450mg Tab, ,CALL
25005353,Loperamide HCL 2mg Cap, ,CALL
25005355,Lorazepam 2mg/mL 1mL Syringe, J2060,CALL
25005356,Lorazepam 0.5mg Tab, ,CALL
25005357,Lorazepam 1mg Tab, ,CALL
25005372,Magnesium Oxide 250mg Tab, ,CALL
25005373,Magnes Sulf 500mg/mL 2mL V, J3475,CALL
25005374,Magnesium Sulf Inj 5 gm/10mL, J3475,CALL
25005375,Mag Sulf 4gm/100mL-100mL Bag, J3475,CALL
25005376,Mag Sulf 20gm/500mL-500mL Bag, J3475,CALL
25005378,Mannitol 12.5gm/50mL V, J2150,CALL
25005379,Mannitol 250mL Bag Inj, J2150,CALL
25005382,Meclizine HCL 25mg Tab, J8597,CALL
25005383,Medroxyprogest Acet 10mg Tab, ,CALL
25005390,Meperid HCL 100mg/mL 1mL Tubex, J2175,CALL
25005391,Meperid HCL 25mg/mL 1mL Tubex, J2175,CALL
25005397,Mepivac 1.5% 450mg/30mL 30mL, J0670,CALL
25005405,Metformin HCL 500mg Tab, ,CALL
25005406,Metformin HCL 850mg Tab, ,CALL
25005417,Methylene Blue 1mL Amp, Q9968,CALL
25005418,Methylene Blue 10mL Amp, Q9968,CALL
25005419,Methylergonov 0.2mg/mL 1mL Vl, J2210,CALL
25005420,Methylergonovine Mal 0.2mg Tab, ,CALL
25005422,Methylprednisol Sod Suc 1000mg, J2930,CALL
25005424,Methylpred Sod Succ 125mg V, J2930,CALL
25005425,Methylpred Sod Succ 40mg V, J2920,CALL
25005427,Methylprednisolone 4mg Tab, J7509,CALL
25005428,Metoclopram HCL 5mg/mL 2mL VL, J2765,CALL
25005431,Metoclopramide HCL 10mg Tab, J8597,CALL
25005432,Metolazon 2.5mg Tab, ,CALL
25005434,Metoprolol Tart 5mg/5mL 5mL VL, J3490,CALL
25005435,Metoprolol Tartrate 100mg Tab, ,CALL
25005436,Metoprolol Tartrate 50mg Tab, ,CALL
25005438,Metronidazole 500mg Tab, ,CALL
25005439,Metronidaz 500mg/100mL Bg Inj, J3490,CALL
25005442,Miconazole Nitrate 45gm Tube, ,CALL
25005445,Midazolam HCL 2mg/2mL V, J2250,CALL
25005447,Midazolam HCL 5mg/5mL V, J2250,CALL
25005449,Magnesium Hydroxide 30mL Susp, ,CALL
25005450,Mineral Oil 10mL V, ,CALL
25005456,Misoprostol 200Mcg Tab, ,CALL
25005463,Morphine Sulfate 1mg/mL Amp, J2270,CALL
25005466,Morphine Sul PCA 1mg/mL 30mLVL, J2270,CALL
25005467,Morphine Sulfate 30mg Tab, ,CALL
25005468,Morphine Sulfate 15mg Tab, ,CALL
25005469,Morphine Sul 10mg/mL 1mL Tubex, J2270,CALL
25005473,Multiple Vitamin Cap, ,CALL
25005474,Multiple Vitamin 10mL V, ,CALL
25005483,Sod Chlo 0.9% 250mL Adv Bg Inj, ,CALL
25005487,Nafcillin Sod 2gm V, J3490,CALL
25005493,Naloxone HCL 0.4mg/mL 1mL V, J2310,CALL
25005495,Naltrexone HCL 50mg Tab, ,CALL
25005497,Naproxen 250mg Tab, ,CALL
25005500,Prenat Multvit/Min W/Fe/Fa Tab, ,CALL
25005502,Neomyc/Poly/Dexamet 3.5gm Oint, ,CALL
25005504,Neomycin Sulfate 500mg Tab, ,CALL
25005505,Neomyc/Polym/Dexam Sus 5mL Btl, ,CALL
25005507,Neosporin Oph Oint 3.75gm Tube, ,CALL
25005508,Neostigmi Methy 1mg/mL 10mL MD, J2710,CALL
25005509,Phenylephrine HCL .5% Sol 15mL, ,CALL
25005511,Filgrastim 300Mcg/mL 1mL V, J1442,CALL
25005512,Gabapentin 400mg Cap, ,CALL
25005515,Throat Lozenges, ,CALL
25005516,Nicotine Polacrilex 2mg Gum, ,CALL
25005517,Nicotine 21mg Patch, ,CALL
25005518,Nicotine 7mg Patch, ,CALL
25005520,Nifedipine 10mg Cap, ,CALL
25005521,Nifedipine 30mg Tab, ,CALL
25005525,Nitroglycerin 0.4 mg/Hr Patch, ,CALL
25005528,Nitroglycerin 0.2mg/Hr Patch, ,CALL
25005531,Nitroglycer Sublingu 0.4mg Tab, ,CALL
25005532,Nitrofurantoin 50mg Cap, ,CALL
25005536,Nitroglycerin 250mL Inj, J3490,CALL
25005538,Nitroglycerin 4.9gm Spray, ,CALL
25005540,Nitroprusside Sod 50mg V, ,CALL
25005549,Insulin 70/30 100U/mL-10mL Vi, J1815,CALL
25005552,Nitroglycerin 30gm Tube, ,CALL
25005554,Nystatin 15gm Tube Cream, ,CALL
25005555,Nystatin 15gm Ointment, ,CALL
25005556,Nystatin Btl Powder, ,CALL
25005561,Lacrilub/Equ Ophth Oint 3.5gm, ,CALL
25005563,Olanzapine 5mg Tab, ,CALL
25005564,Ondansetron 1mg:8mg Non-Chemo, ,CALL
25005565,Ondansetron 2mg/mL 2mL SDV, J2405,CALL
25005566,Belldonna Alka Opium Supp, ,CALL
25005575,Oxybutynin Chloride 5mg Tab, ,CALL
25005579,Oxycodone HCL 5mg Tab, ,CALL
25005582,Oxymetazoline HCL 15mL Spr Btl, ,CALL
25005583,Oxytocin 10U/mL 1mL V, J2590,CALL
25005585,Amylase/Lipase/Protease Cap, ,CALL
25005588,Paroxetine 20mg Tab, ,CALL
25005592,Penicill G Benz. 1.2Mu/2mL Inj, J0561,CALL
25005594,Penicillin G Potassiu 5Mu V, J2540,CALL
25005597,Penicillin V Potassi 500mg Tab, ,CALL
25005598,Penicillin V Potassium Btl, ,CALL
25005602,Famotidine/Nacl 20mg/50mL Sol, J3490,CALL
25005604,Bismuth Subsalicyl 240mL Susp, ,CALL
25005605,Permethrin 60gm Tube, ,CALL
25005606,Perphenazine 4mg Tab, ,CALL
25005612,Phenazopyridine HCL 200mg Tab, ,CALL
25005616,PhenOBarbital 30mg Tab, ,CALL
25005620,Phenylephr HCL 10mg/mL 1mLV, J2370,CALL
25005626,Phenytoin Sod 50mg/mL 5mL V, J1165,CALL
25005627,Phenytoin Sod 100mg Cap, ,CALL
25005630,Phytonadione 10mg/mL 1mL Amp, J3430,CALL
25005631,Phytonadio 1mg/0.5mL 0.5mL Syr, J3430,CALL
25005640,Sod Polystyrene 15gm/60mL Susp, ,CALL
25005642,Potassium Ace 2Meq/mL 20mL vi, ,CALL
25005643,Potassium Chloride 10Meq Cap, ,CALL
25005645,Potass Chloride 2Meq/mL 10mLvi, J3480,CALL
25005646,Potass Chloride 20Meq/10mL Liq, ,CALL
25005647,Potass Chloride 20Meq Pwdr Pkt, ,CALL
25005649,Potassium Chloride 20Meq Tab, ,CALL
25005650,Pot Phosph Dibas 3Mm/mL 15mLvi, ,CALL
25005653,Tuberculin 1U/0.1mL Inj MDV, ,CALL
25005657,Prednisolone 3mg/mL Syrup, J7510,CALL
25005658,Prednisolone 1% Oph 5ml BtlSus, ,CALL
25005662,Prednisone 1mg Tab, J7512,CALL
25005663,Prednisone 10mg Tab, J7512,CALL
25005664,Prednisone 20mg Tab, J7512,CALL
25005665,Prednisone 5mg Tab, J7512,CALL
25005669,Probenecid 500mg Tab, ,CALL
25005673,Prochlorp Edisyl 5mg/mL 2mL vi, J0780,CALL
25005674,Prochlorpera Maleate 10mg Tab, ,CALL
25005675,Prochlorperazine 25mg Supp, ,CALL
25005679,Promethazin HCL 25mg/mL 1mL vi, J2550,CALL
25005681,Promethazine HCL 12.5mg Supp, ,CALL
