IVNUM,IVDESC,IVCPTCD,IVPRICE1
  999115,MISC ITEM HUMAN RESOURCES,,0
  999120,MISC ITEM HOUSEKEEPING,,0
  999125,MISC ITEM INFECTION CONTROL,,0
  999130,MISC ITEM IT,,0
  999135,MISC ITEM LAUNDRY,,0
  999140,MISC ITEM MORTUARY,,0
  999170,MISC ITEM PLANT,,0
 1000001,LACERATION REP-DERMABOND,,90.72
 1000002,CLSD TREAT FX DSTAL TIBIA,27824,1900.59
 1000003,INSERT TEMP CATHETER,51702,1329.05
 1000004,REMOVAL OF LESION 3.1 TO 4.0 CM,11424,486
 1000005,INC/DRN ABCSS/CYST SIMP;1,10060,496.7
 1000006,INC/DRN ABS/CYST CMP;MUL,10061,989.99
 1000007,INC/DRN PILONIDAL CYS;SMP,10080,771.12
 1000008,"INC/REM FB,SUBQ,SIMPLE",10120,615.77
 1000009,INS/DRN HEMAT/SEROMA/FLD,10140,760.92
 1000010,ASP ABS/HEMAT/BULLA/CYST,10160,527.31
 1000011,"I&D CMPLX,POST OP WND INF",10180,1346.06
 1000012,SKIN DEBRIDE 10% BDY,11000,479.69
 1000013,DEB INF SKN EA ADDL 10%,11001,272.16
 1000014,"DEBRIDEMENT,SKIN,PT THICK",11040,361.75
 1000015,"DEBRIDEMENT,SKIN,FULL THK",11041,512.57
 1000016,"DEBRIDEMENT,SKIN,SUBQ TIS",11042,840.3
 1000017,"DEBRIDE,SKIN,SUBQ TIS/MUS",11043,2639.96
 1000018,"DEBRIDE,SKIN/TIS/MUSC/BON",11044,3238.71
 1000019,BIOPSY OF SKIN LESION,11100,394.64
 1000020,BIOPSY EA ADDED LESION,11101,209.79
 1000021,REM SKIN LESN 1.1/2.0 CM,11402,755.25
 1000022,REM SKIN LESN 4.0 CM,11406,276.7
 1000023,"REMOVAL NAIL PLATE, SINGL",11730,648.65
 1000024,REM ADDITIONAL NAIL PLATE,11732,325.46
 1000025,DRAIN BLOOD FROM UN NAIL,11740,300.51
 1000026,REM NAIL BED PART OR COMP,11750,1343.79
 1000027,REM NAIL BED/FINGER TIP,11752,1940.28
 1000028,REPAIR OF NAIL BED,11760,1642.04
 1000029,INJ INTO SKN LESN OVER 7,11901,393.5
 1000030,REPR S-FICIAL WND 2.5CM,12001,713.29
 1000031,REPR S-FICIAL WND 7.5CM,12002,861.84
 1000032,RPR S-FICIAL WND 12.4 CM,12004,1068.23
 1000033,RPR S-FICIAL WND 20.0 CM,12005,1129.47
 1000034,RPR S-FICIAL WND 30.0,12006,1364.21
 1000035,RPR S-FICIAL WND OVE 30.0,12007,354.95
 1000036,REPR S-FICIAL WND 2.5CM,12011,861.84
 1000037,REPR S-FICIAL WND 5.0CM,12013,1009.26
 1000038,REPR S-FICIAL WOUND 7.5CM,12014,1068.23
 1000039,REPR S-FICIAL WOUND 12.5,12015,1306.37
 1000040,REPR S-FICIAL WOUND 20.C,12016,1898.32
 1000041,REPR S-FICIAL WOUND 30.0,12017,2373.47
 1000042,RPR S-FICIAL WND OVER 30.,12018,655.46
 1000043,CLOSURE OF SPLIT WOUND,12020,1098.85
 1000044,CLOSE SPLIT WOUND W/PACK,12021,861.84
 1000045,LAYER CLOS OF WND 2.5,12031,800.61
 1000046,LAYER CLOSURE OF WND 7.5,12032,1033.08
 1000047,LAYER CLOSURE OF WND 12.5,12034,1161.22
 1000048,LAYER CLOSURE OF WND 20.,12035,1572.86
 1000049,LAYER CLOSURE OF WND 30.,12036,1909.66
 1000050,LAYER CLOSURE OF WND 30.+,12037,484.22
 1000051,LAYER CLOSURE OF WND 2.5,12041,955.97
 1000052,LAYER CLOSURE OF WND 7.5,12042,1136.27
 1000053,LAYER CLOSURE OF WND 12.5,12044,1342.66
 1000054,LAYER CLOSURE OF WND 20.,12045,1754.3
 1000055,LAYER CLOSURE OF WND 30.,12046,2268
 1000056,LAYER CLOSURE OF WND 30+,12047,574.94
 1000057,LAYER CLOSURE OF WND 2.5,12051,1136.27
 1000058,LAYER CLOSURE OF WND 5.0,12052,1290.5
 1000059,LAYER CLOSURE OF WND 7.5,12053,1495.75
 1000060,LAYER CLOSURE OF WND 2.5,12054,1857.5
 1000061,LAYER CLOSURE OF WND 20.,12055,2476.66
 1000062,LAYER CLOSURE OF WND 30.,12056,2888.3
 1000063,LAYER CLOSURE OF WND 30+,12057,706.49
 1000064,REPR CMPLX TRUNK 2.5 CM,13100,1060.29
 1000065,REPR CMPLX TRUNK 7.5 CM,13101,1894.92
 1000066,RPR CPLX SCLP ARM LEG 2.5,13120,1672.65
 1000067,RPR CPLX SCLP ARM LEG 7.5,13121,2562.84
 1000068,REPR CMPLX 1.1CM TO 2.5CM,13131,1950.48
 1000069,FACILITY CMPLX RPR,13132,3788.7
 1000070,REPR CMPLX 1.0 CM OR LESS,13150,1728.22
 1000071,REPR CMPLX 1.1CM TO 2.5CM,13151,2452.85
 1000072,REPR CMPLX 2.6CM TO 7.5CM,13152,4790.02
 1000073,INT TREAT OF 1ST DEG BURN,16000,300.51
 1000074,TRTMNT OF BURN W/O ANEST,16020,463.81
 1000075,TRTMNT BURN W/O ANES MED,16025,734.84
 1000076,TRTMNT BURN W/O ANSTH LRG,16030,1087.51
 1000077,DESTRUCT OF FIRST LESION,17000,335.67
 1000078,DESTR 2ND/14 LESION EACH,17003,75.98
 1000079,DESTR 15/MORE LESION EACH,17004,704.22
 1000080,DEST MOLLUSC/FLT WART<14,17110,375.36
 1000081,EXPLOR PENTRAT WND EXTREM,20103,4017.77
 1000082,REM FOREIGN BODY SIMPLE,20520,926.48
 1000083,REM FOREIGN BDY COMPLCTD,20525,2854.28
 1000084,INJ TENDON/LIGAMENT/CYST,20550,424.12
 1000085,DRAIN/INJ BURSA JOIN/GAN,20600,450.2
 1000086,DRN/INJ INTERM JOINT/GAN,20605,467.21
 1000087,DRN/INJ MAJOR JOINT,20610,551.13
 1000088,TREAT NOSE FX W/O MANIPUL,21310,97.53
 1000089,TREAT NOSE FX W/O STABIL,21315,1571.73
 1000090,REPR NASAL SEPTAL FX,21337,2551.5
 1000091,TREAT EYE SOCKET FX,21400,1274.62
 1000092,TREAT LOWER JAW FX,21450,3005.1
 1000093,CLSD TREAT OF MANDIB DISL,21480,910.61
 1000094,DRAIN NECK/CHEST ABCESS,21501,3011.91
 1000095,TREAT RIB FX UNCOMPLICATE,21800,666.8
 1000096,REM SHOULDER FOREIGN BODY,23330,738.24
 1000097,CLAVICLE FX W/O MANIPULAT,23500,1314.31
 1000098,CLAVICLE FX W/MANIPULATIO,23505,2502.74
 1000099,CLAVICLE DISLOC W/O MANIP,23520,1564.92
 1000100,CLAVICLE DISLOCATION CLOS,23540,1501.42
 1000101,CLAVICE DISLOC W/MANIPULA,23545,1877.91
 1000102,SHOULDERBLADE FX CLOSED,23570,1564.92
 1000103,SHOULDERBLADE FX W/MANIPU,23575,2628.62
 1000104,HUMERUS FX W/MANIPULATION,23605,3627.67
 1000105,HUMERUS FX W/O MANIPULATI,23620,1752.03
 1000106,HUMERUS FX W/MANIPULATION,23625,2628.62
 1000107,SHLDR DSLCTN W/O ANESTH,23650,1752.03
 1000108,SHLDR DSLCTN W/ANESHTESIA,23655,2628.62
 1000109,TREAT SHLDR DISLOC CLOSED,23665,3502.93
 1000110,SHLDR DISLOCATION CLOSED,23675,3753.54
 1000111,DRAIN ARM LESION,23930,2048.01
 1000112,HUMERUS FX W/O MANIPULATI,24500,2252.13
 1000113,HUMERUS FX W/MANIPULATION,24505,3439.43
 1000114,HUMERUS FX CLOSED W/O MAN,24530,2252.13
 1000115,HUMERUS FX W/MANIPULATION,24535,4377.24
 1000116,HUMERUS FX W/O MANIPULATI,24560,2188.62
 1000117,HUMERAL CONDYLAR FX,24576,1814.4
 1000118,HUMERAL CONDYLAR FX W/MAN,24577,4377.24
 1000119,ELBOW DISLOC W/O ANESTHES,24600,2001.51
 1000120,ELBOW FX CLOSED,24620,4377.24
 1000121,CHANGE CYSTOSTOMY TUBE,51705,1424.31
 1000122,ELBOW DISLOCATION CHILD,24640,813.08
 1000123,RADIUS FX W/O MANIPULATIO,24650,1721.42
 1000124,RADIUS FX W/MANIPULATION,24655,2563.98
 1000125,ULNA FX W/O MANIPULATION,24670,2127.39
 1000126,DRAINAGE OF FORARM LESION,25028,2469.86
 1000127,RADIUS FX W/O MANIPULATIO,25500,1826.88
 1000128,RADIUS FX W/ MANIPULATION,25505,3541.49
 1000129,ULNA FX W/O MANIPULATION,25530,1826.88
 1000130,ULNA FX W/ MANIPULATION,25535,3321.49
 1000131,FX RADIUS/ULNA W/O MANIPU,25560,1992.44
 1000132,FX RADIUS & ULNA W/MANIPU,25565,3983.75
 1000133,FX RADIUS/ULNA W/O MANIPU,25600,2031
 1000134,TREAT RADIAL FX W/MANIPUL,25605,3872.61
 1000135,PERCUTANEOUS RADIAL FRACT,25606,5421.66
 1000136,WRIST BONE FX W/O MANIPUL,25622,2094.5
 1000137,WRIST BONE FX W/MANIPULAT,25624,3098.09
 1000138,CARPAL FX W/O MANIPULATIO,25630,1992.44
 1000139,CARPAL FX W/MANIPULATION,25635,3043.66
 1000140,ULNAR STYLOID FX,25650,2325.84
 1000141,WRIST DISLOCATION CLOSED,25660,2434.7
 1000142,LUNATE DISLOC CLOSED,25690,3541.49
 1000143,DRAIN FING ABSCESS SIMPL,26010,712.16
 1000144,DRAIN FINGER ABSCESS COM,26011,2113.78
 1000145,METACARPAL FX SINGLE,26600,1266.68
 1000146,METACARPAL FX W/MANIPUL,26605,1644.3
 1000147,THUMB DISCLOC CLOSED,26641,1707.81
 1000148,THUMB FX CLOSED,26645,2339.45
 1000149,CARPOMETACARPAL DISLOC CL,26670,1391.42
 1000150,KNUCKLE DISLOC CLSD,26700,1266.68
 1000151,FINGER FX W/O MANIPULATIO,26720,950.3
 1000152,FINGER FX W/ MANIPULATION,26727,3541.49
 1000153,DISTAL FINGER FX,26750,950.3
 1000154,DISTAL FING FX W/MANIPULA,26755,1266.68
 1000155,OPEN TRTMNT OF PHALANG FX,26765,3162.73
 1000156,FINGER DISLO W/O ANESTHES,26770,1266.68
 1000157,TAIL BONE FX CLOSED,27200,1501.42
 1000158,HIP DISLOCATION CLOSED,27250,3193.35
 1000159,DRAIN THIGH/KNEE LESION,27301,3222.83
 1000160,REMOVAL FOREIGN BODY LEG,27372,3193.35
 1000161,TREATMENT OF FEMORAL SHFT,27500,4467.96
 1000162,TREATMENT OF PROX/TIB FX,27530,2937.06
 1000163,TREAT KNEE FRACTURE (S),27538,3319.22
 1000164,TREAT KNEE DISLOCATION,27550,2043.47
 1000165,TREAT KNEECAP DISLOCATION,27560,1596.68
 1000166,DRAIN LOWER LEG LESION,27603,3064.07
 1000167,TIBIA FRACTURE W/O MNPLNT,27750,2006.05
 1000168,TIBIA FX W/ MANIPULATION,27752,3905.5
 1000169,ANKLE FRACTURE,27760,1900.59
 1000170,FIBULA FX W/O MANIPULATIO,27780,1451.52
 1000171,FIBULAR FX W/MANIPULATION,27781,2639.96
 1000172,CLOSE/TREAT DISTRAL FIBUL,27786,1690.8
 1000173,ANKLE FX BIMALLEOLAR,27808,1900.59
 1000174,ANKLE FX W/MANIPULATION,27810,3167.27
 1000175,ANKLE FX TRIMALLEOLAR,27816,1796.26
 1000176,TREAT LWR LEG DISLOCATION,27830,2006.05
 1000177,TREAT ANKLE DISLOCATION,27840,2006.05
 1000178,REM OF FOOT FOREIGN BODY,28190,2339.45
 1000179,REM/FOREIGN BDY DEEP FOOT,28192,3649.22
 1000180,TREATMENT OF HEEL FRACTUR,28400,2304.29
 1000181,TREATMENT OF ANKLE FRACTU,28430,2159.14
 1000182,TREAT MIDFOOT FRACTURE,28450,1871.1
 1000183,TREAT METATARSAL FX,28470,1728.22
 1000184,TREAT BIG TOE FRACTURE,28490,974.11
 1000185,TREATMENT OF TOE FRACTURE,28510,935.55
 1000186,TREAT SESAMOID BONE FX,28530,1152.15
 1000187,FOOT DISLOC TARSAL BONE,28540,1152.15
 1000188,FOOT DISLOC TALOTARSAL,28570,1152.15
 1000189,TREAT DSLCTN TARSOMETAIRS,28600,1585.34
 1000190,TREAT FOOT DISLOCATION,28606,4319.41
 1000191,TX TOE DISLOCATION,28630,1152.15
 1000192,DISLOCATION INTERPHALANG,28660,864.11
 1000193,APPLICATION OF BODY CAST,29000,2396.15
 1000194,APPL OF SHOULDER CAST,29049,479.69
 1000195,APPL OF SPICA CAST,29055,959.37
 1000196,APPLY CAST FINGER,29086,289.17
 1000197,APPLICAT OF LONG ARM CAST,29065,528.45
 1000198,APPLICAT OF FOREARM CAST,29075,426.39
 1000199,APPLY HAND/WRIST CAST,29085,430.92
 1000200,APPLY LONG ARM SPLINT,29105,365.15
 1000201,APPLY FOREARM SPLINT,29125,289.17
 1000202,APPLICAT OF FINGER SPLINT,29130,193.92
 1000203,STRAPPING OF FNGR OR HAND,29280,145.16
 1000204,APPLICAT OF LONG LEG CAST,29345,808.55
 1000205,APPLY SHORT LEG CAST,29405,669.06
 1000206,APPLICAT LONG LEG SPLINT,29505,557.93
 1000207,APPLICAT SHORT LEG SPLINT,29515,362.88
 1000208,STRAPPING OF KNEE,29530,251.75
 1000209,STRAPPING OF ANKLE,29540,223.4
 1000210,STRAPPING OF TOES,29550,197.32
 1000211,APPLICAT OF UNNA BOOT,29580,280.1
 1000212,REMOVAL REVISION OF CAST,29700,232.47
 1000213,REMOV/REVISN CST ARM/LEG,29705,303.92
 1000214,REM/REVISN CST SHLDR HIP,29710,519.38
 1000215,WINDOWING OF CAST,29730,241.55
 1000216,REM NASAL FOREIGN BODY,30300,644.12
 1000217,CONT OF NOSEBLEED SIMPLE,30901,489.89
 1000218,CONTROL OF NOSEBLEED COMP,30903,721.23
 1000219,CONT NOSEBLEED POSTERIOR,30905,1305.24
 1000220,REPEAT CONTRL NOSE BLEED,30906,1226.99
 1000221,INSERT OF EMERG AIRWAY,31500,883.39
 1000222,TRACHEOSTOMY,31603,3443.96
 1000223,THORACENTESIS OF PLEURAL,32421,1482.14
 1000224,THORACENTESIS INSERT TUBE,32422,1677.19
 1000225,TUBE THORACOSTOMY,32020,1579.67
 1000226,PLACE NEEDLE IN VEIN,36000,275.57
 1000227,WITHDRAWAL ARTER BLOOD,36600,37.43
 1000228,DRAINAGE OF MOUTH LESION,41000,955.97
 1000229,REPR TONGUE LACERATION,41250,1059.16
 1000230,REM PHARNYX FOREIGN BODY,42809,991.12
 1000231,INCISE EXTERNAL HEMORRHOI,46083,673.6
 1000232,DIAGNOSTIC ANOSCOPY,46600,508.04
 1000233,ANOSCOPY REM FOREIGN BODY,46608,993.39
 1000234,DEST ANAL LESION SIMPLE,46900,822.15
 1000235,ENDOMETRIAL/ENDOCERVI BX,58100,890.19
 1000236,DILAT&CURETT DIAGN/THERA,58120,2506.14
 1000237,INSER INTERU/DEVICE INC,58300,823.29
 1000238,REM INTRAUTERINE DEVICE,58301,657.72
 1000239,FETAL NON STRESS TEST,59025,433.19
 1000240,TREATMENT OF MISCARRIAGE,59812,3024.38
 1000241,CARE OF MISCARRIAGE,59820,3138.92
 1000242,SPINAL FLUID TAP DIAGNOS,62270,1335.86
 1000243,INJECT INTERCOSTAL NERVE,64420,2358.72
 1000244,INJ NERVE BLOCK/PUDENDAL,64430,1770.18
 1000245,INJ NERVE BLOCK/UTERINE,64435,1770.18
 1000246,INJECTION FOR NERVE BLOC,64450,1181.63
 1000247,SUTURE OF ONE NERVE,64834,7115.85
 1000248,REMOVE F/B EYE EXTERNAL,65205,442.26
 1000249,REM F/B EYE EMBEDDED,65210,478.55
 1000250,REM F/B EYE W/O SLIT,65220,515.97
 1000251,REM F/B EYE W/ SLIT LAMP,65222,569.27
 1000252,EXCISION OF CHALAZION,67800,801.74
 1000253,DRAIN EXT EAR LESION SIMP,69000,841.43
 1000254,DRAIN EXT EAR LESION COMP,69005,2239.65
 1000255,DRAIN OUT EAR CANAL LES,69020,903.8
 1000256,BIOPSY EXTERNAL EAR,69100,933.29
 1000257,REM FOREI BDY EXT CANAL,69200,684.94
 1000258,REM IMPACTED EAR WAX,69210,275.57
 1000259,IVP,74400,745.04
 1000260,EYE EXAM NEW PAT COMPHRE,92002,326.6
 1000261,TYMPANOMETRY,92567,179.18
 1000262,SPIROMETRY,94010,417.32
 1000263,BRONCHOSPM PRE/POST SPIRO,94060,692.88
 1000264,IMMUNOTHERAPY ONE INJ,95115,60.11
 1000265,IMMUNOTHERAPY INJECTIONS,95117,89.59
 1000266,CHEMOTHERAPY PUSH TECHN,96420,596.49
 1000267,INDUCTION OF VOMITING,99175,374.22
 1000268,REGIONAL HYPOTHERMIA,99185,295.98
 1000269,TOTAL BODY HYPOTHERMIA,99186,1081.84
 1000270,OFFICE OUTPNT VISIT NEW,99203,338.04
 1000271,HOSPITAL OBSERVATION,99218,494.64
 1000272,EMERGENCY DEPT VISIT 99281,99281,218.16
 1000273,EMERGENCY DEPT VISIT 99282,99282,315.36
 1000274,EMERGENCY DEPT VISIT 99283,99283,363.96
 1000275,EMERGENCY DEPT VISIT 99284,99284,692.28
 1000276,EMERGENCY DEPT VISIT 99285,99285,1050.84
 1000277,CRITICAL CARE FIRST HOUR,99291,1332.72
 1000278,CRITICAL CARE ADDL 30MIN,99292,668.52
 1000279,DEBRID INC/REMOV FOREIGN,11010,3357.78
 1000280,EYE EXAM ESTAB PAT COMPRE,92012,291.44
 1000281,BIOPSY SFT TIS ARM,24065,1228.13
 1000282,CLOSED TREAT HIP DISLOCAT,27252,6892.46
 1000283,OMT 1-2 REGIONS,98925,153.09
 1000284,OMT 3-4 REGIONS,98926,200.72
 1000285,OMT 5-6 REGIONS,98927,238.14
 1000286,OMT 7-8 REGIONS,98928,259.69
 1000287,OMT 9-10 REGIONS,98929,273.3
 1000288,EXCIS GANG CYST FOOT,28090,5075.79
 1000289,EMERGENCY VISIT 99281 W MOD,9928125,218.16
 1000290,EMERGENCY VISIT 99282 W MOD,9928225,315.36
 1000291,EMERGENCY VISIT 99283 W MOD,9928325,502.2
 1000292,EMERGENCY VISIT 99284 W MOD,9928425,692.28
 1000293,EMERGENCY VISIT 99285 W MOD,9928525,1050.84
 1000294,GASTRIC LAVAGE,91105,747.31
 1000295,CPR,92950,1293.9
 1000296,TEMP TRANSUT PACING,92953,299.38
 1000297,CARDIOVERSION,92960,967.31
 1000298,CLOSED FX FEM W/O MANIPUL,27508,3830.66
 1000299,CLOSED ANKLE DSLOC W/ANES,27842,3693.44
 1000300,EXCIS LESION MOUTH SIMPLE,40812,1305.24
 1000301,CORHNEAL RUST RIMB REM,65435,385.56
 1000302,PROX HUMERUS FX W/O MANIP,23600,2001.51
 1000303,ULNA FX PROXIMAL W/ MANIP,24675,3502.93
 1000304,PATELLA FX,27520,2265.74
 1000305,COLPOSCOPY,57452,1088.64
 1000306,FEMORAL DISLOC MED/LAT FX,27508,3830.66
 1000307,FACE/E/N/ELID/LIP 2.1-3.0,11643,2175.02
 1000308,FINGER FX W/MANIPULATION,26725,1644.3
 1000309,LACERATION TONGUE >2.6CM,41252,3093.56
 1000310,CLSD TREAT FIB FX W/MANIP,27788,2955.21
 1000311,INSERT NON-DWELL CATHETER,51701,683.81
 1000312,CLSD TREAT DIST FX W/MAN,27788,2955.21
 1000313,"TRIGGER POINT, SNGL/MULTI",20552,450.2
 1000314,INCIS ISCHIORECTAL ABSCES,46040,2227.18
 1000315,REM FB PRO/SIGMOID ENDO,17999,106.6
 1000316,REM FB W/O INCIS (FISH H),17999,44.23
 1000317,UNLISTED PROC RECTUM,45999,691.74
 1000318,DEST CUT VASC LESION,17106,1496.88
 1000319,EXC LES MOUTH W/O REPAIR,40810,1043.28
 1000320,"SOFT TIS, SHOULDER, SUPER",23065,1230.39
 1000321,FOREARM/WRIST SUPERFIC,25065,1195.24
 1000322,"SOFT TIS, PELVIS/HIP, SUP",27040,1545.65
 1000323,"SOFT TIS, THIGH/KNEE SUP",27323,1788.32
 1000324,"SOFT TIS, LEG/ANKLE, SUP",27613,1788.32
 1000325,LIP,40490,576.08
 1000326,MOLLUSC/FLT WART 15+,17111,326.6
 1000327,"SOFT TIS,BACK/FLANK, SUP",21920,1331.32
 1000328,LARYNGOSCOPY INDIRECT DX,31505,627.11
 1000329,ELBOW DISLOC W/ANESTHIA,24605,3502.93
 1000330,DENTOALVEOLAR STRUCTURE,41899,361.75
 1000331,CHEMO INTRA-ART ADDTL HR,96423,417.32
 1000332,SUTURE/STAPLE REMOVAL,,36.29
 1000333,TREAT ANKLE FX W/MANIPULA,27818,3693.44
 1000334,IRRIGATION CORPORA/HOSP,54220,2012.85
 1000335,RPR CPLX EACH ADDITIONAL,13122,1031.94
 1000336,REPAIR EXTENSOR FINGER,26418,4746.93
 1000337,SHOLDER STRAPPING FAC,29240,212.06
 1000338,INSERT NON-TUNNEL CATH >5,36556,1640.9
 1000339,INSRT TUNN CATH WITH PUMP,36563,6455.87
 1000340,REMOVAL OF IMPLANT FAC,20670,2748.82
 1000341,FINE NDLE ASP W/O IMAG GD,10021,661.13
 1000342,STRAPPING HIP / FACILITY,29520,241.55
 1000343,DBRDMT W/RMVL FM FX&DISLC,11012,4014.36
 1000344,MOD SEDATION BY PHYS FAC,99149,443.4
 1000345,POS AIRWAY PRESSURE,94660,659.99
 1000346,TRACH CRICOTHYROID MEMBRA,31605,3431.49
 1000347,GASTRIC INTUB/ASPIRATION,43753,747.31
 1000348,NASAL/OROGASTRIC TUBE PLA,43752,526.18
 1000349,TREAT HIP DISLOCATE /FAC,27265,3040.26
 1000350,TREAT HIP DISLOCAT/FAC,27257,5470.42
 1000351,M-SEDATION DIFF ADDL 15,99150,188.25
 1000352,PHYS STANDBY SVC PROLONG,99360,580.61
 1000353,FACILITY INSERTION OF CHEST TUBE,32551,1594.41
 1000354,VISUAL ACUITY FACILITY,99173,134.95
 1000355,CHEMICAL CAUTERY ER,17250,298.25
 1000356,AEROSOL OR VAPOR INHALER,94664,204.12
 1000357,CLTX METAR FX W/MNPJ,28475,2488
 1000358,ASPIRATE PLEURA W/O IMAGING,32554,3016.44
 1000359,FACILITY CLSD TX DISTAL RDL DISLOCATION,25675,2491.56
 1000360,INITIAL 15 MIN OF MODERATE SEDATION >5YR,99152,352.08
 1000361,MODERATE SEDATION ADD'L 15 MINUTES,99153,198.45
 1000362,PHYSICIAN SERV MISC,,1.14
 1000363,PRO FEE ASPIRATE PLEURA W/O IMAGING,32554,3016.44
 1000364,CLOSED TX DISTAL RDL DISLOCATION,25675,2491.56
 1000365,PRO FEE TRT MIDFT FX,28450,3016.44
 1000366,CRITICAL CARE FIRST HOUR W/MODIFIER,99291 25,1332.72
 1050001,REPR S-FICIAL WND 2.5CM,12001,359.48
 1050002,INC/DRN ABCSS/CYST SIM DR,10060,496.7
 1050003,INC/DRN ABS/CYST CMP;MUL,10061,989.99
 1050004,"INC/REM FB,SUBQ,SIMPLE",10120,615.77
 1050005,"INC/REM FB SUBQ,COMP",10121,557.93
 1050006,INS/DRN HEMAT/SEROMA/FLD,10140,760.92
 1050007,REPAIR EXTENSOR TENDON,26410,5752.79
 1050008,ASP ABS/HEMAT/BULLA/CYST,10160,527.31
 1050009,"I&D CMPLX,POST OP WND INF",10180,1346.06
 1050010,SKIN DEBRIDE 10% BDY,11000,479.69
 1050011,"DEBRIDEMENT,SKIN,SUBQ TIS",11042,840.3
 1050012,"DEBRIDE,SKIN,SUBQ TIS/MUS",11043,2639.96
 1050013,"DEBRIDE,SKIN/TIS/MUSC/BON",11044,3238.71
 1050014,TRIM BENIGN CORN/CALLUS,11055,327.73
 1050015,HOSPITAL OBSERVATION,99218,519.38
 1050016,HOSPITAL OBSERVATION,99219,705.35
 1050017,HOSPITAL OBSERVATION,99220,883.39
 1050018,BIOPSY OF SKIN LESION,11100,394.64
 1050019,BIOPSY EA ADDED LESION,11101,209.79
 1050020,REM SKIN LESN 1.1/2.0 CM,11402,755.25
 1050021,REM SKIN LESN 4.0 CM,11406,635.04
 1050022,EXCISE SKIN LESION =<.5CM,11420,495.56
 1050023,EXCISION MALIG LES 1.0 CM,11621,883.39
 1050024,"REMOVAL NAIL PLATE, SINGL",11730,648.65
 1050025,DRAIN BLOOD FROM UN NAIL,11740,300.51
 1050026,REM NAIL BED PART OR COMP,11750,1343.79
 1050027,REPAIR OF NAIL BED,11760,1642.04
 1050028,REP SUPERFIC WND <2.5 PHY,12001,713.29
 1050029,REPR S-FICIAL WND 7.5 DR,12002,861.84
 1050030,RPR S-FICIAL WND 12.4 CM,12004,1068.23
 1050031,PRO FEE RPR 12.6-20.0CM,12005,1129.47
 1050032,"OP CATH URETHRA, SIMPLE",53670,407.11
 1050033,REPR S-FICIAL WND 2.CM,12011,861.84
 1050034,REPR S-FICIAL WND 5.0CM,12013,1009.26
 1050035,REPR S-FICIAL WOUND 7.5CM,12014,1068.23
 1050036,LAYER CLOS OF WND 2.5,12031,800.61
 1050037,LAYER CLOSURE OF WND 7.5,12032,1033.08
 1050038,LAYER CLOSURE OF WND 12.5,12034,1161.22
 1050039,LAYER CLOSURE OF WND 20.,12035,1572.86
 1050040,LAYER CLOSURE OF WND 2.5,12041,955.97
 1050041,LAYER CLOSURE OF WND 7.5,12042,1136.27
