Charge / Procedure Number,Billing Description,CDM Price
12014,RPR F/E/E/N/L/M 5.1-7.5 CM,"1,380.18"
12015,RPR F/E/E/N/L/M 7.6-12.5 CM,"1,686.90"
12019005,SEMEN ANAL;VOL CT MOT DIFF,188.44
12020,CLOSURE OF SPLIT WOUND,"1,326.52"
12021,CLOSURE OF SPLIT WOUND,"1,114.19"
12029030,CBC AUTO WO PLT/AUTO WBC DIFF,121.58
12029035,CBC AUTO WO PLT,101.10
12031,INTMD RPR S/A/T/EXT 2.5 CM/<,"1,032.40"
12032,INTMD RPR S/A/T/EXT 2.6-7.5,"1,332.15"
12032000,AB SCREEN RBC EA SERUM TECH,203.57
12032020,"ANTIHUMAN GLOBULIN; DIRECT,EA",155.10
12032030,BLOOD TYP SEROLOGIC;ABO,106.63
12032031,BLOOD TYP SEROLOGIC;RH(D),106.63
12032050,COMPATIBILITY; IMMEDIATE SPIN,290.81
12032052,COMPATBLTY;ANTIGLOBLN TECH,310.20
12032057,FFP THAWING EACH UNIT,762.18
12032085,POOLING PLATELTS/OTHR BL PROD,350.43
12034,INTMD RPR S/TR/EXT 7.6-12.5,"1,498.67"
12035,INTMD RPR S/A/T/EXT 12.6-20,"2,031.51"
12036,INTMD RPR S/A/T/EXT 20.1-30,876.36
12040005,"CULTURE,BACT,DEF; BLOOD",240.70
12040010,"CULTURE,BACT,DEF; STOOL",172.67
12040020,"CULT,BACT,DEFIN;ANY OTHER",166.49
12040050,CULTURE; ANAEROBIC,184.99
12040085,"CULTURE, URINE;QUANT,COLONY CT",154.16
12040088,"CULTURE, URINE; ID EA ISOLATE",147.99
12040090,"CULTURE,FUNGI,ISOLATION;SKIN",167.77
12040095,"CULTURE,FUNGI,ISOLAT;OTH SOURC",160.34
12040100,"CULTURE,FUNGI,ISOLATION;BLOOD",141.02
12040105,CULTURE; ANY SINGLE ORGANISM,110.99
12040160,"O&P,DIRECT SMEARS,CONC &ID",196.84
12040170,"SENSITIVITY, AGAR DIFFUSION",109.37
12040175,SENSITIVITY; DISC METH TO 12,145.81
12040180,SENSITIVITY; MICROTITER-MIC,175.13
12040185,SENSITIVITY; MBC,162.05
12040205,SMEAR;GRAM OR GIEMSA,109.37
12040210,SMEAR;FLUORO &/OR ACID FAST ST,131.23
12040215,SMEAR;SPEC STAIN FOR INCLSN B,93.71
12040225,SMEAR;WET MOUNT/SIMPLE STAIN,36.73
12040230,SMEAR; WET MOUNTS,36.73
12040240,KOH PREPS,109.37
12040255,UNLISTED MICRO PROCEDUR,81.00
12040300,"RSV AG, DFA",171.96
12040305,ANAEROBIC ID--ANY METHOD,126.35
12040360,HBSAG; AG EIA MULT,180.21
12040370,HBEAG; AG EIA MULT,169.58
12040445,"ROTAVIRUS AG, EIA",333.27
12040610,"N GONORRHOEAE BY DNA,DIR PROBE",313.53
12040620,"CULT TYP;SEROL;AGG GR,PER ANTI",80.86
12040625,"CULT AEROBIC ISO,ADDL ID METH",184.99
12040630,CULT STOOL ADDL PATH EA PLATE,172.67
12040640,PINWORM EXAM(EG TAPE PREP),66.75
12040645,"TOXIN/ANTITOXIN ASSAY,TISSUE C",544.06
12040655,CRYPTO/GIARDIA AG; EIA MULT,187.53
12040660,CULT QUANT AEROBIC ISO & ID,175.71
12040670,MACROSCOPIC EXAM;ARTHROPOD,66.75
12040675,MACROSCOPIC EXAM;PARASITE,66.75
12040680,"HOMOGENIZATION,TISSUE FOR CULT",92.01
12040685,SUSCEPTIBILITY;ENZYME DETECT,74.26
12040840,CULT QUANT ANAEROBIC ISO & ID,147.50
12040845,CULT TYPE;ID BY DNA PROBE,313.53
12040905,C DIFF TOXIN(S) AG; EIA MULT,141.10
12040955,AG DNA/RNA MULT ORG;DIR PROBE,627.07
12040960,"VIRUS ISO;SHELL VIAL,ID/STAIN",492.07
12040965,AG IF;HERPES SIMPLX TYPE 2,187.53
12040970,AG IF;INFLUENZA B,187.53
12040975,"AG IF;PARAINFLUENZA,EA TYPE",187.53
12040980,AG IF;PNEUMOCYSTIS CARINII,187.53
12040985,AG IF;RUBEOLA,187.53
12040990,H PYLORI AG; EIA MULT,187.53
12040995,HBSAG NEUTRALIZTN;EIA MULT,161.49
12041,INTMD RPR N-HF/GENIT 2.5CM/<,"1,232.22"
12041000,INFLUENZA A/B AG;EIA MULT EA,187.53
12041015,STREP B IMMUNOASSAY;OPTIC,187.53
12041020,C.DIFF TOXIN A;OPTIC,187.53
12041025,INFLUENZA IMMUNOASSAY;OPTIC,187.53
12041030,HEP C GENOTYPE,"1,792.55"
12041525,AG IF; CRYPTO/GIARDIA,187.53
12041530,SMEAR;COMPLEX SPEC STAIN O&P,134.63
12041535,"PHENOTYPE, INFECT AGENT DRUG","3,800.13"
12041540,ASPERGILLUS AG;EIA MULT STEP,187.53
12041545,ENTVIRUS AMP PROBE&REVRS TRNS,455.80
12041550,STAPH A DNA AMP PROBE,548.61
12041555,MR-STAPH DNA AMP PROBE,548.61
12041560,STREP B DNA AMP PROBE,548.61
12041565,TRICHOMONAS ASSAY W/OPTIC,187.53
12041570,"VANOMYCIN, DNA, AMP PROBE",548.61
12041575,ADENOVIRUS ASSAY W/OPTIC,187.53
12041585,CULTYP;ID AMP PROBE EA ORG PRBD,548.61
12041590,CULTYP;ID SEQ EA ISOLATE,"1,803.32"
12041595,INFX AG DET;C-DIFF AMP PROBE,548.61
12041600,IADNA INFLUENZA EA TYP/SUBTYPE,802.21
12041605,IADNA INFLUENZA 1ST 2 TYPES,"1,330.12"
12041610,IADNA INFLUENZA EA ADDL >2,324.68
12041615,GENOTYPE DNA HIV-1 REVERSE,"2,012.23"
12041620,HIV-1 AG/HIV-1&HIV-2 AB SGL,263.98
12041625,IADNA RESP VIRUS 3-5 TARGETS,"2,005.41"
12041630,IADNA RESP VIRUS 6-11 TARGETS,"1,431.03"
12041635,IADNA RESP VIRUS 12-25 TARGETS,"3,093.71"
12041640,NFCT AG GENOTYPE;CYTOMEGALOVIR,"1,910.95"
12041645,NFCT AG GENOTYPE;HEP B VIRUS,"1,910.95"
12042,INTMD RPR N-HF/GENIT2.6-7.5,"1,465.34"
12045,INTMD RPR N-HF/GENIT12.6-20,"3,999.64"
12049005,GIARDIA AG;IF,187.53
12049010,GIARDIA AG;EIA MULT,150.23
12049015,DNA PROBE;T VAGINALIS DIRECT,313.53
12049020,SPUTUM COLLECT AEROSOL INDUCED,350.43
12049030,IONTOPHORESIS SWEAT COLLECTION,268.28
12051,INTMD RPR FACE/MM 2.5 CM/<,"1,465.34"
12052,INTMD RPR FACE/MM 2.6-5.0 CM,"1,665.18"
12053,INTMD RPR FACE/MM 5.1-7.5 CM,"1,931.60"
12060020,RBC LR EA,"1,360.71"
12060250,"ALBUMIN(HUMAN), 5%, [50 ML]",159.35
12060265,"ALBUMIN (HUMAN), 5%, 250 ML",427.22
12060270,"ALBUMIN (HUMAN), 25%, 20 ML",212.93
12060275,"ALBUMIN (HUMAN), 25%, 50ML",487.27
12060300,RBC EA,480.27
12070015,U/A W/O MICRO; MANUAL,56.80
12070045,"SKIN TEST, TB; INTRADERMAL",187.66
12070655,OCCULT BLOOD;MULT SPEC/SGL DET,63.55
12070670,RAPID STREP TEST A,141.30
12070820,"ACCUCHECK, GLUCOSE",74.75
12070920,HGB;GLYCATED,147.99
12072010,"HCG, QUAL",107.25
12080055,BRCA1&2 SEQ & COM DUP/DEL,"7,409.75"
12080065,BRCA1&2 UNCOM DUP/DEL VAR,"1,977.45"
12100000,SCHILLING TEST,"1,384.31"
12100016,ELECTROLYTE PANEL,142.79
12100023,PRENATAL PROFILE,571.13
12100110,LIPID PROFILE,228.46
12100179,THER DRUG QUANT NOS,366.58
12100270,AMIKACIN,235.63
12100276,CARBAMAZEPINE,200.86
12100278,CYCLOSPORINE,282.15
12100282,DIGITOXIN;TOTAL,233.26
12100284,VALPROIC ACID;TOTAL,243.46
12100288,ETHOSUXIMIDE,255.54
12100290,GENTAMICIN,140.13
12100296,LIDOCAINE,137.78
12100298,LITHIUM,111.55
12100304,PHENOBARBITAL,178.29
12100305,PHENYTOIN; TOTAL,192.45
12100306,PHENYTOIN; FREE,215.17
12100308,PRIMIDONE,259.41
12100310,PROCAINAMIDE,261.91
12100312,PROCAINAMIDE; WITH METABOLITES,261.91
12100314,QUINIDINE,228.25
12100318,THEOPHYLLINE,394.48
12100320,TOBRAMYCIN,252.01
12100322,VANCOMYCIN,240.07
12100409,KETONE BODIES;QUAL,125.92
12100410,KETONE BODIES;QUANT,230.03
12100413,ACETYLCHOLINESTERASE,174.68
12100445,ACTH,576.56
12100450,"ADENOSINE,5'-MONOPH,CYCLIC AMP",403.26
12100455,ALBUMIN; SERUM/PLASMA/WB,70.86
12100457,ALBUMIN;OTHER SOURCE QUANT,80.86
12100500,MICROALBUMIN URINE QUANT,224.23
12100505,MICROALBUMIN URINE SEMIQUANT,71.53
12100515,ALDOLASE,179.38
12100520,ALDOSTERONE,512.50
12100530,ALPHA-1-ANTITRYPSIN; TOTAL,256.25
12100535,ALPHA-1-ANTITRYPSIN; PHENOTYPE,226.09
12100540,ALPHA-FETOPROTEIN; SERUM,301.09
12100545,ALPHA-FETOPROTEIN; AMNIOTIC FL,262.25
12100550,ALUMINUM,398.26
12100555,AMINO ACID URINE,163.40
12100560,"AMINO ACIDS, QUAL ( PLASMA)",163.40
12100566,"AMINO ACIDS, QUANTITATION, EA",263.62
12100570,"AMINOLEVULINIC ACID, DELTA-ALA",257.25
12100575,AMMONIA,219.68
12100586,AMYLASE,143.19
12100587,"AMYLASE, BODY FLUID",143.19
12100590,ANDROSTENEDIONE,948.67
12100595,ANDROSTERONE,390.87
12100600,ANGIOTENSIN II,320.81
12100605,ANGIOTENSIN I-CONVRTING ENZYME,421.17
12100610,"APOLIPOPROTEIN, EACH",254.83
12100613,ARSENIC,288.42
12100615,"ASCORBIC ACID, (VIT C) BLD",154.55
12100620,"ATOMIC ABSRP SPECTRO,EA ANALYT",233.02
12100630,BETA-2 MICROGLOBULIN,252.93
12100635,BILE ACIDS; TOTAL,267.82
12100640,BILE ACIDS;CHOLYLGLYCINE,415.43
12100650,"BILIRUBIN; FECES, QUAL",71.07
12100665,CADMIUM,361.76
12100670,CALCIFEDIOL (25-OH VIT D-3),503.18
12100680,CALCITONIN,418.73
12100685,CALCIUM;TOTAL,90.04
12100690,CALCIUM;IONIZED,221.41
12100695,"CALCIUM;URINE QUANT,TIMED SPEC",107.34
12100697,CALCULUS; INFRARED,241.53
12100700,CALCULUS;QUAL,180.93
12100705,CALCULUS; QUANT/CHEM,254.94
12100710,CARBON DIOXIDE (BICARBONATE),136.73
12100715,CARCINOEMBRYONIC ANTIGEN (CEA),348.87
12100716,"CARBOXYHEMOGLOBIN, QUANT",299.82
12100720,CAROTENE,144.20
12100725,CATECHOLAMINES; TOTAL URINE,268.84
12100726,CATECHOLAMINES; BLOOD,391.78
12100727,CATECHOLAMINES; FRACTIONTD,469.62
12100735,CERULOPLASMIN,214.67
12100740,CHLORAMPHENICOL,198.10
12100745,CHLORIDE; BLOOD,67.09
12100746,CHLORIDE; URINE,76.37
12100747,CHLORIDES; OTHER SOURCE,76.42
12100750,"CHOLESTEROL, SERUM; TOTAL",135.12
12100755,CHOLINESTERASE; SERUM,123.16
12100756,CHOLINESTERASE; RBC,120.10
12100760,CHROMIUM,317.07
12100765,CITRATE,434.66
12100775,COPPER,260.15
12100780,CORTICOSTERONE,351.97
12100785,CORTISOL; FREE,315.28
12100790,CORTISOL; TOTAL,352.16
12100795,CREATINE,134.88
12100800,CK TOTAL,97.42
12100802,CK; ISOENZYMES,209.48
12100805,CK; MB FRACTION ONLY,206.34
12100806,"CPK,CK; ISOFORMS",185.60
12100810,CREATININE; BLOOD,74.93
12100815,CREATININE; OTHER SOURCE,119.89
12100820,CREATININE; CLEARANCE,217.29
12100825,CRYOFIBRINOGEN,134.19
12100830,CRYOGLOBULIN,139.83
12100835,CYANIDE,303.19
12100840,CYANOCOBALAMIN (VIT B-12),299.71
12100845,VIT B12; UNSAT BINDING CAP,223.81
12100850,"CYSTINE-HOMOCYSTINE,URINE;QUAL",127.60
12100853,"DESOXYCORTICOSTERONE, 11-",484.24
12100855,DHEA,395.07
12100856,11 DEOXYCORTISOL,457.63
12100860,DHEA-S,407.95
12100863,DIBUCAINE NUMBER,191.52
12100865,"DIHYDROXYVITAMIN D, 1,25-",606.19
12100870,ERYTHROPOIETIN,441.94
12100875,ESTRADIOL,299.08
12100880,ESTROGENS; FRACTIONATED,598.32
12100885,ESTROGENS; TOTAL,345.19
12100890,ESTRIOL,273.65
12100893,ESTRONE,390.18
12100895,ETHYLENE GLYCOL,232.90
12100900,"FAT OR LIPIDS,FECES;QUAL",149.59
12100905,"FAT/LIPIDS,FECES;QUANT",462.41
12100910,"FAT DIFFERENTIAL, FECES, QUANT",269.07
12100913,"FATTY ACIDS, ESTERIFIED",208.12
12100915,FERRITIN,251.59
12100925,FLUORIDE,289.88
12100930,FOLIC ACID;SERUM (FOLATE),278.76
12100935,FOLIC ACID; RBC,333.16
12100940,"FRUCTOSE, SEMEN",271.12
12100943,GALAC-1-PHOS URIDY TRANSF;SCRN,88.23
12100945,"GALACTOKINASE, RBC",335.83
12100950,GALACTOSE,175.02
12100955,"GAMMAGLOBULIN; A,D,G,M EACH",239.17
12100956,IMMUNOGLOBULIN A,239.17
12100957,IMMUNOGLOBULIN G,239.17
12100958,IMMUNOGLOBULIN M,239.17
12100965,GAMMAGLOBULIN; IGE,306.45
12100970,IMMUNOGLOBULIN SUBCLASSES,624.47
12100985,GASTRIN,392.66
12100990,GLUCAGON,223.35
12100993,GLUCAGON TOLERANCE TEST,235.63
12100995,GLUCOSE;QUANT,97.17
12101005,GLUCOSE;URINE,97.17
12101040,GLUC-6-PHOS DEHYD(G6PD);QUANT,269.08
12101045,GLUC-6-PHOS DEHYD(G6PD);SCREEN,94.62
12101050,"GLUCOSIDASE, BETA",335.83
12101055,GLUTAMATE DEHYDROGENASE,120.88
12101065,GGT,82.22
12101070,GLUTATHIONE,222.90
12101075,GLYCATED PROTEIN,235.63
12101080,FSH GONADOTROPIN,373.70
12101085,LH (LEUTINIZING HORMONE),373.70
12101090,"GROWTH HORMONE, HUMAN (HGH)",260.77
12101095,HAPTOGLOBIN; QUANT,202.80
12101100,HEAVY METAL;QUAL ANY NUMBER,294.43
12101105,"HEAVY METAL; QUANT, EACH NOS",343.33
12101110,HGB; ELECTROPHORESIS,193.87
12101115,"HGB;F(FETAL), CHEMICAL",129.31
12101120,"HGB;F(FETAL)QUAL(APT)TST,FECAL",93.14
12101125,HGB;GLYCATED,147.99
12101130,"HGB;METHEMOGLOBIN, QUAL",77.45
12101135,"HGB;METHEMOGLOBIN,QUANT",114.52
12101140,HGB; PLASMA,114.30
12101145,"HGB; SULFHEMOGLOBIN,QUANT",129.31
12101150,HEMOSIDERIN; QUAL,74.26
12101160,HISTAMINE,461.72
12101165,HOMOVANILLIC ACID (HVA),302.51
12101170,"HYDROXYCORTICOSTEROIDS,17-",273.84
12101175,"HYDROXINDOLACETIC ACID, 5-HIAA",240.52
12101180,"HYDROXYPROGESTERONE,17-D",401.80
12101190,HYDROXPROLINE; FREE,354.02
12101195,HYDROXPROLINE; TOTAL,380.06
12101200,IMMUNOASY NON-AB;MULT STEP,308.31
12101210,IMMUNOASY NON-AB;SNGL STEP,132.48
12101220,"IMMUNOASSAY, QUANT; RIA",513.49
12101225,"IMMUNOASSAY,QUANT; NOS",349.40
12101230,INSULIN; TOTAL,390.51
12101235,INSULIN; FREE,202.42
12101240,INTRINSIC FACTOR,248.61
12101245,IRON (FE),116.43
12101250,IRON BINDING CAPACITY,174.71
12101255,"KETOGENIC STEROIDS,FRACTIONATN",221.53
12101260,"KETOSTEROIDS,17-(17-KS);TOTAL",200.16
12101265,"KETOSTEROIDS,17-;FRACTIONATION",411.11
12101270,LACTATE (LACTIC ACID),308.31
12101275,LACTIC DEHYDROGENASE (LDH),113.03
12101280,LDH; ISOENZYMES,200.16
12101285,LECITHIN-SPHINGOMYELIN RAT;QTN,343.68
12101290,L/S RATIO;FOAM STABILITY TEST,295.68
12101295,LEAD,256.93
12101300,LEUCINE AMINOPEPTIDASE (LAP),143.18
12101305,LIPASE,226.10
12101320,LIPID DIRECT MEASRE;HDL CHOLES,164.93
12101325,LIPID DIRECT MEASRE;VLDL CHOLE,181.84
12101330,LIPID DIRECT MEASRE;LDL CHOLES,205.53
12101340,MAGNESIUM,121.60
12101350,MANGANESE,384.38
12101365,"MERCURY, QUANTITATIVE",198.62
12101370,METANEPHRINES,378.01
12101380,METHEMALBUMIN,167.85
12101390,"MUCIN, SYNOVIAL FLUID (ROPES)",91.66
12101393,"MUCOPOLYSACC, QUANT",311.27
12101395,"MYELIN BASIC PROTEIN,CSF",268.95
12101396,MYOGLOBIN,269.75
12101406,NICKEL,383.02
12101420,NEPHELOMETRY;NES,212.55
12101423,5' NUCLEOTIDASE,174.33
12101425,ORGANIC ACIDS;QUANT,329.19
12101435,OSMOLALITY;BLOOD,173.46
12101440,OSMOLALITY;URINE,206.20
12101460,PARATHORMONE-PARTHYRD HORMON,734.85
12101480,PH BODY FLUID EXCEPT BLOOD,47.29
12101495,PHENCYCLIDINE (PCP),229.73
12101505,"PHENYLALANINE (PKU), BLOOD",180.79
12101510,PHENYLKETONES; QUALITATIVE,57.21
12101515,"PHOSPHATASE,ACID; TOTAL",115.43
12101525,"PHOSPHATASE,ACID;PROSTATIC",151.03
12101530,"PHOSPHATASE,ALKALINE",54.59
12101535,"PHOSPHATASE,ALK;HEAT STABL",114.07
12101540,"PHOSPHATASE,ALK;ISOENZYMES",234.74
12101545,PHOSPHATE,105.06
12101550,PHOSPHORUS;URINE,87.35
12101555,"PORPHOBILINOGEN,URINE;QUAL",66.87
12101560,"PORPHOBILINOGEN,URINE;QUAN",131.92
12101565,"PORPHYRINS,URINE;QUAL",134.65
12101570,"PORPHYRINS,URINE;QUANT & FRACT",229.95
12101575,"PORPHYRINS,FECES,QUANT",398.15
12101585,POTASSIUM;SERUM/PLASMA/WB,79.92
12101590,POTASSIUM;URINE,70.98
12101595,PREALBUMIN,257.66
12101600,17-HYDROXYPREGNENOLONE,627.56
12101605,PROGESTERONE,272.95
12101610,PROLACTIN,280.78
12101615,"PROSTAGLANDIN, EACH",390.18
12101620,PSA (PROSTATIC SPECIFIC AG),262.03
12101630,PROTEIN;TOTAL SERUM/PLASMA/WB,89.29
12101640,"PROTEIN,TOTAL (URINE)",156.35
12101645,PROTEIN ELP FRACT & QUANT SERUM,196.53
12101655,"PROTEIN;WESTRN BLOT,INTRP/REPT",266.23
12101660,"PROTEIN;WESTERN BLOT PROBE,I/R",281.35
12101665,"PROTOPORPHYRIN,RBC;QUANT",224.26
12101670,"PROTOPORPHYRIN,RBC;SCREEN",134.54
12101675,PROINSULIN,278.51
12101680,PYRIDOXAL PHOSPHT (VIT B-6),479.14
12101685,PYRUVATE,169.68
12101690,PYRUVIC KINASE,147.50
12101695,RECEPTOR ASSAY;ESTROGEN,"1,006.92"
12101700,QUININE,181.84
12101705,RECEPTOR ASSAY;PROGESTERONE,"1,014.20"
12101710,"RECEPTOR ASSAY;ENDOCR,OTHER",818.13
12101715,RECEPTOR ASY;NON-ENDOCRINE,571.69
12101720,RENIN,376.66
12101725,RIBOFLAVIN (VITAMIN B-2),356.19
12101727,SELENIUM,399.17
12101730,SEROTONIN,484.24
12101735,SEX HORMONE BINDING GLOBULIN,425.50
12101750,SODIUM;SERUM/PLASMA/WB,63.10
12101755,SODIUM; URINE,76.42
12101757,SOMATOMEDIN,516.65
12101760,SPECIFIC GRAVITY (NON-URINE),39.24
12101763,"SPECTROPHOTOMETRY, NES",99.35
12101765,TESTOSTERONE; FREE,350.27
12101770,TESTOSTERONE; TOTAL,281.48
12101775,THIAMINE (VITAMIN B-1),398.92
12101780,THIOCYANATE,181.84
12101785,THYROGLOBULIN,287.72
12101790,T4 (THYROXINE),100.08
12101795,THYROXINE;REQ ELUTN(NEONATAL),108.62
12101800,THYROXINE;FREE (FT4),175.12
12101805,THYROXINE BINDNG GLOBULIN(TBG),231.20
12101815,TSH,250.19
12101820,THYROID STIM IMMUNOGLBLN-TSI,"1,027.92"
12101825,TOCOPHEROL ALPHA (VITAMIN E),234.18
12101830,TRNSCORTIN(CORTISOL BIND GLOB),281.35
12101835,SGOT/AST,73.90
12101840,SGPT/ALT,68.81
12101845,TRANSFERRIN,237.68
12101850,TRIGLYCERIDES,147.03
12101855,T3 (TRIIODOTHYRONINE),108.62
12101890,TRIIODOTHYRONINE(TT3);TOTAL,250.19
12101895,TRIIODOTHYRONINE(FT3);FREE,330.65
12101900,TRIDOTHYRONINE (T-3); REVERSE,346.76
12101905,"TROPONIN, QUANT",107.48
12101910,"TROPONIN, QUAL",120.43
12101915,TYROSINE,162.63
12101917,UNLISTED CHEMISTRY PROCEDURE,135.00
12101920,BUN; QUANT,68.91
12101925,"UREA NITROGEN, URINE",74.26
12101930,"UREA NITROGEN, CLEARANCE",103.26
12101935,URIC ACID; BLOOD,68.91
12101940,"URIC ACID, OTHER SOURCE",100.25
12101945,"UROBILINOGEN,FECES,QUANT",195.04
12101950,"UROBILINOGEN,URINE;QUAL",50.84
12101955,"UROBILINOGEN,URINE;QUANT,TIMED",110.88
12101960,"UROBILINOGEN,URINE;SEMIQUANT",78.58
12101965,"VANILLYMANDELIC ACID(VMA),URIN",281.92
12101970,VASOACTIVE INTESTINAL PEPTIDE,482.41
12101975,VASOPRESSIN (ADH),502.02
12101980,VITAMIN A,281.92
12101985,VITAMIN K,214.37
12101990,VOLATILES,194.21
12101993,XYLOSE ABSORPTION TEST,185.25
12101995,ZINC,238.08
12102000,C-PEPTIDE,357.11
12102005,"HCG, QUANT",238.08
12102010,"HCG, QUAL",144.09
12102015,GALACTOSE SCREEN,88.23
12102020,AMNIOTIC FLUID SCAN,107.35
12102060,TACROLIMUS,299.30
12102065,TOPIRAMATE,337.15
12102075,AMINO ACID; SGL QUAL EA SPEC,216.76
12102085,AMINO ACIDS; 2-5 QUANT EA SPEC,263.62
12102090,AMINO ACIDS; 6+ QUANT EA SPEC,263.62
12102100,CARNITINE TOT&FREE QNT EA SPEC,263.62
12102135,"ELECTROPHORETIC TECH, NES",537.12
12102140,LONG CHAIN FATTY ACIDS,282.26
12102165,FETAL LUNG MATURE;FLUORESC POL,295.68
12102170,LUTEINIZING RELEASING FACT-LRH,268.84
12102185,OLIGOCLONAL IMMUNOGLOBULIN,314.33
12102190,OXALATE,173.37
12102210,PHOSPHATYDYLGLYCEROL,258.27
12102220,PREGNANEDIOL,299.10
12102225,PREGNANETRIOL,296.03
12102250,"TRYPSIN; FECES, QUAL",114.07
12102255,"FAT STAIN,FECES/URINE/RESP SEC",67.44
12102260,BILIRUBIN; TOTAL,113.05
12102265,BILIRUBIN; DIRECT,113.05
12102270,HEPATIC FUNCTION PANEL,178.47
12102275,"PSA, TOTAL SCREENING",287.60
12102285,CARBAMAZEPINE;FREE,207.21
12102290,HALOPERIDOL,227.67
12102295,"GLUCOSE,BODY FLUID",246.65
12102300,HOMOCYSTINE,210.49
12102305,ORGANIC ACID SINGLE QUANT,388.42
12102310,PSA;COMPLEXED (DIRECT MEAS),287.60
12102315,FECAL HGB IMMUNOASSAY,229.08
12102320,COMPREHENSIVE METABOLIC PANEL,199.89
12102325,RENAL FUNCTION PANEL,214.17
12102330,ACUTE HEPATITIS PANEL,645.93
12102335,BASIC METABOLIC-T CALCIUM,171.33
12102340,ACTH STIM PANEL;ADRENAL INSUFF,509.71
