Standard Charge Description,Charge Description Master,Charge as of 1.1.19
DOXYCYCLINE 100MG/NS 100ML,41325117,404.25
DRONEDARONE 400MG TABLET,41326618,47.00
DUOVISC EYE INJ 0.5ML,41324455,263.70
ENLIVE M/BRY FLAVOR 240ML,41326820,12.90
ENSURE ENLIVE APPLE 240ML,41325538,11.73
EPHEDRINE 50MG/5ML IN NS PF,41327614,472.18
EPHEDRINE SULF 50MG/ML INJ 1ML,41322146,182.04
"EPINEPHRINE 1-10,000 SYR 10ML",41322148,198.94
EPINEPHRINE 50MCG/ML SYRINGE 35ML,41325889,519.75
EUCERIN TOPICAL CREAM 16OZ,41327422,157.70
EVICEL FIBRIN SEALANT 2ML,41326152,"1,350.00"
EVICEL FIBRIN SEALANT 5ML,41326117,"3,105.00"
"FACTOR VIIA (ANTIHEMOPHILIC FACTOR, RECOMBINANT), PER 1 MICROGRAM",41327243,3.38
"FACTOR VIII (ANTIHEMOPHILIC FACTOR, RECOMBINANT) PER I.U., NOT OTHERWISE SPECIFIED",41327684,11.34
FAMOTIDINE 10MG/ML INJ 4ML,41326980,35.95
FEBUXOSTAT 40MG TAB,41326629,153.90
FENOFIBRATE 54MG TABLET,41325060,10.70
FENTANYL 20MCG/ML SYRINGE 25ML,41325881,517.20
FERRIC SUBSULFATE AQUEOUS 8GM,41327197,189.60
FLAGYL 250MG/50ML PREMIX,41325692,150.84
FLAGYL 500MG NACL 0.79% 100ML,41321430,57.17
FLAGYL 500MG/100ML PREMIX,41325168,152.04
FLOVENT 110MCG INHALER 7.9GM,41323856,272.59
FLOVENT 220 MCG INHALER 7.9 GM,41323855,386.67
FLOVENT 44 MCG INHALER 7.9GM,41323857,94.56
FLUBLOK 0.5ML INJECTION,41327737,366.80
FLUMAZENIL 0.1MG/ML MDV 10ML,41326366,134.70
FLUORESCEIN 0.6MG STRIP,41328189,6.27
FLUORESCEIN/BENOXINATE 1ML DROPS,41328243,67.50
FLUOR-I-STRIP,41320785,6.10
FLURESS OPTH. SOLN. 5ML,41324552,154.50
FLUZONE (36 MTHS & UP) 0.5ML INJ,41327022,173.80
FOLIC ACID 1MG/0.2ML IV SYRINGE,41326731,35.95
FOLIC ACID 5MG/ML INJ 10ML,41322178,36.59
FOLIC ACID 5MG/ML INJ 10ML,41322178,36.77
GELFOAM 12-7MM SPONGE,41322382,114.20
GELFOAM POWDER 1GM JAR,41321322,632.33
GELFOAM SIZE 100,41321321,399.37
GLUCERNA 1.2 CAL RTH 1000ML,41326292,55.70
GLUCERNA 1.2 LIQUID 240ML,41326305,10.00
GLUCERNA 1.5 CAL LIQUID 237ML,41326559,12.46
GLUCERNA 1.5 RTH BTL 1000ML,41326527,67.50
GLUCERNA CHOC SHAKE 237ML,41325297,17.60
GLUCERNA STRAWBERRY SHAKE 237ML,41325417,17.60
GLUCERNA VANILLA SHAKE 237ML,41325238,17.60
GLYCOPYRROLATE 0.2MG/ML INJ 2ML,41322199,192.00
GOLDEN ENEMA SOLN 1000ML,41326967,135.00
HEMABATE 250MCG/ML AMPULE,41322079,436.70
"HEPARIN 30,000 UNITS/NS 1000ML",41328060,172.75
HEPARIN 5000 UNITS-NS 500ML BAG,41328059,268.43
HEPARIN LOCK 500UNITS/5ML VIAL,41327019,31.62
HEPATITIS B IMMUNE GLOBULIN FOR INJECTION INTO MUSCLE,41325534,873.28
HEXTEND 6% 500ML,41324416,665.57
HIBICLENS 4% SOLN 4 OZ.,41320678,12.00
HUMULIN R 100 UNITS/NS 100ML,41326970,210.00
HYDROGEN PEROXIDE 3% SOLN 118ML,41326891,6.45
HYPERHEP SD 220UNITS/ML 0.5ML,41327496,835.90
HYPERTONIC SALINE 10%-RESPIRATORY,41324296,16.93
IC GREEN DYE (DOSE CHG) INJ,41325356,286.50
IC GREEN DYE 25MG INJ,41325355,945.00
INDIGO CARMINE 0.8% INJ 5ML,41322250,429.80
INDOCIN 0.5MG/ML SYRINGE PREP,41322065,"1,571.86"
"INFUSION, ALBUMIN (HUMAN), 25%, 50 ML",41322210,645.89
"INFUSION, ALBUMIN (HUMAN), 5%, 250 ML",41324512,751.26
"INFUSION, D5W, 1000 CC",41321293,106.84
"INFUSION, DEXTRAN 40, 500 ML",41321289,176.00
"INFUSION, NORMAL SALINE SOLUTION , 1000 CC",41321287,106.37
"INFUSION, NORMAL SALINE SOLUTION, 250 CC",41321303,110.59
"INFUSION, NORMAL SALINE SOLUTION, STERILE (500 ML = 1 UNIT)",41321302,110.33
INFUVITE ADULT INJ 10ML,41326262,288.40
"INJECTION ABCIXIMAB, 10 MG",41323680,"10,027.80"
"INJECTION FLUCONAZOLE, 200 MG",41322498,412.58
"INJECTION, ABATACEPT, 10 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",41328022,301.70
"INJECTION, ACETAMINOPHEN, 10 MG",41326925,3.04
"INJECTION, ACETAZOLAMIDE SODIUM, UP TO 500 MG",41321972,460.23
"INJECTION, ACETYLCYSTEINE, 100 MG",41325587,"1,516.98"
"INJECTION, ACYCLOVIR, 5 MG",41321857,545.87
"INJECTION, ADENOSINE, 1 MG (NOT TO BE USED TO REPORT ANY ADENOSINE PHOSPHATE COMPOUNDS)",41321590,102.63
"INJECTION, ADRENALIN, EPINEPHRINE, 0.1 MG",41322147,29.90
"INJECTION, ADRENALIN, EPINEPHRINE, 0.1 MG",41327345,309.75
"INJECTION, ALTEPLASE RECOMBINANT, 1 MG",41323253,671.84
"INJECTION, AMIKACIN SULFATE, 100 MG",41321604,288.33
"INJECTION, AMIODARONE HYDROCHLORIDE, 30 MG",41327037,59.49
"INJECTION, AMPHOTERICIN B LIPOSOME, 10 MG",41324028,293.44
"INJECTION, AMPICILLIN SODIUM, 500 MG",41325302,77.41
"INJECTION, AMPICILLIN SODIUM/SULBACTAM SODIUM, PER 1.5 GM",41324727,259.10
"INJECTION, ARGATROBAN, 1 MG (FOR NON-ESRD USE)",41324720,212.79
"INJECTION, ARIPIPRAZOLE, EXTENDED RELEASE, 1 MG",41327809,7.11
"INJECTION, ARSENIC TRIOXIDE, 1 MG",41328230,601.45
"INJECTION, ATROPINE SULFATE, 0.01 MG",41321680,150.07
"INJECTION, AZITHROMYCIN, 500 MG",41324729,309.43
"INJECTION, BELATACEPT, 1 MG",41327897,30.28
"INJECTION, BELIMUMAB, 10 MG",41328018,"2,616.79"
"INJECTION, BENZTROPINE MESYLATE, PER 1 MG",41322021,548.24
"INJECTION, BETAMETHASONE ACETATE 3 MG AND BETAMETHASONE SODIUM PHOSPHATE 3 MG",41325299,165.09
"INJECTION, BEVACIZUMAB, 10 MG",41520103,127.73
"INJECTION, BIVALIRUDIN, 1 MG",41325762,31.03
"INJECTION, BUPIVACAINE LIPOSOME, 1 MG",41327241,9.59
"INJECTION, BUPIVACAINE LIPOSOME, 1 MG",41328142,10.35
"INJECTION, BUPIVICAINE HYDROCHLORIDE, 30 ML",41328204,118.51
"INJECTION, BUTORPHANOL TARTRATE, 1 MG",41325220,113.58
"INJECTION, C-1 ESTERASE INHIBITOR (HUMAN), BERINERT, 10 UNITS",41327089,243.00
"INJECTION, CAFFEINE CITRATE, 5 MG",41324494,202.59
"INJECTION, CALCITONIN SALMON, UP TO 400 UNITS",41324644,"14,226.82"
"INJECTION, CALCITRIOL, 0.1 MCG",41323624,104.70
"INJECTION, CALCIUM GLUCONATE, PER 10 ML",41325840,309.42
"INJECTION, CARBOPLATIN, 50 MG",41322078,102.34
"INJECTION, CEFAZOLIN SODIUM, 500 MG",41325008,152.25
"INJECTION, CEFEPIME HYDROCHLORIDE, 500 MG",41324073,384.47
"INJECTION, CEFOTAXIME SODIUM, PER GM",41325439,191.00
"INJECTION, CEFOXITIN SODIUM, 1 GM",41325572,309.75
"INJECTION, CEFTAROLINE FOSAMIL, 10 MG",41328043,16.73
"INJECTION, CEFTAZIDIME, PER 500 MG",41322111,418.00
"INJECTION, CEFTOLOZANE 50 MG AND TAZOBACTAM 25 MG",41328024,45.36
"INJECTION, CEFTRIAXONE SODIUM, PER 250 MG",41322494,216.95
"INJECTION, CHLOROPROCAINE HYDROCHLORIDE, PER 30 ML",41326219,256.50
"INJECTION, CHLOROTHIAZIDE SODIUM, PER 500 MG",41322120,"2,329.58"
"INJECTION, CHLORPROMAZINE HCL, UP TO 50 MG",41321958,275.95
"INJECTION, CILASTATIN SODIUM; IMIPENEM, PER 250 MG",41321883,161.55
"INJECTION, CIPROFLOXACIN FOR INTRAVENOUS INFUSION, 200 MG",41324213,76.09
"INJECTION, CISPLATIN, POWDER OR SOLUTION, 10 MG",41321947,6.30
"INJECTION, CLEVIDIPINE BUTYRATE, 1 MG",41328143,17.12
"INJECTION, CLINDAMYCIN PHOSPHATE, 300 MG",41327396,152.25
"INJECTION, COLISTIMETHATE SODIUM, UP TO 150 MG",41322025,511.95
"INJECTION, COSYNTROPIN, 0.25 MG",41322027,867.40
"INJECTION, CROTALIDAE POLYVALENT IMMUNE FAB (OVINE), UP TO 1 GRAM",41324900,"20,821.05"
"INJECTION, DAPTOMYCIN, 1 MG",41325613,7.23
"INJECTION, DECITABINE, 1 MG",41326861,135.17
"INJECTION, DEFEROXAMINE MESYLATE, 500 MG",41326437,179.58
"INJECTION, DENOSUMAB, 1 MG",41327063,138.67
"INJECTION, DESMOPRESSIN ACETATE, PER 1 MCG",41322048,141.63
"INJECTION, DEXAMETHASONE SODIUM PHOSPHATE, 1 MG",41520141,0.07
"INJECTION, DIAZEPAM, UP TO 5 MG",41326589,253.19
"INJECTION, DICYCLOMINE HCL, UP TO 20 MG",41321692,766.68
"INJECTION, DIGOXIN IMMUNE FAB (OVINE), PER VIAL",41325345,"4,050.00"
"INJECTION, DIGOXIN, UP TO 0.5 MG",41322130,98.30
"INJECTION, DIHYDROERGOTAMINE MESYLATE, PER 1 MG",41321970,"1,064.00"
"INJECTION, DIPHENHYDRAMINE HCL, UP TO 50 MG",41322119,36.08
"INJECTION, DOBUTAMINE HYDROCHLORIDE, PER 250 MG",41326991,216.30
"INJECTION, DOPAMINE HCL, 40 MG",41325876,462.22
"INJECTION, DOXORUBICIN HYDROCHLORIDE, 10 MG",41321600,787.11
"INJECTION, ENOXAPARIN SODIUM, 10 MG",41324161,86.15
"INJECTION, EPOETIN ALFA, (FOR NON-ESRD USE), 1000 UNITS",41323033,189.56
"INJECTION, EPTIFIBATIDE, 5 MG",41324157,352.04
"INJECTION, ERTAPENEM SODIUM, 500 MG",41325103,512.73
"INJECTION, ERYTHROMYCIN LACTOBIONATE, PER 500 MG",41327021,132.46
"INJECTION, ESTROGEN CONJUGATED, PER 25 MG",41321736,"2,104.98"
"INJECTION, ETANERCEPT, 25 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)",41326420,"4,883.70"
"INJECTION, ETOPOSIDE, 10 MG",41322284,162.22
"INJECTION, FACTOR IX (ANTIHEMOPHILIC FACTOR, RECOMBINANT) PER IU, NOT OTHERWISE SPECIFIED",41327391,10.67
"INJECTION, FENTANYL CITRATE, 0.1 MG",41325080,424.02
"INJECTION, FILGRASTIM (G-CSF), EXCLUDES BIOSIMILARS, 1 MICROGRAM",41322990,8.26
"INJECTION, FLUOROURACIL, 500 MG",41520219,0.56
"INJECTION, FLUPHENAZINE DECANOATE, UP TO 25 MG",41322176,240.00
"INJECTION, FOMEPIZOLE, 15 MG",41324492,"8,651.44"
"INJECTION, FONDAPARINUX SODIUM, 0.5 MG",41325118,522.00
"INJECTION, FOSAPREPITANT, 1 MG",41327312,15.83
"INJECTION, FOSPHENYTOIN, 50 MG PHENYTOIN EQUIVALENT",41323809,"2,295.87"
"INJECTION, FUROSEMIDE, UP TO 20 MG",41322028,136.41
"INJECTION, GANCICLOVIR SODIUM, 500 MG",41326924,519.75
"INJECTION, GARAMYCIN, GENTAMICIN, UP TO 80 MG",41324555,167.60
"INJECTION, GLUCAGON HYDROCHLORIDE, PER 1 MG",41322196,"1,387.77"
"INJECTION, GOLIMUMAB, 1 MG, FOR INTRAVENOUS USE",41328030,236.60
"INJECTION, GRANISETRON HYDROCHLORIDE, 100 MCG",41323565,6.71
"INJECTION, HALOPERIDOL DECANOATE, PER 50 MG",41325473,718.12
"INJECTION, HALOPERIDOL, UP TO 5 MG",41321956,182.50
"INJECTION, HEPARIN SODIUM, (HEPARIN LOCK FLUSH), PER 10 UNITS",41326038,51.24
"INJECTION, HEPARIN SODIUM, PER 1000 UNITS",41325781,256.07
"INJECTION, HYALURONIDASE, UP TO 150 UNITS",41325601,236.90
"INJECTION, HYDRALAZINE HCL, UP TO 20 MG",41321663,852.02
"INJECTION, HYDROCORTISONE ACETATE, UP TO 25 MG",41322112,226.42
"INJECTION, HYDROCORTISONE SODIUM SUCCINATE, UP TO 100 MG",41321505,114.70
"INJECTION, HYDROMORPHONE, UP TO 4 MG",41322919,572.86
"INJECTION, HYDROXYPROGESTERONE CAPROATE, NOT OTHERWISE SPECIFIED, 10 MG",41327084,89.69
"INJECTION, HYDROXYZINE HCL, UP TO 25 MG",41322235,35.95
"INJECTION, IBUTILIDE FUMARATE, 1 MG",41323794,"3,816.10"
"INJECTION, IDARUBICIN HYDROCHLORIDE, 5 MG",41325191,"2,693.80"
"INJECTION, IFOSFAMIDE, 1 GRAM",41325998,489.80
"INJECTION, IMMUNE GLOBULIN (PRIVIGEN), INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), 500 MG",41327032,526.52
"INJECTION, IMMUNE GLOBULIN, (GAMUNEX-C/GAMMAKED), NON-LYOPHILIZED (E.G., LIQUID), 500 MG",41328047,"1,080.00"
"INJECTION, IMMUNE GLOBULIN, INTRAVENOUS, LYOPHILIZED (E.G., POWDER), NOT OTHERWISE SPECIFIED, 500 MG",41323648,15.43
"INJECTION, INFLIXIMAB, EXCLUDES BIOSIMILAR, 10 MG",41324228,901.36
"INJECTION, INFLIXIMAB-DYYB, BIOSIMILAR, (INFLECTRA), 10 MG",41328126,766.49
"INJECTION, INSULIN, PER 5 UNITS",41520154,0.54
"INJECTION, INTERFERON, ALFA-2B, RECOMBINANT, 1 MILLION UNITS",41323921,248.92
"INJECTION, IRINOTECAN, 20 MG",41325405,226.31
"INJECTION, IRON DEXTRAN, 50 MG",41322241,242.10
"INJECTION, IRON SUCROSE, 1 MG",41327448,5.60
"INJECTION, KETOROLAC TROMETHAMINE, PER 15 MG",41323793,166.41
"INJECTION, LACOSAMIDE, 1 MG",41326593,549.00
"INJECTION, LEUCOVORIN CALCIUM, PER 50 MG",41520127,7.98
"INJECTION, LEUPROLIDE ACETATE (FOR DEPOT SUSPENSION), PER 3.75 MG",41323046,"8,480.70"
"INJECTION, LEVETIRACETAM, 10 MG",41325883,333.67
"INJECTION, LEVOFLOXACIN, 250 MG",41324227,315.00
"INJECTION, LIDOCAINE HCL FOR INTRAVENOUS INFUSION, 10 MG",41324086,151.20
"INJECTION, LINEZOLID, 200 MG",41324500,305.96
"INJECTION, LORAZEPAM, 2 MG",41325175,55.07
"INJECTION, MAGNESIUM SULFATE, PER 500 MG",41324593,134.85
"INJECTION, MANNITOL, 25% IN 50 ML",41321917,70.92
"INJECTION, MEPERIDINE HYDROCHLORIDE, PER 100 MG",41321644,56.45
"INJECTION, MEPIVACAINE HYDROCHLORIDE, PER 10 ML",41321840,161.50
"INJECTION, MEROPENEM, 100 MG",41323817,685.76
"INJECTION, MESNA, 200 MG",41321918,302.76
"INJECTION, METHOCARBAMOL, UP TO 10 ML",41321919,731.58
"INJECTION, METHYLERGONOVINE MALEATE, UP TO 0.2 MG",41321655,120.00
"INJECTION, METHYLNALTREXONE, 0.1 MG",41326326,6.90
"INJECTION, METHYLPREDNISOLONE ACETATE, 40 MG",41321991,114.45
"INJECTION, METHYLPREDNISOLONE ACETATE, 80 MG",41321992,206.60
"INJECTION, METHYLPREDNISOLONE SODIUM SUCCINATE, UP TO 125 MG",41325921,404.25
"INJECTION, METHYLPREDNISOLONE SODIUM SUCCINATE, UP TO 40 MG",41322113,171.36
"INJECTION, METOCLOPRAMIDE HCL, UP TO 10 MG",41327370,37.77
"INJECTION, MICAFUNGIN SODIUM, 1 MG",41326944,44.77
"INJECTION, MIDAZOLAM HYDROCHLORIDE, PER 1 MG",41324136,104.50
"INJECTION, MILRINONE LACTATE, 5 MG",41323298,269.67
"INJECTION, MITOMYCIN, 5 MG",41325272,733.73
"INJECTION, MORPHINE SULFATE, PRESERVATIVE-FREE FOR EPIDURAL OR INTRATHECAL USE, 10 MG",41322140,264.12
"INJECTION, MORPHINE SULFATE, UP TO 10 MG",41322481,358.20
"INJECTION, NALBUPHINE HYDROCHLORIDE, PER 10 MG",41321700,54.94
"INJECTION, NALOXONE HYDROCHLORIDE, PER 1 MG",41321681,232.00
"INJECTION, NATALIZUMAB, 1 MG",41327625,152.13
"INJECTION, NEOSTIGMINE METHYLSULFATE, UP TO 0.5 MG",41327848,322.29
"INJECTION, NESIRITIDE, 0.1 MG",41324963,"7,801.70"
"INJECTION, NON-RADIOACTIVE, NON-CONTRAST, VISUALIZATION ADJUNCT (E.G., METHYLENE BLUE, ISOSULFAN BLUE), 1 MG",41322374,109.39
"INJECTION, OCTREOTIDE, NON-DEPOT FORM FOR SUBCUTANEOUS OR INTRAVENOUS INJECTION, 25 MCG",41326995,345.00
"INJECTION, OMALIZUMAB, 5 MG",41325621,279.39
"INJECTION, ONABOTULINUMTOXINA, 1 UNIT",41324201,46.90
"INJECTION, ONDANSETRON HYDROCHLORIDE, PER 1 MG",41322776,90.76
"INJECTION, ORPHENADRINE CITRATE, UP TO 60 MG",41321893,310.16
"INJECTION, OXALIPLATIN, 0.5 MG",41326545,78.96
"INJECTION, OXYTOCIN, UP TO 10 UNITS",41325638,148.95
"INJECTION, PALIPERIDONE PALMITATE EXTENDED RELEASE, 1 MG",41327369,41.24
"INJECTION, PALONOSETRON HCL, 25 MCG",41520013,79.92
"INJECTION, PAMIDRONATE DISODIUM, PER 30 MG",41323134,340.83
"INJECTION, PANTOPRAZOLE SODIUM, 40 MG",41324928,210.00
"INJECTION, PANTOPRAZOLE SODIUM, PER VIAL",41325427,84.00
"INJECTION, PAPAVERINE HCL, UP TO 60 MG",41322073,236.40
"INJECTION, PEGFILGRASTIM, 6 MG",41520014,"9,734.94"
"INJECTION, PEGLOTICASE, 1 MG",41328021,"18,391.78"
"INJECTION, PENICILLIN G BENZATHINE AND PENICILLIN G PROCAINE, 100,000 UNITS",41322350,274.80
"INJECTION, PENICILLIN G BENZATHINE, 100,000 UNITS",41321703,83.17
"INJECTION, PENICILLIN G POTASSIUM, UP TO 600,000 UNITS",41322080,64.48
"INJECTION, PHENOBARBITAL SODIUM, UP TO 120 MG",41321731,410.53
"INJECTION, PHENYLEPHRINE AND KETOROLAC, 4 ML VIAL",41327870,"3,138.80"
"INJECTION, PHENYLEPHRINE HCL, UP TO 1 ML",41326584,238.80
"INJECTION, PHENYTOIN SODIUM, PER 50 MG",41321733,49.00
"INJECTION, PHYTONADIONE (VITAMIN K), PER 1 MG",41322225,405.84
"INJECTION, PIPERACILLIN SODIUM/TAZOBACTAM SODIUM, 1 GRAM/0.125 GRAMS (1.125 GRAMS)",41325296,107.96
"INJECTION, POTASSIUM CHLORIDE, PER 2 MEQ",41324343,148.38
"INJECTION, PROCAINAMIDE HCL, UP TO 1 GM",41321739,368.55
"INJECTION, PROCHLORPERAZINE, UP TO 10 MG",41321712,308.69
"INJECTION, PROMETHAZINE HCL, UP TO 50 MG",41321743,37.30
"INJECTION, PROPOFOL, 10 MG",41323436,701.55
"INJECTION, PROPRANOLOL HCL, UP TO 1 MG",41322248,120.17
"INJECTION, PROTAMINE SULFATE, PER 10 MG",41324448,257.90
"INJECTION, PYRIDOXINE HCL, 100 MG",41321748,45.08
