MS DRG,Thomas MS DRG DESC2, Average of TOTAL CHARGES2 
219,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC," $104,169.10 "
220,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC," $69,653.95 "
221,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC," $85,355.45 "
224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC," $177,057.95 "
225,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC," $184,644.81 "
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC," $174,016.43 "
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC," $139,371.89 "
228,OTHER CARDIOTHORACIC PROCEDURES W MCC," $84,225.61 "
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC," $60,222.62 "
231,CORONARY BYPASS W PTCA W MCC," $101,979.22 "
232,CORONARY BYPASS W PTCA W/O MCC," $93,886.70 "
233,CORONARY BYPASS W CARDIAC CATH W MCC," $90,268.35 "
234,CORONARY BYPASS W CARDIAC CATH W/O MCC," $63,111.28 "
235,CORONARY BYPASS W/O CARDIAC CATH W MCC," $80,250.35 "
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC," $46,573.89 "
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB  TOE W MCC," $57,149.99 "
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB  TOE W CC," $24,751.68 "
241,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB  TOE W/O CC/MCC," $10,268.00 "
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC," $68,217.63 "
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC," $51,967.20 "
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC," $39,825.33 "
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS," $58,830.95 "
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC," $52,323.17 "
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS," $71,215.08 "
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC," $44,203.69 "
250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC," $40,040.80 "
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC," $48,980.02 "
252,OTHER VASCULAR PROCEDURES W MCC," $48,698.03 "
253,OTHER VASCULAR PROCEDURES W CC," $36,485.37 "
254,OTHER VASCULAR PROCEDURES W/O CC/MCC," $19,561.81 "
256,UPPER LIMB  TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC," $28,813.80 "
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC," $22,693.18 "
263,VEIN LIGATION  STRIPPING," $30,107.98 "
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES," $30,490.17 "
265,AICD LEAD PROCEDURES," $26,514.32 "
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC," $182,196.33 "
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC," $79,513.43 "
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC," $86,951.18 "
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC," $73,511.49 "
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC," $31,468.31 "
273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC," $101,297.54 "
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC," $37,240.96 "
280,ACUTE MYOCARDIAL INFARCTION- DISCHARGED ALIVE W MCC," $26,144.99 "
281,ACUTE MYOCARDIAL INFARCTION- DISCHARGED ALIVE W CC," $17,572.32 "
282,ACUTE MYOCARDIAL INFARCTION- DISCHARGED ALIVE W/O CC/MCC," $17,193.17 "
283,ACUTE MYOCARDIAL INFARCTION- EXPIRED W MCC," $15,214.58 "
286,CIRCULATORY DISORDERS EXCEPT AMI- W CARD CATH W MCC," $30,612.19 "
287,CIRCULATORY DISORDERS EXCEPT AMI- W CARD CATH W/O MCC," $23,255.75 "
288,ACUTE  SUBACUTE ENDOCARDITIS W MCC," $39,351.43 "
291,HEART FAILURE SHOCK W MCC," $23,032.58 "
292,HEART FAILURE  SHOCK W CC," $15,910.89 "
293,HEART FAILURE  SHOCK W/O CC/MCC," $11,504.64 "
296,CARDIAC ARREST - UNEXPAINED W MCC," $19,925.38 "
299,PERIPHERAL VASCULAR DISORDERS W MCC," $15,908.57 "
300,PERIPHERAL VASCULAR DISORDERS W CC," $17,886.88 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC," $10,713.97 "
302,ATHEROSCLEROSIS W MCC," $16,764.84 "
303,ATHEROSCLEROSIS W/O MCC," $13,317.62 "
304,HYPERTENSION W MCC," $13,852.19 "
305,HYPERTENSION W/O MCC," $12,390.85 "
308,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC," $24,611.24 "
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC," $13,205.59 "
310,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/MCC," $8,121.05 "
311,ANGINA PECTORIS," $14,544.62 "
312,SYNCOPE  COLLAPSE," $13,611.65 "
313,CHEST PAIN," $14,419.48 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC," $22,610.09 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC," $21,337.29 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC," $9,888.71 "
326,STOMACH- ESOPHAGEAL  DUODENAL PROC W MCC," $89,043.87 "
327,STOMACH- ESOPHAGEAL  DUODENAL PROC W CC," $30,851.45 "
328,STOMACH- ESOPHAGEAL  DUODENAL PROC W/O CC/MCC," $15,221.93 "
329,MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC," $66,371.10 "
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC," $36,926.01 "
331,MAJOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC," $21,046.30 "
335,PERITONEAL ADHESIOLYSIS W MCC," $33,512.46 "
336,PERITONEAL ADHESIOLYSIS W CC," $24,960.78 "
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC," $24,104.44 "
338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC," $17,120.24 "
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC," $25,900.86 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC," $18,823.62 "
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC," $22,206.29 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC," $18,264.62 "
344,MINOR SMALL  LARGE BOWEL PROCEDURES W MCC," $35,620.74 "
345,MINOR SMALL  LARGE BOWEL PROCEDURES W CC," $15,266.50 "
346,MINOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC," $11,423.58 "
349,ANAL  STOMAL PROCEDURES W/O CC/MCC," $18,310.90 "
351,INGUINAL  FEMORAL HERNIA PROCEDURES W CC," $45,211.37 "
352,INGUINAL  FEMORAL HERNIA PROCEDURES W/O CC/MCC," $14,627.98 "
353,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W MCC," $35,063.23 "
354,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W CC," $22,843.64 "
355,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W/O CC/MCC," $16,049.91 "
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC," $50,232.09 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC," $36,439.66 "
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC," $9,609.31 "
369,MAJOR ESOPHAGEAL DISORDERS W CC," $10,692.73 "
370,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC," $13,854.66 "
371,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W MCC," $24,436.91 "
372,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W CC," $18,236.22 "
373,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W/O CC/MCC," $13,506.55 "
374,DIGESTIVE MALIGNANCY W MCC," $9,773.35 "
375,DIGESTIVE MALIGNANCY W CC," $17,977.00 "
377,G.I. HEMORRHAGE W MCC," $28,076.95 "
378,G.I. HEMORRHAGE W CC," $18,556.15 "
379,G.I. HEMORRHAGE W/O CC/MCC," $11,556.28 "
380,COMPLICATED PEPTIC ULCER W MCC," $21,149.62 "
381,COMPLICATED PEPTIC ULCER W CC," $16,352.30 "
382,COMPLICATED PEPTIC ULCER W/O CC/MCC," $18,301.74 "
383,UNCOMPLICATED PEPTIC ULCER W MCC," $20,391.18 "
384,UNCOMPLICATED PEPTIC ULCER W/O MCC," $19,168.90 "
385,INFLAMMATORY BOWEL DISEASE W MCC," $24,281.04 "
386,INFLAMMATORY BOWEL DISEASE W CC," $14,939.76 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC," $8,918.30 "
388,G.I. OBSTRUCTION W MCC," $32,968.39 "
389,G.I. OBSTRUCTION W CC," $14,035.05 "
390,G.I. OBSTRUCTION W/O CC/MCC," $11,923.56 "
391,ESOPHAGITIS- GASTROENT  MISC DIGEST DISORDERS W MCC," $19,279.65 "
392,ESOPHAGITIS- GASTROENT  MISC DIGEST DISORDERS W/O MCC," $13,941.92 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC," $24,178.37 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC," $14,662.32 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC," $12,957.02 "
405,PANCREAS- LIVER  SHUNT PROCEDURES W MCC," $18,895.95 "
409,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC," $20,183.14 "
413,CHOLECYSTECTOMY W C.D.E. W/O CC/MCC," $13,125.92 "
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC," $47,637.58 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC," $39,649.48 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC," $23,584.76 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC," $18,648.40 "
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC," $22,148.73 "
424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC," $51,959.63 "
432,CIRRHOSIS  ALCOHOLIC HEPATITIS W MCC," $33,201.54 "
433,CIRRHOSIS  ALCOHOLIC HEPATITIS W CC," $17,284.97 "
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC," $34,679.33 "
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC," $24,736.69 "
437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC," $19,217.60 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC," $41,748.30 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC," $16,220.32 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC," $11,524.32 "
441,DISORDERS OF LIVER EXCEPT MALIG-CIRR-ALC HEPA W MCC," $23,129.37 "
442,DISORDERS OF LIVER EXCEPT MALIG-CIRR-ALC HEPA W CC," $20,440.00 "
443,DISORDERS OF LIVER EXCEPT MALIG-CIRR-ALC HEPA W/O CC/MCC," $12,088.55 "
444,DISORDERS OF THE BILIARY TRACT W MCC," $35,600.55 "
445,DISORDERS OF THE BILIARY TRACT W CC," $21,947.34 "
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC," $16,513.99 "
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC," $59,200.04 "
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC," $53,001.54 "
463,WND DEBRID  SKN GRFT EXC HAND- FOR MUSCULO-CONN TISS DIS W MCC," $132,947.68 "
464,WND DEBRID  SKN GRFT EXC HAND- FOR MUSCULO-CONN TISS DIS W CC," $43,275.01 "
465,WND DEBRID  SKN GRFT EXC HAND- FOR MUSCULO-CONN TISS DIS W/O CC/MCC," $30,663.70 "
466,REVISION OF HIP OR KNEE REPLACEMENT W MCC," $73,866.91 "
467,REVISION OF HIP OR KNEE REPLACEMENT W CC," $55,526.92 "
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC," $45,885.01 "
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT," $49,712.81 "
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC," $34,257.67 "
474,AMPUTATION FOR MUSCULOSKELETAL SYS  CONN TISSUE DIS W MCC," $54,393.72 "
475,AMPUTATION FOR MUSCULOSKELETAL SYS  CONN TISSUE DIS W CC," $20,334.54 "
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W MCC," $59,193.16 "
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC," $27,840.24 "
479,BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W/O CC/MCC," $27,719.21 "
480,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC," $44,259.25 "
481,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC," $33,204.06 "
482,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC," $24,748.16 "
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES," $41,521.10 "
485,KNEE PROCEDURES W PDX OF INFECTION W MCC," $48,570.09 "
486,KNEE PROCEDURES W PDX OF INFECTION W CC," $38,542.28 "
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC," $25,680.98 "
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC," $29,889.14 "
492,LOWER EXTREM  HUMER PROC EXCEPT HIP-FOOT-FEMUR W MCC," $30,622.26 "
493,LOWER EXTREM  HUMER PROC EXCEPT HIP-FOOT-FEMUR W CC," $29,748.54 "
494,LOWER EXTREM  HUMER PROC EXCEPT HIP-FOOT-FEMUR W/O CC/MCC," $22,815.58 "
495,LOCAL EXCISION  REMOVAL INT FIX DEVICES EXC HIP  FEMUR W MCC," $26,526.67 "
496,LOCAL EXCISION  REMOVAL INT FIX DEVICES EXC HIP  FEMUR W CC," $44,657.45 "
497,LOCAL EXCISION  REMOVAL INT FIX DEVICES EXC HIP  FEMUR W/O CC/MCC," $35,558.94 "
498,LOCAL EXCISION  REMOVAL INT FIX DEVICES OF HIP  FEMUR W CC/MCC," $15,361.73 "
499,LOCAL EXCISION  REMOVAL INT FIX DEVICES OF HIP  FEMUR W/O CC/MCC," $27,824.94 "
500,SOFT TISSUE PROCEDURES W MCC," $44,604.70 "
501,SOFT TISSUE PROCEDURES W CC," $23,770.21 "
502,SOFT TISSUE PROCEDURES W/O CC/MCC," $19,404.08 "
504,FOOT PROCEDURES W CC," $20,575.73 "
505,FOOT PROCEDURES W/O CC/MCC," $17,570.45 "
508,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC," $17,779.18 "
511,SHOULDER-ELBOW OR FOREARM PROC-EXC MAJOR JOINT PROC W CC," $29,994.31 "
512,SHOULDER-ELBOW OR FOREARM PROC-EXC MAJOR JOINT PROC W/O CC/MCC," $25,413.10 "
513,HAND OR WRIST PROC- EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC," $19,150.06 "
514,HAND OR WRIST PROC- EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC," $12,342.90 "
516,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W CC," $31,738.57 "
517,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W/O CC/MCC," $17,582.90 "
519,BACK  NECK PROC EXC SPINAL FUSION W CC," $26,050.22 "
520,BACK  NECK PROC EXC SPINAL FUSION W/O CC/MCC," $12,261.16 "
534,FRACTURES OF FEMUR W/O MCC," $21,882.13 "
535,FRACTURES OF HIP  PELVIS W MCC," $12,678.92 "
536,FRACTURES OF HIP  PELVIS W/O MCC," $15,947.85 "
537,SPRAINS- STRAINS-  DISLOCATIONS OF HIP- PELVIS  THIGH W CC/MCC," $12,025.29 "
539,OSTEOMYELITIS W MCC," $10,244.14 "
540,OSTEOMYELITIS W CC," $16,681.09 "
542,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W MCC," $26,265.93 "
543,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W CC," $16,676.47 "
544,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W/O CC/MCC," $10,942.35 "
545,CONNECTIVE TISSUE DISORDERS W MCC," $36,576.64 "
546,CONNECTIVE TISSUE DISORDERS W CC," $32,405.24 "
547,CONNECTIVE TISSUE DISORDERS W/O CC/MCC," $20,473.44 "
548,SEPTIC ARTHRITIS W MCC," $48,459.95 "
549,SEPTIC ARTHRITIS W CC," $15,343.58 "
551,MEDICAL BACK PROBLEMS W MCC," $16,831.36 "
552,MEDICAL BACK PROBLEMS W/O MCC," $15,207.04 "
554,BONE DISEASES  ARTHROPATHIES W/O MCC," $10,128.08 "
556,SIGNS  SYMPTOMS OF MUSCULOSKELETAL SYSTEM  CONN TISSUE W/O MCC," $16,727.33 "
558,TENDONITIS- MYOSITIS  BURSITIS W/O MCC," $9,941.36 "
559,AFTERCARE- MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W MCC," $21,615.46 "
560,AFTERCARE- MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC," $25,714.09 "
561,AFTERCARE- MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W/O CC/MCC," $14,831.53 "
562,FX- SPRN- STRN  DISL EXCEPT FEMUR- HIP- PELVIS  THIGH W MCC," $21,212.04 "
563,FX- SPRN- STRN  DISL EXCEPT FEMUR- HIP- PELVIS  THIGH W/O MCC," $8,882.48 "
564,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W MCC," $19,063.74 "
