Department - Charge Category,Item Number - Charge ID,Description,Price
Central Supply,NS9007303,Splint Forearm S Kid Stuff,29
Central Supply,NS0595801,"Sling,Arm - Small",28
Central Supply,NS0510407,"Pad, Heel Donut Gel",53
Central Supply,NS0501418,"Support, Ankle Foot Rt Med",226
Central Supply,NS0511386,"Catheter, Foley 30Fr",91
Central Supply,NS0501334,Splint Elbow Extension Lg,230
Central Supply,NS0510826,"Catheter, Foley 22Fr",104
Central Supply,NS0500002,"Brace,Ulnar Preformed Fx-Med",449
Central Supply,NSHC0000796,"STRAP, CLAVICLE SPLINT MED",56
Central Supply,NS0501405,Orthosis Ankle Foot Med/Rt,284
Central Supply,NSHC0072784,"TRAY, FOLEY, URINE METER, DUAL",313
Central Supply,NS0065756,"Tricofix, 10Cm X 20M",158
Central Supply,NS0501690,"Cushion, 3D Quadragel 16 X 16",1236
Central Supply,NS0500958,Splint Finger 1/2 X 9,19
Central Supply,NS0510503,"Catheter, Foley 16Fr",101
Central Supply,NSHC0000395,"NU GAUZE, IODOFORM, 1/4 INCHES",24
Central Supply,NS0501506,"Inst. Writer, Wanchik Pedi Lft",153
Central Supply,NS0618603,"Tube,Aspirator",37
Central Supply,NS0571919,"Electrode, Loop Needle",93
Central Supply,NS0061373,Strap Flex Finger,74
Central Supply,NS0617407,"Le Boot,Small",64
Central Supply,NSHC0000384,"IMMOBILIZER, SHOULDER WOM MED",74
Central Supply,NS0065750,Comprilan 12Cm X 5M,75
Central Supply,NS0501326,Sleeve Elbow Lg,97
Central Supply,NS0501495,Digit Extensor Tube Lg,129
Central Supply,NS0501015,Immobilizer Knee Large,190
Central Supply,NSHC0000032,"STYLET, SATIN 6 FR",29
Central Supply,NS9006800,"Support,Knee With Stays",135
Central Supply,NS0074823,"Tube, Et Pedi 4.5",105
Central Supply,NS0501436,"Support, Ankle Med",41
Central Supply,NS0571877,"Electrode,Ext (Life-Pack 10)",50
Central Supply,NSHC0047648,"BOOT, WALKER ROLYAN LOWTOP LRG",365
Central Supply,NS0501508,Biocurve Pen,122
Central Supply,NS0501423,Rocker Cast Shoe Lg,455
Central Supply,NSHC0060821,"KIT, CENTRAL VEIN INTRODUCER",382
Central Supply,NS0052238,"Kit,Cricothyrotomy, Child, 2Mm",1110
Central Supply,NSHC0000821,"CATHETER, THORACIC, 32FR, RA",62
Central Supply,NS0501029,Splint Wrist Lg Right,119
Central Supply,NS0501273,"Sling, Cva Med/Lg",88
Central Supply,NS0501284,"Brace, Lateral Stabilizing Med",272
Central Supply,NSHC0000392,"NU GAUZE, IODOFORM, 1 INCHES",18
Central Supply,NS0501621,"Boot, Walker Rolyan Low Top",382
Central Supply,NSHC0000976,"NEBULIZER, MISTY W/T ADAPTER",13
Central Supply,NS0614008,"Suture,3-0 Chromic Gut",67
Central Supply,NS0501528,"Electrode, Pals 2 X 2",21
Central Supply,NS0062410,Splint Thumb Immobilizer Med,87
Central Supply,NS0501031,Splint Wrist Med Right,50
Central Supply,NS0501622,"Splint, Sam Orange 4.25 X 36",81
Central Supply,NS0501365,Brace Hinged Knee Adj Med,365
Central Supply,NS0060821,Cath Central Vein,382
Central Supply,NSHC0064183,"EQUALIZER PREMIUM WALKER,",368
Central Supply,NS0501337,Sling Hemi 13 Fl/Med,308
Central Supply,NS0501370,Support Knee Extensor Hinged,284
Central Supply,NS0058550,Gloves Antivibrational Lg,163
Central Supply,NS0501274,"Brace, Knee Os/Schlatter Sm",102
Central Supply,NS0501399,Splint Cts Resting Sm/Med,130
Central Supply,NS0501363,Brace Hinged Knee Xlg,300
Central Supply,NS0061576,Compress Burn Mask Face/Neck,747
Central Supply,NS0063976,Static Ankle Foot Orthosis Ltm,428
Central Supply,NS0501028,Support Wrist X-Lg Right,97
Central Supply,NSHC0000080,"TUBE, NASAL GASTRIC SIZE 12 FR",25
Central Supply,NS0543751,"Pack,Medivac Escort",375
Central Supply,NS0501465,Custom Heel Cup Lf Sz. 3,243
Central Supply,NSHC0000518,"SUTURE, ETHILON 4-0 (626)",9
Central Supply,NSHC0000084,"TUBE, NASAL GASTRIC SIZE 16 FR",24
Central Supply,NSHC0071860,"CUFF, BP DISP. ADULT",23
Central Supply,NS0501959,"Suture, Ethilon 4-0",9
Central Supply,NS0501336,Support Back Xlg,302
Central Supply,NS0501091,Moleskin,177
Central Supply,NSHC0000799,"STRAP, CLAVICLE SPLINT XSML",66
Central Supply,NSHC0000017,"CATHETER, THORACIC, 24FR, STR",84
Central Supply,NS0500967,Pessary Donut 2-1/4,268
Central Supply,NS8206108,12 Liters/Minute,24
Central Supply,NS0501036,Brace Metacarpal Fx Large,393
Central Supply,NS0500003,"Brace,Ulnar Preformed Fx Large",449
Central Supply,NS0616300,"Suture,6-0 Ethilion,#1698",59
Central Supply,NS0514708,"Support, Maternity Si-Loc L/Xl",243
Central Supply,NS0058783,Brace Knee Palumbo Functional,1143
Central Supply,NS0501335,Support Back Mold In Place,243
Central Supply,NSHC0000803,"PUNCH, BIOPSY SKLAR 4MM",14
Central Supply,NS0500956,Catheter Female 14Fr,5
Central Supply,NS0603506,"Tray,Pediatric Pluer-Vac,Adult",218
Central Supply,NS0501252,"Insole, Orthex Relievers Asst.",101
Central Supply,NSHC0033160,"BANDAGE, UNNA BOOT 4 W/CALAMI INCHES",57
Central Supply,NSHC0000042,"TUBE, ET 3.5",21
Central Supply,NSHC0041232,"NEEDLE, IV INTROCAN 18X1.75 ST",15
Central Supply,NSHC0010503,"STAPLER, SKIN WIDE PMW35",243
Central Supply,NS0049776,"Valve, clearling leur activate",13
Central Supply,NS0599831,"Pad, Arch Med 7/16 Pr",43
Central Supply,NS0501924,"Catheter, Dubhoff Introflex 8F",82
Central Supply,NS0500454,"Pessary,Gellhorn 2 1/4 Flex",278
Central Supply,NSHC0000065,"SUPPORT, KNEE IMMOBILIZER LG",125
Central Supply,NS0072423,"Pessary,Size 4 W/Knob W/Suppor",418
Central Supply,NS0501451,"Knee Strap, Cho-Pat",122
Central Supply,NS0500998,Support Knee Neoprene Sm,167
Central Supply,NS0501613,"Orthotic, Pez Cavis",194
Central Supply,NS0500202,Flxble Slcne Gelhrn Pged 2 3/4,268
Central Supply,NS0501343,Kit Supine Cervical Traction,324
Central Supply,NS0058552,Support Knee Hinged  Xxxl,444
Central Supply,NS0501258,"Insert, Dia-A-Guard Wom/7-8",102
Central Supply,NS0501070,Support Tennis Elbow Universal,28
Central Supply,NS0061240,"Bag Ostomy 1 Convatec 125354""",559
Central Supply,NS0064335,Expistaxis Anterior Bj 7.5,347
Central Supply,NSHC0045746,"KNEE PAD, SPIDER LG",153
Central Supply,NS0501491,Murphy Ring Sz. 7,166
Central Supply,NSHC0000434,"BOOT, LE LARGE",65
Central Supply,NSHC0064335,"EPISTAXIS, ANTERIOR/BI 7.5 CM",372
Central Supply,NSHC0047756,"DRESSING, DUODERM CGF 4 X 4",82
Central Supply,NSHC0000126,"PAD, LEG LENGTH 9mm M9+",85
Central Supply,NS0065747,"Comprilan, 10Cm X 5M",64
Central Supply,NSHC0043679,"KIT, ENDURA TAPING",120
Central Supply,NS0501607,Foot Up Item,648
Central Supply,NS0066408,"Splint, Thumb, Cmc, Comfort Co",113
Central Supply,NS0500993,Support Lumbo Sacral Univ,137
Central Supply,NSHC0000038,"TUBE, ET 4.0",8
Central Supply,NS0041227,"Needle, IV Introcan 24x3/4 wng",17
Central Supply,NSHC0000043,"TUBE, ET 9.0",14
Central Supply,NSHC0000078,"TUBE, NASAL GASTRIC SIZE 10 FR",24
Central Supply,NS0501035,Support Wrist Xs Left,61
Central Supply,NS0500371,"Electrode,Loop Round 5Mm X 5Mm",68
Central Supply,NS0500021,"Suture,Prolene 5-0 (P-3)",93
Central Supply,NSHC0045478,"SPLINT, BUNION LRG RIGHT",29
Central Supply,NS0061316,Hallus-Valgus Night Dynamic Sp,129
Central Supply,NS0501346,Sling Denim Cradle,67
Central Supply,NSHC0000317,"PADDING, 6 SOF-ROL CAST INCHES",25
Central Supply,NS0501255,"Insert, Diab-A-Guard M7-8",102
Central Supply,NS0501048,Support Ankle Medium,119
Central Supply,NS0614800,"Suture,6-0 Vicryl",58
Central Supply,NS0501198,Orthotic Foot Custom,868
Central Supply,NS0501611,"Brace, Oa Knee Sz 3",2033
Central Supply,NSHC0000204,URI-METER W/DRAINAGE BAG,158
Central Supply,NS0059144,Brace Knee Dynamic,1448
Central Supply,NS0501612,"Brace, Acl Left Knee",2078
Central Supply,NS0068874,Shiley Tracheostomy Cfs Size 6,611
Central Supply,NSHC0065461,"CATHETER, FOLEY, 5cc, 22 FR",63
Central Supply,NSHC0000254,"STOCKING, KNEE HI LG",36
Central Supply,NSHC0060840,"KIT, ABG MARQUEST REF 4423TRU",34
Central Supply,NS0501300,"Dressing, Disnadress Hydrocolo",63
Central Supply,NS0070743,"Catheter, Texas, Standard 1 Fo",78
Central Supply,NSHC0000073,"SUPPORT, KNEE STABILIZING SM",194
Central Supply,NS0501916,"Support, Hinged Kne Wraprd Lg",460
Central Supply,NSHC0000046,"TUBE, ET 8.0",54
Central Supply,NS0500298,"Assembly,Crescent Snare",196
Central Supply,NSHC0000883,"SUPPORT, KNEE PULLOVER, MED",113
Central Supply,NS0500942,Thumbkeeper Freedom Sm L,218
Central Supply,NSHC0000435,"BOOT, LE MEDIUM",65
Central Supply,NS0501520,Combiderm Dressing,63
Central Supply,NS0501455,"Support, Extensor Neo Groin Sm",93
Central Supply,NS0501204,Splint Med Left Custom Molded,177
Central Supply,NS9007055,"Brace,Ligament Stabilizer Knee",130
Central Supply,NS0501452,"Sleeve, Cho-Pat Shin Splint Lg",153
Central Supply,NS0500022,"Suture,Chromic 4-0 (Ct-1)",66
Central Supply,NSHC0000431,"TAPE, CASTING 4 SYNTHETIC INCHES",28
Central Supply,NSHC0031158,"SUTURE, PROLENE 5-0 8698G",106
Central Supply,NS0500969,Pessary Donut 2-3/4,268
Central Supply,NS0501523,"Strap, Pul-Ez",144
Central Supply,NS0501571,"Kit, Hip",203
Central Supply,NSHC0000181,"TRAY, CATHETER ADD-A-FOLEY",129
Central Supply,NSHC0000242,"SPLINT, WRIST COCKUP SM LF",92
Central Supply,NS0638041,Morgan Lens Delivery Set,32
Central Supply,NSHC0010796,"EXTRACTOR, STAPLE PROXIMATE",48
Central Supply,NS0638007,Stoma Adhesive Wafers - Ltc,109
Central Supply,NSHC0000124,"PAD, LEG LENGTH 9mm M 6.5-8.5",85
Central Supply,NS0059906,Spica Thumb Sm-Md,227
Central Supply,NS0501594,"Tip, Soft Tissue",111
Central Supply,NS0501454,"Brace, Knee Patellar Med",146
Central Supply,NS0501269,"Support, Lumbar Lg",162
Central Supply,NSHC0041228,"NEEDLE, IV INTROCAN 22GX1 INCHES",17
Central Supply,NS0501283,"Brace, Lateral Stabilizing Sm",272
Central Supply,NS0501472,"Pad, Heel Hapad 2 X 5/16""""",38
Central Supply,NSHC0000530,"SUTURE, VICRYL 6-0 (499)",81
Central Supply,NSHC0041229,"NEEDLE, IV INTROCAN 2OX1 STR",17
Central Supply,NSHC0000328,"CATHETER, EPISTAXIS",519
Central Supply,NS0063680,"Support Mother To Be,Large",205
Central Supply,NSHC0026128,MORGAN LENS DELIVERY SET,40
Central Supply,NSHC0028336,"ACCOMODATOR, HI IMP W6-8 M7-8",97
Central Supply,NS0501093,Splint Plaster 5,42
Central Supply,NS0063967,Catherter Foley 5Cc,172
Central Supply,NS0616201,"Suture,5-0 Ethilion,#1668",23
Central Supply,NSHC0071858,"CUFF, BP DISP. CHILD",24
Central Supply,NS0501646,"Softcap, White Med",299
Central Supply,NS0501233,"Boot, Ankle Rolyn Low Top Walk",445
Central Supply,NS0631101,"Tray, Catheter Add-A-Foley",170
Central Supply,NS0064182,"Inserts,Orthopedic",91
Central Supply,NS0512806,Catheter Thor Ra 20Fr,63
Central Supply,NS0615708,"Suture,6-0 Silk",18
Central Supply,NS0501407,Orthosis Ankle Foot 8-10 M/Rt,284
Central Supply,NS0501133,Cannula Nasal Infant,17
Central Supply,NS0501373,Support Extensor Hinged,300
Central Supply,NS0500439,Bledsoe Mid Calf Boot,87
Central Supply,NS0514005,Bag Colostomy Activelife,110
Central Supply,NS0074236,"Kit, Cricothyrotomy, Mini-Trac",245
Central Supply,NS0063668,Freedom Thumkeeper Lg Lt,242
Central Supply,NS0501034,Splint Wrist Xs Right,86
Central Supply,NS0004320,Tenderfoot Incision,20
Central Supply,NS0058533,Support Arch Lok Sweded S Lt,313
Central Supply,NSHC0000394,"NU GAUZE, IODOFORM, 1/2 INCHES",15
Central Supply,NS0501362,Brace Hinged Knee Med,298
Central Supply,NSHC0000487,"DRESSING, DUO DERM 4X4",66
Central Supply,NSHC0000232,"TRAY, FOLEY CTR ENTRY 14FR",117
Central Supply,NSHC0031159,"SUTURE, CHROMIC 4-0 BOX/36",65
Central Supply,NS0062662,Splint Bunnell 2.5,68
Central Supply,NSHC0024324,"KIT, BREAST PUMP LACTINA",245
Central Supply,NS0501427,Shoe Ambulator Men Xw 9.5,689
Central Supply,NS0501146,Collar Ambu Mini Surloc,105
Central Supply,NS0501667,"Binder, Abdominal Regular",179
Central Supply,NS0510602,"Catheter, Foley 18Fr",101
Central Supply,NS0501648,"Support, Ankle Lg",49
Central Supply,NSHC0000521,"SUTURE, ETHILON 7-0",119
Central Supply,NS0061980,Custom Footmaxx Orthotics,802
Central Supply,NSHC0044970,"BOOT, WALKER ROLYAN LOWTOP MED",365
Central Supply,NS0501368,Sleeve Knee On Track,360
Central Supply,NS0501694,"Dressing, Foam Adhesive",205
Central Supply,NS0501212,Heel Wedge,162
Central Supply,NS0501272,"Sling, Cva Sm/Med",88
Central Supply,NSHC0064334,"EPISTAXIS, ANTERIOR/BI 5.5 CM",267
Central Supply,NSHC0054539,"SUPPORT, ABDOMINAL, SM/MED",174
Central Supply,NS0594101,"Rib Belt,Woman - X-Large",25
Central Supply,NSHC0000122,"PAD, LEG LENGTH 9mm M 5-6",85
Central Supply,NS0501030,Splint Wrist Small Right,101
Central Supply,NS0061503,Dressing Togaderm,175
Central Supply,NS0501960,"Pad, Zoll Aed Cpr-D",807
Central Supply,NSHC0000057,"TUBE, FEEDING 8FR",13
Central Supply,NS0059153,"Anterior Afo,Rt",223
Central Supply,NS0501649,"Bandage, Unna Boot 4 W/Calami""",39
Central Supply,NS0595009,"Shoulder Immob,Men X-Large",69
Central Supply,NS0058365,Shoe Softspots Vertex Women,486
Central Supply,NS0506014,"Needle,Aspiration 15 Ga",232
Central Supply,NS0070331,"Catheters, Poly Radpicc 4 Fr",718
Central Supply,NS0501123,Oxisensor Ii Neonatal,127
Central Supply,NS0501475,"Lift, Heel Adj. Large",53
Central Supply,NSHC0047666,"INSOLE, PORON WMS 6-8 MENS 7-8",183
Central Supply,NS0501672,"Shoe, Arcopedico City Wm 8.5",486
Central Supply,NS0501681,Sorbsan 4 X 4 Dressing,305
Central Supply,NS0500042,Haberman Feeder,89
Central Supply,NS0638040,Morgan Medi-Flow Lens,123
Central Supply,NS0066407,"Splint, Thunb, Cmc, Comfort Co",113
Central Supply,NS0501339,Insole Ultra Performer Mn6-7,177
Central Supply,NS0041233,"Needle, IV Introcan 16x1.25 st",22
Central Supply,NS0501551,Garment Burn,413
Central Supply,NS0501425,Cast Sandal Beach Bum Lg,57
Central Supply,NS0514003,Bra,347
Central Supply,NS0063664,Bunion Splint Lg Lt,30
Central Supply,NS0501249,"Arch, Longitudinal Med",54
Central Supply,NSHC0000018,"CATHETER, THORACIC, 28FR, STR",89
Central Supply,NSHC0017380,"ELECTRODE, CONNECT PLUS SPIRAL",26
Central Supply,NS0501391,Knee Strap Neoprene Univ,48
Central Supply,NS0501533,"Support, Bicro Tennis Elbow",81
Central Supply,NS9009218,"Support,Tennis Elbow - Med Vin",28
Central Supply,NSHC0000795,"STRAP, CLAVICLE SPLINT LRG",66
