NewYork-Presbyterian Standard Hospital Charges 2019,,
,,
Category,Charge Description,Price
DENTAL  CLINIC,CSTM ABTMNT INCL PLACEMNT,"$1,544.00"
DENTAL  CLINIC,UNLISTED ADJUNCT PROCEDURE,"$1,544.00"
DENTAL  CLINIC,ENDODONTIC THERAPY/PREMOLAR,"$1,854.00"
DENTAL  CLINIC,RETREAT-ENDO ANTERIOR,"$1,854.00"
DENTAL  CLINIC,ODONTICS ENDOSEAL IMPLANT,"$1,854.00"
DENTAL  CLINIC,PARTIAL OSTECTOMY/SEQUES,"$1,854.00"
DENTAL  CLINIC,MANDIBLE GRAFT,"$1,854.00"
DENTAL  CLINIC,SINUS AUG W BONE/BONE SUP,"$1,931.00"
DENTAL  CLINIC,CROWN PORC/CERAMIC SUBSTRATE,"$2,009.00"
DENTAL  CLINIC,CROWN PORCELAIN W/H NOBLE M,"$2,009.00"
DENTAL  CLINIC,CROWN PFM,"$2,009.00"
DENTAL  CLINIC,BRIDGE PORCELAIN HIGH NOBLE,"$2,009.00"
DENTAL  CLINIC,PONTIC PORCELAIN/CERAMIC,"$2,009.00"
DENTAL  CLINIC,CROWN PORCELAIN HIGH NOBLE,"$2,009.00"
DENTAL  CLINIC,ENDODONTIC THERAPY/MOLAR,"$2,317.00"
DENTAL  CLINIC,RETREAT-ENDO PREMOLAR,"$2,317.00"
DENTAL  CLINIC,ABTMNT SUPRT PORC/CRMC CRWN,"$2,626.00"
DENTAL  CLINIC,ABUTMENT SUPPORT METAL CROWN,"$2,626.00"
DENTAL  CLINIC,ABUTMENT SUPPORTED MTL CROWN,"$2,626.00"
DENTAL  CLINIC,ABUTMENT SUPPORT METAL CROWN,"$2,626.00"
DENTAL  CLINIC,IMPL SUPPRTD PORC/CRMC CRWN,"$2,626.00"
DENTAL  CLINIC,IMPL SUPPRTD PORC FUSE MLT CRW,"$2,626.00"
DENTAL  CLINIC,ABUTMENT SUPPORT RETAINER,"$2,626.00"
DENTAL  CLINIC,ABUT SUPPORT RETAINER NOBEL MT,"$2,626.00"
DENTAL  CLINIC,CROWN PORCELAIN/CERAMIC,"$2,626.00"
DENTAL  CLINIC,OVERDENTURE - MAXILLA,"$2,636.00"
DENTAL  CLINIC,OBTURATOR PROSTHESIS INTERIM,"$3,089.00"
DENTAL  CLINIC,COMPLETE DENTURE MAXILLARY,"$3,244.00"
DENTAL  CLINIC,COMPLETE DENTURE MANDIBULAR,"$3,244.00"
DENTAL  CLINIC,PART DENTURE MAXIL RESIN BASE,"$3,244.00"
DENTAL  CLINIC,PART DENTURE MANDIB RESIN BASE,"$3,244.00"
DENTAL  CLINIC,PART DENTURE MAXIL CAST FRAME,"$3,244.00"
DENTAL  CLINIC,PART DENTURE MANDIB CAST FRAME,"$3,244.00"
DENTAL  CLINIC,IMPLNT/ABUT SUPPRT FIX DENT CO,"$8,494.00"
DIALYSIS,HEMODIALYSIS VISIT,$927.00
DIALYSIS,DIALYSIS M2 CH,"$1,331.00"
DIALYSIS,HEMODIALYSIS CONT VENO-VENOUS,"$2,330.00"
DIALYSIS,PERITONEAL DIALYSIS,"$3,980.00"
DRUGS,AFLIBERCEPT 2MG/.05ML KIT,"$3,237.50"
DRUGS,AMITRIPTYLINE TAB 10 MG,$0.33
DRUGS,AMITRIPTYLINE TAB 100 MG,$2.66
DRUGS,AMITRIPTYLINE TAB 25 MG,$0.67
DRUGS,AMITRIPTYLINE TAB 50 MG,$1.87
DRUGS,AMITRIPTYLINE TAB 75 MG,$2.01
DRUGS,NIVOLUMAB 10MG/ML INJ (NC),$0.03
DRUGS,ECULIZUMAB 10MG/ML INJ NC,$0.03
DRUGS,PEMBROLIZUMAB INJ 100MG NC,$0.03
DRUGS,PONATINIB 15 MG TAB,$0.03
DRUGS,RUXOLITINIB 5MG,$0.03
DRUGS,IDELALISIB 150 MG TAB,$0.04
DRUGS,ALEMTUZUMAB INJ 30ML/1ML,$0.04
DRUGS,RUXOLITINIB 10MG TAB,$0.04
DRUGS,RUXOLITINIB 15MG TAB,$0.04
DRUGS,PONATINIB 45 MG TAB,$0.04
DRUGS,IBRUTINIB 140 MG CAP,$0.04
DRUGS,METHOTREXATE INJ 25 MG/ML 4 ML,$0.51
DRUGS,METHOTREXATE SODIUM    5 MG,$0.63
DRUGS,OXALIPLATIN INJ 100MG,$0.72
DRUGS,DEXAMETHASONE 12 MG/50 ML D5W,$0.74
DRUGS,PACLITAXEL INJ 100 MG/17 ML,$0.75
DRUGS,OXALIPLATIN INJ 50MG,$1.05
DRUGS,METHOTREXATE INJ 25 MG/ML 2 ML,$1.39
DRUGS,PACLITAXEL    30 MG,$1.43
DRUGS,METHOTREXATE 250MG/10ML INJ,$1.48
DRUGS,ETOPOSIDE INJ 100 MG,$1.74
DRUGS,ETOPOSIDE INJ 500 MG,$1.89
DRUGS,INJ    OCTREOTIDE ACETATE    1 MG,$2.14
DRUGS,CYTARABINE INJ 2 G,$2.38
DRUGS,METHOTREXATE I.T. SY 2 MG/ML,$2.83
DRUGS,TOPOTECAN INJ 4 MG,$3.26
DRUGS,ETOPOSIDE 20MG/ML INJ 50ML,$3.45
DRUGS,TAMOXIFEN TAB 20MG,$3.50
DRUGS,LEUCOVORIN IV SY 10 MG/ML,$3.50
DRUGS,DOCETAXEL INJ 80 MG,$4.01
DRUGS,CYTARABINE INJ 500 MG,$4.20
DRUGS,AZACITADINE INJ 100MG,$4.38
DRUGS,FLUOROURACIL INJ 50 MG/ML 50ML,$5.09
DRUGS,BEVACIZUMAB INJ 1.25MG,$5.58
DRUGS,CYTARABINE INJ 1 G,$6.10
DRUGS,CISPLATIN 1 MG/ML INJ 200 ML,$6.40
DRUGS,CISPLATINOL    POWDER    PER 10 MG,$6.47
DRUGS,CISPLATIN INJ 1 MG/ML 50 ML,$6.51
DRUGS,FLUOROURACIL    500 MG,$6.97
DRUGS,FOSAPREPITANT INJ 150MG,$7.11
DRUGS,METHOTREXATE    ORAL    2.5 MG,$7.71
DRUGS,IRINOTECAN    20 MG,$7.98
DRUGS,LEUCOVORIN CALCIUM INJ 350 MG,$8.02
DRUGS,DOXORUBICIN INJ 50 MG/25 ML,$9.87
DRUGS,INJ VINBLASTINE SULFATE 1 MG,$10.73
DRUGS,CARBOPLATIN INJ 150 MG,$11.27
DRUGS,CARBOPLATIN INJ 450 MG,$11.47
DRUGS,CARBOPLATIN INJ 10 MG/ML 60 ML,$11.55
DRUGS,LEUCOVORIN CALCIUM INJ 100 MG,$12.22
DRUGS,CYTARABINE I.T. 20 MG/ML,$13.08
DRUGS,LEUCOVORIN CALCIUM INJ 200 MG,$13.12
DRUGS,CYTARABINE IV SY 20 MG/ML,$13.15
DRUGS,TEMOZOLOMIDE 5 MG    TEMODAR,$14.15
DRUGS,AZACITADINE INJ SYRG 25MG/ML,$14.48
DRUGS,CYCLOPHOSPHAMIDE 50MG CAP,$14.58
DRUGS,DACARBAZINE INJ 200 MG,$15.19
DRUGS,CYTARABINE    100 MG,$15.30
DRUGS,CARBOPLATIN    50 MG,$15.69
DRUGS,VINCRISTINE INJ 2MG,$16.36
DRUGS,INJ    LEUCOVORIN    PER 50 MG,$17.47
DRUGS,DEGARELIX INJ 80 MG *R*,$19.99
DRUGS,VINCRISTINE INJ 1 MG/ML,$20.16
DRUGS,ELOTUZUMAB INJ 400MG,$20.72
DRUGS,DEGARELIX INJ 120 MG *R*,$20.75
DRUGS,DOXORUBICIN HCL    10 MG,$21.10
DRUGS,GEMCITABINE HCL    200 MG,$21.72
DRUGS,DOXORUBICIN    LIPID FORM    10 MG,$33.17
DRUGS,INJ    PAMIDRONATE DIS    PER 30 MG,$36.36
DRUGS,PERTUZUMAB 420 MG/14 ML INJ,$39.37
DRUGS,PACLITAXEL PBP 100MG-ABRAXANE,$41.99
DRUGS,USTEKINUMAB 5MG/ML INJ,$43.07
DRUGS,VINORELBINE INJ 10 MG/ML 1 ML,$45.45
DRUGS,INJ    BUSULFAN PER 6 MG,$50.77
DRUGS,VINORELBINE    PER 10 MG,$51.33
DRUGS,INJ    CLADRIBINE    PER 1 MG,$69.29
DRUGS,BENDAMUSTINE 100MG/4ML INJ,$79.09
DRUGS,MITOXANTRONE INJ 2 MG/ML 15 ML,$84.02
DRUGS,NIVOLUMAB 10MG/ML INJ 10ML,$90.36
DRUGS,NIVOLUMAB 240 MG/24 ML INJ,$90.41
DRUGS,NIVOLUMAB 10MG/ML INJ 4 ML,$91.77
DRUGS,BLEOMYCIN SULFATE    15 UNITS,$94.08
DRUGS,MITOXANTRONE HCL 2 MG/ML 10 ML,$103.97
DRUGS,IFOSFAMIDE 3000MG,$106.34
DRUGS,RILPIVIRINE TAB 25 MG *R*,$112.36
DRUGS,IFOSFAMIDE    1 GM,$120.58
DRUGS,GEMCITABINE INJ 200 MG/ 10 ML,$141.65
DRUGS,IRINOTECAN LIPOSOMAL 43MG/10ML,$144.96
DRUGS,IDARUBICIN INJ 1 MG/ML 10 ML,$147.40
DRUGS,BORTEZOMIB 2.5MG/ML SUBQ SYRIN,$153.79
DRUGS,DAUNORUBICIN HCL    10 MG,$154.24
DRUGS,BORTEZOMIB INJ 3.5 MG,$160.30
DRUGS,PEMBROLIZUMAB 100MG INJ,$161.52
DRUGS,OLARATUMAB 500MG INJ,$166.92
DRUGS,DARATUMUMAB INJ 400MG/20ML,$173.44
DRUGS,CYCLOPHOSPHAMIDE 100 MG,$175.62
DRUGS,DARATUMUMAB INJ 100MG/5ML,$177.55
DRUGS,RITUXIMAB HYALURONIDASE 1400MG,$182.74
DRUGS,OFATUMUMAB INJ 100MG/5ML *R*,$184.73
DRUGS,OFATUMUMAB 1000 MG/50 ML *R*,$186.17
DRUGS,FLUDARABINE    50 MG,$186.34
DRUGS,RAMUCIRUMAB 10MG/ML 50ML,$189.43
DRUGS,TEMSIROLIMUS INJ 25 MG,$190.89
DRUGS,RAMUCIRUMAB 10MG/ML 10ML,$191.32
DRUGS,CETUXIMAB INJ 100MG/50ML,$196.93
DRUGS,OBINUTUZUMAB 25MG/ML INJ 40ML,$216.50
DRUGS,PEMETREXED 500 MG INJ,$217.04
DRUGS,ARSENIC TRIOXI INJ 1MG/ML 10ML,$222.13
DRUGS,ETOPOSIDE    ORAL    50 MG,$247.02
DRUGS,ATEZOLIZUMAB 1200MG/20ML INJ,$252.76
DRUGS,BEVACIZUMAB INJ 400MG/16ML,$261.67
DRUGS,BEVACIZUMAB INJ 100MG/4ML,$270.80
DRUGS,CLOFARABINE INJ 20MG/20ML,$276.07
DRUGS,FULVESTRANT 250MG SYRINGE,$310.94
DRUGS,SILTUXIMAB 400MG INJ,$315.40
DRUGS,INJECTION TRASTUZUMAB 10 MG,$332.83
DRUGS,GEMCITABINE INJ 2000 MG,$333.75
DRUGS,CYTARABINE LIPO I.T. 10 MG/ML,$345.80
DRUGS,PANITUMUMAB INJ 20 MG/ML 20 ML,$346.03
DRUGS,NILOTINIB CAP 200 MG,$354.35
DRUGS,TRASTUZUMAB 150MG INJ,$356.51
DRUGS,BLINATUMOMAB 35MCG INJ,$362.61
DRUGS,DASATINIB TAB 20MG,$370.04
DRUGS,ERLOTINIB TAB 150MG,$379.70
DRUGS,MITOMYCIN INJ 0.5 MG/ML 40 ML,$380.50
DRUGS,IPILIMUMAB INJ 5MG/ML 10ML *NF,$420.00
DRUGS,MITOMYCIN 40 MG INJ,$450.10
DRUGS,BRENTUXIMAB INJ 50 MG *R*,$478.24
DRUGS,NELARABINE INJ 250 MG/50 ML,$479.70
DRUGS,IPILIMUMAB INJ 5MG/ML 40ML *NF,$480.22
DRUGS,SOREFENIB TAB 200MG *R*,$499.42
DRUGS,DEXRAZOXANE 250MG INJ,$695.48
DRUGS,GEMTUZUMAB OZOGAMICIN *NF* 5MG,$999.86
DRUGS,ROMIDEPSIN INJ 10 MG *R*,"$1,119.08"
DRUGS,GOSERELIN 10.8MG IMP,"$1,132.10"
DRUGS,DOXORUBICIN LIPOSOME 2 MG/ML 1,"$1,254.57"
DRUGS,ERWINA L-ASPARGINASE,"$1,350.12"
DRUGS,THIOTEPA 100MG INJ,"$2,138.06"
DRUGS,ERWINIA ASPARAG 5000 UNIT,"$2,739.40"
DRUGS,DEFIBROTIDE INJ 200MG/2.5ML,"$2,978.99"
DRUGS,RITUXIMAB INJ 10 MG/ML 50 ML,"$3,153.23"
DRUGS,INJECTION RITUXIMAB 100 MG,"$3,155.11"
DRUGS,MELPHALAN EVOMELA INJ 50MG,"$3,388.39"
DRUGS,PENTOSTATIN    PER 10 MG,"$3,831.00"
DRUGS,LEUPROLIDE ACETATE INJ 3.75 MG,"$3,948.15"
DRUGS,LEUPROLIDE *NF* 30MG INJ 4MONT,"$4,077.31"
DRUGS,INJ    THYROTROPIN ALFA    0.9 MG,"$4,093.68"
