CDM_NBR [corp],HOSP,DEPT_DESC [corp],CDM_DESC [corp],CURR_PRICE
2045054,SHARON HOSPITAL,INFUSION NDH-PHC,URINE PREGNANCY TEST,$39.00 
2045056,SHARON HOSPITAL,INFUSION NDH-PHC,ADMIN PNEMOCOCCAL VACCINE,$147.00 
2045060,SHARON HOSPITAL,INFUSION NDH-PHC,APPLY OF ON-BODY INJECTOR,$147.00 
2045061,SHARON HOSPITAL,INFUSION NDH-PHC,BLD/BLD PROD TRANSFUSION,$710.00 
2045062,SHARON HOSPITAL,INFUSION NDH-PHC,FINE NEEDLE ASPIRATION W/O IMAGING,$428.00 
3015000,SHARON HOSPITAL,LAB CHEMISTRY,METABOLIC PANEL TOTAL CA,$115.00 
3015001,SHARON HOSPITAL,LAB CHEMISTRY,ELECTROLYTE PANEL,$30.00 
3015002,SHARON HOSPITAL,LAB CHEMISTRY,COMPREHEN METABOLIC PANEL,$115.00 
3015003,SHARON HOSPITAL,LAB CHEMISTRY,RENAL FUNCTION PANEL,$60.00 
3015004,SHARON HOSPITAL,LAB CHEMISTRY,HEPATIC FUNCTION PANEL,$181.00 
3015005,SHARON HOSPITAL,LAB CHEMISTRY,DRUG TEST PRESUMP NOT OPT,$338.00 
3015006,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF AMIKACIN,$83.00 
3015007,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY,CARBAMAZEPINE,TOTAL",$65.00 
3015008,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF DIGOXIN,$152.00 
3015009,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY,DIPROPYLACETIC ACID",$197.00 
3015010,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF GENTAMICIN,$90.00 
3015011,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF LITHIUM,$86.00 
3015012,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF PHENOBARBITAL,$72.00 
3015013,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY OF PHENYTOIN, TOTAL",$178.00 
3015014,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF SALICYLATE,$471.00 
3015015,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF TOBRAMYCIN,$101.00 
3015016,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF VANCOMYCIN,$196.00 
3015017,SHARON HOSPITAL,LAB CHEMISTRY,"URINALYSIS, AUTO W/SCOPE",$72.00 
3015018,SHARON HOSPITAL,LAB CHEMISTRY,"URINALYSIS,AUTO W/O SCOPE",$61.00 
3015019,SHARON HOSPITAL,LAB CHEMISTRY,URINALYSIS,$14.00 
3015021,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF ACETAMINOPHEN,$471.00 
3015022,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF SERUM ALBUMIN,$63.00 
3015023,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF ETHANOL,$471.00 
3015024,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF AMMONIA,$205.00 
3015025,SHARON HOSPITAL,LAB CHEMISTRY,"BILIRUBIN, TOTAL",$88.00 
3015026,SHARON HOSPITAL,LAB CHEMISTRY,"BILIRUBIN, DIRECT",$59.00 
3015027,SHARON HOSPITAL,LAB CHEMISTRY,"OCCULT BLD, OTHER SOURCES",$20.00 
3015028,SHARON HOSPITAL,LAB CHEMISTRY,"OCCULT BLD FECES,1-3 TEST",$24.00 
3015029,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF CALCIUM-TOTAL,$100.00 
3015030,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF BLOOD CHLORIDE,$29.00 
3015031,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY, BLD/SERUM CHOL",$32.00 
3015032,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF CK (CPK),$95.00 
3015033,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF CREATININE,$61.00 
3015034,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF URINE CREATININE,$57.00 
3015035,SHARON HOSPITAL,LAB CHEMISTRY,CREATININE CLEARANCE TEST,$94.00 
3015036,SHARON HOSPITAL,LAB CHEMISTRY,ASSY OF FETAL FIBRONECTIN,$346.00 
3015038,SHARON HOSPITAL,LAB CHEMISTRY,GLUCOSE OTHER FLUID,$88.00 
3015039,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY,GLUCOSE,BLOOD QUANT",$39.00 
3015040,SHARON HOSPITAL,LAB CHEMISTRY,GLUCOSE POST GLUCOSE DOSE,$21.00 
3015041,SHARON HOSPITAL,LAB CHEMISTRY,GLUCOSE TOLERANCE TEST,$81.00 
3015042,SHARON HOSPITAL,LAB CHEMISTRY,GTT-ADDED SAMPLES,$20.00 
3015043,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF GGT,$53.00 
3015044,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF LACTIC ACID,$129.00 
3015045,SHARON HOSPITAL,LAB CHEMISTRY,LACTATE (LD) (LDH) ENZYME,$94.00 
3015046,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF LIPASE,$122.00 
3015047,SHARON HOSPITAL,LAB CHEMISTRY,NATRIURETIC PEPTIDE,$212.00 
3015048,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF BLOOD OSMOLALITY,$85.00 
3015049,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF URINE OSMOLALITY,$88.00 
3015050,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF PARATHORMONE,$227.00 
3015051,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY PH BODY FLUID NOS,$46.00 
3015052,SHARON HOSPITAL,LAB CHEMISTRY,ASSY ALKALINE PHOSPHATASE,$29.00 
3015053,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF PHOSPHORUS,$66.00 
3015054,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF SERUM POTASSIUM,$53.00 
3015055,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY OF PROTEIN, URINE",$91.00 
3015056,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY OF PROTEIN, OTHER",$66.00 
3015057,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF SERUM SODIUM,$30.00 
3015058,SHARON HOSPITAL,LAB CHEMISTRY,BODY FLUID SPECIF GRAVITY,$16.00 
3015059,SHARON HOSPITAL,LAB CHEMISTRY,TRANSFERASE (AST) (SGOT),$53.00 
3015060,SHARON HOSPITAL,LAB CHEMISTRY,ALANINE AMINO (ALT)(SGPT),$63.00 
3015061,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF TRIGLYCERIDES,$32.00 
3015062,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY OF TROPONIN, QUANT",$54.00 
3015063,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF UREA NITROGEN,$57.00 
3015064,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF BLOOD/URIC ACID,$66.00 
3015065,SHARON HOSPITAL,LAB CHEMISTRY,CHORIONIC GONADOTROPIN,$219.00 
3015066,SHARON HOSPITAL,LAB CHEMISTRY,CHORIONIC GONADOTROPIN AS,$117.00 
3015067,SHARON HOSPITAL,LAB CHEMISTRY,AUTOMATED LEUKOCYTE COUNT,$57.00 
3015069,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY ALBUMIN OTHER SOURCE,$41.00 
3015070,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF AMYLASE,$98.00 
3015071,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF URINE CHLORIDE,$17.00 
3015072,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF URINE POTASSIUM,$43.00 
3015073,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF URINE SODIUM,$41.00 
3015074,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF IRON,$73.00 
3015075,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF MAGNESIUM,$122.00 
3015076,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY OF PROTEIN, SERUM",$48.00 
3015101,SHARON HOSPITAL,LAB CHEMISTRY,"ASSAY, BLD CARBON DIOXIDE",$49.00 
3015102,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF PROLACTIN,$107.00 
3015103,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF PROGESTERONE,$115.00 
3015104,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF ESTRADIOL,$154.00 
3015105,SHARON HOSPITAL,LAB CHEMISTRY,GONADOTROPIN (FSH),$102.00 
3015106,SHARON HOSPITAL,LAB CHEMISTRY,GONADOTROPIN (LH),$102.00 
3015107,SHARON HOSPITAL,LAB CHEMISTRY,ACETONE ASSAY,$45.00 
3015108,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF VITAMIN D,$221.00 
3015110,SHARON HOSPITAL,LAB CHEMISTRY,"MICROALBUMIN,QUANTITATIVE",$32.00 
3015111,SHARON HOSPITAL,LAB CHEMISTRY,ASSAY OF CALCIUM IN URINE,$52.00 
3015117,SHARON HOSPITAL,LAB CHEMISTRY,DRUG TEST PRSMV INSTRMNT,$72.00 
3015118,SHARON HOSPITAL,LAB CHEMISTRY,TEST FOR ACETONE/KETONES,$25.00 
3015119,SHARON HOSPITAL,LAB CHEMISTRY,ASSY TEST FOR BLOOD FECAL,$91.00 
3015120,SHARON HOSPITAL,LAB CHEMISTRY,GENERAL HEALTH PANEL,$252.00 
3025000,SHARON HOSPITAL,LAB IMMUNOLOGY,HETEROPHILE ANTIBODIES,$79.00 
3025001,SHARON HOSPITAL,LAB IMMUNOLOGY,HIV-2,$85.00 
3025002,SHARON HOSPITAL,LAB IMMUNOLOGY,"RESP SYNCYTIAL AG, EIA",$56.56 
3025003,SHARON HOSPITAL,LAB IMMUNOLOGY,"STREP A AG, EIA",$56.56 
3025004,SHARON HOSPITAL,LAB IMMUNOLOGY,AGENT NOS ASSAY W/OPTIC,$56.56 
3025005,SHARON HOSPITAL,LAB IMMUNOLOGY,"INFLUENZA A/B, AG, EIA",$66.00 
3025009,SHARON HOSPITAL,LAB IMMUNOLOGY,HIV-1&HIV-2 AB/AG,$133.00 
3025011,SHARON HOSPITAL,LAB IMMUNOLOGY,"HIV-1/HIV-2, SNGL RESULT",$76.00 
3055000,SHARON HOSPITAL,LAB HEMATOLOGY,"FETAL HGB ASSAY, QUAL",$22.00 
3055001,SHARON HOSPITAL,LAB HEMATOLOGY,AUTOMATED DIFF WBC COUNT,$36.00 
3055002,SHARON HOSPITAL,LAB HEMATOLOGY,BL SMEAR W/DIFF WBC COUNT,$25.00 
3055004,SHARON HOSPITAL,LAB HEMATOLOGY,HEMATOCRIT,$18.00 
3055005,SHARON HOSPITAL,LAB HEMATOLOGY,HEMOGLOBIN,$17.00 
3055006,SHARON HOSPITAL,LAB HEMATOLOGY,COMPL CBC W/AUTO DIFF WBC,$88.00 
3055007,SHARON HOSPITAL,LAB HEMATOLOGY,"COMPLETE CBC, AUTOMATED",$60.00 
3055008,SHARON HOSPITAL,LAB HEMATOLOGY,MANUAL RETICULOCYTE COUNT,$27.00 
3055009,SHARON HOSPITAL,LAB HEMATOLOGY,AUTOMATE RETICULOCYTE CNT,$68.00 
3055010,SHARON HOSPITAL,LAB HEMATOLOGY,AUTOMATED PLATELET COUNT,$57.00 
3055011,SHARON HOSPITAL,LAB HEMATOLOGY,FIBRIN DEGRADATION PRODUC,$43.00 
3055012,SHARON HOSPITAL,LAB HEMATOLOGY,"FIBRIN DEGRADATION, QUANT",$51.00 
3055013,SHARON HOSPITAL,LAB HEMATOLOGY,FIBRINOGEN; ACTIVITY,$102.00 
3055014,SHARON HOSPITAL,LAB HEMATOLOGY,"HEMOGLOBIN, FETAL",$43.00 
3055015,SHARON HOSPITAL,LAB HEMATOLOGY,PROTHROMBIN TIME,$52.00 
3055016,SHARON HOSPITAL,LAB HEMATOLOGY,"RBC SED RATE,NONAUTOMATED",$20.00 
3055017,SHARON HOSPITAL,LAB HEMATOLOGY,"THROMBOPLASTIN TIME,PART",$75.00 
3055018,SHARON HOSPITAL,LAB HEMATOLOGY,HEMATOLOGY PROCEDURE,$48.00 
3055019,SHARON HOSPITAL,LAB HEMATOLOGY,"SMEAR, GRAM STAIN",$67.00 
3055020,SHARON HOSPITAL,LAB HEMATOLOGY,"SMEAR, SPECIAL STAIN",$33.00 
3055021,SHARON HOSPITAL,LAB HEMATOLOGY,BODY FLUID CELL COUNT,$97.00 
3055022,SHARON HOSPITAL,LAB HEMATOLOGY,"EXM,SYNOVIAL FLUD CRYSTAL",$54.00 
3055025,SHARON HOSPITAL,LAB HEMATOLOGY,BLD PLATELET AGGREGATION,$118.00 
3055027,SHARON HOSPITAL,LAB HEMATOLOGY,HEPARIN ASSAY,$82.00 
3055028,SHARON HOSPITAL,LAB HEMATOLOGY,PLATELET ANTIBODIES,$101.00 
3095000,SHARON HOSPITAL,LAB REFERENCE/OTHER,LIPID PANEL,$151.00 
3095001,SHARON HOSPITAL,LAB REFERENCE/OTHER,DRUG TEST PRESUMP NOT OPT,$338.00 
3095002,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF AMITRIPTYLINE,$471.00 
3095003,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF BENZODIAZEPINES,$471.00 
3095004,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ASSAY, CARBAMAZEPINE,FREE",$83.00 
3095005,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CYCLOSPORINE,$113.00 
3095006,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF DESIPRAMINE,$471.00 
3095008,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF ETHOSUXIMIDE,$102.00 
3095009,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF HALOPERIDOL,$74.00 
3095010,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF IMIPRAMINE,$471.00 
3095011,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF LIDOCAINE,$92.00 
3095012,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF NORTRIPTYLINE,$471.00 
3095013,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ASSAY OF PHENYTOIN, FREE",$104.00 
3095014,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF PROCAINAMIDE,$105.00 
3095015,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF QUINIDINE,$91.00 
3095016,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF SIROLIMUS,$86.00 
3095017,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF TACROLIMUS,$86.00 
3095018,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF THEOPHYLLINE,$78.00 
3095019,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF TOPIRAMATE,$75.00 
3095020,SHARON HOSPITAL,LAB REFERENCE/OTHER,"QUANTITATIVE ASSAY, DRUG",$107.00 
3095021,SHARON HOSPITAL,LAB REFERENCE/OTHER,TEST FOR ACETONE/KETONES,$25.00 
3095022,SHARON HOSPITAL,LAB REFERENCE/OTHER,ACETONE ASSAY,$45.00 
3095023,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ACYLCARNITINES, QUANT",$90.00 
3095024,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF ACTH,$212.00 
3095025,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY ALBUMIN OTHER SOURCE,$41.00 
3095026,SHARON HOSPITAL,LAB REFERENCE/OTHER,"MICROALBUMIN,QUANTITATIVE",$32.00 
3095027,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF ALDOLASE,$92.00 
3095028,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF ALDOSTERONE,$224.00 
3095029,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ALPHA-1-ANTITRYPSIN,TOTAL",$100.00 
3095030,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ALPHA-1-ANTITRYPSIN,PHENO",$103.00 
3095031,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ALPHA-FETOPROTEIN, SERUM",$93.00 
3095032,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF ALUMINUM,$159.00 
3095033,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ASSAY,AMINOLEVULINIC ACID",$103.00 
3095034,SHARON HOSPITAL,LAB REFERENCE/OTHER,"AMINO ACIDS,QUAN,6 OR MOR",$90.00 
3095035,SHARON HOSPITAL,LAB REFERENCE/OTHER,AMNIOTIC FLUID SCAN,$38.00 
3095036,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF AMYLASE,$98.00 
3095037,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF ANDROSTENEDIONE,$161.00 
3095038,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF ANGIOTENSIN II,$127.00 
3095039,SHARON HOSPITAL,LAB REFERENCE/OTHER,ANGIOTENSIN I ENZYME TEST,$136.00 
3095040,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF APOLOPOPROTEIN,$97.00 
3095041,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF ARSENIC,$119.00 
3095042,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF ASCORBIC ACID,$58.00 
3095043,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF BARBITURATES,$471.00 
3095044,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF BETA-2 PROTEIN,$89.00 
3095045,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF BIOTINIDASE,$90.00 
3095046,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CADMIUM,$92.00 
3095047,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF VITAMIN D,$221.00 
3095048,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CALCITONIN,$167.00 
3095049,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CALCIUM-IONIZED,$39.00 
3095050,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CALCIUM IN URINE,$34.00 
3095051,SHARON HOSPITAL,LAB REFERENCE/OTHER,CALCULUC SPECTROSCOPY,$81.00 
3095052,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ASSAY, C-D TRANS MEASURE",$113.00 
3095053,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ASSAY, BLD CARBON DIOXIDE",$49.00 
3095054,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ASSAY, CARBOXYHB, QUANT",$68.00 
3095055,SHARON HOSPITAL,LAB REFERENCE/OTHER,CARCINOEMBRYONIC ANTIGEN,$221.00 
3095056,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CARNITINE,$90.00 
3095057,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CAROTENE,$51.00 
3095058,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ASSAY, 3 CATECHOLAMINES",$107.00 
3095059,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CERULOPLASMIN,$42.00 
3095060,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF URINE CHLORIDE,$17.00 
3095061,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ASSY,OTHER FLUID CHLORIDE",$15.00 
3095062,SHARON HOSPITAL,LAB REFERENCE/OTHER,"ASSAY,SERUM CHOLINESTERAS",$49.00 
3095063,SHARON HOSPITAL,LAB REFERENCE/OTHER,COL CHROMOTGRAPH QUAL/QUA,$100.00 
3095064,SHARON HOSPITAL,LAB REFERENCE/OTHER,COL CHROMOTGRAPH QUAL/QUA,$100.00 
3095065,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF COCAINE,$471.00 
3095066,SHARON HOSPITAL,LAB REFERENCE/OTHER,COLLAGEN CROSSLINKS,$117.00 
3095067,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF COPPER,$78.00 
3095068,SHARON HOSPITAL,LAB REFERENCE/OTHER,"CORTISOL, FREE",$105.00 
3095069,SHARON HOSPITAL,LAB REFERENCE/OTHER,CORTISOL TOTAL,$162.00 
3095070,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CREATINE,$29.00 
3095071,SHARON HOSPITAL,LAB REFERENCE/OTHER,DRUG TEST PRESUMP NOT OPT,$338.00 
3095072,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CPK IN BLOOD,$55.00 
3095074,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CRYOFIBRINOGEN,$33.00 
3095075,SHARON HOSPITAL,LAB REFERENCE/OTHER,ASSAY OF CRYOGLOBULIN,$76.00 
3095077,SHARON HOSPITAL,LAB REFERENCE/OTHER,B-12 BINDING CAPACITY,$79.00 
