Charge Code,Charge Description, Charge Amount ,Comments
25000001,ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLUTION [126009], $19.40 ,
25000001,ACETAMINOPHEN 325 MG/10.15 ML ORAL SUSPENSION [88504], $14.80 ,
25000001,ACETAMINOPHEN 500 MG TABLET [102], $0.70 ,
25000001,ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY [105], $9.60 ,
25000001,ACETAMINOPHEN 650 MG/20.3 ML ORAL SOLUTION [126010], $21.70 ,
25000001,ACETAMINOPHEN 80 MG CHEWABLE TABLET [99], $1.10 ,
25000001,ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY [8946], $10.90 ,
25000001,ACETATE ION [40840413],,"Place holder,static, order communication, zero charge item or charge panel"
25000001,ACETAZOLAMIDE 125 MG TABLET [112], $29.50 ,
25000001,ACETAZOLAMIDE 25 MG/ML ORAL SUSPENSION [40840075], $26.60 ,
25000001,ACETAZOLAMIDE 250 MG TABLET [113], $44.50 ,
63600002,ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114], $672.30 ,
25000001,"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE [8962]", $149.90 ,
25000001,ACETIC ACID (BULK) 3 % LIQUID [15091], $13.50 ,
25000001,ACETIC ACID 0.125% IRRIGATION [40840076], $40.50 ,
25000001,ACETIC ACID 0.25 % IRRIGATION SOLUTION [8963], $81.00 ,
25000001,ACETIC ACID 2 % EAR SOLUTION [17801], $540.10 ,
25000001,ACETIC ACID 5% LIQUID [40840078], $76.80 ,
25000001,ACETIC ACID-ALUMINUM ACETATE 2 % EAR DROPS [8965], $972.00 ,
25000001,ACETYLCHOLINE CHLORIDE 1 % (10 MG/ML) INTRAOCULAR KIT [76641]," $1,526.00 ",
63600002,ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303]," $3,493.20 ",
63600002,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION [123], $202.10 ,
63600002,ACETYLCYSTEINE 200 MG/ML (20%) ORAL SOLN [40840892], $16.60 ,
25000001,ACLIDINIUM BROMIDE 400 MCG/ACTUATION BREATH ACTIVATED POWDER INHALER [160316]," $2,766.20 ",
25000001,ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSPENSION [122496], $225.20 ,
25000001,ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION [122495], $547.60 ,
25000001,ACTIVATED CHARCOAL-SORBITOL 50 GRAM/240 ML ORAL SUSPENSION [81428], $320.80 ,
25000001,ACYCLOVIR 200 MG CAPSULE [8969], $13.20 ,
25000001,ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION [8970], $26.60 ,
25000001,ACYCLOVIR 5 % TOPICAL OINTMENT [8968]," $1,895.10 ",
25000001,ACYCLOVIR 800 MG TABLET [8972], $49.60 ,
63600002,"ACYCLOVIR SODIUM 1,000 MG INTRAVENOUS SOLUTION [8973]", $148.30 ,
63600002,ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128], $304.60 ,
63600002,ACYCLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION [8974], $72.90 ,
63600002,ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS PEN KIT [123626],,"Place holder,static, order communication, zero charge item or charge panel"
63600002,ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION [15330]," $5,291.00 ",
63600002,ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [38703], $147.50 ,
63600002,ADENOSINE 3 MG/ML INTRAVENOUS SYRINGE [8975], $583.80 ,
63600002,ADO-TRASTUZUMAB EMTANSINE 100 MG INTRAVENOUS SOLUTION [165050]," $46,289.80 ",
63600002,ADO-TRASTUZUMAB EMTANSINE 160 MG INTRAVENOUS SOLUTION [165051]," $74,063.70 ",
25000001,ALBENDAZOLE 200 MG TABLET [8979]," $1,652.20 ",
63600002,"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION [8981]"," $1,518.80 ",
63600002,"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION [8982]"," $1,458.00 ",
63600002,"ALBUMIN, HUMAN 5 % IV FOR TUBE PRIMING (NEONATE) [40840914]", $400.30 ,
25000001,ALBUTEROL SULFATE 2 MG/5 ML SYRUP [252], $26.60 ,
63600002,ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION [250], $10.90 ,
25000001,ALBUTEROL SULFATE 4 MG TABLET [254], $79.40 ,
63600002,ALBUTEROL SULFATE CONCENTRATE 2.5 MG/0.5 ML SOLUTION FOR NEBULIZATION [122400], $12.20 ,
63600002,ALBUTEROL SULFATE CONCENTRATE 5 MG/ML(0.5 %) SOLUTION FOR NEBULIZATION [251], $281.70 ,
25000001,ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837], $870.70 ,
63600002,ALDESLEUKIN 22 MILLION UNIT INTRAVENOUS SOLUTION [8993]," $63,243.50 ",
63600002,ALFENTANIL 500 MCG/ML INJECTION SOLUTION [8994], $58.70 ,
25000001,"ALFUZOSIN ER 10 MG TABLET,EXTENDED RELEASE 24 HR [36982]", $56.90 ,
25000002,ALGLUCOSIDASE ALFA 50 MG INTRAVENOUS SOLUTION [76353]," $15,795.00 ",
25000001,ALISKIREN 150 MG TABLET [78653], $81.20 ,
25000001,ALISKIREN 75 MG PARTIAL TABLET [40841764], $49.00 ,
25000001,ALLOPURINOL 100 MG TABLET [310], $5.10 ,
25000001,ALLOPURINOL 150 MG PARTIAL TABLET [40840445], $4.10 ,
25000001,ALLOPURINOL 20 MG/ML ORAL SUSPENSION [40841302], $26.60 ,
25000001,ALLOPURINOL 300 MG TABLET [311], $10.30 ,
25000001,ALLOPURINOL 50 MG PARTIAL TABLET [40840981], $0.80 ,
63600002,ALLOPURINOL 500 MG INTRAVENOUS SOLUTION [25408]," $64,590.40 ",
25000001,ALPHA LIPOIC ACID 300 MG CAPSULE [38240], $2.20 ,
63600002,ALPHA-1-PROTEINASE INHIBITOR(HUMAN) 1 GRAM/50 ML(2 %) INTRAVENOUS SOLN [106274]," $7,830.00 ",
25000001,ALPRAZOLAM 0.125 MG PARTIAL TABLET [40840190], $4.40 ,
25000001,ALPRAZOLAM 0.25 MG TABLET [324], $8.60 ,
25000001,ALPRAZOLAM 0.5 MG TABLET [325], $10.30 ,
63600002,ALPROSTADIL 500 MCG/ML INJECTION SOLUTION [9001]," $1,920.90 ",
63600002,ALPROSTADIL INFUSION 10 MCG/ML (NICU/PEDS) [40840830]," $1,920.90 ",
63600002,ALTEPLASE (TPA) 100 MG IV INJECTION [40841253]," $142,565.90 ",
63600002,ALTEPLASE (TPA) FOR PULMONARY EMBOLISM - BOLUS [40841650],,"Place holder,static, order communication, zero charge item or charge panel"
63600002,ALTEPLASE (TPA) FOR PULMONAY EMBOLISM - INFUSION [40841682]," $142,565.90 ",
63600002,ALTEPLASE 100 MG INTRAVENOUS SOLUTION [9002]," $142,565.90 ",
63600002,ALTEPLASE 2 MG INTRA-CATHETER SOLUTION [31310]," $2,479.60 ",
63600002,ALTEPLASE 50 MG INTRAVENOUS SOLUTION [9003]," $71,283.00 ",
63600002,ALTEPLASE IV INFUSION FOR ED ONLY [40841168]," $134,382.00 ",
25000001,ALUMINUM HYDROX-MAGNESIUM CARB 95 MG-358 MG/15 ML ORAL SUSPENSION [24314], $3.50 ,
25000001,ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION [353], $3.50 ,
25000001,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP [38285], $3.50 ,
25000001,ALVIMOPAN 12 MG CAPSULE [91870]," $2,038.00 ",
25000001,AMANTADINE HCL 100 MG CAPSULE [364], $27.30 ,
25000001,AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION [365], $26.60 ,
63600002,AMIFOSTINE CRYSTALLINE 500 MG INTRAVENOUS SOLUTION [20803]," $7,626.90 ",
63600002,AMIFOSTINE CRYSTALLINE 500 MG IV SOLUTION [40840096]," $7,626.90 ",
63600002,"AMIKACIN 1,000 MG/4 ML INJECTION SOLUTION [108133]", $397.10 ,
63600002,AMIKACIN 500 MG/2 ML INJECTION SOLUTION [108131], $198.60 ,
63600002,AMIKACIN 500 MG/2 ML INJECTION SOLUTION FOR NEBULIZATION  [40841839], $132.40 ,
25000001,AMILORIDE 1 MG/ML ORAL SUSPENSION [40841304], $26.60 ,
25000001,AMILORIDE 5 MG TABLET [391], $17.50 ,
25000001,AMILORIDE 5 MG-HYDROCHLOROTHIAZIDE 50 MG TABLET [392], $15.70 ,
25000001,AMILORIDE-HCTZ 2.5 MG-25 MG PARTIAL TABLET [40840264], $7.90 ,
25000001,AMINO ACID 10 % INTRAVENOUS SOLUTION [116099]," $2,880.00 ",
25000001,AMINO ACID INFUSION 8 % INTRAVENOUS SOLUTION [9058]," $2,880.00 ",
25000001,AMINO ACIDS 4.25 % WITH LYTES AND CALCIUM IN D25W INTRAVENOUS SOLUTION [27949]," $2,880.00 ",
25000001,AMINO ACIDS 7 % WITH ELECTROLYTES INTRAVENOUS SOLUTION [9044]," $2,880.00 ",
25000001,AMINO ACIDS 8.5 % WITH ELECTROLYTES INTRAVENOUS SOLUTION [9045]," $2,880.00 ",
25000001,AMINOCAPROIC ACID 250 MG PARTIAL TABLET [40841772], $166.20 ,
63600002,AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION [403], $106.20 ,
25000001,AMINOCAPROIC ACID 500 MG TABLET [9063], $329.90 ,
25000001,AMINOGLYCOSIDE PER PHARMACY PROTOCOL [40841211],,"Place holder,static, order communication, zero charge item or charge panel"
63600002,AMINOPHYLLINE 250 MG/10 ML INTRAVENOUS SOLUTION [407], $184.20 ,
63600002,AMINOPHYLLINE 500 MG/20 ML INTRAVENOUS SOLUTION [120892], $113.40 ,
63600002,AMINOPHYLLINE IV SYRINGE 25 MG/ML (NICU/PEDS) [500067], $184.20 ,
25000001,AMIODARONE 100 MG TABLET [36959], $225.70 ,
25000001,AMIODARONE 200 MG TABLET [9066], $45.70 ,
25000001,AMIODARONE 400 MG TABLET [29481], $225.70 ,
25000001,AMIODARONE 5 MG/ML ORAL SUSPENSION [40840083], $26.60 ,
25000001,AMIODARONE 50 MG PARTIAL TABLET [40840191], $50.60 ,
63600002,AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084], $22.90 ,
25000001,AMITRIPTYLINE 10 MG TABLET [432], $4.30 ,
25000001,AMITRIPTYLINE 12.5 MG PARTIAL TABLET [162628], $4.40 ,
25000001,AMITRIPTYLINE 2.5 MG PARTIAL TABLET [40841535], $1.10 ,
25000001,AMITRIPTYLINE 25 MG TABLET [435], $8.60 ,
25000001,AMITRIPTYLINE 5 MG PARTIAL TABLET [40841110], $4.40 ,
25000001,AMITRIPTYLINE 50 MG TABLET [436], $17.20 ,
25000001,AMLODIPINE 1 MG/ML ORAL SUSPENSION [40840084], $26.60 ,
25000001,AMLODIPINE 1.25 MG PARTIAL TABLET [40840193], $11.80 ,
25000001,AMLODIPINE 10 MG TABLET [9069], $32.10 ,
25000001,AMLODIPINE 2.5 MG TABLET [9070], $23.40 ,
25000001,AMLODIPINE 5 MG TABLET [9071], $100.80 ,
25000001,AMMONIA AROMATIC 15 % (W/V) SOLUTION FOR INHALATION [439], $7.00 ,
25000001,AMMONIUM LACTATE 12 % TOPICAL CREAM [17997], $189.00 ,
25000001,AMOXICILLIN 125 MG-POTASSIUM CLAVULANATE 31.25 MG/5 ML ORAL SUSP [9079], $26.60 ,
25000001,AMOXICILLIN 125 MG/5 ML ORAL SUSPENSION [453], $26.60 ,
25000001,AMOXICILLIN 250 MG CAPSULE [450], $3.40 ,
25000001,AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 62.5 MG/5 ML ORAL SUSPENSION [9080], $26.60 ,
25000001,AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION [454], $26.60 ,
25000001,AMOXICILLIN 400 MG-POTASSIUM CLAVULANATE 57 MG/5 ML ORAL SUSPENSION [33230], $26.60 ,
25000001,AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION [25246], $26.60 ,
25000001,AMOXICILLIN 500 MG CAPSULE [451], $6.40 ,
25000001,AMOXICILLIN 500 MG-POTASSIUM CLAVULANATE 125 MG TABLET [33227], $51.10 ,
25000001,AMOXICILLIN 600 MG-POTASSIUM CLAVULANATE 42.9 MG/5 ML ORAL SUSPENSION [31177], $26.60 ,
25000001,AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET [33228], $68.30 ,
63600002,AMPHOTERICIN B 2.5 MG/ML NEBULIZER SOLUTION [40841751], $615.60 ,
63600002,AMPHOTERICIN B 50 MG SOLUTION FOR INJECTION [464], $615.60 ,
63600002,AMPHOTERICIN B LIPOSOME (AMBISOME) 4 MG/ML NEBULIZER SOLUTION [40841817]," $3,673.10 ",
63600002,AMPHOTERICIN B LIPOSOME 50 MG INTRAVENOUS SUSPENSION [21900]," $3,673.10 ",
25000001,AMPICILLIN 0.0625 MG/ML ORAL SOLN [40841531], $26.60 ,
25000001,AMPICILLIN 0.25 MG/ML ORAL SOLN [40841532], $26.60 ,
63600002,AMPICILLIN 1 GRAM INTRAVENOUS SOLUTION [27280], $241.90 ,
63600002,AMPICILLIN 1 GRAM SOLUTION FOR INJECTION [469], $116.60 ,
63600002,AMPICILLIN 10 GRAM SOLUTION FOR INJECTION [470]," $1,455.00 ",
63600002,AMPICILLIN 2 GRAM INTRAVENOUS SOLUTION [27281], $469.10 ,
63600002,AMPICILLIN 2 GRAM SOLUTION FOR INJECTION [472], $226.20 ,
25000001,AMPICILLIN 250 MG CAPSULE [465], $3.20 ,
63600002,AMPICILLIN 250 MG SOLUTION FOR INJECTION [473], $29.60 ,
25000001,AMPICILLIN 250 MG/5 ML ORAL SUSPENSION [468], $26.60 ,
25000001,AMPICILLIN 4 MG/ML ORAL SOLN [40841533], $26.60 ,
25000001,AMPICILLIN 500 MG CAPSULE [466], $8.00 ,
63600002,AMPICILLIN 500 MG SOLUTION FOR IM INJECTION [40841143], $39.90 ,
63600002,AMPICILLIN 500 MG SOLUTION FOR INJECTION [474], $39.90 ,
63600002,AMPICILLIN IVPB 1 G MINI-BAG PLUS IN 100 ML NS (PYXIS) [40841740], $116.60 ,
63600002,AMPICILLIN IVPB 2 G ADD-VANTAGE IN 100 ML NS (PYXIS) [40840926], $496.10 ,
63600002,AMPICILLIN IVPB 2 G IN 100 ML NS (PYXIS) [40841803], $114.80 ,
63600002,AMPICILLIN IVPB 2 G MINI-BAG PLUS IN 100 ML NS (PYXIS) [40841734], $1.20 ,
63600002,AMPICILLIN-SULBACTAM 1.5 GRAM INTRAVENOUS SOLUTION [27282], $59.30 ,
63600002,AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION [32470], $56.70 ,
63600002,AMPICILLIN-SULBACTAM 3 G IVPB IN 100 ML NS (PYXIS) [40840939], $102.90 ,
63600002,AMPICILLIN-SULBACTAM 3 GRAM INTRAVENOUS SOLUTION [27283], $93.00 ,
63600002,AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION [32471], $125.00 ,
25000001,ANAGRELIDE 0.5 MG CAPSULE [20446], $150.80 ,
25000001,ANAKINRA 100 MG/0.67 ML SUBCUTANEOUS SYRINGE [31784]," $2,107.00 ",
25000001,ANASTROZOLE 0.5 MG PARTIAL TABLET [40841441], $91.80 ,
25000001,ANASTROZOLE 1 MG TABLET [16205], $283.30 ,
63600002,ANTI-INHIBITOR COAGULANT COMPLEX 400 UNIT-650 UNIT INTRAVENOUS SOLN [122737]," $21,498.80 ",
63600002,"ANTI-INHIBITOR COAGULANT COMPLEX 651 UNIT-1,200 UNIT INTRAVENOUS SOLN [122736]"," $39,690.00 ",
63600002,ANTI-THYMOCYTE GLOBULIN (RABBIT) 25 MG INTRAVENOUS SOLUTION [24585]," $11,867.50 ",
25000001,ANTICOAG CITRATE PHOS DEXTROSE 2.63 GRAM-222 MG/100 ML SOLUTION [554], $151.70 ,
63600002,"ANTIHEMOPHILIC FACTOR (RECOMB) 1,000 (+/-) UNIT INTRAVENOUS SOLUTION [24926]"," $20,250.00 ",
63600002,"ANTIHEMOPHILIC FACTOR (RECOMB) 2,000 (+/-) UNIT INTRAVENOUS SOLUTION [106294]"," $40,500.00 ",
63600002,ANTIHEMOPHILIC FACTOR (RECOMB) 250 (+/-) UNIT INTRAVENOUS SOLUTION [24924]," $5,501.30 ",
63600002,ANTIHEMOPHILIC FACTOR (RECOMB) 500 (+/-) UNIT INTRAVENOUS SOLUTION [24925], $25.60 ,
63600002,"ANTIHEMOPHILIC FACTOR VIII, FULL LENGTH 1,000 (+/-) UNIT IV SOLUTION [76367]"," $23,220.00 ",
63600002,"ANTIHEMOPHILIC FACTOR-VWF 1,000(VWF 1,000) UNIT/10 ML INTRAVENOUS SOLN [178804]"," $21,060.00 ",
63600002,ANTIHEMOPHILIC FACTOR-VWF 250 UNIT-600 UNIT INTRAVENOUS SOLUTION [70404]," $4,050.00 ",
63600002,ANTIHEMOPHILIC FACTOR-VWF 450 UNIT-450 UNIT INTRAVENOUS SOLUTION [100707]," $9,477.00 ",
63600002,ANTIHEMOPHILIC FACTOR-VWF 500 (500 VWF) UNIT/5 ML INTRAVENOUS SOLUTION [178803]," $10,530.00 ",
63600002,"ANTIHEMOPHILIC FACTOR-VWF 500 UNIT-1,200 UNIT INTRAVENOUS SOLUTION [70405]"," $19,440.00 ",
63600002,ANTIHEMOPHILIC FACTOR-VWF 900 UNIT-900 UNIT INTRAVENOUS SOLUTION [100706], $21.10 ,
63600002,ANTIHEMOPHILIC FACTOR-VWF INVSOLUTION (WRAPPER FOR MIXTURES) [40841800]," $10,530.00 ",
63600002,ANTITHROMBIN III (HUMAN) (THROMBATE III) IV INFUSION [510138]," $31,455.00 ",
63600002,ANTITHROMBIN III (HUMAN) 500 (+/-) UNIT INTRAVENOUS SOLUTION [9116]," $31,455.00 ",
63600002,"ANTITHROMBIN III, HUMAN RECOMBINANT 1,750 UNIT INTRAVENOUS SOLUTION [97079]"," $66,386.30 ",
25000001,"ANTIVENIN LATRODECTUS MACTANS 6,000 UNIT SOLUTION FOR INJECTION [24188]", $448.90 ,
25000001,APIXABAN 1.25 MG PARTIAL TABLET [40841617], $42.90 ,
25000001,APIXABAN 2.5 MG TABLET [164632], $113.20 ,
25000001,APIXABAN 5 MG TABLET [164672], $113.20 ,
25000001,APRACLONIDINE 0.5 % EYE DROPS [9119]," $2,702.90 ",
25000001,APRACLONIDINE 1 % EYE DROPPERETTE (ONE STEP- EYE LAB) [40840691], $449.20 ,
25000001,APRACLONIDINE 1 % EYE DROPS IN A DROPPERETTE [9120], $449.20 ,
63600002,APREPITANT 125 MG CAPSULE [35489]," $4,584.80 ",
63600002,APREPITANT 20 MG/ML ORAL SUSPENSION [40841305], $26.60 ,
63600002,APREPITANT 40 MG CAPSULE [76843]," $1,912.30 ",
63600002,ARFORMOTEROL 15 MCG/2 ML SOLUTION FOR NEBULIZATION [77581], $262.20 ,
63600002,ARGATROBAN 100 MG/ML INTRAVENOUS SOLUTION [28947]," $21,278.70 ",
25000001,ARGININE (L-ARGININE) 500 MG TABLET [622], $1.30 ,
25000001,ARGININE HCL (L-ARGININE) 10 % INTRAVENOUS SOLUTION [9123], $603.50 ,
25000001,ARIPIPRAZOLE 1 MG PARTIAL TABLET [40840196], $242.70 ,
25000001,ARIPIPRAZOLE 15 MG TABLET [34370], $433.50 ,
25000001,ARIPIPRAZOLE 2 MG TABLET [70306], $481.70 ,
25000001,ARIPIPRAZOLE 2.5 MG PARTIAL TABLET [40840197], $211.20 ,
25000001,ARIPIPRAZOLE 20 MG TABLET [34371], $613.10 ,
25000001,ARIPIPRAZOLE 5 MG TABLET [36438], $481.70 ,
63600002,ARSENIC TRIOXIDE 10 MG/10 ML INTRAVENOUS SOLUTION [29071]," $10,995.00 ",
63600002,ARSENIC TRIOXIDE 2 MG/ML INTRAVENOUS SOLUTION [185403]," $14,434.20 ",
25000001,ARTEMETHER-LUMEFANTRINE 20 MG-120 MG TABLET [96948], $82.80 ,
25000001,ARTIFICIAL TEARS (HYPROMELLOSE) 0.3 % EYE DROPS [27978], $114.30 ,
25000001,ARTIFICIAL TEARS (HYPROMELLOSE) 0.5 % EYE DROPS [27980], $418.80 ,
25000001,ASCORBIC ACID (VITAMIN C) 250 MG TABLET [663], $0.50 ,
25000001,ASCORBIC ACID (VITAMIN C) 500 MG TABLET [664], $0.70 ,
25000001,ASCORBIC ACID (VITAMIN C) 500 MG/ML INJECTION SOLUTION [654]," $1,466.10 ",
63600002,"ASPARAGINASE (ERWINIA CHRYSANTHEMI) 10,000 UNIT SOLUTION FOR INJECTION [112967]"," $59,758.60 ",
25000001,ASPIRIN 20.25 MG CHEWABLE PARTIAL TABLET [40841848], $0.30 ,
25000001,"ASPIRIN 25 MG-DIPYRIDAMOLE 200 MG CAPSULE,EXT.RELEASE 12 HR MULTIPHASE [27644]", $141.00 ,
25000001,ASPIRIN 300 MG RECTAL SUPPOSITORY [693], $19.70 ,
25000001,ASPIRIN 325 MG TABLET [681], $0.30 ,
25000001,"ASPIRIN 325 MG TABLET,DELAYED RELEASE [685]", $0.40 ,
25000001,ASPIRIN 81 MG CHEWABLE TABLET [679], $1.10 ,
25000001,"ASPIRIN 81 MG TABLET,DELAYED RELEASE [688]", $0.70 ,
25000001,ASPIRIN CHEWABLE 40.5 MG PARTIAL TABLET [40840200], $0.50 ,
25000001,"ASPIRIN, BUFFERED 325 MG TABLET [105612]", $0.50 ,
25000001,ASPIRIN-ACETAMINOPHEN-CAFFEINE 250 MG-250 MG-65 MG TABLET [9158], $0.60 ,
25000001,ATAZANAVIR 150 MG CAPSULE [36149], $395.10 ,
25000001,ATAZANAVIR 200 MG CAPSULE [36150], $395.10 ,
25000001,ATENOLOL 12.5 MG PARTIAL TABLET [40840201], $5.60 ,
25000001,ATENOLOL 25 MG TABLET [717], $11.10 ,
25000001,ATENOLOL 50 MG TABLET [718], $11.30 ,
25000001,ATENOLOL 6.25 MG PARTIAL TABLET [40840828], $1.40 ,
63600002,"ATEZOLIZUMAB 1,200 MG/20 ML (60 MG/ML) INTRAVENOUS SOLUTION [179409]"," $139,644.00 ",
25000001,ATORVASTATIN 10 MG TABLET [19176], $161.70 ,
25000001,ATORVASTATIN 20 MG TABLET [19178], $230.70 ,
25000001,ATORVASTATIN 40 MG TABLET [19177], $230.70 ,
25000001,ATORVASTATIN 5 MG PARTIAL TABLET [40840446], $26.30 ,
25000001,ATORVASTATIN 80 MG TABLET [28645], $230.70 ,
25000001,ATOVAQUONE 750 MG/5 ML ORAL SUSPENSION [14953], $26.60 ,
25000001,ATOVAQUONE-PROGUANIL 250 MG-100 MG TABLET [23814], $109.10 ,
63600002,ATROPINE 0.05 MG/ML INJECTION SYRINGE [729], $205.40 ,
63600002,ATROPINE 0.1 MG/ML INJECTION SYRINGE [730], $149.90 ,
63600002,ATROPINE 0.4 MG/ML INJECTION (ONE STEP- IM) [40840565], $151.70 ,
63600002,ATROPINE 0.4 MG/ML INJECTION SOLUTION [731], $118.20 ,
25000001,ATROPINE 1 % EYE DROPS [736], $415.20 ,
25000001,ATROPINE 1 % EYE OINTMENT [735], $283.70 ,
63600002,ATROPINE 1 MG/ML INJECTION SOLUTION [734], $185.70 ,
25000001,AVOID HYDRALAZINE [40840025],,"Place holder,static, order communication, zero charge item or charge panel"
63600002,AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420]," $9,481.00 ",
63600002,AZACITIDINE 100 MG/4 ML SOLUTION FOR INJECTION [40840109]," $9,481.00 ",
63600002,AZATHIOPRINE 100 MG SOLUTION FOR INJECTION [767]," $4,050.00 ",
25000001,AZATHIOPRINE 25 MG PARTIAL TABLET [40840202], $16.00 ,
25000001,AZATHIOPRINE 5 MG/ML ORAL SUSPENSION [40840085], $26.60 ,
63600002,AZATHIOPRINE 50 MG TABLET [9183], $17.70 ,
25000001,AZELASTINE 0.15 % (205.5 MCG) NASAL SPRAY [99847]," $2,617.60 ",
