Procedure Description, Charge Amount 
WIPING COMP FRED2 0,$5.00 
MESH PROLITE 2 X 4,$220.00 
MESH PROLITE 2.5 X 5.5,$229.00 
MASTISOL 2/3 CC VIAL,$5.50 
BI-CAP PROBE,$400.50 
SUTURE PASSER,$289.00 
NEEDLE HEMOJECT INJ THERAPY,$94.50 
ENDO CATCH RETRIEVER,$393.02 
INK PAD,$13.50 
RESOLUTION CLIP 235cm,$547.50 
PYLORIC BALLOON DIL 18-20,$498.50 
FALCON SAW CARTRIDGE,$619.50 
BLADE RECIP DOUBLE SIDED,$105.00 
ALLLIANCE GAUGE ASSEMBLY,$121.00 
SURGILOOP BLUE,$5.00 
PYLORIC BALLOON DIL 10M,$853.50 
RETRIEVAL BASKET - DISP,$212.50 
PYLORIC BALLOON DIL 12-15,$824.50 
FORCEP HOT BOX,$50.00 
CAUTERY BLADE TEFLON COATED,$16.50 
CAUTERY BLADE LONG TEFLON COATED,$17.50 
TROCAR BLADED 5MM X 100,$79.00 
TROCAR 12MM X 100,$105.00 
ELECTRODE NEEDLE W/EXTENDED INSULATION,$18.00 
INTERPULSE HAND PIECE W/TIP HIGHFLOW,$97.00 
NASAL SPLINT AQUAPLAST,$16.00 
BLADE LARYNGEAL SKIMMER 3.5MM,"$1,349.50 "
TUBING IRRIGATION XOMED,$76.00 
OMNI JUG WATERSTONE,$53.00 
CAUTERY W/HANDSWITCHING AND SUCTION,$42.00 
INK SPOT,$76.00 
MIC PEG KIT 20FR.,$311.00 
POWER PORT 8FR MRI ISP,$919.00 
WAND TONSIL EVAC 70,$667.50 
BLADE AGRESSIVE PLUS 4.0,$169.50 
BLADE AGRESSIVE PLUS 5.0,$165.00 
BURR BARREL 4.0,$178.50 
BURR BARREL 5.5,$178.50 
BLADE MICRO OSCIL SAW 262,$15.50 
BLADE MICRO OSCIL SAW 263,$35.00 
BLADE SAGITTAL SAW,$55.50 
BLADE STRAIGHT MICRO,$26.50 
BLADE HELICAL TI TFN 11 95MM,"$1,376.50 "
BLADE HELICAL TI TFN 11 105MM,"$1,659.00 "
BLADE HELICAL TI TFN 11 115M,"$1,309.50 "
BLADE HELICAL TI TFN 11 120MM,"$1,659.00 "
CABLE W/CRIMP 1.7x750MM -,"$1,096.50 "
CANNULA DISP ARTHREX 7MM I.D. x 7CM,$69.50 
CEMENT PALACOS R,$207.00 
CEMENT PALACOS R+G,$835.50 
DRILL BIT 2DIA 100/75,$266.50 
DRILL BIT 2.5D 110/85GOLD,$206.50 
DRILL BIT 2.7 FOR 4.0 CANN.SET,"$1,242.50 "
DRILL BIT 3-FLUTED CALIB. 4.0,$534.00 
GLACIER SHOULDER,$323.50 
GUIDE WIRE 0.8MM X 100MM,$42.00 
GUIDE WIRE NON THRD 1.1 x 150,$78.00 
GUIDE WIRE 1.50mm THREADED,$83.00 
GUIDE WIRE THREADED 2.8x300 TROCAR,$126.00 
GUIDE WIRE TFN 3.2MM/400MM,$319.50 
HOOD FLYTE PEELAWAY,$119.50 
K-WIRE 2.0 X 150,$279.50 
KIRSCHNER WIRE 1.6 X 5 THRD-TROC 150MM,$45.00 
K-WIRE .9MMX152MM SHARP(.035),$20.50 
K-WIRE .045 X 6 SHARP,$22.00 
K-WIRE .028 X 5 SHARP (.71mmX127mm),$15.00 
K-WIRE .062 X 6,$23.50 
NAIL TFN 11MM,"$3,746.00 "
NAIL TFN 12MM,"$2,630.50 "
NAIL TFN 12MM x 235mm,"$2,622.50 "
PLATE LC-DCP 2 x 36 6HL,$739.50 
PLATE LCP 1/3 TUBULAR W COLLAR 8HOLE 93M,$586.00 
PLATE 3.5MM HUMERUS 3H STANDARD 90MM/SHA,"$3,428.00 "
SABER 30 ICW 3.0MM,$621.00 
STAINLESS,"$1,617.00 "
SPINAL NEEDLE 26G,$670.50 
SCREW CANNULATED 2.4X22MM SHORT THREAD,$622.50 
SCREW CANNULATED 2.4X28MM SHORT THREAD,$522.80 
SCREW CANNULATED 2.4X30MM SHORT THREAD,$551.00 
SCREW CANNUL 7.3x70 16THRD,$633.00 
SCREW CANNUL 7.3x75 16THRD,$723.50 
SCREW CANNUL 7.3x80 16THRD,$723.50 
SCREW CANNUL 7.3x85 16THRD,$723.50 
SCREW CANCELL FULL 4x14,$49.50 
SCREW CANCELL FULL 4x16,$62.50 
SCREW CANCELL FULL 4x20,$62.50 
SCREW CANNUL SHORT 4x40,$551.00 
SCREW CORTEX 3.5x12 SELF-TAPPING,$62.50 
SCREW CORTEX 3.5x14 SELF-TAPPING,$62.50 
SCREW CORTEX 3.5x16 SELF-TAPPING,$62.50 
SCREW CORTEX 3.5x18 SELF-TAPPING,$62.50 
SCREW CORTEX 3.5x20 SELF-TAPPING,$62.50 
SCREW CORTEX 3.5x24 SELF-TAPPING,$59.50 
SCREW CORTEX 3.5x26 SELF-TAPPING,$62.50 
SCREW CORTEX 3.5x28 SELF-TAPPING,$73.00 
SCREW CORTEX 3.5x34 SELF-TAPPING,$73.00 
SCREW CORTEX 3.5x36 SELF-TAPPING,$73.00 
SCREW CORTEX 2.7 X 34 SELF-TAPPING,$93.50 
SCREW TI LOCKING 5.0 34MM TFN,$503.00 
SCREW TI LOCKING 5.0 36MM TFN,$505.00 
SCREW TI LOCKING 5.0 40MM TFN,$614.50 
SCREW LOCKING S.T.*3.5X14MM,$347.50 
SCREW LOCKING S.T.*3.5X16MM,$347.50 
SCREW LOCKING S.T.*3.5X20MM,$346.00 
SCREW LOCKING S.T.*3.5X22MM,$346.00 
SCREW LOCKING S.T.*3.5X36MM,$347.50 
SCREW LOCKING S.T.*3.5X38MM,$347.50 
SCREW LOCKING S.T.*3.5X40MM,$347.50 
SCREW LOCKING S.T.*3.5X45MM,$347.50 
SCREW LOCKING S.T.*3.5X50MM,$423.00 
SCREW TI CORTEX 1.5 x 16,$101.50 
SCREW TI CORTEX 1.5 x 18,$101.50 
SCREW TI CORTEX 1.5 x 20,$101.50 
SCREW TI CORTEX 1.5 x 22,$101.50 
SCREW TI CORTEX 2.0 x 10,$111.00 
SCREW TI CORTEX 2.0 x 11,$111.00 
SCREW TI CORTEX 2.0 x 12,$111.00 
SCREW TI CORTEX 2.0 x 14,$111.00 
BLADE ARTH 4.0 ANGLED,$188.50 
STEINMANN PIN TROCAR 3/32,$17.00 
WAND SUPER TURBOVAC 90 1FS,$487.00 
SUPRAMID EXTRA II 4-0,$49.00 
TOURNIQUET STERILE 3.5x18,$58.00 
TOURNIQUET STERILE 3.5x24,$153.00 
TOURNIQUET STERILE 3.5x34,$76.50 
TUBING ARTHROSCOPY PUMP,$194.50 
SUCTION TIP XLONG,$4.50 
ENDO GIA HANDLE,$887.00 
STAPLE RELOAD 60MM,"$1,199.00 "
STAPLE RELOAD 30MM PURPLE,"$1,001.00 "
NEEDLE INSUFFLATION 14GA,$85.00 
CANCELLOUS CHIP 15CC,$951.50 
DRILL BIT 2.8MM,$255.50 
FIBER LOOP 2-0,$80.50 
BIOPSY FORCEP MAKO W/O NEEDLE,$41.50 
FORCEP RESUE GRASPING RAT TOOTH,$246.00 
SNARE HEX MED 15MM,$35.50 
VITRECTOMY PROBE,$617.00 
PLATE 6 HOLE LCP 3.5,$850.50 
GRASPER LAPA EPIX 5MM X 35,$171.00 
PACK TX I PROCEDURE,"$1,406.00 "
MESH FEMALE ONLAY 10X12.5 CM,$136.00 
BEACH CHAIR KIT TRIMANO,$197.00 
RESURE SEALANT,$197.00 
BIOSPY FORCEP MAKO,$20.00 
BRUSH CYTOLOGY-GASTROSCOPE,$34.50 
DRILL BIT 2.7 W Q/C,$230.00 
MICROPUNCTURE ACCESS SET,$65.50 
NERVE LOCATOR VARI STIM III,$278.50 
RESOLUTION CLIP,$562.50 
SCISSORS ENDOPATH CURVED 5MM,$510.82 
AMB SURG LEVEL I <120 MINUTES,$521.50 
AMB SURG LEVEL II 121-360 MINUTES,$816.00 
AMB SURG LEVEL III >360 MINUTIES,$934.00 
"""AMB SURG BLOOD ADMIN, BASE RATE (60 MIN)""",$505.00 
"""A/S BLOOD ADMINISTR, ADDITIONAL MINUTES""",$3.50 
AMB SURG PORT-A-CATH FLUSH,$125.00 
AMB SURG CHARGE,$125.00 
AMB SURG BLADDER SCAN,$341.00 
AMB SURG ESI-EPIDURAL STEROID INJ,$694.50 
AMB SURG OCCIPITAL BLOCK,$868.00 
AMB SURG LUMBER PUNCTURE,$694.50 
AMB MED SVCS BASE RATE,$261.00 
AMBULATORY TREATMENT ROOM,$87.50 
AMB SURG PIC LINE INSERTION,"$1,322.00 "
AMB SURG IV INFUS HYDRA 31 MIN TO 1 HOUR,$187.00 
AMB SURG IV INFUSION HYDRATION ADDTL HR,$171.50 
AMB SURG IV INFUSION THRP/DX 1 HOUR,$187.00 
AMB SURG IV INFUSION THRP/DX ADDTL HR,$139.50 
AMB SURG IV INFUSION TX/DX ADD SEQU 1 HR,$179.50 
AMB SURG INJECTION SC/IM,$86.00 
AMB SURG IV PUSH SINGLE,$257.00 
AMB SURG IV PUSH ADDTL SEQUENTIAL,$73.00 
AMB SURG INJTION IV PUSH ADDTL SAME DRUG,$73.00 
RECOVERY RM LEVEL I 1:2 BASE RATE,$527.50 
RECOVERY RM LEVEL I 1:2 ADDTL MIN,$26.50 
RECOVERY RM LEVEL II 1:1 BASE RATE,$633.50 
RECOVERY RM LEVEL II 1:1 ADDTL MIN,$38.00 
RECOVERY RM LEVEL III 2:1 BASE RATE,$738.50 
RECOVERY RM LEVEL III 2:1 ADDTL MIN,$51.00 
PACU CARDIOVERSION,$629.00 
SURG PREP OF WOUND SITE FIRST 100 SQ CM,"$1,450.00 "
APPLICATION OF PASTE BOOT,$222.00 
REMOVAL DEVITAL TISSUE < 20CM,$260.00 
REMOVAL DEVITAL TISSUE >20CM,$295.50 
NEGATIVE PRESSURE WOUND TX <50CM,$210.00 
"""OUTPATIENT VISIT,NEW,LIMITED,W/MOD""",$258.50 
"""OUTPATIENT VISIT,NEW,INTERMEDIATE,W/MOD""",$295.50 
"""OUTPATIENT VISIT,NEW,EXTENDED,W/MOD""",$369.00 
"""OUTPATIENT VISIT,NEW,COMPLEX,W/MOD""",$443.00 
"""OUTPATIENT VISIT,EST,BRIEF,W/MOD""",$222.00 
"""OUTPATIENT VISIT,EST,LIMITED,W/MOD""",$258.50 
"""OUTPATIENT VISIT,EST,INTERMEDIATE,W/MOD""",$295.50 
"""OUTPATIENT VISIT,EST,EXTENDED,W/MOD""",$369.00 
"""OUTPATIENT VISIT,NEW,EXTENDED""",$369.00 
"""OUTPATIENT VISIT,NEW,COMPLEX""",$443.00 
"""OUTPATIENT VISIT,ESTABLISHED,BRIEF""",$222.00 
"""OUTPATIENT VISIT,ESTABLISHED,LIMITED""",$258.50 
"""OUTPATIENT VISIT,ESTABLISHED,INTERMEDIAT""",$295.50 
"""OUTPATIENT VISIT,ESTABLISHED,EXTENDED""",$369.00 
ANEST FACILITY FIRST HOUR,"$1,428.00 "
ANEST FACILITY ADDTL 15 MINUTES,$357.00 
MOD SEDAT OVER 5YRS 1ST 30 MIN,$386.00 
MOD SEDAT OVER 5YRS EACH ADDTL 15 MIN,$193.00 
I&D OF ABSCESS SIMPLE OR SINGE,$218.00 
I&D OF ABSCESS COMPLICATED,$351.75 
I&D PILONIDAL CYST; SIMPLE,$332.25 
"""INCISION & REMOVAL OF FB, SUBCAN TISSUES""",$351.75 
"""PUNCTURE ASPIRATION OF ABSCESS, HEMATOMA""",$339.75 
"""AVULSION OF NAIL PLATE, PARTIAL OR COMPL""",$180.75 
EVACUATION OF SUBUNGUAL HEMATOMA,$116.25 
SIMPLE REPAIR OF SUPERFICIAL WOUND,$177.50 
SIMPLE REPAIR SUPERFICIAL WND 2.6CM-7.5,$177.50 
SIMPLE REPAIR SUPERFICIAL WND 7.6CM-12.5,$183.50 
SMPL RPR SUPRFCL WOUND 12.6CM - 20 CM,$342.00 
SIMPLE REPAIR OF SUPERFICIAL WOUNDS FACE,$175.00 
SMPL RPR OF SUPRFCL WND 2.6CM TO 5CM,$177.50 
SMPL RPR SUPERFICIAL WOUNDS- 5.1CM TO 7.,$190.50 
"""TMT SUPERFICIAL WOUND, SIMPLE CLOSURE""",$642.00 
"""REPAIR, INTMD WOUNDS OF SCALP/AXIL/TRUNK""",$511.50 
"""RPR INTMD WND, 7.6 CM TO 12.5 CM""",$317.00 
"""REPAIR, INTERMEDIATE WNDS 2.6CM TO 7.5CM""",$447.50 
"""REPAIR, INTERM, WOUNDS 2.5 CM OR LESS""",$384.00 
"""REPAIR, IMTRMD WOUND, 2.6CM TO 5.0 CM""",$455.50 
"""INITIAL TMT, FIRST DEGREE BURN""",$324.50 
DRESSING/DEBRIDE OF PARTIAL-THK BURNS,$218.00 
CHEMICAL CAUTERIZATION OF GRAN TISSUE,$129.00 
ER TRIAGE ASSESSMENT,$125.00 
2 OCL SPLINT,$6.00 
4 OCL SPLINT,$15.00 
5 OCL SPLINT,$29.00 
6 OCL SPLINT,$33.00 
"""ARTHROCENTESIS, ASPIRATION INJECTION""",$156.00 
"""CLSD TMT SHOULDER DISLOCATION, W MANIP""",$677.00 
"""CLSD TMT RADIAL SHAFT FX, W MANIP""","$1,572.00 "
"""CLSD TMT DISTAL RADIAL FRACTURE, W MANIP""","$1,214.00 "
CLSD TMT METACARPOPHALANGEAL DISLOCATION,$697.50 
"""CLSD TMT PHALANGEAL SHAFT FX, PROXIMAL O""",$652.00 
CLSD TMT OF INTERPHALANGEAL JOINT DISLOC,$544.00 
"""CLSD TMT HIP DISLOCATION, TRAUMATIC W/AN""","$1,727.50 "
CLOSED TREATMENT OF ANKLE DISLOCATION,$791.00 
REMOVAL OF FB FOOT SUBCUTANEOUS,$434.25 
APPLICATION OF LONG ARM SPLINT,$138.50 
APPLICATION OF SHORT ARM SPLINT,$132.75 
APPLICATION OF FINGER SPLINT,$110.00 
STRAPPING SHOULDER,$112.00 
"""APPL OF LONG LEG SPLINT, THIGH TO ANKLE""",$317.00 
APPLICATION OF SHORT LEG SPLINT,$169.50 
BLADDER SCAN,$119.00 
"""REMOVAL FB, INTRANASAL""",$285.50 
"""CONTROL NASAL HEMORRHAGE, ANTERIOR SIMPL""",$173.00 
"""CONTROL NASAL HEMORRHAGE, COMPLEX""",$190.50 
"""CONTROL NASAL HEMORRHAGE, POSTERIOR""",$162.00 
"""INTUBATION, ENDOTRACHEAL, EMERGENCY""",$254.50 
TRACHEOTOMY TUBE CHANGE PRIOR TO ESTABLI,$114.00 
"""TUBE THORACOSTOMY, CONNECT TO DRAINAGE S""",$608.25 
BLOOD ADMINISTRATION BASE RATE (60 MIN),$455.25 
PIC LINE INSERTION,$422.25 
PLACEMENT OF NEEDLE FOR INTRASSEOUS INFU,$201.00 
"""DRAINAGE OF ABSCESS, CYST, HEMATOMA""",$337.00 
REMOVAL OF FB FROM PHARYNX,$304.00 
APPLICATION OF SHORT ARM SPLINT,$192.50 
NASO OR OROGASTRIC TUBE PLACEMENT,$149.25 
"""CHANGE OF GASTROSTOMY TUBE, PERCUTANEOUS""",$163.50 
I&D ISCHIORECTAL AND/OR PERIRECTAL ABSCE,$900.50 
BLADDER IRRIGATION,$233.25 
INSERTION OF NON-INDWELLING BLADDER CATH,$93.75 
INSERTION OF TEMP INDWELLING CATH BLADDE,$201.50 
I&D OF BARTHOLIN'S GLAND ABSCESS,$195.00 
"""SPINAL PUNCTURE, LUMBAR, DIAGNOSTIC""",$257.25 
"""INJECTION, ANESTH AGEN, TRIGEMINAL NERVE""",$234.75 
"""LUMBAR PLEXUS, OTHER PERIPHERAL NERVE""",$164.25 
"""RMVL FB, EXT EYE, CONJUNCT SUPERFICIAL""",$103.50 
REMOVAL FB- CORNEAL,$171.00 
"""CONJUNCTIVAL EMBBEDDED, CORNEAL, W SLIT""",$130.00 
"""REMOVE FB EXT AUDITORY CANAL, W/O ANESTH""",$140.50 
REMOVAL IMPACTED CERUMEM USING IRRIGATIO,$41.25 
REMOVAL IMPACTED CERUMEN REQ INSTRUMENTA,$74.50 
VACCINES >18 1ST VACCINE,$90.00 
VACCINE >18 ADDTL VACCINE,$90.00 
INJECTION SC/IM,$90.00 
CPR- CARDIOPULMONARY RESUSCITATION,$426.50 
OXIMETRY SPOT CHECK,$11.50 
OXIMETRY PER HOUR,$6.00 
IV INFUSION HYDRATION 31 MIN TO 1 HOUR,$196.50 
HYDRATION >90 MINUTES,$180.00 
IV THERAPY <91 MIN.,$196.50 
IV INFUSION THRP/DX ADDTL HR,$146.00 
IV INFUSION TX/DX ADD SEQU 1 HR,$188.00 
IV THERAPY NEW DRUG-CONCURRENT,$127.50 
INJECTION SC/IM,$90.00 
INJECTION IV PUSH SINGLE,$257.00 
INJECTION IV PUSH ADDTL SEQUENTIAL,$77.00 
INJECTION IV PUSH ADDTL SAME DRUG,$77.00 
LOW OP VISIT,$90.50 
LOW LEVEL EMERGENCY VISITS,$70.50 
LOW LEVEL EMERGENCY VISITS,$152.00 
MID LEVEL EMERGENCY VISITS,$254.00 
HIGH LEVEL EMERGENCY CARE,$350.00 
HIGH LEVEL EMERGENCY VISITS,$475.00 
EMERGENCY-CRITICAL CARE,"$1,664.50 "
EMERGENCY-CRITICAL CARE- EACH ADDTL 30 M,$249.50 
ACE BAND 2,$2.00 
ACE BAND 3,$2.00 
ACE BAND 4,$0.68 
ACE BAND 6,$1.45 
XXXPROMOGRAM MATRIX WOUND DRESSING,$34.70 
CIRCUIT BREATHING STRT FILTER 40 LF,$8.80 
SPLASH CAP WOUND IRRIGATOR,$8.99 
ARM SLING-UNIVERSAL,$10.88 
A-VAC BTLES SM.BX/10,$26.47 
PROFORE SYS. L/FREE,$39.53 
A-VAC BTLE.LG. BX/8,$27.21 
BINDER ABD XLG 60-75 12 4 PANEL,$49.30 
IRR TRAY BLADDER 60CC PISTON,$3.51 
SPLINT COCK-UP XLG/LF,$23.20 
BREAST PUMP HAND HARMONY,$44.15 
STAT LOCK CV PLUS,$21.07 
MORGAN LENS EYE IRRIGATED,$71.45 
CATH TRAY URETHRAL W/C,$4.72 
CAUTERY PENCIL W/ROCKER TEFLON BLADE,$17.64 
STAT LOCK PICC PLUS,$11.00 
AMBU BAG DISP. ADULT,$22.99 
AMBU BAG W / MONOMETER INFANT,$46.00 
COBAN 6 STR. (COFLEX),$10.54 
ANTIFUNGAL CREAM 2 N 1,$7.17 
XXXDEFIB PADS PACING M.D.S.C.P,$64.87 
OINTMENT PROTECTIVE ALOE-VESTA,$3.26 
BODY CREAM MOISTURIZING ALOE VESTA,$5.26 
PERINEAL/SKIN CLEANSER ALOE-VESTA,$2.66 
MEPILEX BORDER 6X6,$25.12 
CERV.COLLAR UNIVERSAL,$7.27 
"""SITZ BATH, DISP.""",$10.52 
LEG BAG-1000cc,$6.45 
DRAIN BAG 2000 CC,$8.59 
DRAIN BAG 4000 CS/20,$10.32 
"""MASK, 02 ADULT W/INFL.VALVE MED""",$3.44 
E.T. TUBE HI-LO 8.5,$5.15 
ENEMA BAG,$2.11 
ENEMA PREP,$3.58 
"""MASK, SM.ADULT W/INFL.VALVE""",$4.00 
ENEMA OIL,$11.50 
ENEMA PEDS,$5.65 
EVAC SAC N/S,$3.15 
FEEDING BAG GRAVITY,$5.30 
COBAN LAYERED CMPRS.SYSTEM,$43.62 
LEG BAG EXT. TUBE,$6.45 
FOLEY TRAY W/16 W/STATLOCK,$52.60 
FOLEY TRAY W/O FOLEY,$15.82 
WOUND VAC DRS. LARGE (KCI),$150.84 
TEGADERM 6X8,$4.30 
UNABOOT W/CALAMINE,$20.00 
POST OP SHOE DARCO MED/WM,$25.75 
POST OP SHOE DARCO LG/WM,$26.50 
POST OP SHOE DARCO M/M,$26.50 
SHOE POST OP LG/M BLK,$25.75 
STOMA PASTE CONVATEC,$39.55 
POST OP SHOE DARCO XLG/M,$25.75 
SPONGE LAP MAI V300,$4.12 
LUMBAR PUNCT ADULT(SAFETY),$76.87 
LUMBAR PUNCTURE PEDS/INF (SAFETY),$37.52 
DRESSING AQUACEL AG 4X5,$46.00 
"""DRESSING ,SILVERCEL ALGINATE""",$19.82 
PACK BASIC VI,$23.74 
STAPLER SKIN DS-5,$10.57 
KNIFE MYRINGOTOMY SPEAR TIP,$46.50 
PEANUT SPONGES,$9.59 
"""SUCTION TIP FRAZIER , DISP""",$6.79 
POOLE SUCTION,$6.93 
RAYTEC SPONGES PK/10,$1.33 
PILLOW ABDUCTION MED,$93.93 
NEEDLE SPINAL 22 X 3.5,$2.89 
STOCKINETTE 4 X60 STERILE,$7.81 
SURGICEL HEMOSTAT 4X8,$225.02 
THORACENTESIS / PARACENTESIS TRAY,$88.42 
TONSIL SPONGES-LG.,$3.85 
TUR Y-TYPE,$14.06 
SUCT TRACH.W/DIRECTIONAL TIP,$19.79 
PLASTER 4 X FAST,$3.11 
FOLEY TRAY W/18 W/STATLOCK,$28.61 
TUBE SUCTION CON,$4.00 
KNEE BRACE-2XL X 16,$63.25 
SYRINGE BULB 2oz,$1.41 
SALEM SUMPS 16,$10.42 
SALEM SUMP 18FR,$10.42 
SALEM SUMP 12FR,$3.10 
TRACH CLEANING TRAY W/O CATH.,$6.79 
STOPCOCK 4/W W/ROTATING MALE LL,$3.57 
CATH EXTERNAL LG,$4.35 
E.T. HOLDER,$12.22 
PLEUR AVAC,$63.93 
STAPLER SKIN,$24.51 
NASAL AIRWAY 26FR,$25.39 
XEROFORM 5 X 9,$2.22 
PACK LAP CHOLEY W/O POUCH,$27.77 
RAE ET TUBE 5.5 CUFFED,$17.00 
PACK MAJOR BASIN,$56.95 
ANTI-REFLEX VALUE,$11.25 
SALEM SUMP W/ANTI-REFLUX 14FR,$10.42 
ELASTAPLAST 4,$11.64 
BLOOD SET RECIPIENT,$15.17 
J-WIRE/DOUBLE DESTAL SPRING GUIDE,$27.25 
ANGIOGRAPHIC CATH,$55.00 
NEEDLE CO 18 G,$16.25 
JACKSON PRATT SUCTION RESERVOIR 100CC,$27.06 
CATH SECURE LEGBAND,$9.25 
SYRINGE BULB 60CC LF,$1.46 
RAE ET TUBE 5.0 UNCUFFED,$9.53 
RAE ET TUBE 6.5 UNCUFFED,$9.53 
ACE BAND 6 XL. LATEX FREE,$17.54 
THORACENTESIS SET,$310.05 
HEMOVAC EVACUATOR,$21.18 
NEEDLE RETROBULBAR,$10.10 
NASAL SPLINT BREATH EASY ENT,$54.50 
EXT TUBE K-50,$3.00 
"""CAST PADDING,SYNTHETIC 2""",$5.05 
BLANKET WARMING PART LOWER BODY,$38.37 
BLANKET WARMING UNDERBODY 635,$66.25 
PRESS MONITOR KIT W/ TRANS,$65.01 
STOCKINETTE IMPERV. MED.,$8.59 
EASY-CAP,$19.68 
CASTING TAPE SYNTH 2,$8.30 
CASTING TAPE SYNTH 3,$10.62 
CASTING TAPE SYNTH 4,$13.89 
CATH KIT-FEMALE,$3.98 
MONITOR KIT W/TRANSDUCER-TRANSPAC,$28.55 
SKIN MARKER W/RULER STERILE,$1.62 
DRESSING ALGINATE HYDROC. 4X4,$9.19 
LOPEZ VALVE,$6.03 
"""CAST PADDING,SYNTHETIC-3""",$7.52 
"""CAST PADDING,SYNTHETIC-4""",$7.44 
CAST PADDING-SYNTHETIC-6,$16.66 
TUBING INSUFFLATION,$11.65 
SURGIFOAM (GELFOAM #12),$18.34 
"""MEASURING DEVICE, MIC-KEY""",$10.00 
MEPILEX BORDER 3 X 3,$5.69 
SETOPRESS 3 HIGH COMPR.BANDAGE,$21.08 
DUODERM CGF 4X4,$18.72 
MEPILEX BORDER LITE 4 X4,$7.65 
DRESSING COPA FOAM 4X4,$3.87 
DUODERM HYDRO GEL,$7.72 
MOUTH GUARD PIECE EZ,$10.00 
TED THIGH LG/SHORT,$16.07 
IODOFOR NU GAUZE 1/2*,$10.87 
IODOFORM GAUZE 1/4 X 5YD,$10.27 
NEEDLE SPINAL 18G X 3.5,$3.75 
NEEDLE SPINAL 20G X 3.5,$3.75 
STERI-STRIP 1/4,$2.82 
STERI STRIP 1/2X4,$2.82 
KNEE BRACE POST OP 18 XLG,$63.45 
FOLEY 8FR 2/W 3CC,$40.85 
FOLEY 10FR 2/W 3CC,$44.33 
FOLEY 12FR 2/W 5CC,$8.62 
FOLEY 14FR 2/W 5CC,$32.62 
FOLEY 16FR 2/W 5CC,$32.62 
FOLEY 18FR 2/W 5CC,$32.62 
FOLEY 22FR 2/W 5CC,$31.93 
FOLEY 18FR 3/W 5CCC,$52.30 
FOLEY 16FR 3/W 30CC,$32.13 
FOLEY 22FR 3/W 30CC,$102.94 
