HOSPITAL NAME:   FOOTHILLS REGIONAL MEDICAL CENTER,,,,
OSHPD ID:   106301357,,,,
EFFECTIVE DATE OF SERVICE:   06-01-2018,,,,
,,,,
,,,,
Fac,Charge #,Description,Price,GL Key
513,44291672, ELITE ROD                      ,5883,4470
513,44291680, ELITE POLYAXIAL PEDICLE SCREW  ,11205,4470
513,44291698, ELITE ALIF CAGE                ,22468,4470
513,44291706, ELITE CERVICAL                 ,9211,4470
513,44291714, ELITE SURGICAL SCREW CAP       ,7657,4470
513,44291722, SYMPHONY PACEMAKER (SR2250)    ,27138,4420
513,44291730, PACEMAKER LEAD                 ,3548,4420
513,44291755, HUMERAL STEM                   ,7214,4420
513,44291763, HEMERAL HEAD                   ,9815,4420
513,44291771, PHILOS II DR                   ,10643,4420
513,44291797, SELOX JT 45                    ,4139,4420
513,44291805, REPLICATOR PLATE               ,3548,4420
513,44291813, TORQUE DEFINING SCREW          ,3015,4420
513,44291821, TRUGRAFT                       ,4434,4420
513,44291839, TRUBLOCK                       ,1833,4420
513,44291847, ZIMMER ARTICULAR SURFACE KNEE  ,7775,4420
513,44291854, STRYKER REAMER                 ,899,4420
513,44291862, CORTICAL AND CANCLLOUS CHIP    ,2572,4420
513,44291870, AICD  DUAL CHAMBER DEFIB       ,35211,4420
513,44292902, PACEMAKER                      ,0,4420
513,44292910, OR PROC DX CANCELLED           ,1000,4420
513,44292928, OR PROC CXLD PRIOR ANEST       ,1600,4420
513,44292936, OR PROC CXLD AFTER ANEST       ,2600,4420
513,44293009, OTHER IMPLANTS                 ,0,4420
513,44504025, GEN ANESTHESIA (UP TO 1ST HR)  ,3438,4450
513,44504033, GEN ANESTH (EA ADD'L 15MIN)    ,850,4450
513,44504058, OR/RR OXYGEN (1ST HOUR)        ,388,4450
513,44504066, OR/RR OXYGEN(AD'L 15MIN)       ,97,4450
513,44504132, EPIDURAL                       ,347,4450
513,44504223, SPINAL (SADDLE)                ,347,4450
513,44504389, NITROUS OXIDE (1ST HR)         ,764,4450
513,44504405, NITROUS OXIDE(AD'L 15MIN)      ,191,4450
513,44504413, IV SEDATION (1ST HOUR)         ,352,4450
513,44504462, IV SEDATION (ADD'L 15MIN)      ,88,4450
513,44504496, BIER BLOCK                     ,347,4450
513,44504504, LOCAL                          ,347,4450
513,44504520, MAC 1ST 1/2 HR                 ,897,4450
513,44504546, MAC EA ADDL MIN                ,30,4450
513,44700029, SPLINT-LONG ARM                ,131,4470
513,44700052, TRAY-INCISION                  ,107,4470
513,44700284, BONE WAX                       ,25,4470
513,44700318, PASSEY MUIR VALVE              ,256,4470
513,44700409, DRESS-GAUZE 4X4 (2)            ,14,4470
513,44700524, SPECULUM VAGINAL               ,44,4470
513,44700813, PACK  CDS-CYSTO                ,223,4470
513,44700854, PACK CDS-PERI/GYN              ,219,4470
513,44700862, PACK CDS-MAJOR OR              ,1410,4470
513,44700888, PACK CDS MINOR                 ,1174,4470
513,44700961, PACK DRAPE SHE MED             ,56,4470
513,44701068, SUTURE GENERAL                 ,26,4470
513,44701274, SUCTION LINER 1000/1500        ,20,4470
513,44701332, SYRINGE 1CC TO 10CC W/NEED     ,9,4470
513,44701613, HYPAQUE MEG 60% 50ML           ,253,4470
513,44701787, SET IRRIGATION                 ,97,4470
513,44701829, DRESSING CARRA (ALL-SIZES)     ,50,4470
513,44702090, CANNULA ERCP SCOPE             ,646,4470
513,44702140, CATH FOLEY 3 WAY/5CC BALLO     ,143,4470
513,44702215, CATH SUCTION KIT               ,30,4470
513,44702256, SUCTION CANISTER 1500          ,58,4470
513,44702371, DRESS-TELFA (ALL-SIZES)        ,14,4470
513,44702868, SUCTION COAGULATOR W/HND S     ,92,4470
513,44703056, TUBE-INFANT FEEDING            ,12,4470
513,44703676, TRIPLE DYE L&D                 ,100,4470
513,44703858, XEROFORM 5X9                   ,7,4470
513,44703866, XEROFORM 1X8                   ,6,4470
513,44703874, PACKING STRIP PLAIN            ,24,4470
513,44703882, PACKING STRIP IODOFORM         ,37,4470
513,44703890," ELASTIC BANDAGE 2"" W           ",10,4470
513,44703908," ELASTIC BANDAGE 3"" W           ",12,4470
513,44703916," ELASTIC BANDAGE 4"" W           ",15,4470
513,44703924," ELASTIC BANDAGE 6"" W           ",17,4470
513,44703932, OIL EMULSION 3X3               ,6,4470
513,44703940, MEDI-STRIPS 1/2X4              ,15,4470
513,44703957, PETROLATUM GAUZE 3X36          ,8,4470
513,44704872, INFUSE BONE GRAFT              ,11815,4470
513,44705044, ABG KIT (Pul.)                 ,65,4470
513,44705051, ACCUCHECK LIGNEETS             ,3,4470
513,44705168, ARMBOARD                       ,19,4470
513,44705218, AUTO SUT ENDO SHEAR            ,388,4470
513,44705226, AUTO-SUT PREM SURGICLIP 11.5   ,325,4470
513,44705242, CEMENT RESTRICTOR              ,109,4470
513,44705259, B/P CUFF DIPOS ADULT           ,99,4470
513,44706471, ELEC BOVIE BLADE               ,69,4470
513,44706521, ELECTRODE DISPERS (BOVIE PAD)  ,84,4470
513,44707636, PACK CUSTOM MJR/OR             ,470,4470
513,44708162, PACK ARTHROSCOPY               ,135,4470
513,44708873, SURGICEL 2X3                   ,1125,4470
513,44708899, SURG-I-PAWS OR                 ,48,4470
513,44709491, TUBING SUCTION                 ,10,4470
513,44709681, WOUND CARE (TREATMENT)         ,0,4770
513,44709699, ARGLAES POWDER 5GM BTL         ,187,4470
513,44709707, BORDERED GAUZE 4X4             ,11,4470
513,44709715, BORDERED GAUZE 6X6             ,11,4470
513,44709723, EXUDERM HYDRO 2X2              ,11,4470
513,44709731, EXUDERM HYDRO 4X3.6 SACRAL     ,61,4470
513,44709749, EXUDERM HYDRO 4X4              ,50,4470
513,44709756, EXUDERM HYDRO 6.4X6.5 SACRAL   ,127,4470
513,44709764, MAXORB EX AG SILV ALG 4X4.75   ,143,4470
513,44709772," MAXORB EX CAL/ALG 12"" ROPE     ",39,4470
513,44709780, SILVASORB SHEET 4.25X4.25      ,154,4470
513,44709798, SILVASORB SILV HYDROGEL 1.5 OZ ,176,4470
513,44709806, OPTIFOAM AG ADHESIVE           ,105,4470
513,44709814, OPTIFOAM AG NON-ADHESIVE       ,72,4470
513,44709822, DERMA-GEL                      ,61,4470
513,44709830, SKINTEGRITY HYDROGEL BTL 1 OZ  ,17,4470
513,44709848, SKINTEGRITY HYDROGEL TUBE 4 OZ ,66,4470
513,44709855, SKINTEGRITY HYDROGEL 2X2       ,6,4470
513,44709863, SKINTEGRITY HYDROGEL 4X4       ,11,4470
513,44709871, SKINTEGRITY HYDROGEL 6X8       ,94,4470
513,44709889, PURACOL PLUS 2X2.25            ,105,4470
513,44709897, PURACOL PLUS 4.25X4.5          ,264,4470
513,44709905, SURESITE 2 HANDLE 4X5          ,11,4470
513,44709913, SURESITE I.V. 2X3              ,6,4470
513,44709921, TENDERWET ACT&CAV 1.6 RND      ,55,4470
513,44709939, TENDERWET ACT&CAV 2.2 RND      ,61,4470
513,44709947, TENDERWET ACT&CAV 3X3          ,77,4470
513,44709954, TENDERWET ACT&CAV 4X5          ,88,4470
513,44709962, TENDERWET ACT&CAV 3X8          ,160,4470
513,44710606, Percutaneous Trach Tube  All S ,574,4470
513,44710655, ALVARADO KNEE PADDING          ,33,4470
513,44711000, NEURIVISION JJB MODUKLE        ,8011,4470
513,44711059, DYNAMIC STM CLIP               ,1862,4470
513,44711109, DYNAMIC STM SHEATH             ,554,4470
513,44711158, NEUROVISION JJB PEDICLE PROBE  ,2330,4470
513,44711166, CATH ANG TRANSLUMNL NLSR       ,1750,4470
513,44711174, PM DC RATE-RESPONSIVE          ,27450,4470
513,44711182, AICD DUAL CHAMBER              ,79888,4470
513,44711190, CATH INFUSION (PICC/CVP)       ,935,4470
513,44711208, IMP LD PM/CARD-DFIB COMB       ,1000,4470
513,44711216, DEV CLOSR VASC IMP/INSRT       ,2343,4470
513,44711232, CATH ATHR TRANSLUM DIREC       ,16250,4470
513,44711240, IOL POST CHAMB ARRAY           ,1398,4470
513,44711257, GW                             ,1250,4470
513,44711265, CATH THROMB/EMBOLECTOMY        ,7880,4470
513,44711273, FILTER VENA CAVA               ,6100,4470
513,44711281, CATH BARD OPTIFLOW DL          ,2302,4470
513,44711299, IMP LD CARDV/DFIB EC DC        ,1000,4470
513,44711307, LD PM NOT TRNSVEN VDD SP       ,3828,4470
513,44711323, MESH IMPLANTABLE               ,1289,4470
513,44711349, PM SC RATE-RESPONSIVE          ,24000,4470
513,44711356, CATH TOTAL OCCLUSSION(CROSSER) ,12073,4470
513,44711364, GW SUPER STIFF                 ,280,4470
513,44711372, CATH HEMODIAL SHORT TERM       ,1815,4470
513,44711380, CATH GUIDING                   ,935,4470
513,44711398, AICD OTHER THN SNG/DUAL CHAMBE ,101063,4470
513,44711414, CATH ATHR TRANSLUM ROT         ,16473,4470
513,44711422, AICD SINGLE CHAMBER            ,70912,4470
513,44711448, CATH US INTRAVASCULAR          ,3300,4470
513,44711455, OCULAR IMPLANT AQUEOUS DRAINAG ,6023,4470
513,44711471, GW                 4110        ,114,4470
513,44711489, IMP PMP INF PROGRAMMABLE       ,30044,4470
513,44711497, SYS EMBOLIZATN PROTECT         ,10021,4470
513,44711505, STNT COAT/COV W DEL SYS2       ,10544,4470
513,44711513, GRFT VASCULAR                  ,4065,4470
513,44711521, CATH HEMODIALYSIS LONG TE      ,1749,4470
513,44711539, CATH FGRTY DILAT   4110        ,608,4470
513,44711547, ALLOGRAFT HUMAN TISSUE         ,5125,4470
513,44711554, INTRODUCER UNIVERSAL           ,2695,4470
513,44711562, ANCH SCRW SUTR ARTHREX         ,1046,4470
513,44711570, GW ERCP                        ,755,4470
513,44711588, IMP GEN NSTIM NON-RECHG        ,33880,4470
513,44711596, SCRW CANN 3110                 ,1326,4470
513,44711612, STNT URETERAL      4110        ,1125,4470
513,44711620, LD LFT VENT COR VEN SYS        ,1000,4470
513,44711638, IMPL SUTURE ANCHOR             ,4250,4470
513,44711646, IMP LD CARDV/DFIB EC SC        ,1000,4470
513,44711653, GW .035                        ,211,4470
513,44711661, LEAD IMP NEUROSTIM             ,10472,4470
513,44711687, STNT NCOAT/COV W DEL SYS       ,13035,4470
513,44711695, IMP PORT INDWELLING            ,1810,4470
513,44711703, PLT E COMP DHS     3110        ,2546,4470
513,44711729, PLT SYNTHES                    ,1269,4470
513,44711737, MESH TITANIUM IMPLANTABLE      ,1747,4470
513,44711745, PROSTHESIS PENILE NON-INFLATAB ,13377,4470
513,44711752, WIRE HI WIRE (ie COOK)         ,351,4470
513,44711760, CATH EP DIAG NOT3D 19OR<       ,1577,4470
513,44711778, SCRW COMPRS/LAG    3110        ,1596,4470
513,44711786, IMP PORT INDWELLING            ,1219,4470
513,44711794, STENT TRACHEOBRONCHIAL         ,8470,4470
513,44711802, GW J                           ,177,4470
513,44711810, SCREW CORTX                    ,237,4470
513,44711851, STENT BIL W/DILVERY SYS        ,4625,4470
513,44711869, SCRW CANCL                     ,460,4470
513,44711877, CATH EP OTH THN COOL TIP       ,1914,4470
513,44711893, IMP ADAP/EXT LD PM NSTIM       ,1906,4470
513,44711901, INTRO EP IC N-LSR N-GUID       ,3609,4470
513,44711935, STENT NON-COR TEMP W/O DEL SYS ,489,4470
513,44711943, IOL POSTERIOR CHMBR            ,376,4470
513,44711950, CATH PORTACATH     4110        ,6450,4470
513,44711976, IOL ASTIGMATISM                ,853,4470
513,44711992, WIRE ROAD RUNNER               ,195,4470
513,44712008, CATH URET                      ,88,4470
513,44712040, PIN ORTHOSORB                  ,1245,4470
513,44712073, PIN STEINMAN THR   3110        ,267,4470
513,44712081, CATH URETERAL      4110        ,187,4470
513,44712099, WASHER CANCL                   ,397,4470
513,44712123, GW J TIP                       ,63,4470
513,44712131, LD PM TRANSV VDD SPASS         ,1000,4470
513,44712149, CATH BAL NON VASCULAR          ,1375,4470
513,44712156, PROSTHESIS PENILE INFLATABLE   ,53590,4470
513,44712164, MESH PLUG SMALL/MEDIUM         ,1510,4470
513,44712172, MESH PLUG LARGE/X LARGE        ,2326,4470
513,44712180, MESH SMALL/MEDIUM              ,3459,4470
513,44712198, MESH LARGE/X LARGE             ,3727,4470
513,44712206, PATCH  WITTMANN                ,9000,4470
513,44712214, CATCH BALLN  PERIPH (COYOTE)   ,1750,4470
513,44712222, CATH BALLN  PERIPH PTA-CHARGER ,625,4470
513,44712230, CATH BALLN AAA (CODA)          ,840,4470
513,44712248, WIRE BENTSON                   ,550,4470
513,44712255, WIRE ZIP WIRE                  ,200,4470
513,44712263, WIRE RUBICON                   ,1000,4470
513,44712271, GRAFT 6MMx80MM (MED)           ,12910,4470
513,44712289, ENDOVASCULAR AAA SYSTEM        ,86625,4470
513,44712297, PATCH BIOLOGICAL               ,1450,4470
513,44712305, INTRODUCER LARGE               ,3000,4470
513,44712313, CATH DRAIN (JACKSON PRATT)     ,123,4470
513,44712321, MESH (VENTRAL)                 ,17870,4470
513,44712339, STENT PTCA DRUG ELUTING SNGL   ,10544,4470
513,44712347, STENT PTCA DRUG ELUTING ADD    ,10544,4470
513,44712354, LEAD CARDV/DFIB EC BV          ,1000,4470
513,44712362, BONE CEMENT SIMPLEX P          ,450,4470
513,44712370, BONE CEMENT COBALT HV GENT     ,1850,4470
513,44712388, PROBE ACCELERATOR 90S          ,930,4470
513,44712396, BONE FILLER VITOSS PER 0.5ML   ,20721,4470
